jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries,dependenceRatio,independenceRatio
Sales Account Manager - Far East,Procter & Gamble,Russia,2021-08-09,< 25 applicants,please note applying vacancy agree considered one following locations vladivostok khabarovsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.14
Head of SDR,HypeAuditor,Russia,2021-10-06,< 25 applicants,work hypeauditor leading b2b influencer marketing platform customers around world provide tools reports influencer search instagram tiktok youtube twitch twitter hypeauditor data provider trusted biggest media outlets like forbes social media today washington post business insider entrepreneur pr week founded back 2018 hypeauditor acquired 750 clients trusted world leading brands like dior amazon h unilever company helping get transparent influencer marketing analytics honored named one america best startup employers 2021 forbes job overview head sdr responsible setting managing leading inside team scratch overseeing sales operations strategies new existing customers hypeauditor duties responsibilities recruits leads team sales development representatives driving overachievement sales goals coaching performance management engagement career development sets structure processes system whole team nurtures positive team environment alignment hypeauditor core values manages team performance quotas sales forecasts executes operating plans ensures sales objectives met drives revenue contributes continued growth hypeauditor consistently achieving individual team quotas monitors daily activity sales representatives including sales activities use corporate crm drives metrics measure performance sales activities corrects deficiencies necessary collaborates field sales employees sales execution qualifications desired years saas sales management supervisory experience preferred telephone internet based sales experience preferred fluent english foreign languages welcomed demonstrated experience building training managing developing getting results setting personal team goals depending current priorities defining kpis inside team proven track record driving high volume transactional sal,Associate,Full-time,,,0.04,0.07
Business Develop Manager,COREX Logistics,Russia,2021-10-08,< 25 applicants,teamcorex searching sales person background either pharma logistics goals communicate top global pharma actors order provide corex services within cis eastern europe central asia regions please contact details,Associate,Full-time,,,0.08,0.02
Sales Key Account Manager,Procter & Gamble,Russia,2021-09-25,< 25 applicants,procter gamble one world largest consumer goods companies making globally recognized brands head old others passionate growing individuals become future leaders committed personal development enable p g looking strong talent key account manager sales representative experience work one top national eastern europe retailers key success role strong negotiation skills collaboration team internally externally strong analytics constant passion winning responsibilities develop p g business one top national retailers leading annual negotiations customer includes contract business plans control agreements execution delivering targets value shares well supervising financial kpis developing portfolio promo strategy financial control customers budgets collaboration internal p g teams including finance logistics marketing departments compensation benefits competitive base salary annual bonus monthly flexibility allowance medical travel life insurance possibility enrollment p g international stock ownership plan flexible work hours possibility work home access p g global comprehensive training portfolio qualifications qualified role must higher education degree experience key account manager kam international companies sales representative top national retailers good command english higher level desired skills experience fund promo management experience advanced negotiation analytical skills strong skills math economics statistics strong resilience stress management skills excellent organization time management skills high level emotional intelligence effective communication networking skills know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.1
Sales Representative,Şişecam,Russia,2021-09-25,27 applicants,one established enterprises turkey şişecam global actor business lines including flat glass glassware glass packaging glass fiber well soda chromium chemicals şişecam globally one two largest producers glassware five largest producers glass packaging flat glass today world eighth largest soda producer well world leader chromium compounds operating turkey germany italy bulgaria romania slovakia hungary russian federation georgia ukraine egypt india usa şişecam plays leading role flat glass glassware glass packaging chemicals automotive glass fiber mining energy recycling business lines company international scale 85 years experience employees production activities spanning 14 countries four continents sales 150 countries şişecam continues journey become one top three global producers business lines looking sales representative take part şişecam moscow sales office located russia moscow ideal candidate would following qualifications bachelor degree minimum 1 year experience customer support manager fluency russian english written spoken good knowledge ms office applications excel word crm strong communication skills good team player strong capability handle multiple tasks adapt changing priorities proactive result oriented self motivated job description working distributors large wholesale companies russia cis abroad processing orders received customers supporting communication via phone email entering customers information sap erp system managing balance customer orders planning loading planning weekly shipments verification shipping documents issued logistics department introduction special production orders production planning according demand tracking customer accounts receivable preparation statistical reports sales analysis informing customers production program new products prices stock avail,Associate,Full-time,Customer Service and Sales,"Glass, Ceramics & Concrete",0.16,0.14
Sales Account Manager - Eastern Siberia,Procter & Gamble,Russia,2021-10-03,< 25 applicants,please note applying vacancy agree considered one following locations krasnoyarsk irkutsk tomsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.14
Sales Account Manager - Western Siberia,Procter & Gamble,Russia,2021-08-09,< 25 applicants,please note applying vacancy agree considered one following locations novosibirsk kurgan barnaul omsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.14
Sales Account Manager - Far East,Procter & Gamble,Russia,2021-10-03,< 25 applicants,please note applying vacancy agree considered one following locations vladivostok khabarovsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.14
Sales Account Manager - Eastern Siberia,Procter & Gamble,Russia,2021-08-09,< 25 applicants,please note applying vacancy agree considered one following locations krasnoyarsk irkutsk tomsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.14
Sales Account Manager - Eastern Siberia,Procter & Gamble,Russia,2021-08-09,< 25 applicants,please note applying vacancy agree considered one following locations krasnoyarsk irkutsk tomsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services",0.2,0.14
