jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Remote Sales Executive,Radarr,Hong Kong SAR,2021-09-24,< 25 applicants,corporate profile radarr platform uses ai convert billions online conversations actionable insights brands real time formerly known circus social radarr social media intelligence insights company developed intelligence platform cater growing demand better digital social data analytics marketers focus helping clients track achieve digital roi optimize campaigns understand consumers better digital data analytics monitoring insights generation services top brands like coca cola p g toyota customers agencies like ogilvy h k zeno tbwa partners looking sales superhero proactive hardworking fun friendly haves comfortable social media agency marketing industry knowledge would huge plus outspoken enthusiastic would definitely make stand job description main responsibilities would key salesperson team responsible prospecting creating opportunities closing deals main representative market build relationships key customers prospects also get work closely tech team grow scale product sales representative job duties market research look prospects reaching building pipeline opportunities across products region build maintain strong customer relationships use solution selling engage customers understand business needs objectives effectively communicate value proposition radarr proposals presentations achieve 100 quota agreed consensus based market opportunity reporting forces shift tactical budgets strategic direction accounts keep date social media trends social media monitoring digital industry changes contribute achieving client satisfaction touchpoints ensure client success met achieve monthly kpis key performance indicators work closely collaborate team members ensure class service execution contributes team effort accomplishing related results needed requirements proven sales experience meeting exceeding targets years experience bdm sales marketing social media agency experience ability communicate present influence levels organization including executive proven ability drive sales process plan close required proven ability articulate distinct aspects products services proven ability position products competitors demonstrable experience sales marketing developing differentiated achievable solutions excellent listening negotiation presentation skills excellent verbal written communications skills experience media saas martech advertising industry preferred offer fun environment flexible working training health allowance remote working singapore team entrepreneurial super creative ambitious collaborative inspirational outgoing hungry want succeed help others along way fearless challenge anytime love someone proactive curious insightful,,Full-time,,
Senior Sales Representative,bp,"Shanghai, Shanghai, China",2021-09-24,< 25 applicants,job profile summary grade iresponsible delivering indirect sales strategy financial performance targets including sales volume gross margin overdue managing local distributor partners sales territory geography finding prospect partners coaching distributors monitoring financial position ensure long term sustainable value company scope role influence grade include financial accountability geographical scope leadership responsibilities overall level responsibility job advert purpose role exists manage local top workshop partners sales territory role accountable delivery pco iws indirect workshop sales strategy execution market offer strategy role also responsible finding developing prospect partners finally contribute territory distributor sales performance accountabilities implement country pco iws indirect business strategy within territory translating clear business plans deliver iws channel strategy developing new customer continuously improving existing customer store share top workshops work closely iws territory manager distributor sales team secure improve castrol market share workshop level finally contribute significant financial performance distributors leverage cross function resources joint approach best outcome develop agree internally externally implement market offer strategy channel partner providing permanent support areas contents particular regarding sales capability skills knowledge customer offer deployment coverage satisfaction financial return investment cash flow performance brand representation compliance hsse ethical compliance collect information key customer database manage pipeline key customer development develop manage business relationship key customers area using tools resources smartly deliver desired business results share field findings experience team level extracting comparable information improve deliver customer experience targeted sectors customer groups ensure delivery promises seeking continuous improvement efficiency operations making sure voice customer represented every decision make drive standardization sales offers line basic customer offer ensure activities conducted 3rd parties intermediaries country comply fully coc local competition legalisation ensure compliance country regulations bp group segment regional policies standards experience expertise minimum 3 years working experience distributor sales management track record delivery sales targets performance representing company externally dealing professionally distributors workshops experience managing negotiations senior level capability work independently also skillful teamwork ability develop implement strategic tactical business plans ability hands drive business direct responsibility flexibility thought action able respond changing market environments dynamic business situations adapted frequent business travel equal opportunity employer value diversity company discriminate basis race religion color national origin sex gender gender expression sexual orientation age marital status veteran status disability status ensure individuals disabilities provided reasonable accommodation participate job application interview process perform essential job functions receive benefits privileges employment please contact us request accommodation entity customers products job family group sales group relocation available travel required yes 50 time type full time country china bp customer products gearing future bp goal c p deliver future mobility energy services customers innovating new business models service platforms c p become hub housing midstream lubricants aviation sale chemicals mobility convenience marketing businesses making highly integrated interconnected organisation safety core value commitment safe reliable operations never change want join team means agile responsive changing customer needs dynamic markets focusing growth development customer offers optimising chemicals fuels value chains maximise integrated value contributing reduction carbon intensity products create sell 50 2050 sooner creating strategic partnerships drive value c p digitally enabled empowered customer insights data deliver solutions experience level intermedi,Associate,Full-time,Sales,Oil & Energy
Strategic Account Sales Manager,GE Healthcare,"Taiyuan, Shanxi, China",2021-09-24,< 25 applicants,job description summary role represent act primary customer point contact allocated proactively build network government bodies key opinion leaders well deep understanding healthcare assigned healthcare leading global medical technology digital solutions innovator mission improve lives moments matter unlock ambition turn ideas realities join organization every voice makes difference every difference builds healthier world job description responsibilities achieve targets sales assigned one within budget allocated target get access builds relations develop business strategy maximize business opportunities ge healthcare businesses products services within allocated represents acts primary customer point contact allocated proactively build network government bodies key opinion leaders well deep understanding healthcare assigned coordinate indirect deals multimodality projects aim maximizing share direct deals within cooperation modalities marketing drive one ge healthcare marketing events assigned territory aware segmentation targeting healthcare system apply relevant product benefits client segment analyze market trends competition accounts develop business plan strategy creates new business opportunities ge healthcare products services provides feedback management modalities services marketing product sales specialists account managers service company resources provide necessary technical equipment service clinical content customers coordinate one ge healthcare team strategic accounts order deliver solutions meet exceed customer expectations develop implement plans zone cross functional teams achieve results effective project proposals negotiations contracts grow share wallet assigned accounts ge share customer investments capital operational expenditures develop maintain high level customer satisfaction consistent high quality interactions customer management drive customer accounts build long term strategic alliance portfolio accounts continue add value promote service offerings identify escalate commercial service needs monitor escalate service issues drive customer ge policies procedures operating mechanism proactively participates company initiatives depending organizational needs directed management ensure knowledge compliance integrity company policies geographic scope zone could territory within zone minimum 5 years relevant healthcare industry experience bachelor degree proven achieving exceeding sales targets desire grow new business experience understanding customer needs business drivers using knowledge develop account plans strategies knowledge existing account would advantageous excellent interpersonal skills including teamwork communication skills persistence developing prospects customers ability close business strong presentation analytical customer service skills able manage time organize prioritize workload inclusion diversity ge healthcare equal opportunity employer inclusion matters employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law expect employees live breathe behaviors act humility build trust lead transparency deliver focus drive ownership always unyielding integrity total rewards designed unlock ambition giving boost flexibility need turn ideas realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support,Mid-Senior level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Global Sales Manager,ADP,"Pudong, Shanghai, China",2021-09-24,< 25 applicants,role purpose penetrate accounts focus companies based north asia primary responsibility role develop manage relationships key stakeholders order drive sales across assigned accounts territory addition global sales manager responsible providing consistent management planning reporting accounts responsibilities meet exceed assigned quota develop annual business plan determining sales activity goals required attainment assigned quota create consistent activity management opportunity account plans within prepare sales forecasts establish targets areas product mix sales volume market share business development monitor performance sales goals adjust sales strategies plans meet changing markets competitive conditions broaden knowledge company solutions capabilities versus competition pursue large prospects leads negotiate terms sales maximize organization business interests liaise departments across organization particularly implementation client services ensure sales activities integrated parts business aligned overall corporate objectives propose implement opportunity account plans ensure client satisfaction profitability retention building ongoing business relationships establish maintain effective constructive relationships clients earning trust respect demonstrating consistent commitment exceed expectations maintain high state integrity professionalism carrying duties responsibilities position qualifications experience bachelor degree least 5 years sales experience service outsourcing hcm solutions related software industries selling executives least 3 years exposure north asia region strong financial acumen business orientation innovative approaches business development possesses industry knowledge solid proven sales record continually achieving exceeding assigned business revenue targets proven proficiency account plan development implementation related sales strategies secure large clients strong command english oral written second north asia language preferred excellent presentation written communication skills,Mid-Senior level,Full-time,Business Development and Sales,Human Resources
Global Sales Manager,ADP,"Pudong, Shanghai, China",2021-09-24,< 25 applicants,role purpose penetrate accounts focus companies based north asia primary responsibility role develop manage relationships key stakeholders order drive sales across assigned accounts territory addition global sales manager responsible providing consistent management planning reporting accounts responsibilities meet exceed assigned quota develop annual business plan determining sales activity goals required attainment assigned quota create consistent activity management opportunity account plans within prepare sales forecasts establish targets areas product mix sales volume market share business development monitor performance sales goals adjust sales strategies plans meet changing markets competitive conditions broaden knowledge company solutions capabilities versus competition pursue large prospects leads negotiate terms sales maximize organization business interests liaise departments across organization particularly implementation client services ensure sales activities integrated parts business aligned overall corporate objectives propose implement opportunity account plans ensure client satisfaction profitability retention building ongoing business relationships establish maintain effective constructive relationships clients earning trust respect demonstrating consistent commitment exceed expectations maintain high state integrity professionalism carrying duties responsibilities position qualifications experience bachelor degree least 5 years sales experience service outsourcing hcm solutions related software industries selling executives least 3 years exposure north asia region strong financial acumen business orientation innovative approaches business development possesses industry knowledge solid proven sales record continually achieving exceeding assigned business revenue targets proven proficiency account plan development implementation related sales strategies secure large clients strong command english oral written second north asia language preferred excellent presentation written communication skills,Mid-Senior level,Full-time,Business Development and Sales,Human Resources
Senior Sales Representative,bp,"Zhengzhou, Henan, China",2021-09-24,< 25 applicants,job profile summary grade iresponsible delivering indirect sales strategy financial performance targets including sales volume gross margin overdue managing local distributor partners sales territory geography finding prospect partners coaching distributors monitoring financial position ensure long term sustainable value company scope role influence grade include financial accountability geographical scope leadership responsibilities overall level responsibility job advert job purpose role accountable delivery shared business objectives given portfolio including volume gm performance targets well activation targets like penetration share wallet training etc information source latest voice customer competitor activities change local market key accountabilities workshop development work key account sales team planning team define local area business plan including target workshops coverage sales target activities etc understand key account sales contract terms policy agreed offer prepare specific workshop value selling offer sell target customer workshop management understand build relationship influence customer order gain commitment activities proposed implement activities aligned customer needs company strategy maintain good relationship existing customers actively defends grows existing customer share wallet needs based effective use offer holds regular meetings agree track kpis customers coordinate key account team workshop activation planning responsible area manage designated service provider workshop activation needed customer market insights manage updated database maintain close relationship locally understand customer needs competitor approach provide feedback company represent voice customer company order improve approach requirements bachelor degree major sales marketing related preferred least years sales marketing experience 2 years sales marketing experience automotive aftermarket experience plus demonstrated track record driving growth competitive market environment working experience lubes industry preferred good building relationship customers strong implementation capability customer management capabilities coordination skill ensure teamwork various partners delivery effective programs able translate customer needs customer propositions sell customer business persuasive way equal opportunity employer value diversity company discriminate basis race religion color national origin sex gender gender expression sexual orientation age marital status veteran status disability status ensure individuals disabilities provided reasonable accommodation participate job application interview process perform essential job functions receive benefits privileges employment please contact us request accommodation entity customers products job family group sales group relocation available travel required yes 75 country china bp customer products gearing future bp goal c p deliver future mobility energy services customers innovating new business models service platforms c p become hub housing midstream lubricants aviation sale chemicals mobility convenience marketing businesses making highly integrated interconnected organisation safety core value commitment safe reliable operations never change want join team means agile responsive changing customer needs dynamic markets focusing growth development customer offers optimising chemicals fuels value chains maximise integrated value contributing reduction carbon intensity products create sell 50 2050 sooner creating strategic partnerships drive value c p digitally enabled empowered customer insights data deliver solutions experience level intermedi,Associate,Full-time,Sales,Oil & Energy
Sales Professional - Global Inside Sales,BT,"Shanghai, China",2021-09-10,< 25 applicants,role design true growth engine gs consistently delivers high volume highly profitable sales enthusiastic skilled knowledgeable people drive meet needs customers specifically delivering volume sales assigned set accounts supporting vertical field teams direct ownership accounts aligned inside sales team new business growth high margin contract value based defined scope build maintain strong relationships internal external customers secure defend existing revenues develop grow account base proactive lead generation scope outbound drive pipeline identify key contacts trends messaging used support discussions specific accounts within support end end account management ofcustomer support planning help develop leads drive leads opportunities within customer base responsible achieving quarterly annual targets based defined set accounts objectives set business generate new leads via customer relationships campaigns working record sfdc adhere corporate guidelines cca rules ensure opportunities managed professional compliant way manage indivdual pipeline sfdc provide accurate forecasts pipeline management ensure customers managed professionally proactively building expanding relationships key contacts influencers regular proactive contact utilise specialist resource complex opportunities needed take responsibility product knowledge market awareness order effectively advise customers resolve customer issues dissatisfaction swiftly effective engagement appropriate internal departments maintain customer satisfaction ensure close working relationships account virtual team ensure bt approach evident key account contacts skills required ability opportunities commercial awareness basic product solution knowledge telecom industry network unifed communications security basic understanding competitive landscape depending country customer relationship skills strong verbal written communication skills proficient experience crm software salesforce linkedin etc ms office ability work independently active member team able multitask prioritize manage time efficiently previous sales account management experience proficient experience crm software salesforce linkedin etc ms office strong verbal written communication skills fluent english speaker depending could required basic product solution knowledge telecom industry network unifed communications secur,Associate,Full-time,Sales and Business Development,"Telecommunications, Computer Networking, and Information Technology and Services"
Senior Sales Representative,bp,"Xiamen, Fujian, China",2021-09-24,< 25 applicants,job profile summary grade iresponsible delivering indirect sales strategy financial performance targets including sales volume gross margin overdue managing local distributor partners sales territory geography finding prospect partners coaching distributors monitoring financial position ensure long term sustainable value company scope role influence grade include financial accountability geographical scope leadership responsibilities overall level responsibility job advert job purpose role accountable implementation sales strategy selected territory deliver financial performance targets including sales volume gross margin overdue role also responsible finding prospect partners coaching distributors monitoring financial position ensure long term key accountabilities follow regional business strategy translate territory business plans deliver financial performance targets territory including volume gm overdue implement annual business plan distributor channel partner providing permanent support areas contents particular regarding sales performance including forecasting reporting timely interventions sales capability skills knowledge customer offer deployment coverage satisfaction financial return investment cash flow performance brand representation compliance hsse ethical compliance input influence people resources allocations distributors ensure strategic priorities fulfilled within territory ensure sales tools system effectively implemented distributors area act focal point assigned projects territory improve deliver customer experience targeted sectors customer groups seeking continuous improvement efficiency operations making sure voice customer represented every decision make drive standardization sales offers line basic customer offer ensure activities conducted 3rd parties intermediaries country comply fully coc local competition legalization ensure compliance country regulations bp group segment regional policies standards requirements bachelor degree minimum 3 years working experience distributor sales management track record delivery sales targets performance representing company externally dealing professionally distributors ability hands drive business direct responsibility flexibility thought action able respond changing market environments dynamic business situations equal opportunity employer value diversity company discriminate basis race religion color national origin sex gender gender expression sexual orientation age marital status veteran status disability status ensure individuals disabilities provided reasonable accommodation participate job application interview process perform essential job functions receive benefits privileges employment please contact us request accommodation entity customers products job family group sales group relocation available travel required yes 75 country china bp customer products gearing future bp goal c p deliver future mobility energy services customers innovating new business models service platforms c p become hub housing midstream lubricants aviation sale chemicals mobility convenience marketing businesses making highly integrated interconnected organisation safety core value commitment safe reliable operations never change want join team means agile responsive changing customer needs dynamic markets focusing growth development customer offers optimising chemicals fuels value chains maximise integrated value contributing reduction carbon intensity products create sell 50 2050 sooner creating strategic partnerships drive value c p digitally enabled empowered customer insights data deliver solutions experience level intermedi,Associate,Full-time,Sales,Oil & Energy
Inside Sales,HP,"Shanghai, Shanghai, China",2021-10-01,< 25 applicants,hp world leading personal systems printing company create technology makes life better everyone everywhere innovation springs team individuals collaborating contributing perspectives knowledge experience advance way world works lives looking visionaries like ready make purposeful impact way world works hp future create responsibilities majority work done independently independently moves leads entire sales process proactively sells products services supplies installed base support company promotion upgrade campaigns achieves set quota goals sells primarily transactional solutions selling owns strategic entry points customer aligned business objective area sells complex involves outside sales rep necessary high complexity sales competitor customer participates development district sales strategy quota setting defines individual sales plan addresses customer complex requests via broad identifies allocates internal external resources deliver transactional solution sales may interfaces specialty buyers procurement etc business executives pursues opportunities assigned territory account product line actively prospects within accounts discover cultivate sales opportunities responsible pipeline forecast responsibility accordance sales center business process aggressively reviews account activities pursuit new business selling opportunities applies techniques identify advance opportunities result ongoing profitable revenue growth hp partners effectively others account ensure coordinated efficient account management actively manages account protect grow hp business coordinates account forecasts planning reporting dictated selling model engages partners effectively improve win rates selective deals orchestrates resources sponsorship essential executing business effectively education experience required four year bachelor degree preferred equivalent experience typically years selling account management experienced preferable industry proven track record sales demonstrated ability move leads entire sales process independently knowledge skills listens customer needs tailors messages customer based needs additional promotional campaigns upgrades extended consistently demonstrates proactive activities within accounts uncover new business take ownership new opportunities exhibits thorough knowledge hp portfolio observed via customer conversations discussions products solutions customers consistently meets exceeds metrics related inbound calls set segment management understands client procurement processes knows key decision criteria winning new andor maintaining existing business exhibits thorough knowledge hp portfolio observed via customer interaction test scores limited reliance technical support internal resources discuss products solutions customers consistently demonstrates proactive activities within accounts uncover new business takeownership new opportunities consistently meets exceeds metrics related outbound calls open pipeline opportunities closed revenue set segment management ability build strong consultative relationships key client business managers executives focus addressing business needs understands client procurement processes knows key decision criteria winning new andor maintaining existing business knows understands hp sales tools processes project management skills desired demonstrates ability act team lead demonstrated ability coordinate internal external partners deliver appropriate solution sale hp reimagine reinvent career well world around love taking tough challenges disrupting status quo creating next search talented people inspired big challenges driven learn grow dedicated making meaningful difference hp technology company operates 170 countries around world united creating technology makes life better everyone everywhere history hp commitment diversity equity inclusion boardroom factory floor create culture everyone respected people part something bigger celebrate notion belong hp bring authentic self work every day innovative helps grow bottom line come hp thrive,Not Applicable,Full-time,Sales and Business Development,"Computer Hardware, Computer Software, and Information Technology and Services"
Inside Sales,3M,"Shanghai, Shanghai, China",2021-10-01,< 25 applicants,3m reputation company committed innovation provide freedom explore encourage curiosity creativity gain new insight diverse thinking take risks new ideas apply talent bold ways matter job description inside sales industry psd learn 3m creative solutions world problems twitter 3m please note application may considered provide education work history either 1 uploading resume 2 entering information application fields directly 3m global terms use privacy statement carefully read terms use using website access use website application job 3m conditioned acceptance compliance terms please access linked document clicking select country applying employment review submitting application asked confirm agreement terms,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Consumer Goods"
