jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Supply and Sales Operation Executive,Hermès,"Shanghai, China",2021-09-12,34 applicants,responsibilities demand planning maintain items demand planning framework current information process run properly updated includes maintenance inventory forecasts ensure demand planning forecasted level inventory products maintained predefined policy levels identify opportunities costs reduction monitor inventory levels well support sales reconciling stocks monthly basis report manager foreseeable risk stocks coordinate overseas plants regular communication achieve feedback supply plan track daily importation logistics activities supply chain team follow logistics projects organize monthly demand plan meetings internal external teams align demand forecast according sales marketing activities work management team define kpi report monthly basis ii sales data analysis receive integrate orders clients input system ensure data accuracy track channels numbers inventory status provide data required support sales team generate key sales analysis based different sources provide ideas better understanding opportunities threats business provide sales analysis report management team monthly basis identify status items qualification bachelor degree prefer candidate working experience industry supply chain related open fresh graduate strong figure sense excel skill excellent communication skills ownership business oriented result driven true team player able manage multiple tasks fluent english mandarin,Associate,Full-time,"Supply Chain, Sales, and Strategy/Planning",Luxury Goods & Jewelry
Sales Excellence Specialist,Siemens,"Shijiazhuang, Hebei, China",2021-09-12,< 25 applicants,responsibilities responsible maintain account transparency crm tools responsible account transparency report responsible internal external communication intranet management article publish success reference documentation responsible organize account summit responsible hbw administration internal communication marketing topics tasks assigned management need qualify position working experience experience account business management support experience data analysis experience business articles writing experience customer event summit organize experience multinational companies knowledge detail experience required good english chinese writing microsoft excel powerpoint capability good communication skill open collaboration dedicate attitude work organization digital industries company siemens china experience level early professional job type,Associate,Full-time,"Sales, Business Development, and Product Management",Electrical/Electronic Manufacturing
Key Account Manager,Abbott,"Shanghai, Shanghai, China",2021-09-19,< 25 applicants,major support ecommerce manager planning formulating implementation ecommerce sales promotional strategies store maintenance websites ensure online product display line marketing guideline promotional message improve experience monitor sales promotion results submit proposal specific marketing activities operations store execution marketing activities stores work closely 3rd party agency improve operations reporting analysis commerce market data trend optimize channel operation provide support channel partners improve customer experience customer service level inventory management etc ensure daily weekly monthly reports delivered time expected quality requirements industry experiences experience health food personal care digital electronics products plus position experiences years working experience personal care food products years sales familiar ecommerce tmall jd language good english communication computer skills proficient operating excel sheets ppt mobility good team player work cross function teams play influence developing resourc,Associate,Full-time,Sales,Hospital & Health Care
Key Account Manager,Bayer,"Beijing, Beijing, China",2021-09-26,< 25 applicants,bayer visionaries driven solve world toughest challenges striving world health hunger none longer dream real possibility energy curiosity sheer dedication always learning unique perspectives around us expanding thinking growing capabilities redefining many reasons join us hungry build varied meaningful career community brilliant diverse minds make real difference one choice key account manager tasks responsibilities provide routine visits key stakeholders health management governments hospitals especially hospital director pharmacy head key stakeholders hospitals monthly report ka management implement company projects targeted stakeholders smoothly effectively build strong partnership key accounts region build good bayer brand image obtain feedback information stakeholders project participants timely provide suggestion hq future improvement cooperate closely local sales teams sharing information project progress cooperate drug listing removing amount limitation avoiding stopping prescription cooperate closely local sales teams marketing teams bidding reimbursement affairs receive implement required ka company management 2 years experience district sales manager ka manager excellent performance record good skill experience communication negotiation good stakeholder management skill good strategic thinking planning implementation good collaboration people internal external customer service oriented proficiency computer skill application background personal experience fit profile please send us complete application recommendations please kindly send mail cnreferral l ocation china beijing beijing division pharmaceuticals reference code 488563,Associate,Full-time,Sales and Business Development,"Chemicals, Pharmaceuticals, and Biotechnology"
Business Development Manager-Skincare-China,Michael Page,"Shenzhen, Guangdong, China",2021-09-19,< 25 applicants,large business scope top brand client client unique existence high end skincare brand originated europe job description increase distributors effectiveness growth orienting training counseling staff well communicating values strategies objectives providing opportunities accomplish objectives region establishing plans budgets results measurements allocating resources reviewing progress making corrections set oversee brand performance sales growth market share margins profit standpoint build company brand image collaborating customers communities key influencers media socialites etc foster promote ethical business practices maintain continuous cooperation key function office capitalize insights maximize business impact necessary find assess highlight regional director brand new potential distributors oversee financial part ensuring margins profits credits fully line region targets develop train coach distributor share effective practices initiatives also build maintain strong commitment mutual trust successful applicant least 8 years working experience sector least 3 years brand management experience reputable brand china track record developing leading business team achieve sales target distributor possible sales channels ability travel frequently domestically internationally required fluent english mandarin ability expand business scope throughout various medias new channels vlog offer potential growth asia market competitive salary contact jim dai quote job ref 4168907,Associate,Full-time,Business Development and Sales,Consumer Goods
Territory Manager,bp,"Tianjin, Tianjin, China",2021-09-26,< 25 applicants,job profile summary grade iresponsible supporting team maximise profitability sales opportunities managing developing strategic business relationships strategically important key accounts building existing relationships creating new business opportunities scope role influence grade include financial accountability geographical scope leadership responsibilities overall level responsibility job advert purpose role role accountable developing implementation sales strategy selected territory deliver financial performance targets including sales volume gross margin overdue role also responsible finding prospect partners coaching distributors monitoring financial position ensure long term accountabilities develop implement territory business plans according pu business strategy deliver financial performance targets territory including volume gm overdue develop agree internally externally implement annual business plan distributor channel partner providing permanent support areas contents including sales performance including forecasting reporting timely interventions sales capability skills knowledge customer offer deployment coverage satisfaction financial return investment cash flow performance brand representation compliance hsse ethical compliance input influence people resources allocations distributors ensure strategic priorities fulfilled within territory ensure sales tools system effectively implemented distributors area lead act focal point assigned projects territory improve deliver customer experience targeted sectors customer groups seeking continuous improvement efficiency operations making sure voice customer represented every decision make drive standardization sales offers line basic customer offer ensure activities conducted 3rd parties intermediaries country comply fully coc local competition legalization ensure compliance country regulations bp group segment regional policies standards education bachelor degree experience minimum 5 years working experience distributor sales management track record delivery sales targets performance representing company externally dealing professionally large distributors experience managing negotiations senior level skills competencies ability develop implement strategic tactical business plans ability hands drive business direct responsibility flexibility thought action able respond changing market environments dynamic business situations equal opportunity employer value diversity company discriminate basis race religion color national origin sex gender gender expression sexual orientation age marital status veteran status disability status ensure individuals disabilities provided reasonable accommodation participate job application interview process perform essential job functions receive benefits privileges employment please contact us request accommodation entity customers products job family group sales group relocation available travel required yes 75 time type full time country china bp customer products gearing future bp goal c p deliver future mobility energy services customers innovating new business models service platforms c p become hub housing midstream lubricants aviation sale chemicals mobility convenience marketing businesses making highly integrated interconnected organisation safety core value commitment safe reliable operations never change want join team means agile responsive changing customer needs dynamic markets focusing growth development customer offers optimising chemicals fuels value chains maximise integrated value contributing reduction carbon intensity products create sell 50 2050 sooner creating strategic partnerships drive value c p digitally enabled empowered customer insights data deliver solutions experience level intermedi,Associate,Full-time,Sales,Oil & Energy
Key Account Manager,Abbott,"Shanghai, Shanghai, China",2021-09-19,< 25 applicants,job description major work marketing sales team establish bidding strategy action plan manage bidding information bidding policy analysis work distributor bidding process negotiate local authority try get optimal bidding price full supports local staffs follow whole bidding process provide feasible action plan accomplish bidding projects related departments build maintain good relationship professional associations kols provide guidance help sales team get products listed key individual hospital develop distributor management strategy effective distributor management policy establish implement policy confront cross zone sales activity maintain legitimacy orders within respectively sales territory communicate lobby government decision makers different levels specific goal build relationship central governments ensure corporate business well protected fit government development agenda direction get licensed products onto national reimbursement list lobbying government new product price application get optimal price establish build relationships key contacts within company govt agencies requirements industry experiences minimum 6years working mnc government office familiar government affairs relevant exposure experiences product bidding distributor management reimbursement listing pricing either pharmaceutical products healthcare products position experiences minimum 4 years relevant experience hospital bidding practice experience new drug pricing application medical reimbursement practice better relevant experience management medical products language good command written verbal english computer skills proficient computer skills ms office excel ppt lotus notes mobility flexible travel business need certificate required least bachelor degree pharmaceutical related major special requirement able work pressure meet tight dateline able work independently yet contributed team player good interpersonal communication coordinating skills creative well organized,Associate,Full-time,Sales,Hospital & Health Care
Sales Representative Southern China,Crimson Spirits Company Limited,"Shenzhen, Guangdong, China",2021-10-09,< 25 applicants,sales representative china south fantastic opportunity join fast growing dynamic spirits company numerous new product launches planned next 18 months crimson spirits company looking hire sales representative based china south ideally guangzhou shenzhen work part small dynamic motivated team working driving sales brands products job responsibilities contacting potential existing clients establish rapport arrange meetings strong focus clients southern china covering shenzhen guangzhou key cities helping plan oversee new marketing initiatives alongside shanghai marketing manager researching bars restaurants hotels distributors find new business opportunities increase value current customers attracting new ones finding developing new markets china south boosting sales revenue monthly quarterly sales reports candidate years experience sales preferably food beverage industry strong communication skills ability manage complex projects multitask personal amiable ability flourish minimal guidance proactive handle uncertainty goal orientated sales driven good level english required salary benefits basic salary doe structured monthly commission travel expenses covered work hours monday friday office hours plus visiting clients location work remotely shenzhen guangzhou candidate id,Associate,Full-time,,
Position : Account Executive,Roche,"Xiamen, Fujian, China",2021-09-19,< 25 applicants,job summary responsible product promotion local hospital retail market using facts materials order achieve company vision integrated personal diabetes management ipdm patients main tasks responsibilities carry daily promotion tasks professional detailing promotion company products eventual aim achieve exceed sales target company possess maintain good product knowledge competent conduct product presentation customers group setting provide regular market competitive information timely reporting format contents agreed company develop update regular basis customer data files pay planned visits target customers based customer territories clinical departments device purchasing store staff manager chain management hospital management according call plan submitted approved manager conduct promotional activities within expense budgets based monthly action plan submitted line manager plan carry quality service meters placed hospitals conduct service expiry inspections machines test strips placed retail terminal along daily visits develop maintain good relationships kols key procurement depts maintain active coordination local distributors ensure enough coverage tasks projects assigned line manager conduct business full compliance behavior business behavior competition basic requirements job education qualifications college medicine pharmaceutical preferred good command english spoken written good command ms office software application product application expertise experience related working experiences good personality skillful communicating others strong ability working independently strong ability bearing hardship,Associate,Full-time,Sales and Business Development,"Pharmaceuticals, Biotechnology, and Medical Devices"
Key Account Manager,,"Shanghai, China",2021-09-26,< 25 applicants,ideal candidate passionate team player committed success company responsibilities build sales budget club kas allocate ka volumes monitors sales targets achievement develop trusted advisory relationship accounts responsibilities qualifications bachelor degree years relevant work experience sam club experience must food baverage industry knowledge pref,Associate,Full-time,,
