jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
National Sales Manager,Wyser,China,2021-09-11,Over 200 applicants,title national sales manager one international brand consumer goods industry major responsibility information national sales management business development existing business maintenance channels development team management etc develop execute targeted white space opportunities greater penetration client marketing new product lines seeks increase revenue translating client challenges opportunities sell products services across company portfolio drive revenue growth leads development delivery innovative proposals capture account growth new business opportunities consultative selling skills relationship clients decent effective efficient presentation skills solid sales experience consumer etc area team work communication proactive good communication negotiation skills proactive good english communication skills college degree abov,Director,Full-time,"Sales, Business Development, and Management","Consumer Electronics, Consumer Goods, and Furniture"
Head Of Sales,Yodo1 Games,"Beijing, China",2021-07-09,< 25 applicants,please read carefully use url apply https location remote anywhere yodo1 mas care mas managed ad services platform changing game developers see video mas core yodo1 helping mobile game developers turn titles scalable business today platform helping thousands developers around world maximize mobile game monetization singular focus 2021 rapidly scaling user base turning passion livelihood many thousands care much want team right hiring head sales lead new mas sales teams drive exponential growth customer base revenue opportunities join yodo1 team opportunity learn grow leading diverse international team developing management skills working leaders experts platform publishing departments taking part strategic decisions gaining wealth knowledge industry identifying unique pain points developers face driving solutions responsibilities managing two sales teams leader reporting directly working operations manager generate simple insightful reports show health progress business presenting weekly working top bottom funnel order increase number calls closing ratio cooperating leads generation team run continuous improvements talking developers learning care taking insights back team drive growth requirements proven sales experience minimum 2 years meeting exceeding sales targets proven experience leading team five people proven experience scaling team process yodo1 expansion think scalably advance quickly experience gaming industry required plus experience saas company strong ability communicate present ideas working colleagues clients multiple countries must able communicate clearly concisely proactively pay based qualifications experience fit role apply change game game developers please use url submit application https,Director,Full-time,,
Head of Sales,Wyser,"Shanghai, China",2021-07-09,< 25 applicants,client introduction italian company one largest manufacturer distributor specialty dessert ingredient solutions key responsibilities regional commercial head taking care greater china region japan korea new customer acquisition key account maintainence direct selling field chanel sales management evaluation supervision distributors market research margin analysis localized sales strategy development future scope pastry technical demonstrator country manager ideal profiles least 5 years experience sector ingredients pastry ice cream food cafeteria bakery etc experience selling field preferred bachelor degree excellent interpersonal communication skills adaptable changing dynamic business environment able work independetnly collaboratively culture awareness preferable experienced working italian companies fluency chinese english speaking italian preferred offer opportunties growing business scratch fix term contract intrim contract competetive annual salary car provided allow,Director,Full-time,"Business Development, Sales, and Customer Service",Food & Beverages and International Trade and Development
"Country Sales Head, SMB",Surrienta Consulting,"Shanghai, China",2021-06-09,< 25 applicants,responsibilities strong track record candidate strong successful track record entering penetrating new markets addition candidate demonstrate proven success building strong team executing plan lastly candidate demonstrated aptitude operating thinking strategically also willing roll sleeves get details work directly customers appropriate strategic focus candidate acquire strong understanding ecommerce import export space ecosystem key stakeholders business payments payment opportunities problem solving candidate strong capabilities entering new market many moving parts uncertainties easy candidate thrive environments ability build design solutions value propositions pitch presentations enable large sales team collaborative candidate work closely support sales product development marketing land expand strategy extremely data centric candidate provide timely accurate useful analyses concerning status new business verticals including progress professional experience qualifications minimum ten 10 years progressive service experience various b2b organizations least five 5 years director role demonstrated success requirement roles experience within global organization working customers variety sizes around world including north america europe china latin america aptitude project management concurrent projects developing scalable systems processes manage enhancing customer experience aptitude balancing resource constraints budgeting raising bar quality service delivery working knowledge either payment industries keen sense ethics integrity leadership characteristics knows business technical functional skills needed job understands various types business propositions understands businesses operate general learns new methods technologies easily strong commitment data driven environment emphasis performance management inspires team become customer centric committed excellence solve even toughest complex problems great gleaning meaning whatever data available quick study new different adds personal wisdom experience come best conclusion solution given situation uses multiple tools techniques well organized resourceful planful effective efficient marshaling multiple resources get things done lays tasks sufficient detail mark trail able get things done less less time work multiple tasks without losing track foresees plans around obstacles fearlessly takes issues challenges people comfortably confronts works conflict delivers negative feedback messages without hesitation deals promptly fairly problem performers lets everyone know stand thrives crises energized tough challenges afraid make negative decisions take tough action challenges status quo attacks everything drive energy eye bottom line afraid initiate action facts known drives finish everything starts writes presents effectively adjusts fit audience message strongly gets message across person high character consistent acts line clear visible set values beliefs deals talks straight walks talk direct truthful time keep confidences please send us updated resume detailed discussion email,Director,Full-time,,
Sales Strategy Manager,Johnson & Johnson China,"Shanghai, China",2021-09-18,< 25 applicants,sales strategy manager contributes company objectives leading channel strategy acting main point contact brand team leading business intelligence analytics efforts role leads team 4 people responsible coaching developing time guarantees creation deployment annual channel plans strategies growth aligned company lrfp roadmap complex nature involves deep knowledge china pharmaceutical market landscape critical key stakeholder development deep collaboration internal stakeholders guarantee needs taken consideration company planning process product development lead development channel management vision incorporating insights brand customer channel working closely customers drive joint business plans delivering innovative thinking high level understanding insights category working close collaboration marketing sales identify future channel trends develop channel growth drivers lead channel strategy development keep governance execution anz ability shape business intelligence making sure meaningful insights intel provided commercial team drive better results benchmark external practice ongoing enhancements innovations contribute building organizational capability advanced analytics identifying opportunities connection leverage data sets identifying potential data sets well strategic input around areas innovation proof concept testing set strategic direction sales strategy operations team coach develop support team growth accelerating development key talent proactively maintain external networks view identifying high potential talent qualifications fluent english demonstrated financial acumen ability translate effective business decision making genuine comfortable people leader demonstrated track record people development leadersh experience working matrix environment cross functional teams experience working global organization collaborating global regional groups plus,Director,Full-time,Sales and Strategy/Planning,"Hospital & Health Care, Consumer Goods, and Pharmaceuticals"
Sales Director,Encore APAC,"Beijing, China",2021-09-09,< 25 applicants,ideal candidate responsible overseeing sales teams operations strategies researching market trends conducting competitor analysis develop implement sales strategies candidate report regional general manager based sydney lead business department 30 colleagues beijing shanghai responsibilities develop implement sales strategies lead sales team 10 win new clients cases assist general manager update internal processes prepare operational financial sales department reports oversee management learning career development sales team directly coordinate joint marketing initiatives maximize exposure profitability qualifications bachelor degree equivalent experience fluent chinese english years sales leadership experience years experience sales strong leadership skills successful cas,Director,Full-time,,
Overseas Sales Director,GraceSolar,"Xiamen, Fujian, China",2021-09-11,< 25 applicants,ideal candidate responsible overseeing sales teams operations strategies researching market trends conducting competitor analysis develop implement sales strategies responsibilities develop implement sales strategies prepare operational financial sales department reports oversee management learning career development sales team directly coordinate joint marketing initiatives maximize exposure profitability qualifications bachelor degree equivalent experience years sales leadership experience years experience sales strong leadership skil,Director,Full-time,,
Store Manager,Hermès,"Shanghai, China",2021-09-09,< 25 applicants,profit loss management plans development sales boutique builds annual budget keeps track foreseeable sales expenses achieves net profitability line within agreed budget prepares weekly sales summary monthly reports sales management ensures clients properly served develops selling strategy based market trends sales objectives inventory control implements strategy quality oriented sales policy ensures sales team fully understands selling strategy applies prepares sales budget every 6 months buying implements proper buying strategy based specificity boutique demand inventory sales objectives inventory manages inventories way order increase sales keep financially healthy stock level fully aware inventory product lines times anticipating stock shortages maintaining reasonable levels much possible optimizes sales boutique ensuring needed stock available regularly reordering merchandising trains sales team develop proper merchandising skills maintains shop display environment company set standard daily operation customer service ensures member sales team provides excellent service individual entering boutique line hermès standards customer service develops sales goodwill proper service clients always present team case conflicts team management motivates sales team serve clients excellent standards employs retains high quality staff right compensation level keep track individual performance defining tasks setting goals ensures team receives proper training regularly order develop customer service product knowledge selling skills oversees ensures leaves taken line company policies procedures untaken annual leaves properly managed creates sense team spirit discipline mutual respect well dedication loyalty company ensures everyone team receives proper support order achieve full potential sales administration ensures procedures systems clearly understood run smoothly comply needs sales activities ensures sales activities properly processed according company procedures processes proper sales reporting according company procedures communications assists marketing team implement communication activities relations boutique proposes marketing team communication activities could help achieve sales objectives boutique times proper ambassador hermès visitors boutique ensure member sales team also acts ambassador brand property management keeps hermès boutique excellent states times ensures proper maintenance renovation works line agreed budget aware neighboring property market inform supervisor requirements capabilities tertiary educated least 10 years relevant management experience fashion luxury industry similar capacity strong business sales sense solid analytical skills ability lead drive performance customer service good customer relationship management skills excellent spoken written english chinese french plus must good team player pleasant service oriented self motivated strong leadership interpersonal communication skills hands computer knowledge ms offic,Director,Full-time,Sales and Business Development,Luxury Goods & Jewelry
National Key Account GM-Private,GE Healthcare,"Shanghai, Shanghai, China",2021-09-25,< 25 applicants,job description summary customer facing staff responsible winning business commercial business operating guidelines budgets guided functional policy autonomy within role enter commercial arrangements high levels commercial judgment required achieve outcomes required job description essential responsibilities achieve targets assigned key accounts within budget target get access builds relations develop business strategy maximize business opportunities products services within allocated key accounts represents 1gehc acts primary customer point contact allocated proactively build network government bodies key opinion leaders well deep understanding healthcare assigned strategic key accounts collaborate rgms zsms service company resources provide necessary technical equipment service clinical content customers coordinate one ge healthcare team strategic accounts order deliver solutions meet exceed customer develop maintain high level customer satisfaction consistent high quality interactions customer build long term strategic alliance portfolio accounts continue add follow ge policies procedures operating mechanism proactively participates company initiatives depending organizational needs directed management ensure knowledge compliance integrity company extensive experience 8 years business management sales marketing progressive leadership positions within healthcare industry knowledge healthcare market decision financial acumen demonstrated ability interpret present internal external financials reflect overall business customer drivers proven key account management complex project planning skills advanced negotiation problem solving high level communication skills including presentation skill able present ideas customers internally way produces understanding outstanding influencing interpersonal networking skills drive collaborative culture outcome engaging inspiring leader able travel 70 percent work characteristics additional eligibility qualifications additional information relocation assistance provided,Director,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
International Sales Manager,Junjue Consulting,"Shenzhen, Guangdong, China",2021-08-09,< 25 applicants,国际销售经理 任职要求 international sales manager formulate implement regional marketing channel development plans strategies quantify sales objectives assist director develop establish maintain overseas markets seek track foreign customers maintain old customers train new people market development customer maintenance sales management collect regional market information information international exhibitions competitors competitive products visit foreign customers regularly irregularly participate foreign exhibitions etc participate foreign trade cooperation negotiations assist establishing maintaining foreign sales networks job requirements five years international sales experience familiar international market experience international sales medical devices preferred fluent oral english proficient computer daily office software bachelor degree major biology international trade english medicine preferred good communication skills team spirit strong problem solving ability tolerance,Director,Full-time,,
