jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Inside Sales,3M,China,2021-10-02,< 25 applicants,3m reputation company committed innovation provide freedom explore encourage curiosity creativity gain new insight diverse thinking take risks new ideas apply talent bold ways matter job description inside sales industry psd learn 3m creative solutions world problems twitter 3m please note application may considered provide education work history either 1 uploading resume 2 entering information application fields directly 3m global terms use privacy statement carefully read terms use using website access use website application job 3m conditioned acceptance compliance terms please access linked document clicking select country applying employment review submitting application asked confirm agreement terms,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Consumer Goods"
Senior Account Sales,GE Healthcare,China,2021-10-07,< 25 applicants,job description summary customer facing staff responsible winning business executes standard sales tasks typically subject instructions work routines latitude rearrange sequence complete based changing work situations may responsible targeted clients stable regions sales territories job description 角色与职责 l 中的关键客户 ge 基本资格 所需特性 inclusion diversity ge healthcare equal opportunity employer inclusion matters employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law expect employees live breathe behaviors act humility build trust lead transparency deliver focus drive ownership always unyielding integrity total rewards designed unlock ambition giving boost flexibility need turn ideas realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support additional information relocation assistance provided,Entry level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Key Account Representative,Cargill,China,2021-10-02,< 25 applicants,job purpose impact general sales representative sell directly consumers business purchasers indirectly various sales channels seek professional help identify contact prospective customers building relationships generate future sales repeat business role participate assessing customer needs suggesting appropriate products services solutions key accountabilities new key account customer development foodservice channel especially eastern qsr western qsr causal dinning emerging channels international customer management coordinate customer internal stakeholders deliver right product solutions supervision coordinate market research pricing sales merchandising activities help support business growth disseminating information favorably promotes organization products services help monitor customer competitor activity industry trends participate regular status strategy meetings customers senior management understand meet needs handle basic issues problems direct supervision escalating complex issues appropriate staff duties assigned qualifications minimum qualifications 2 years working experience foodservice channel better sales experience key accounts key behaviors build strong customer relationships deliver solutions good communication skills internally externally could lead cross functional team work solutions young potential energetic positive,Entry level,Full-time,Sales and Business Development,"Chemicals, Food & Beverages, and Food Production"
Inside Sales-SME,3M,China,2021-09-25,< 25 applicants,3m reputation company committed innovation provide freedom explore encourage curiosity creativity gain new insight diverse thinking take risks new ideas apply talent bold ways matter job description independently performs sales work training general supervision assigned territory account subset mail telephone internet fixed site whether home office rather customer place business initiates actions towards unresolved issues necessary supervisor consulted assistance problem areas understands product lines customer segments needs functions competitive products prices policies utilizes active listening communication skills learn build customer relationships understand opportunity priority sell responsible performing work individual contributor within forecast target sales team member cultivating working relationship field sales reps assigned territories promote healthy team selling approach learn 3m creative solutions world problems twitter 3m please note application may considered provide education work history either 1 uploading resume 2 entering information application fields directly 3m global terms use privacy statement carefully read terms use using website access use website application job 3m conditioned acceptance compliance terms please access linked document clicking select country applying employment review submitting application asked confirm agreement terms,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Consumer Goods"
Regional Sales Manager(Trainee),Procter & Gamble,China,2021-06-09,< 25 applicants,description work central account executive team feedback regional customer needs work regional joint business plan regional business point sale key performance indicator sell regional strengthen plan sell headquarters plan execution compliance 100 qualifications education background bachelor degree english proficiency speak read write fluently english leadership analytical skills logic thinking review data identify rationale solution flexibility adapt change skills hardworking collaborate establish relationship oversea colleagues customers,Entry level,Full-time,Sales and Business Development,Consumer Goods
Channel Sales Leader,GE Healthcare,China,2021-09-25,< 25 applicants,job description summary customer facing staff responsible winning business executes standard sales tasks typically subject instructions work routines latitude rearrange sequence complete based changing work situations may responsible targeted clients stable regions sales healthcare leading global medical technology digital solutions innovator mission improve lives moments matter unlock ambition turn ideas realities join organization every voice makes difference every difference builds healthier world job description 角色与职责 ge 基本资格 所需特性 inclusion diversity ge healthcare equal opportunity employer inclusion matters employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law expect employees live breathe behaviors act humility build trust lead transparency deliver focus drive ownership always unyielding integrity total rewards designed unlock ambition giving boost flexibility need turn ideas realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support relocation assistance provided additional information relocation assistance provided,Entry level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Strategic Account Sales Manager,GE Healthcare,China,2021-09-25,< 25 applicants,job description summary customer facing staff responsible winning business executes standard sales tasks typically subject instructions work routines latitude rearrange sequence complete based changing work situations may responsible targeted clients stable regions sales healthcare leading global medical technology digital solutions innovator mission improve lives moments matter unlock ambition turn ideas realities join organization every voice makes difference every difference builds healthier world job description roles responsibilities achieve targets sales assigned one within budget allocated target get access builds relations develop business strategy maximize business opportunities ge healthcare businesses products services within allocated represents acts primary customer point contact allocated proactively build network government bodies key opinion leaders well deep understanding healthcare assigned coordinate indirect deals multimodality projects aim maximizing share direct deals within accounts cooperation modalities marketing drive one ge healthcare marketing events assigned territory aware segmentation targeting healthcare system apply relevant product benefits client segment analyze market trends competition accounts develop business plan strategy creates new business opportunities ge healthcare products services provides feedback management modalities services marketing leverage product sales specialists account managers service company resources provide necessary technical equipment service clinical content customers coordinate one ge healthcare team strategic accounts order deliver solutions meet exceed customer expectations develop implement plans zone cross functional teams achieve results effective project proposals negotiations contracts grow share wallet assigned accounts ge share customer investments capital operational expenditures maintain high level customer satisfaction consistent high quality interactions customer management drive customer accounts build long term strategic alliance portfolio accounts continue add value promote service offerings identify escalate commercial service needs monitor escalate service issues drive customer ge policies procedures operating mechanism proactively participates company initiatives depending organizational needs directed management ensure knowledge compliance integrity company policies geographic scope zone could territory within zone minimum 5 years relevant healthcare industry experience bachelor degree proven achieving exceeding sales targets desire grow new business experience understanding customer needs business drivers using knowledge develop account plans strategies knowledge existing account would advantageous interpersonal skills including teamwork communication skills persistence developing prospects customers ability close business strong presentation analytical customer service skills able manage time organize prioritize workload inclusion diversity ge healthcare equal opportunity employer inclusion matters employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law expect employees live breathe behaviors act humility build trust lead transparency deliver focus drive ownership always unyielding integrity total rewards designed unlock ambition giving boost flexibility need turn ideas realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support additional information relocation assistance provided,Entry level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Account Manager,3M,China,2021-09-25,< 25 applicants,3m reputation company committed innovation provide freedom explore encourage curiosity creativity gain new insight diverse thinking take risks new ideas apply talent bold ways matter job description achieves sales objectives providing independent sales coverage assigned accounts within assigned territory position intended individuals basic sales experience demonstrated ability apply basic selling skills manages sales territory regular supervision necessary requests receives assistance handling situations require either greater different experience knowledge learn 3m creative solutions world problems twitter 3m please note application may considered provide education work history either 1 uploading resume 2 entering information application fields directly 3m global terms use privacy statement carefully read terms use using website access use website application job 3m conditioned acceptance compliance terms please access linked document clicking select country applying employment review submitting application asked confirm agreement terms,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Consumer Goods"
Sales Development Representative,App Annie,China,2021-09-25,< 25 applicants,sales development representative remote china app annie always looking extraordinary candidates mobile saas analytics background love get know current openings sales development representative location however event position opens love first person know traditionally look something us app annie industry trusted mobile data analytics platform mission help customers create winning mobile experiences achieve excellence created mobile app data market committed delivering industry complete mobile performance offering headquartered san francisco 12 offices worldwide enterprise clients 1 million registered users across globe spanning industries rely app annie standard revolutionize mobile business along market defining product take great pride culture values strive embody daily set high bar success made excellence standard hold accountable continuously push innovation win style tell friends ask serve first point contact many app annie future clients across mobile app industry make sure understand value data applied make better business decisions role reports global director san francisco ideal candidate experience working closely marketing operations understand importance mql marketing qualified leads fully committed meeting sla around responding inbound leads ideal candidate also knowledge outbound marketing including familiarity video pitches building outreach sequences utilizing linkedin modern sdr tools comfortable working inbound outbound order drive pipeline drive growth responsible take pride passion activity high energy competitive spirit focus winning highly coachable passionate learning desires feedback passion excel customer facing role maniacal focus sfdc hygiene calls activity lead disqualification notes familiarity google suite tools outreach high volume calls creativity execution email drip campaigns needed willingness desire part global meetings time zones consistently achieving exceeding monthly goals high business acumen passion solve problems understand things matter customer recognize bachelor degree required excellent communications skills native language english written oral experience salesforce required strong presentation skills demonstrated success achieving sales goals must excellent verbal written communication skills must creative solutions thinker drive sales success must detail oriented flexible entrepreneurial spirit positive attitude ability adapt fly new challenges take oneself seriously sense humor bias action results oriented competitive highly positive attitude offer provide wfh allowance set remote work success internet allowance stable internet connection video freeze zoom flexible working days love meet need get kids behind need leave early get band repetition gym classes thing paid leave long promise come back health dental benefits international team talented engaged people different cultural backgrounds locations wellbeing allowance activity matters wellbeing online gym classes fitness equipment mindfulness apps even childcare support unlimited access online learning platform udemy help develop skills virtual initiatives events keep connected colleagues yes want job,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
Sales Manager,Procter & Gamble,China,2021-09-09,< 25 applicants,description delivers net outside sales shipment share goals executing joint business plans level delivers superior sales fundamentals win influencers first moment truth executes flawlessly level description delivers net outside sales shipment share goals executing joint business plans level delivers superior sales fundamentals win influencers first moment truth executes flawlessly level qualifications bachelor degree excellent selling customer engagement skills strong partnership collaboration others fluent english written verbal communication,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Consumer Goods"
