jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Intern,Yasa ET,"Shanghai, China",2021-06-08,< 25 applicants,sales internship description looking qualified sales intern assist various stages sales funnel including market research generating leads retaining customers ideal intern great fit energetic team gain experience working challenging meaningful projects guidance mentor members team duties responsibilities help develop client relationships retain existing accounts research generate lists potential customers learn apply sales techniques provide input customer briefs presentations sales literature assist evaluating new collaboration opportunities requirements business stem degree excellent interpersonal communication skills ability work team environment least 3 days per week minimum 3 months benefits gain experience stage sales funnel collaborate experienced sales professionals attend meetings events networking opportunities opportunity get position end internship compensation performance bonus application interested position please send cv name sales intern email hr,Internship,Internship,,
Sales Operation Intern,BRF,"Shanghai, China",2021-07-08,< 25 applicants,job responsibility follow piv signed shipping schedule checking chasing prepayment overdue payment chasing checking 30days container ehc issue checking follow pushing assist sales form sales force system input claim update tracking claim progress system pull related reports sap system comply brf sustainability policy guidelines ensure adherence brf sustainability plan activities routines promotes compliance indicators global esg environmental social governance commitments company ensuring connection actions sustainable development brf chain requirements undergraduates students major supply chain international trade preferred fluent english good communication skills focus details least 2 working days attendance per week,Internship,Part-time,Customer Service and Supply Chain,Food & Beverages
Sales Intern,DiningCity,"Shanghai, China",2021-07-08,< 25 applicants,responsibilities 1 assist account manager maintenance clients relationship update clients information 2 assist account manager client management 3 上级交办的其他任务 work assigned leaders 1 中国籍在校大学生 chinese undergraduate 2 good communication teamwork strong sense responsibility attentive 3 passionate food 4 有良好的英语听说读写能力将优先考虑 proficient english would big advantage,Internship,Internship,,
Intern Sales Support Associate,PureLiving,"Shanghai, China",2021-09-08,< 25 applicants,job overview sales support associate supports sales team communication partners clients must fluent chinese oral written responsibilities assist sales team prepare presentations proposals sales contracts assist sales team facilitate sales meeting summarize plan work assist sales team update client information internal system make quotation cost accounting etc assist sales team complete new project bidding assist sales team client procurement process issue fapiao needed payment collection work channel partners meet clients testing remediation needs coordinates sales effort operation technical services teams environmental testing project management iaq monitoring technology accounting logistics marketing requirements business management background prior work experience initiative independent thought important must fluent chinese oral written must able english strong written english priority must strong proficiency microsoft word excel powerpoint working hours typically business hours may require occasional evening weekend based business requirements,Internship,Internship,,
Sales Internship,GE Healthcare,"Beijing, Beijing, China",2021-09-24,< 25 applicants,job description summary job description 1 2 3 4 可接受短期出差 5 英语可作为工作语言 inclusion diversity ge healthcare equal opportunity employer inclusion matters employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law total rewards statement total rewards designed unlock ambition giving boost flexibility need turn ideas realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support additional information relocation assistance provided,Internship,Temporary,Sales and Business Development,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Retail operation intern,"PRADA, L.C.","Shanghai, Shanghai, China",2021-09-24,< 25 applicants,job description handling shop payment daily sales report follow petty claims process consolidation weekly traffic reports monthly traffic reports setup new vendor system requirements consolidation information required retail store university student able working four days per week good english good computer knowledge office software word excel powerpoint etc passion luxury,Internship,Internship,Sales and Business Development,Farming
Sales Intern,BeiGene,"Zhangye, Gansu, China",2021-09-24,< 25 applicants,beigene continues grow rapid pace challenging exciting opportunities experienced professionals considering candidates look scientific business professionals highly motivated collaborative importantly share passionate interest fighting cancer job description 岗位职责 qualification required 任职条件 全日制大专及本科2022 届毕业生 每周确保3天以上实习 follow us moseeker,Internship,Internship,Sales and Business Development,"Biotechnology, Hospital & Health Care, and Pharmaceuticals"
Sales And Marketing Intern,FairyMo Sales App,"Shanghai, China",2021-09-08,< 25 applicants,marketing executive intern shanghai technology startup payments new retailing mobility solution strategy retail fashion cosmetic luxury transformation digital era job description current enrolled bachelors masters mba candidates eligible based shanghai working partners clients across globe seeking candidates advertising marketing consulting corporate finance breadth intensive work deadlines commercial pressure looking enthusiastic candidate passion communications content creation message development responsibilities role include conceive develop efficient intuitive marketing strategies including online offline organize oversee campaigns social media exhibitions promotional events conduct market research analysis evaluate trends brand awareness competition ventures initiate control surveys assess customer requirements dedication write copy diverse marketing distributions brochures press releases website material edm social post etc maintain relationships media vendors publishers ensure collaboration promotional activities monitor progress campaigns using various metrics submit reports performance driving effective internal communications assist proper use marketing contents collaborate management team preparing budgets monitoring expenses desired skills fluency english fluency copywriting either chinese english excellent communicator comfortable frequent senior management contact able exert indirect authority deliver results relentlessly high standards eagle eye detail business acumen strong editorial background proofreading skills well experience adhering technical style guides big picture thinking storyboarding solving clients problems hypothesis creation resilience humble attitude misfits creative geniuses want create product sell like mad men company fairymo provides enterprise mobility solutions empower retailers brand owners create store future fairymo powerful mobile point sales application shopping experience dedicated store associate empowerment fairymo bringing best online shopping selling floor intuitive simple use mobile app enables assisted selling endless aisle clienteling store communications mobile checkout payment,Internship,Internship,,
Sales Intern,BeiGene,"Wuhan, Hubei, China",2021-10-01,< 25 applicants,beigene continues grow rapid pace challenging exciting opportunities experienced professionals considering candidates look scientific business professionals highly motivated collaborative importantly share passionate interest fighting cancer job description 岗位职责 qualification required 任职条件 全日制大专及本科2022 届毕业生 每周确保3天以上实习 follow us moseeker,Internship,Internship,Sales and Business Development,"Biotechnology, Hospital & Health Care, and Pharmaceuticals"
Commercial Trainee,Cargill,"Dongguan, Guangdong, China",2021-10-01,< 25 applicants,job purpose impact sales associate iii participate remote selling new existing customers selling directly indirectly various sales channels seek professional guidance help assess customer needs suggest appropriate products services solutions key accountabilities help develop deliver sales bids proposals presentations participate conducting product demonstrations help identify contact prospective customers build customer relationships help generate future sales repeat business apply broad theoretical job knowledge sell directly customers handle complex clerical administrative technical customer support issues minimal supervision escalating complex issues appropriate staff duties assigned qualifications minimum qualifications minimum four years related work experience minimum qualifications may appli,Internship,Full-time,Management and Manufacturing,"Chemicals, Food & Beverages, and Food Production"
