jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Strategic Account Sales Manager,GE Healthcare,China,2021-09-26,< 25 applicants,job description summary role represent act primary customer point contact allocated proactively build network government bodies key opinion leaders well deep understanding healthcare assigned healthcare leading global medical technology digital solutions innovator mission improve lives moments matter unlock ambition turn ideas realities join organization every voice makes difference every difference builds healthier world job description responsibilities achieve targets sales assigned one within budget allocated target get access builds relations develop business strategy maximize business opportunities ge healthcare businesses products services within allocated represents acts primary customer point contact allocated proactively build network government bodies key opinion leaders well deep understanding healthcare assigned coordinate indirect deals multimodality projects aim maximizing share direct deals within cooperation modalities marketing drive one ge healthcare marketing events assigned territory aware segmentation targeting healthcare system apply relevant product benefits client segment analyze market trends competition accounts develop business plan strategy creates new business opportunities ge healthcare products services provides feedback management modalities services marketing product sales specialists account managers service company resources provide necessary technical equipment service clinical content customers coordinate one ge healthcare team strategic accounts order deliver solutions meet exceed customer expectations develop implement plans zone cross functional teams achieve results effective project proposals negotiations contracts grow share wallet assigned accounts ge share customer investments capital operational expenditures develop maintain high level customer satisfaction consistent high quality interactions customer management drive customer accounts build long term strategic alliance portfolio accounts continue add value promote service offerings identify escalate commercial service needs monitor escalate service issues drive customer ge policies procedures operating mechanism proactively participates company initiatives depending organizational needs directed management ensure knowledge compliance integrity company policies geographic scope zone could territory within zone minimum 5 years relevant healthcare industry experience bachelor degree proven achieving exceeding sales targets desire grow new business experience understanding customer needs business drivers using knowledge develop account plans strategies knowledge existing account would advantageous excellent interpersonal skills including teamwork communication skills persistence developing prospects customers ability close business strong presentation analytical customer service skills able manage time organize prioritize workload inclusion diversity ge healthcare equal opportunity employer inclusion matters employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law expect employees live breathe behaviors act humility build trust lead transparency deliver focus drive ownership always unyielding integrity total rewards designed unlock ambition giving boost flexibility need turn ideas realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support,Mid-Senior level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Global Sales Manager,ADP,China,2021-09-19,< 25 applicants,role purpose penetrate accounts focus companies based north asia primary responsibility role develop manage relationships key stakeholders order drive sales across assigned accounts territory addition global sales manager responsible providing consistent management planning reporting accounts responsibilities meet exceed assigned quota develop annual business plan determining sales activity goals required attainment assigned quota create consistent activity management opportunity account plans within prepare sales forecasts establish targets areas product mix sales volume market share business development monitor performance sales goals adjust sales strategies plans meet changing markets competitive conditions broaden knowledge company solutions capabilities versus competition pursue large prospects leads negotiate terms sales maximize organization business interests liaise departments across organization particularly implementation client services ensure sales activities integrated parts business aligned overall corporate objectives propose implement opportunity account plans ensure client satisfaction profitability retention building ongoing business relationships establish maintain effective constructive relationships clients earning trust respect demonstrating consistent commitment exceed expectations maintain high state integrity professionalism carrying duties responsibilities position qualifications experience bachelor degree least 5 years sales experience service outsourcing hcm solutions related software industries selling executives least 3 years exposure north asia region strong financial acumen business orientation innovative approaches business development possesses industry knowledge solid proven sales record continually achieving exceeding assigned business revenue targets proven proficiency account plan development implementation related sales strategies secure large clients strong command english oral written second north asia language preferred excellent presentation written communication skills,Mid-Senior level,Full-time,Business Development and Sales,Human Resources
Global Sales Manager,ADP,China,2021-09-19,< 25 applicants,role purpose penetrate accounts focus companies based north asia primary responsibility role develop manage relationships key stakeholders order drive sales across assigned accounts territory addition global sales manager responsible providing consistent management planning reporting accounts responsibilities meet exceed assigned quota develop annual business plan determining sales activity goals required attainment assigned quota create consistent activity management opportunity account plans within prepare sales forecasts establish targets areas product mix sales volume market share business development monitor performance sales goals adjust sales strategies plans meet changing markets competitive conditions broaden knowledge company solutions capabilities versus competition pursue large prospects leads negotiate terms sales maximize organization business interests liaise departments across organization particularly implementation client services ensure sales activities integrated parts business aligned overall corporate objectives propose implement opportunity account plans ensure client satisfaction profitability retention building ongoing business relationships establish maintain effective constructive relationships clients earning trust respect demonstrating consistent commitment exceed expectations maintain high state integrity professionalism carrying duties responsibilities position qualifications experience bachelor degree least 5 years sales experience service outsourcing hcm solutions related software industries selling executives least 3 years exposure north asia region strong financial acumen business orientation innovative approaches business development possesses industry knowledge solid proven sales record continually achieving exceeding assigned business revenue targets proven proficiency account plan development implementation related sales strategies secure large clients strong command english oral written second north asia language preferred excellent presentation written communication skills,Mid-Senior level,Full-time,Business Development and Sales,Human Resources
Virtual Sales Specialist,Cisco,China,2021-09-10,< 25 applicants,interested challenged appreciated embarking dynamic career environment colleagues become friends managers actively coach creativity ambition valued business development representative specialized resource allows greater depth knowledge around cisco architectures bdr develops closes opportunities qualified leads working directly customer engineering partners candidates jump start cisco sales career joining demand response team part global virtual sales engineering organization opportunity future growth promotion respond customers want interact cisco understand needs work partners provide solutions work closely leverage selected channel partners maximize new sales opportunities manage sales opportunities using technologies remotely interface customers leverage new sales models cloud services software help customers maximizing revenue manage full sales lifecycle qualified opportunities help generate pipeline segments cisco business work global virtual sales organization one cisco fastest growing sales teams talent engine cisco sales diverse motivated teams consistently deliver profitable growth serve customers series selling motions drive higher value optimal experience cisco solutions drive relevant business outcomes global dynamic team brings excitement sales environment every day connect cisco customers solutions transform businesses change world better discover creative flexible working environment using latest cisco technology enable empower perform best abilities teams adapt respond market changes highly encouraged give back local communities enjoy selling changing environment goal motivated believe performance rewards exceeding annual sales goals strong collaboration partners internal stakeholders place years b2b selling experience similar adjacent industry consultancy company ideally sales tech knowledge tech education background experience owning full sales cycle developing closing opportunities working closely customers partners passionate sales building positive relationships customers highly motivated candidates determination tenacity drive willingness learn launch sales experience technology expertise flexible resilient problem solver passionate ability tap technology history career progression desire professional development thrives team environment english speaking equivalent cisco cisco person brings unique talents work team make difference yes technology changes way world works lives plays learns edge comes people connect everything people process data things use connections change world better innovate everywhere launching new era networking adapts learns protects building cisco services accelerate businesses business results technology powers entertainment retail healthcare education benefit everyone striving culture empowers every person difference work communities cisco affirmative action equal opportunity employer applicants receive consideration employment without regard race color religion gender sexual orientation national origin genetic information age disability veteran status legally protected basis,Mid-Senior level,Full-time,Sales,Computer Networking
Virtual Sales Specialist,Cisco,China,2021-08-10,< 25 applicants,interested challenged appreciated embarking dynamic career environment colleagues become friends managers actively coach creativity ambition valued business development representative specialized resource allows greater depth knowledge around cisco architectures bdr develops closes opportunities qualified leads working directly customer engineering partners candidates jump start cisco sales career joining demand response team part global virtual sales engineering organization opportunity future growth promotion respond customers want interact cisco understand needs work partners provide solutions work closely leverage selected channel partners maximize new sales opportunities manage sales opportunities using technologies remotely interface customers leverage new sales models cloud services software help customers maximizing revenue manage full sales lifecycle qualified opportunities help generate pipeline segments cisco business work global virtual sales organization one cisco fastest growing sales teams talent engine cisco sales diverse motivated teams consistently deliver profitable growth serve customers series selling motions drive higher value optimal experience cisco solutions drive relevant business outcomes global dynamic team brings excitement sales environment every day connect cisco customers solutions transform businesses change world better discover creative flexible working environment using latest cisco technology enable empower perform best abilities teams adapt respond market changes highly encouraged give back local communities enjoy selling changing environment goal motivated believe performance rewards exceeding annual sales goals strong collaboration partners internal stakeholders place years b2b selling experience similar adjacent industry consultancy company ideally sales tech knowledge tech education background experience owning full sales cycle developing closing opportunities working closely customers partners passionate sales building positive relationships customers highly motivated candidates determination tenacity drive willingness learn launch sales experience technology expertise flexible resilient problem solver passionate ability tap technology history career progression desire professional development thrives team environment madarian english speaking equivalent cisco cisco person brings unique talents work team make difference yes technology changes way world works lives plays learns edge comes people connect everything people process data things use connections change world better innovate everywhere launching new era networking adapts learns protects building cisco services accelerate businesses business results technology powers entertainment retail healthcare education benefit everyone striving culture empowers every person difference work communities cisco affirmative action equal opportunity employer applicants receive consideration employment without regard race color religion gender sexual orientation national origin genetic information age disability veteran status legally protected basis cisco consider employment case case basis applicants arrest conviction records,Mid-Senior level,Full-time,Customer Service,Computer Networking
Regional Sales Manager,Procter & Gamble,China,2021-08-10,< 25 applicants,description work central account executive team feedback regional customer needs work regional joint business plan regional business point sale key performance indicator sell regional strengthen plan sell headquarters plan execution compliance 100 description work central account executive team feedback regional customer needs work regional joint business plan regional business point sale key performance indicator sell regional strengthen plan sell headquarters plan execution compliance 100 qualifications education background college degree english proficiency speak read write fluently english leadership analytical skills logic thinking review data identify rationale solution flexibility adapt change skills hardworking collaborate establish relationship oversea colleagues customers,Mid-Senior level,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Consumer Goods"
Regional Sales Manager,Husqvarna Group,China,2021-09-10,< 25 applicants,purpose purpose position actively promote manage sales within china includes directly leading managing implementation sales strategies initiatives order meet company targets regarding growth profitability main execute sales strategies initiatives china ensure internal customer first focus within team increase focus sales service according group targets customers manage develop expand distribution network profitable manner develop professional best class sales channels industry support senior sales representative china assistance gathering data sales analysis planning develop business strategy deliver expected profitable growth husqvarna group provide accurate input sales forecast planning work sales planning logistics ensure optimal inventory levels ensure adequate customer support group cash flow targets work finance ensure timely payment accounts receivables customers qualifications relevant education experience university degree engineering technical background preferred experience within sales service 2 yrs fluent mandarin fluent english preferred proven sales ability successful track record growth profile impeccable business ethics ability gather information assist understanding market ability influence people strong communication skills experience working environment preferred,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Mechanical or Industrial Engineering, and Consumer Goods"
GOAL-Account Operations Manager,Nike,China,2021-09-19,< 25 applicants,job responsibility work cross functional team lead supply chain initiatives customer build relationships key customers external partners drive account development aligned commercial strategy drive process incorporating operations supply chain areas order management deliveries services etc overall customer management process customer strategic planning execution lead nike teams customers achieve mutually agreed operations plans act voice customer influence nike capability development service offerings manage coordinate implementation operational capabilities services key customers monitor manage performance service level agreements nike customer point view find supply chain improvement opportunities analyzing routine operation performance result job qualification 5 years retail chain experience major consumer driven mnc fmcg consumer ability work across multiple functions drive action via consensus alignment multiple internal sales customer customer service cs c logistic team etc external teams 3rd party vendors ability clearly articulate goals objective work independently cooperatively diverse group ability network influence utilize internal external resources strongly data analytical skills excellent excel skill setup fluent english must role written spoken,Mid-Senior level,Full-time,Sales and Business Development,"Apparel & Fashion, Consumer Goods, and Retail"
Sales Manager,"Disney Parks, Experiences and Products",China,2021-06-10,40 applicants,principal responsibilities manage regional licensees implement regional category plan strategy develop execute appropriate local market category plans develop implement achieve yearly revenue budget category ensure licensees full understanding disney business standards directions strategies manage licensees achieve yearly targeted budget b detailed description responsibilities strategic management implement regional category plan strategy develop local market category plan line regional strategy plan undertake market analysis follow proactive meet trends regulations monitor retail performance determine develop disney segment share determine category key drivers franchise products price retail channel expand brand presence consistently retailer needs contribute regional discussion category behalf local market category management develop implement achieve yearly revenue budget identify contract new licensees instrumental development category identify product franchises channel gaps ensure plans place fill gaps manager contract renewals based category plan assist establishment efficient distribution services provide account management top licensees long term business development coordinate compliance group ensure licensees comply disney labor standards ensure licensees thorough understanding compliance disney contract terms conditions identify develop manufacturing centers excellence global regional regularly communicate key licensees conduct performance reviews quarterly retail management work key retail account manage disney product range presence retail work buyers key retail accounts develop business opportunities managing product sourcing mix range pricing new programs specific retailer shopping profile act communication link disney licensees retail buyers conduct retail accounts performance review marketing update quarterly identify signage merchandising needs creative management direct product development product developer consistently category plan ongoing product quality improvement program administer coordinate licensee product approvals product developer finance management responsible category budget bottom line responsibility provide category forecast quarterly basis revenue grading responsible collection past due accounts receivable marketing management coordinate retail sales marketing team support sales promotion events advertising local market work retail sales marketing team ensure better understanding consumer profiles market needs ensure appropriate licensees implement disney visual merchandising programs information systems maintain competency business systems ø insight contract admin royalty reports ø invision ø sap travel expenses purchase orders,Mid-Senior level,Full-time,"Sales, Marketing, and Business Development","Retail, Consumer Goods, and Apparel & Fashion"
Business Development Representative,Adobe,China,2021-09-26,< 25 applicants,company changing world digital experiences adobe give emerging artists global need design deliver exceptional digital experiences passionate empowering people create beautiful powerful images videos apps transform companies interact customers across every screen mission hire best committed creating exceptional employee experiences everyone respected access equal opportunity realize new ideas come everywhere organization know next big idea could opportunity business development representatives bdr china responsible helping largest global companies customer experiences using adobe solutions process creating new sales opportunities account executives aes deliver consultative approach selling taking time understand customer business goals objectives challenges recommending solution consistently achieve quality pipeline metrics inbound lead outbound account engagement metrics manage territory creation plan key account executives accounts researching key accounts identifying generating interest developing accounts stimulate opportunity prospect educate qualify develop target accounts inbound leads create leads opportunities quickly route prospects current customers appropriate colleagues assist solving problems driving value nurtures provides education areas interest customers setup attend run qualification meetings customers partnership relevant account executive solution consultants updating crm outreach tools necessary ensure capture key history ensuring smooth relevant account executive necessary providing feedback ensure continuous process optimization need succeed track record successful business development enterprise solutions software tech sales environment high motivation independence resilience ability collaborate sales marketing teams deliver pipe creation goals proven sales skills delivering inbound outbound experiences building strong relationships multiple levels within organization strong communication including listening written verbal skills english mandarin experience managing areas bdr process including account planning preparation opportunity qualification objection handling ability quickly learn understand sophisticated business problems translate customers needs solution plays consistently achieving inside sales goals automated sales environment accurate entry management lead data crm system required positive upbeat personality loves spend time engaging customers phone social media email curiosity learn always asking questions proficient standard corporate productivity tools email voicemail ms office experience sales marketing automation tools like sfdc outreach zoom good time management high integrity,Mid-Senior level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Computer Software"
