jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Business Development Manager - Eastern Europe,Ackcio,Russia,,Be among the first 25 applicants,ackcio builds reliable industrial iot solutions automate process monitoring geotechnical structural sensors across construction infrastructure rail mining clients 20 countries across 6 continents business growing rapidly looking business development manager boost growth eastern europe play fundamental role achieving ambitious customer acquisition revenue growth objectives responsibilities account development research accounts identify key players generate interest make approach calls send approach emails potential customers understand customer needs requirements manage develop new opportunities account close sales achieve quarterly quotas work train channel partners demonstrate ackcio products services sales promotion activities planning overseeing new marketing initiatives represent ackcio exhibition booths attend conferences tenders aware potential projects tenders ackcio product features specified tender requirements review tenders recommend bid management respond bid tenders timely manner record keeping enter opportunities company crm use time keep records date factors due dates project timeline probability winning etc reporting prepare sales activity reports management prepare update sales pipelines weekly basis able discuss present pipeline management requirements minimum 3 years business development sales experience experience geotechnical structural monitoring would plus experience following sectors would beneficial civil engineering mining rail oil gas independent track record quota languages broadest possible local language skills eastern european countries including russian language skills clearly advantageous english proficient corporate productivity web presentation tools experience working similar crm excellent verbal written communications skills strong listening presentation skills ability multitask prioritize manage time effectively thrives environment adjust priorities demonstrated ability learn new skills quickly ability work independently part team degree equivalent business marketing engineering perks work talented team startup cool working space lots friendly people team family grabs lunch together part startup disrupting market great place work certified 2021 find us https,Associate,Full-time,Business Development and Sales,Wireless
"Sales Director in Moscow, Russia",DEAC European Data Center Operator,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,position reporting vp sales marketing great opportunity experienced enthusiastic salesperson loves new business development two years experience cloud solution sales experience new business development russia responsibilities creating personal plan new business development promoting deac solutions directly via partners responsibility complete sales cycle uncover opportunities generate demand customers help drive additional revenue requirements track record cloud sales success ability identify develop new business experience customer engagement years proven sales experience cloud solution sales fluent english technological background would advantage outstanding written verbal communication skills experience digital remote business development offer unique opportunity work data center industry interesting responsible position rapidly growing company excellent growth opportunities training competitive salary motivating bonus system work friendly one largest independent data center operators northern europe owned swiss investment infrastructure fund managed quaero capital deac points presence major cities central eastern europe,,Full-time,,
Sales development representative (b2b SaaS platform),,Russia,,Be among the first 25 applicants,https uniting complex helps buy sell earn easier platform allows agricultural producers retailers grain companies manage business attract farmer customers support partners channels maximum efficiency useful information simplicity responsibilities explore evaluate potential customers web research develop sales using new digital business models qualify potential customers digital products services create manage sales funnel opening signing support managed customer service team support development digital solutions based customer opinions market feedback identify opportunities assist development existing saas solutions requirements know best latest practices tools b2b saas sales digital marketing outbound campaigns pipedrive etc successful sdr years experience b2b saas companies crm erp marketing hr management platforms etc avid salesman likes make breakthroughs stimulate sales know run clean sales process well aware pipelines opportunities know make deal live endless cycle basic understanding technologies understanding sales funnel advanced english knowledge spanish plus strong analytical abilities experience working b2b saas conditions cool team background working top international companies ability independently decide without micromanagement lack bureaucracy stagnation distributed team structured processes professional growth afraid difficulties love,,Full-time,,
Sales Account Manager - Far East,Procter & Gamble,"Vladivostok, Primorye, Russia",2021-08-08,Be among the first 25 applicants,please note applying vacancy agree considered one following locations vladivostok khabarovsk might require relocation want continue learning company known sales school sales account manager role sales department transforms yesterday narrow selling concept relationships customers multifunctional collaborative approach designed achieve mutual volume profit market share objectives work collaboratively experts p g including finance sales category managers marketers develop right business strategies business plans deliver sustainable competitive advantage brands marketplace account manager responsible developing superior presence brands defined geographic territory number customers leading significant part business able immediately see results work development priority early career offered rotational assignments changing every 2 3 years progress may opportunity work globally p g willing help build career path right responsibilities developing assortment shelving pricing merchandising strategies marketing budget planning negotiating launches new p g products clients retailers joint business planning clients advertising promo plans assortment shelving pricing merchandising results assessment compensation benefits monthly salary 80 000 rur gross flexible work hours possibility work home monthly lunch flexibility allowance relocation support case offered position outside home location medical travel life insurance possibility enrollment p g international stock ownership plan qualifications higher education minimum bachelor degree good command english higher willing travel relocate throughout career relevant job experience mandatory preferable candidates valid driving license might given priority know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Head of SDR,HypeAuditor,Russia,2021-10-05,Be among the first 25 applicants,work hypeauditor leading b2b influencer marketing platform customers around world provide tools reports influencer search instagram tiktok youtube twitch twitter hypeauditor data provider trusted biggest media outlets like forbes social media today washington post business insider entrepreneur pr week founded back 2018 hypeauditor acquired 750 clients trusted world leading brands like dior amazon h unilever company helping get transparent influencer marketing analytics honored named one america best startup employers 2021 forbes job overview head sdr responsible setting managing leading inside team scratch overseeing sales operations strategies new existing customers hypeauditor duties responsibilities recruits leads team sales development representatives driving overachievement sales goals coaching performance management engagement career development sets structure processes system whole team nurtures positive team environment alignment hypeauditor core values manages team performance quotas sales forecasts executes operating plans ensures sales objectives met drives revenue contributes continued growth hypeauditor consistently achieving individual team quotas monitors daily activity sales representatives including sales activities use corporate crm drives metrics measure performance sales activities corrects deficiencies necessary collaborates field sales employees sales execution qualifications desired years saas sales management supervisory experience preferred telephone internet based sales experience preferred fluent english foreign languages welcomed demonstrated experience building training managing developing getting results setting personal team goals depending current priorities defining kpis inside team proven track record driving high volume transactional sal,,Full-time,,
Area Sales Manager,MOTIVE Srl,"Yaroslavl’, Russia",2021-09-24,Be among the first 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,,Contract,,
Area Sales Manager,MOTIVE Srl,"Samara, Russia",2021-09-24,Be among the first 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,,Contract,,
Head Of Business Development,Servier,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,main responsibilities actively grow develop internal pipeline cooperate global teams providing market analysis revenue profitability estimation matrix fulfillment product relevance russia potential launch life cycle management current portfolio new formulations new indications coordination awareness activities preparation team creations lead product launch transfer business units management alliance activities coordination internal team members alliance counterparts fulfill joint goals deliverables signed partnerships oversee support collaboration governance operating norms including forming managing supporting joint committees coordination internal business partners facilitate proactive partnership management ensure strong alignment coordination key business activities lead alliance risk issue management including proactively identifying potential conflicts managing issues resolution fostering maintaining collaborative working relationships explore new value creation opportunities various offer profitable opportunities identify evaluate potential collaborations opportunities commercial strategic perspectives management proposal development validation negotiation agreements requirements candidate experience pharmaceutical industry years years similar role preferably international pharmaceutical company university degree medical education english fluent desirable skills knowledge management coaching skills experience working managing teams experience working alliances proactive strategic thinker strong facilitation issue resolution skills creativity drive identify new areas lever partnerships additional product service offerings generate incremental revenue margin company ability successfully collaborate internally professionals marketing sales regulatory industry finance legal groups lever respective strengths assets company achieve business objectives excellent interpersonal skills ability facilitate internal alignment effectively diplomatically negotiate resolve conflict strong communication skills verbal written salary benefits salary depends experience discussed individually convenient office location belorusskaya medical insurance 3 months life insurance lunches corporate car 35 calendar days vacation,Director,Full-time,Business Development and Sales,Pharmaceuticals
Sales Key Account Manager,Procter & Gamble,"Moscow, Moscow, Russia",2021-09-24,Be among the first 25 applicants,procter gamble one world largest consumer goods companies making globally recognized brands head old others passionate growing individuals become future leaders committed personal development enable p g looking strong talent key account manager sales representative experience work one top national eastern europe retailers key success role strong negotiation skills collaboration team internally externally strong analytics constant passion winning responsibilities develop p g business one top national retailers leading annual negotiations customer includes contract business plans control agreements execution delivering targets value shares well supervising financial kpis developing portfolio promo strategy financial control customers budgets collaboration internal p g teams including finance logistics marketing departments compensation benefits competitive base salary annual bonus monthly flexibility allowance medical travel life insurance possibility enrollment p g international stock ownership plan flexible work hours possibility work home access p g global comprehensive training portfolio qualifications qualified role must higher education degree experience key account manager kam international companies sales representative top national retailers good command english higher level desired skills experience fund promo management experience advanced negotiation analytical skills strong skills math economics statistics strong resilience stress management skills excellent organization time management skills high level emotional intelligence effective communication networking skills know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Manager - Russia,Charlton Morris,Russia,2021-10-04,Be among the first 25 applicants,never pivotal time plastics packaging industries comes sustainability industry immense pressure consumers companies alike innovate astonishing rate providing new circular economy packaging materials proven salesperson within packaging consumer plastics chemicals segments looking step something new exciting excel position responsible supporting expansion polymer technology business networking brand owner influence successful candidate tasked delivering exponential growth global basis across multiple different consumer accounts food beverage consumer goods packaging segments polymer technology business changing plastic pollution landscape proprietary biodegradation system searching experienced sales manager take ownership growing sales russia prominent international brands position key hire company plan accelerate growth towards require entrepreneurial individual understands complexity packaging plastics value chain based remotely russia regular travel role requires individual strong commercial confidence technical understanding effective front brand owner customers must complete understanding sales cycle lead cash across b2b value chain packaging knowledge raw also advantageous sales manager russia position tasked nurturing growing client relationships playing active role business development generating leads building pipeline order truly successful position must solid technical understanding plastic packaging market experience selling global brand owners must identify prioritise rigorously pursue business opportunities managing sales cycle delivering gbp contracts capable proven salesperson packaging plastics sector passion sustainable solutions traditionally conservative industry could great opportunity successful applicant compensated well performance full support business position essential years commercial experience worked large multinational brand owners russia experience plastics could general packaging labels films polymers raw materials entrepreneurial proactive mindset ability remain resilient environment please get touch confidential discussion,Mid-Senior level,Full-time,Sales and Business Development,"Chemicals, Plastics, and Packaging and Containers"
