jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Director (Russia),TH Group,Russia,2021-09-25,56 applicants,th russia member th group seeking sales director responsible building planning implementing company strategy including manufacturing sales marketing achieve business objectives development goals company location moscow russia responsibilities identify develop direct implementation business strategy including manufacturing sales marketing achieve business objectives set board directors develop detailed operational plans manufacturing sales marketing resources financials realize company business strategy coordinate activities monitor direct effective operation functional departments manage manufacturing activities produce products best quality cost effectiveness satisfies exceeds customers expectation develop implement sale distribution strategy build sale distribution system russia manage marketing branding activities including limited positioning development setting marketing programs formulating pricing strategies establishing communication strategies building promotional activities connect th products brands consumers develop manage budget effectively ensure achievement business goals organization building complete organizational structure establish regulations work protocols procedures develop key performance indicators build organizational culture foster commitment professionalism among staff within company represent th russia relationships authorities partners communities external organizations tasks assigned immediate manager qualifications bachelor degree equivalent experience years experiences similar position multinational companies proven experience business management good network distribution channels modern trade ka convenience stores etc russia wide deep knowledge sales fmcg key accounts distributors management negotiation contracting strong service mindset integrity commitment innovation effective execution strong leadership skills ability manage drive chang,Director,Full-time,"Sales, Business Development, and Management","Consumer Goods, Food & Beverages, and Food Production"
Head of Sales CIS,Honeywell,Russia,2021-10-07,29 applicants,join team recognized leadership innovation diversity position honeywell connected enterprise hce business hce building smarter safer sustainable world helping customers leverage power connected power honeywell company invents manufactures services technology solutions address critical challenges around energy management safety security industrial productivity global urbanization within hce honeywell connected industrial hci line business leading provider advanced software offerings process industries including energy oil gas paper metals mining industries offerings enable measurable business process improvement results customers business focused software solutions engineering support services converting customers data proactive planned actions customers thereby enabling greater reliability improved safety operational uptime business profitability looking honeywell connected industrial business head sales cis leader responsible growing hci business cis region commonwealth independent states exceptional leader responsible drive incremental grow cis full sales responsibility half entire hci cis sales splitting responsibility existing hci sales manager region align existing company strategy double digit grow cis considered part honeywell high grow region hci cis head sales managing team key account territory managers fully responsible orders growth customer engagement keeping strategic relationship suites assigned region position reporting hci sales director europe key responsibilities manage honeywell connected industrials sales selected region customers cis russia kazakhstan ukraine ensure business opportunities converted orders revenue meet exceed assigned orders quota lead organization direct sellers territory managers key account managers assigned region account customer relationship director vp level customer organizations ideal candidate ability establishing building credibility oneself hci strong ability develop sustain customer relationships preferably extensive network connections previous roles similar businesses compelling communications presentation skills duly aligned audiences experience using sales methodologies like challenger sales strategic selling key account management lamp similar excellent negotiator preferably formal negotiation training experience closing deals complex offering structures ability motivate energize others individual exceptional virtual team management skills experience must master degree engineering business field reputed respectable institution 5 years experience solution sales b2b customers industrial segment 3 years people management role managing small medium team native language russian fluent english considerable experience working selling complex software saas service delivering businesses deployment structures ability influence varying levels across customers organization value mba education reputed respectable institution good knowledge major industrials customer russia oil gas chemical power generation 3 years sales experience selling industrial plant management directors vps executive years experience solution sales b2b sales leadership industrial products software solutions process asset management domains experience selling l3 process optimization asset monitoring simulation solutions l4 solutions mes supply chain iiot solutions industry etc experience selling software solutions delivered cloud saas traditional software commercial models proficient usage experience crm sales force sales effectively collaborate regional teams strategic consultative selling experience exceptional collaboration influencing skills across clients organization intent present approach solutions ability handle multiple priorities navigate highly matrixed environment understanding pricing strategy negotiating terms conditions price customers highly motivated leader mature positive attitude passion working customers drive outcomes additional information job id hrd138628 category sales location kievskaya 7 moscow russian federation exempt sales global,Director,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Head of sales,Airswift,Russia,2021-09-25,< 25 applicants,international b2b company leading global manufacturer industrial compressor ventilation equipment duties responsibility russia cis subordination general director specialist develop afm service direction russia cis including sales spare parts service maintenance commissioning repair modernization equipment management department participation development strategy implementation increasing efficiency department fulfilling sales plan future possibly localizing service excellent knowledge markets oil gas chemical industry metallurgy energy experience developing implementing strategy experience successful sales complex industrial equipment design equipment experience successful management people knowledge markets oil gas chemical metallurgy energy since knowledge preferably compressors centrifugal gas piston screw good communication leadership qualities good knowledge english conditions professional development opportunity attractive salary paid lunches voluntary health insurance life insurance mobile connection office prospect mira,Director,Full-time,Sales and Business Development,"Civil Engineering, Staffing and Recruiting, and Oil & Energy"
Head of sales,Benchmark Executive,Russia,2021-09-09,< 25 applicants,edtech company looking head sales asian market tasks fully responsible b2c sales company asia build sales team scratch build clear transparent recruitment system create motivation system asian employees build quality control department build effective communication system marketing team requirements experience selling products international market required experience managing team 10 people required mainly experience sales head tech business mainly experience sales edtech experience managing remote teams fluent english relocation need,Director,Full-time,Sales and Business Development,Primary/Secondary Education
Sales Director,Infobip,Russia,2021-10-08,35 applicants,company description infobip dream big value creativity persistence innovation passionately believing teamwork reach greater heights since 2006 innovating edge technological possibilities shaping global communications future offices six continents infobip platform used almost 70 population making largest network kind cloud communication platform cpaas globally join us mission create interactions humans online services new unseen solutions sales director based moscow covering eurasia region russia cis join sales department continue rapid growth drive enterprise teams сis countries establishing efficient collaboration sales teams customer success presales marketing clients technical support regional teams job description establishing implementation strategy sales eurasia region developing new revenue streams targeting saas ensuring stable growth core business cpaas cascading communication defined targets regions russia cis defined company board overseeing managing sales activities eurasia region responsible achieving results terms margins revenue growth acquisitions creating initiatives take full advantage market opportunities reduce operational threats forestall business risks maximize core strengths organizing leading sales processes ensuring kpis line company sales strategy managing enterprise team leaders setting goals monitoring performance well coach reach full leadership potential cooperate departments region necessary qualifications least 5 years experience director experience working international companies experience enterprise sales experience driving sales software service saas must role experience working russia cis market business network senior executives across multiple industries excellent negotiation verbal written communication presentation skills great troubleshooting skills desire constantly make improvements process experience managing developing leaders strong leadership skills able implement sales transformation achieve expected growth prefer collaborative entrepreneurial environment english knowledge advanced ready frequent business trips additional information employees choose us stay awesome clients serve partner majority leading mobile operators otts brands banks social networks aggregators many look forward working likes viber zendesk o2 seriously clients really cool work world leading companies impact communicate users opportunity knocks often part growing company growing industry challenge grow whether horizontal vertical angular want support path want carve learn grow starting academy onboarding program internal education education resources external education invest heavily employee learning development connect globally work people different countries participate biggest telecom events join us summer connect conference croatia put global globalization dollars sense wellness competitive salary health benefits covered travel expenses discounted corporate gym memberships employer paid benefits flexible work environment kitchen stocked usual suspects plus special talk balanced lifestyle,Director,Full-time,Sales and Business Development,Information Technology and Services and Computer Software
Sales Director (Russia),Appear,Russia,2021-09-18,< 25 applicants,appear leading provider media processing delivery technology headquartered oslo norway customers 100 countries appear provides backbone production companies telcos broadcasters rely make immersive live experiences possible viewers products expertise appear focus modularity efficiency high quality helps customers stay ahead competition market expectations requirements constantly changing evolving part scale process looking experienced professional help secure new projects grow business russian media broadcast market ideal candidate located russia location barrier right candidate candidate profile candidates expected excellent understanding current market trends demonstrating strong history senior level engagements lead sales role fiber networks broadcast operators content owners years experience established industry network ideally gained within vendor operator environment commercial understanding fixed mobile video contribution production streaming content distribution segments responsibilities develop strategy outline roadmap sales marketing support strong growth region deliver sales revenue targets implementing managing robust sales forecasting process expand nurture regional reseller partner relationships driving business directly customers via indirect channels review ways market opportunities sales revenue maximized across various countries market segments identify hiring needs hire train new team members mentor provide coaching professional development account executives wider team serve senior stakeholder point escalation internally customer engagements conduct weekly forecasts oversee sales development goals metrics quota achievement proactive collaboration marketing technical sales talent acquisition product management support align regional strategy participate regional global trade shows exhibitions positive attitude want work experienced team developing tomorrow media broadcast technology products direct presence russia travel requirement within region occasionally internationally qualifications years b2b sales leadership one following areas digital video contribution distribution network design video compression formats technologies networks protocols cloud system architectures excellent track record achieving quota attainment first line sales leader territory knowledge experience leading teams covering eastern europe russian markets history leading sales teams selling complex technical solutions excellent oral written communication presentation skills fluency english russian willingness travel extensively strong operational process orientation bias towards execution working appear informal organization lot positive energy inclusive environment appear benefit entrepreneurial vigor organization working closely decision makers customers working world class technology compensation package international work environment 5 weeks vacation competitive terms benefits flexible office work policy bonus schem,Director,Full-time,Sales and Business Development,Telecommunications
Head Of Commercial,Delivery Club,Russia,2021-09-18,27 applicants,head commercial transactions business stream expectations pl finance knowledge business acumen automation massive clients acquisition track record,Director,Full-time,,
UK- Business Development Director,Crawford & Company,Russia,2021-10-05,< 25 applicants,position summary reporting ccc head platforms uk sales team business development role requiring development retention strategic long term relationships focus maximization increasing revenue creating new opportunities cross selling group role also enhance profile crawford market creating reputation delivery group services products functional knowledge knowledge experience operating within insurance market detailed understanding uk property sectors including insurance social private housing good knowledge client relationship management good knowledge sales marketing processe good understanding fca procedures tcf initiative general background experience professional qualifications technical market recognised profile within market professional sales experience capability sound knowledge construction contracts proven track record securing revenue growth new client opportunities key responsibilities client facing role requirement identify develop manage new existing accounts including brokers insurers mgas public authorities education authorities housing associations utilities corporates creating working centralised plan draw regional plan identifying locating new potential clients pursuing leads bring work crawford keep prospective client database materials date monitored budgeted revenue targets activity targets create business strategy sales proposition operational delivery develop create new business pipeline high conversion ratio develop new business cross selling existing clients building upon strong relationships key insurer housing clients continuously identifying new opportunities develop relationship client particularly communication strategy reports management information regular meetings workshops interaction wider crawford business establish close working relationships operational business heads colleagues throughout business acting interface client crawford liaise wider sales marketing team responding new business opportunities preparing tender documentation create appropriate presentations seminar material deliver regularly market forge close relationship appropriate professional bodies order facilitate growth keeping date industry knowledge market developments behaviours ability work minimum supervision ability work individual part team positive attitude proactive approach solving problems ability handle multiple projects responsive manner drive achieve targets demonstrate high level attention detail behave strongly customer focused way times ensure development maintenance contractor customer client relationships encourage initiate conduct learning theory research knowledge provide advice guidance design systems concepts solutions including outcomes assessment skills high level communication presentation skills powerpoint presentation software substantial market contacts product knowledge ability analyse financial data imparting knowledge staff proven ability meet deadlines achieve specific project objectives attention detail planning organisational skills strong operational management experience high energy levels strong people leadership experience background acii cila mba progression toward,Director,Full-time,Business Development and Sales,"Construction, Insurance, and Financial Services"
Head of Sales Operations,Revolut,Russia,2021-10-02,60 applicants,team revolut operations differently team sits core revolut working departments across business help solve issues create effective scalable solutions operations responsible major milestones like launching premium building banking infrastructure well saving millions pounds business working operations revolut give exposure range different verticals deep dive fundamentals business area work gives breadth depth experience unrivalled almost job offers chance huge impact revolut success approach sales revolut way approach everything else take complex issues create extraordinary solutions customers love flows line manager coaching development goal create partnership teams value adding put simply come work create world class sales framework fantastic experience people love starts first point connect new joiners role responsible building optimising operational side sales team scale 200 sales representatives countries across distinct product lines defining department vision strategy achieving operational excellence establishing tracking key metrics drive success teams individuals within organisation innovating finding creative optimisation mechanisms deliver outstanding business results assessing department performance toward business goals connecting regularly leadership share updates progress initiatives using approach solve large scale problems generate high business value scalable solutions fuelling revolut 10x growth need years experience proven leader ability motivate individuals cultivate high performing teams sales operations experience within multinational tech company financial institution able prioritise strategically achieve business goals communicate effectively stakeholders every level organisation strong track record achievement demonstrated quick assumption greater responsibility achievement kpis fast track promotions exemplary problem solving abilities comfortable dealing ambiguity little revolut founded 2015 vision build sustainable digital alternative traditional big banks mission help customers improve financial health empower control promote financial cohesion across communities operate launching 2020 10 million personal customers quarter million business customers reinforced belief vast need across world better financial services customer base boomed last year expanded team match growth started 2019 several hundred employees closed looking scaled people around world share vision looking people align five core values believe get done think deeper strongly rooted dream team never settle hence always deliver wow want join community people believe empowering revoluters work giving autonomy ownership want everyone revolut story successes working us means another cog machine benefits competitive salary biannual discretionary performance bonus equity latest tech need medical insurance applying role confirm reviewed data privacy notice candidates,Director,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Business Development Director UK/EU,PharmiWeb.Jobs,Russia,2021-10-07,< 25 applicants,responsive agile cro wide therapeutic experience specialist expertise clinical pharmacology oncology rare diseases perfectly structured provide clinical development solutions small drug developers headed centralised leadership team focus tailormade scalable solutions adapt delivery style communications operations suit demands project helping clients achieve clinical commercial objectives goal improve patients lives summary position looking business development director join commercial department remotely uk eu responsible developing securing new business contracted opportunities aligned commercial strategy leading profitable sales positively contribute group sales revenue ultimately ebitda targets develops maintains client relationships within target market new existing business whilst acting brand ambassador representing global conferences external meetings take commercial lead strategy development opportunities working collaboratively internal stakeholders develop robust tailored solution meets clients needs key accountabilities identify clients specific clinical trial opportunities target market complement core competencies develop robust sales pipeline clinical trial opportunities achieve required individual group sales targets defined revenue contribution within timeframes obtain full understanding clients needs challenges clearly articulating internal stakeholders work proposal budget development teams marketing operations groups develop client documentation including rfi proposals budgets bid defence strategies secure sales opportunity ensure client documentation rfi proposals meet client needs concerns objectives clearly defining value proposition lead manage development key client relationships senior management project teams functional leadership appropriate achieve crm completing required data fields within appropriate timeframes actively share internal stakeholders industry client insights well competitor information gained external interactions within sector deliver high quality accurate individual sales reporting including timely reporting activities achieved planned adhere departmental processes provide support commercial leadership required act brand ambassador representing company needed externally internally attend global conferences seminars promote targeted clients essential minimum requirements degree educated within life sciences business studies equivalent proven business development experience selling clinical research organisation services proven track record meeting overachieving sales targets experience building maintaining new existing client relationships experience selling biotech small pharmaceutical companies experienced user crm systems good computer skills microsoft word excel knowledge desirable educated equivalent previous experience working oncology rare disease previous experience working within medium cros larger organisations fluent another european language job profile business development equal opportunity employer consider qualified applicants employment without discrimination grounds disability sex sexual orientation pregnancy maternity leave status race national ethnic origin age religion belief gender identity marital civil partnership status protected veteran status applicable characteristic protected law,Director,Full-time,Business Development and Sales,"Research, Biotechnology, and Pharmaceuticals"
