jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Business Development Representative,Blue Prism,"Moscow, Moscow City, Russia",2021-09-18,< 25 applicants,overall purpose role sdr responsible identifying developing new opportunities sales sales pursue sdrs generate demand primarily via outbound prospecting assigned accounts territories buying centers addition tele sdrs use spectrum tactics including email social media chat organizations limited scale sdrs also may limited responsibilities qualify demand generated marketing scored using marketing automation platform map duties responsibilities generate new demand individual leads buying groups sales organization pursue qualify demand individual leads buying groups established criteria passing lead account sales sales accepted leads sals qualified demand units discover validate reach additional personas typically involved buying decision determine possible buying groups delivery field sales nurture predetermined groups prospects back field channel sales using multiple touch tactics telephone email social secondary responsibility specified organization process inbound demand using range tactics telephone email social comply demand related agreements provide accurate weekly forecasts marketing sales volume qualified demand expected reach sal stage qualified demand stage track manage prospecting qualification nurture activities company sales force automation sfa system reach meaningful productive conversations individuals representing buyer personas targeted organization dimensions role organisational interlocks field sales channel sales field marketing marketing operations sales operations product marketing product marketing technologies supporting role salesforce salesloft leadiq lusha linkedin sales navigator full microsoft office suite success metrics accepted converted sales accepted leads sals new opportunities influenced opportunities kpis number appointments set percentage set appointments accepted sales percentage converted opportunities opportunity value generated demand passed revenue value achieved demand passed call quality target buyer personas buying groups activity levels talk time dial connect volumes emails sent social engagement competencies bachelor degree desired three five years prospecting experience depending complexity solution sold well level prospect called buyer cxo b2b experience familiarity maps crm systems experience industry significant volume interaction additional skills experience languages strong verbal written communication skills fluent english active listening asses prospect needs opportunities ability articulate value proposition every call ability perform prospect account research prepare calls ability use existing emerging social media tools monitor targeted accounts buying groups identify trigger events discipline energy maintain high activity volumes minimum 30 outbound calls 25 additional outbound touches per day desire career tech sales ambition progress speaking another language english would brilliant essenti,Entry level,Full-time,,
Sales Employee,,"Moscow, Moscow City, Russia",2021-09-25,< 25 applicants,looking 3 sales person professional sales targeting market eligible work moscow rinak products specialises mobile phone accessories electronic cigarettes good language vocabulary skills russian well english working time 6 6pm flexible timings well know goods despatch documents domestic logistics moscow whole russia brand development skills salary depend experience interested person contact alex email akashchawlaofficial whatsapp,Entry level,Full-time,,
Sales Manager,,"Moscow, Moscow City, Russia",2021-09-18,< 25 applicants,variety chemicals used different industries management informed submitting activity result reports competition gathering current marketplace information pricing products new products existing accounts obtains orders establishes new accounts grow commercial relationships assigned leading industrial customers increase sales current product portfolio 5 years experience chemical industry mandatory,Entry level,Full-time,,
Sales Manager,Honeywell,"Moscow, Moscow City, Russia",2021-09-25,< 25 applicants,innovate solve world important challenges senior business consultant proactively leads manages executes disciplined sales process start finish pursuing opportunities establish strategic relationships vision developing committed customer anticipating customer needs requirements ensuring met every step way sale execution role expected deliver profitable growth form new customers new opportunities results set quota support annual operating plan key responsibilities looking passionate driven senior business consultant key member sales team using sales experience technical knowledge provide customers market leading smart building security solutions desire achieve sales targets ability succeed highly matrixed environment critical able demonstrate extensive knowledge customers business strategic drivers added value building solutions solutions financial requirements order discuss leverage strategic business value conversation highest levels organization able identify key stakeholders decision makers within customer business extensive knowledge way market using installer general contractor etc assigned region also able collaborate internally multiple functions across organisation ensure delivery high quality customer propositions structured approach using robust management operating system mos ensure essential sales forecasting reporting requirements fulfilled time successful applicant ambitious sales manager sales account manager looking forge career within innovative global business honeywell want courageous think big best must experienced years senior business consultant track record success selling building solutions preferably electrical smart building fire security heating sectors within construction supply sector ability doors immediately upon joining business extensive network electrical mechanical installers general contractors able setup strategic partnership parties act sales multipliers validated experience prospecting opportunities proven previous customer acquisition experience intelligent articulate excellent presentation skills experience using modern sales crm systems confident communicator able build mutually beneficial customer relationships value proficient understanding key sales principles best practices excellent team communication skills ability take initiative work limited direction ability influence across broader organization ability influence customers maintaining healthy relationships significant experience selling industrial products deep technical expertise understanding honeywell value proposition well competitive landscape additional information job id hrd139102 category sales location kievskaya 7 moscow russian federation exempt business servic,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Sales Team Support Coordinator,Procter & Gamble,"Moscow, Moscow, Russia",2021-09-25,< 25 applicants,procter gamble one largest strongest portfolios trusted quality brands including gillette pantene fairy head shoulders many others largest fmcg company selling products 180 countries 99 000 employees worldwide sales team support coordinator one key persons makes promotions marketing activations happen stores collaborates entire team different departments internally externally reports directly sales director position part sales team procter gamble need provide coworkers administrative support stewardship expertise job wide scope involve close partnership functions departments responsibilities coordinate team work promotion activities collect data align team leader communicate client retailer upload promo activities p g internal business systems discounts goods booking displays ensure correct promo prices p check prices sap work price discrepancies reasoning communication distributor team work payments calculate compensation reflect agreed amounts p g system consolidate data payment prepare supporting documents follow internal procedures prepare reports sales team price monitoring stocks communicate client regarding promotions leaflets payments archive documents audit internal external alignments support document flow sign documents via internal system paper send client support team ad hoc tasks compensation benefits monthly salary starting 80 000 rur gross medical travel life insurance monthly lunch flexibility allowance 5 000 rur gross possibility enrollment p g international stock ownership plan qualifications qualified role must higher education degree good command english intermediate higher level advanced ms office skills especially excel nice strong analytical skills excellent organization time management skills team assistance experience know qualified applicants receive consideration employment without regard race color religion sex national origin disability status age sexual orientation gender identity expression marital status citizenship status legally protected factor immigration sponsorship available position p g leading global consumer goods company whose winning brands built around model innovation whatever passion want ignite potential become best self hold true purpose values principles seek make difference world around us engage meaningful work touch lives others real impact everything p g starts understanding understanding consumers employees innovate improve lives generations come,Entry level,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Junior key account manager,HONOR,"Moscow, Moscow City, Russia",2021-09-25,< 25 applicants,background established 2013 honor leading global provider smart devices smartphones laptops wearables audio devices etc committed becoming global iconic tech brand enabling smart life across scenarios channels people strategic focus innovation quality service honor dedicated developing technology empowers people around globe go beyond r capabilities technology well creating new intelligent world everyone portfolio innovative products honor pioneered many technologies possesses excellent r capabilities support development full portfolio smartphones smart devices created amid rise digital age honor develops ecosystem innovative products including smart home office appliances healthy lifestyle entertainment products every honor smartphone subject strict quality controls must pass 400 product tests 20 global certification standards launching honor owns service centers 43 call centers providing premium efficient services customers 82 markets key responsibilities junior key account manager develop business plans sales strategies execution retail key accounts ensure honor reach targets responsible selling honor smartphones tablets laptops wearable products russia retailers developing business russian retailers honor products participation long midterm federal key account strategy creation annual business planning management matrix management operational workflow support transactional control professional attribute successful candidate strong command english language strong communication negotiation presentation analytical skills ideal candidate 1 year relevant work experience consumer electronics fmcg industries also higher education bachelor degree offer working time since location business center krylatskiy hills opportunity professional growth career development competitive salary mobile phone allowance medical insurance discounts gym learning english language free drinks fruits friday office library,Entry level,Full-time,Sales,Consumer Electronics and Consumer Goods
Sales Manager,Hampton by Hilton Moscow Strogino,"Moscow, Moscow, Russia",2021-09-11,< 25 applicants,ideal candidate motivated individual deep understanding prospecting developing strong relationships customers responsibilities develop execute strategies drive business new existing markets maintain relationship new existing clients use opportunities identify new business hotel work groups corporate business participate sales activities sales blitz site inspections trade shows qualifications bachelor degree equivalent experience business years sales experience excellent written verbal communication skil,Entry level,Full-time,,
Sales Manager,Value Network - Predict the future,"Moscow City, Russia",2021-09-11,< 25 applicants,value network decentralized prediction market protocol trading platform ethereum qtum binance smart chain blockchains allows users place p2p bets eliminate conflict interests chances fraud developing rapidly team professionals behind work also evolving currently looking sales manager able attract investments project knowledgeable cryptocurrency finance responsibilities generate leads cold calling prospective investors develop opportunities target markets support marketing identify map actively prospect new targeted investors establish maintain effective constantly evolving network contacts stakeholders work closely crowdfunding accelerators platforms us professional crm user shaping pipeline investors linkedin page advantage requirements experience ir investor relations blockchain cryptocurrency enthusiast experience cold calls clients base crm user experience amocrm hubspot etc business negotiations financial ethics business correspondence fluent english offer candidate work core team value network ability influence improve product applying knowledge right direction expanding key staff incentivised options commission funds raised fixed payment want join team position please contact us,Entry level,Full-time,,
Customer service and online sales specialist,BREITLING,"Moscow, Russia",2021-10-02,< 25 applicants,administration online sales interaction sales department logistics department invoicing payment control money transfer organization delivery logistics company working clients processing requests via website phone well receiving goods service maintaining customer database processing claims informing customers brand products events advising clients product work erp systems report headquarters status site budgeting forecasting sales website issues related operation site,Entry level,Full-time,,
Sales Manager,Rakuten Viber,"Moscow, Moscow, Russia",2021-09-09,< 25 applicants,viber looking experienced sales manager business messaging product individual responsible development performance sales activities business messaging central eastern europe cis markets sales person required build develop strong relationships customers become resource primary point contact ideal candidate seasoned results oriented sales professional join team help us increase awareness viber products deliver revenue targets responsibilities conduct full sales cycle initial contact deal closure bringing new base customers ecosystem identify develop new sales opportunities expand enhance existing opportunities build manage pipeline analyzing data trends region making informed recommendations sales team managers develop relationships work potential existing partners region meet sell directly key clients actively engage aggregators enterprises local markets increase visibility viber business messages channel drive revenue forward upselling cross selling products negotiate pricing contracts deliver presentations demos requirements english proficiency verbal written additional language plus deep knowledge sms mobile app industry well competitors offerings extensive experience b2b sales strong affinity sales customer relationships strong verbal written communication skills enthusiastic highly motivated player ability work independently excellent interpersonal skills combined strategic thinking goal driven ability build positive relationships influence proactive attitude prompt resourcefulness attention detail wish considered incredible opportunity within viber family please submit cv written english thank,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Online Media, and Internet"
Business Analyst,McKinsey & Company,"Moscow, Moscow, Russia",2021-09-25,< 25 applicants,qualifications undergraduate master degree 1 3 years work experience completing undergraduate degree outstanding record academic achievement demonstrated aptitude analytics proven record leadership work setting extracurricular activities exceptional analytical quantitative skills ability work collaboratively team environment ability work effectively people levels organization ability communicate complex ideas effectively verbally writing english local office language willingness travel work teams typically 3 5 consultants playing active role aspects client engagement includes gathering analyzing information formulating testing hypotheses developing communicating recommendations also opportunity present results client management implement recommendations collaboration client team members gain new skills build strengths bring firm business analysts receive exceptional training well frequent coaching mentoring colleagues teams support includes partner local office practice assigned help guide career well several weeks formal training first two years business analyst additionally receive guidance support local office selection client projects helping develop skills build network view business analyst position start rewarding challenging highly flexible career mckinsey first years firm serve ba multiple client engagements work number colleagues clients range industry functional areas encourage explore different content areas geographies rotation one practices corporate finance social sector healthcare operations global offices many two years generalist ba following ba tenure assuming good performance move school role bas take advantage opportunity get outside experience secondment externship private sector social sector client firm support others may choose pursue graduate school support firm work business analysts join offices practices digital marketing sales operations etc around world work teams directly clients join mckinsey business analyst ba joining firm challenge invest professional development role work best teams help best organizations world private public social sectors solve difficult problems also work many experts data scientists researchers software app designers interested joining specific practice please indicate preference combinations possible learn help clients fit visit careers site,Entry level,Full-time,Consulting,Management Consulting
