jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Area Sales Manager,MOTIVE Srl,"Yaroslavl’, Russia",2021-09-25,< 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,Mid-Senior level,Contract,,
Area Sales Manager,MOTIVE Srl,"Samara, Russia",2021-09-25,< 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,Mid-Senior level,Contract,,
Sales Manager - Russia,Charlton Morris,Russia,2021-10-05,< 25 applicants,never pivotal time plastics packaging industries comes sustainability industry immense pressure consumers companies alike innovate astonishing rate providing new circular economy packaging materials proven salesperson within packaging consumer plastics chemicals segments looking step something new exciting excel position responsible supporting expansion polymer technology business networking brand owner influence successful candidate tasked delivering exponential growth global basis across multiple different consumer accounts food beverage consumer goods packaging segments polymer technology business changing plastic pollution landscape proprietary biodegradation system searching experienced sales manager take ownership growing sales russia prominent international brands position key hire company plan accelerate growth towards require entrepreneurial individual understands complexity packaging plastics value chain based remotely russia regular travel role requires individual strong commercial confidence technical understanding effective front brand owner customers must complete understanding sales cycle lead cash across b2b value chain packaging knowledge raw also advantageous sales manager russia position tasked nurturing growing client relationships playing active role business development generating leads building pipeline order truly successful position must solid technical understanding plastic packaging market experience selling global brand owners must identify prioritise rigorously pursue business opportunities managing sales cycle delivering gbp contracts capable proven salesperson packaging plastics sector passion sustainable solutions traditionally conservative industry could great opportunity successful applicant compensated well performance full support business position essential years commercial experience worked large multinational brand owners russia experience plastics could general packaging labels films polymers raw materials entrepreneurial proactive mindset ability remain resilient environment please get touch confidential discussion,Mid-Senior level,Full-time,Sales and Business Development,"Chemicals, Plastics, and Packaging and Containers"
Area Sales Manager,MOTIVE Srl,"Voronezh, Voronezh, Russia",2021-09-25,< 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,Mid-Senior level,Contract,,
Area Sales Manager,MOTIVE Srl,"Moscow, Moscow City, Russia",2021-09-18,< 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,Mid-Senior level,Contract,,
Sales Trainer,Bulgari,"Moscow, Russia",2021-10-02,< 25 applicants,mission ensure definition implementation sales training strategy plans maximize productivity area responsibilities russia eec main responsibilities trainings design deployment coordination central trainers team sales advisors store managers directly operated business partner operated stores ensuring point reference training activities related materials geographical area revise deploy sales training strategy store managers sales team selling skills brand story products collections network external suppliers training content platform development managed sales trainers supporting organization activities order meet deadlines suppliers training materials check final module delivered right platform manager training budget definition area reference ensure control manage sales training budget coordinate follow action plans related mystery shopping initiatives coordination cmds retail managers wholesale fr managers store managers business partner managers store managers stores service kpis analysis related action plans increase sales results feedback store identify training needs suggest improvements trainings tools inviting right audience stores business partners calendar activities setting venue aspects related locally executed trainings local international training programs organization coordination training events trainer session local trainings organize class store deployed trainer external consultants selling skills training training architecture create training path sales team whole training material development process availability supervising proper deployment training related materials translation local language check translation appropriate key skills luxury business watches jewelry sales plus management methodologies processes techniques tools communication technique technique least years similar experience charismatic inspiring awareness competencies,Mid-Senior level,Full-time,"Sales, Business Development, and Training",Luxury Goods & Jewelry
Area Sales Manager,MOTIVE Srl,"Nizhniy Novgorod, Russia",2021-09-25,< 25 applicants,area manager responsible building sales monitor sales performance goal expanding company market share collaborative nature help succeed coordinating external distributors oems responsibilities assist developing annual marketing sales plans build sales pipeline new business opportunities qualifications previous experience technical sales previous industry experience particularly appreciated gearboxes motors variable speed dr,Mid-Senior level,Contract,,
Sales Manager (Russia),Glorious,"Moscow, Moscow, Russia",2021-09-18,< 25 applicants,glorious glorious lifestyle gaming hardware company built passionate enthusiasts mission develop gear gives every gamer chance play ascended level candidates welcome apply possibly become part amazing team members dedicated pushing boundaries possibility shifting pc gaming industry status quo offer attractive salary benefits packages along chance work within environment freedom flexibility take reins career someone wants see real career growth testing skills environment free micromanagement place role sales manager responsible multiple countries within territory key accounts within country territory lead create execute effective sales strategies toward achievement sales targets objectives key responsibilities taken care position strong emphasis ensuring products made available every country via key retailers depending size distributors expected perform sales forecasts secure right accounts build healthy supply chain provide daily managerial support company sales leadership expected form relationships existing authorized distributors retailers also form new ones territory countries require internally prepared distribute sales reporting sales leaders weekly monthly basis position requires strong mathematical skills well verbal written communication competencies grow company position opportunity grow sales team onboarding specific country sales representatives sales team within territory thus managing team part expanding sales network potentially one fastest expanding pc gaming input output device brands world number one priority role establishing outstanding relationships retail distribution partners multiple countries within territory position reports vp sales glorious works collaboratively members sales logistics operational teams primary responsibilities duties expected position include limited following serve main point contact owner engagements accounts responsible driving revenue share customer satisfaction within territory countries within managing sales development aspects primary focus product availability sales revenue growth ideal brand product positioning healthy sellout pipeline providing exceptional customer relationships educating customers products monitoring reviewing customer performance sales optimization ensuring smooth communication managing operational excellence representation brand building brand reputation deepen existing relationships building new ones understanding competitors including marketing activities pricing strategies promotions market share key accounts channel details working marketing team drive increase brand exposure improve digital displays retail stores displays retail stores managing channel margin structure pricing product planning inventory control managing distributor key accounts inventory sku selection order planning products new sku availability development reasonable within supply chain providing weekly monthly reporting sales forecasts sellout taking proactive action ensure channel inventory maintained healthy requirements must met considered role years sales management business development either three following categories required consumer electronics gaming related plus pc components plus gaming peripheral categories mainly gaming mice mechanical keyboards ability work influencing others achieve results proven success prospecting building pipeline moving opportunities sales cycle proposing presenting discussing solutions proficiency working crms erps asana confluence similar proven track record customer relationship building serving targeted distribution channel customers experience working netsuite asana slack confluence alike big plus capability prioritize organize effectively moderate supervision high proficiency microsoft excel microsoft powerpoint word google equivalents,Mid-Senior level,Full-time,Sales,Consumer Electronics
Head Of Sales,Airswift,"Moscow, Moscow City, Russia",2021-10-05,25 applicants,airswift global recruitment services provider oil gas companies well b2b corporations world currently one clients production engineering equipment manufacturer searching head sales division b2b heavy industry job responsibilities managing quite large team sales engineers project analysts order achieve annual sales budget setting performing sales strategy enlarge client portfolio new clients well increasing volumes existing ones presenting russia global conferences providing detailed regular reporting locally regional management interacts closely oil gas clients coaches team improve sales strategies requirements strong experience complex engineering equipment sales strong team management experience crucial great knowledge oil gas industry market potential clients fluent english strategic mindset ready long term short term sales cycles international corporate background would advantage ability perform business trips locally abroad offer stable attractive salary range lunch compensations office located center moscow medical life insurance career opportun,Mid-Senior level,Full-time,Sales and Business Development,"Staffing and Recruiting, Automotive, and Oil & Energy"
Senior Sales Manager,Roonyx,Russia,2021-10-02,< 25 applicants,roonyx company develops web mobile software applications customers worldwide looking senior sales manager us sales department key responsibilities develop sales opportunities driving revenue build long term relationships key customers coordinate sales process customers internal team stay ahead market trends required skills b2b experience sales position industry fluent english strong communication skills passion closing sales deals problem solving attitude offer 12 9 pm flexible work schedule official employment fixed salary bonuses based monthly results career opportunity growth atmosphere work professional team young ambitious people ability work remotely,Mid-Senior level,Full-time,,
