jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Executive / Manager,MMI Asia Pte Ltd,"Singapore, Singapore",,Be among the first 25 applicants,mmi asia mmi asia full subsidiary one world largest leading exhibition organizers messe münchen gmbh mmg mmi asia established singapore 1992 embarking significant growth expansion program bringing mmg world leading brands asean market combination geo clones partnerships new greenfield launches mmi asia growing team singapore exceptional ambitious innovative staff assist company growth strategies role sales executive manager take responsibility relationship building account management mmi asia mmg key clients singapore across region role ensures client participation exhibitions events overseas seamless valuable position also support mmi asia show teams grow exhibition stand sponsorship digital sales respective exhibitions responsibilities mmg international events provide detailed information messe münchen events exhibitors visitors trade association media representatives located singapore acquisition exhibitors visitors implement tailored promotions including formation singapore pavilions work international project teams regarding exhibitors participation provide support application formalities visa application stand placement etc provide information grant opportunities government agencies associations exhibitor trade fair participation mmi asia regional events support show teams new business acquisition exhibition stand sponsorship digital sales source build maintain thorough client database ensure accurate reporting pipeline management establish new strengthen existing relationships clients conduct competitive intelligence key skills experience years international industry proficiency english written spoken commercial flair ability innovate proactive ambitious nature must position ability work environment observe tight deadlines familiar microsoft office salesforce individual good team spirit,,Full-time,,
Regional Key Account Manager - FMCG,Bolloré Logistics,"Singapore River, Singapore",,Be among the first 25 applicants,200 years ago bolloré group born today one bolloré group fastest growing business sectors bolloré logistics grown become world top 10 players freight forwarding logistics powerful network spread across 106 countries 607 sites employees pride developed specific expertise providing supply chain solutions tailored customers growth constantly driving innovation adapt better cater evolving needs place customers heart processes delivering customized solutions ensuring ethical responsible business practices believe people powered innovation people brought us right people bring us greater heights invite join diverse team journey becoming global top 5 coming years role regional key account manager ensure delivery expected outcomes along providing high quality services fmcg customers reporting head fmcg vertical aspac role expected manage develop facilitate growth existing targeted accounts within fmcg vertical responsibility come strategies develop maintain bollore position existing prospective fmcg accounts also required work participate tender opportunities draft legal contracts well generate performance reports order position bollore towards successful business acquisitions extend bollore reach within asia pacific region identify key account targets asia pacific region study fmcg market inclusive limited competitors carriers manufacturers market trends fluctuations changes work vertical lead develop grow capture market share among existing targeted fmcg accounts aspac region effectively interact network support overall fmcg development work local sales teams achieving targeted growth entity act internal consultant share vertical send sales leads network order increase bollore logistics presence aspac establish referencing strategy regional international accounts develop relationships prospective key accounts promote bollore logistics obtain opportunity participate future tenders represent bollore logistics lead participate tender process fmcg accounts promote bollore logistics services key asia stations regions implement new business strategies gather sales leads expand new fmcg customer base service support determine tariff policy conjunction middle office regional sales management participate negotiations suppliers monitor customer account profitability problems linked receipts site managers transfer obtained contracts operations team order provide high quality service customers support services operation sites advising relevant sops synthesis information consolidate statistical elements various operations reporting purposes report sales actions undertaken develop key customer accounts update crm weekly activities monthly reports key accounts successful applicant essential bachelor degree least 10 years experience fast paced dynamic mnc environment prior experience industry prior experience key account management preferably aspac region exceptional business development relationship management communication skills desirable prior experience fmcg vertical strong fmcg decision makers asia pacific strong proficiency microsoft office suite good sales analytical skills mindset highly adaptable bollore logistics proud equal opportunities employer places high importance promoting diversity inclusion organization embrace people regardless age race gender identity sexual orientation religion nationality marital status political opinions disability strongly committed providing safe working environment employees free violence bullying harassment threats,Mid-Senior level,Full-time,Business Development and Supply Chain,Logistics and Supply Chain
Relationship Manager - Sales Solutions,LinkedIn,"Singapore, Singapore",2021-07-29,Be among the first 25 applicants,company description imagine together linkedin believe amazing things happen work together environment everyone feels true sense belonging ideas heard join us help make direct impact world workforce ways company job description relationship manager working pod structure customer expansion business partner closely linkedin sales solutions enterprise relationship manager partner existing customers expand footprint repeatable commercial plays aligning linkedin portfolio professional solutions complex requirements largest regional multinational customers mnc enterprise customer business linkedin sales solutions focuses green space accounts existing accelerates penetration enterprise segment asia deep client understanding strategic relationship network strong value creation ready join exciting group responsibilities partner enterprise relationship manager rm jointly develop account territory plans using external internal prioritise accounts formulate sales strategies execution tactics grow existing customers direct customer expansion accountability ownership within subset enterprise rm territory role also lead development quarterly plans engage nurture key customer communities part larger pod community relationship managers relationship managers rm highly collaborative role requiring passion building strong lasting relationships allow largest customers feel successful linkedin products solutions aligned pod structure collaborate partner enterprise rm agree upon account goals strategies tactics customer growth contribute territory account plans proactively identify opportunities buying centers subsidiaries divisions pilot play positioned required conduct detailed discovery needs analysis decision makers end users recommend right linkedin solution establish trusted relationship allocated accounts providing customer engagement activities leveraging partners executives open collaborative communications transactions colleagues clients use crm every day tracking activities importantly forecasting speak client industry events across apac partnership enterprise ae generate demand ensure attendance various linkedin marketing thought leadership events thought leadership initiatives part pod community impact strategic engagement within territory planned deliberate approach engaging nurturing targeted client communities cxo leaders cmo sales operations program etc qualifications basic qualifications years sales business development experience selling enterprise accounts preferred qualifications excellent communications team collaboration analytical skills experience engagement selling evps cxos sales cycle individual team sales environments experience solution selling large customers complex organization structure experience managing multiple pilot projects demonstrated success driving new business sales ability develop manage sales execution plan account territory level proven success selling saas disruptive technology enterprise environment additional information information kept confidential according eeo guidelines global data privacy notice job candidates please follow link access document provides transparency around way linkedin handles personal data employees job applicants https dublin ireland jobs linkedin available returnin scheme people returning work family care responsibilities include extra support interview stage successful extended induction according needs access scheme let recruiter know returner apply global data privacy notice job candidates document provides transparency around way linkedin handles personal data employees job applicants https,Not Applicable,Full-time,Sales,Internet
Sales Manager - Global Clients Program,LinkedIn,"Singapore, Singapore",2021-08-29,25 applicants,company description imagine together linkedin believe amazing things happen work together environment everyone feels true sense belonging ideas heard join us help make direct impact world workforce ways company job description linkedin built help professionals achieve careers everyday millions people use products make connections discover opportunities gain insights global reach means make direct impact world workforce ways company mission create economic opportunity every member workforce linkedin strive help employees find passion purpose join us changing way world works take leap career transformation journey opportunity looking sales manager lead team regional account managers within global clients program gcp growing maintaining relationships strategic global customers team responsible learning entire suite linkedin talent solutions understanding used valued customers making compelling recommendations additional investments renewals linkedin team responsible book current customers involvement large centralized global contracts outbound activity within long tail portfolio team also partner select group global clients identify solutions help achieve business talent objectives linkedin provides flexible environment dedicated sales professionals given opportunity excel recognized outstanding results linkedin sales team consists smart ambitious collaborative individuals excel leadership leverage results enhancement corporate culture responsibilities develop execute focused sales strategy renew expand customer base global clients enterprise drive culture forecasting excellency across team similarly prepare present accurate sales forecasts senior management prioritize initiatives create focus team hold accountable use systems tools sales process methodology directly manage operations team ability grow scale necessary manage escalations participate directly aspects sales cycle ensure customer member satisfaction directly involved mentorship development team including recruiting hiring training compassionately performance managing new regional account managers particular emphasis coaching fully conversant relation value engagement blueprint methodologies ability build foster strong partnerships collaborate senior leadership define segment strategy lead high impact initiatives fuel new growth areas excellent communication skills including active listening written verbal across channels demonstrated commitment building diverse teams fostering inclusive team culture qualifications basic qualifications years sales experience years direct people management experience experience working global clients enterprise customers preferred qualifications demonstrated track record exceeding sales targets partnership account team solution selling team selling environment experience experience managing significant change expertise understanding application relevant sales methodologies metrics ability evaluate sound business opportunities close deals strong knowledge crm customer relationship management tools manage activities excellent time management skills ability prioritize multiple projects others strong communication negotiating skills excellent client management presentation skills conflict resolution ability history strong executive level client relationships additional information information kept confidential according eeo guidelines global data privacy notice job candidates please follow link access document provides transparency around way linkedin handles personal data employees job applicants https dublin ireland jobs linkedin available returnin scheme people returning work family care responsibilities include extra support interview stage successful extended induction according needs access scheme let recruiter know returner apply global data privacy notice job candidates document provides transparency around way linkedin handles personal data employees job applicants https,Not Applicable,Full-time,Sales,Internet
Product and Sales Activation Consultant,Google,"Singapore, Singapore",2021-09-01,Be among the first 25 applicants,google prioritizing applicants current right work singapore require google sponsorship visa minimum qualifications bachelor degree equivalent practical experience experience advertising sales marketing consulting media preferred qualifications 8 years experience sales integrated marketing communications media sales 6 years experience advertising sales marketing consulting media technology industry experience working advertising sales environment within aspect product organization experience partner relations account management sales skills job businesses partner google come shapes sizes market caps one google advertising solution works knowledge online media combined communication skills analytical abilities shapes new existing businesses grow using skills provide client service research market analysis anticipate decisions made persistently explore uncover business needs google key clients understand range product offerings grow business working set vision strategy advertising reach thousands users google customer solutions gcs team entrepreneurial enthusiastic members help entrepreneurs build online presence grow businesses dedicated growing unique needs advertising companies role collaborate closely spot analyze customer needs trends create implement business plans types businesses large customer sales teams partner closely many world biggest advertisers agencies develop digital solutions build businesses brands enjoy bird eye view massive transformation occurring advertising shifts mobile online platforms uniquely situated help shape companies grow businesses digital age advise clients google broad range products across search video mobile help connect instantly seamlessly audiences responsibilities oversee define product solutions strategy performance search display shopping video youtube partner sales teams influence accounts achieve business growth objectives present google products structure best practice case studies demonstrations data build global product strategy influence global product roadmap provide product updates insights teams partners keep internal external product news advertising market trends would impact success engage regularly customers agency partners together initial contact teams assist promoting products stay attuned challenges needs google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicants regardless criminal histories consistent legal requirements see also google eeo policy eeo law disability special need requires accommodation please let us know completing accommodations applicants form,Not Applicable,Full-time,Sales and Business Development,Information Services and Internet
Business Development Executive,SGeBIZ,"Singapore, Singapore",,Be among the first 25 applicants,company singapore exciting fintech company incorporated believe empowering businesses globally digital economy innovative solutions helping businesses accelerate growth integrated payments financing suite solutions specialized b2b payment solutions solve biggest pain point plaguing industry cash flow optimization buyers cash collection suppliers enabled ezypayments buyers given 60 days interest free credits payments suppliers triggered suppliers receive payments due within days addition proud part government initiative pilot collections via digital means opposed traditional paper giro setup game changer allow seamless efficient customer onboarding faster payment collections organization underpinning ezypayments include suite value added solutions collectively one stop b2b platform connects buyers suppliers seamlessly specialize 1 procurement automation 2 accounts payable automation 3 payment automation day age believe productivity entitlement aim deliver productivity buyer supplier relationship enabling business allocate time growth massive amounts data flowing platform also provide analytics businesses embrace data driven growth make smarter decisions access financing team business development team bdt responsible initiatives lead generation closures growing new product segment electronic collection payments space expecting strong sales pipeline deals enterprise sme clients bdt team identifies clients add value current procurement payment processes team encompasses high energy members high expectations quality output clients bdt team members focuses cross industries clients skill sets gap identification creation value clients negotiation building relationship managing key stakeholders role launching new solution looking team member join bdt team business development executive role responsibilities deal creation account management crm enterprise sme sales identifying negotiating executing new deals growing existing new accounts including identification sales cross product responsible achieving business sales objective targets identifying client strategic priorities interests negotiating presenting closing attractive business deals ensuring mutually beneficial commercial terms line business objectives strategy reaching targeted manage existing key clients sell upsell cross sell expand sales volumes maintain positive relationships execute marketing activities demand generation campaigns develop innovative new methods cooperation handle account management matters point contact customers work cross functional teams coordinate support resources drive successful closure implementation customers attend industry functions association events conferences provide feedback information market creative trends coordinating supporting communication plans enhanced visibility influence targeted audiences expected skills experience years working experience business development enterprise sales b2b sales prospecting skills striving meet exceed sales goals experience working stakeholders find solutions demonstrate ability communicate present influence credibly effectively levels organization excellent interpersonal skills entrepreneur mindset approach understanding payments products industry plus,Executive,Full-time,"Business Development, Information Technology, and Project Management",Financial Services and Information Technology and Services
Singapore Key Account Sales,Advantech,"Singapore, Singapore",2021-09-28,Be among the first 25 applicants,responsibilities responsible professional handling customer inquiries provides quotation products selling solution best meet customers requirement follow quotations order coordination establish high level customer satisfaction collaborating marketing team products promotion conduct market research related segments improve sales independent resourceful proactive lead generation prospecting accounts management support developing sales strategies meet sales targets involve presentation customer training outbound calls activities develop manage new account expand customer breadth sales performance requirements candidate must possess least bachelors degree computer engineering engineering computer technology equivalent least 2 years corporate sales experience good technology knowledge industrial equipment manufacturing embedded modules computing industrial enthusiastic learning new technology strong commitment customer service analytical team player able work independently good communication presentation skills added advantage candidate experience familiar following industries embedded computing markets related equipment makers smart cities surveillance military edge analytics gaming computing healthcare application solution pos tablets signage etc factory automation machine builders automated testing systems industrial communication semiconductor industries advantech singapore pte ltd advantech world leader embedded applied computing eautomation industrial network computing platforms global presence extensive network offices worldwide manufacture integrate advanced industrial computing platforms provide system expertise system integrators solution needs advantech culture empowers people achieve true potential creativity believe sharing success people listening many voices work together support single vision looking aspiring talents join dynamic organization,Associate,Full-time,Sales and Business Development,Industrial Automation
Business Development Manager,Propine,"Singapore, Singapore",,Be among the first 25 applicants,job description propine capital markets using blockchain technology worked monetary authority singapore mas become first licensed custodian digital assets looking highly motivated business development manager join sales team immediate focus role drive incremental revenue opportunities digital asset servicing custody business working closely ceo business development management responsible bringing sales creating strong partner network future growth job requirements accountable generating new revenue based targets generate new business leads opportunities ensuring robust pipeline new opportunities prepare business proposals conduct commercial negotiations stakeholders prepare review contracts clients knowledge digital asset servicing products value proposition different verticals space keeping abreast industry trends locally internationally demonstrating strong understanding digital ecosystem able explain product benefits clients prospects identifying mapping existing product capability client needs working closely internal product operation stakeholders bridge support needs clients support marketing efforts qualifications tertiary qualification preferable min years experience development related role experience crypto strong edge sound understanding financial markets advantage ability think strategically tactically excellent organization skills excellent communication presentation negotiation skills strong financial analysis skills able work successfully individual contributor team member organized attention detail proven ability conceptualize plan execute ideas providing training skills transfer oth,Mid-Senior level,Full-time,Business Development and Sales,Information Technology and Services and Financial Services
Business Development Representative - India Market,Tableau,"Singapore, Singapore",2021-09-08,Be among the first 25 applicants,get best candidate experience please consider applying maximum 3 roles within 12 months ensure duplicating efforts job category sales job details business development representative bdr tasked strategically developing qualifying revenue opportunities within assigned territory bdr work closely account executives business development capacity candidates position must highly motivated tenacious self starters currently seeking driven professionals sound business acumen natural sales instincts join dynamic team ideal candidates eager advance clearly defined learning earning path offers innovative environment provided tools resources outstanding leadership sell business application solutions take career next level things include generate new business opportunities fuel sales pipeline products across enterprise accounts create prioritize strategic target account lists within india research build cold accounts adding contacts sending emails cold calling consistently meet exceed monthly sales conduct high level conversations senior executives prospect accounts evangelize salesforce model experience sales lead qualification including outbound prospecting lead qualification levels within organizations managers directors vps executives effective clear persuasive verbal written english communications highly effective use email telephone technically standard corporate productivity tools performer ability work high energy fast paced sales environment recruiter tableau hires company builders role asked constant lookout best talent bring onboard help us continue build one best companies world tableau operate independently tableau brand driving forward continued focus mission customers tableau community acquisition closed august 1 2019 tableau subsidiary require assistance due disability applying open positions please submit request via accommodations request form posting statement salesforce believe business business improve state world us responsibility drive equality communities workplaces committed creating workforce reflects society inclusive programs initiatives equal pay employee resource groups inclusive benefits learn equality salesforce explore benefits equal employment opportunity affirmative action employers qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender perception identity national origin age marital status protected veteran status disability status accept unsolicited headhunter agency resumes pay agency company signed agreement salesforce welcomes accommodations require assistance due disability applying open positions please submit request via accommodations request form posting statement salesforce believe business business improve state world us responsibility drive equality communities workplaces committed creating workforce reflects society inclusive programs initiatives equal pay employee resource groups inclusive benefits learn equality salesforce explore benefits equal employment opportunity affirmative action employers qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender perception identity national origin age marital status protected veteran status disability status accept unsolicited headhunter agency resumes pay agency company signed agreement salesforce welcomes,Not Applicable,Full-time,Sales and Business Development,Computer Software and Information Technology and Services
Regional Account Manager - Sales Solutions,LinkedIn,"Singapore, Singapore",2021-08-29,Be among the first 25 applicants,company description linkedin built help professionals achieve careers every day millions people use products make connections discover opportunities gain insights global reach means get make direct impact world workforce ways company much digital resume transform lives innovative products technology job description linkedin built help professionals achieve careers every day millions people use products make connections discover opportunities gain insights global reach means get make direct impact world workforce ways company much digital resume transform lives innovative products technology searching dream job linkedin strive help employees find passion purpose join us changing way world works looking regional account manager join sales solutions team growing maintaining relationships valuable strategic accounts responsible learning philosophy virtual selling sales navigator product deciphering used customers making compelling recommendations additional investments renewals linkedin sales representative play key role global account strategy region responsibilities meet global account manager gam named accounts agree upon account goals strategies tactics growth build territory account plans weekly basis plan activities meetings ensure focused largest opportunities develop execute tailored strategy building strong partnerships strategic group customers business line exhibit business acumen strategic thinking high level ability go deep account alignment global strategy provide customer engagement activities solutions invested eg quarterly business reviews roi conversations etc build account plans named accounts align globally set strategy identify key decision makers regional approach buying processes current investment product utilization new revenue opportunities proactively grow account selling new solutions renewals conduct detailed discovery needs analysis decision makers end users recommend right solution establish trusted relationship accounts providing customer engagement activities training quarterly business reviews solutions invested build custom presentations demonstrations based unique customer needs open collaborative communications transactions colleagues clients negotiate close orders larger linkedin investment mind provide support ensure product delivery satisfaction use every day tracking activities importantly forecasting coordinate delegate team subject matter experts trainers consultants analysts support accounts maintain ongoing communication gam keep updated new opportunities share successful selling strategies lessons learned team qualifications basic qualifications years experience quota carrying sales role preferred qualifications experience selling evps cxos sales cycle individual team sales environments experience closing new business accounts managing existing accounts proven success selling brand new disruptive technology excellent communication teamwork skills demonstrated ability generate plan ensure deep penetration global accounts additional information global data privacy notice job candidates please follow link access document provides transparency around way linkedin handles personal data employees job applicants https dublin ireland jobs linkedin available returnin scheme people returning work family care responsibilities include extra support interview stage successful extended induction according needs access scheme let recruiter know returner apply global data privacy notice job candidates document provides transparency around way linkedin handles personal data employees job applicants https,Not Applicable,Full-time,Science,Internet
