jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Development Representative,Oddle,Singapore,2021-10-08,< 25 applicants,oddle oddle leading platform facilitates order management solutions f b industry journey started singapore 2014 past 7 years proud offer help restaurants manage grow sales technology also marketing solutions connect food lovers oddle eats discovery platform favourites curated us oddle every meal matters want achieve role looking sales development representative sdr join singapore team bringing oddle position singapore next level join us journey make meaningful impact f b scene sdr constantly collaborating sales team develop sales methodology allows create awareness prospects demonstrate thought leader restaurant territory space help restaurateurs grow business partnering oddle might individual go way make things happen believe mission excitement brings thrive environment easily adapt situation challenge arises authentic genuine knack building great meaningful business relationships want learn f b tech industry singapore leverage build network humans f b care impact company influence restaurant partners entrust business us research qualify build relationships prospects create opportunities inbound outbound leads targeting f b businesses engage prospects using emailing cold calling methodologies creative approaches uncover pain points understand business needs explain oddle value proposition identify potential opportunities generate interest coordinate sales efforts local field sales team gain knowledge oddle products services knowledge technologies f b industry subject matter expert restaurant technology space looking years experience new leads proven track record success experience f b f b ecommerce industry advantageous excellent interpersonal communication skills written verbally ability negotiate convince bilingual proficiency mandarin engage mandarin speaking clients strongly disciplined sound time management skill individual thrives highly agile environment entrepreneurial spirit resourceful able drive actions inspire people around possess great sense ownership take pride work good team player willingness share knowledge experiences team members driven looking tremendous growth opportunities want grow us would love speak soon,Associate,Full-time,Sales and Business Development,Internet and Information Technology and Services
Sales & Marketing Executive,MSD,Singapore,2021-10-04,< 25 applicants,opportunity exciting opportunity join sales division global biopharmaceutical company business 25 years asia pacific 60 years part sales team drive strong results business significant impact customers based singapore regional hub asia pacific ap named one best companies work 2020 straits times best employers 2021 sales team support customers providing clinical information products educational information clinical training programs resources support healthcare providers healthcare systems meet goals patients communities responsibilities include limited strategic sales objectives sales expertise 50 achieve strategic objectives required franchise eg market growth sales growth number new accounts formulary listings new product market priming demonstrate high level sales expertise relationship management product ta knowledge selling skills product presentation skills managing customers accountable sales activities compliance within assigned territory territory management proactively plan optimize overall sales results performance effective territory management seek contract opportunities suggest negotiate optimum pricing demonstrate ability resolve problems timely manner escalate issues early marketing planning operations key program implementation 25 active involvement annual brand planning process effective planning execution activities according plan eg fgm l l sl engagement program patient programs public forums ensure timely submission approval documentation planned activities compliant internal medical legal compliance processes account management 25 build execute account plans key accounts understanding customers etc must successful role must good degree biomedical busines years pharmaceutical sales experience pharmaceutical industry experience oncology added advantage strong presentation skills positive attitude strong sales achievement strong customer focus proven relationship building skills good track record sales history achieving results experience handling projects end end expect competitive remuneration innovative flexible working environment opportunity learn enjoy rewarding career technology companies bring satisfaction saving lives making impact known merck kenilworth new jersey usa united states canada msd everywhere else century inventing life bringing forward medicines vaccines many world challenging diseases today company continues forefront research deliver innovative health solutions advance prevention treatment diseases threaten people animals around world look world rapid innovation seek brave inventors want make impact aspects business enabling breakthroughs affect generations come encourage bring disruptive thinking collaborative spirit diverse perspective organization together continue inventing life impacting lives inspiring career growth proud company embraces value bringing diverse talented committed people together fastest way breakthrough innovation diverse ideas come together inclusive environment encourage colleagues respectfully challenge one another thinking approach problems collectively equal opportunity employer committed fostering inclusive diverse workplace search firm representatives please read carefully merck kenilworth nj usa also known merck sharp dohme kenilworth nj usa accept unsolicited assistance search firms employment opportunities cvs resumes submitted search firms employee company without valid written search agreement place position deemed sole property company fee paid event candidate hired company result agency referral agreement place agency agreements place introductions position specific please phone calls emails,Associate,Full-time,Sales and Marketing,Pharmaceuticals and Biotechnology
Business Development (B2B),inHeyStack,Singapore,2021-10-07,< 25 applicants,ideal candidate motivated organized creative individual welcomes challenges acquiring developing new business sales efforts build key customer relationships identify business opportunities close business deals maintaining extensive knowledge current market conditions responsibilities develop identify qualify prospective accounts understand prospective accounts communicate effectively best ways utilise platform based marketing needs assist onboarding prospective accounts continually engage existing accounts gain feedback suggest improvements advocate accounts ensuring customer success qualifications bachelor degree least 5 years progressive business development experience environment essentially startup technology similar industries experience b2b sales love sales process every bit able drive changes continuous improvement mentality attitude highly collaborative entrepreneurial sleeves attitude pragmatic able work independently required comfortable ambiguity business always unchartered territories part fun comfortable understand everything 100 defined time excellent written verbal communication skil,Associate,Full-time,,
Key Account Manager (Corporate Sales),Singapore Airlines,Singapore,2021-09-11,< 25 applicants,job description successful candidate part sia sales marketing division key responsibilities responsible revenue performance corporate accounts assigned understand corporate accounts travel policies needs key routes travel class price sensitivity prepare account plans conduct regular reviews corporate accounts ensuring commitment agreed targets propose execute interventions needed drive performance via sales levers discount levels overall net pricing soft benefits etc file sales reports sales action plans sales management tool smt develop maintain good relationship corporate travel managers procurement personnel key influencers within corporate accounts including regular travelers travel arrangers embark initiatives create brand affinity corporate travelers travel arrangers coordinate performance review engagement interventions global account managers global corporate accounts maintain good working relationships travel management companies tmcs organize corporate engagement events participate corporate rfps negotiate corporate agreements existing new corporate accounts represent sia industry events trade shows fairs etc meet present sign new accounts based leads referrals tmcs corporate sales support desk etc gather market intelligence competitors activities corporate segment duties assigned requirements degree discipline prior experience aviation industry advantage good communication interpersonal skil,Associate,Full-time,Sales and Business Development,Airlines/Aviation
Shopee Express - Business Development,Shopee,Singapore,2021-09-25,28 applicants,job description identify opportunities collaborate internal external teams ensure overall business objectives growth attainment lead new business initiatives improve existing business operations processes provide consultation merchants partners operating shopee xpress maintain good relationship key accounts merchants understand product process improvement needs provide timely feedback operations product team come solutions maintain update education training materials ensure sellers comply operating standards requirements recognized degree strong academic record astute communication stakeholder management skills 1 3 years business development account management sales related field within logistics industry preferred excellent business acumen analytical skills ability drive manage business sales process ability build maintain rapport key account,Associate,Full-time,Business Development and Sales,Internet
"Business Development - Singapore, Account Management (Food & Beverage)",Shopee,Singapore,2021-08-09,< 25 applicants,job description management work category manager define implement execute growth strategy carry analysis survey better understand brands sellers requirements behaviour develop online merchandising promotion proposals achieve sales targets work closely internal teams marketing sales etc secure optimise visibility performance relationship management analyse brands sellers progress activities sales performance category initiatives drive transaction numbers revenue manage account relationship setting targets via planning execute sales marketing strategies achieve category brands sellers ambitions work closely 3rd party partners ensure execution completed successfully partnerships secure exclusive partner partnerships key campaigns secure new exclusive product launches sponsorship exciting mechanics pr pushes reporting plan b2c landscape assigned analysing sales performance work closely respective categories rm bi achieve overall food beverage category mall target requirements bachelor degree field coupled least 2 5 years working experience experience food beverage industry industry business development sales account management plus excellent communication capability strong analytical skills proficiency microsoft excel required team player aptitude work drive constantly outperform kpi,Associate,Full-time,Business Development and Sales,"Marketing and Advertising, Information Technology and Services, and Internet"
"Sales Associate, GrabRewards",Grab,Singapore,2021-10-02,< 25 applicants,job description get know team part exciting sales team responsible acquiring growing managing accounts key merchants partners grabrewards singapore day day activities develop sales pipeline partners grabrewards pitch sign partners sales grabrewards points acquire manage portfolio rewards partners responsible driving redemption manage rewards inventory replenishment breakage cross sell grab services merchants partners collaborate work across functions deliver partnership plans must haves experienced sales account management financial services technology fmcg results oriented problem solver confident able engage senior executives numerate analytical able develop cogent business plans excellent communication interpersonal skills ability establish rapport clients across levels high energy organized independent bachelor degree min 5 years work experience min 3 years relevant sales experience,Associate,Full-time,"Finance, Information Technology, and Engineering","Information Technology and Services, Computer Software, and Financial Services"
Business Development - Account Management (Food & Beverage),Shopee,Singapore,2021-09-25,32 applicants,job description management work category manager define implement execute growth strategy carry analysis survey better understand brands sellers requirements behaviour develop online merchandising promotion proposals achieve sales targets work closely internal teams marketing sales etc secure optimise visibility performance relationship management analyse brands progress activities sales performance category initiatives drive transaction numbers revenue manage account relationship setting targets via planning execute sales marketing strategies achieve category brands sellers ambitions work closely 3rd party partners ensure execution completed successfully partnerships secure exclusive partner partnerships key campaigns secure new exclusive product launches sponsorship exciting mechanics pr pushes reporting plan b2c landscape assigned analysing sales performance work closely respective categories relationship managers business intelligence team achieve overall food beverage category mall targets requirements bachelor degree field coupled least 2 5 years working experience experience food beverage industry industry business development sales account management plus excellent communication capability strong analytical skills proficiency microsoft excel required effective team player aptitude work attitud,Associate,Full-time,Business Development and Sales,Internet
Sales & Clinical Representative,Medtronic,Singapore,2021-09-09,< 25 applicants,careers change lives together change healthcare worldwide medtronic push limits technology therapies services help alleviate pain restore health extend life challenge make tomorrow better yesterday makes exciting rewarding place want accelerate advance ability create meaningful innovations succeed right people team let work together address universal healthcare needs improve patients lives help us shape future seeking expressions interest sales clinical roles posting intended pipeline talent potential future needs opportunity part market leading technology across broad range products medical devices sales representative clinical specialist working within high performing collaborative team able achieve career aspiration positively impacting patient lives day life sales representative typically sales professional individual contributor direct sales responsibilities may direct work entry level sales professionals manage sales processes accounts involving multiple team members majority time spent establishing maintaining customer relationships developing new customer relationships implementing sales strategies meeting sales targets responsibilities may include following duties may assigned promotes sells medtronic products services within assigned geographic area specific customer accounts meet exceed sales targets responsible developing building strengthening relationships stakeholders including distributors healthcare professionals responsible pursuing leads assessing needs providing product services maximize benefits derived medtronic products services promotes establishes education company products services conducts market research including customers competitors activities implements market development changes needed communicates customer feedback new products modifications existing products applications internal stakeholders including r operations marketing clinical specialist typically individual contributor responsibility professional discipline specialty delivers manages projects assigned works stakeholders achieve desired results may act mentor colleagues may direct work entry level professionals majority time spent delivering overseeing projects design implementation adhering policies using specialized knowledge skills normally acquired advanced education responsibilities may include following duties may assigned conducts education consulting supports field personnel providing best possible outcomes service medtronic customers partners sales colleagues develop execute plans sales within one business unit participates conventions forums meetings increase product awareness works closely clinical lead clinical management regional sales team provide customer case sales support identifies facilitates execution growth opportunities sales clinical support team serves technical resource support sales specific medical product solution minimum requirements sales representative bachelor degree discipline preferably biomedical nursing years relevant experience pharma medical devices 1 year 5 years requires practical knowledge gained experience sales techniques job area typically obtained education combined sales experience developing professional expertise applies company policies procedures resolve variety issues minimum requirements clinical specialist bachelor degree discipline preferably biomedical nursing years relevant experience pharma medical devices 1 year 5 years practical knowledge demonstrated competence within job area typically obtained advanced education combined experience medtronic together change healthcare worldwide medtronic push limits technology therapies services help alleviate pain restore health extend life challenge make tomorrow better yesterday makes exciting rewarding place want accelerate advance ability create meaningful innovations succeed right people team let work together address universal healthcare needs improve patients lives help us shape future physical job requirements physical demands described within responsibilities section job description representative must met employee successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions office roles performing duties job employee regularly required independently mobile employee also required interact computer communicate peers contact manager local hr understand work conditions physical requirements may specific role states america additional information posting date aug 6 2020 travel,Associate,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Senior Sales Representative,Johnson & Johnson,Singapore,2021-08-09,< 25 applicants,job description senior sales representative johnson johnson surgical vision singapore j j surgical vision inviting highly motivated tenacious talent join singapore commercial team role play important role achieving sales driving share gain within singapore private government ophthalmology accounts cataracts refractive segment role rewarded sales commissions top basic remuneration keen join us successful candidate role overall responsibility driving sales achieving targets manages assigned territory operating within assigned budget scope part team determining sales forecasts business planning management active inputs market insights information sales reports required documents proactively assist implementing market development field marketing activities clear focus attaining established sales goals including market share objectives performs contract tender management activities proactively schedules appointments make sales presentations customers develops customer product focused presentation packages address customers needs regular customer engagement gather information orders market conditions time active follow customers ensure customer satisfaction products executes promotional activities designed advance sales specific product lines areas coordinate professional development activities enhance knowledge healthcare professionals partner marketing team development marketing plan execution marketing programs materials fulfil internal processes get marketing materials approved commercial us,Associate,Full-time,Sales and Business Development,"Information Technology and Services, Financial Services, and Hospital & Health Care"
