jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Major Account Sales,Cobo,"Singapore, Singapore",2021-09-25,< 25 applicants,job description familiar business institutions discover financial regulatory policies industry changes developments time combine characteristics digital currencies cooperate new models promoted traditional financial institutions competitive analysis financial products evaluate corresponding competitive strategies execute according strategies track results deep understanding digital currency assets based operating experience traditional financial products financial products corresponding result indicators propose improvements financial products pay attention improved ones traditional financial users plan marketing operation plan digital currency financial products participate offline activities cooperate marketing department good job brand output restrict bottom line compliance risk control requirements least 2 years experience traditional financial product operation familiar financial product business including knowledge commercial bank wealth management insurance certificates trust products resources traditional financial industry preferred online financial management financing management services bank wealth management insurance etc preferred familiar office software excel ppt office ability data visualization preferred,Director,Full-time,Sales and Business Development,Internet
Head Of Sales,,"Singapore, Singapore",2021-10-06,< 25 applicants,client licensed digital wealth management fintech platform based singapore working closely key partners established product pipeline highly desired investment opportunities across various asset classes including private equity bonds esg crypto leverage technology significantly lower minimum investment size well provide digital solution distribute product wider investor base singapore around region backed leading financial institutions well prominent vcs exciting role inspiring head sales distribution grow sales distribution team well ensure high level client service work closely ceo ensure entire onboarding kyc due diligence experience investors optimizes possible ensuring company achieves target revenue client willing offer excellent compensation package attract share options right candidate roles responsibilities lead formulate company execution distribution private market products mass affluent investors eams external asset managers reporting ceo oversee coordinate sales functions working alongside marketing product development teams ensuring good user journey smooth process flows ensure delivery revenue targets working internal teams external partnerships attract develop sales talent promoting company core value culture requirements least 7 years experience within financial services industry sales relationship manager investment advisor similar role least 3 years experience fintech platforms trading platforms capital markets similar industry entrepreneurial track record problem solving within highly ambiguous environment strong communicator excellent interpersonal leadership skills prior working experience licensed representative financial institution must interested candidates please send updated cv leonnard lee r1106231 hrnet one pte ltd ea licence 16s8408,Director,Full-time,,
Head Of Sales,FastJobs,"Singapore, Singapore",2021-10-04,< 25 applicants,opportunity fastjobs consistently ranked among top recruitment apps singapore since launch april team committed making job opportunities accessible everyone continuing develop new solutions help happen great product fantastic feedback market embarking next ambitious goal singapore top mind employers looking hire join us journey looking driven inspirational head sales grow lead sales team job description reporting general manager singapore role responsible leading team account managers hit aggressive growth targets craft sales strategy together gm lead team execute strategies sales leader enable guide grow team members building strong team servicing employers establish fastjobs leading solution employers success role measured following criteria team management creating robust culture driving optimising sales strategies based data feedback sales target achievement p l management engaging key clients providing best solutions address business needs client satisfaction experience retention constructive collaboration rest fastjobs team successful applicant successful applicant 8 years experience b2b sales least 5 years singapore minimum 2 years leadership role expertise crafting sales strategies maximise limited resources expertise identifying qualifying closing business strong collaborative player believes developing strengths team excellent attitude strong communication skills affinity working environment offer challenging role aimed individuals looking growth environment rewards based team success,Director,Full-time,,
Regional Sales Director,Televisory,Singapore,2021-10-07,25 applicants,looking hard core senior sales professional work tirelessly join mission create global company person responsible generating sales leads converting sales south east asia prior experience selling financial market data platforms indonesia philippines malaysia singapore thailand must,Director,Full-time,,
Head of Business Development,Bottomline Technologies,"Singapore, Singapore",2021-10-06,34 applicants,bottomline forefront digital transformation growing global market leader uniquely equipped address changing needs businesses pay get paid culture working enables us delight customers empower teams think like owners driving customer satisfaction helping grow business win markets looking head business development innovate win grow us role demands qualification significant experience financial messaging payment solutions hosted environment candidate expected qualification business development economics finance marketing head business development candidate also possess soft skills communication skills stakeholder management skills proven ability negotiate experience design implementation business development strategy conflict resolution ability motivate team experience working exceeding target business development role develop effective sales strategy acquire new customer finance messaging market singapore australia south pacific region build strong pipeline company hosted solution financial messaging account least sgd 500k new business financial year lead managed large rfp responses ensure corporate objectives profitability sustainability operational delivery partner channel role manage existing setting sales quota target supporting assisting partners achieve sales target cultivate new business partnerships deepen existing relationships drive business particularly australia malaysia thailand transform poor performing distributors successful growing partners developing individual growth plans participating execution bottomline participating employer employment verification program employer bottomline technologies equal employment opportunity affirmative action employer love bottomline everything seek delight customers passionate building company proud starts building amazing teams filled team members challenge every day,Director,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Financial Services"
APAC Sales Director,CBRE Asia Pacific,"Singapore, Singapore",2021-10-04,29 applicants,job title apac sales director dcs location singapore division data centre solutions reports senior managing director asia pacific cbre data centre solutions dcs world leading data centre services partner deliver superior uptime innovation intelligence leading organizations worldwide offering encompasses global strategy consulting acquisition disposal project management facilities management services employer choice invest heavily people offering training dynamic working environment apac head sales responsible implementation strategic direction leadership dcs business development team region responsible overseeing team drive sales process associated new clients well expansion renewal contracts associated existing clients emphasis growing market share across diverse apac market guides direct indirect reports client service orientation consultative sales well effective efficient ethical operation respective teams accounts builds cohesive diverse team dedicated ongoing improvement service delivery platform client relationship key responsibilities business development analyzes financial performance indicators related industry activity responsible expanding client markets target business growth opportunities collaborates senior managing director apac dcs business leadership team develop concise plan accomplish retention acquisition clients focusing expert advisors rather tactical transaction specialists meets business growth objectives consistently leads horizontal banding integration strategy within line business lines business maximize performance company platform business operations builds strong business operations sets specific measurable challenging yet achievable goals objectives evaluates industry business trends market areas potential impact operations formulates negotiates executes contracts clients ensures consistency service delivery meets cbre service delivery guidelines financial performance assists leadership team preparing plans priorities objectives annual budget responsible meeting sales targets dcs apac business leadership creates communicates monitors vision mission strategy objectives business plan budget policies operating plans serves change agent business improvements develops support new initiatives processes provides effective presentations senior management employees serves key industry spokesperson community team management provides recruitment selection performance management development retention high caliber team carry organization mission guides team strengthening competencies implements career development succession plan along effective retention program key personnel creating diverse organization recognizes expertise empowers peers employees build dynamic team viewed others highly productive capable best industry job requirements education experience bachelor degree ba bs college university required approximately seven 7 years progressively responsible sales experience equivalent combination education experience sufficient perform essential functions job possesses strong experience managing regional diverse team strong understanding industry facilities management fosters strong advisory role client relationships uses ability think strategically synthesize complex business financial data utilizes entrepreneurial approach develops innovative solutions financial knowledge possess advanced financial skills knowledge review complex financial reports prepared others make recommendations executives impact skills strong entrepreneurial creative spirit knowledge understanding facets facilities management critical facilities data centre industry knowledge experience beneficial high level integrity ethics critical,Director,Full-time,"Sales, Business Development, and Strategy/Planning","Commercial Real Estate, Facilities Services, and Real Estate"
Regional Key Account Manager,CEVA Logistics,"Singapore, Singapore",2021-09-18,35 applicants,coverage south east asia pacific seapac regions covering 12 countries identify business opportunities generate profitable sales new existing accounts meet exceed new business revenue goals relating portfolio customers assigned payable seapac region ability understand unique customer supply chain requirements high tech automotive consumer retail sector drive particular customer solutions retention mission critical role senior relationship management service execution two key components insure account retention achieved retain grow portfolio accounts across types within ceva drive collaborative efforts country product leaders within ceva meet needs customers region prospecting potential opportunities delivering compelling solutions value pricing develop execute account plan customer encompass strategic roadmap defining growth targets key supply chain forecasts budgets operating plans ability work matrix organization along virtual teams build strong internal relationships team leaders required account build strategic relationships key contacts within customer organizations understand opportunities creating value conduct regular business review meetings customers drive meeting content ensure operations support execution teams present support reviews conduct quarterly business review qbr meetings including executive sessions strategic alignment ceva customer responsible communicate expectations review meetings operations support teams implementation improvements develop deep understanding business streams customer detailed relationship map account designated using ceva crm system leverage sectors focused solutions penetrate account growth development example use case studies key solutions within ceva work implementation teams new projects ensure customer expectations communicated work define customer reporting requirements customer levels kpi service metrics customers reviewed business meetings conducted education qualifications good degree majoring supply business experience knowledge air sea ground contract logistics products services excellent planning time management collaboration decision making organization presentation negotiating skills experienced financial management p l balance sheets forecasting budgets effectuate return investment manages complex emotional customer situations promptly professionally meeting commitments service assistance maintains stable performance pressure opposition handling stress manner acceptable others organization uses appropriate methods flexible interpersonal style help build cohesive team facilitates completion team goals good presentation skills,Director,Full-time,Business Development and Sales,Logistics and Supply Chain
"Director of Sales, APAC",Chainlink Labs,"Singapore, Singapore",2021-10-02,< 25 applicants,opportunity part tech company successfully implementing key building pieces world blockchain infrastructure power digital agreements future ambitions limitless believe open source technology change world leadership position reports head sales work directly ceo cmo bd sales colleagues help grow adoption chainlink leading blockchain technology across defi decentralized insurance blockchain gaming decentralized application verticals manage time zone team responsible onboarding growing quality blockchain projects chainlink solutions services providing account management drive product usage customer satisfaction build sales pipeline executing effectively phase process close deals collaboration colleagues legal engineering marketing product identify negotiate sign deals new partners ranging emerging startups dollar organizations requirements professional sales management business development management experience experience blockchain crypto space conviction power change world better exceptional track record meeting goals closing partnerships deals blockchain industry skilled communicating senior executives principles chainlink labs committed key operating principles ownership focus open dialogue practice complete ownership everyone goes extra mile outcomes success understand unflinching focus superpower channel activity technological achievements benefit entire ecosystem embrace open dialogue critical feedback arrive accurate truthful picture reality promotes personal organizational growth chainlink labs chainlink industry standard oracle network connecting smart contracts real world chainlink developers build hybrid smart contracts combine code extensive collection secure services powered decentralized oracle networks managed global decentralized community hundreds thousands people chainlink introducing fairer model contracts network currently secures billions dollars value smart contracts across decentralized finance defi insurance gaming ecosystems among others full vision chainlink network found chainlink whitepaper chainlink trusted hundreds global enterprises projects forefront blockchain deliver definitive truth via secure reliable data role location agnostic anywhere world ask overlap working hours eastern standard time est fully distributed team tools benefits support remote work environment chainlink labs equal opportunity employer,Director,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Head of Sales, APAC (Remote - APAC Region)",Tile,"Singapore, Singapore",2021-09-25,78 applicants,looking individuals want expand ways technology help people work fast collaborate celebrate team united commitment shaping tile culture around needs colleagues customers desire build diverse welcoming workplace looking head sales apac grow tile retail business region person responsible achieving apac retail sales targets finding new business opportunities driving distributor retail relationships role apac retail sales leader manage small growing team work closely marketing operations teams us ensure optimal online experiences tile products leader must willing involved entire sales process scale business team position reports global sales leader requires regular meetings executive level staff us via zoom travel safe within apac region essential duties responsibilities direct sales efforts apac retail business owning distribution relationships developing key retailer relationships sales targets carefully tracking channel inventory levels lead annual business planning sales strategy apac lead investigation execution new business opportunities hardware including partnerships new retail channels new countries provide regular sales forecasting updating twice monthly ensure accuracy ensure timely accurate sell inventory data provided headquarters team conduct qbr meetings distribution partners key cross functional partners internally review business priorities opportunities hire develop train strong sales team ensure team executing plans discovering new opportunities developing careers partner channel marketing team online merchandising needs well budget updates channel promotional spends provide competitive market sales performance updates monthly international monthly meetings headquarters team partner marketing team ensure appropriately building awareness consideration region advocate needed help make connections agencies resources qualifications bachelor degree equivalent practical experience years apac sales experience well recent experience leading driving regional strategy strong management leadership skills leading remote sales team experience consumer electronics consumer goods sporting goods industries experience working company experience managing retail distribution partner relationships strong relationships retailers distributors excellent skills analytical approach proven ability operate well matrixed organization excellent communication skills communicate effectively levels management fluent english required location candidate must located apac region potential locations limited singapore hong kong shanghai benefits equity company every employee stakeholder future work adept team people love flexible work program remote work environment learn tile click directed careers page equal opportunity employer value diversity company discriminate basis race religion color national origin gender sexual orientation age marital status veteran status disability status,Director,Full-time,Sales and Business Development,Consumer Services
Head of Sales,Robert Walters,"Singapore, Singapore",2021-09-18,< 25 applicants,head sales job become available one exciting manufacturing space head sales role reporting ceo driving overall sales strategy apac region also setting teams scratch key responsibilities drive overall sales strategy apac region leverage sales acumen skills convert leads acquire new customers well maintain relationships optimise service existing customers manage entire sales development life cycle utilising strong knowledge plastics space whilst developing sales funnel improve conversion stages effectively grow manage customer base consist large medium small businesses across multiple verticals closely collaborate internal stakeholders across business chief executive officer head supply logistics provide market intelligence customers give key input product considerations lead mentor team sales executives spread across region focus building autonomous team individual contributors effectively source negotiate execute new business successful candidate good understanding plastics industry relevant direct sales experience well relationship management experience key customers key requirements degree business least 10 years sales account management experience space proven track record leading sales teams strong leadership skills setting effective sales targets whilst also empowering autonomous team experience product strong stakeholder engagement skills work one world exciting manufacturing space backed global chemical conglomerate deep understanding plastics ecosystem value chain head sales role opportunity part brand new venture plastics marketplace entrepreneurial streak would like part disruptive business traditional industry head sales role apply today contact discuss note touch application shortlisted robert walters singapore pte ltd roc 199706961e ea licence 03c5451 ea registration r1109068 lingxiang le,Director,Full-time,Sales,"Information Technology and Services, Computer Software, and Financial Services"
