jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Business Development,Hex Trust,"Singapore, Singapore",2021-10-08,< 25 applicants,open local candidates singapore hong kong hex trust building trust digital ecosystem like help us deliver message prospects providing institutional custody services like takes industry knowledge confidence persistence seeing tremendous demand growth space created role partner head sales small rapidly growing fintech company looking energetic individual work independently build relationships help broaden client base take business next level responsibilities partnering head sales business development client acquisition retention efforts achieve growth targets elements business development sales partnership life cycles initial scoping framing value negotiation term sheets contracts implementation post sales strategize plans market engagement client management seen thought leader across digital asset ecosystem lead sales pitches contact prospects clients handle enquiries feedback requests ad hoc projects needed requirements ability operate excel entrepreneurial environment minimal supervision ability create relationships fintech companies traditional financial institutions effective communicator ability collaborate across teams demonstrate curiosity knowledge digital asset ecosystem attention detail positive attitude hex trust make difference get noticed rapidly growing company providing multiple opportunities career personal development dynamic team smart motivated people across asia give tough challenges offering rewarding results match well regular team social events flexible working arrangements needed diverse inclusive team diverse international team across asia come 15 countries diversity thought background mission disrupt digital asset industry support take pride achievements attract talent well known global multinational companies institutions ownership opportunity make active contribution growth story one leading disruptors fintech industry communication treat staff like owners open transparent providing regular communication direction progress provide regular insight decision making strategy objectives key results progress employees aligned empowered constantly strive improve communicate effectively office offer flexibility work remotely work style comfort modern office,Entry level,Full-time,,
Sales Development Representative APAC,Elliptic,"Singapore, Singapore",2021-10-07,< 25 applicants,digital assets cryptocurrency become widely adopted every day products essential ensure cryptocurrency safe accessible solutions help prevent financial crime allow cryptocurrencies used good products used world leading cryptocurrency exchanges financial institutions government agencies screen 1 billion transactions every single week elliptic backed top vcs sbi group albion vc octopus ventures signalfire paladin capital santander innoventures digital currency group grown globally teams uk usa singapore tokyo achieve mission depend incredible team elliptites values reflected everything every decision make internally outwardly customers actively encourage elliptities challenge status quo allow freedom innovate learn every day encourage new ideas learning whether collaboration curiosity sessions utilising professional development budget personal growth important us requirements passionate enthusiastic enterprise sales executive wealth experience selling saas solutions enterprise companies looking next challenge emerging exciting market yes want hear impact join global commercial team champion uncovering developing new customer relationships across americas region enterprise sales executive become expert elliptic value proposition helping prospective customers navigate enter cryptocurrency market knowledge understanding product compliance regulatory environments manage full sales cycle including prospecting qualifying leads negotiating terms developing custom proposals closing business ultimately deliver profitable revenue growth exceed targets exciting opportunity experienced individual looking role make impact company work also market work fascinating challenging work norm working elliptic never boring develop net new business cross sell opportunities build strategic market penetration plan prospect manage full sales cycle prospect generate high quality leads develop custom proposals based customer requirements conduct presentations product demos negotiate terms close business applicable work alongside customer engagement team develop deeper relationships upsell set hit aggressive revenue goals meet exceed quarterly annual quota great fit understand customer business model digital assets fit strategy ability analyse data identify market trends opportunities cryptocurrency compliance evaluate customer needs preferences relation pricing product terms conditions ensure client requirements addressed commercial proposals collaborative mindset address problems immediately work across functions solve problems enjoy working pace energy building team spirit cultivating unity commitment among team understanding complex b2b sales methodologies flexible adaptable comfortable changing priorities ideal candidate significant demonstrable full sales cycle experience selling enterprise saas solutions strong outbound prospecting skills track record generating net new business demonstrated track record success quota achievement top 10 performer last company strong work ethic entrepreneur mindset comfortable creating value low structure environment agile resilient interest curiosity digital assets crypto economy bonus points intimate understanding forensics space either cryptocurrency traditional financial environments experience selling saas solutions financial services borderline obsession emerging technology benefits share options holiday 24 days annual leave addition singapore gazetted holidays additional day birthday health insurance quarterly annual company offsite personal training budget linkedin learning subscription laptop equipment need home office allowance full access spill mental health support know diversity inclusion much deeper hiring important us mention welcome embrace individuals backgrounds identities elliptic ongoing priority us know incredible people think way want challenged every day believe diverse team individuals underpins bringing creative thinking innovation elliptic every day committed creating diverse inclusive equitable workplace welcome applications everyone even may think fit requirements roles foster environment psychological safety everyone feels comfortable bring whole self work,Entry level,Full-time,Sales,"Computer Software, Internet, and Financial Services"
Sales Development Representative,Peakflo,"Singapore, Singapore",2021-10-07,< 25 applicants,singapore based b2b fintech position sdr experience years technology sales experience south east asia location singapore open remote applicants salary range 3200 commission submit cv cover letter work building unhealthy cash flow amongst top 3 reasons businesses struggle scale started peakflo one goal mind democratize access key financial tools improve b2b sme cash flows increase net margins 2 past months launched peakflo booked us 100k arr early customers raised funding led global vc fund participation prominent angels entrepreneur first importantly begun building environment encourages intellectual curiosity problem solving ownership environment provides support mentorship needed succeed learn grow work regional bd lead close 18 customers end q4 2021 environment generate qualified leads build relationships nurturing prospects educate cold leads value products qualify represent company products services starting comprehensive understanding leading consumer research identify solutions meet customer need manage maintain pipeline interested prospects engage account executives next steps identify best practices refine company lead generation playbook utilize crm executing recording cold outreach via calls emails generate new sales opportunities identify prospect needs suggest appropriate build trusting relationships prospects qualify leads sales opportunities proactively seek new business opportunities market set meetings calls prospective customers sales executives report regional bd lead weekly monthly quarterly results mindset takes grow fast understand deeply customer needs make happen learn fast execute speed embody relentless work ethic collaborate embrace diverse perspectives curiosity respect foster meritocracy nurture nonhierarchical caring meritocracy bonus points experience vertical industries b2b marketplaces reservations marketplaces manufacturing logistics trading formal saas sales training extremely competitive sales environment experience selling solutions finance executive teams benefits stock options repeat founders truly believe building something valuable team strong sense shared ownership medical insurance provide comprehensive group medical insurance always covered flexibility support remote friendly culture centered around trust meritocraci,Entry level,Full-time,,
Sales Development Representative,Deskimo (YC S21),"Singapore, Singapore",2021-10-06,< 25 applicants,ideal candidate energetic ability identify influencers key within accounts discover qualified opportunities responding inbound interests targeted outbound prospects build rapport establish relationships responsibilities drive lead generation account executives sales managers update manage sales activities opportunities account information crm consistently achieve monthly quota qualified opportunities qualifications bachelor degree business related field least 1 2 years relevant work experience excellent written verbal communication skills ability organize prioritize work job suits someone grit resilience energy meet exceed growth kpis get learn startup scales part hybridwork revolution forge path towards future flexible work,Entry level,Full-time,,
Sales Development Representative,Glue Up,"Singapore, Singapore",2021-10-02,< 25 applicants,looking software saas sales development representative develop new business opportunities contacting developing relationships potential customers successful junior role previous experience developing leads scratch meeting sales quotas software saas technology industry use communication skills cultivate strong relationships customers first contact closed passed deal motivated enjoy working team environment like meet ultimately boost sales contribute business growth ideal candidate excellent communication skills time management skills startup mindset ability function successfully individual team individual valuing diversity responsibilities qualify leads marketing campaigns events self search sales opportunities contact potential clients cold calls emails present company potential clients build trusting relationships clients proactively seek new business opportunities market set meetings calls prospective clients account executives report sales manager weekly sales results stay new new plans requirements years work experience sales development experience multiple sales techniques including cold calls track record achieving sales quotas experience crm software salesforce hubspot familiarity ms excel analyzing spreadsheets charts understanding sales performance metrics excellent communication skills associates degree bs marketing business administration relevant field preferred required glue founded 2013 glue formerly eventbank provides engagement management cloud solutions give professional communities power streamline operations enrich audience engagement maximize value underpinning expansive networks platform helped hundreds organizations countries modernize processes eliminate engagement challenges glue offices hong kong singapore philippines china malaysia india indonesia usa latam emea russia core products event management software chamber commerce association management software,Entry level,Full-time,,
"Sales Development Representative, Enterprise",Coursera,"Singapore, Singapore",2021-09-09,< 25 applicants,coursera launched 2012 two stanford computer science professors andrew ng daphne koller mission provide universal access learning one largest online learning platforms world 87 million registered learners june 30 coursera partners 200 leading university industry partners offer broad catalog content credentials including guided projects courses specializations certificates bachelor master degrees institutions around world use coursera upskill reskill employees citizens students many fields including data science technology business coursera became b corp february job overview sales development team critical component growth plan inbound outbound engagement prospective customers starts sdr team outbound sales development representative sdr responsible generating interest coursera contacting prospects presenting solutions qualifying leads sales team work closely sales marketing teams ensure operate seamless organization build pipeline business ideal individual experience enterprise interested working social enterprise knowledge edtech enterprise learning combined superior communication skills analytical abilities shape coursera b2b business help us provide access education globally responsibilities build pipeline leads sales team qualifying inbound inquiries reaching prospects conduct effective discovery qualification conversations prospects deep understanding product value proposition use cases develop creative strategies engaging nurturing prospects using content email phone social media strategies work partner closely members sales marketing teams coordinate engagement strategies improving processes use frontline knowledge customer needs educate broader team learnings opportunities basic qualifications graduate degree professional experience years preferred qualifications excellent written verbal communications listening skills experience selling marketing software services meeting quota entrepreneurial drive comfort working ambiguous environments experience sales marketing tools salesforce outreach discoverorg lusha degree preferred opportunity interests might like courses coursera successful negotiation essential strategies skills connecting sales prospects work smarter harder time management personal professional coursera equal employment opportunity employer considers qualified applicants without regard race color religion sex sexual orientation gender identity age marital status national origin protected veteran status disability legally protected class individual disability require reasonable accommodation complete part application process please contact us accommodations please review ccpa applicant notice,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Sales Development Representative, APAC",TechnologyAdvice,"Singapore, Singapore",2021-10-07,< 25 applicants,available following locations sydney australia singapore singapore hello technologyadvice technologyadvice dedicated educating advising connecting buyers sellers business technology trusted resource across hundreds technology verticals unbiased research product reviews help buyers find right software grow business technologyadvice named one 5000 list america private companies four times well inclusion inc best workplaces list 2019 technologyadvice received nashville business journal small business award named market mover nashville chamber next awards also recipient annual tennessee top workplaces awards technologyadvice based nashville tenn diverse workforce client base located across globe growing always interested expanding team top talent make sure check perks benefits listed seeking highly motivated individual passion sales marketing previous experience customer service enjoy networking high competitive drive would love apply sales development rep main objectives identify new prospects help sales team exceed revenue targets creating sales meetings opportunities sdr often first point contact clients first experience customer ta using consultative approach sales development rep uncover customer needs introduce ta solutions connect prospective customers appropriate sales lead create engaging videos emails linkedin messages help break noise respond engage qualify leads inquiries exceed daily client engagement goals phone email social media touches cold prospect find new contacts accounts create articulate compelling value propositions around ta offerings establish effective outreach cadences cold calling communicate prospects coordinate calendars ae taking call work sales leaders pass opportunities looking someone hungry learn quickly also bringing new ideas creativity team bonus points technical enough already know way around salesforce salesloft another crm platform things include excellent communication presentation skills fast learner passion sales approach enthusiastic outgoing conversation skills confident determined outlook resilience ability cope rejection competitive mentality coachable must want us macbook pro pc laptop choice ongoing career development meetings subscription headspace app monthly team outings quarterly volunteer opportunities professional development opportunities incentives milestone celebrations birthdays weddings work achievements employer sponsored medical dental options comprehensive life insurance disability programs long service award thank employees service see job openings learn visit interviews take place resumes screened minimum requirements please note position restricted solely responsibilities listed job scope responsibilities subject change believe differences make us stronger foster diverse inclusive culture people feel safe technologyadvice equal opportunity employer qualified applicants receive consideration employment without regard race color age religion sex national origin disability protected veteran status characteristic protected federal state local law screening required response technologyadvice committed safety wellness employees response pandemic follow cdc local protocol powered jazzhr vai23t3cq8,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Internet"
Channel Sales Rep II,Honeywell,"Singapore, Singapore",2021-09-09,< 25 applicants,implement coordinate operational aspects ongoing channel sales projects activities serve liaison channel sales leadership marketing distributors review status projects budgets coordinate schedules deliver status reports assess project issues develop resolutions meet productivity quality customers satisfaction goals objectives develop mechanisms monitoring channel sales progress problem solving project managers customers key responsibilities channel sales activities manage projects provide customer support facilitate team alignment deliver status reports manage teams must bachelor degree equivalent experience field valid drivers license value proficient understanding principles best practices channel sales excellent team communication skills ability take initiative work limited direction ability influence across broader organization masters degree additional information job id hrd127583 category sales location 17 changi business park central 1 singapore singapore exempt,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Sales Development Representative,ethiXbase,"Singapore, Singapore",2021-09-25,< 25 applicants,sales development representative description ethixbase currently seeking high achieving sales development representative join go market function part marketing team play critical role qualifying leads profiling prospects customers providing input campaigns generate best leads working collaboration global sales development field sales professionals primary goal identify qualify opportunities across ethixbase business units across primary target markets apac inbound lead qualification process look move leads sales funnel unaware contact sales qualified opportunity sales team convert full time role working time office apac team located singapore background ethixbase us ethixbase regtech business delivers robust technology data analytics assist corporates third parties create maintain sustainable business practices play strategic role helping businesses globally elevate supply chain understanding applying standards principles set united nations global compact ungc including human rights labour environment create intuitive robust entirely configurable platform helps elevate sustainability throughout global business network make process accessing understanding millions records complex data sets simple facilitating transparent information exchange corporates third parties mission accelerate worlds progress towards sustainability crafting compelling solutions help clients build maintain sustainable supply chains benefit world job spec reporting line structure role reports global head growth marketing sits within marketing department though work closely head sales apac chief revenue officer cro uk payment structure pay dependent experience however earn generous wage well monthly commission every sales qualified meeting meet prescribed criteria get role sales development representative builds sales pipeline achieving monthly quarterly annual objectives follow leads qualify potential sales opportunities create manage drive inbound leads sales acceptance provide account team detailed call notes crm ensure opportunities understood next steps clearly identified collaborate marketing executing various demand generation campaigns drive attendance company events regional trade shows understand servicenow solutions address various customer pain points research identify prioritise target accounts prospecting activities build prospecting contact lists create mappings prospective clients acquire update maintain contact information within salesforce build manage reporting salesforce dashboards along technical team showcase roi based activity utilise leverage internal external technology identify develop manage marketing leads effectively knowledge marketing automation platforms desirable successful role ambitious creative mindset basic understanding cloud computing saas offerings excellent listening verbal written skills ability build meaningful business relationships ethixbase customers prospects internal colleagues growth mindset consistently working improve skills adapt constantly changing environment humble confidence ability articulate value ethixbase customers ability work flexibly pivot focus based company needs industry changes digitally focused mindset based singapore philippines malaysia remote working time office apac team start date october provide competitive compensation professional atmosphere collaborative inclusive work environment individuals strong aptitude positive attitude opportunities grow professional careers working advanced technology talented developers business ethixbase equal employment opportunity employer qualified applicants receive consideration employment without regard race colour religion sex sexual orientation national origin age disability gender identity veteran status individual disability require reasonable accommodation complete part application process limited ability unable access use online application process need alternative method applying may contact us hr assistance,Entry level,Full-time,,
Sales Operations Coordinator,"Kendo Brands, Inc.","Singapore, Singapore",2021-09-25,< 25 applicants,sales operations coordinator provides logistical liaising assistance support commercial needs kendo business southeast asia position work closely brand planning inventory manager ensure timely processing accurate delivery customer purchase orders returns also tasked generate sales performance reports analyses needed kendo brands region role role ideal new graduates limited experience would like grow career beauty retail,Entry level,Full-time,,
