jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Management Trainee,,"Singapore, Singapore",2021-10-02,< 25 applicants,company expanding looking driven individuals afraid step new challenges team player gain valuable experience industry learning indispensable skills responsibilities increase brand awareness clients acquire new retain existing customers requirement strong interpersonal communication skills immediate starters preferred solution driven committed improvement growth committed responsible excited looking forward working possess qualities experience required coaching provided regret shortlisted candidates contacted,Internship,Full-time,,
International Account Lead,LEGO Education,"Singapore, Singapore",2021-09-18,25 applicants,possess strategic acuity passion excellence sales desire make real impact classrooms world come join us apac account lead international help grow lego education business future growth markets core responsibilities understand map total potential lego education le apac region track insights identify target addressable market work key colleagues marketing adoption ensure end end mapping channel customer value propositions partners effectively managed deliver maximum impact region challenge partner deliverables point objectively identify partners future also stable bring growth challenger attitude business committed delivering commercial learning impact relationship management responsibility group partners offer greatest growth potential lego education lead relationship responsible driving well challenging le business performance provide added value partner operations enhance mutual business using lego system approach active shadow management generate long term sustainable value ability presence represent le partnership highest levels supporting strategic relationships key customers including moes revenue growth management proven track record identifying growth opportunities making value chains deliver best bottom line challenge norm look upsides take meticulous approach data identify trends themes inform plans commitments provide insights allow inspire lead partners new business generation growth responsible forecasting execution account plans partnership marketing colleagues support partners design activation campaigns marketing maximise growth potential able challenge reinvent partner plans via connecting right dots data points insights map future growth opportunities annual business planning bring ability experience craft hone big idea partners bring highly structured plan holds teams focused accountable plan blends partner le objectives strategy utilizing market sector customer insights uncover opportunities unlock potential driving improving capabilities across team think strategically business planning able synthesis channel insights inform roadmaps performance excellence succeed performance driven culture performance tracking routine habit challenges pursued thoughtfully directly expect lot self around enabling roles drive mentality regardless reporting lines commit continuously monitoring results quantitive qualitative ensure targets remain realistic stretching conduct return investment evaluation activities proactively course correct plans delivering focus outcomes apply learning experience previous initiatives improve future plans proactive landmark missed capture success demonstrated bring strong legal framework attitude performance execution follow process protocol conduct business standards quality execution indirect people leadership thrive collaborative matrixed organization bring functional expertise table colleagues functions deliver great results together working marketing manager adoption lead model great competencies whilst displaying commitment improvement help shape next level talent business skills development coaching active shadow collaboration play part team succeeding key position leadership opportunity drive exciting business growth le asia pacific account lead manage handful business plans key partners achieve sales ambitions le specific markets role demands strong strategic acumen channel expertise passion targeted sales takes bachelor degree business related field business administration plus experience working education industry preferred years leadership experience fmcg mobile technology industry brands passion channel management business execution demonstrate model critical thinking choiceful growing business partners strong proven strategic result oriented approach curiosity humility passion learning improving building stronger capabilities oneself around strong digital skills fluency data crm confidence act data strong attention detail excellent professional verbal communication writing skills team orientated work teams globally ability show indirect management development team members ability travel weeks 4 knowledge languages like korean japanese would plus support apac market must confident working matrix environment join global family children role models curiosity creativity imagination inspire everything strive create diverse dynamic inclusive culture play lego group everyone feels safe valued belong lego group proud equal opportunity affirmative action employer committed equal employment opportunity equal pay regardless race colour ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status support employees moments matter life celebrate families kinds loved ones make us part lego group also means taking part annual play day playing part building sustainable future continuing mission inspire develop builders lego group fully committed children rights child wellbeing across globe candidates offered positions high engagement children required take part child safeguarding background screening condition offer thank sharing global commitment children rights build career brick brick lego group legoedu,Internship,Full-time,Sales,Consumer Goods
Sales & Business Development Intern,FlySpaces,"Downtown Core, Singapore",2021-09-25,< 25 applicants,sales business development intern exciting opportunity part proptech gain insight great experience internet experience life entrepreneur get involved aspects company development position covers mainly singapore market primarily consist handling sales inquiries managing developing space partners inventory singapore well provide occasional support partnership teams across region responsibilities account management first point contact sales operational queries partners sales making sure business leads properly taken care business development actively involved finding new business merchant acquisition actively involved finding acquiring new space partners include event venues coworking spaces serviced offices landlords merchant relationship develop maintain merchant relationships monitoring initiatives improve merchant engagement applying skills effectuate solutions first point contact matters relating space partners market research monitoring information research traditional real estate flexible office market support marketing team content minimum education diploma bachelors masters graduates encouraged apply well availability october 2021 min 6 months males must completed ns unless exempt applicants must visa sponsorship eligibility work singapore entire duration internship previous experience corporate environment ideal experience real estate would added advantage outstanding communication skills fluency english natural sales instincts driven attitude rainmaking mentality best describe ideal candidate role mentality excellent analytical skills proactiveness must remuneration includes salary 800 commission cpf eligible applicants may also apply position sending cv cc singapore,Internship,Internship,,
Retail Sales Analyst Intern,Coty,"Singapore, Singapore",2021-09-18,< 25 applicants,coty world leader beauty home illustrious roster cosmetic skincare fragrance brands company mission challenge definition beauty encourage authenticity celebrate diversity us coty beauty conforming somebody else ideal inclusion liberating everyone shine unique way coty helps millions people around world express beauty way rich portfolio covering fragrance skin care colour cosmetics body care brands include global icons like gucci burberry hugo boss calvin klein philosophy max factor rimmel bourjois sally hansen adidas david beckham etc one billion products shipped year possibilities endless role role able gain understanding luxury beauty ground best marketing campaign come life team operations robust enough support campaign assess retail productivity tools drive retail excellence project management process improvement skills mindset sharpen commercial acumen understand different stakeholders view business see direct correlation sales marketing plans sales delivery key responsibilities ba app stabilisation ba app primary use sales tracking app intended timely sales reporting brand counter ba basis ba commissions secondary use counter soh management ensure ongoing data accuracy data integrity support ro tm missing item upload master data maintenance special buy creation understand scenarios limitations captured app needed ground devise workarounds improvements ro within cost app limitations document faqs user handbook key user backend report generation work ro develop auto reports understanding analytics required tm frag vs mu retail analytics reporting harmonise various data sources ba app scorecards adecco sales data daily sales trackers ensure updated time accurately discrepancies month end resolved extract data across various sources facilitate monthly cycle meeting apac mbu brick click sales performance active tracking transaction metrices works enable ro able work kas marketing strengthen b c devise trackers oos status ro bas trigger replenishment currently performed tm ongoing basis understand market trends consumer demographic store traffic flow consolidate feedback promotions mechanics performance objectively analyse drivers performance ba productivity monthly compilation ba scorecard ba ipt aus average unit sale ba ranking identify productivity improvement improve upselling understand ba performance collective individually otc animation overall attend trainings scheduled trainer acquire feedback tm ka sales brought vs cost per ba understand drivers store location brand allocation shift changes work ro trg get bas deliver competitor analysis monthly consolidation competitive action trade pr ds sephora chanel dior ysl tom ford ga hermes bvlgari g jo malone diptyque versace montblanc coach online b c bring essential able commit least 6 months jan jun 2022 internship strong computer knowledge skills microsoft excel powerpoint words outlook power bi ability synthesize interpret technical data enjoy research analysed data consumer goods makeup beauty products strong oral written communication skills people task oriented salesforce plus strong work ethic sense confidentiality possesses awareness high emotional intelligence able work independently demonstrate initiative ability work environment persuasive resilient flexible able easily adapt new challenges passionate enthusiastic driven regularly loose ends able thrive despite challenges adopting positive attitude pressure people make us brightest minds bringing boldest ideas life every day kind person refuses settle want think bigger learn faster go ever thought possible love hear interested applicants may also send email directly,Internship,Internship,Other and Marketing,Cosmetics
Business Development Intern,Urban Company,"Singapore, Singapore",2021-10-06,40 applicants,bd intern role key achieving goal since person would assisting managing important pillar business cleaner partners individual ability think sharply execute fast pace reporting business development manager home cleaning business unit bd intern would expected connect cleaner partners understand areas improvement scale high quality service assist process onboarding cleaner partners maintaining quality partners manage inventory purchasing financial reporting partner companies assist business planning implementing needle moving initiatives category create service delivery norms processes category help implement work cross functionally product marketing finance drive business needs able commit min 4 months bit undergraduate comfortable working autonomously relentless easily give setbacks growth mindset past sales experience preferred looking job learn job communication different stakeholders external partners building strong sales funnel achieve monthly targets fast execution different projects tasks strategic thinking optimise processes create new business plans trying fast failing fast taking key learnings iter,Internship,Internship,,
Fonterra Singapore Internship Program,Fonterra,"Singapore, Singapore",2021-10-02,< 25 applicants,fonterra singapore hiring interns apply today recruiting next batch interns start december 10 vacancies filled across different business units marketing sales foodservice etc internship program designed give experience corporate world give extra edge future job application looking candidates must undergraduates final year study local university singapore graduates considered program ability work independently minimum supervision proactive passionate innovative possess attitude critical analytical thinking skills team players excellent communication presentation project management skills able commit internship 15 december 2021 30 june advanced excel powerpoint skills applicants must eligibility work singapore without sponsorship work visa vacancies available active living marketing intern afp developing markets intern https chef trainee chilled df marketing intern https foodservice development market intern https global channel marketing intern https data analytics intern https global marketing intern https global sales strategy intern dcm global sales strategy intern rtm https regional marketing intern https rgm mt intern https sales capability intern https strategic business development data analytics intern https trade marketing ecommerce intern https story fonterra cooperative group farmer owned dairy company world largest dairy exporter new dairy products enjoyed 140 markets across globe products loved people balanced nutrition quality craftsmanship sheer indulgence among best known dairy brands asia rest world 150 offices sites around world fonterra offer great range career pathways across business let internship journey start please submit copy cv cover letter specifying position applying thank note 1 students able commit entire period internship 15 december 2021 30 june 2022 considered 2 selected student required apply leave absence complete internship applying non internship 3 position closed soon suitable candidate identified,Internship,Internship,"Marketing, Sales, and Analyst",Dairy and Food & Beverages
Corporate Sales Intern,PRISM+,"Singapore, Singapore",2021-10-02,< 25 applicants,collaborative approach would also ensure interns always experienced staff available guide throughout daily tasks department manager staff working closely interns achieve relevant kpis providing close supervision guidance interns rest assured interns spending time meaningfully left unsupervised point time role corporate sales intern job scope handling corporate customer inquiries purchases fulfillment attain new corporate customers build maintain good relationships existing new corporate customers vendors prepare reports payment history tracking sales sales summary confident students intern company benefit ways opportunity apply acquired knowledge skills real work experiences relevant work experiences desired field gain confidence interests future career path develop strength weaknesses regular feedback supervisors embracing mistakes offer guidance network professionals industry,Internship,Full-time,"Sales, Business Development, and Customer Service",Consumer Electronics
Business Development Intern,One Good Card,"Singapore, Singapore",2021-10-04,< 25 applicants,one good team believe making technology simple accessible everyone pilot product market one good card singapore first smart name card born eradicate wastage paper name cards deeply believe world needs smarter safer sustainable means digital connectivity especially pandemic team young dynamic bold company name suggests nothing embody team excellence believe team collaboration value every input hierarchies looking read look forward liaising building rapport managing clients relationships identifying new clients potential business growth opportunities maintaining achieving customer satisfaction pursuit business targets building key sales funnels effective inbound outbound lead generation gaining new experiences crafting campaigns opportunities pitch ideas solutions prospective clients need good written verbal communication skills strong success driven mentality creative eye strong attention details ability understand cater clients needs highly adaptable good critical thinking knowledge image manipulation tools software canva adobe photoshop etc ability work efficiently environment preferably possesses background courses awesome fit passionate personal growth career development individual takes initiative solve business problems want expand knowledge real applicable skillsets used workforce believe making best opportunities comes way good communicator genuinely enjoy interacting people keen experiencing work fast paced dynamic environment believe accelerating future digital transformation us welcome even prior experience business development sales long hungry growth keen learn ropes describes one good hello want,Internship,Internship,,
FPSG - Sales Intern,foodpanda,"Singapore, Singapore",2021-10-05,< 25 applicants,love food convenience put together might love foodpanda foodpanda leading food delivery company singapore bringing thousands best loved restaurants online home office fast bringing smartest folks continue grow hands deck environment hire thrive startup culture job roles responsibilities acting administrative point contact sales representatives clients address customers questions concerns accurately handling sales representatives requests promptly maintain consistency quality calls service standards develop prompt accurate data entry work closely sales team ensure smooth submission paperwork signed accounts duties assigned sales team requirements proficiency english high level verbal written communications skills excellent knowledge ms excel vlookup ability multitask prioritize daily workload offer challenging fulfilling steep learning curve vibrant dynamic international workplace periodic fun engaging company events team activities tasty thursdays birthday leave work anniversar ies leave opportunity contributor global compani,Internship,Internship,Sales and Business Development,"Marketing and Advertising, Internet, and Financial Services"
Business Development Intern,Urban Company,"Singapore, Singapore",2021-09-11,31 applicants,bd intern role key achieving goal since person would assisting managing important pillar business cleaner partners individual ability think sharply execute fast pace reporting business development manager home cleaning business unit responsibilities connect cleaner partners understand areas improvement scale high quality service assist process onboarding cleaner partners maintaining quality partners manage inventory purchasing financial reporting partner companies assist business planning implementing needle moving initiatives category create service delivery norms processes category help implement work cross functionally product marketing finance drive business needs able commit min 4 months bit undergraduate comfortable working autonomously relentless easily give setbacks growth mindset past sales experience preferred looking job learn job communication different stakeholders external partners building strong sales funnel achieve monthly targets fast execution different projects tasks strategic thinking optimise processes create new business plans trying fast failing fast taking key learnings iter,Internship,Full-time,,
