jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Alliances Manager,Fujitsu Asia,"Singapore, Singapore",2021-09-25,35 applicants,role expected work closely sales delivery colleagues asia region increase awareness alliance related opportunities engage appropriate company executives build targeted strategic relationships build long term business opportunities company key responsibilities manage alliances proactively map alliances capabilities understanding market asia region develop nurture strategic mutually beneficial relationship vendors drive revenue joint sales efforts create go market opportunities alliances drive sales generate sales opportunities achieve short long term revenue profit growth educate alliances value propositions help drive joint engagement customers working closely sales delivery teams support execution mutual business plans define target partnership outcomes key metrics including sales training skills development implementation projects customer success stories create manage company pipeline deals partners transform potential leads joint sales activities conduct regular business reviews alliances assessing performance providing insights business job requirements thorough understanding regional partners includes organization relative business priorities communication styles preferences key risks need mitigated successful partnership success good understanding software applications erp rpa bi data analytics excellent communication skills proven ability communicate effectively matrix environment levels technical team country sales managers least 5 years experience demonstrated success one related areas professional services alliances software sales ability effectively communicate influence solution direction technical audiences alike across organizational levels bachelor degree business technology related discipline,Mid-Senior level,Full-time,Business Development and Sales,Information Technology and Services
Channel Sales Manager,BitTitan,"Singapore, Singapore",2021-10-08,< 25 applicants,empowers service professionals successfully deploy manage cloud technologies automation bittitan developer saas solution mailbox document microsoft teams migrations wide range sources destinations additionally voleer bittitan solution centralizes automates tasks helping empower service professionals streamline daily operations eliminate redundancies since 2009 bittitan moved 19 million users cloud customers 187 countries supports leading cloud ecosystems including microsoft amazon google dropbox bittitan global company offices seattle singapore quick overview following infromation details primary duties responsibilities bittitan channel sales manager may additional aspects job management provide company reserves right modify revise job descriptions business needs dictate job drive achievement channel sales quota create execute channel sales strategy channel partner assigned primary focus key distributors achieve 100 quarterly full year channel sales quotas assigned enable manage relationships assigned channel partners support business goals execute channel strategies drive consistent predictable channel bookings joint business planning ongoing channel enablement grow maintain effective internal bittitan relationships maximize opportunity closings prepare compelling visual presentations communicate bittitan value proposition drive deals exceed revenue targets working marketing identify develop new contacts leads opportunities resulting net new customer growth channel partners ensure effective training use sfdc distributor planning contact information opportunity management forecasting analysis travel appropriate work partners customers grow business provide product requirements back bittitan demonstrate cultural awareness local customs business processes fortifying company value proposition global supplier cloud based saas solutions qbr execution execute effective qbrs key distributors involving account managers marketing product management sales management appropriate achieve assigned channel quotas team management able lead manage team members drive channels strategy particular region would love speak sales experience requirements years sales experience years channel sales demonstrated history developing partner relationships successful global outcomes demonstrated personal leadership driving new sales sales targets excellent written verbal communications skills including formal informal presentations experience technology industry specifically saas environments works effectively internal teams account managers marketing product finance customer support sales management adept handling ambiguous comfortable delivering presentations desire work entrepreneurial company attitude extras give edge education business technical bachelor degree applicable technology industry language skills read communicate fluently english mandarin language bring experience talent creative energy meet diverse group people work together build software aims cloud unique culture collaborative customer centric professional encourages hard work layer fun keeps us balance join team makes positive impact future services going love bittitan accept celebrate support embrace benefit employees partners community committed equal employment opportunity diversity,Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Enterprise Account Executive, Slack",Slack,"Singapore, Singapore",2021-10-07,< 25 applicants,get best candidate experience please consider applying maximum 3 roles within 12 months ensure duplicating efforts job category sales job details slack salesforce company slack transformed business communication leading messaging platform used millions align teams unify systems drive businesses forward slack offers secure environment scale largest companies world new layer business technology stack people work together effectively connect software tools services find information need best work slack work happens looking excited welcome slack ever growing ohana salesforce recent announcement slack acquisition brand new opportunities grow singapore team looking enterprise account executives join sales team focus enterprise customers singapore seek exceptional talent eager best work life supporting others responsible driving sales opportunities prospective customers well expanding business within existing accounts work closely customers understand business objectives act trusted guide using slack effectively also work teams help align product roadmap marketing materials customer feedback established sales professional proven track record helping customers achieve lofty goals talk things include full sales cycle lead close establish lasting relationships senior executives help educate customers value slack throughout adoption cycle build slack awareness levels organization identify customer needs ensure customer success special emphasis signup upgrade renewal collaborate members sales team solutions engineers customer success managers leadership etc build strategic adoption plans customers prepare educate customers new features releases monitor identify adoption utilization trends serve voice customer collect feedback drive continuous improvement across areas including product handle customer communication issues appropriately including billing legal security technical inquiries drive revenue proactive outreach key accounts years software sales experience preferably saas teammate act independently experience presenting senior managers take active interest opportunities increase customer satisfaction deepen customer relationships consistent track record identifying customer needs successfully implementing solutions ability orchestrate collaborate teams flexible adaptive resilient degree equivalent experience travel required us salesforce customer success platform world 1 crm empowers companies connect customers whole new way fastest growing top 10 enterprise software companies world innovative company according forbes one fortune 100 best companies work six years running growth innovation aloha spirit salesforce driven incredible employees thrive delivering success customers also finding time give back model leverages 1 time equity product improve communities around world salesforce team sport play win join us accommodations require assistance due disability applying open positions please submit request via accommodations request form posting statement salesforce believe business business improve state world us responsibility drive equality communities workplaces committed creating workforce reflects society inclusive programs initiatives equal pay employee resource groups inclusive benefits learn equality salesforce explore benefits equal employment opportunity affirmative action employers qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender perception identity national origin age marital status protected veteran status disability status accept unsolicited headhunter agency resumes pay agency company signed agreement salesforce welcomes,Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Area Vice President, Sales - Slack",Slack,"Singapore, Singapore",2021-10-07,< 25 applicants,get best candidate experience please consider applying maximum 3 roles within 12 months ensure duplicating efforts job category sales job details area vice president sales slack slack mission make working life simpler pleasant productive looking area vice president large enterprise sales join fast growing sales organization driven curious intelligent deeply passionate craft build run diverse team talented individuals looking mentorship help growing careers addition remove barriers customer adoption slack collaborate broader leadership team demanding role requires strong leadership priority management interpersonal skills responsibilities participate customer prospect meetings help define strong business case partner solution engineering customer success teams drive success prioritize slack invests resources identify product technology gaps customers present point view slack product leadership teams support ongoing growth development including recruiting hiring training mentoring reps conduct weekly forecast meetings coach account executives strategies reach goals report sales activity manage regular revenue forecast achieve key performance metrics goals work team discuss plan implement process improvements requirements years sales experience preferably within enterprise saas organization years sales management experience preferably within enterprise saas organization solid understanding enterprise saas applications collaboration technology consistent track record selling software large enterprise accounts achieving personal team goals ability grow business strategic manner including demand generation excellent coaching writing discovery presentation skills history thriving environment enthusiasm increasing customer happiness deepening customer relationships comfortable willing contributor bachelor degree required slack slack layer business technology stack brings together people data applications single place people effectively work together find important information access hundreds thousands critical applications services best work global fortune 100 companies corner markets businesses teams kinds use slack bring right people together right information slack headquartered san francisco ca ten offices around world information slack makes teams better connected visit ensuring diverse inclusive workplace learn core slack values welcome people different backgrounds experiences abilities perspectives equal opportunity employer pleasant supportive place work come best work life slack accommodations require assistance due disability applying open positions please submit request via accommodations request form posting statement salesforce believe business business improve state world us responsibility drive equality communities workplaces committed creating workforce reflects society inclusive programs initiatives equal pay employee resource groups inclusive benefits learn equality salesforce explore benefits equal employment opportunity affirmative action employers qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender perception identity national origin age marital status protected veteran status disability status accept unsolicited headhunter agency resumes pay agency company signed agreement salesforce welcomes,Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
Regional Business Development Manager,,"Singapore, Singapore",2021-09-25,< 25 applicants,client european mnc specializes manufacturing thermal packaging solutions due continued growth globally looking high caliber regional sales manager join organisation singapore position requirements university degree holder minimum 5 years sales business development experience cold chain logistics pharmaceutical speciality chemical industries proven track record sales success self starter highly motivated develop new ideas strategy markets ability cope high pressure strict deadlines sound willingness skills solve problems strong english communication skills additional language added advantage highly effective presentation skills willingness travel regionally pandemic restrictions ease,Mid-Senior level,Full-time,,
Partner Sales Manager APAC,Mixpanel,"Singapore, Singapore",2021-09-18,< 25 applicants,role mixpanel stage partnerships key piece puzzle growth across region looking highly motivated leader team player join partnerships team support growth reseller partnerships apac role identify recruit operationalize new reseller partnerships help expand mixpanel indirect sales reach across build regional partner business plan quantified goals milestones achieve partner sourced revenue metrics meet quarterly sales requirements role manages existing reseller partners asia well responsible acquiring nurturing new reseller relationships across apac drive strategy partners responsible managing partner relationships executing gtm activities partners accountable exceeding quarterly quota generating pipeline forecasting revenue helping partner reps resell mixpanel generate revenue experience working channel resellers distributors system integrators sis digital agencies understand channel dynamics leverage previous experiences accelerate partnerships grow region responsibilities drive relationships solution provider reseller partners asia generate significant resell revenue region new customer acquisition existing customers upsell identify recruit enable manage relationships new reseller partners regional service integrators sis digital agencies product development agencies etc support business goals execute channel strategies develop deep understanding partner business models needs challenges including understanding mutual customers needs develop gtm plans partners achieve exceed revenue targets execute gtm activities lead cross functional teams activities onsite trainings email campaigns remote training sessions webinars events generate resold revenue assist partner sales teams close deals manage pipeline generation revenue forecast reporting leverage existing relationships partners influence decision makers increase mindshare accelerate engagement partners assist partners product positioning configuration demonstrations sales strategy closing deals forge strong relationships key managers support organizations dynamic growing environment ensure right people connected right time looking someone aside channel indirect sales experience exhibit two core characteristics mixpanel partnerships team great opportunity experienced business development professional join growing channel program account executive looking shift channel sales role make significant impact region preferred qualifications years channel direct sales experience channel sales role equivalent role execution focused able see larger picture great time management skills excellent written verbal communication skills hard working willing put extra effort get done ability work changing environment team player collaborate across org various departments travel necessary possible typically 25 depending coverage preferred,Mid-Senior level,Full-time,Information Technology,Computer Software
Regional Sales & Marketing Manager,Dornier MedTech,"Singapore, Singapore",2021-10-08,53 applicants,dornier medtech believe fostering culture science innovation reliability people products services values serve compass guides us towards meeting everyday commitment leading technology improving life passionate products work looking add team play key role managing expanding distribution channels assigned countries drive business growth develop business relationships end customers directly successful role independent highly driven demonstrate extensive experience business development strategies ability adapt quickly dynamic environment also important take approach required willing travel extensively primary responsibilities take ownership assigned markets following areas achieve individual performance targets meet specific goals strategies manage channel partners develop distribution network negotiate close business deals channel partners perform market analysis develop suitable pricing strategies develop implement plans brand champion dornier medtech understand market drivers dynamics craft relevant strategies drive business secondary responsibilities work service team meet service targets develop client relationships strengthen industry partnerships bachelor degree equivalent experience minimum years relevant regional work sales channel management possess years medical device sales experience plus aptitude keen take interesting challenges limited resources resourceful utilizing existing structure set able adapt diverse work environment independent takes ownership strong collaborative mindset operational skills able view isolated separate processes strategic viewpoint must able case support operating theatre regret shortlisted applicants notified,Mid-Senior level,Full-time,Sales,Medical Devices
Business Development Representative,,"Singapore, Singapore",2021-10-02,< 25 applicants,perform well role looking individual proven track record identifying generating new business leads various social platforms must also confident articulating technical concepts solutions various leads particular executive level decision makers role covers outbound inbound responsibilities larger emphasis generating outbound leads roles responsibilities outbound creating highly qualified opportunities account executives within targeted accounts outbound calling prospective customers analysing customer needs terms current business obstacles identifying projects scoping potential tibco solutions effectively communicating tibco solutions overcoming objections scheduling meetings field sales prospects responsible achieve high level collaboration marketing sales teams developing delivering strategy agreed field representatives regional vp actively problem solving duration campaign ensure results met end campaign inbound creating highly qualified opportunities account executives within targeted accounts outbound calling prospective customers analysing customer needs terms current business obstacles identifying projects scoping potential tibco solutions effectively communicating tibco solutions overcoming objections scheduling meetings field sales prospects responsible achieve high level collaboration marketing sales teams developing delivering strategy agreed field representatives regional vp actively problem solving duration campaign ensure results met end campaign skills qualifications fluency written verbal english prerequisite perform well role additional proficiency sea languages thai vietnamese bahasa korean give edge application proven track record identifying business generating new business leads via internet telephone social media linkedin platforms strong business development experience ability present technical concepts business solutions clearly conversations written communications experience calling executives enterprise size organizations along ability work overachieve targets strong interest technology passion sales strong communication skills understanding use application systems business environment objection handling expertise knowledge tibco products previous experience industry bonus rewarded focus health wellbeing employee assistance programme private medical insurance plan also benefit dental insurance health assessments truly holistic approach flexible working options focus finances financial future understand financial future key access exceptionally competitive pension scheme bonus incentive plan automatic enrolment income protection plan well death disability insurances provide financial focus progression learn advance develop skills learning development tools take advantage tibco career mapping enhance develop skills take career direction choose participate live weekly enablement sessions sales professionals attend elevate academy focus community collaboration inclusion team culture captains help us continue build tibcospirit daily strive create truly diverse inclusive collaborative community seek inspiration innovation genuine wow moments inspiring speakers mental health awareness culture recognition days offer truly diverse environment voice matters focus customers make difference take look many customer success stories https fine print please note must full working rights country applying work permit visa please make sure details along expiry date included application applications cvs must english tibco equal opportunities employer welcome applications suitably qualified persons regardless race sex disability sexual orientation age important please note updated candidate data privacy policy found https,Mid-Senior level,Full-time,Sales and Business Development,"Computer Software, Information Services, and Information Technology and Services"
Corporate Sales Executive (Junior),Cartrack,"Singapore, Singapore",2021-10-02,< 25 applicants,take ownership embrace challenges love results driven observant innovative smart mobility saas tech company subscribers across 23 countries looking relationship manager join team teams collaborative vibrant team members empowered freedom influence business ideas drive innovation efficiency responsibility proactively identify pursue sales opportunities deliver presentations demonstrating cartrack products solutions achieve exceed sales targets focus generating new business developing existing customers conduct thorough needs analysis client requirements pricing acquire new customers cold calling networking using various social media platforms monthly sales forecast preparation submission use crm full potential report measure control sales inputs outcomes requirements target driven personality eager explore new business opportunity good listening skills understand customer needs tailor relevant pitch possess good communication skills afraid go extra mile close deal entry level applicants possess desired attributes customer centric target driven encouraged apply training provid,Mid-Senior level,Full-time,Marketing and Business Development,Automotive
Senior Key Account Manager,,"Singapore, Singapore",2021-09-25,< 25 applicants,cashapon aims southeast asia premier ecommerce enabler providing innovative solutions boost productivity maximise sales opportunities top brands online channels cashapon team made highly ambitious individuals driven innovate build succeed always looking join key responsibilities key account manager key contact point end end process services including internal external function internal function includes marketing day day operation customer service technology functions manage cashapon service brand improve customer experience developing relationship marketplace new channel also key part drive client sales coverage growth managing brand channel portfolio deliver growth clients ideal candidate would key skills fast learner high interpersonal skill logical thinking problem solving high responsibility prioritizing initiative thinking role require combination financial business development account management skills job description performance management manage overall account profitability via p l management ensure clients channels successfully time deliver kpi track manage maximize gmv collaboration client channels customer budget management p l execution including reimbursement deliver agreed gmv take rate profit ensuring optimal product presentation visibility online channels leading initiatives across different services coordinating internal cross function external parties establish monitor progress key performance indicators partner service responsible client relationship retain client satisfaction serve face acommerce primary point contact client executives key stakeholders assigned account advising clients increase online sales merchandising promotion planning onsite marketing activities managing sales large brand owners webstore online channels initiative channel ensuring regular reviews carried customers ensure needs met excellent customer service achieved developing future customers ensure operational performance areas identifies anticipates additional opportunities enhancements improvements new services existing clients inventory management including forecast ordering doh controlling works departments ensure everything ready ensures processes set overlooked present analysis recommendations key stakeholders internally leadership team work individual contributor key account able lead project relating responsible account category able mentor key specialist leads account activities able share knowledge team player business development contract management helping translate outlined solution high level initial statement work sow helps secure client agreement sales meetings prospect client system integration options cost model forecast value activity planning requirements definition etc working closely solution design business development manage key customers existing new thereby improving turnover profitability sow trade agreement management existing account input industry insight sd new customer key qualifications 2 working experience ecommerce company internet international brand fmcg retailer consulting previous experience trade marketing brand management merchandising would plus able develop account plan good knowledge excel powerpoint ability quickly adapt new software tools proactive attitude strong commercial english well abilities analytical data driven mindset high interpersonal skill problem solv,Mid-Senior level,Full-time,,
