jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Channel Sales Representative,Honeywell,"Austin, TX",2021-10-07,< 25 applicants,innovate solve world important challenges future make join honeywell become member global team thinkers innovators dreamers doers make things make future means changing way fly fueling jets way keeping buildings smart safe even making possible breathe mars working honeywell developing cool things employees enjoy access dynamic career opportunities across different fields industries ready help us make future sell things offer solutions tomorrow challenges sales approach begins identifying customer demands become challenges committed delivering customer success comprehensive expertise software technology texas channel sales rep represent honeywell fire portfolio products solutions primarily farenhyt managing aspects engagements existing customers prospecting new customers build relationships understand customers business provide appropriate products solutions define sales growth strategy key customers aligning critical sales business objectives identify opportunities build credibility customers utilizing product knowledge technical expertise deliver value proposition remote position covering texas territory expected travel consistently within territory job responsibilities overall management texas territory developing cultivating relationships esd acting primary contact business consistently deliver revenue profitability targets develop execute annual business plans esd mutually agreed upon goals actions conduct quarterly business reviews monitor review monthly performance lead reviews explore variances needed corrective actions working esd key stakeholders adopt new products breakthrough initiatives using market data analytics provide recommendations leadership opportunities exist rationalize add esd within territory create maintain develop relationships engineers authorities jurisdiction ahj end users across territory provide customer inputs regarding market conditions competitor strategies industry trends drive feedback business contributes product development process articulating voice customer user work honeywell marketing team develop sales kits product collateral mdf campaigns utilize effectively activities responsible building managing active pipeline new business opportunities support siop process validate forecasted demand product mix delivery requirements communicated understood honeywell negotiate pricing contractual terms required line company guidelines professionally represent honeywell fire applicable tradeshows meetings trainings industry associations public events etc act liaison local national account branches national account manager ensure alignment execution honeywell fire growth objectives travel willing travel 80 time must minimum 3 years related fire safety industry experience valid drivers license value bachelor degree possess high degree driven metrics produces results combines strong hunting networking instincts ability develop manage business relationships ability work independently part team establish build collaborative relationships ability influence cross functionally strategic mindset ability execute tactically uses instincts well data accurately assess business situations industry trends makes timely appropriate recommendations implements appropriate plans personal leadership style desires continuously improve accepts feedback understands maximizes strengths working develop weaknesses ability develop new products technologies leads strong set values maintains high ethical standards excellent verbal written communication interpersonal skills ability influence varying levels across organization ability handle multiple priorities navigate highly matrixed environment additional information job id hrd140497 category sales location 3019 alvin devane blvd bldg 4 suite 430 austin united states exempt sales hbt honeywell equal opportunity employer qualified applicants considered without regard age race creed color national origin ancestry marital status affectional sexual orientation gender identity expression disability nationality sex veteran status,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Channel Sales Representative,Honeywell,"Houston, TX",2021-10-07,< 25 applicants,innovate solve world important challenges future make join honeywell become member global team thinkers innovators dreamers doers make things make future means changing way fly fueling jets way keeping buildings smart safe even making possible breathe mars working honeywell developing cool things employees enjoy access dynamic career opportunities across different fields industries ready help us make future sell things offer solutions tomorrow challenges sales approach begins identifying customer demands become challenges committed delivering customer success comprehensive expertise software technology texas channel sales rep represent honeywell fire portfolio products solutions primarily farenhyt managing aspects engagements existing customers prospecting new customers build relationships understand customers business provide appropriate products solutions define sales growth strategy key customers aligning critical sales business objectives identify opportunities build credibility customers utilizing product knowledge technical expertise deliver value proposition remote position covering texas territory expected travel consistently within territory job responsibilities overall management texas territory developing cultivating relationships esd acting primary contact business consistently deliver revenue profitability targets develop execute annual business plans esd mutually agreed upon goals actions conduct quarterly business reviews monitor review monthly performance lead reviews explore variances needed corrective actions working esd key stakeholders adopt new products breakthrough initiatives using market data analytics provide recommendations leadership opportunities exist rationalize add esd within territory create maintain develop relationships engineers authorities jurisdiction ahj end users across territory provide customer inputs regarding market conditions competitor strategies industry trends drive feedback business contributes product development process articulating voice customer user work honeywell marketing team develop sales kits product collateral mdf campaigns utilize effectively activities responsible building managing active pipeline new business opportunities support siop process validate forecasted demand product mix delivery requirements communicated understood honeywell negotiate pricing contractual terms required line company guidelines professionally represent honeywell fire applicable tradeshows meetings trainings industry associations public events etc act liaison local national account branches national account manager ensure alignment execution honeywell fire growth objectives travel willing travel 80 time must minimum 3 years related fire safety industry experience valid drivers license value bachelor degree possess high degree driven metrics produces results combines strong hunting networking instincts ability develop manage business relationships ability work independently part team establish build collaborative relationships ability influence cross functionally strategic mindset ability execute tactically uses instincts well data accurately assess business situations industry trends makes timely appropriate recommendations implements appropriate plans personal leadership style desires continuously improve accepts feedback understands maximizes strengths working develop weaknesses ability develop new products technologies leads strong set values maintains high ethical standards excellent verbal written communication interpersonal skills ability influence varying levels across organization ability handle multiple priorities navigate highly matrixed environment additional information job id hrd140497 category sales location 3019 alvin devane blvd bldg 4 suite 430 austin united states exempt sales hbt honeywell equal opportunity employer qualified applicants considered without regard age race creed color national origin ancestry marital status affectional sexual orientation gender identity expression disability nationality sex veteran status,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Channel Sales Representative,Honeywell,"Dallas, TX",2021-10-07,< 25 applicants,innovate solve world important challenges future make join honeywell become member global team thinkers innovators dreamers doers make things make future means changing way fly fueling jets way keeping buildings smart safe even making possible breathe mars working honeywell developing cool things employees enjoy access dynamic career opportunities across different fields industries ready help us make future sell things offer solutions tomorrow challenges sales approach begins identifying customer demands become challenges committed delivering customer success comprehensive expertise software technology texas channel sales rep represent honeywell fire portfolio products solutions primarily farenhyt managing aspects engagements existing customers prospecting new customers build relationships understand customers business provide appropriate products solutions define sales growth strategy key customers aligning critical sales business objectives identify opportunities build credibility customers utilizing product knowledge technical expertise deliver value proposition remote position covering texas territory expected travel consistently within territory job responsibilities overall management texas territory developing cultivating relationships esd acting primary contact business consistently deliver revenue profitability targets develop execute annual business plans esd mutually agreed upon goals actions conduct quarterly business reviews monitor review monthly performance lead reviews explore variances needed corrective actions working esd key stakeholders adopt new products breakthrough initiatives using market data analytics provide recommendations leadership opportunities exist rationalize add esd within territory create maintain develop relationships engineers authorities jurisdiction ahj end users across territory provide customer inputs regarding market conditions competitor strategies industry trends drive feedback business contributes product development process articulating voice customer user work honeywell marketing team develop sales kits product collateral mdf campaigns utilize effectively activities responsible building managing active pipeline new business opportunities support siop process validate forecasted demand product mix delivery requirements communicated understood honeywell negotiate pricing contractual terms required line company guidelines professionally represent honeywell fire applicable tradeshows meetings trainings industry associations public events etc act liaison local national account branches national account manager ensure alignment execution honeywell fire growth objectives travel willing travel 80 time must minimum 3 years related fire safety industry experience valid drivers license value bachelor degree possess high degree driven metrics produces results combines strong hunting networking instincts ability develop manage business relationships ability work independently part team establish build collaborative relationships ability influence cross functionally strategic mindset ability execute tactically uses instincts well data accurately assess business situations industry trends makes timely appropriate recommendations implements appropriate plans personal leadership style desires continuously improve accepts feedback understands maximizes strengths working develop weaknesses ability develop new products technologies leads strong set values maintains high ethical standards excellent verbal written communication interpersonal skills ability influence varying levels across organization ability handle multiple priorities navigate highly matrixed environment additional information job id hrd140497 category sales location 3019 alvin devane blvd bldg 4 suite 430 austin united states exempt sales hbt honeywell equal opportunity employer qualified applicants considered without regard age race creed color national origin ancestry marital status affectional sexual orientation gender identity expression disability nationality sex veteran status,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Vice President of Sales,MAYAFAB,"North Carolina, United States",2021-10-02,< 25 applicants,jobtitle vp sales mayafab one biggest best chinese textile mill showroom located high point north carolina supplying high quality fabrics fabric distributors home furnishing manufacturers around world since thousands fabric designs available contract home furnishing industries mayafab established sound business relationships many fabric distributors furniture manufacturers design firms hotel groups us website currently seeking experienced motivated vice president sales manage sales team cross us achieve sales goal vice president sales responsible promote company products services develop plans strategies manage sales teams organize maintain sales operations manage sales budget take charge recruiting hiring sales staff motivate sales team achieve workplace goals develop sales training programs monitor market competitor activity improve customer satisfaction anticipating consumer needs identify improvements made develop plans manage detailed sales expectations plan accordingly work closely marketing department monitor customer activity create sales reports communicate foster relationships clients requirements recent rich experience managing sales team achieve goal successfully good resource relationship key customers textile industry sincere commitment sales performance independent sales management professional identify opportunities drive pursue understanding unique needs home textile industry needs customers appreciation product enthusiasm making recommendations customers excellent listening communication skills professional demeanor outgoing personality ability function multicultural environment desired qualifications bachelor degree major marketing business administration related major least 5 years experience textile sales managment related position location preference nc,,Contract,,
Inside Sales Representative - Remote US,3M,United States,2021-09-25,143 applicants,collaborate innovative 3mers around world choosing start grow career major impact professional personal life equally important know company choose work leaders support guide diversity people global locations technologies products 3m place collaborate curious creative 3mers 3m excel combining talents leveraging creative curious minds impactful center objective improving customer experience privilege work great company amazing people leadership cultivates eric hammes executive vice president enterprise operations 3m position provides opportunity transition private public government military environments 3m career impact make role inside sales representative establish maintain customer relationships drive sales growth virtual sales sell cross sell strategically aligned products within focused markets accomplished utilizing detailed product market knowledge order aid distribution partners customers sales representative accountable achieve monthly phone activity goals driving sales pipeline health exceeding sales forecast customer interactions business plan creation execution teaming field sales representatives appropriate inside sales rep opportunity tap curiosity collaborate innovative diverse people around world make impact driving 3m sales assigned distribution managed territories establishing maintaining customer relationships comprehensive understanding customer models help manage influence business growth introducing new products communicating promotions relevant customers prospects maintaining updating working sales plan strategies tactics achieve annual sales forecasts demonstrating proficient level procedural technical product knowledge identify products meet customer needs working attain sales quota sales quality sales productivity metrics sharing best practices team promote positive team environment proficiently identifying market trends account needs order react market activity reach favorable sales goals skills expertise set success role day one 3m requires minimum following qualifications bachelor degree completed verified prior start accredited institution additional qualifications could help succeed even role include one 1 years outside sales inside sales experience account management experience previous experience oral industry personal safety preferred experience desired skills include solution selling listening skills gain commitment ability work effectively sales team environment creative abilities preferred ability adapt rapidly changing work environment strong organizational skills ability stay tasks maintain high productivity levels working office remotely location positions performed remotely within continental us located corporate campus travel travel anticipated required relocation assistance authorized must legally authorized work country employment without sponsorship employment visa status h1b status supporting 3m offers many programs help live best life physically financially ensure competitive pay benefits 3m regularly benchmarks companies comparable size scope resources details happens interview process check insights candidates page learn 3m creative solutions world problems twitter 3m responsibilities position include corporate policies procedures security standards complied performing assigned duties pay benefits overview https 3m equal opportunity employer 3m discriminate applicant employment basis race color religion sex sexual orientation gender identity national origin age disability veteran status please note application may considered provide education work history either 1 uploading resume 2 entering information application fields directly 3m global terms use privacy statement carefully read terms use using website access use website application job 3m conditioned acceptance compliance terms please access linked document clicking select country applying employment review submitting application asked confirm agreement terms,Entry level,Full-time,Sales and Business Development,Business Supplies and Equipment and Consumer Goods
"Shopping Sales Specialist, Large Customer Sales",Google,"Atlanta, GA",2021-09-25,< 25 applicants,note applying position opportunity share preferred working location following new york ny usa atlanta ga usa cambridge usa chicago il usa mountain view ca usa san francisco ca usa ann arbor mi usa minimum qualifications bachelor degree equivalent practical experience 5 years experience performance digital marketing experience managing book business sales pipeline preferred qualifications experience pitching digital marketing measurement solutions experience performance digital marketing working retailers manufacturers using google shopping ad products google ads merchant center understanding performance digital marketing across planning buying optimization ability deliver insights data creates business value drives client action ability provide thought leadership effectively lead discussions level job businesses partner google come shapes sizes market caps one google advertising solution works knowledge online media combined communication skills analytical abilities shapes new existing business grow using influencing skills provide client service research market analysis anticipate decisions made persistently explore uncover business needs google key clients understand range product offerings grow business working set vision strategy advertising reach thousands users shopping ad solutions build delightful experiences bring users retailers manufacturers together throughout shopping journey whether home go store role opportunity work wide spectrum initiatives collaborating team strategy providing market feedback product features consulting google customers solutions help improve performance meet business objectives part introducing products shopping help improve user experience shape modern retail care people foster culture respect inclusion within team working groups one key element people development ensure everyone room grow get career guidance need get next step large customer sales teams partner closely many world biggest advertisers agencies develop digital solutions build businesses brands enjoy bird eye view massive transformation occurring advertising shifts mobile online platforms uniquely situated help shape companies grow businesses digital age advise clients google broad range products across search video mobile help connect instantly seamlessly audiences responsibilities develop holistic shopping strategies retailers align customer business objectives supercharge google shopping performance clients articulate features value proposition shopping solutions including product listings local showcase ads well merchandising solutions drive adoption manage shopping business growth forecasting book business maintaining business product implementation pipelines communicate client market updates sales leadership partner closely many internal stakeholders across shopping google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicants regardless criminal histories consistent legal requirements see also google eeo policy eeo law disability special need requires accommodation please let us know completing accommodations applicants form,Not Applicable,Full-time,Sales and Business Development,Information Services and Internet
"Account Executive, NFL Media Sales",National Football League (NFL),"Inglewood, CA",2021-10-02,< 25 applicants,summary job description experienced media sales professional provide tv digital marketing solutions sell service new existing national advertisers position requires established media contacts ad agencies clients intense desire succeed successful track record tv digital media sales job function proactively prospect qualify grow maintain agency client account list negotiate tv digital media deals drive nfl media revenue closing new business managing renewals present nfl media initiatives buyers planners clients basis weekly responsible current projected marketplace analysis oversee stewardship multiple advertising agencies account groups including corporate sponsor accounts client aor identify develop media sales opportunities leveraging nfl media assist national ad sales manager budget forecast analysis projections ability listen well client needs develop advertising programs exceed expectations work conjunction integrated marketing departments develop maintain customized sales proposals responsible maintaining evaluating current revenue along anticipated revenue growth build maintain strong relationships key account personnel levels agency buying planning cultivate strategic relationships secure revenue growth build credibility marketplace identify understand communicate trends within client markets industries education equivalent experience degree required minimum years tv digital agency sales experience emphasis sports computer skills microsoft office excel powerpoint others required special skills abilities required intimate knowledge digital tv sports marketplaces must deep understanding competitive media broadcast digital mobile print established rolodex tv digital agency personnel experience selling national sports sponsorships plus ability work environment manage multiple tasks concurrently think creatively sell strategically communicate efficiently internally externally outstanding verbal written communication skills internal contacts vice president sales nfl media pricing inventory group media sales staff integrated marketing group business development partnership marketing consumer products research department traffic department external contacts tv digital advertising buying planning agencies traditional digital current potential clients nfl corporate partner clients travel requirements weekly monthly travel required within based geographic allocation california colorado washington oregon,Associate,Full-time,"Sales, General Business, and Other",Sports
"Head of Sales Development Managers, Large Customer Sales",Google,"New York, NY",2021-09-25,35 applicants,note applying position opportunity share preferred working location following chicago il usa new york ny usa minimum qualifications bachelor degree equivalent practical experience 11 years experience direct sales advertising sales supporting function roles people leadership management experience preferred qualifications experience managing first research including knowledge qualitative quantitative analytical methodologies deep knowledge search social mobile display video local spaces ability demonstrate strong communication project management interpersonal organizational skills analytical skills include ability see granular well issues effective influencing collaboration skills internal external stakeholders including executives customers job businesses partner google come shapes sizes market caps one google advertising solution works knowledge online media combined communication skills analytical abilities shapes new existing businesses grow using skills provide client service research market analysis anticipate decisions made persistently explore uncover business needs google key clients understand range product offerings grow business working set vision strategy advertising reach thousands users role managing sales development manager team responsible consumer goods entertainment verticals whose mission generate research insights pitches grow google business subject matter expert industries within verticals support also apply google solutions address client needs opportunities industry directors strategic partner helping shape annual quarterly plans goal define big bets unlock incremental business addition responsible developing managing activating annual research budget research plan used pitches supporting investment asks finally serve coach teams shaping leading team toward future large customer sales teams partner closely many world biggest advertisers agencies develop digital solutions build businesses brands enjoy bird eye view massive transformation occurring advertising shifts mobile online platforms uniquely situated help shape companies grow businesses digital age advise clients google broad range products across search video mobile help connect instantly seamlessly audiences responsibilities establish trusted strategic partnership industry specialist directors define strategy big bets identifying sales development manager partnership key enablement support define develop sector aligned sales development manager plans present plans authority senior stakeholders drive new different thinking using insights trends inform sector strategy industry directors partners partner leaders across teams strategists analytical leads specialists shape future bets equip teams deliver results customers business growth coach develop talent consistent high performance google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicants regardless criminal histories consistent legal requirements see also google eeo policy eeo law disability special need requires accommodation please let us know completing accommodations applicants form,Not Applicable,Full-time,Sales and Business Development,Information Services and Internet
"Vice President of Sales, Eastern US","Viseon, Inc.",United States,2021-10-02,31 applicants,position overview vice president sales reports ceo member company executive leadership team responsible direction management sales business development operations including market dynamics competitiveness pricing compensation distribution channel strategy position largely includes responsibility development new technology vp sales drive company achievement customer acquisition service revenue goals mentality attitude trenches growth innovative results oriented major duties responsibilities oversee hiring development sales organization distributors appropriate company role model company culture establish compensation training sales incentive programs participate development national appropriate international sales strategies work closely company management team develop establish direct channel distribution strategies account servicing programs maintain key customer relationships develop implement strategies expanding company customer base identify surgeon champions adoption viseon technology drive value analysis committee process approval work closely company management team develop execute training programs manage overall sales process set appropriate metrics sales funnel management develop pricing policies including volume discounts terms conditions private practice customers channel partners job requirements minimum 50 travel independent motivator trustworthy strong work ethic least 10 years sales experience comparable spine surgery device industries 4 years senior management position strong familiarity operating room etiquette spine surgery anatomy including advanced minimally invasive spine surgery procedural techniques ability plan manage strategic operational levels track record performance excellence meeting targets objectives strong analytical planning forecasting skills excellent communication negotiation skills possess sales customer service orientation respectful outstanding leadership skills motivates staff exceed expectations ability articulate vision strategy way inspires motivates team focuses energy achieving business goals ability manage multiple complex priorities within demanding timeframes proven ability lead proactive sales organization ensure accountability results maximize contribution business object,,Full-time,,
Rep-Sales,American Express,"Atlanta, GA",2021-09-25,< 25 applicants,acquired american express 2020 kabbage leading fintech company changing way small businesses manage cash flow applying automation data kabbage provides small businesses suite integrated technologies flexible lines credit digital business checking accounts fast payments predictive business analytics powerful backing american express kabbage offer millions small businesses opportunity access digital tools help grow bigger lasting companies received numerous awards entrepreneur top company cultures inc magazine top private companies glassdoor best places work forbes fintech people culture leaders make kabbage great place work kabbage strive place diverse mix talented people want come stay best work commitment diversity inclusion reflected people partners customers fully focused equality believe deeply diversity race gender sexual orientation religion ethnicity national origin wonderful characteristics make us different lead way got back american express know right backing people businesses power progress incredible ways whether supporting customers financial confidence move ahead taking commerce new heights encouraging people explore world colleagues constantly redefining possible proud back every step way join teamamex become part diverse community colleagues common goal deliver exceptional customer experience every day mission role directly responsible signing customers various kabbage solutions kabbage funding kabbage checking kabbage payments assisting customers getting application activating solution first time pulling first loan receiving first deposit processing first payment managing customer relationship role requires heavy telephone sales cold call calling leads filled application responded one marketing campaigns success role measured hitting exceeding monthly sales goals achieving daily metrics competitive yet collaborative environment prospecting new business heavy telephone sales warm leads diligently handle incoming calls understand customer needs overcome objections handle rejection stride ultimately close sale guide prospects application onboarding process kabbage suit products including working internal department troubleshoot potential issues cross sell products needed become expert smb landscape understand cash flow trends successfully coach smb owners grow revenues looking years sales experience selling smbs past telephone sales experience history consistently exceeding monthly sales goals experience selling software platform saas solutions smbs desire grow personally professionally strong negotiating prospecting skills employment eligibility work american express required company pursue visa sponsorship positions american express equal opportunity employer makes employment decisions without regard race color religion sex sexual orientation gender identity national origin protected veteran status disability status age status protected law,Mid-Senior level,Full-time,Sales and Business Development,Financial Services
