jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Surgical Sales Rep- GYN (Atlanta South),Medtronic,USA,2021-09-25,< 25 applicants,careers change lives bring sales talents leader medical technology healthcare solutions rooted long history innovation medical technologies open doors support growth training mentorship guidance need future success join us career sales changes lives day life surgical sales representative gyn responsible exceeding sales quota managing assigned territory within budget guidelines position responsibilities manages assigned territory exceed quota making sales calls target accounts selling servicing target accounts preplanning adapting sales presentation individuals involved exceeding standard level performance market segment call activity target account penetration evaluations started evaluations concluded demonstrating effective full line selling support execution marketing launch plans new product sales objectives coordinate allocate corporate resources within scope scale sales account plans participate training plans programs manage training accounts within area responsibility facilitate education product advantages facilitate sales process involvement organizational resources maintain continuing program improve upgrade skills include limited product knowledge competitive knowledge selling skills pc skills promotes sells medtronic equipment products services including medical scientific equipment products services diagnostic medical equipment medical imaging machines medical laboratory equipment medical devices within assigned geographic area specific customer accounts meet exceed sales targets responsible developing building strengthening relationships stakeholders including hospitals physicians radiology surgical personnel responsible pursuing leads assessing needs providing product services maximize benefits derived medtronic equipment products services conducts evaluates market research including customers competitors activities develops implements market development changes needed assesses customer needs feedback regarding new products modifications existing products communicates internal stakeholders including r operations marketing must minimum requirements bachelors degree required minimum 3 years sales experience working knowledge company products services nice years medical sales capital equipment sales experience preferred focus surgeon relationships women healthcare sales experience plus medtronic together change healthcare worldwide medtronic push limits technology therapies services help alleviate pain restore health extend life challenge make tomorrow better yesterday makes exciting rewarding place want accelerate advance ability create meaningful innovations succeed right people team let work together address universal healthcare needs improve patients lives help us shape future physical job requirements physical demands described within responsibilities section job description representative must met employee successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions office roles performing duties job employee regularly required independently mobile employee also required interact computer communicate peers contact manager local hr understand work conditions physical requirements may specific role states america additional information posting date sep 24 2021 travel yes 25 tim,Associate,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Inside Sales Rep- Medical,LG Electronics North America,USA,2021-10-07,< 25 applicants,lg electronics opening experienced inside sales rep isr medical products team building sales force looking individual support consultative style selling assist developing business value propositions around lg electronics medical display products solutions help team drive sales technical knowledge technical account management skills sales ability strong focus role remote home office based position occasional site work los angeles office position description isr work collaborate north american products medical channel organization helping achieve revenue goals isr work liaison sales external business partner support sales staff daily activities provide insight sales activities position report director medical channel key responsibilities works collaboratively sales organization prospect new customers regional territories cold call potential customers generate demand lg products solutions maintain awareness product knowledge information promotions partner training generate new repeat sales providing product technical information timely manner determine customer requirements expectations order recommend specific products solutions accurately process requests special pricing quotes accounts assigned region demonstrate use operation product recommend products customers answer questions ability work team environment different areas business including marketing operations logistic product management planning experience event planning set execution plus act super user capture relevant data salesforce manage coordinate demo equipment manage rma conduct client walkthroughs la innovation center job qualifications bachelors degree equivalent experience minimum experience within salesforce platform experience microsoft tools demonstrated ability drive results levels regardless reporting structures excellent verbal written communication skills excellent presentation skills including ability engage leadership levels organization experienced change management experience comfort working across organization working sales employees demonstrated competency strategic thinking results new ideas drive business forward travel lg electronics usa lg mobilecomm usa lg mobile research usa llc zenith electronics llc provides equal employment opportunity individuals regardless race color creed religion gender age sexual orientation national origin disability veteran status characteristic protected state federal local law company takes affirmative action ensure applicants employed employees treated employment without regard characteristics,Associate,Full-time,Sales,Medical Devices
"Customer Sales Executive, Food Southeast",The Hershey Company,USA,2021-09-25,< 25 applicants,job location charlotte nc position also based asheville nc abingdon va tn summary customer sales executive cse responsible profitably growing hershey food city ingles markets business achieve objectives plans including net sales market share trade spend sales activity margin responsibilities include business planning analysis creating valued business partnerships customers becoming business advisor achieving mutually beneficial agreements skilled negotiation understanding customers business cse also leverage insights build business plan deploy supporting tactics achieve financial objectives responsibilities achieve net sales market share trade spend sales activity margin targets assigned customer simulating planning incremental volume pre post analysis well displaying core competencies behaviors includes judiciously managing allocating trade funds maintaining compliance sarbanes oxley policies achieve profitable sales growth effectively utilize hershey analytical tools planex unify trade point etc processes drive profitable predictable sales results build maintain appropriate sales plans planex manage trade fund budget include clearing deductions monitor control customer expenses include waste supply chain costs provide category analysis consumer insights customers well category category management partnership develop provide resources tools retail team achieve appropriate levels account penetration alignment retail team participation retail meetings well field visits appropriate retail management qualifications education bachelor degree strongly preferred experience least years relevant sales experience hershey company equal opportunity employer policy hershey company extend opportunities qualified applicants employees equal basis regardless individual race color gender age national origin religion citizenship status marital status sexual orientation gender identity transgender status physical mental disability protected veteran status genetic information pregnancy categories protected applicable federal state local laws hershey company equal opportunity employer veterans require reasonable accommodation part application process please contact hr service center askhr,Associate,Full-time,Sales and Business Development,"Food & Beverages, Consumer Goods, and Retail"
"Sales Representative I, Interventional Therapies - Tampa, FL",Medtronic,USA,2021-09-25,< 25 applicants,thanks interest sales representative interventional therapies tampa fl position unfortunately position closed search open jobs clicking must minimum requirements considered role please ensure minimum requirements evident resume bachelor degree plus 3 years sales experience 1 3 years medical sales bachelor degree plus 1 year medtronic neuroscience pain brain spine clinical specialist experience nice ortho spine experience ability sell environment partnering surgeon critical ability sell new device procedure proven leadership abilities experience selling programs fully knowledgeable anatomy capable effectively explaining completion sales training two weeks territory able describe anatomy spine anatomical landmarks necessary instruct surgeon use kyphon products thrives environment variety rapid growth change excellent communication presentation skills accustomed working independently high degree accountability medtronic together change healthcare worldwide medtronic push limits technology therapies services help alleviate pain restore health extend life challenge make tomorrow better yesterday makes exciting rewarding place want accelerate advance ability create meaningful innovations succeed right people team let work together address universal healthcare needs improve patients lives help us shape future physical job requirements performing duties job employee regularly required sit talk hear employee frequently required stand walk use hands finger handle feel objects tools controls employee occasionally required reach hands arms employee must occasionally lift move 30 pounds specific vision abilities required job include close vision distance vision must able travel must valid driver license active vehicle insurance policy addition driving record reviewed considered part application physical demands described within responsibilities section job description representative must met employee successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions office roles performing duties job employee regularly required independently mobile employee also required interact computer communicate peers contact manager local hr understand work conditions physical requirements may specific role states america additional information posting date sep 22 2021 travel,Associate,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Key Account Manager,Honeywell,USA,2021-09-25,< 25 applicants,join team recognized leadership innovation diversity sell things offer solutions tomorrow challenges sales approach begins identifying customer demands become challenges committed delivering customer success comprehensive expertise software technology front line seller drives sales identifying generating opportunities different kinds customers foster client satisfaction maintaining regular customer contact managing customer expectations develop customer relationships coordinating attending trade shows seminar similar events provide education honeywell product technical presentations maintain provide reports opportunity status using customer relationship management system provide competitive intelligence market trends provide input sales inventory operations planning siop key responsibilities attend trade shows seminars events visit customers search new customers campaign management customer reporting learn products customer account management must high school diploma ged minimum 3 years experience working selling role minimum 1 year experience working value proficient understanding key sales principles best practices excellent team communication skills ability take initiative work limited direction ability influence across broader organization ability influence customers maintaining healthy relationships significant experience selling industrial products deep technical expertise understanding honeywell value proposition well competitive landscape compensation benefits incentive eligible salary range benefits information please visit https current employees may visit hr direct additional information job id hrd139024 category sales location 534 fellowship road mount laurel new united states exempt sales global honeywell equal opportunity employer qualified applicants considered without regard age race creed color national origin ancestry marital status affectional sexual orientation gender identity expression disability nationality sex veteran status,Associate,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
"National Account Manager, Retail Sales (Remote Role)",Olaplex Inc.,USA,2021-09-11,< 25 applicants,olaplex revolutionizing haircare industry patented proprietary technology protects repairs hair damage paved way completely new category hair care due overwhelming support brand loyal stylist advocate base company emerged one largest independent hair care brands world olaplex able achieve phenomenal growth continuously seek exceptionally talented individuals support innovation creativity currently operate fully remote environment collaboration flexibility core commitment success olaplex account manager retail responsible leading execution key retailers business needs driving brand awareness growth reporting director sales role involve strategic planning new launches partnering marketing initiatives education levers teams closely collaborating internal external stakeholders optimize results ideal candidate latest market trends beauty extensive experience analyzing data using make key business decisions responsibilities independently manage retailers lead account management direct brand contact business needs oversee aspects business including managing retail calendars assisting new product launches managing forecast planning deadlines maintain strong relationships work closely managers drive growth supporting new initiatives oversee business deliverables partner marketing education teams sampling plans training levers retailer targeted needs grow business develop strategies drive sales achieving company goals continuous negotiation digital marketing initiatives store exposures update weekly monthly quarterly reports pulling data various sources managing retail sales templates track manage budget sell thru sell reports received retailers weekly monthly basis manage execution retail sales projects market decks 360 strategies go market plans qualifications years relevant account management experience beauty retail industry numbers driven high comfort level excel excellent presentation written verbal communication skills proven track record meeting deadlines managing multiple projects strong organizational skills degree preferred benefits balance remote work environment unlimited time 11 paid holidays flexible work schedules wellness medical dental vision insurance employees addition disability coverage life insurance financial roth 401k plans bonus eligibility employees products fourteen 14 free products per year plus friends family discount culture team attitude gratitude shared passion brand company career opportunities endless commitment diversity equity inclusion olaplex support stand community talent content messages product offering strive build nurture culture focus diversity equity inclusion instinctive deep sense passion pride individuals company unifies shared commitment well good recognize celebrate different ideas perspectives backgrounds know create stronger creative work environment,Associate,Full-time,Sales and Business Development,"Marketing and Advertising, Consumer Goods, and Retail"
Key Account Manager (Healthcare),Elvie,USA,2021-09-25,< 25 applicants,description life elvie meaningful work exceptional people elvie believe women bodies problem instead believe problem needs women bodies therefore lives ignored misunderstood underestimated founded tania bolder 2013 elvie improving women lives better smarter technology ever since develop innovations meet unique needs complexities female body women take charge health across every life stage first product elvie trainer device bringing pelvic floor care hands women even gift oscar nominee goody bags proud say part nhs supply chain uk second innovation elvie pump launched 2019 world first silent wearable breast pump enabling women pump wherever even catwalk london fashion week since numerous awards including times 100 best inventions 2019 design year dezeen awards initial success wellness tools gave us means expand breastfeeding range include elvie curve elvie catch designed give mothers total comfort confidence business elvie received 30 awards including prestigious red dot design award ranked one 15 startups watch sunday times business insider ranked 13th fastest growing business uk syndicate room founder ceo tania boler regularly profiled media titles 2021 tania named glamour women year technology gamechanger july 2021 elvie announced 80 million series c funding number one position biggest raise initial fundraising round femtech category mean work elvie surrounded people want improve everything everyone around people passionate mission people driven solve tough problems constantly consider best ways improve health wellbeing women take seriously want culture thrive deeply proud values intrinsic way behave every day make impact mission driven afraid break boundaries relentlessly focus going extra mile solve problems fearless innovators passionate curious continuously embrace change innovation together fail learn fast always one team fun along way stay authentic embrace differences role successfully selling elvie products via retail partners well insurance dme channel looking experienced key account manager help us build strong relationships existing new customers responsibilities account management existing group durable medical equipment specialty women health providers prospecting new accounts directed management establish maintain strong relationships assigned accounts manage purchase orders system ensure issues resolved routinely update demand forecasts develop account growth plans work closely marketing identify promotional opportunities key customers product training customer csr teams trade show attendance tracking analyzing reporting performance identifying risk mitigating actions case performance challenges requirements must curious learner years b2b sales experience preferably healthcare market experience working breastpump category plus excellent written verbal communication skills required strong computer skills ability work microsoft google suites experience navigating complex sales process product launches high degree commercial business acumen strong selling skills strong influencing skills effectively manage interdependencies projects teams outstanding critical thinking skills ability travel 25 time university degree equivalent location us preferably east coast benefits exceptional journey offer truly purpose led career culture built trust autonomy flexibility addition give chance make real impact improving women health lives working experienced dedicated passionate team share values love career progression regular performance reviews competitive base salary bonus linked performance share options rapidly growing business flexible working environment culture built trust autonomy 20 days vacation 5 days sick leave front loaded start date bank holidays medical dental vision plan life insurance eap travel assistance short long term disability insurance commuter programs travel assistance guardian globe livehealth online one medical gym membership reimbursement subject eligibility perks various discounts belonging elvie elvie believe diverse teams everyone authentic self key success encourage people backgrounds apply discriminate based race colour religion gender gender identity expression sexual orientation national origin genetics marital status disability age need support application please get contact us elvie 0 203 884 7223,Associate,Full-time,Sales and Business Development,"Marketing and Advertising, Internet, and Consumer Goods"
Sr Sales Representative,Honeywell,USA,2021-09-11,< 25 applicants,join team recognized leadership innovation diversity sell things offer solutions tomorrow challenges sales approach begins identifying customer demands become challenges committed delivering customer success comprehensive expertise software technology manage aspects engagements existing new customers smart energy organization gas utilities build relationships understand customer business provide appropriate products solutions define sales growth strategy toward key customers aligning critical sales business objectives identify opportunities build credibility customers utilize product knowledge deliver value proposition customers opportunity cover us southeast travel 50 required occasional overnight stay key responsibilities pmt102021 identify opportunities manage plan accounts negotiate close articulate deliver value proposition manage momentum sales cycle manage book business honeywell crm tool salesforce establish rapport customers must years utilities gas market industrial industry years sales account management experience valid drivers license value bachelor degree demonstrated ability evaluate complex situations concepts translate strategies actions recognizes business goals drives activities sustainable results act business partner across functions ensure objectives met accountability challenge status quo strong influencing persuading skills develops strong working relationships motivated deliver multiple customers within technical field expertise strong skills effective communicator internally externally ability work independently matrix setting experience developing marketing sales strategies experience working engineering manufacturing organization would candidate advantage attitude want make difference methodical approach eye detail effective presentation skills additional information job id hrd137527 category sales location 10045 international blvd west chester united states exempt sales latam honeywell equal opportunity employer qualified applicants considered without regard age race creed color national origin ancestry marital status affectional sexual orientation gender identity expression disability nationality sex veteran status,Associate,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Sr Sales Representative,Honeywell,USA,2021-09-11,< 25 applicants,join team recognized leadership innovation diversity sell things offer solutions tomorrow challenges sales approach begins identifying customer demands become challenges committed delivering customer success comprehensive expertise software technology manage aspects engagements existing new customers smart energy organization gas utilities build relationships understand customer business provide appropriate products solutions define sales growth strategy toward key customers aligning critical sales business objectives identify opportunities build credibility customers utilize product knowledge deliver value proposition customers opportunity cover us southeast travel 50 required occasional overnight stay key responsibilities pmt102021 identify opportunities manage plan accounts negotiate close articulate deliver value proposition manage momentum sales cycle manage book business honeywell crm tool salesforce establish rapport customers must years utilities gas market industrial industry years sales account management experience valid drivers license value bachelor degree demonstrated ability evaluate complex situations concepts translate strategies actions recognizes business goals drives activities sustainable results act business partner across functions ensure objectives met accountability challenge status quo strong influencing persuading skills develops strong working relationships motivated deliver multiple customers within technical field expertise strong skills effective communicator internally externally ability work independently matrix setting experience developing marketing sales strategies experience working engineering manufacturing organization would candidate advantage attitude want make difference methodical approach eye detail effective presentation skills additional information job id hrd137527 category sales location 10045 international blvd west chester united states exempt sales latam honeywell equal opportunity employer qualified applicants considered without regard age race creed color national origin ancestry marital status affectional sexual orientation gender identity expression disability nationality sex veteran status,Associate,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Global Business Development,BeQuestTech,USA,2021-09-25,107 applicants,position title director global sales location remote operating preferred pacific time zone reports president bequesttech working bring advanced technologies world relates sustainability agriculture energy waste management disease supply chain management much mission bring innovative technologies market develop solutions world vision create legacy global innovation cure world hunger eliminate disease improve overall quality life planet job description part 1 develop new sales quickly align market segments must area focus early market demonstrate ability work marketing closely roll technology highly disruptive opportunity requires sales marketing act one experience working scientists achieve successful outcomes vital success position require able understand roadblocks pop roll things ability use jedi mind tricks would helpful ability solve complex challenges global level high business emotional acumen key role filled right candidate company culture honor able effectively communicate someone understand seems obvious others challenge first build strong customer relationships strategic partnerships assess customer needs recommend appropriate products achieve exceed budget sales gross margin targets ensure reports plans forecasts administrative requirements completed accurately timely manner job description part 2 job summary includes essential job duties position specific information regarding new position provided interview process director global sales responsible implementing managing global sales distribution network objectives across current future brands primary role director global sales build global sales network first laser focused one new roll technology vital world get launched sales quickly going position requires experienced professional solid track record successful sales strong core competencies finance ability embrace grow bequest tech company culture director global sales leads sales team understands takes develop sales professionals director global sales comfortable working numbers analytical realm incumbent extract distribute useful information numbers throughout organization director global sales infuses additional strategic direction create sales plans product development drives brand value incumbent instills instant credibility eyes sales group senior management sales representative level specific objectives include establish prime relationships strategic accounts leads global sales organization overseeing budget planning resource development responsibilities leads global sales organization overseeing budget planning resource development defines executes strategic direction global sales drives growth plans time needed territory accounts cover business issues account goals support programs asap sales promotional product sales coordinates build regional representatives support specialty dealer base directs implements presentation strategy country region including sales materials technical training tools white papers ready embrace integration system streamline sales process automate possibly automate identifies key market opportunities technologies facilitates development products technologies world wide delivers monthly reports communicate dealer issues sales competitive information product information company communicates regularly provide information specific issues sales product information general economic business issues key qualifications university college degree business emphasis sales marketing equivalent experience minimum 15 years experience sales global level preferably medical device diagnostics practical knowledge related functions including production inventory planning distribution strong analytical communication presentation skills leadership experience required experience managers preferred excellent interpersonal skills ability work successfully variety people ability manage lead change highly driven capable working without significant supervision flexible nature ability react quickly sometimes creatively business needs team player excellent organizational skills ability manage multiple projects proven ability work fast paced evolving environment willing work long hours weekends preseason selling periods proficiency microsoft programs knowledge database software preferred proficient use company intranet analyze account business territory sales successful performance requires well developed skills negotiating interpersonal relationships project planning organization management offer competitive base salary bonus benefits 401k vacation holidays part growing innovative company part bring change world needs contact scott krauger scottk,Associate,Full-time,,
