jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Head of Regional Sales West,Unilever,"Los Angeles, CA",2021-09-09,< 25 applicants,title head regional sales west location los angeles greater san francisco area background purpose job head regional sales west work execute unilever food solutions strategies lead team grow market share enhancing business existing customers acquiring new ones person work concert marketing cd ops finance supply chain coordinate efforts resources behalf zone role remote based either phoenix los angeles san francisco area business execution lead customer development within west geographical region foodservice channel unilever foods solutions create team direct selling account managers deploy best practices result new customer acquisition sustained business relationships profitable sales growth understand kpi management means coach team hit targets understand implement strategy execution within foodservice channel experience partnering broadline distributors aligning sales resources internal ones rely upon past p l ownership achieve profitable growth ufs business plans understand leverage premium brand value propositions win market share operators distributors geography continue solidify value unilever brands solutions offer competition west leader lead teams seattle san francisco los angeles denver phoenix bring formidable understanding foodservice channels markets born leader maximize effectiveness assigned market objectives team make sure meet internal commitments deliver success customers market jump details team constructively challenge existing ways working inspire discover elevated ways succeed dot connector coordinate unilever resources ensure alignment key priorities rely upon collaboration core principle success network business leaders across sectors industry expedite business acquisition coach get best team knowing individually calling upon desire achieve achieve strong understanding story mission products point difference lead others journey build experience success failure team gets incrementally better day paradox navigator routinely interface work effectively multiple internal plus senior level customer personnel may create complexity time management challenges embrace complexity distill action team need succeed bachelor degree required years experience foodservice industry years managing sales team op forecasting experience across multiple categories customer groups p l ownership experience cpg company broad understanding crm salesforce leverage business driver ability mobilize team hunt farm business market understanding broadline distribution network sysco us foods etc experience selling branded food categories excellent communication follow skills throughout layers unilever organization must able delegate responsibly instill accountability deliver kpis goals team business planning implementation understanding passion unilever organization committed diversity inclusion drive business results create better future every day diverse employees global consumers partners communities believe diverse workforce allows us match growth ambitions drive inclusion across business qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity gender expression age status protected veteran status individual disability genetic information applicable legally protected characteristics federal state local law information please see equal employment opportunity posters equal action employer disabilities employment subject verification tests may include drug screening background check credit check dmv check individual disability need assistance time recruitment process please contact us please note email reserved individuals disabilities need assistance means inquiry positions application statuses,Director,Full-time,Sales and Business Development,"Consumer Goods, Food Production, and Food & Beverages"
"Director of Sales, Club & Mass",Banza,"New York, NY",2021-10-05,44 applicants,location remote banza reimagines favorite comfort foods like pasta pizza mac cheese rice using chickpeas know chickpeas delicious also one nutritious sustainable foods yet 80 country eating enough mission inspire people eat chickpeas beans making positive impact human health environment banza pasta brand country products available stores nationwide named time magazine best invention year adweek best food brand proud fans good morning america new york times food wine bon appetit mission banza grown date analytical mindset scrappy sales approach passionate team want accelerate growth staying analytical scrappy passionate looking sales leader take mantle grown yoy last several years plan continue growth lead efforts expand club mass accounts design implement sales strategies across retailers including costco execute plans meetings broker management consistent communication direct impact advance mission build business across pasta pizza mac cheese rice new category launches strategic account management sales targets across banza key club mass accounts including selling new products customers account business planning support build long term strategic plans execution business portfolio strategies use analytical skills identify opportunities share impactful sales stories customers build winning relationships retailers broker distributor team category managers ensure top notch execution continued growth proactively identify areas improvement new opportunities among assigned customers take action across distribution price optimization product placement promotional effectiveness execute promotional plans drive positive gains roi work alongside category management growth teams support inputs delivering strategic insights decision making lead regular strategic assessment existing potential accounts across existing new product lines develop strategic annual business plans track achieve exceed net sales targets represent banza retail meetings trade events broker meetings industry conferences progressive experience years working management within conventional grocery club channels experience big cpg startup ideally data analysis category management experience preferred costco walmart target experience highly preferred strong planning customer management skills multiple customers excellent analytical skills attention detail substantial experience syndicated data nielsen iri spins etc excellent verbal written presentation communication skills proven ability produce visually compelling presentations strong knowledge food retail willingness flexible adaptable proactive constantly changing industry company thrives fast paced environment ability travel 25 time needed must love banza aware research showing historically underrepresented groups less likely apply job believe meet criteria hesitant submit application sure check every box please apply anyway thoughtful cover letter would love hear discuss help us build great team banza commitment banza committed diverse inclusive workforce achieve mission making nutritious food accessible greatly benefit range perspectives comes diversity types levels organization achieving true diversity inclusion right thing smart thing business strongly encourage women veterans people abilities people color gender nonconforming candidates apply banza equal opportunity employer discriminate basis individual sex age race color creed national origin alienage religion marital status pregnancy sexual orientation affectional preference gender identity expression disability genetic trait predisposition carrier status citizenship veteran military status personal characteristics protected law applications receive consideration employment without regard legally protected characteristics banza consider qualified applicants including criminal histories consistent legal requirements apply write cover letter describing want join banza would great fit role apply directly posting questions please email jobs,Director,Full-time,Sales and Business Development,"Food & Beverages, Food Production, and Consumer Goods"
Director of Sales West ONE Brands,The Hershey Company,"Boulder, CO",2021-09-18,32 applicants,job title director brands job location boulder colorado position located california colorado arizona job responsibilities lead development execution annual business plans assigned conventional grocery customers west region direct development annual account business plans strategy tactics new products distribution shelving merchandising establish trade promotion plans generate annual customer promo calendar staying within approved trade budget conduct quarterly business reviews customers identify opportunities fulfill customer objectives recommend changes promotional planner achieve targets assigned trade budget collaborate marketing developing solutions products appeal conventional grocery channel provide regular formal updates senior leadership team key retailers key distributor relationships behalf one brands work closely sales strategy review interpret iri data establish specific sales merchandising objectives achieve sales targets visibility supply fulfillment develop ongoing tracking assessment activities setting objectives levels provide timely accurate forecasts volume trade spend develop promotional plans set customers create corresponding forecast champion team development training orientation coaching motivation manage performance monitor progress plan regards volumes budgets spending mbo etc direct participate quarterly broker review meetings provide input preparation broker selling tools conduct periodic business updates brokers educate new initiatives products provides selling tools targeted accounts schedule conduct participate national account customer meetings educate inform build capabilities selling brand responsible directing programs driven distributor management relationships guidance vice president sales support execution management national account budgets sales expenses e reporting penetrate customer key decision makers understand business model key initiatives meet customer needs business objectives appropriate bring senior leadership align customer strategically work closely team establish implement successful customer programs profitably increase product availability points distribution job requirements bachelor degree equivalent candidates must demonstrated experience managing top tier conventional grocery customers throughout west region including winco sprouts heb must demonstrated experience managing brokers distributors include unfi kehe etc experience key regional dsd distributors throughout region must foundation sales financially astute strong analytical capabilities candidates based anywhere west region must willing travel whenever necessary cultural fit absolute must right candidate willing roll sleeves get job done least seven years sales experience food beverage industry minimum years conventional grocery channel account management experience capable strategic aspects execution elements building brand excellent team player excellent skills presentation negotiation analysis customer service selling communication organization proficient computer skills specifically ms office applications one brands division hershey company equal opportunity employer policy one brands extend opportunities qualified applicants employees equal basis regardless individual race color gender age national origin religion citizenship status marital status sexual orientation gender identity transgender status physical mental disability protected veteran status genetic information pregnancy categories protected applicable federal state local laws one brands equal opportunity employer veteran,Director,Full-time,Sales and Business Development,"Food & Beverages, Consumer Goods, and Retail"
Vice President of Sales,Greven Executive Search,Greater Chicago Area,2021-09-25,42 applicants,vice president sales customer service food ingredients searching vp sales growing food ingredients company role responsibility overall leadership development sales customer service groups role sales reps customer service manager reporting directly customer service reps reporting indirectly works part senior leadership team develop sales plans goals team develops implements incentive plans sales goals metrics accountability sales team role office setting role chicago area ideal person following leadership sales team company b2b sales ingredients finished products food beverage industry considered without experience developing sales people incentive plans setting goals holding people accountable understanding cost pricing strong problems solving skills attitude solve customer problems selling transactional environment entrepreneurial spirit build develop new customers leadership customer service customer relationship manag,Director,Full-time,Sales and Business Development,Food & Beverages and Food Production
Director Of Sales And Business Development,X-Golf America Inc.,United States,2021-10-07,67 applicants,america entertainment golf simulator facility franchise business seeking proven sales leader marketing sales team director franchise sales partnerships play critical role supporting sales team grow marketing revenue expand franchisee base role report partner closely vp marketing streamline processes systems identify new prospective sponsorship partners well handle inbound leads inquiries prospects interested joining franchise network ideal candidates passion sales highly collaborative growth mindset responsibilities participate marketing sales meetings proposal development drive revenue performance across team communicate via email phone prospects interested joining growing franchisee network pursue sponsorship opportunities support national tournaments leagues evolving brand initiatives set goals track key performance data identify trends keep team track toward revenue pacing goals requirements least two years management experience sales business development comfort joining sales leadership capacity forecasting budgeting experience account management client service experience ability work well pressure solve problems excellent communication time management organizational skills previous experience digital advertising media sales strongly pref,Director,Full-time,,
Key Account Executive,GE Healthcare,"Georgia, United States",2021-09-18,< 25 applicants,job description summary ge healthcare key account organization helps strategic customers transform organizations ready businesses future challenges healthcare solutions engineered future healthcare span intelligent medical devices pharmaceuticals services data analytics digital solutions cloud team mission focused dedicated helping customers create healthier world precise efficient healthcare seeking key account executive two important customers trinity health community health systems chs type person wakes thinks help customer achieve outcomes healthcare portfolio approach afraid bold customer role role focused trinity health chs enterprises represent ge healthcare full portfolio products solutions services help key accounts deliver best patient care role aligned territory key account executives work team deliver collaborative strategic vision plan across trinity health chs regions strategic leader ge healthcare report vp gm national accounts key account executive role require leadership spans strategy development key account planning development executive relationship mapping alignment cultivating deep levels trust balancing short term long term sales cycles collaborating within ge healthcare bring unique solutions tailored trinity health chs outcomes goals remote opportunity available across continental us ge healthcare place big impact unlock opportunities people customers patients turning big ideas realities advance global healthcare job descriptionjob descriptionresponsibilities drive sales revenue growth successful leadership key account planning customer experience outstanding execution regional programs sales service digital marketing product management engagement influence experienced team key account executives lead supporting field roles resources aligned trinity chs within respective markets serve senior leader presenting enterprise strategic bodies leverage existing ge healthcare relationships develop expand touchpoints within trinity health chs systems build deepen executive relationships trinity health chs regional corporate bodies help influence technology business decisions add value viewed trusted advisor bringing compelling insights ideas follow execution lead manage entire discuss contracts terms understand associated legal business risks influence ge healthcare sales drive best practices selling forecasting account management coach team drive detailed regional focused account strategies generate develop business growth opportunities working multiple lines business maximizing business impact opening opportunities could scale act pilot corporate pursuits outstanding leadership inspiring interpersonal effectiveness lead teams develop talent effect change willing able doer influencer foster gehc community across entire account teams aligned trinity chs sales service digital provide necessary technical clinical business support needed required qualifications bachelor degree 8 years consultative sales experience environment focused customer outcomes including strategic selling negotiation experience engaging accounts promoting broad portfolio products previous experience healthcare lifesciences industry willingness ability live travel within specified geographic territory 50 travel total rewards designed unlock ambition giving boost flexibility need turn ideas world changing realities salary benefits everything expect organization global strength scale surrounded career opportunities culture fosters care collaboration support additional information ge offers great work environment professional development challenging careers competitive compensation ge equal opportunity employer employment decisions made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristics protected law ge employ legally authorized work united states opening offer employment conditioned upon successful completion drug screen applicable relocation assistance provided,Director,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Regional Sales Director | Southeast,"Roland Foods, LLC","Atlanta, GA",2021-10-02,< 25 applicants,roland foods roland foods llc based new york city importer distributor specialty food products 60 countries founded paris 1934 established 1939 company provides customers exceptional specialty foods primarily offered roland brand company national presence foodservice retail industrial channels well international sales caribbean central south america asia africa middle east roland foods dedication providing quality consistency made leader among food importers suppliers roland brand synonymous quality authenticity consumer chef alike role description roland foods excited committed growing foodservice sales team seeking experienced motived sales professional lead southeast region regional sales director rsd quota carrying sales leadership position individual revenue accountability role mentorship responsibilities southeast team ideal candidate demonstrates significant foodservice sales experience mindset desire win expectations include leveraging right talent driving accountability maximizing regional growth executing corporate sales strategies initiatives roland foods sales team dedicated working across multiple business segments distributors local regional nationally positioned end users industrial customers maintain current business driving growth collaboration focused solutions ideas products work dynamic team dedicated providing highest quality products developing meaningful strategic partnerships valued customers primary responsibilities lead roland foods southeast region sales overseeing creation execution customer plans high integrity oversee selling process sales team deliver net sales expectations focus tier 1 customer accounts interactions customer leadership teams buyers category managers decision makers drive growth assist regional team developing individual sales plans achieve overall regional growth targets coordinate local regional distributors effectively service operators maintaining exceptional service levels management existing new programs customers pricing rebates sampling collaborate partner internal teams help develop sales strategies solutions strategy revenue management strategic sourcing supply chain participate demand planning monitor forecast versus plans identify plan adjustments needed based monthly quarterly sales volumes provide reports presentations sales leadership review monthly quarterly sales volumes versus plan market build deep strategic relationships customers cultivate manage profitable relationships customers engage sales leadership necessary bring vp sales vp strategy ceo marketing culinary teams etc develop clear understanding customer structure maneuver effectively within organization deliver customer business reviews category performance presentations participate planning execution customer leadership build cross functional support collaborating senior levels organization communicate executive leadership strategy revenue management strategic sourcing supply chain people culture lead aligned execution roland foods goes market represent southeast regional sales team truly understanding details customer interactions help develop influence strategic decisions affect company strategically manage sales team maximize results leverage team maximize effective business plan delivery across national accounts distributors street business customers actively look business development opportunities coordinate approach accordingly private label hunting mindset provide insights sales field back strategy supply chain teams build maintain strong culture within team boost morale across organization set communicate clear objectives team individual team members manage team budgets salaries travel entertainment team development leadership identify recruit retain balanced diverse team based strengths role fit supported relevant knowledge skills experience provide foundation team effectiveness creating maintaining team processes apply training coaching effectively individual team development complete performance evaluations direct reports key performance metrics delivery business plans across customers meet exceed regional net sales targets individual quota attainment new opportunity wins management capability organizational health attrition people development quantifiable achievement personal team goals minimum requirements bachelor degree culinary arts degree required proven leadership capabilities required years sales experience required years experience food industry particularly selling foodservice strong administrative organizational skills experience using crm program preferably salesforce required general understanding p l forecasting abilities required strong communication presentation skills front groups sizes required organized strong technical writing skills required ability create executive level presentations required ability travel 60 required previous segment bonus founded immigrants roland foods knows diversity spice life believe power food open minds spark adventure bring diverse people together welcome table know transformative value food individual lives communities insist obtaining ingredients talent roland foods proud equal opportunity employer discriminate hiring employment decision based race color religion national origin age sex including pregnancy childbirth related medical conditions marital status ancestry physical mental disability genetic information veteran status gender identity expression sexual orientation applicable legally protected characteristic roland foods considers qualified applicants criminal histories consistent applicable federal state local law roland foods also committed providing reasonable accommodations qualified individuals disabilities disabled veterans job application procedures need assistance accommodation due disability may contact us peopleandculture,Director,Full-time,Sales and Business Development,"Food & Beverages, Food Production, and Consumer Goods"
Director of Sales,Best Brands Inc.,"Nashville, TN",2021-09-25,< 25 applicants,title director sales beer division reports location nashville knoxville chattanooga memphis role grow profit volume share beer portfolio within best brands manage increase share mind beer division within best brands entity recruiting developing coaching right people consistent communication go person anything beer within internal sales organization liaison craft supplier partners beer overlay sales team identify new opportunities court brands potential good fit best brands accordingly continually work craft suppliers manage marketing programs inventories pricing strategic planning implement new sales systems processes along training team building essentials build develop effective beer overlay general sales team work various suppliers yearly monthly planning effective brand building sales execution plan prepare key responsibilities research potential new suppliers identify ones fit fill gaps current portfolio expand brands manage process bringing new suppliers contracts launch plans receiving beer managing market plans execution plan prepare successful launches new suppliers beer overlay general sales teams work current suppliers business plans drive brand awareness pull market prepare deliver monthly business objectives beer team incentives general sales teams division managers schedule coordinate manage sales rep craft suppliers attend whenever possible assist educate sales organization beer team selling beer retail outlets right brand right continually identify recruit new talent beer overlay general sales team evaluate rate sale ros days supply dos current inventory weekly basis order accordingly continually communicate craft inventories sales teams ensure market execution managing supplier quality standards warehouse retail based monthly ros current dos work suppliers forecast product days needed requested continually evaluate market competitive pricing ensure brands priced correctly manage yearly general price increases increase profits margins wherever possible execute manage current potential craft supplier relationships brand execution fullest ensure supplier satisfaction liaison craft brand suppliers sales teams clearly communicate manage supplier new brand launches across sales divisions operations set plan execute assigned monthly supplier company goals meet exceed number promotions placements features within market maintain designated percentage draft handles new placements market continually reference monitor execute annual business plans suppliers sure initiatives sales budgets managed accordingly lead meetings beer overlay team communicate goals plans current trends monthly goal manage beer overlay team ensure adding value continually communicated divisions provide sales tools sell sheets samples programs incentives etc beer overlay team sales organization keeping everyone new items ensure current new sales materials order product weekly based dos ros work logistics suppliers get needed avoid stocks best possible work communicate beer overlay general sales teams move current inventory avoiding warehouse retail point sale ordering work beer overlay team beer div merchandiser identify pos needs order thru suppliers communicate pos needs exec vice pres beer div ordering work premise craft bbi event coordinator ensure events organized well executed suppliers well represented time allows assist sales team members help sell new distribution volume beer accounts outside assigned accounts manage new items damaged keg sample requests beer division manage beer allocations secondary inventory beer division manage expenses company spends affectively submit accurate expense reports monthly basis accordance company guidelines perform duties tasks management team measure improve create monitor draft surveys beer overlay teams general sales team ensure tap handles retail collect review beer overlay team preplans recaps weekly identify areas success need improvement monitor dollar volume sales continual basis manage trend swings sales organization continually evaluate brand performance work suppliers sales organization address performance issues assess retail performance weekly basis beer overlay team division managers provide input team summarize findings submit exec vice pres beer division continually monitor adjust beer overlay team account base call frequencies current industry knowledge understanding current market trends order better present opportunities current suppliers people management train develop work beer overlay continual basis ensure portfolio executed fullest retail goals objectives sales distribution monitor direct reports weekly performance determine successes opportunities monthly goals objectives continually monitor sales representatives know understand enforce company policies procedures document employee violations policies procedures disciplinary process managers expected enforce follow report procedure employee violations manage assigned sales representatives monthly expenses expense report submissions basic minimum 5 years relevant sales relevant field experience knowledge beer industry bachelor degree proficient word excel powerpoint pdf budget management high knowledge experience planning forecasting ability work monday thru friday business hours flexibility work nights weekends maintain appropriate dress personal appearance standards preferred qualifications passion beer time management managed customer service oriented act entrepreneur comfortable confident speaking others history began manuel eskind started capital distributing wholesale wine spirits distribution company 1939 prohibition repealed state tennessee manuel granted license 3 state 1983 opportunity arose grandchildren manuel start distribution company best brands born since best brands established dominant player tennessee market three climate controlled warehouse spaces totaling sqft best brands still operated business fourth generation family actively involved success best brands major force tennessee market experienced management team sales staff second none people devotion promoting growing brands separates company competition,Director,Full-time,Sales and Business Development,Wine and Spirits
Southeast Regional Sales Director,Spiritless,"Florida, United States",2021-10-04,< 25 applicants,us spiritless innovative spirits company simply put make craft spirits without alcohol spiritless startup small mighty growing team description southeast regional sales director responsible leading market managers southeast region responsible efforts grow sales increase brands presence strengthen relationships distributor partners defined market area duties southeast regional director include distributor management maintaining key account relationships ensuring product distribution brand visibility training education tracking sales goals measure growth role potentially manage team 3 field sales managers team brand ambassadors essential duties cultivate strengthen critical relationship company distributor partners lead inspire market managers focus future growth opportunities build communicate execute review sales marketing initiatives sales team distributor partners complete sales calls business reviews key regional retailers develop conduct training programs sales team distributor sales teams manage regional budgets including volume sales marketing distributor achieve target distribution volume goals utilize sales tools analyze develop implement strategic sales plans ensure alignment pricing strategy throughout region monitor shipments inventory adhering company strict quality standards maintain excellent working relationship director sales fellow members sales team perform administrative duties timely manner expense mileage reports work calendar price surveys assist vp sales presentations customer visits special projects attend special events festivals dinners tastings needed maintain professional image demeanor times perform business related duties assigned market brand development oversees growth development spiritless brand ensuring brand integrity identifies opportunities creates annual programming calendar responsible achieving spiritless financial targets maintaining improving territory profitability oversees pricing strategy regulate margins price increases local marketing spends collaborate identify execute local sponsorship events donation opportunities bachelor degree business marketing concentration preferred equitable work experience years experience sales desirable preference given beverage sales consumer product goods experience candidates must proven computer skills proficient excel word microsoft outlook reliable internet access home team management experience ability coach mentor direct reports industry passion appreciation culture goes results driven energetic confident personality excellent communication skills including public speaking presentation skills exemplary interpersonal organizational project management skills must live market position located intensive travel schedule flexible work schedule required regular visits bars restaurants retailers warehouses along attendance special events festivals tastings dinners valid state driver license required must maintained throughout employment period job details location remote work travel required benefits health vision dental pto,Director,Full-time,,
Vice President of Sales,Storm5,"New York, United States",2021-10-07,26 applicants,vice president sales new york usa really exciting opportunity join series funded logistics supply chain company currently mode looking high calibre vp sales manage us expansion demonstrated history generating sales exceeding targets please note role part remote part office based applicants therefore based within commutable distance new york willing relocate responsibilities sales strategy core kpis lead mentor teams develop top talent foster efficient collaboration iterate enhance playbooks processes including technology phone systems crm etc support company growth strategies partner marketing product teams maintain pulse customer installer partners years sales related functions least 5 years managing leading sales business development function b2b b2c sales competencies account planning management process structure ability develop scalable playbooks processes scripts strong professional written verbal interpersonal communication skills analytical thinking problem solving mentality established network preferred essential mba equivalent fluency additional languages plus apply opportunity international travel medical dental vision commuter 401k plans need break flexible time policy want best regular social events including happy hours lunch learns company offsites meetups speaker series new york usa interested applying please click apply button storm5 retailtech recruitment firm clients across london europe north america discuss open opportunities career options please visit website follow storm5 linkedin page latest jobs intel,Director,Full-time,Sales and Business Development,"Logistics and Supply Chain, Information Technology and Services, and Computer Software"
