jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Vertical Sales Representative,YETI,"Austin, TX",2021-09-25,36 applicants,yeti believe time spent outdoors matters ever gear make time extraordinary work opportunity create exceptional meaningful work problem solve innovative team members side together help customers get gear need make adventures built vertical sales representative face corporate sales team relation assigned vertical account industry contributing yeti success proactively achieving sales objectives new existing vertical customers time helping build key strategic area growth yeti highly motivated sales professional excellent communication skills ability engage build rapport customers afraid match recommendations need identified winning nature love customer understand need invest time effort day building maintaining strong pipeline within customer base follow commitments passionate right thing right thrive environment see sales process start finish responsibilities represent yeti brand managing growing accounts within specified vertical industry increase sales respective accounts proactively engage assigned customer base meet exceed designated number outbound quality calls manage track report sales activities results utilizing salesforce account management tools understand evaluate customer objectives provide solutions generate sales opportunities help close sales cycle ensure prompt order creation business developed corporate sales outbound account executives manage orders accounts start finish serve dedicated resource partnership understanding use strategic thinking skills navigate complex customer situations provide timely accurate responses via email work assigned leads collaborate teammates maintain positive professional attitude fostering teamwork qualifications attributes bachelor degree required least 2 years experience sales business development customer service exceptional communication skills strong desire deliver best class service highly motivated results driven possess high attention detail prioritization time management organizational skills positive attitude problem solver thrives pressure environment comfortable living grey understand need approach situation individually ability learn navigate multiple systems experience collaborating teams levels ability work startup like environment within large matrixed organization role based onsite hq austin tx yeti proud equal opportunity employer yeti privacy polici,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Consumer Goods, and Retail"
Regional Sales Representative,Direct Wine Imports,"Las Vegas, NV",2021-09-25,< 25 applicants,wine wine situation one renowned fine wine importer wholesaler categorized wine buyers specialty wine company bring top sometimes hidden treasure wines europe including france italy spain germany currently national importer california wholesaler expanding distribution nevada ideal candidate based las vegas prospect close sales lead help generate revenue company also responsible developing implementing evaluating sales strategy company take care import logistics portfolio regional sales representative build list clients las vegas market keep pushing build new partnerships newly starting nevada want find right person fit challenge responsibilities responsible establishing developing account growth las vegas area develop manage oversee opportunities manage connection company top restaurants retailers accounts las vegas accountable reaching sales goals developing strategic growth plans maximize revenues coordinate sales representatives generate meet prospective leads track report sales activities develop execute sales strategy market analysis market expert activity accounted las vegas region qualifications experience sales representative experience generating maintaining relationships sales leads excellent written verbal communication skills employment type,Entry level,Full-time,,
Medical Sales Dental,Anutra Medical,"Texas, United States",2021-09-25,< 25 applicants,anutra medical rapidly growing dental business based research triangle park nc invented local anesthetic delivery system reduce pain patients help dentists efficient team made highly driven individuals seeking fill multiple territory sales representative positions florida position territory sales representative summary role territory sales representative essential success establishing innovative product dental marketplace position requires seasoned professional familiar sales education dental industry excitement desire environment launch new products must willing cold call responsibilities responsible new sales customers conversion reoccurring orders existing customers travel present key industry conferences trade shows dental associations study clubs engaging practices present product close initial orders current customers established territory develop solid relationships practices ultimately converting raving fans infusion medical products customers gain referral base new customer sales exceed short sales targets work implementation specialist handle training new customer acquisit,Entry level,Full-time,,
Medical Sales,"OrthoTek, Inc.",Omaha Metropolitan Area,2021-09-25,< 25 applicants,looking sales rep ambition drive help patients obtain best results possible surgery injuries candidate able soak information sponge able communicate referral sources patients person able travel throughout territory able balance schedule,Entry level,Full-time,,
Medical Sales Representative,"Progressive Medical, Inc. (PMI)","Houston, TX",2021-09-25,< 25 applicants,base salary 40k 45k total comp plan first year 80k 120k uncapped commissions makes total comp investment put position leading products distributor seeking field sales representative south houston surrounding territory position requires experienced sales person sell products also recognize new opportunities new existing customers preferred candidate would documented success history selling following areas operating room inpatient pharmacy compounding pharmacies ambulatory surgery centers iv therapy ideal candidate must strong proven sales record solid relationship skills company offers base salary uncapped commission program defined protected territories approved expenses mileage reimbursement insurance benefits package 401 k matching success measured ability meet sales quotas attract new accounts build relationships phenomenal opportunity medical sales industry innovative dynamic leading company meet criteria looking new position outstanding organization please apply directed qualified candidates meeting criteria notified top reasons best reps want work progressive medical inc national sales team clinically prepared support needs clinical customers clinical environment national account contract team understands needs group purchasing organizations gpos integrated delivery networks idns play significant role healthcare supply chain industry customer service team second none fully staffed customers service specialists personally answer every call every time operations distribution teams ensure customers receive product professionally expediently clinical affairs team available answer questions provide peer peer training support customers sales education collaboration marketing team provide extensive continuous educational programs sales force entire pmi organization marketing team professionals works aspects upstream downstream marketing implementation analysis understand take product market progressive medical leading distributor specialty medical products throughout united states focus innovative products helps clinicians practice highest quality care increase safety also controlling overall costs areas interventional radiology critical care iv specialties,Entry level,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Medical Sales Dental,Anutra Medical,"Florida, United States",2021-09-25,31 applicants,anutra medical rapidly growing dental business based research triangle park nc invented local anesthetic delivery system reduce pain patients help dentists efficient team made highly driven individuals seeking fill multiple territory sales representative positions florida position territory sales representative summary role territory sales representative essential success establishing innovative product dental marketplace position requires seasoned professional familiar sales education dental industry excitement desire environment launch new products must willing cold call responsibilities responsible new sales customers conversion reoccurring orders existing customers travel present key industry conferences trade shows dental associations study clubs engaging practices present product close initial orders current customers established territory develop solid relationships practices ultimately converting raving fans infusion medical products customers gain referral base new customer sales exceed short sales targets work implementation specialist handle training new customer acquisit,Entry level,Full-time,,
Sales Operations & Strategy Associate,Coinbase,"Atlanta, GA",2021-09-25,< 25 applicants,coinbase built world leading compliant cryptocurrency platform serving 30 million accounts 100 countries multiple successful products vocal advocacy blockchain technology played major part mainstream awareness adoption cryptocurrency proud offer entire suite products helping build cryptoeconomy increase economic freedom around world things look across hires make coinbase regardless role team first look signals candidate thrive culture like default trust embrace feedback disrupt expect sustained high performance play championship team second expect employees commit approach work finally seek people desire capacity build share expertise frontier technologies crypto blockchain whatever way relevant role sales operations strategy team working primarily institutional sales trading prime services business coinbase institutional coinbase institutional clients getting crypto team partner commercial leadership coinbase focusing strategic operational projects institutional sales trading teams particular role individual work closely coinbase cloud offering institutional clients ie job duties drive strategic projects enable commercial leaders drive revenue opportunities establish approaches productivity enhancements define manage provide insights key performance metrics create manage processes target setting forecasting pipeline analytics analyze large amounts information quickly effectively reduce complexity make actionable recommendations coinbase work closely sales systems tooling teams shaping development usage crm data visualization look ie job requirements years experience sales strategy operations management consulting business role dependent upon experience level solid analytic problem solving interpersonal skills working sales teams experience working large data sets exceptional prioritization project management skills passion whatever takes solve complex problems build scalable processes comfort working high growth constantly changing environment nice haves strong interest crypto market experience working high growth startup tech company experience crm systems commitment equal opportunity coinbase committed diversity workforce proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion creed gender national origin age disability veteran status sex gender expression identity sexual orientation basis protected applicable law coinbase also consider employment qualified applicants criminal histories manner consistent applicable federal state local law us applicants may view pay transparency employee rights equal employment opportunity law notices clicking corresponding links additionally coinbase participates program certain locations required law coinbase also committed providing reasonable accommodations individuals disabilities need reasonable accommodation disability part employment process please send accommodations let us know nature request contact information quick access screen reading technology compatible site click download free compatible screen reader free step step tutorial found please contact accommodations additional information request accommodations global data privacy notice job candidates applicants depending location general data protection regulation gdpr california consumer privacy act ccpa may regulate way manage data job applicants full notice outlining data processed part application procedure applicable locations available united kingdom california submitting application agreeing use processing data required,Entry level,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Financial Services"
Surgical Sales Representative,Breakaway Consultants,"Phoenix, AZ",2021-09-25,< 25 applicants,breakaway consultants boutique recruiting firm assisting medical device client phoenix area look surgical sales specialist client known developing supporting promoting surgical sales teams collaborating healthcare providers additionally produce delivers surgical instrumentation healthcare providers around world portfolio surgical instruments includes proven trusted brands work bring new innovations market help clinicians deliver superior patient care access intervention closure surgical procedures responsibilities surgical sales specialist include call acute care facilities within assigned territory conjunction sales representatives expand sales operating room products provide technical expertise consultation various disciplines found within hospital operating room setting especially handheld surgical devices create product account savings proposals sales presentations representing energy portfolio present features benefits savings proposals various energy products services multiple decision makers lead participate customer product trials evaluations implementations necessary represent us operating room product expert within assigned territory participate product division overall product strategy competitive analyses research development requirements well duties assigned education bachelor degree required scientific concentration highly preferred medical technologist certification highly preferred relevant work experience least years sales experience procedures required within spd materials management prior surgical instrumentation sales experience preferred national accounts management experience preferred experience operating room within hospital setting highly preferred manufacturer distribution experience highly preferred familiarity dynamics discipline within hospital setting please apply interested joining team breakaway consultants executive search firm represents many industries across pride finding rigth fit employees employers,Entry level,Full-time,Sales and Business Development,"Construction, Marketing and Advertising, and Hospital & Health Care"
Sales Operations & Strategy Associate,Coinbase,Los Angeles Metropolitan Area,2021-09-25,36 applicants,coinbase built world leading compliant cryptocurrency platform serving 30 million accounts 100 countries multiple successful products vocal advocacy blockchain technology played major part mainstream awareness adoption cryptocurrency proud offer entire suite products helping build cryptoeconomy increase economic freedom around world things look across hires make coinbase regardless role team first look signals candidate thrive culture like default trust embrace feedback disrupt expect sustained high performance play championship team second expect employees commit approach work finally seek people desire capacity build share expertise frontier technologies crypto blockchain whatever way relevant role sales operations strategy team working primarily institutional sales trading prime services business coinbase institutional coinbase institutional clients getting crypto team partner commercial leadership coinbase focusing strategic operational projects institutional sales trading teams particular role individual work closely coinbase cloud offering institutional clients ie job duties drive strategic projects enable commercial leaders drive revenue opportunities establish approaches productivity enhancements define manage provide insights key performance metrics create manage processes target setting forecasting pipeline analytics analyze large amounts information quickly effectively reduce complexity make actionable recommendations coinbase work closely sales systems tooling teams shaping development usage crm data visualization look ie job requirements years experience sales strategy operations management consulting business role dependent upon experience level solid analytic problem solving interpersonal skills working sales teams experience working large data sets exceptional prioritization project management skills passion whatever takes solve complex problems build scalable processes comfort working high growth constantly changing environment nice haves strong interest crypto market experience working high growth startup tech company experience crm systems commitment equal opportunity coinbase committed diversity workforce proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion creed gender national origin age disability veteran status sex gender expression identity sexual orientation basis protected applicable law coinbase also consider employment qualified applicants criminal histories manner consistent applicable federal state local law us applicants may view pay transparency employee rights equal employment opportunity law notices clicking corresponding links additionally coinbase participates program certain locations required law coinbase also committed providing reasonable accommodations individuals disabilities need reasonable accommodation disability part employment process please send accommodations let us know nature request contact information quick access screen reading technology compatible site click download free compatible screen reader free step step tutorial found please contact accommodations additional information request accommodations global data privacy notice job candidates applicants depending location general data protection regulation gdpr california consumer privacy act ccpa may regulate way manage data job applicants full notice outlining data processed part application procedure applicable locations available united kingdom california submitting application agreeing use processing data required,Entry level,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Financial Services"
Sales Operations & Strategy Associate,Coinbase,"Seattle, WA",2021-09-25,< 25 applicants,coinbase built world leading compliant cryptocurrency platform serving 30 million accounts 100 countries multiple successful products vocal advocacy blockchain technology played major part mainstream awareness adoption cryptocurrency proud offer entire suite products helping build cryptoeconomy increase economic freedom around world things look across hires make coinbase regardless role team first look signals candidate thrive culture like default trust embrace feedback disrupt expect sustained high performance play championship team second expect employees commit approach work finally seek people desire capacity build share expertise frontier technologies crypto blockchain whatever way relevant role sales operations strategy team working primarily institutional sales trading prime services business coinbase institutional coinbase institutional clients getting crypto team partner commercial leadership coinbase focusing strategic operational projects institutional sales trading teams particular role individual work closely coinbase cloud offering institutional clients ie job duties drive strategic projects enable commercial leaders drive revenue opportunities establish approaches productivity enhancements define manage provide insights key performance metrics create manage processes target setting forecasting pipeline analytics analyze large amounts information quickly effectively reduce complexity make actionable recommendations coinbase work closely sales systems tooling teams shaping development usage crm data visualization look ie job requirements years experience sales strategy operations management consulting business role dependent upon experience level solid analytic problem solving interpersonal skills working sales teams experience working large data sets exceptional prioritization project management skills passion whatever takes solve complex problems build scalable processes comfort working high growth constantly changing environment nice haves strong interest crypto market experience working high growth startup tech company experience crm systems commitment equal opportunity coinbase committed diversity workforce proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion creed gender national origin age disability veteran status sex gender expression identity sexual orientation basis protected applicable law coinbase also consider employment qualified applicants criminal histories manner consistent applicable federal state local law us applicants may view pay transparency employee rights equal employment opportunity law notices clicking corresponding links additionally coinbase participates program certain locations required law coinbase also committed providing reasonable accommodations individuals disabilities need reasonable accommodation disability part employment process please send accommodations let us know nature request contact information quick access screen reading technology compatible site click download free compatible screen reader free step step tutorial found please contact accommodations additional information request accommodations global data privacy notice job candidates applicants depending location general data protection regulation gdpr california consumer privacy act ccpa may regulate way manage data job applicants full notice outlining data processed part application procedure applicable locations available united kingdom california submitting application agreeing use processing data required,Entry level,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Financial Services"
