jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Disney Gift Card Services, Program Development Intern - Spring 2022",The Walt Disney Company,"Lake Buena Vista, FL",2021-10-03,< 25 applicants,job summary part innovative team disney gift card services enterprise entity responsible creating launching maintaining gift card stored value products sold distributed globally variety channels including online corporate sales retail stores partnerships team consists program development business development brand operations finance guest service groups dedicated enhancing guest experience reducing payment friction supporting walt disney company business initiatives responsibilities day role play integral part various project activities assisting supporting disney gift card services program development team individual responsible limited communicating project deliverables stakeholders business acceptance testing documentation training efforts managing system access sustainment activities role individual develop project management skills partnering technical financial creative operational teams various levels gather provide requirements projects process improvements position may require flexible hours support weekend initiatives basic qualifications looking demonstrated strong organizational time management skills prioritize multiple competing priorities attention detail quickly adapt evolving growing business needs proven critical thinking creative solutioning skills demonstrated ability influence build relationships internal external partners various levels ability work independently within collaborative team environment ability adapt communication styles technical partners demonstrated ability handle confidential information desire take creative thoughtful risks line business needs familiar engaged emerging technologies proficiency microsoft office suite word powerpoint excel presentation software ability analyze metrics create stories depicting product performances user experiences assist making strategic decisions preferred qualifications experience project management processes software agile methodologies working external basic understanding technical topics database api json messaging awareness user design trends strategies engagement familiarity payment digital consumer experiences knowledge creating process flows diagrams required education currently enrolled accredited college university taking least one class recent graduate accredited college university within last six 6 months time application currently participating disney college program disney culinary program disney professional internship program pursuing bachelor degree post graduate degree business project management information technology additional information approximate dates internship january 2022 june candidate must available work full time hours approximately 40 hours per week duration internship work remotely work resumes location work orlando florida please note candidates must receptive working eastern standard time duration program approximately et 865279br,Internship,Internship,Education and Training,"Marketing and Advertising, Information Technology and Services, and Financial Services"
Business Development Manager,Ritchie Bros.,Dallas-Fort Worth Metroplex,2021-09-25,< 25 applicants,growing global company endless career development opportunities join ritchie part diverse global team focused delivering great customer experiences culture centered around people guided core values integrity unity vision learn culture commitment diversity inclusion candidate portal entrepreneurial spirit passionate making difference invite join growing team whether field back office helping us achieve vision becoming trusted global marketplace insights services transaction solutions commercial assets looking business development manager covering dallas fort worth metroplex opportunity business development manager bdm outside sales role specifically focused developing new business within assigned geography bdm primarily responsible identifying new prospects soliciting selling full rba solution offering matching prospect needs solutions transitioning signed business account managers ideal candidate extremely adept identifying generating comprehensive fluid sales pipeline developing new opportunities across channels platforms adding new customers portfolio bdm engage sales activities primarily outside office via face face meetings focused engendering trust establishing relationships key influencers ensure adequate time spent prospecting outreach phone email cold calling create necessary opportunities resulting sales role target net new business would transitioned account manager prioritized opportunity size ability identify research target companies customers clients investigate potential partnership rba able quickly efficiently qualify potential opportunities prospect develop customer relationships regardless prospect contractual status competitors proactively create awareness rba solutions offering skilled cold calling setting video meetings understand prospects needs motivations enable partnership ritchie bros work internal departments marketing team aligned growth initiatives finding ways promote brand generate awareness leverage business insights deep understanding market competition effectively engage utilize internal support functions contracting process problem resolution enter maintain customer information notes activities crm tool throughout sales cycle identifies leverages engages regularly industry associations members identify potential prospects establishing among industry community customers qualify secure contracts ensure successful interactions results actively support rb unreserved commitment safety send everyone home every day way came work taking personal responsibility safety safety team customers bring bachelor degree innovative creative enjoys selling opportunistic excellent communication presentation skills highly goal operates sense urgency resilient decisive excellent time management years experience demonstrated success sales industry preferred knowledge experience crm utilization preferably salesforce excellent communication presentation skills highly experience prospecting new business desire win bring sense urgency generating favorable results resilience bounce back setbacks rejection offer success built drive dedication people grow around globe many opportunities advance career proven throughout years business take care along way base salary commission comprehensive medical dental benefits 401 k employee share plan company match ongoing training professional development tuition reimbursement ritchie grown auctioneer global asset management disposition company family companies help customers buy sell wide range used unused equipment construction mining transportation agriculture oil gas lifting material handling forestry industries ritchie equal opportunity employer ensures nondiscrimination activities accordance applicable laws position open qualified applicants legally entitled work country job located candidate selection made talent acquisition electronic applications accepted agency calls please required accommodations please send email careers,Internship,Full-time,Business Development and Sales,Machinery
Student Brand Manager,Red Bull,"Raleigh, NC",2021-10-06,< 25 applicants,positions open following schools north carolina state university north carolina central university duke university wake tech community college applicants must apply directly website nc state https nccu https duke https wake tech https red bull student marketeers part dynamic empowered brand ambassador program world understand red bull target group promote brand image product understanding campus region goal student marketeer program reach new consumers excite university students increase sales manage red bull brand student level includes direct contact consumers campus inviting product trial addition working red bull events provide unforgettable brand experience consumers,Internship,Part-time,,
Entry-Level Sales Development Trainee {$65K - $80K} (NYC),LaunchSource,"New York, NY",2021-09-09,< 25 applicants,know 40 fortune 100 ceo started sales career know due rapid adoption technology new modern sales professional called sales development trainee representative sdr one jobs last 5 years row ready surrounded incredibly smart driven people push better answer questions yes need talk launchsource changing way new generation talent break tech companies across united states sales development representatives sdrs business development representatives bdrs first point contact new customer customer engine growth sales serve bench entire organization partners vetted provide rapid room career advancement average promotion 14 18 months critical company new business looking learn launchsource check us visit website oh yeah cost ever role create new revenue opportunities educating customers conduct strategic calling emailing identify new business opportunities work closely account executives sales colleagues marketing implement strategy process become industry specialist develop product mastery consistently achieve exceed monthly quotas goals receive continuous weekly training develop sales skillset entrepreneurial intellectually curious passionate learning adaptable salary base salary earnings ote launchsource accept differences celebrate support thrive benefit candidates clients community launchsource clients proud equal opportunity employers launchsource provides equal employment opportunities employees applicants employment prohibits discrimination harassment type without regard race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity expression characteristic protected federal state local laws applying job contingent acceptance launchsource process platform consent personal information including resume materials provide launchsource grant permission launchsource use displayed accessed launchsource clients via launchsource platform means communication,Internship,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Staffing and Recruiting"
Rookie 2022 Summer League Internship - Sales & Operations,Under Armour,"Baltimore, MD",2021-09-18,< 25 applicants,armour one mission make better commitment innovation lies heart everything athletes also teammates global organization teams around world push boundaries think beyond expected together teammates unified values grounded vision inspire performance solutions never knew needed ca imagine living without position summary armour rookie given project makes real business impact throughout 12 weeks work mentor access learning experiences interactive q sessions executives professional development opportunities talent advisors focus collaboration global mindset rookie get see work goes way beyond potential placement areas sales sales rookies support teams driving business ua brand within strategic accounts retail partners may assist selling strategies working internal partners product merchandising marketing finance planning help ensure products powerfully positioned drive revenue within wholesale channels opportunity might appeal students majors business operations business retail studies communications psychology store operations store operations rookies support teams creation implementation store operations standards across globe opportunity might appeal students majors logistics industrial engineering business operations business supply chain information systems economics retail studies eligibility eligible rookie program must expecting graduate december 2022 june hiring process resume review process start immediately upon applying role teams interested experience invited interview virtually members potential team may ability interview multiple roles opportunity arises virtual interviews completed recruiting team extend offers follow directly status application deadline sunday december 12 2021 pm eastern time armour committed providing environment mutual respect equal employment opportunities available applicants teammates without regard race color religion sex pregnancy including childbirth lactation related medical conditions national origin age physical mental disability marital status sexual orientation gender identity gender expression genetic information including characteristics testing military veteran status characteristic protected applicable law armour believes diversity inclusion among teammates critical success global company seek recruit develop retain talented people diverse candidate pool,Internship,Internship,Sales and Business Development,"Marketing and Advertising, Consumer Goods, and Retail"
Business Development Intern (US Market),Kellify,New York City Metropolitan Area,2021-10-05,< 25 applicants,company kellify comprehends world images globally scale high potential businesses crafted ai computer vision neuroscience boundaries science stretch singling catchy images right time place martech industry predicting property fine art prices apps become brands gradient unveils visual tells brands make inclusive naiada first ai uncovering charming masterpieces make wallet smile founded 2018 team scientists entrepreneurs columbia sophia antipolis nasa kellify raised funding true need scaling blossomed team people 10 countries currently live globally offices genoa madrid new york seoul look smart dynamic proactive individuals join team software developers data scientists marketing finance product architects digital enablers light realities either scientific business perspective ideal candidate deep understanding us market turn insight action across globally distributed environment expect intuitive fast learner leveraging complex skills rooted analytics user feedback business goals support setting clear goals priorities managing stakeholder expectations part growth team new york city plays fundamental role operations development business teams also influences future growth united states support driving awareness adoption products portfolio features within us business landscape work fueling business development strategy across core industries leveraging key stakeholders new york city role report united states regional leader although find embedded within growth team role proactively scout onboard new clients partners ensuring success us ecosystem get game influence manage key moments sales cycle always focusing kellify priorities build brand alliances great network effect local global resonance conduct research analyses support ongoing projects help team identify new potential partners areas research execute projects environment apply genuine interest business development sales extremely great communication skills comfortable metrics holding backup data enjoy working within environment benefits get work one hottest digital startups right competitive salary professional development reward gateway,Internship,Full-time,Business Development and Sales,Internet
WholeSale Intern- Spring 2022,LoveShackFancy,"New York, NY",2021-10-07,25 applicants,loveshackfancy loveshackfancy new york lifestyle brand founded 2013 stylist designer creative director rebecca hessel cohen brand originated rebecca desire design perfect bridesmaid dress ethereal summer wedding family home bridgehampton surrounded swaying apple trees initial collection silk dresses loveshackfancy quickly gained dedicated following charming pieces whisper role overview description loveshackfancy looking students pursuing sales internship business training experience spring 2022 semester student learn company objectives environment techniques strategies sales team uses daily basis must nyc based understanding interest market organization accuracy essential overall success understanding sales department encourage positive attitude strive create welcoming environment learn skills great opportunity students college gain school credit deeper knowledge inner workings sales team fashion internship unpaid role candidate must receive academic college credit requirement key responsibilities responsibilities responsible observe sales executives respective roles sales interns often shadow team routine well busy market schedule observing team preps collection showroom trade show market merchandising maintaining showroom market shadow sales executives market appointments dressing styling models market appointments attend loveshackfancy trade shows entering checking orders return authorizations learn inventory management using excel coordinate department store photo shoots sending tracking samples merchandising department stores around city tracking sales market research potential new accounts building relationships customers job description may inclusive assigned duties responsibilities aspects job described may amended time sole discretion employer skills qualities behaviours currently enrolled college university ability environment strong computer skills word excel powerpoint strong communication skills powered jazzhr jdl9lf6soi,Internship,Internship,Education and Training,"Apparel & Fashion, Retail, and Luxury Goods & Jewelry"
Sales Associate Internship (Remote),Olive,"Columbus, OH",2021-10-02,< 25 applicants,description olive ai workforce built fix broken healthcare system addressing healthcare burdensome issues delivering hospitals health systems increased revenue reduced costs increased capacity people feel lost system today healthcare employees essentially working dark due outdated technology creates lack shared knowledge siloed data olive designed drive connections shining new light broken healthcare processes stand providers patient care uses ai reveal insights make healthcare efficient affordable effective olive vision unleash trillion dollars hidden potential within healthcare connecting disconnected systems olive improving healthcare operations today everyone benefit healthier industry tomorrow job overview sales associate internship focus fundamental operations growing revenue organization associate work closely sales leaders executive team create scalability consistency deliverables role key olive high growth environment associate works coordinator sales demand generation leaders functions communicate key account learnings industry analysis ultimately developing materials assist revenue organization high growth internship dates may 23 2022 july 29 2022 essential duties responsibilities prepare decks sales presentations alongside sal ed providing scalability preparation solution overviews presentation findings conduct constant market research specific groupings accounts executing plan built executive directors assist market president vps data preparation internal events live within record accuracy quick resource core questions able develop basic level salesforce reporting analysis ad hoc basis act record keeper external internal meetings highlight owners actions key topics supplement larger sales enablement effort coordination marketing documents operationalized sales includes pdf preparation meeting scheduling close plan aggregation shadow various areas customer lifecycle professional development operational learnings includes market development customer facing sales meetings implementations assessments internal operational support customer success associate capable assist performance improvement team running numbers comparisons customer roi given assessment expected add scalability assessment solution architects helping record workflows notes processes core stage middle sales cycle case special ed sal traveling customer pto associate act coordinator important information customers experience gap requirements experience years expected background healthcare technologies preferred pursuing degree certification business management related field experience sales customer service ideally combined background revenue generation product implementation design leadership awareness basic healthcare industry terms demonstrates desire continuous learning improvement enthusiastic creative leader ability inspire others excellent communication presentation skills olive committed growing empowering inclusive community within company industry hire cultivate diverse teams best brightest backgrounds experiences perspectives across organization research shows oftentimes women minority groups apply open roles meet 100 listed criteria olive encourages everyone including women people color individuals disabilities community apply available positions even necessarily check every box job description disclaimer job description designed cover contain comprehensive listing activities duties responsibilities required employee duties responsibilities activities may change new ones may assigned job description constitute contract employment olive ai may exercise rights time,Internship,Internship,Sales and Business Development,"Information Technology and Services, Computer Software, and Hospital & Health Care"
Business Development Rep,CareBand,"Chicago, IL",2021-09-18,< 25 applicants,company description careband company empowers people living dementia stay safe healthy providing peace mind caregivers solution includes wearable device monitors activity behavior location integration machine learning technology caregivers proactively manage common behaviors wandering agitation interventions careband people living dementia stay safe function highest level independence avoid unnecessary hospitalizations caregivers peace mind join careband team team experts hardware engineering software development machine learning design senior care always strive learn dig deeper research analytics stay engaged creative everything one us recent news careband customers us canada slovokia uk past months careband careband award 440k nih r21 university minnesota https e2 80 careband starts pilot amazon https founder tedx technology dementia innovation empowering beyond diagnosis https job description role careband recent momentum comes opportunity responsibility working closely ceo seeking business development rep help guide company development growth role work system integrators resellers partners end customers position requires ability succeed environment high standards seeking experienced dynamic team member shares passion roll sleeves get job done excited revolutionizing industry uncompromising integrity would like work company positioned success love speak commitment hours week opportunity go start date asap responsibilities first person contact inbound leads managing business development activities evaluate develop prospects business opportunities synthesize conversations communicate business development team increasing value current customers attracting new ones finding developing new markets improving sales attending conferences meetings industry events developing quotes proposals clients developing goals development team business growth ensuring met build maintain long term relationships customers partners know understand clearly articulate company story mission benefit persuasive informative way assist negotiating aspects customer partner relationship pricing payment contract terms resources etc qualifications strong academic achievement bs business mba preferred entrepreneurial mindset task large small effective managing multiple tasks simultaneously comfortable taking responsibility high level attention detail problem solver accept status quo always looking creative solutions excellent communicator clarity thought quickly identify important good sense humor personal balance demonstrated record entrepreneurial achievement leadership additional information information kept confidential according eeo guidelines please upload cover letter next page consid,Internship,Part-time,Sales and Business Development,Hospital & Health Care
Buying Intern- Spring 2022,LoveShackFancy,"New York, NY",2021-10-07,34 applicants,loveshackfancy new york lifestyle brand founded 2013 stylist designer creative director rebecca hessel cohen brand originated rebecca desire design perfect bridesmaid dress ethereal summer wedding family home bridgehampton surrounded swaying apple trees initial collection silk dresses loveshackfancy quickly gained dedicated following charming pieces whisper role overview internship unpaid role candidate must receive academic credit requirement key responsibilities lsf buying intern process orders joor process orders rlm assist weekly retail web omni sales recap input product information pictures master line sheet assist processing rtvs weekly monitor site ensure products properly represented assist buyer identifying key trends buying intern process 3rd party orders rlm update 3rd party ship sheet product knowledge decks regularly shipping labels third party vendors assist correspondence vendors assist buying department making recommendations future buys business growth assist buyer identifying key trends detail oriented ability multitask excellent verbal written communication skills excellent computer skills ability learn software programs quickly proficient excel able create pivot tables execute vlookups ability learn work environment clearly understand lsf brand contemporary marketplace powered jazzhr 8egta4pdgd,Internship,Internship,Education and Training,"Apparel & Fashion, Retail, and Luxury Goods & Jewelry"
