jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
International Sales Manager,iPNOTE Inc.,USA,2021-10-07,41 applicants,ipnote streamlined platform managing securing intellectual property allows customers engage vetted legal vendors oversee entire collaboration process manage ip portfolio single place ipnote strives enable companies take control ip leverage expand business platform businesses handle administrative financial processes without completely relying lawyers requirements english level agree easier communicate foreign clients partners excellent english experience active sales wild fear calls meetings even good experience working crm experience b2b sales would great sold product important learn quickly possession understanding marketing tools advantage tasks brief client make commercial offer enter transaction track performance business indicators meet clients lead client maintain reports crm conditions annual base pay 33 600 pay monthly commissions sales manager play critical active role operations excellent opportunity one key members sales team position unique career growth opportunities killing head sales lead sales team help spearhead growth tfor remote users ability work anywhere world schedule biorhythm relation agreed meetings direct interaction product owner also ceo always context events involved final result opportunity attend participate major innovation events including international ones,Mid-Senior level,Full-time,,
"Supervisor, Inside Sales",Tesla,USA,2021-09-18,25 applicants,role role inside advisor team educate inspire skillfully guide tesla potential customers vehicle energy configuration sales process inside team focuses financing options dmv requirements unique state requirements delivery scheduling providing world class experience inside advisor supervisor responsible team executing activities highest possible level innovating improving processes make efficient streamlined advisors customers mission accelerate world transition sustainable transportation responsibilities build develop grow team inside advisors tesla north america monitor employee productivity consist limited direct sales online chat delivery functions inbound outbound queues ownership outreach communicate implement relevant changes impact team regarding policy procedure collaborate departments efforts clear roadblocks build stronger relationship set goals meet minimum expectations manage performance train mentor new team members well identify mentor future team leaders work continuous improvement processes procedures related purchase tesla products actively coaching team members sales conversations providing real time feedback create fun inclusive culture rewards hard work production innovation qualifications years phone sales customer service experience managing contact center environment excellent communication relationship management skills oral written experience managing contact center environment great organizational skills eye detail ability make decisions line tesla standards strong relationship management skills capability explain complex technical concepts proficient standard corporate productivity tools email voicemail ms office sharepoint internet navigation crm applications legal right work united states ability obtain dmv salesperson license tesla provide guidance monetary assistance obtaining licenses licensing process must initiated third week employment failure obtain license second month employment result termination requirement follow tesla motor information security polici,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Senior Sales Representative,Honeywell,USA,2021-09-18,37 applicants,seller drives sales identifying generating opportunities grocery retailers refrigeration oems foster client satisfaction maintaining regular customer contact managing customer expectations develop customer relationships direct sales calls coordinating attending trade shows seminars similar events provide education honeywell offerings technical presentations drive specifications products maintain provide reports opportunity status using customer relationship management system provide competitive intelligence market trends use offering management new product development provide input sales inventory operations planning siop role work remote sit anywhere united states near major airport drive business growth honeywell multisite control offerings calling directly new grocer end users fostering channel sales existing refrigeration oem partners deliver value forging new strategic relationships grow knowledge honeywell products culture focused innovation customer satisfaction must minimum 5 years experience industry value bachelor degree proficient understanding key sales principles best practices excellent team communication skills ability take initiative work limited direction ability influence across broader organization ability influence customers maintaining healthy relationships significant experience selling industrial products deep technical expertise understanding honeywell value proposition well competitive landscape additional information job id hrd136299 category sales location 715 peachtree street atlanta united states exempt,Mid-Senior level,Full-time,Sales and Business Development,Industrial Automation and Mechanical or Industrial Engineering
Supervisor Inside Sales,Tesla,USA,2021-09-25,33 applicants,supervisor inside sales role role inside advisor team educate inspire skillfully guide tesla potential customers vehicle energy configuration sales process inside team focuses financing options dmv requirements unique state requirements delivery scheduling providing world class experience inside advisor supervisor responsible team executing activities highest possible level innovating improving processes make efficient streamlined advisors customers mission accelerate world transition sustainable transportation responsibilities build develop grow team inside advisors tesla north america monitor employee productivity consist limited direct sales online chat delivery functions inbound outbound queues ownership outreach communicate implement relevant changes impact team regarding policy procedure collaborate departments efforts clear roadblocks build stronger relationship set goals meet minimum expectations manage performance train mentor new team members well identify mentor future team leaders work continuous improvement processes procedures related purchase tesla products actively coaching team members sales conversations providing real time feedback create fun inclusive culture rewards hard work production innovation qualifications years phone sales customer service experience managing contact center environment excellent communication relationship management skills oral written experience managing contact center environment great organizational skills eye detail ability make decisions line tesla standards strong relationship management skills capability explain complex technical concepts proficient standard corporate productivity tools email voicemail ms office sharepoint internet navigation crm applications legal right work united states ability obtain dmv salesperson license tesla provide guidance monetary assistance obtaining licenses licensing process must initiated third week employment failure obtain license second month employment result termination requirement follow tesla motor information security polici,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Eastern Wisconsin Regional Sales Manager,Driftless Glen Distillery,USA,2021-10-07,< 25 applicants,eastern wisconsin regional sales manager position responsible executing sales distribution initiatives focusing development relationships management spirits wholesalers designated regions overlapping markets sales manager ensure distributors adhering brand policies company goals met furthering brand reach awareness engaging special promotions marketing initiatives tastings trade shows special events sales manager responsible market depletions pricing programming brands within distributor networks designated region include work focused eastern side wisconsin specifically milwaukee fox valley regions sales manager responsible representing driftless glen market positive way key skills competencies strong communication skills written verbal persuasion motivation relationship building time management manage deadlines reach goals responsible educating distributor sales team retail trade observe competitive market activity evaluate distributor execution initiatives provide weekly recaps accounts sold visited follow directives manage e expenses local budgets region successfully work toward exceeding volume goals specific territories remain knowledgeable laws regulations policies govern market keep management informed information pertaining changes minimum qualifications years experience sales bonus alcoholic beverage industry valid state motor vehicle operator license must reliable transportation ability secure maintain insurance accordance state laws ability secure maintain state sales permit accordance state laws must 21 years age older must pass drug test must able travel proactively plan sales routes arrangements scheduling must available work evening weekend events come travel significant travel within assigned regions extensive knowledge spirits industry specifically plus driftless glen distillery driftless glen distillery craft distillery located edge driftless area baraboo wi addition bourbon rye whiskey full range products include brandy vodka gin recently rated whisky advocate 90 bourbon whiskey company named wisconsin distillery year new york international spirits competition shared top ten us spirits brand must try london spirits competition distribute spirits states continue grow expand looking right people join team,Mid-Senior level,Full-time,,
National Sales Manager,Melinda's Foods LLC,USA,2021-09-25,90 applicants,national account manager melinda foods llc cpg experience required melinda original habanero pepper sauce company us established 1989 melinda set culinary world fire first brand achieve fine balance heat flavor almost 30 years later brand continues delight fiery food enthusiasts array artfully crafted pepper sauces ketchups spanning multiple heat levels melinda flavors everyone enjoy geographically ideal candidate would based worth area consideration given candidates live near major us airport position requires extensive knowledge us food retailer market ability sell major food accounts focus maximizing sales top tier accounts advanced business planning forecasting analytical category management expertise ability form strong relationships buyers category managers executives well effectively managing network brokers integral success position customer scope vary food mass club foodservice candidates cpg sales experience multiple channels thoughtfully considered potential international travel develop business melinda candidates international sales background thoughtfully considered core position responsibilities demonstrate ability drive sales results providing best class customer service negotiate slotting terms trade activity customers create present business reviews excel word powerpoint proficient gain customer approval activation irc tear pads signs etc address retail pricing issues customers manage routine issues customers manage new product launches expand distribution full melinda portfolio include pepper sauces condiments banana chips cookies dried fruits ketchups conduct sales analytics using available insights provide solutions customer needs align customer strategies melinda strategic plan build collaborative business plan monitor trade activity execution closely manage work broker networks maximize retail effectiveness gauge strategy success proactively develop new customers across multiple channels expand melinda brand presence bachelor degree business finance marketing related field equivalent work experience minimum four years industry related experience least three years direct cpg sales experience proven sales ability strong negotiation skills experience sales planning forecasting must show proven ability build maintain strong effective relationships customers functional groups must show aptitude effectively interpret use multiple information sources develop customer specific tactical plans options strong business financial acumen advanced business analytics skills customer p l agility ability plan track evaluate trade management strong attention detail understanding total business process procedures ability manage trade spending strong technical report running analytical abilities advanced knowledge microsoft office suite strong verbal written communication skills ability work within matrix organization work multiple account directors discuss prioritize work initiatives melinda equal opportunity employer considers qualified applicants employment without regard race color creed religion national origin sex sexual orientation gender identity expression age disability veteran status protected factor federal state local law visit us send resume cover letter greg,Mid-Senior level,Full-time,,
Market Sales Manager - East Coast,Zillow,USA,2021-09-18,33 applicants,team join new team center zillow effort transform future home selling team responsible establishing developing operations residential real estate transactions central mission make process buying selling home consumer friendly state art experience launched click button role zillow looking market sales manager communicate negotiate directly prospective buyers agents resell homes market sales manager support growing portfolio listed properties spanning multiple markets working closely acquisitions asset management field renovations teams ensure resale process efficient effective manage offer volume homes within designated region evaluate offers expected outcomes communicate responses within defined slas negotiate inspection objections facilitate repair work analyze low appraisals determine course action following standards practice prioritizing profitability partner asset management monitor evaluate listed property inventory across multiple markets provide property feedback work teams effectively manage inventory analyze market data individual home demand metrics optimize price days market execute review sign documents manage process flow resale closing work closely transaction management ensure closing dates met facilitate critical issues conflict resolution perform additional duties needed role categorized remote position remote employees permanent corporate office workplace instead work physical location choice must identified company employees may live 50 us states limited exceptions certain cases employee job may need live specific region time zone support customers clients part role colorado standard pay range role hourly range specific colorado may applicable locations minimum two years customer service required active real estate license highly preferred knowledge residential real estate practices strong negotiation skills ability create solutions knowledge understanding real estate contracts closing process strong real estate valuation market analysis skills ability analyze large amounts data various excellent organization project management skills capable excellent communication ability develop relationships levels across organization intermediate sophisticated computer skills proficiency applications google ms office suite salesforce plus experience management appraisal loan financing transaction management plus addition competitive base salary position also eligible equity awards based factors experience performance location get know us zillow reimagining real estate make easier unlock life next chapter real estate website united states affiliates offer customers experience selling buying renting financing transparency nearly seamless service millions people visit zillow affiliate sites every month start home search rely zillow help finish matter job play critical role making vision reality zillow powered innovative inclusive work culture everyone flexibility support resources best work careers efforts streamline real estate transaction supported passion redefine employee experience culture innovation fundamental commitment equity belonging benefits take word read reviews glassdoor recent recognition multiple organizations including fortune 100 best companies work list 2021 bloomberg index 2021 human rights campaign hrc corporate equity index hrc best place work lgbtq equality 2021 fortune best workplaces technology 2020 fortune best workplaces millennials 2020 fortune best workplaces parents 2020 deloitte technology fast zillow group equal opportunity employer committed fostering inclusive innovative environment best employees committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status disability special need requires accommodation please contact us recruitingaccessibility applicants receive job offers zillow group asked sign proprietary rights agreement includes confidentiality intellectual property assignment customer employee provisions contacted role zillow group wish review copy proprietary rights agreement prior receiving offer may request copy recruiter,Mid-Senior level,Full-time,Other,"Marketing and Advertising, Computer Software, and Financial Services"
District Sales Manager East (future opportunities),The Hershey Company,USA,2021-09-11,< 25 applicants,job location charlotte nc note position locations east region summary position responsible leading team field sales team members significant retail sales volume across multiple channels retail activation hire coach lead team inclusive retail sales representatives direct reports well district sales supervisors leads team retail sales merchandisers team delivers top tier retail activation company initiatives within routed channels coverage includes achieving sales share objectives well kpis analytics people development role enable continued leadership marketplace delivering talent development hiring coaching developing leaders ideal candidate demonstrates strategic innovative thinking strong business acumen highly collaborative exceptional communication leadership skills proven drive results responsibilities activate people business strategy achieve company defined kpis people business lead coach recruit develop enhance high performing diverse team culture maximizes hershey retail leadership talent development retail return investment select coach develop leaders leaders leaders district sales supervisors guide activate corporate strategy recruiting selection development retail sales representatives retail sales merchandisers elevate team roster development effective implementation company staffing training performance management models deliver teamwork collaboration internal partners define retail activation plans achieve hershey sales share goals ensure staffing levels productivity measures met basis ensure team members follow company policies procedures minimum education experience requirements education bachelor degree required experience experience leading team highly preferred least years people leadership years professional work experience preferred position requires valid driver license extensive travel hershey company equal opportunity employer policy hershey company extend opportunities qualified applicants employees equal basis regardless individual race color gender age national origin religion citizenship status marital status sexual orientation gender identity transgender status physical mental disability protected veteran status genetic information pregnancy categories protected applicable federal state local laws hershey company equal opportunity employer veteran,Mid-Senior level,Part-time,Sales and Business Development,"Food & Beverages, Consumer Goods, and Retail"
Global Key Account Sales Manager,Henkel,USA,2021-09-18,47 applicants,henkel make difference craft career projects take full responsibility early stage unique brands markets around world open countless opportunities follow convictions explore new paths entrepreneurial mindset allows always think box take chance shape digital future together us role megatrends sustainability renewable energy efficient energy consumption global connectivity automation industry internet things 5g e mobility rapidly rising world population upgrading infrastructures area power industrial automation key focus henkel henkel key global player facilitating progress variety integrated solutions enabling efficient converting managing controlling power supply load across industries enhancing sustainability market demands expand increasing focus key market players forefront progress goal trusted partner choice therefore require new global key account manager facilitate journey leader global cross functional matrixed team formulation execution global key account strategy term including ambitious annual revenue plan long term target 4 year plan regularly updates key account strategic plan 5 year strategic business plan annual providing strategic plan presentations internally externally executive level audience responsibility global revenue targets top line profit goals well overall customer satisfaction providing clear direction leadership cross functional henkel team regarding account strategy team member responsibilities expectations driving execution key priorities sales opportunities revenue generating projects translating customer strategy priorities joint innovation roadmaps building new product development pipeline skills bachelor engineering science business administration similar five ten years experience specification role within manufacturing engineering ideally focus electronics high performance materials supplier five ten years experience technical sales b2b environment strong focus value selling management experience international experience marketing strategy beneficial outstanding persuasion skills highly systematic conceptual thinking good leadership skills strong english german would advantage requirement henkel equal opportunity employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status age sexual orientation gender identity expression legally protected characteristics henkel accept unsolicited resumes search firms employment agencies unsolicited referrals resumes considered henkel property therefore henkel pay fee placement resulting receipt unsolicited referral henkel request preferred vendors may invited refer talent specific open positions cases agreement henkel must place current employees applying internal position must discussion manager interest job posting opportunity discussion preclude employee interviewing skills meet job requirements,Mid-Senior level,Full-time,"Sales, Business Development, and Strategy/Planning",Chemicals
B2B Regional Sales Manager - Southeast (REMOTE),Lovingly,USA,2021-10-08,42 applicants,description building business partnerships excite passionate helping local businesses succeed love thinking outside box trying new approach describes sales philosophy might regional sales manager looking lovingly tremendous plans growth building driven team regional sales managers help double market share domestically internationally role develop nurture regional network florist partners help find lovingly solutions best business lovingly built better way buy flowers gifts online curated marketplace connects shoppers talented independent florists across canada equally important technologies tools support deliver community florist partners result exceptional gifting experience every time lovingly fully remote team members across north america matter distance stay united culture built curiosity positivity collaboration improve market share within territory via visits industry events key sales activities develop strategy business plan territory meet organizational team individual objectives assess florist partner needs recommend solutions line products services including tools point sale technology online marketing collaborate sales planning initiatives requirements growth mindset along genuine passion sales years sales experience b2b sales field sales small business sales excellent presentation communication skills online technologically savvy able leverage resources salesforce salesloft gsuite docusign willingness travel 50 visit prospective current partners sales experience environment fluency spanish french benefits competitive base salary ote compensation 22 however want 12 paid holidays comprehensive benefits including health dental vision 401k guaranteed 3 salary contribution ongoing growth development opportunities plus 25 tuition discount marist college including online programs,Mid-Senior level,Full-time,"Sales, Business Development, and Customer Service",Internet
