keyword,count,type_
customer,21979,dependence
team,28676,dependence
partner,4068,dependence
people,7288,dependence
relationship,3187,dependence
communication,9239,dependence
support,11035,dependence
contact,2780,dependence
understanding,5240,dependence
responsibility,1844,dependence
care,2426,dependence
group,2718,dependence
communicate,2534,dependence
staff,1630,dependence
manner,1207,dependence
help,6050,dependence
follow,1937,dependence
share,2326,dependence
home,1518,dependence
assist,2571,dependence
family,914,dependence
serve,1159,dependence
consultant,502,dependence
job,9602,independence
solution,2771,independence
operate,676,independence
knowledge,8444,independence
comply,347,independence
degree,6884,independence
legislation,70,independence
technology,6647,independence
write,295,independence
deliver,4174,independence
sell,1924,independence
learn,3688,independence
software,4137,independence
performance,5777,independence
project,3850,independence
service,7507,independence
healthcare,2906,independence
perform,1992,independence
compliance,1641,independence
emergency,68,independence
risk,1144,independence
bachelor,3889,independence
issue,265,independence
retail,2495,independence
conflict,197,independence
accounting,441,independence
forecast,1345,independence
negotiation,1690,independence
achieve,4572,independence
jurisdiction,23,independence
quality,3043,independence
information,6517,independence
territory,4228,independence
training,5738,independence
report,1903,independence
tool,386,independence
presentation,2556,independence
problem,1437,independence
success,5177,independence
implement,2357,independence
individual,2938,independence
engineering,2363,independence
order,2657,independence
result,652,independence
negotiate,812,independence
specialist,746,independence
deal,1072,independence
operation,836,independence
promote,1332,independence
study,344,independence
qualification,774,independence
program,3118,independence
self,539,independence
execute,2616,independence
initiative,886,independence
task,255,independence
win,886,independence
wealth,231,independence
education,2619,independence
