keyword,count,type_
customer,21974,dependence
team,28673,dependence
partner,4068,dependence
people,7286,dependence
relationship,3187,dependence
communication,9237,dependence
support,11032,dependence
contact,2778,dependence
understanding,5240,dependence
responsibility,1843,dependence
care,2426,dependence
group,2718,dependence
communicate,2534,dependence
staff,1630,dependence
manner,1207,dependence
help,6049,dependence
follow,1937,dependence
share,2326,dependence
home,1518,dependence
assist,2570,dependence
family,914,dependence
serve,1158,dependence
consultant,495,dependence
job,9598,independence
solution,2769,independence
operate,676,independence
knowledge,8437,independence
comply,346,independence
degree,6884,independence
legislation,70,independence
technology,6647,independence
write,294,independence
deliver,4173,independence
sell,1924,independence
learn,3688,independence
software,4136,independence
performance,5775,independence
project,3846,independence
service,7507,independence
healthcare,2906,independence
perform,1992,independence
compliance,1641,independence
emergency,68,independence
risk,1144,independence
bachelor,3889,independence
issue,265,independence
retail,2493,independence
conflict,197,independence
accounting,440,independence
forecast,1345,independence
negotiation,1690,independence
achieve,4571,independence
jurisdiction,23,independence
quality,3043,independence
information,6516,independence
territory,4228,independence
training,5735,independence
report,1903,independence
tool,386,independence
presentation,2556,independence
problem,1437,independence
success,5177,independence
implement,2357,independence
individual,2938,independence
engineering,2363,independence
order,2657,independence
result,652,independence
negotiate,812,independence
specialist,746,independence
deal,1072,independence
operation,836,independence
promote,1332,independence
study,344,independence
qualification,774,independence
program,3118,independence
self,538,independence
execute,2616,independence
initiative,885,independence
task,254,independence
win,886,independence
wealth,231,independence
education,2618,independence
