keyword,count,type_
customer,5848,dependence
team,5716,dependence
partner,869,dependence
people,1747,dependence
relationship,891,dependence
communication,2116,dependence
support,2634,dependence
contact,749,dependence
understanding,1164,dependence
responsibility,450,dependence
care,647,dependence
group,597,dependence
communicate,650,dependence
staff,361,dependence
manner,308,dependence
help,1443,dependence
follow,494,dependence
share,585,dependence
home,369,dependence
assist,603,dependence
family,217,dependence
serve,334,dependence
consultant,166,dependence
job,2307,independence
solution,651,independence
operate,150,independence
knowledge,2016,independence
comply,126,independence
degree,1776,independence
legislation,17,independence
technology,1535,independence
write,73,independence
deliver,1101,independence
sell,543,independence
learn,899,independence
software,974,independence
performance,1357,independence
project,847,independence
service,1835,independence
healthcare,778,independence
perform,500,independence
compliance,482,independence
emergency,24,independence
risk,232,independence
bachelor,1034,independence
issue,55,independence
retail,557,independence
conflict,45,independence
accounting,99,independence
forecast,306,independence
negotiation,474,independence
achieve,1202,independence
jurisdiction,6,independence
quality,800,independence
information,1631,independence
territory,1199,independence
training,1252,independence
report,482,independence
tool,102,independence
presentation,699,independence
problem,324,independence
success,1214,independence
implement,536,independence
individual,663,independence
engineering,471,independence
order,696,independence
result,178,independence
negotiate,205,independence
specialist,246,independence
deal,251,independence
operation,226,independence
promote,343,independence
study,81,independence
qualification,152,independence
program,475,independence
self,145,independence
execute,545,independence
initiative,222,independence
task,57,independence
win,263,independence
wealth,25,independence
education,747,independence
