keyword,count,type_
customer,4120,dependence
team,7851,dependence
partner,1103,dependence
people,1528,dependence
relationship,717,dependence
communication,1804,dependence
support,2153,dependence
contact,507,dependence
understanding,1335,dependence
responsibility,447,dependence
care,358,dependence
group,630,dependence
communicate,568,dependence
staff,375,dependence
manner,199,dependence
help,1301,dependence
follow,286,dependence
share,498,dependence
home,272,dependence
assist,303,dependence
family,229,dependence
serve,255,dependence
consultant,72,dependence
job,1722,independence
solution,782,independence
operate,172,independence
knowledge,1758,independence
comply,53,independence
degree,1440,independence
legislation,14,independence
technology,1659,independence
write,57,independence
deliver,1030,independence
sell,312,independence
learn,448,independence
software,821,independence
performance,1560,independence
project,926,independence
service,1478,independence
healthcare,626,independence
perform,273,independence
compliance,440,independence
emergency,8,independence
risk,561,independence
bachelor,780,independence
issue,46,independence
retail,589,independence
conflict,38,independence
accounting,108,independence
forecast,316,independence
negotiation,413,independence
achieve,1096,independence
jurisdiction,6,independence
quality,599,independence
information,1192,independence
territory,486,independence
training,823,independence
report,405,independence
tool,58,independence
presentation,550,independence
problem,335,independence
success,1467,independence
implement,746,independence
individual,687,independence
engineering,545,independence
order,426,independence
result,156,independence
negotiate,211,independence
specialist,73,independence
deal,260,independence
operation,160,independence
promote,283,independence
study,61,independence
qualification,150,independence
program,493,independence
self,105,independence
execute,762,independence
initiative,146,independence
task,35,independence
win,203,independence
wealth,68,independence
education,507,independence
