keyword,count,type_
customer,4804,dependence
team,4528,dependence
partner,520,dependence
people,1354,dependence
relationship,555,dependence
communication,1760,dependence
support,2088,dependence
contact,634,dependence
understanding,741,dependence
responsibility,261,dependence
care,531,dependence
group,460,dependence
communicate,485,dependence
staff,318,dependence
manner,297,dependence
help,1010,dependence
follow,464,dependence
share,343,dependence
home,307,dependence
assist,519,dependence
family,137,dependence
serve,142,dependence
consultant,73,dependence
job,2175,independence
solution,356,independence
operate,124,independence
knowledge,1524,independence
comply,73,independence
degree,1223,independence
legislation,22,independence
technology,1057,independence
write,59,independence
deliver,653,independence
sell,344,independence
learn,711,independence
software,552,independence
performance,687,independence
project,576,independence
service,1489,independence
healthcare,609,independence
perform,470,independence
compliance,288,independence
emergency,6,independence
risk,81,independence
bachelor,712,independence
issue,61,independence
retail,380,independence
conflict,51,independence
accounting,60,independence
forecast,225,independence
negotiation,274,independence
achieve,884,independence
jurisdiction,4,independence
quality,603,independence
information,1363,independence
territory,930,independence
training,1066,independence
report,358,independence
tool,60,independence
presentation,428,independence
problem,235,independence
success,765,independence
implement,310,independence
individual,498,independence
engineering,372,independence
order,696,independence
result,100,independence
negotiate,134,independence
specialist,219,independence
deal,147,independence
operation,130,independence
promote,290,independence
study,72,independence
qualification,153,independence
program,427,independence
self,102,independence
execute,413,independence
initiative,208,independence
task,63,independence
win,128,independence
wealth,36,independence
education,502,independence
