keyword,count,type_
customer,1510,dependence
team,2726,dependence
partner,242,dependence
people,941,dependence
relationship,123,dependence
communication,1180,dependence
support,1414,dependence
contact,193,dependence
understanding,369,dependence
responsibility,168,dependence
care,289,dependence
group,450,dependence
communicate,213,dependence
staff,268,dependence
manner,129,dependence
help,728,dependence
follow,249,dependence
share,234,dependence
home,233,dependence
assist,676,dependence
family,142,dependence
serve,169,dependence
consultant,70,dependence
job,1028,independence
solution,80,independence
operate,77,independence
knowledge,825,independence
comply,50,independence
degree,618,independence
legislation,1,independence
technology,639,independence
write,40,independence
deliver,247,independence
sell,266,independence
learn,895,independence
software,333,independence
performance,475,independence
project,460,independence
service,1023,independence
healthcare,244,independence
perform,243,independence
compliance,77,independence
emergency,9,independence
risk,107,independence
bachelor,336,independence
issue,37,independence
retail,291,independence
conflict,9,independence
accounting,104,independence
forecast,34,independence
negotiation,61,independence
achieve,188,independence
jurisdiction,0,independence
quality,308,independence
information,727,independence
territory,128,independence
training,1301,independence
report,134,independence
tool,53,independence
presentation,211,independence
problem,238,independence
success,349,independence
implement,146,independence
individual,265,independence
engineering,223,independence
order,173,independence
result,32,independence
negotiate,35,independence
specialist,57,independence
deal,90,independence
operation,91,independence
promote,84,independence
study,57,independence
qualification,61,independence
program,1132,independence
self,65,independence
execute,144,independence
initiative,109,independence
task,34,independence
win,34,independence
wealth,46,independence
education,230,independence
