keyword,count,type_
customer,5692,dependence
team,7852,dependence
partner,1334,dependence
people,1716,dependence
relationship,901,dependence
communication,2377,dependence
support,2743,dependence
contact,695,dependence
understanding,1631,dependence
responsibility,517,dependence
care,601,dependence
group,581,dependence
communicate,618,dependence
staff,308,dependence
manner,274,dependence
help,1567,dependence
follow,444,dependence
share,666,dependence
home,337,dependence
assist,469,dependence
family,189,dependence
serve,258,dependence
consultant,114,dependence
job,2366,independence
solution,900,independence
operate,153,independence
knowledge,2314,independence
comply,44,independence
degree,1827,independence
legislation,16,independence
technology,1757,independence
write,65,independence
deliver,1142,independence
sell,459,independence
learn,735,independence
software,1456,independence
performance,1696,independence
project,1037,independence
service,1682,independence
healthcare,649,independence
perform,506,independence
compliance,354,independence
emergency,21,independence
risk,163,independence
bachelor,1027,independence
issue,66,independence
retail,676,independence
conflict,54,independence
accounting,69,independence
forecast,464,independence
negotiation,468,independence
achieve,1201,independence
jurisdiction,7,independence
quality,733,independence
information,1603,independence
territory,1485,independence
training,1293,independence
report,524,independence
tool,113,independence
presentation,668,independence
problem,305,independence
success,1382,independence
implement,619,independence
individual,825,independence
engineering,752,independence
order,666,independence
result,186,independence
negotiate,227,independence
specialist,151,independence
deal,324,independence
operation,229,independence
promote,332,independence
study,73,independence
qualification,258,independence
program,591,independence
self,121,independence
execute,752,independence
initiative,200,independence
task,65,independence
win,258,independence
wealth,56,independence
education,632,independence
