jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Sr. Sales Trainer, East",Tesla,"Shanghai, Shanghai, China",1 month ago,Be among the first 25 applicants,职位描述：  区域培训项目指导/区域培训项目经理将主要负责区域销售和交付的培训项目建立和执行。  该职位需要与关键业务合作伙伴和区域销售领导合作，以确定并分析培训需求和业务健康  状况。通过制作和执行定制化培训内容为区域团队成员提供指导和发展团队，以充分发挥  其潜力，协助提高整个地区的绩效。  工作职责： 设计，制作和执行相关培训项目。包括但不限于入职，产品，客户服务，销售技巧 与业务经理和主要业务伙伴合作，分析业务的健康状况和机会点，以确定工作重心和项目核心 与业务经理和专题项目专家合作以确定培训需求，并迅速建立和实施培训解决方案 能适应在教室，在线和店内任何环境中提供培训 执行知识检查和角色扮演以验证学习成果 为业务经理提供反馈和意见/建议 管理培训后的调查和效果跟踪，以评估有效性并向管理层提供报告 任职要求： 5 年以上的培训或客户服务相关经验 卓越的自我激励能力 积极主动，独立自主工作，有上进心 优秀的书面表达和口头表达能力 可接受出差和到访不同门店，超过50% 的时间 熟悉Mac OS X 和Windows 操作系统 熟练运用Microsoft Office，Office365，Pages 和Keynote 具备多媒体制作能力优先 可英文沟通优先,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Business Development Specialist - Sales，Zhengzhou,Tesla,"Zhengzhou, Henan, China",1 month ago,Be among the first 25 applicants,"主要职责:  l 支持销售团队达成业务目标，负责策划并执行区域内的市场活动，包括但不限于新店开业、车展、试乘试驾活动等；  l 负责与区域内金融保险合作伙伴进行沟通和协调，并对合作项目进行管理，确保合作项目可顺利进行；  l 负责调研车主需求，与内外部团队进行合作，策划并执行车主活动，加强与车主的联系；  l 负责挖掘潜在个人/企业客户需求，通过策划和执行线上线下活动，对潜在个人/企业客户进行开发；  l 负责拓展各类资源，包括但不限于各类商户, 合作伙伴，落地项目，并有效支持区域市场目标达成；  l 其他职责：根据业务发展需要，完成管理层指定的其他工作。  任职要求：  l 本科学历或同等学位；  l 3-5年业务拓展开发，或市场活动相关工作经历；  l 优秀的商业拓展能力和商务谈判能力;  l 对数据敏感，优秀的数据分析能力和逻辑分析能力，能独立解决跨部门和跨组织的问题；  l 有较强的抗压力，能在快节奏、充满活力、结果导向的环境中工作，并能在规定限期内完成多个项目；  l 保持创业精神及高度敏感的市场嗅觉，持续推动业务发展。",Entry level,Full-time,Business Development and Sales,"Automotive, Renewables & Environment, and Utilities"
Remote Sales Executive,Radarr,Hong Kong SAR,2 weeks ago,Be among the first 25 applicants,"Corporate Profile: The Radarr platform uses AI to convert billions of online conversations into actionable insights for brands, in real time.   Formerly known as Circus Social, Radarr is a social media intelligence and insights company that has developed a next-generation intelligence platform, 20/Twenty (www.radarr.com) to cater to the growing demand for better digital & social data analytics for marketers.  Our focus is helping clients track and achieve digital ROI, optimize campaigns and understand consumers through better digital data analytics, monitoring, and insights generation through our services.  Top brands like Coca Cola, P&G, Toyota are customers and agencies like Ogilvy, H&K, Zeno and TBWA are partners.   Who are you? We are looking for a Sales Superhero.  Being proactive, hardworking, fun and friendly are must- haves! Being comfortable with and having, Social Media, Agency and Marketing Industry knowledge would be a huge plus. Being outspoken, self-driven and enthusiastic would definitely make you stand out.   Job Description Your main responsibilities would be:  As a key salesperson on the team, you will be responsible for prospecting, cold-calling, creating opportunities and closing deals. As our main representative in the market, you will build relationships with our key customers and prospects You will also get to work closely with the tech team to grow and scale the product.  Sales Representative Job Duties: ·      Market research to look for prospects and reaching out to them ·      Building a pipeline of opportunities across products and region. ·      Build and maintain strong, long-lasting customer relationships ·      Use solution selling to engage with customers to understand their business needs and objectives ·      Effectively communicate the value proposition of Radarr through proposals and presentations ·      Achieve 100% of quota which will be agreed through consensus based on market opportunity ·      Reporting on forces that shift tactical budgets and strategic direction of accounts ·      Keep up to date with social media trends, social media monitoring, digital industry changes and more ·      Contribute in achieving client satisfaction at all touchpoints ·      Ensure Client Success is met and achieve monthly KPIs (Key Performance Indicators) ·      Work closely and collaborate with other team members to ensure best-in class end-to-end service execution ·      Contributes to team effort by accomplishing related results as needed.  Requirements: ·      Proven sales experience, meeting or exceeding targets ·      3+ years of experience as a BDM or Sales ·      Marketing or social media agency experience ·      Ability to communicate, present and influence all levels of the organization, including executive and C-level ·      Proven ability to drive the sales process from plan to close (if required) ·      Proven ability to articulate the distinct aspects of products and services ·      Proven ability to position products against competitors ·      Demonstrable experience in sales and marketing, developing client-focused, differentiated and achievable solutions ·      Excellent listening, negotiation and presentation skills ·      Excellent verbal and written communications skills ·      Experience in the media, SaaS, martech and advertising industry is preferred  What we offer: ·      A fun, fast-paced environment ·      Flexible working ·      Training & health allowance ·      Remote working with Singapore team  Who are you?  ·      Entrepreneurial. ·      Super creative. ·      Very Ambitious. ·      Collaborative and Inspirational ·      Outgoing. ·      Hungry – you want to succeed and help others along the way too. ·      Fearless. ·      Up for a challenge anytime.  We'd love someone who's proactive, curious, digitally-savvy, and insightful!",,Full-time,,
Senior Sales Representative,bp,"Shanghai, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"Job Profile Summary Grade IResponsible for delivering the indirect sales strategy and financial performance targets including Sales Volume, Gross Margin and Overdue, managing local distributor partners and intermediaries/resellers in the sales territory or geography, finding prospect partners, coaching distributors and monitoring their financial position to ensure long term sustainable value for the company. The scope of the role will influence the grade – this can include financial accountability, geographical scope, leadership responsibilities and overall level of responsibility.  Job Advert Purpose of role： The role exists to manage local top workshop partners in the sales territory. The role is accountable for delivery of the PCO IWS indirect workshop sales strategy and execution of market offer strategy. The role is also responsible of finding and developing prospect partners, and finally contribute to territory distributor’s sales performance Accountabilities Implement country PCO IWS indirect business strategy within territory by translating it into clear business plans Deliver IWS channel strategy by developing new customer and continuously improving existing customer in store share in top workshops Work closely with IWS Territory Manager and Distributor Sales team to secure and improve Castrol market share in workshop level, and finally contribute significant financial performance to distributors Leverage cross function resources and joint approach for the best outcome Develop, agree (both internally and externally) and implement the market offer strategy with the Channel partner, providing permanent support in all areas of its contents, and in particular regarding: sales capability (skills and knowledge) b. customer offer deployment, coverage and satisfaction  c. financial Return on Investment and cash flow performance  d. brand representation and compliance  e. HSSE and Ethical compliance Collect the information about the key customer database and manage the pipeline of key customer development Develop and manage the business relationship with the key customers in the area by using the tools and resources smartly to deliver the desired business results Share field findings and experience at team level, extracting comparable information Improve and deliver customer experience in targeted sectors and customer groups. Ensure delivery of our promises by seeking continuous improvement and efficiency in all operations making sure the voice of the customer is represented in every decision we make. Drive standardization of our sales offers in line with our basic customer offer Ensure that all activities conducted through 3rd parties or intermediaries in country comply fully with our own CoC and local competition legalisation. Ensure compliance with country regulations, bp Group, Segment and regional policies and standards Experience & Expertise Minimum 3 years working experience in distributor sales and management Track record of delivery of sales targets and performance Experience/track record/confidence representing the company externally and dealing professionally with distributors and workshops. Experience of managing negotiations at senior level. Capability to work independently but also skillful on teamwork. Ability to develop and implement strategic and tactical business plans. Ability to be hands on and drive the business with direct responsibility Flexibility of thought and action to be able to respond to changing market environments and dynamic business situations Adapted for frequent business travel We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.  Entity Customers & Products  Job Family Group Sales Group  Relocation available No  Travel Required Yes - up to 50%  Time Type Full time  Country China  About BP CUSTOMER AND PRODUCTS We’re gearing up for the future. At bp our goal for C&P is to deliver the future of mobility, energy and services for our customers by innovating with new business models and service platforms.  C&P will become a hub, housing our midstream, lubricants, aviation, sale of chemicals, mobility and convenience, marketing and our next-generation businesses, making it a highly integrated and interconnected organisation. And with safety being our core value, our commitment to safe and reliable operations will never change.  Want to join the team? This means: being customer-centric, agile and responsive to changing customer needs and dynamic markets focusing on growth and development of customer offers optimising the chemicals and fuels value chains to maximise integrated value contributing to the reduction of carbon intensity of the products we create, and sell, by 50% by 2050 or sooner creating strategic partnerships that drive long-term value for C&P being digitally enabled and empowered by customer insights and data to deliver solutions. Experience Level Intermediate",Associate,Full-time,Sales,Oil & Energy
Business Development Specialist - Sales，Beijing,Tesla,"Beijing, Beijing, China",1 month ago,Be among the first 25 applicants,"主要职责:  l 支持销售团队达成业务目标，负责策划并执行区域内的市场活动，包括但不限于新店开业、车展、试乘试驾活动等；  l 负责与区域内金融保险合作伙伴进行沟通和协调，并对合作项目进行管理，确保合作项目可顺利进行；  l 负责调研车主需求，与内外部团队进行合作，策划并执行车主活动，加强与车主的联系；  l 负责挖掘潜在个人/企业客户需求，通过策划和执行线上线下活动，对潜在个人/企业客户进行开发；  l 负责拓展各类资源，包括但不限于各类商户, 合作伙伴，落地项目，并有效支持区域市场目标达成；  l 其他职责：根据业务发展需要，完成管理层指定的其他工作。  任职要求：  l 本科学历或同等学位；  l 3-5年业务拓展开发，或市场活动相关工作经历；  l 优秀的商业拓展能力和商务谈判能力;  l 对数据敏感，优秀的数据分析能力和逻辑分析能力，能独立解决跨部门和跨组织的问题；  l 有较强的抗压力，能在快节奏、充满活力、结果导向的环境中工作，并能在规定限期内完成多个项目；  l 保持创业精神及高度敏感的市场嗅觉，持续推动业务发展。",Entry level,Full-time,Business Development and Sales,"Automotive, Renewables & Environment, and Utilities"
Strategic Account Sales Manager,GE Healthcare,"Taiyuan, Shanxi, China",2 weeks ago,Be among the first 25 applicants,"Job Description Summary This role will represent and act as a primary customer point of contact in the allocated accounts/territory and proactively build network with government bodies and Key Opinion Leaders as well as deep understanding of healthcare structure/players in assigned territories/accounts.GE Healthcare is a leading global medical technology and digital solutions innovator. Our mission is to improve lives in the moments that matter. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.  Job Description  Responsibilities:  Achieve sales/orders targets for sales in assigned one accounts/territory while being within the budget allocated.  Target, get access, builds relations, develop a business strategy and maximize business opportunities for all GE Healthcare businesses, products & services within allocated accounts/territory.  Represents and acts as a primary customer point of contact in the allocated accounts/territory.  Proactively build network with government bodies and Key Opinion Leaders as well as deep understanding of healthcare structure/players in assigned territories/accounts.  Coordinate indirect deals for multimodality projects and aim at maximizing share of direct deals within your territory/accounts.  In Cooperation with Modalities and Marketing drive One GE Healthcare marketing events in assigned territory. Be aware of segmentation and targeting in healthcare system , and apply relevant product benefits to each client’s segment.  Analyze market trends, competition and accounts to develop a business plan and strategy that creates new business opportunities for all GE Healthcare products & services.  Provides on-going feedback to management, modalities, services and marketing  .Leverage Product Sales Specialists, Account Managers, Service and other Company resources to provide necessary technical equipment, service or clinical content to customers.  Coordinate One GE Healthcare team on strategic accounts in order to deliver solutions that meet or exceed customer expectations.  Develop & implement plans with Zone cross functional teams to achieve results through effective project proposals, negotiations, and contracts. Grow the share of wallet in assigned accounts (GE’s share of customer investments in Capital and Operational expenditures).  Develop & maintain a high level of customer satisfaction through consistent high quality interactions with customer management, drive customer on their accounts.  Build long term strategic alliance with portfolio of accounts to continue to add value.  Promote Service offerings, identify and escalate commercial service needs  Pro-actively monitor and escalate service issues to drive customer GE policies, procedures and Operating Mechanism. Proactively participates in company initiatives depending on organizational needs and as directed by management. Ensure knowledge of and compliance of integrity and company policies.  Geographic scope: Zone (could be a territory within Zone)  Qualifications/Requirements ：  Minimum 5 years relevant healthcare industry experience  Bachelor's degree  A proven track-record of achieving and exceeding sales targets, and a desire to grow new business  Experience understanding customer needs and business drivers and using this knowledge to develop account plans and strategies (knowledge of the existing account areas/channels would be advantageous).  Excellent interpersonal skills, including teamwork and communication skills  Persistence in developing prospects and customers, and ability to close business  Strong presentation, analytical and customer service skills  Self-starter, able to manage time and organize and prioritize workload  Inclusion and Diversity   GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership – always with unyielding integrity.  Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.",Mid-Senior level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Global Sales Manager,ADP,"Pudong, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"ROLE PURPOSE   To penetrate large-scale accounts with a focus on those companies based in North Asia. The primary responsibility of the role will be to develop and manage relationships with the key stakeholders in order drive sales across the assigned accounts and territory. In addition, the Global Sales Manager will be responsible for providing consistent management, planning and reporting on their accounts.     RESPONSIBILITIES   ·       Meet or exceed assigned quota. ·       Develop annual business plan, determining sales and activity goals required for attainment of assigned quota. ·       Create consistent activity management, opportunity and account plans within Salesforce.com. ·       Prepare sales forecasts; establish targets in areas such as product mix, sales volume, market share, or business development and monitor the performance of the sales against these goals; adjust sales strategies and plans to meet changing markets and competitive conditions. ·       Broaden knowledge of company solutions and their capabilities versus the strengths/weaknesses vis-à-vis the competition. ·       Pursue large prospects and leads and negotiate terms of sales that will maximize the organization’s business interests. ·       Liaise with other departments across the organization (particularly in implementation and client services) to ensure that sales activities are integrated with other parts of the business and aligned with the overall corporate objectives. ·       Propose and implement opportunity and account plans to ensure client satisfaction, profitability, and retention through building ongoing business relationships. ·       Establish and maintain effective and constructive relationships with internal/external clients, earning trust and respect through demonstrating a consistent commitment to exceed expectations. ·       Maintain a high state of integrity and professionalism in carrying out the duties and responsibilities of this position.   QUALIFICATIONS & EXPERIENCE     ·       Bachelor degree or above ·       At least 5 years of sales experience in service outsourcing, HCM solutions and/or related software industries selling to senior-level executives. ·       At least 3 years of exposure to the North Asia region. ·       Strong financial acumen and business orientation with innovative approaches to business development. ·       Possesses BPO/HRO industry knowledge. ·       Solid proven sales record in continually achieving or exceeding assigned business revenue targets. Proven proficiency in account plan development and implementation of related sales strategies to secure large clients. ·       Strong command of English with both oral and written; second north Asia language preferred.   ·       Excellent presentation and written communication skills.",Mid-Senior level,Full-time,Business Development and Sales,Human Resources
Global Sales Manager,ADP,"Pudong, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"ROLE PURPOSE   To penetrate large-scale accounts with a focus on those companies based in North Asia. The primary responsibility of the role will be to develop and manage relationships with the key stakeholders in order drive sales across the assigned accounts and territory. In addition, the Global Sales Manager will be responsible for providing consistent management, planning and reporting on their accounts.     RESPONSIBILITIES   ·       Meet or exceed assigned quota. ·       Develop annual business plan, determining sales and activity goals required for attainment of assigned quota. ·       Create consistent activity management, opportunity and account plans within Salesforce.com. ·       Prepare sales forecasts; establish targets in areas such as product mix, sales volume, market share, or business development and monitor the performance of the sales against these goals; adjust sales strategies and plans to meet changing markets and competitive conditions. ·       Broaden knowledge of company solutions and their capabilities versus the strengths/weaknesses vis-à-vis the competition. ·       Pursue large prospects and leads and negotiate terms of sales that will maximize the organization’s business interests. ·       Liaise with other departments across the organization (particularly in implementation and client services) to ensure that sales activities are integrated with other parts of the business and aligned with the overall corporate objectives. ·       Propose and implement opportunity and account plans to ensure client satisfaction, profitability, and retention through building ongoing business relationships. ·       Establish and maintain effective and constructive relationships with internal/external clients, earning trust and respect through demonstrating a consistent commitment to exceed expectations. ·       Maintain a high state of integrity and professionalism in carrying out the duties and responsibilities of this position.   QUALIFICATIONS & EXPERIENCE     ·       Bachelor degree or above ·       At least 5 years of sales experience in service outsourcing, HCM solutions and/or related software industries selling to senior-level executives. ·       At least 3 years of exposure to the North Asia region. ·       Strong financial acumen and business orientation with innovative approaches to business development. ·       Possesses BPO/HRO industry knowledge. ·       Solid proven sales record in continually achieving or exceeding assigned business revenue targets. Proven proficiency in account plan development and implementation of related sales strategies to secure large clients. ·       Strong command of English with both oral and written; second north Asia language preferred.   ·       Excellent presentation and written communication skills.",Mid-Senior level,Full-time,Business Development and Sales,Human Resources
Senior Sales Representative,bp,"Zhengzhou, Henan, China",2 weeks ago,Be among the first 25 applicants,"Job Profile Summary Grade IResponsible for delivering the indirect sales strategy and financial performance targets including Sales Volume, Gross Margin and Overdue, managing local distributor partners and intermediaries/resellers in the sales territory or geography, finding prospect partners, coaching distributors and monitoring their financial position to ensure long term sustainable value for the company. The scope of the role will influence the grade – this can include financial accountability, geographical scope, leadership responsibilities and overall level of responsibility.  Job Advert Job Purpose The role is accountable for delivery of shared business objectives in the given portfolio, including Volume and GM performance targets, as well as other activation targets like in-store penetration, share of wallet and training etc.. An information source of the latest “voice of customer”, the competitor activities and the change of local market. Key Accountabilities Workshop development: Work with Key Account sales team and planning team to define a local area business plan including target workshops, coverage, sales target, activities etc. Understand Key Account sales contract terms, policy and agreed offer Prepare specific workshop value selling offer and sell to the target customer. Workshop management: Understand, build relationship with, and influence customer in order to gain commitment for the activities proposed. Implement activities aligned to customer needs and company strategy to maintain the good relationship with existing customers. Actively defends and grows existing customer share of wallet through needs based and effective use of our offer. Holds regular meetings to agree and track KPIs with customers. Coordinate with Key Account team on workshop activation planning for responsible area Manage designated service provider for workshop activation if needed. Customer and market insights: manage an updated database and maintain close relationship locally. Understand customer needs and competitor’s approach and provide feedback to company. Represent “voice of customer” in the company in order to improve our approach. Requirements Bachelor’s degree, with major of sales & marketing related is preferred. At least 3-5 years sales & marketing experience. More than 2 years sales & marketing experience, automotive aftermarket experience is plus; Demonstrated track record of driving growth in a very competitive market environment; Working experience in Lubes industry is preferred. Good at building up relationship with customers Strong implementation capability and customer management capabilities Coordination skill to ensure the teamwork of various partners in delivery of effective trade-up programs. Able to translate customer needs into customer propositions, and to sell into the customer and business in a persuasive way We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.  Entity Customers & Products  Job Family Group Sales Group  Relocation available No  Travel Required Yes - up to 75%  Country China  About BP CUSTOMER AND PRODUCTS We’re gearing up for the future. At bp our goal for C&P is to deliver the future of mobility, energy and services for our customers by innovating with new business models and service platforms.  C&P will become a hub, housing our midstream, lubricants, aviation, sale of chemicals, mobility and convenience, marketing and our next-generation businesses, making it a highly integrated and interconnected organisation. And with safety being our core value, our commitment to safe and reliable operations will never change.  Want to join the team? This means: being customer-centric, agile and responsive to changing customer needs and dynamic markets focusing on growth and development of customer offers optimising the chemicals and fuels value chains to maximise integrated value contributing to the reduction of carbon intensity of the products we create, and sell, by 50% by 2050 or sooner creating strategic partnerships that drive long-term value for C&P being digitally enabled and empowered by customer insights and data to deliver solutions. Experience Level Intermediate",Associate,Full-time,Sales,Oil & Energy
Sales Professional - Global Inside Sales,BT,"Shanghai, China",4 weeks ago,Be among the first 25 applicants,"Why this role  Design to be a true growth engine for GS, that consistently delivers a high volume of highly profitable sales, through enthusiastic, skilled and knowledgeable people’s drive to meet the needs of our customers. Specifically delivering: Volume sales to an assigned set of accounts; supporting vertical field teams and/or direct ownership of accounts aligned to inside sales team New Business, Growth and high margin contract value based on a defined scope of accounts/customers Build and maintain strong relationships with both internal and external customers Secure and defend existing revenues Develop and grow account base, cross-sell, up-sell, proactive lead generation  Scope  Outbound calling/messaging to drive pipeline. Identify key contacts, trends, and messaging to be used to support discussions. On specific accounts within sub-verticals, support the end to end account management ofcustomer. Support any marketing/campaign planning to help develop leads and drive the leads to opportunities within customer base. Responsible for achieving quarterly and annual targets based on defined set accounts and objectives set by the business. Generate new leads via customer relationships, campaigns and pro-active working and record on SFDC. Adhere to corporate guidelines (CCA rules) and ensure opportunities are managed in a professional and compliant way. Manage indivdual pipeline on SFDC to provide accurate forecasts and pipeline management. Ensure customers are managed professionally and proactively while building and expanding relationships with key contacts and influencers through regular, proactive contact. Utilise specialist resource on complex opportunities, where needed Take responsibility for product knowledge and market awareness in order to effectively advise customers Resolve customer issues and dissatisfaction swiftly, through effective engagement and hand-off with appropriate internal departments to maintain customer satisfaction Ensure close working relationships with the account virtual team to ensure a ‘One BT approach’ is evident to key account contacts  Skills required  Ability to cross-sell, up-sell opportunities Commercial awareness Basic product and solution knowledge of telecom industry; network, unifed communications, and security Basic understanding of competitive landscape Multi-lingual, depending on country Customer relationship skills Strong verbal and written communication skills Proficient experience with CRM software (e.g. Salesforce, LinkedIn, etc.) and MS Office Ability to work independently or as an active member of a team Self-motivated and self-directed Able to multitask, prioritize, and manage time efficiently Previous sales and/or account management experience Proficient experience with CRM software (e.g. Salesforce, LinkedIn, etc.) and MS Office Strong verbal and written communication skills Fluent English speaker Multi-lingual depending on region/country could be required Basic product and solution knowledge of telecom industry; network, unifed communications, and security",Associate,Full-time,Sales and Business Development,"Telecommunications, Computer Networking, and Information Technology and Services"
