jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Key Account Manager - JD Direct,the LEGO Group,"Shanghai, Shanghai, China",1 week ago,47 applicants,"Are you passionate in building the future of LEGO e-Commerce in China?  To support e-commerce long-term growth, we need an Key Account Manager for JD.com, who is responsible for both on strategic level as well as on tactical and operational level.   Core Responsibilities  EC Business Development  To support e-commerce long-term business growth, we are seeking for a Key Account Manager to take care of JD.com (JD Direct 自营) business management, who operates both on a strategic level as well as on tactical and operational level.  PSI Management   Responsible for planning and managing full year demand plan. Responsible for weekly stock sell in and client’s handshake management.   Portfolio Management   Responsible for planning and managing full year portfolio plan and achieve theme line sales target. Provide product level insight to KAM for business decision.   Budget Management   Manage JD.com full expense including expense planning, application, progress tracking and also communicating and negotiating with clients.   Daily Routine Coordination   Responsible for daily communicating and negotiating with clients. Coordinate with internal supporting segment about daily routines including order management, product demand and expense claim etc.   Play your part in our team succeeding  The key objective of the Key Account Manager to further develop the joint business and partnership with customers. This requires a strong partnership with our clients, and customer focus with an ecommerce insight driven approach identifying and winning new commercial opportunities, in order to create value for both LEGO and our retail partners.  LEGO China is leading and driving the Customer growth strategy and business objectives. The ecommerce team is building a sustainable and healthy business platform. We coordinate and collaborate with multi-functional resources to ensure synergy and coherence. China eCommerce plays a key role in presenting LEGO brand on different eCommerce platform and creating best in class online shopper experiences. We serve as trusted partners, decision making through our valued eCommerce insight and expertise.  Do you have what it takes?   Bachelor’s degree, in a business-related field preferred Strong business understanding of the online market Strategic perspective combined with strong executional skills Excellent communication skills Excellent ability to build long lasting relations Excellent negotiation skills Strong analytical capabilities, expertise in driving online operation KPI People management experience is an advantage Some domestic travel required IT skills Excellent user of MS Office tools, especially Excel, PPT Must be fluent in both written and spoken English   Join the global LEGO® family  Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued and they belong.  The LEGO Group is proud to be an equal opportunity and an affirmative action employer. We are committed to equal employment opportunity and equal pay regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.  We support our employees in being there for the moments that matter in life and celebrate families of all kinds, the loved ones that make us who we are. Being part of the LEGO Group also means taking part in our annual Play Day, playing a part in building a sustainable future and continuing our mission to “inspire and develop the builders of tomorrow.”  The LEGO Group is fully committed to Children’s Rights and Child Wellbeing across the globe. Candidates offered positions with high engagement with children are required to take part in Child Safeguarding Background Screening, as a condition of the offer.  Thank you for sharing our global commitment to Children’s Rights.  Build your career brick by brick at the LEGO Group.",Associate,Full-time,"Project Management, Business Development, and Product Management",Consumer Goods
Key Account Manager,Bayer,"Shanghai, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.  Key Account Manager  MAIN TASKS AND RESPONSILIBITIES Provide routine visits to key stakeholders in health management governments and hospitals, especially hospital director & Pharmacy head. Build/update data-base of key stakeholders in hospitals, and monthly report to KA Management. Implement company projects on targeted stakeholders smoothly and effectively, build up strong partnership with Key Accounts in region, and build good Bayer Brand Image. Obtain feedback and information from stakeholders and project participants timely and provide suggestion to HQ for on-going or future improvement Cooperate closely with local Sales teams, sharing information and project progress, cooperate in drug listing, removing amount limitation, andavoiding stopping prescription Cooperate closely with local Sales teams and Marketing teams in bidding and reimbursement affairs Receive and implement the assignment/tasks required by KA and company management Who You Are 2 years or more experience as District Sales Manager or KA Manager Excellent performance record Good skill and experience in communication and negotiation and good stakeholder management skill Good at Strategic thinking, planning and implementation Good collaboration with people internal and external Customer service oriented Be proficiency in computer skill YOUR APPLICATION  If your background and personal experience fit this profile, please send us your complete application at www.career.bayer.cn If you have any recommendations, please kindly send mail to cnreferral@bayer.com  L ocation:  China : ShangHai : ShangHai  Division:  Pharmaceuticals  Reference Code:  488701",Associate,Full-time,Sales and Business Development,"Chemicals, Pharmaceuticals, and Biotechnology"
Key Account Specialist,bp,"Xi'an, Shaanxi, China",2 weeks ago,Be among the first 25 applicants,"Job Profile Summary Grade HResponsible for managing regional direct sales activities, delivering the strategic plan to meet the business' growth aspirations and supporting the development of sales direct/B2B strategies to maximise profitability and Business to Business (B2B) sales opportunities. The scope of the role will influence the grade – this can include financial accountability, geographical scope, leadership responsibilities and overall level of responsibility.  Job Advert Key Accountabilities： Accountable for financial delivery – Volume, Turnover and Cash results from the assigned Key accounts  Construct and understand the overall KA contact map; build strong relationship with senior management team through various event, meeting, and work shops  Build and maintain a strong pipeline of accounts to deliver volume, NTO & new customer acquisition objectives. Utilize CRM to document customer activities’  Interact with regional sales and function team to deliver and modify the value proposition designed for the KAs (include but not limited to product, application, service, strategy alliance, co-development, and senior strategy partnership), and ultimately bring sustainable and profitable growth to Castrol Industrial  Set growth target for each key account and highlight resource plan for the execution; develop and keep strategic account plan up to date  Design achievement for each growth project with clear growth target; Project manage these landmarks with high effectiveness by utilizing project management principles and engaging different partners  Connect with both external and internal partners on progress, barriers, and resource concerns; be resourceful to bring to bear resources to solve problems so as to move the project forward  Keep informed about the industry trend, customer insight, and technology developments; communicate these findings properly through different channel so to enhance the total offer for the key accounts and secure internal resources (include but not limited to new product development and total offer enhancement)  Work closely with peers and Global Key account managers to delver specific agreed KPIs  Ensure all the business activities conform to BP’s code of conduct, country legislative requirements as well as BP strict Health, Safety and Environment policies  Requirements： Minimum Science / Engineering Graduate with business degree preferred 10 + years of experience in Sales / Marketing including exposure to Industrial product sales 5 + years in managing relationships in large accounts – National / Transnational Account strategy & business planning Negotiating Value Internal functional navigation in the service of customer We are an equal opportunity employer and value diversity at our company. We do not discrimin ate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.  Entity Customers & Products  Job Family Group Sales Group  Relocation available No  Travel Required Yes - up to 50%  Time Type Full time  Country China  About BP CUSTOMER AND PRODUCTS We’re gearing up for the future. At bp our goal for C&P is to deliver the future of mobility, energy and services for our customers by innovating with new business models and service platforms.  C&P will become a hub, housing our midstream, lubricants, aviation, sale of chemicals, mobility and convenience, marketing and our next-generation businesses, making it a highly integrated and interconnected organisation. And with safety being our core value, our commitment to safe and reliable operations will never change.  Want to join the team? This means: being customer-centric, agile and responsive to changing customer needs and dynamic markets focusing on growth and development of customer offers optimising the chemicals and fuels value chains to maximise integrated value contributing to the reduction of carbon intensity of the products we create, and sell, by 50% by 2050 or sooner creating strategic partnerships that drive long-term value for C&P being digitally enabled and empowered by customer insights and data to deliver solutions. Experience Level Intermediate",Associate,Full-time,Sales,Oil & Energy
Key Account Manager,Bayer,"Wuhan, Hubei, China",2 weeks ago,Be among the first 25 applicants,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.  Key Account Manager  Your Tasks And Responsibilities Provide routine visits to key stakeholders in health management governments and hospitals, especially hospital director & Pharmacy head. Build/update data-base of key stakeholders in hospitals, and monthly report to KA Management. Implement company projects on targeted stakeholders smoothly and effectively, build up strong partnership with Key Accounts in region, and build good Bayer Brand Image. Obtain feedback and information from stakeholders and project participants timely and provide suggestion to HQ for on-going or future improvement Cooperate closely with local Sales teams, sharing information and project progress, cooperate in drug listing, removing amount limitation, and avoiding stopping prescription Cooperate closely with local Sales teams and Marketing teams in bidding and reimbursement affairs Receive and implement the assignment/tasks required by KA and company management Who You Are 2 years or more experience as District Sales Manager or KA Manager Excellent performance record Good skill and experience in communication and negotiation and good stakeholder management skill Good at Strategic thinking, planning and implementation Good collaboration with people internal and external Customer service oriented Be proficiency in computer skill YOUR APPLICATION  If your background and personal experience fit this profile, please send us your complete application at www.career.bayer.cn If you have any recommendations, please kindly send mail to cnreferral@bayer.com  L ocation:  China : Hu Bei : WuHan  Division:  Pharmaceuticals  Reference Code:  488801",Associate,Full-time,Sales and Business Development,"Chemicals, Pharmaceuticals, and Biotechnology"
Senior Sales Representative,bp,"Shanghai, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"Job Profile Summary Grade IResponsible for delivering the indirect sales strategy and financial performance targets including Sales Volume, Gross Margin and Overdue, managing local distributor partners and intermediaries/resellers in the sales territory or geography, finding prospect partners, coaching distributors and monitoring their financial position to ensure long term sustainable value for the company. The scope of the role will influence the grade – this can include financial accountability, geographical scope, leadership responsibilities and overall level of responsibility.  Job Advert Purpose of role： The role exists to manage local top workshop partners in the sales territory. The role is accountable for delivery of the PCO IWS indirect workshop sales strategy and execution of market offer strategy. The role is also responsible of finding and developing prospect partners, and finally contribute to territory distributor’s sales performance Accountabilities Implement country PCO IWS indirect business strategy within territory by translating it into clear business plans Deliver IWS channel strategy by developing new customer and continuously improving existing customer in store share in top workshops Work closely with IWS Territory Manager and Distributor Sales team to secure and improve Castrol market share in workshop level, and finally contribute significant financial performance to distributors Leverage cross function resources and joint approach for the best outcome Develop, agree (both internally and externally) and implement the market offer strategy with the Channel partner, providing permanent support in all areas of its contents, and in particular regarding: sales capability (skills and knowledge) b. customer offer deployment, coverage and satisfaction  c. financial Return on Investment and cash flow performance  d. brand representation and compliance  e. HSSE and Ethical compliance Collect the information about the key customer database and manage the pipeline of key customer development Develop and manage the business relationship with the key customers in the area by using the tools and resources smartly to deliver the desired business results Share field findings and experience at team level, extracting comparable information Improve and deliver customer experience in targeted sectors and customer groups. Ensure delivery of our promises by seeking continuous improvement and efficiency in all operations making sure the voice of the customer is represented in every decision we make. Drive standardization of our sales offers in line with our basic customer offer Ensure that all activities conducted through 3rd parties or intermediaries in country comply fully with our own CoC and local competition legalisation. Ensure compliance with country regulations, bp Group, Segment and regional policies and standards Experience & Expertise Minimum 3 years working experience in distributor sales and management Track record of delivery of sales targets and performance Experience/track record/confidence representing the company externally and dealing professionally with distributors and workshops. Experience of managing negotiations at senior level. Capability to work independently but also skillful on teamwork. Ability to develop and implement strategic and tactical business plans. Ability to be hands on and drive the business with direct responsibility Flexibility of thought and action to be able to respond to changing market environments and dynamic business situations Adapted for frequent business travel We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.  Entity Customers & Products  Job Family Group Sales Group  Relocation available No  Travel Required Yes - up to 50%  Time Type Full time  Country China  About BP CUSTOMER AND PRODUCTS We’re gearing up for the future. At bp our goal for C&P is to deliver the future of mobility, energy and services for our customers by innovating with new business models and service platforms.  C&P will become a hub, housing our midstream, lubricants, aviation, sale of chemicals, mobility and convenience, marketing and our next-generation businesses, making it a highly integrated and interconnected organisation. And with safety being our core value, our commitment to safe and reliable operations will never change.  Want to join the team? This means: being customer-centric, agile and responsive to changing customer needs and dynamic markets focusing on growth and development of customer offers optimising the chemicals and fuels value chains to maximise integrated value contributing to the reduction of carbon intensity of the products we create, and sell, by 50% by 2050 or sooner creating strategic partnerships that drive long-term value for C&P being digitally enabled and empowered by customer insights and data to deliver solutions. Experience Level Intermediate",Associate,Full-time,Sales,Oil & Energy
Key Account Manager,Bayer,"Zhengzhou, Henan, China",2 weeks ago,Be among the first 25 applicants,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.  Key Account Manager  Your Tasks And Responsibilities Provide routine visits to key stakeholders in health management governments and hospitals, especially hospital director & Pharmacy head. Build/update data-base of key stakeholders in hospitals, and monthly report to KA Management. Implement company projects on targeted stakeholders smoothly and effectively, build up strong partnership with Key Accounts in region, and build good Bayer Brand Image. Obtain feedback and information from stakeholders and project participants timely and provide suggestion to HQ for on-going or future improvement Cooperate closely with local Sales teams, sharing information and project progress, cooperate in drug listing, removing amount limitation, and avoiding stopping prescription Cooperate closely with local Sales teams and Marketing teams in bidding and reimbursement affairs Receive and implement the assignment/tasks required by KA and company management Who You Are 2 years or more experience as District Sales Manager or KA Manager Excellent performance record Good skill and experience in communication and negotiation and good stakeholder management skill Good at Strategic thinking, planning and implementation Good collaboration with people internal and external Customer service oriented Be proficiency in computer skill YOUR APPLICATION  If your background and personal experience fit this profile, please send us your complete application at www.career.bayer.cn If you have any recommendations, please kindly send mail to cnreferral@bayer.com  L ocation:  China : He Nan : ZhengZhou  Division:  Pharmaceuticals  Reference Code:  488681",Associate,Full-time,Sales and Business Development,"Chemicals, Pharmaceuticals, and Biotechnology"
Account Executive,Procter & Gamble,"Shanghai, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"Description Lead category end to end business management including： 1）Design and execute annual sales plan. 2）Sell-in/sell-through and execution. 3）Deliver sales targets. Build positive relationship with customers and build values to both customers and company via joint business planning. Own business analysis, including but not limit to sales data analysis, issue solution and gap closing plan. Description Lead category end to end business management including： 1）Design and execute annual sales plan. 2）Sell-in/sell-through and execution. 3）Deliver sales targets. Build positive relationship with customers and build values to both customers and company via joint business planning. Own business analysis, including but not limit to sales data analysis, issue solution and gap closing plan. Qualifications: Bachelor's degree or above. Excellent selling and customer engagement skills. Strong partnership and collaboration with others. Fluent in English written & verbal communication. FMCG experience for on-line and off-line is preferred with Key Account Management experience.",Associate,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Consumer Goods"
Sales Representative II,Abbott,"Guangzhou, Guangdong, China",,Be among the first 25 applicants,"Major Responsibilities Take charge in promotion of diabetic products in target area, and realize sales target of the company. Client management in the target area, including filing and updating client data, maintaining client relations, and utilizing resources of the company in a reasonable manner. Complete various statements required by the company. Collect information of the rivals in the area. Observe OEC policy of the company in a strict manner, and effectively implement the marketing plan. Minimum Education Required  Associate degree or above, medicine, pharmacy or related field preferred  Minimum Experience Required 2 years or above sales experience in pharmaceuticals or medical devices, work experience in foreign companies preferred. Excellent sales sense and strong capacity of judgment as well. Good communication and language skills. Love sales, responsible and be able to bear pressure. Team spirit, be able to bear hardships and stand hard work.",Associate,Full-time,Sales,Hospital & Health Care
Senior Sales Representative,bp,"Zhengzhou, Henan, China",2 weeks ago,Be among the first 25 applicants,"Job Profile Summary Grade IResponsible for delivering the indirect sales strategy and financial performance targets including Sales Volume, Gross Margin and Overdue, managing local distributor partners and intermediaries/resellers in the sales territory or geography, finding prospect partners, coaching distributors and monitoring their financial position to ensure long term sustainable value for the company. The scope of the role will influence the grade – this can include financial accountability, geographical scope, leadership responsibilities and overall level of responsibility.  Job Advert Job Purpose The role is accountable for delivery of shared business objectives in the given portfolio, including Volume and GM performance targets, as well as other activation targets like in-store penetration, share of wallet and training etc.. An information source of the latest “voice of customer”, the competitor activities and the change of local market. Key Accountabilities Workshop development: Work with Key Account sales team and planning team to define a local area business plan including target workshops, coverage, sales target, activities etc. Understand Key Account sales contract terms, policy and agreed offer Prepare specific workshop value selling offer and sell to the target customer. Workshop management: Understand, build relationship with, and influence customer in order to gain commitment for the activities proposed. Implement activities aligned to customer needs and company strategy to maintain the good relationship with existing customers. Actively defends and grows existing customer share of wallet through needs based and effective use of our offer. Holds regular meetings to agree and track KPIs with customers. Coordinate with Key Account team on workshop activation planning for responsible area Manage designated service provider for workshop activation if needed. Customer and market insights: manage an updated database and maintain close relationship locally. Understand customer needs and competitor’s approach and provide feedback to company. Represent “voice of customer” in the company in order to improve our approach. Requirements Bachelor’s degree, with major of sales & marketing related is preferred. At least 3-5 years sales & marketing experience. More than 2 years sales & marketing experience, automotive aftermarket experience is plus; Demonstrated track record of driving growth in a very competitive market environment; Working experience in Lubes industry is preferred. Good at building up relationship with customers Strong implementation capability and customer management capabilities Coordination skill to ensure the teamwork of various partners in delivery of effective trade-up programs. Able to translate customer needs into customer propositions, and to sell into the customer and business in a persuasive way We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.  Entity Customers & Products  Job Family Group Sales Group  Relocation available No  Travel Required Yes - up to 75%  Country China  About BP CUSTOMER AND PRODUCTS We’re gearing up for the future. At bp our goal for C&P is to deliver the future of mobility, energy and services for our customers by innovating with new business models and service platforms.  C&P will become a hub, housing our midstream, lubricants, aviation, sale of chemicals, mobility and convenience, marketing and our next-generation businesses, making it a highly integrated and interconnected organisation. And with safety being our core value, our commitment to safe and reliable operations will never change.  Want to join the team? This means: being customer-centric, agile and responsive to changing customer needs and dynamic markets focusing on growth and development of customer offers optimising the chemicals and fuels value chains to maximise integrated value contributing to the reduction of carbon intensity of the products we create, and sell, by 50% by 2050 or sooner creating strategic partnerships that drive long-term value for C&P being digitally enabled and empowered by customer insights and data to deliver solutions. Experience Level Intermediate",Associate,Full-time,Sales,Oil & Energy
Sales Professional - Global Inside Sales,BT,"Shanghai, China",4 weeks ago,Be among the first 25 applicants,"Why this role  Design to be a true growth engine for GS, that consistently delivers a high volume of highly profitable sales, through enthusiastic, skilled and knowledgeable people’s drive to meet the needs of our customers. Specifically delivering: Volume sales to an assigned set of accounts; supporting vertical field teams and/or direct ownership of accounts aligned to inside sales team New Business, Growth and high margin contract value based on a defined scope of accounts/customers Build and maintain strong relationships with both internal and external customers Secure and defend existing revenues Develop and grow account base, cross-sell, up-sell, proactive lead generation  Scope  Outbound calling/messaging to drive pipeline. Identify key contacts, trends, and messaging to be used to support discussions. On specific accounts within sub-verticals, support the end to end account management ofcustomer. Support any marketing/campaign planning to help develop leads and drive the leads to opportunities within customer base. Responsible for achieving quarterly and annual targets based on defined set accounts and objectives set by the business. Generate new leads via customer relationships, campaigns and pro-active working and record on SFDC. Adhere to corporate guidelines (CCA rules) and ensure opportunities are managed in a professional and compliant way. Manage indivdual pipeline on SFDC to provide accurate forecasts and pipeline management. Ensure customers are managed professionally and proactively while building and expanding relationships with key contacts and influencers through regular, proactive contact. Utilise specialist resource on complex opportunities, where needed Take responsibility for product knowledge and market awareness in order to effectively advise customers Resolve customer issues and dissatisfaction swiftly, through effective engagement and hand-off with appropriate internal departments to maintain customer satisfaction Ensure close working relationships with the account virtual team to ensure a ‘One BT approach’ is evident to key account contacts  Skills required  Ability to cross-sell, up-sell opportunities Commercial awareness Basic product and solution knowledge of telecom industry; network, unifed communications, and security Basic understanding of competitive landscape Multi-lingual, depending on country Customer relationship skills Strong verbal and written communication skills Proficient experience with CRM software (e.g. Salesforce, LinkedIn, etc.) and MS Office Ability to work independently or as an active member of a team Self-motivated and self-directed Able to multitask, prioritize, and manage time efficiently Previous sales and/or account management experience Proficient experience with CRM software (e.g. Salesforce, LinkedIn, etc.) and MS Office Strong verbal and written communication skills Fluent English speaker Multi-lingual depending on region/country could be required Basic product and solution knowledge of telecom industry; network, unifed communications, and security",Associate,Full-time,Sales and Business Development,"Telecommunications, Computer Networking, and Information Technology and Services"
