jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
National Sales Manager,Wyser,China,4 weeks ago,Over 200 applicants,"Title: National Sales Manager For one well-known International Brand in consumer goods industry.  Major responsibility Information: National Sales management Business Development, Existing Business Maintenance, Channels development, Team Management, etc. Develop and execute targeted “white space” opportunities for greater penetration of the client’s marketing or new product lines. Seeks to increase revenue by translating client's challenges into opportunities to sell products and services across the company portfolio and drive revenue growth Leads the development and delivery of innovative proposals to capture both account growth and new business opportunities Consultative Selling Skills （Drive salse/Maintain Relationship with clients in a decent way） Effective & Efficient Presentation Skills Solid Sales Experience in Consumer Goods/Consumer Electronics/Home Applainces/Furniture, etc. area Team Work, Communication Cross-Function, Proactive, Open-Mind Good communication and negotiation skills Well-organized, proactive and open-minded Good English communication skills College Degree or above",Director,Full-time,"Sales, Business Development, and Management","Consumer Electronics, Consumer Goods, and Furniture"
Head Of Sales,Yodo1 Games,"Beijing, China",3 months ago,Be among the first 25 applicants,"Please read carefully; use the URL to apply. https://airtable.com/shrvSCzwSFg7zquyd?prefill_Role+ID=162&prefill_Source+Reference=LinkedIn-CN   Location: Remote from Anywhere  What is Yodo1's MAS and why should I care?   MAS is a Managed Ad Services platform that’s changing the game for developers. See it for yourself in this 5-minute video: bit.ly/yodo1MAS  MAS is the core of what we do at Yodo1: helping mobile game developers turn their titles into scalable business. Today, the platform is helping thousands of developers around the world maximize mobile game monetization. Our singular focus for 2021 is rapidly scaling up this user base and turning passion into livelihood for many thousands more.   If you care about this as much as we do, we want you on our team.  Right now we are hiring a Head of Sales to lead the new MAS sales teams and drive the exponential growth of our customer base and revenue.  Opportunities When you join the Yodo1 team, you will have the opportunity to learn and grow by: Leading a diverse, international team and developing cross-cultural management skills;  Working with leaders and experts from our platform and publishing departments, taking part in strategic decisions;  Gaining a wealth of knowledge on a fast-growing industry, identifying the unique pain points developers face, and driving game-changing solutions.   Responsibilities Managing our two sales teams, each with their own leader reporting directly to you;  Working with our operations manager to generate simple but insightful reports that show the health and progress of your business and presenting weekly;  Working on the top and the bottom of the funnel in order to increase the number of calls and closing ratio; Cooperating with our leads generation team to run continuous improvements; Talking to developers, learning first-hand what they care about and taking your insights back to the team to drive growth.   Requirements Proven sales experience: Minimum 2 years of meeting or exceeding sales targets;  Proven experience leading a team of five or more people; Proven experience scaling up a team or a process. Yodo1 is on the fast-track to expansion; if you think scalably, you’ll advance quickly; Experience in the gaming industry is not required but is a plus, as is experience at a SaaS company; Strong ability to communicate and present your ideas. You’ll be working with colleagues and clients in multiple countries and must be able to communicate clearly, concisely, and proactively.  We pay based on qualifications, experience, and fit for the role. Apply now to change the game for game developers.     Please use this URL to submit your application:  https://airtable.com/shrvSCzwSFg7zquyd?prefill_Role+ID=162&prefill_Source+Reference=LinkedIn-CN",,Full-time,,
Head of Sales,Wyser,"Shanghai, China",3 months ago,Be among the first 25 applicants,"Client Introduction:  Italian company, one the the largest manufacturer and distributor of specialty dessert ingredient solutions.  Key Responsibilities:  Regional commercial Head taking care of Greater China region, Japan and Korea. New customer acquisition, Key Account maintainence, Direct Selling on the field, Chanel Sales management, evaluation and supervision of the distributors. Market Research and margin analysis. Localized sales strategy and development. Future scope of Pastry Technical demonstrator or country manager.  Ideal Profiles:  At least 5 years experience in the sector of ingredients for pastry, ice cream or other food, Cafeteria or Bakery etc. Experience in selling on the field will be preferred Bachelor Degree Excellent interpersonal and communication skills A self-starter and adaptable to changing and dynamic business environment Able to work independetnly or collaboratively Culture awareness Preferable experienced in working with Italian companies. Fluency in Chinese and english speaking, Italian is preferred.  What we offer:  Opportunties in growing business from the scratch Fix term contract, or intrim contract at will Competetive Annual salary Car will be provided Allowances",Director,Full-time,"Business Development, Sales, and Customer Service",Food & Beverages and International Trade and Development
"Country Sales Head, SMB",Surrienta Consulting,"Shanghai, China",4 months ago,Be among the first 25 applicants,"Responsibilities: Strong Track Record – The candidate will have a strong successful track record to entering / penetrating new markets. In addition, the candidate will demonstrate proven success of building a strong team and executing a go-to-market plan. Lastly, the candidate will have a demonstrated aptitude for both operating and thinking strategically while also being willing to “roll up the sleeves” and get into the details and work directly with customers when appropriate. Strategic Focus - The candidate will acquire a strong understanding of ecommerce import and export space – ecosystem, key stakeholders, business payments, and payment opportunities. Problem Solving – The candidate will have strong problem-solving capabilities. Entering a new market with many moving parts / uncertainties is not easy. The candidate has to thrive in such environments and have the ability to build / design solutions, value propositions, and pitch presentations to enable a large sales team. Collaborative – The candidate will work closely with SUPPORT sales, product development, marketing, etc., “land and expand” his / her go-to-market strategy. Extremely Data Centric – The candidate will provide timely, accurate, and useful analyses concerning the status of the new business verticals, including progress against  Professional Experience & Qualifications A minimum of ten (10) years of progressive service experience in various B2B organizations, of which at least five (5) years in a director role. Demonstrated success is a requirement in these roles. Experience within a global organization and working with customers of a variety of sizes around the world, including North America, Europe, China, and Latin America. An aptitude for project management (concurrent projects) and developing scalable systems and processes to manage high-growth while enhancing the customer experience. An aptitude for balancing resource constraints, budgeting, and “raising the bar” on quality and service delivery. A working knowledge of either e-commerce or payment industries. A keen sense of ethics and integrity.  Leadership Characteristics Knows the business and the mission-critical technical and functional skills needed to do the job; understands various types of business propositions and understands how businesses operate in general; learns new methods and technologies easily. Strong commitment to a data driven environment and emphasis on performance management. Inspires the team to become customer centric and committed to excellence. Can solve even the toughest and most complex of problems; great at gleaning meaning from whatever data is available; is a quick study of the new and different; adds personal wisdom and experience to come to the best conclusion and solution, given the situation; uses multiple problem-solving tools and techniques. Is well organized, resourceful, and planful; effective and efficient at marshaling multiple resources to get things done; lays out tasks in sufficient detail to mark the trail; is able to get things done with less and in less time; can work on multiple tasks at once without losing track; foresees and plans around obstacles. Fearlessly takes on all issues, challenges, and people; comfortably confronts and works through conflict; delivers negative feedback and messages without hesitation; deals promptly and fairly with problem performers; lets everyone know where they stand; thrives in crises and is energized by tough challenges; not afraid to make negative decisions and take tough action; challenges the status quo. Attacks everything with drive and energy with an eye on the bottom line; not afraid to initiate action before all the facts are known; drives to finish everything he/she starts. Writes and presents effectively; adjusts to fit the audience and the message; strongly gets a message across. Is a person of high character; is consistent and acts in line with a clear and visible set of values and beliefs; deals and talks straight; walks his/her talk; is direct and truthful but at the same time can keep confidences.  Please send us your updated resume for more detailed discussion. Email: renee.yang@surrienta.com",,Full-time,,
Sales Strategy Manager,Johnson & Johnson China,"Shanghai, China",3 weeks ago,Be among the first 25 applicants,"The sales strategy manager contributes to the company’s objectives by leading the channel strategy, acting as the main point of contact for the brand team and by leading the business intelligence & analytics efforts. This role leads a team of 4 people being responsible for coaching and developing them at the same time he or she guarantees the creation and deployment of annual channel plans & strategies for growth aligned to the company LRFP roadmap. Complex by nature it involves the deep knowledge of the China pharmaceutical market landscape, critical key stakeholder development and deep collaboration with internal stakeholders to guarantee the channel/customers’ needs are taken into consideration during company planning process and product development.  Responsibilities：  o Lead the development of our long-term channel management vision by incorporating insights both by brand, customer, and channel, working closely with customers to drive joint business plans and delivering innovative thinking. o High level of understanding of the patients/TA insights and category. Working in close collaboration with marketing and sales to identify future channel trends and to develop channel growth drivers. o Lead the channel strategy development and keep governance on execution for ANZ. o Ability to shape the business intelligence area/capability making sure meaningful insights and intel are provided to the commercial team to drive better results. o Benchmark external practice for ongoing enhancements and innovations  o Contribute to building organizational capability in advanced analytics by identifying opportunities for connection and leverage of data sets, identifying further potential data sets as well as strategic input around areas for innovation and proof of concept testing o Set strategic direction for the Sales Strategy and Operations team o Coach, develop and support the team’s growth while accelerating the development of key talent. Proactively maintain external networks with a view to identifying high potential talent  Qualifications  o  Fluent English in speak/writing o  Demonstrated financial acumen and ability to translate this to effective business decision making o  A genuine and comfortable people leader with a demonstrated track record of people development and leadersh o  Experience working in a matrix environment and cross functional teams o  Experience working with global organization and collaborating with global or regional groups is a plus",Director,Full-time,Sales and Strategy/Planning,"Hospital & Health Care, Consumer Goods, and Pharmaceuticals"
Sales Director,Encore APAC,"Beijing, China",1 month ago,Be among the first 25 applicants,"The ideal candidate will be responsible for overseeing the Sales teams' operations and strategies. By researching market trends and conducting competitor analysis, you will develop and implement sales strategies.  The candidate will report to Regional General Manager based in Sydney, and lead a business department of 30 colleagues in Beijing & Shanghai.  Responsibilities Develop and implement sales strategies Lead a sales team of 10 to win new clients and cases Assist General Manager to update internal processes Prepare operational and financial sales department reports Oversee the management, learning, and career development of the sales team Directly coordinate cross-selling and joint marketing initiatives to maximize exposure and profitability  Qualifications Bachelor's degree or equivalent experience Fluent in both Chinese and English 3+ years' of sales leadership experience 10+ years' of experience in sales Strong leadership skills and successful cases",,Full-time,,
Overseas Sales Director,GraceSolar,"Xiamen, Fujian, China",4 weeks ago,Be among the first 25 applicants,"The ideal candidate will be responsible for overseeing the Sales teams' operations and strategies. By researching market trends and conducting competitor analysis, you will develop and implement sales strategies.   Responsibilities Develop and implement sales strategies Prepare operational and financial sales department reports Oversee the management, learning, and career development of the sales team Directly coordinate cross-selling and joint marketing initiatives to maximize exposure and profitability  Qualifications Bachelor's degree or equivalent experience 5+ years' of sales leadership experience 8+ years' of experience in sales Strong leadership skills",,Full-time,,
Store Manager,Hermès,"Shanghai, China",1 month ago,Be among the first 25 applicants,"1. Profit and Loss Management Plans the development of sales in your boutique Builds up the annual budget, keeps track of all foreseeable sales and expenses Achieves net profitability in line within the agreed budget Prepares weekly sales summary and monthly reports  2. Sales Management Ensures that all clients are properly served Develops a selling strategy based on market trends, sales objectives and inventory control Implements this strategy with a quality and customer-service oriented sales policy Ensures that all the sales team fully understands the selling strategy and applies it Prepares sales budget every 6 months  3. Buying Implements a proper buying strategy, based on the specificity of your boutique (demand, inventory and sales objectives)  4. Inventory Manages inventories in a pro-active way in order to increase the sales and keep a financially healthy stock level Be fully aware of the inventory of all product lines at all times, anticipating stock build-up and shortages, and maintaining reasonable levels as much as possible Optimizes sales in the boutique by ensuring that needed stock is available, regularly reordering  5. Merchandising Trains the sales team to develop proper merchandising skills Maintains shop display and environment with company set standard of daily operation  6. Customer Service Ensures that each member of the sales team provides an excellent service to each individual entering the boutique, in line with Hermès’ standards of customer service Develops sales and goodwill through proper service to all clients Always be present and back-up your team in case of conflicts  7. Team Management Motivates your sales team to serve all clients in excellent standards Employs and retains high quality staff, at the right compensation level Keep track of each individual performance, defining tasks and setting goals Ensures that the team receives proper training regularly in order to develop customer service, product knowledge and selling skills Oversees and ensures all leaves taken are in line with company policies and procedures while all untaken annual leaves are properly managed Creates a sense of team spirit, discipline and mutual respect, as well as dedication and loyalty to the company Ensures that everyone on the team receives proper support in order to achieve their full potential  8. Sales Administration Ensures that procedures and systems are clearly understood, run smoothly and comply with the ever-changing needs of the sales activities Ensures that all sales activities are properly processed according to the company’s procedures Processes proper sales reporting according to the company’s procedures  9. Communications Assists the Marketing Team to implement any communication activities in relations with your boutique Proposes to the Marketing Team all communication activities which could help achieve the sales objectives of your boutique Be at all times a proper “ambassador” for Hermès with all visitors of the boutique, and to ensure that each member of the sales team also acts as an “ambassador” of the brand  10. Property Management Keeps up the Hermès boutique in excellent states at all times Ensures proper maintenance and renovation works, in line with the agreed budget Aware of the neighboring property market and to inform your supervisor of any   Requirements & Capabilities: Tertiary educated with at least 10 years of relevant management experience in high-end fashion, luxury industry or in similar capacity Strong business sales sense with solid analytical skills Ability to lead and drive performance and customer service Good customer relationship management skills Excellent spoken and written English and Chinese. French is a plus Must be a good team player, pleasant, service oriented and self motivated Strong leadership, interpersonal and communication skills Hands on computer knowledge of MS office",Director,Full-time,Sales and Business Development,Luxury Goods & Jewelry
National Key Account GM-Private,GE Healthcare,"Shanghai, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"Job Description Summary  Customer facing staff responsible for winning business Owns/influences commercial business operating guidelines and has ownership/influence over budgets. Guided by functional policy. There is autonomy within the role to enter into/execute Commercial arrangements. High levels of Commercial judgment are required to achieve outcomes required.  Job Description  Essential Responsibilities :• Achieve sales/orders targets in assigned key accounts while being within the budget allocated.• Target, get access, builds relations, develop a business strategy and maximize business opportunities for all products & services within allocated key accounts. Represents 1GEHC and acts as a primary customer point of contact in the allocated accounts.• Proactively build network with government bodies and Key Opinion Leaders as well as deep understanding of healthcare structure/players in assigned strategic key accounts in the regions.• Collaborate with RGMs, ZSMs, Service and other Company resources to provide necessary technical equipment, service or clinical content to customers. Coordinate One GE Healthcare team on strategic accounts in order to deliver solutions that meet or exceed customer expectations.• Develop & maintain a high level of customer satisfaction through consistent high quality interactions with customer management.• Build long term strategic alliance with portfolio of accounts to continue to add value.• Follow GE policies, procedures and Operating Mechanism. Proactively participates in company initiatives depending on organizational needs and as directed by management. Ensure knowledge of and compliance of integrity and company policies.Qualifications/Requirements :1. Extensive experience (8 + years) in Business Management or Sales / Marketing in progressive leadership positions within the Healthcare industry with in-depth knowledge of healthcare market and decision makers.2. Financial acumen as demonstrated through ability to interpret and present internal and external financials to reflect overall business and customer drivers and performance.3. Proven key account management and complex project planning skills;4. Advanced negotiation and problem solving skills.5. High level communication skills including presentation skill;6. Able to present ideas to customers and internally in a way that produces understanding and impact.7. Outstanding influencing, interpersonal and networking skills to drive collaborative culture and outcome at all levels.8. An engaging and inspiring leader able to travel 70 percent of the work week.Desired Characteristics :Additional Eligibility Qualifications :  Additional Information  Relocation Assistance Provided: Yes",Director,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
International Sales Manager,Junjue Consulting,"Shenzhen, Guangdong, China",2 months ago,Be among the first 25 applicants,"国际销售经理 1.制定和实施区域市场销售、渠道开发计划及策略，以及量化销售目标； 2.协助总监开拓、建立、维护海外市场，寻求、跟踪国外客户，维护老客户； 3.培训新人市场开发、客户维护和销售管理等工作； 4.收集区域市场信息（国际展会、竞对及竞品信息资料），定期或不定期拜访国外客户，参加国外展会等； 5.参加对外贸易合作谈判，协助建立和维护国外销售网络。 任职要求 1、有五年以上国际销售工作经验，熟悉国际市场，有从事医疗器械国际销售经验者优先； 2、英语六级或以上，口语流利，熟练操作电脑及日常办公软件； 3、本科及以上学历，生物、国际贸易、英语及医药等相关专业优先考虑； 4、良好的沟通能力，有团队精神；解决问题能力和承受能力强。  International Sales Manager 1. Formulate and implement regional marketing and channel development plans and strategies, and quantify sales objectives; 2. Assist the director to develop, establish and maintain overseas markets, seek and track foreign customers and maintain old customers; 3. Train new people in market development, customer maintenance and sales management; 4. Collect regional market information (information of international exhibitions, competitors and competitive products), visit foreign customers regularly or irregularly, participate in foreign exhibitions, etc; 5. Participate in foreign trade cooperation negotiations and assist in establishing and maintaining foreign sales networks. Job requirements 1. More than five years of international sales experience, familiar with the international market, experience in international sales of medical devices is preferred; 2. CET-6 or above, fluent oral English, proficient in computer and daily office software; 3. Bachelor degree or above, major in biology, international trade, English and medicine is preferred; 4. Good communication skills, team spirit; Strong problem solving ability and tolerance.",,Full-time,,
