jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Business Development Specialist - Sales，Zhengzhou,Tesla,"Zhengzhou, Henan, China",1 month ago,Be among the first 25 applicants,"主要职责:  l 支持销售团队达成业务目标，负责策划并执行区域内的市场活动，包括但不限于新店开业、车展、试乘试驾活动等；  l 负责与区域内金融保险合作伙伴进行沟通和协调，并对合作项目进行管理，确保合作项目可顺利进行；  l 负责调研车主需求，与内外部团队进行合作，策划并执行车主活动，加强与车主的联系；  l 负责挖掘潜在个人/企业客户需求，通过策划和执行线上线下活动，对潜在个人/企业客户进行开发；  l 负责拓展各类资源，包括但不限于各类商户, 合作伙伴，落地项目，并有效支持区域市场目标达成；  l 其他职责：根据业务发展需要，完成管理层指定的其他工作。  任职要求：  l 本科学历或同等学位；  l 3-5年业务拓展开发，或市场活动相关工作经历；  l 优秀的商业拓展能力和商务谈判能力;  l 对数据敏感，优秀的数据分析能力和逻辑分析能力，能独立解决跨部门和跨组织的问题；  l 有较强的抗压力，能在快节奏、充满活力、结果导向的环境中工作，并能在规定限期内完成多个项目；  l 保持创业精神及高度敏感的市场嗅觉，持续推动业务发展。",Entry level,Full-time,Business Development and Sales,"Automotive, Renewables & Environment, and Utilities"
Senior Account Sales,GE Healthcare,"Zhengzhou, Henan, China",,Be among the first 25 applicants,"Job Description Summary  Customer facing staff responsible for winning business Executes standard sales tasks and typically subject to instructions and work routines. There is latitude to rearrange the sequence to complete task/duties based on changing work situations. May be responsible for targeted clients, stable regions, and/or small/medium sales territories.GE Healthcare is a leading global medical technology and digital solutions innovator. Our mission is to improve lives in the moments that matter. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.  Job Description  角色与职责  向指定客户销售时，新增客户通常很少，并且通常需要经过审查。包括单个业务组/P&L 中的关键客户 扩大自己对销售区域、产品线、市场、销售流程或客户群体的认识，以执行政策/策略。不断培养更高水平的知识和技能。 理解关键业务驱动力的基础知识；用这种理解来完成自己的工作。了解自己团队的工作如何与其他团队融合并为该领域做出贡献。 可能具有一定的自主权，从而在定义的框架内进行决策。以良好的商业知识和判断力解决在规定程序中遇到的问题。就定义的说明/参数之外的问题咨询更多的高级团队成员。 此级别的职位需要良好的人际交往能力。向直接相关的同事和业务部门传达所提供的设计和协调服务。对于面对客户的角色，建立牢固的客户关系并充当客户与 GE 之间的接口。向他人介绍技术信息。  基本资格  该岗位要求在领域具有初步的工作经验。 学力水平相当于从正规高等院校取得学士学位 （或根据相应工作经验具有高中学历）  所需特性  优秀的口头和书面沟通能力。 优秀的人际关系和领导能力。 能够独立工作。 较强的解决问题能力。  Inclusion and Diversity  GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership – always with unyielding integrity.  Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.    Additional Information  Relocation Assistance Provided: No",Entry level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Senior Account Sales,GE Healthcare,"Zhengzhou, Henan, China",,Be among the first 25 applicants,"Job Description Summary  Customer facing staff responsible for winning business Executes standard sales tasks and typically subject to instructions and work routines. There is latitude to rearrange the sequence to complete task/duties based on changing work situations. May be responsible for targeted clients, stable regions, and/or small/medium sales territories.GE Healthcare is a leading global medical technology and digital solutions innovator. Our mission is to improve lives in the moments that matter. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.  Job Description  角色与职责  向指定客户销售时，新增客户通常很少，并且通常需要经过审查。包括单个业务组/P&L 中的关键客户 扩大自己对销售区域、产品线、市场、销售流程或客户群体的认识，以执行政策/策略。不断培养更高水平的知识和技能。 理解关键业务驱动力的基础知识；用这种理解来完成自己的工作。了解自己团队的工作如何与其他团队融合并为该领域做出贡献。 可能具有一定的自主权，从而在定义的框架内进行决策。以良好的商业知识和判断力解决在规定程序中遇到的问题。就定义的说明/参数之外的问题咨询更多的高级团队成员。 此级别的职位需要良好的人际交往能力。向直接相关的同事和业务部门传达所提供的设计和协调服务。对于面对客户的角色，建立牢固的客户关系并充当客户与 GE 之间的接口。向他人介绍技术信息。  基本资格  该岗位要求在领域具有初步的工作经验。 学力水平相当于从正规高等院校取得学士学位 （或根据相应工作经验具有高中学历）  所需特性  优秀的口头和书面沟通能力。 优秀的人际关系和领导能力。 能够独立工作。 较强的解决问题能力。  Inclusion and Diversity  GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership – always with unyielding integrity.  Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.    Additional Information  Relocation Assistance Provided: No",Entry level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Business Development Specialist - Sales，Beijing,Tesla,"Beijing, Beijing, China",1 month ago,Be among the first 25 applicants,"主要职责:  l 支持销售团队达成业务目标，负责策划并执行区域内的市场活动，包括但不限于新店开业、车展、试乘试驾活动等；  l 负责与区域内金融保险合作伙伴进行沟通和协调，并对合作项目进行管理，确保合作项目可顺利进行；  l 负责调研车主需求，与内外部团队进行合作，策划并执行车主活动，加强与车主的联系；  l 负责挖掘潜在个人/企业客户需求，通过策划和执行线上线下活动，对潜在个人/企业客户进行开发；  l 负责拓展各类资源，包括但不限于各类商户, 合作伙伴，落地项目，并有效支持区域市场目标达成；  l 其他职责：根据业务发展需要，完成管理层指定的其他工作。  任职要求：  l 本科学历或同等学位；  l 3-5年业务拓展开发，或市场活动相关工作经历；  l 优秀的商业拓展能力和商务谈判能力;  l 对数据敏感，优秀的数据分析能力和逻辑分析能力，能独立解决跨部门和跨组织的问题；  l 有较强的抗压力，能在快节奏、充满活力、结果导向的环境中工作，并能在规定限期内完成多个项目；  l 保持创业精神及高度敏感的市场嗅觉，持续推动业务发展。",Entry level,Full-time,Business Development and Sales,"Automotive, Renewables & Environment, and Utilities"
Consumer & Industrial Sales Specialist,DuPont,"Pudong, Shanghai, China",,Be among the first 25 applicants,"Responsibilities The primary responsibility of the sales specialist is to identify and drive new business opportunities in respective application to achieve revenue, profit and growth targets. Development and ownership of short and long-term development plans for C&I China business growth. Work closely with value chain partners on the distribution channel restructuring and management optimization. Works in collaboration with Technical, Product, Regulation and Marketing team on new product opportunity identification and commercialization and business model migration. Effectively help team manage the opportunity pipeline to sustainably grow the business over the mid and long term. Continually expand the understanding of China market, competition, and customer needs to input global & regional growth strategies Maintain and develop a strong industry network. Possible travel frequently in China around 50%. Qualifications Bachelor degree or above. Good written and spoken English. Minimum 3-5 years’ sales or business development experience in multinational company, business development in multi-industries or key accounts outreach background preferred. Experience in B2B2C key account and channel management is an advantage. Experience in converter market and CM is an advantage. Strong business acumen, ability to innovate and sales execution capability. Excellent interpersonal, oral and written communication skills. A strong team player with ability to work effectively in cross-functional teams and in multi-cultural groups to achieve stated goals. Ability to work under pressure and willing to travel frequently. Proactive, aggressive, initiative, result oriented and strong ownership. DuPont is an equal opportunity employer. Qualified applicants will be considered without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability or any other protected class. If you need a reasonable accommodation to search or apply for a position, please visit our Accessibility Page for Contact Information.  For US Applicants: See the “Equal Employment Opportunity is the Law” poster at: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf  For our U.S. Affirmative Action Policy, click here.",Entry level,Full-time,Sales and Business Development,"Machinery, Mechanical or Industrial Engineering, and Staffing and Recruiting"
Inside Sales,3M,"Shanghai, Shanghai, China",1 week ago,Be among the first 25 applicants,"3M has a long-standing reputation as a company committed to innovation. We provide the freedom to explore and encourage curiosity and creativity. We gain new insight from diverse thinking, and take risks on new ideas. Here, you can apply your talent in bold ways that matter.  Job Description  inside sales for industry(PSD)  Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.  Please note: your application may not be considered if you do not provide your education and work history, either by: 1) uploading a resume, or 2) entering the information into the application fields directly.  3M Global Terms of Use and Privacy Statement  Carefully read these Terms of Use before using this website. Your access to and use of this website and application for a job at 3M are conditioned on your acceptance and compliance with these terms.  Please access the linked document by clicking here, select the country where you are applying for employment, and review. Before submitting your application you will be asked to confirm your agreement with the terms.",Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Consumer Goods"
Senior Account Sales,GE Healthcare,"Shanxi, China",2 days ago,Be among the first 25 applicants,"Job Description Summary  Customer facing staff responsible for winning business Executes standard sales tasks and typically subject to instructions and work routines. There is latitude to rearrange the sequence to complete task/duties based on changing work situations. May be responsible for targeted clients, stable regions, and/or small/medium sales territories.  Job Description  角色与职责  向指定客户销售时，新增客户通常很少，并且通常需要经过审查。包括单个业务组/P&L 中的关键客户 扩大自己对销售区域、产品线、市场、销售流程或客户群体的认识，以执行政策/策略。不断培养更高水平的知识和技能。 理解关键业务驱动力的基础知识；用这种理解来完成自己的工作。了解自己团队的工作如何与其他团队融合并为该领域做出贡献。 可能具有一定的自主权，从而在定义的框架内进行决策。以良好的商业知识和判断力解决在规定程序中遇到的问题。就定义的说明/参数之外的问题咨询更多的高级团队成员。 此级别的职位需要良好的人际交往能力。向直接相关的同事和业务部门传达所提供的设计和协调服务。对于面对客户的角色，建立牢固的客户关系并充当客户与 GE 之间的接口。向他人介绍技术信息。  基本资格  该岗位要求在领域具有初步的工作经验。学力水平相当于从正规高等院校取得学士学位 （或根据相应工作经验具有高中学历）  所需特性  优秀的口头和书面沟通能力。优秀的人际关系和领导能力。能够独立工作。较强的解决问题能力。  Inclusion and Diversity  GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership – always with unyielding integrity.  Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.    Additional Information  Relocation Assistance Provided: No",Entry level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
"Enterprise Sales Specialist, Hangzhou",Tesla,"Hangzhou, Zhejiang, China",1 month ago,Be among the first 25 applicants,职位介绍  企业客户销售团队负责制定和执行特斯拉在中国大陆市场的企业端销售策略。作为区域企业客户销售专员，您的首要职责是为特斯拉的产品在企业端和学校端的销售快速打开渠道、实现增量。  主要职责  我们正在寻找有相关专业经验，并具有市场活动经验和能力的候选人。您应具备如下能力： 协助企业客户销售经理完成企业员工购车和企业购车的协议谈判和签订 对接企业方，协助企业客户销售经理组织和落实企业和学校的外拓活动，聚焦为各自区域的特斯拉中心带来客流和销售增量 对接区域内各城市的门店，积极主动地去协同配合，高效地落实市场宣传活动 协助企业客户销售经理，完善运营流程、制作宣传物料，将品牌、产品、目标融合到商业模式中，实现与企业间合作的可持续性和计划性 通过以上任务的达成和与零售门店的合作，确保全国企业销售团队目标的达成 基本条件 出色的谈判能力，具有参与合同谈判的相关经验及理解诠释法律合同/协议的能力 对企业客户合作和商业操作有详尽的了解与知识 能够合理安排并同时胜任多项任务，思路清晰 了解并掌握项目管理工具和技巧 了解和热爱特斯拉的品牌和企业文化,Entry level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Sales Representative,Alcon,"Hangzhou, Zhejiang, China",5 days ago,Be among the first 25 applicants,主要责任： 按照计划拜访客户，以了解需求、发展关系、谈判合约、销售产品和提供相关服务 帮助经销商整理产品样品，进行价格管理等；及时拜访大型中型眼镜店，与经销商和眼镜店维持关系，跟踪他们的需求与订单，同时与潜在客户培养关系并建立联系，识别业务机会。 按照行程计划，拜访所负责客户的门店，维护和发展与店长及隐形眼镜验配员的关系，提供相关服务和销售指导，维护终端价格，及时反馈并协调解决门店问题。 及时更新终端门店的资料和信息，了解主要产品的终端流转状况和消费者需求，掌握并反馈相关信息。 按照要求完成年度/季度客户销售合同的谈判和签署。 进行产品培训、产品展示、讨论会，让客户了解最新产品或服务、价格、变化等信息。客户如有问题，给予解决；协作销售支持部等相关部门及时反馈和处理客户退换货、产品投诉等问题，为客户提供良好的售前售后服务。 按产品们店铺货标准，完成不同产品对于不同类型门店的铺货率和市场覆盖，并保障足够的产品门店库存。 按公司陈列标准，及时有效地维护门店产品和宣传品陈列，促进门店流转。 按时准确地提供拜访报告，和提交相关数据信息；并定期上交相关工作报告。 协调并与经销商合作，开展客户教育、销售推广等活动，例如学校的客户教育，顾问项目等。 调查／研究市场信息，分析制定市场趋势、竞争产品活动等方面的报告。对竞争者进行评估。 维护客户数据库，根据需要做出更新。 理想背景  教育： 最低要求：大专以上；优先选择：视光学专业优先 经验／专业要求： 二年以上客户管理及销售经验，眼镜行业的客户销售经验或眼镜零售行业从业经验者优先 具有丰富的客户分析和管理能力 具有一定的销售技巧和谈判签约能力 沟通和表达能力良好，熟悉EXCEL软件应用,Entry level,Full-time,Sales and Business Development,"Electrical/Electronic Manufacturing, Marketing and Advertising, and Retail"
Key Account Representative,Cargill,"Shanghai, Shanghai, China",1 week ago,Be among the first 25 applicants,"Job Purpose and Impact  The General Sales Representative I, will sell directly to our consumers or business purchasers or indirectly through various sales channels. We seek a professional who will help identify and contact prospective customers, building relationships to generate future sales and repeat business. In this role, you will participate in assessing customer needs and suggesting appropriate products, services and solutions.  Key Accountabilities New key account customer development in foodservice channel, especially in eastern QSR, western QSR, causal dinning and other emerging channels. International customer management. To coordinate with customer and internal stakeholders to deliver the right product and solutions. With supervision, coordinate market research, pricing and sales and merchandising activities. Help support business growth by disseminating information that favorably promotes the organization and its products and services. Help monitor customer and competitor activity and industry trends. Participate in regular status and strategy meetings with customers' senior management to understand and meet their needs. Handle basic issues and problems under direct supervision, while escalating more complex issues to appropriate staff. Other duties as assigned Qualifications  MINIMUM QUALIFICATIONS 2 years working experience in foodservice channel. Better to have sales experience in key accounts. KEY BEHAVIORS Build strong customer relationships and deliver customer-centric solutions. Good communication skills, both internally and externally. Could lead cross functional team to work out solutions. Young potential, energetic and positive.",Entry level,Full-time,Sales and Business Development,"Chemicals, Food & Beverages, and Food Production"
