jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Intern,Yasa ET,"Shanghai, China",4 months ago,Be among the first 25 applicants,"Sales Internship Description  We are looking for a qualified sales intern to assist in various stages of the sales funnel, including market research, generating leads, and retaining customers.  The ideal intern will be a great fit for our energetic team. You’ll gain hands-on experience working on challenging, meaningful projects with guidance from a mentor and other members of our team.  Duties and Responsibilities  Help develop client relationships and retain existing accounts Research and generate lists of potential customers Learn and apply sales techniques Provide input on customer briefs, presentations, and sales literature Assist in evaluating new collaboration opportunities  Requirements  Business or STEM Degree Excellent interpersonal and communication skills Ability to work in a fast-paced team environment At least 3 days per week, minimum 3 months  Benefits  Gain hands-on experience in each stage of the sales funnel Collaborate with experienced sales professionals Attend meetings, events, and other networking opportunities Opportunity to get a full-time position at the end of the internship Compensation: 120rmb/day + performance bonus  Application  If you are interested in the position please send your CV (Name + Sales Intern) by email to hr@yasa.ltd",,Internship,,
Sales Operation Intern,BRF,"Shanghai, China",3 months ago,Be among the first 25 applicants,"Job Responsibility • Follow up PIV signed • Shipping schedule checking • Chasing prepayment & overdue payment • Chasing and checking over 30days unpicked-up container • EHC issue checking and follow up • Pushing for PO/CNEE, and assist to do sales form • Sales Force system input claim • Update and tracking the claim progress in system • Pull related reports with SAP system • Comply with BRF Sustainability Policy guidelines, ensure adherence to BRF Sustainability Plan through activities in its routines that promotes compliance with the indicators and global ESG (Environmental, Social and Governance) commitments of the Company, ensuring the connection between its actions and sustainable development in the BRF chain.  Requirements • Undergraduates students, major in Supply Chain, International Trade are preferred • Fluent English • Good communication skills • Focus on details • At least 2 working days attendance per week",Internship,Part-time,Customer Service and Supply Chain,Food & Beverages
Sales Intern,DiningCity,"Shanghai, China",3 months ago,Be among the first 25 applicants,"岗位职责： Responsibilities:  1. 协助客户经理维持客户关系，更新客户资料； Assist Account Manager maintenance clients relationship,update clients information 2. 协助客户经理及客人的后台管理； Assist Account Manager & client to management back-end; 3. 上级交办的其他任务 Other ad-hoc work assigned by leaders.   岗位要求： Requirements：  1. 中国籍在校大学生 Chinese undergraduate 2. 善于沟通及团队合作，认真负责，为人细心，对自己要求高 good at communication and teamwork, strong sense of responsibility, attentive 3. 对互联网、电子商务、餐饮美食都有浓厚兴趣 passionate about internet/e-business/fine food 4. 有良好的英语听说读写能力将优先考虑 proficient in English would be a big advantage  本职位是在一个国际化的工作环境中，同事中有外籍人事，可锻炼英语口语。 将来有志于从事市场工作的同学，千万不要错过这次宝贵的学习与工作机会。",,Internship,,
Intern Sales Support Associate,PureLiving,"Shanghai, China",1 month ago,Be among the first 25 applicants,"Job overview:  Sales Support Associate supports the Sales team in their communication with partners and clients. Must be fluent in Chinese (oral & written).  Responsibilities:  ·        Assist Sales team to prepare presentations, proposals and sales contracts ·        Assist Sales team to facilitate sales meeting, summarize and plan the work ·        Assist Sales team to update client information in internal system, make quotation, cost accounting etc. ·        Assist sales team to complete new project bidding ·        Assist Sales team in client’s procurement process and issue Fapiao (if needed) follow-up payment collection ·        Work with Channel Partners to meet their clients’ testing and remediation needs ·        Coordinates sales effort with operation, technical services teams (environmental testing, project management, IAQ monitoring technology), accounting, logistics, and marketing Requirements:  Business management or environmental/chemistry background with prior work experience. Initiative and independent thought is most important Must be fluent in Chinese (oral & written) Must be able to speak/read English, but strong written English is priority Must have strong proficiency with Microsoft Word, Excel, and PowerPoint  Working hours: Full-time -- Typically 9:30am-6:30pm business hours, but may require occasional evening or weekend based on business requirements.",,Internship,,
Enterprise Sales Operation Intern,Tesla,"Hangzhou, Zhejiang, China",3 months ago,Be among the first 25 applicants,邮件发送礼券给下定的企业员工车主 大客户销售团队核实客户身份 车辆交付之后48小时内，发送邮件给该企业员工车主通知礼券内容、使用期限、授权钣喷中心信息（81家）、预约进店、到店核销流程 Daily内部后台流程 每天更新车辆交付信息更新到TAB共享表格 每天更新一次前一天收集的核销信息到TAB共享表格 每天修改核销提交错误的信息 配合销售，讲解操作流程 全权负责核销的审核 授权钣喷中心通过共享表格，输入完整VIN，识别客户是否在本次活动范围内 解答每天来电咨询 大客户咨询邮箱：解答客户和TAB出错问题 协助租赁购的下单等运营工作。 要求： 本科或硕士应届生(仅限2021年毕业） 认真仔细、责任心强、执行力高、逻辑能力佳 具有比较强的抗压能力和沟通表达能力,Internship,Internship,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
"Enterprise Sales Intern, Shenzhen",Tesla,"Guangdong, China",1 month ago,Be among the first 25 applicants,职位描述： 负责南区各企业宣传物料 南区大客户企业宣传海报和易拉宝制作，不同企业的制图需求不同，为了高效高质量完成企业宣发，需要专人跟进AI设计制作 非常规性企业海报制作，灵活美化海报设计，提升企业活动的丰富性和亮点 南区事务性工作 南区企业购及员工购合同流程及盖章等处理 南区大客户礼品的管理及发放 3、南区企业活动事项的跟进 活动前，需要每天更新企业活动员工报名信息到群内，保障报名人数 企业活动前，注意把控活动进度，确保各方职责到位，活动顺利启动 活动前确保易拉宝和物资顺利到位 配合销售，解答东区销售疑问，正确传达大客户政策和流程 协助完成待合作企业背景及员工数的调查，确保签约企业的资质良好 要求： 本科或硕士应届生 认真仔细、责任心强、执行力高、逻辑能力佳 形象气质佳，具有比较强的抗压能力和沟通表达能力 个人有意愿往企业销售经理或客户经理方向发展,Internship,Internship,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Sales Internship,GE Healthcare,"Beijing, Beijing, China",2 weeks ago,Be among the first 25 applicants,"Job Description Summary  Job Description  1. 熟练使用Microsoft办公软件，尤其是excel，PPT  2. 对数据敏感，有用excel或数据分析软件做数据分析，总结规律的实习经历和能力  3. 勤奋，有进取心，乐于学习  4. 可接受短期出差  5. 英语可作为工作语言  Inclusion and Diversity   GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  Total rewards statement   Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.  Additional Information  Relocation Assistance Provided: No",Internship,Temporary,Sales and Business Development,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Retail operation intern,"PRADA, L.C.","Shanghai, Shanghai, China",2 weeks ago,Be among the first 25 applicants,"职位来源于实习僧。  Job Description  Handling shop payment and daily sales report.  Follow voucher/personal claims/store petty cash/travel claims process.  Consolidation of weekly traffic reports and monthly traffic reports.  Setup new vendor in the system.  Requirements  Consolidation of other information required from retail store. University student or above. Be able to working four days per week Good English Good computer knowledge on office software (Word, Excel, PowerPoint, etc.) Open-minded, and has passion on luxury 职位薪资：  120-150/天  想要了解更多，可以访问公司官网：http://www.prada.com",Internship,Internship,Sales and Business Development,Farming
"Sales Assistant Intern, Chengdu",Tesla,"Chengdu, Sichuan, China",1 month ago,Be among the first 25 applicants,职位详情： 与家庭充电团队保持紧密沟通，支持团队内部的日常工作事务开展 负责家庭充电团队的客户回访，主要针对未选择家庭充电服务的客户进行联系沟通，了解并统计未选购的具体原因 通过数据的收集与管理来分析并完善相关业务信息 其他职责：根据业务发展需要，完成管理层指定的其他工作 任职条件： 相关教育背景的本科或硕士在读学生 保证每周至少3天的工作时间 出色的口头和书面沟通能力 在快节奏和优先级不断改变的环境中，能够充满活力并高度自律的工作 有基本的数据建立，整理和分析能力 熟练Microsoft Outlook，Excel，PowerPoint 和Word 基础的中英文听说读写能力,Internship,Internship,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Enterprise Sales Intern，Shenzhen,Tesla,"Guangdong, China",1 month ago,Be among the first 25 applicants,职位描述： 负责各企业宣传物料 大客户企业宣传海报和易拉宝制作，不同企业的制图需求不同，为了高效高质量完成企业宣发，需要专人跟进AI设计制作 非常规性企业海报制作，灵活美化海报设计，提升企业活动的丰富性和亮点 事务性工作 企业购及员工购合同流程及盖章等处理 大客户礼品的管理及发放 3、企业活动事项的跟进 活动前，需要每天更新企业活动员工报名信息到群内，保障报名人数 企业活动前，注意把控活动进度，确保各方职责到位，活动顺利启动 活动前确保易拉宝和物资顺利到位 配合销售，解答东区销售疑问，正确传达大客户政策和流程 协助完成待合作企业背景及员工数的调查，确保签约企业的资质良好 要求： 本科或硕士应届生 认真仔细、责任心强、执行力高、逻辑能力佳 形象气质佳，具有比较强的抗压能力和沟通表达能力 个人有意愿往企业销售经理或客户经理方向发展,Internship,Internship,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
