jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Enterprise Sales Manager,Tesla,"Shanghai, China",2 months ago,Be among the first 25 applicants,职位描述  区域企业销售经理将负责特斯拉产品的B2B销售渠道；包括租赁公司、公司客户和潜在的大宗客户。通过与客户保持密切沟通，达成自己与公司的销售目标。  主要职责 主动探索企业客户，挖掘将特斯拉车辆作为公司用车及企业员工用车的销售机会 主动探索车辆租赁及车辆运营行业的新客户， 挖掘特斯拉车辆在租赁和运营行业的应用需求和销售机会 积极拓展企业客户资源，展示特斯拉销售方案，并获取新的订单 确保达成所有销售目标并追求超额完成 职位要求 对特斯拉企业文化高度认可 优秀的商业拓展能力和商务谈判能力 拥有4-8年零售、行业销售、以及大客户销售经验，能够达到或超出销售目标 强烈的团队合作意识 快速学习新事物或新工作方法和流程的能力 本科及其以上学历 流利的中英文听说读写能力,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Business Development Manager - Sales,Tesla,"Chengdu, Sichuan, China",1 month ago,Be among the first 25 applicants,"区域  销售业务发展 经理  主要职责  ⚫ 根据 区域 销售团队业务目标 及门店业态 ，制定 区域 活动 策略及 计划 ，并完成 预算 及控制  ⚫ 管理 区域 销售业务发展团队 ，并 带 领团队 支持销售团队达成业务目标， 通过 策划并执行  区域内的市场活动，包括但不限于新店开业、车展、试乘试驾活动等；  ⚫ 负责调研车主需求，与内外部团队进行合作，策划并执行车主活动，加强与车主的联系；  ⚫ 负责挖掘潜在个人 企业客户需求，通过策划和执行线上线下活动，对潜在个人 企业客  户进行开发；  ⚫ 负责 搭建渠道及 拓展各类资源，包括但不限于各类商户 , 合作伙 伴，落地项目，并有效  支持区域市场目标达成。  任职要求：  ⚫ 本科学历或同等学位；  ⚫ 5 年 以上 业务拓展开发，或市场活动相关工作经历； 具有跨地区团队管理相关经验  ⚫ 具备良好计划 、预算 、统筹市场活动 能力  ⚫ 对所负责区域的市场商业环境熟悉；  ⚫ 优秀的商业拓展能力和商务谈判能力  ⚫ 有优秀的书面表达及口头沟通能力，能与不同合作伙伴顺畅交流；  ⚫ 对数据敏感，优秀的数据分析能力和逻辑分析能力，能独立解决跨部门和跨组织的问题；  ⚫ 有 较强的抗压力，能在快节奏、充满活力、结果导向的环境中工作，并能在规定限期内  完成多个项目；  ⚫ 保持创业精神及高度敏感的市场嗅觉，持续推动业务发展；  ⚫ 精通 MS 办公软件。",Mid-Senior level,Full-time,Business Development and Sales,"Automotive, Renewables & Environment, and Utilities"
Key Account Sales Manager,Brabantia,"Shanghai, China",,Be among the first 25 applicants,"The ideal candidate will be able to appropriately identify the needs of both new and current customers in order to aid customers in their success using our product. This will be done by developing an appropriate level of communication with clients and internal team members to better understand and mitigate any issues the customers may face.  Chinese Nationality  Responsibilities Work cross functionally within the company to communicate with all people in customers' success Create and maintain relationships with customers to better understand and achieve their needs Make visits to our customers to identify opportunities for growth within our platform Manage all reporting about the sales reports. Manage existing customer and distributor base throughout the region Identify, contact and visit potential customers and distributors.   Qualifications Previous account management experience With working experience in Housewares or Home appliances fields' candidates preferred Willingness and ability to travel 5 years of management experience Perfect English in speaking and writing Experience in working with international/corporate teams. Experienced in lifestyle goods or housewares. Strong interpersonal, verbal and written communication skills Excellent planning and organizational, and time management skills. Ability to work on extremely complex problems where analysis of situations or data requires an evaluation of intangible variance factors. In depth knowledge of houseware products",,Full-time,,
"Sr. Sales Trainer, East",Tesla,"Shanghai, Shanghai, China",1 month ago,Be among the first 25 applicants,职位描述：  区域培训项目指导/区域培训项目经理将主要负责区域销售和交付的培训项目建立和执行。  该职位需要与关键业务合作伙伴和区域销售领导合作，以确定并分析培训需求和业务健康  状况。通过制作和执行定制化培训内容为区域团队成员提供指导和发展团队，以充分发挥  其潜力，协助提高整个地区的绩效。  工作职责： 设计，制作和执行相关培训项目。包括但不限于入职，产品，客户服务，销售技巧 与业务经理和主要业务伙伴合作，分析业务的健康状况和机会点，以确定工作重心和项目核心 与业务经理和专题项目专家合作以确定培训需求，并迅速建立和实施培训解决方案 能适应在教室，在线和店内任何环境中提供培训 执行知识检查和角色扮演以验证学习成果 为业务经理提供反馈和意见/建议 管理培训后的调查和效果跟踪，以评估有效性并向管理层提供报告 任职要求： 5 年以上的培训或客户服务相关经验 卓越的自我激励能力 积极主动，独立自主工作，有上进心 优秀的书面表达和口头表达能力 可接受出差和到访不同门店，超过50% 的时间 熟悉Mac OS X 和Windows 操作系统 熟练运用Microsoft Office，Office365，Pages 和Keynote 具备多媒体制作能力优先 可英文沟通优先,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
"Regional Enterprise Sales Manager, Wuhan",Tesla,"Wuhan, Hubei, China",1 month ago,Be among the first 25 applicants,职位介绍：  企业客户销售团队负责制定和执行特斯拉在中国大陆市场的企业端销售策略。该部门还负责在合作企业内的品牌宣传、企业专属活动、企业车主维护，以及其它一切帮助公司提升和维护双方的可持续合作关系的职能。 作为区域企业客户销售主管/经理，您的首要职责是为特斯拉的产品在企业端的销售快速打开渠道、实现增量。您亦对进行中的合作企业提供持续的支持与服务，对合作企业的现状表现做出分析和提升的行动方案。此职位还将参与公司内部其他商业团队合作，包括商务拓展、金融服务、充电团队等等。  主要职责：  我们正在寻找有相关专业经验，并具有公关经验和能力的候选人。您应具备如下能力： 建立及扩充企业渠道资源：为区域内特斯拉中心和体验店带来客流和销售增量，实现快速打开所在区域企业渠道的目标。 开发客户及签订合约：寻找符合要求的潜在客户，准备与客户沟通的资料，把握重点客户决策链，与潜在客户建立关系，并可以独立完成企业员工购车协议的谈判和签订。 协议签订后，您将与BD/CRM/MKT等其他相关团队合作完成以下工作： 企业员工专属活动：特斯拉科技讲堂、企业专属置换日、专场试驾会、企业车主讲堂等； 作为大客户团队代表来监管在合作企业内开展的活动质量和频率，督促合作伙伴改善项目； 参与推动内部的协调和配合，协助制订和实施符合企业活动品质衡量的标准与流程。 培养与合作企业的关系：发展、推动和管理合作企业的本地团队，通过以上任务的达成和与零售门店的合作，确保企业销售团队目标的达成。 基本条件： 拥有5-10年在中国市场的商务拓展、企业客户销售、公关或其他相关领域的经验 出色的谈判能力，具有参与合同谈判的相关经验及理解诠释法律合同/协议的能力 成功的合作伙伴和影响者 对企业客户合作和商业操作有详尽的了解与知识 能够合理安排并同时胜任多项任务，思路清晰 了解并掌握项目管理工具和技巧 了解特斯拉的品牌和企业文化,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Strategic Account Sales Manager,GE Healthcare,"Taiyuan, Shanxi, China",2 weeks ago,Be among the first 25 applicants,"Job Description Summary This role will represent and act as a primary customer point of contact in the allocated accounts/territory and proactively build network with government bodies and Key Opinion Leaders as well as deep understanding of healthcare structure/players in assigned territories/accounts.GE Healthcare is a leading global medical technology and digital solutions innovator. Our mission is to improve lives in the moments that matter. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.  Job Description  Responsibilities:  Achieve sales/orders targets for sales in assigned one accounts/territory while being within the budget allocated.  Target, get access, builds relations, develop a business strategy and maximize business opportunities for all GE Healthcare businesses, products & services within allocated accounts/territory.  Represents and acts as a primary customer point of contact in the allocated accounts/territory.  Proactively build network with government bodies and Key Opinion Leaders as well as deep understanding of healthcare structure/players in assigned territories/accounts.  Coordinate indirect deals for multimodality projects and aim at maximizing share of direct deals within your territory/accounts.  In Cooperation with Modalities and Marketing drive One GE Healthcare marketing events in assigned territory. Be aware of segmentation and targeting in healthcare system , and apply relevant product benefits to each client’s segment.  Analyze market trends, competition and accounts to develop a business plan and strategy that creates new business opportunities for all GE Healthcare products & services.  Provides on-going feedback to management, modalities, services and marketing  .Leverage Product Sales Specialists, Account Managers, Service and other Company resources to provide necessary technical equipment, service or clinical content to customers.  Coordinate One GE Healthcare team on strategic accounts in order to deliver solutions that meet or exceed customer expectations.  Develop & implement plans with Zone cross functional teams to achieve results through effective project proposals, negotiations, and contracts. Grow the share of wallet in assigned accounts (GE’s share of customer investments in Capital and Operational expenditures).  Develop & maintain a high level of customer satisfaction through consistent high quality interactions with customer management, drive customer on their accounts.  Build long term strategic alliance with portfolio of accounts to continue to add value.  Promote Service offerings, identify and escalate commercial service needs  Pro-actively monitor and escalate service issues to drive customer GE policies, procedures and Operating Mechanism. Proactively participates in company initiatives depending on organizational needs and as directed by management. Ensure knowledge of and compliance of integrity and company policies.  Geographic scope: Zone (could be a territory within Zone)  Qualifications/Requirements ：  Minimum 5 years relevant healthcare industry experience  Bachelor's degree  A proven track-record of achieving and exceeding sales targets, and a desire to grow new business  Experience understanding customer needs and business drivers and using this knowledge to develop account plans and strategies (knowledge of the existing account areas/channels would be advantageous).  Excellent interpersonal skills, including teamwork and communication skills  Persistence in developing prospects and customers, and ability to close business  Strong presentation, analytical and customer service skills  Self-starter, able to manage time and organize and prioritize workload  Inclusion and Diversity   GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership – always with unyielding integrity.  Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.",Mid-Senior level,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Global Sales Manager,ADP,"Pudong, Shanghai, China",3 weeks ago,Be among the first 25 applicants,"ROLE PURPOSE   To penetrate large-scale accounts with a focus on those companies based in North Asia. The primary responsibility of the role will be to develop and manage relationships with the key stakeholders in order drive sales across the assigned accounts and territory. In addition, the Global Sales Manager will be responsible for providing consistent management, planning and reporting on their accounts.     RESPONSIBILITIES   ·       Meet or exceed assigned quota. ·       Develop annual business plan, determining sales and activity goals required for attainment of assigned quota. ·       Create consistent activity management, opportunity and account plans within Salesforce.com. ·       Prepare sales forecasts; establish targets in areas such as product mix, sales volume, market share, or business development and monitor the performance of the sales against these goals; adjust sales strategies and plans to meet changing markets and competitive conditions. ·       Broaden knowledge of company solutions and their capabilities versus the strengths/weaknesses vis-à-vis the competition. ·       Pursue large prospects and leads and negotiate terms of sales that will maximize the organization’s business interests. ·       Liaise with other departments across the organization (particularly in implementation and client services) to ensure that sales activities are integrated with other parts of the business and aligned with the overall corporate objectives. ·       Propose and implement opportunity and account plans to ensure client satisfaction, profitability, and retention through building ongoing business relationships. ·       Establish and maintain effective and constructive relationships with internal/external clients, earning trust and respect through demonstrating a consistent commitment to exceed expectations. ·       Maintain a high state of integrity and professionalism in carrying out the duties and responsibilities of this position.   QUALIFICATIONS & EXPERIENCE     ·       Bachelor degree or above ·       At least 5 years of sales experience in service outsourcing, HCM solutions and/or related software industries selling to senior-level executives. ·       At least 3 years of exposure to the North Asia region. ·       Strong financial acumen and business orientation with innovative approaches to business development. ·       Possesses BPO/HRO industry knowledge. ·       Solid proven sales record in continually achieving or exceeding assigned business revenue targets. Proven proficiency in account plan development and implementation of related sales strategies to secure large clients. ·       Strong command of English with both oral and written; second north Asia language preferred.   ·       Excellent presentation and written communication skills.",Mid-Senior level,Full-time,Business Development and Sales,Human Resources
"Sr. Sales Trainer, South",Tesla,"Shenzhen, Guangdong, China",1 month ago,Be among the first 25 applicants,职位描述：  区域培训项目指导/区域培训项目经理将主要负责区域销售和交付的培训项目建立和执行。  该职位需要与关键业务合作伙伴和区域销售领导合作，以确定并分析培训需求和业务健康  状况。通过制作和执行定制化培训内容为区域团队成员提供指导和发展团队，以充分发挥  其潜力，协助提高整个地区的绩效。  工作职责： 设计，制作和执行相关培训项目。包括但不限于入职，产品，客户服务，销售技巧 与业务经理和主要业务伙伴合作，分析业务的健康状况和机会点，以确定工作重心和项目核心 与业务经理和专题项目专家合作以确定培训需求，并迅速建立和实施培训解决方案 能适应在教室，在线和店内任何环境中提供培训 执行知识检查和角色扮演以验证学习成果 为业务经理提供反馈和意见/建议 管理培训后的调查和效果跟踪，以评估有效性并向管理层提供报告 任职要求： 5 年以上的培训或客户服务相关经验 卓越的自我激励能力 积极主动，独立自主工作，有上进心 优秀的书面表达和口头表达能力 可接受出差和到访不同门店，超过50% 的时间 熟悉Mac OS X 和Windows 操作系统 熟练运用Microsoft Office，Office365，Pages 和Keynote 具备多媒体制作能力优先 可英文沟通优先,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Global Sales Manager,ADP,"Pudong, Shanghai, China",3 weeks ago,Be among the first 25 applicants,"ROLE PURPOSE   To penetrate large-scale accounts with a focus on those companies based in North Asia. The primary responsibility of the role will be to develop and manage relationships with the key stakeholders in order drive sales across the assigned accounts and territory. In addition, the Global Sales Manager will be responsible for providing consistent management, planning and reporting on their accounts.     RESPONSIBILITIES   ·       Meet or exceed assigned quota. ·       Develop annual business plan, determining sales and activity goals required for attainment of assigned quota. ·       Create consistent activity management, opportunity and account plans within Salesforce.com. ·       Prepare sales forecasts; establish targets in areas such as product mix, sales volume, market share, or business development and monitor the performance of the sales against these goals; adjust sales strategies and plans to meet changing markets and competitive conditions. ·       Broaden knowledge of company solutions and their capabilities versus the strengths/weaknesses vis-à-vis the competition. ·       Pursue large prospects and leads and negotiate terms of sales that will maximize the organization’s business interests. ·       Liaise with other departments across the organization (particularly in implementation and client services) to ensure that sales activities are integrated with other parts of the business and aligned with the overall corporate objectives. ·       Propose and implement opportunity and account plans to ensure client satisfaction, profitability, and retention through building ongoing business relationships. ·       Establish and maintain effective and constructive relationships with internal/external clients, earning trust and respect through demonstrating a consistent commitment to exceed expectations. ·       Maintain a high state of integrity and professionalism in carrying out the duties and responsibilities of this position.   QUALIFICATIONS & EXPERIENCE     ·       Bachelor degree or above ·       At least 5 years of sales experience in service outsourcing, HCM solutions and/or related software industries selling to senior-level executives. ·       At least 3 years of exposure to the North Asia region. ·       Strong financial acumen and business orientation with innovative approaches to business development. ·       Possesses BPO/HRO industry knowledge. ·       Solid proven sales record in continually achieving or exceeding assigned business revenue targets. Proven proficiency in account plan development and implementation of related sales strategies to secure large clients. ·       Strong command of English with both oral and written; second north Asia language preferred.   ·       Excellent presentation and written communication skills.",Mid-Senior level,Full-time,Business Development and Sales,Human Resources
"Regional Enterprise Sales Manager, Hangzhou",Tesla,"Hangzhou, Zhejiang, China",1 month ago,Be among the first 25 applicants,职位介绍：  企业客户销售团队负责制定和执行特斯拉在中国大陆市场的企业端销售策略。该部门还负责在合作企业内的品牌宣传、企业专属活动、企业车主维护，以及其它一切帮助公司提升和维护双方的可持续合作关系的职能。 作为区域企业客户销售主管/经理，您的首要职责是为特斯拉的产品在企业端的销售快速打开渠道、实现增量。您亦对进行中的合作企业提供持续的支持与服务，对合作企业的现状表现做出分析和提升的行动方案。此职位还将参与公司内部其他商业团队合作，包括商务拓展、金融服务、充电团队等等。  主要职责：  我们正在寻找有相关专业经验，并具有公关经验和能力的候选人。您应具备如下能力： 建立及扩充企业渠道资源：为区域内特斯拉中心和体验店带来客流和销售增量，实现快速打开所在区域企业渠道的目标。 开发客户及签订合约：寻找符合要求的潜在客户，准备与客户沟通的资料，把握重点客户决策链，与潜在客户建立关系，并可以独立完成企业员工购车协议的谈判和签订。 协议签订后，您将与BD/CRM/MKT等其他相关团队合作完成以下工作： 企业员工专属活动：特斯拉科技讲堂、企业专属置换日、专场试驾会、企业车主讲堂等； 作为大客户团队代表来监管在合作企业内开展的活动质量和频率，督促合作伙伴改善项目； 参与推动内部的协调和配合，协助制订和实施符合企业活动品质衡量的标准与流程。 培养与合作企业的关系：发展、推动和管理合作企业的本地团队，通过以上任务的达成和与零售门店的合作，确保企业销售团队目标的达成。 基本条件： 拥有5-10年在中国市场的商务拓展、企业客户销售、公关或其他相关领域的经验 出色的谈判能力，具有参与合同谈判的相关经验及理解诠释法律合同/协议的能力 成功的合作伙伴和影响者 对企业客户合作和商业操作有详尽的了解与知识 能够合理安排并同时胜任多项任务，思路清晰 了解并掌握项目管理工具和技巧 了解特斯拉的品牌和企业文化,Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
