jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Business Development Manager - Eastern Europe,Ackcio,Russia,,Be among the first 25 applicants,"Ackcio builds reliable industrial IoT solutions to automate the process of monitoring geotechnical and structural sensors across construction, infrastructure, rail and mining. We have clients in over 20 countries across 6 continents. Our business is growing rapidly, and we are looking for a Business Development Manager to boost our growth in Eastern Europe. You will play a fundamental role in achieving our ambitious customer acquisition and revenue growth objectives.  Responsibilities ACCOUNT DEVELOPMENT Research accounts, identify key players and generate interest To make approach calls / send approach emails to potential customers Understand customer needs and requirements Manage and develop new opportunities in each account Close sales and achieve quarterly quotas   To work with / train channel partners and demonstrate Ackcio products and services SALES PROMOTION ACTIVITIES Planning and overseeing new marketing initiatives To represent Ackcio at exhibition booths and attend conferences TENDERS To be aware of potential projects and tenders so that Ackcio product features are specified in the tender requirements To review tenders and recommend a BID/NO BID to management To respond to BID tenders in a timely manner RECORD KEEPING To enter all opportunities in the company CRM as in use at the time To keep such records up to date on factors such as due dates, project timeline, probability of winning etc REPORTING To prepare weekly/monthly sales activity reports for management To prepare and update the sales pipelines on a weekly basis To be able to discuss and present the pipeline to management  Requirements Minimum 3 years of business development, sales experience  Experience in geotechnical and structural monitoring would be a plus Experience in any of the following sectors would be beneficial: civil engineering, mining, rail or oil and gas Independent, self-starter Track record of over-achieving quota Languages: Broadest possible local language skills for Eastern European countries, including Russian language skills are clearly advantageous English  Proficient with corporate productivity and web presentation tools Experience working with Salesforce.com or similar CRM Excellent verbal and written communications skills Strong listening and presentation skills Ability to multitask, prioritize, and manage time effectively Thrives in a fast-paced environment and can adjust priorities on-the-fly Demonstrated ability to learn new skills quickly Ability to work independently and as a part of a team BA/BS degree or equivalent in business, marketing or engineering  Perks Work with a talented team of a fast-growing, deep-tech startup. Cool working space with lots of friendly people. We are a tight-knit team (family) that grabs lunch together  Be part of a deep-tech startup that is disrupting the market We are Great Place To Work certified in 2021!  Find us at https://www.ackcio.com/",Associate,Full-time,Business Development and Sales,Wireless
"Sales Director in Moscow, Russia",DEAC European Data Center Operator,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,"This position will be reporting to the VP of Sales & Marketing. Great opportunity for the experienced and enthusiastic salesperson that loves new business development if you have  two  years of experience with cloud solution sales and experience with new business development in Russia.   Responsibilities:  Creating personal Go-to-market plan; New business development; Promoting DEAC solutions directly and via partners; Responsibility for the complete sales cycle; Uncover opportunities to generate demand with customers to help drive additional revenue.  Requirements:  Track record of cloud / IT sales success; Ability to identify and develop new business; Experience with C-level customer engagement; 2+ years proven sales experience of cloud solution sales; Fluent English; The technological background would be an advantage; Outstanding written and verbal communication skills; Experience with digital (remote) business development.  We offer:  Unique opportunity to work in a data center industry; Interesting and responsible position in a rapidly growing IT company; Excellent growth opportunities and high-level training; Competitive salary and motivating bonus system;  Work in a friendly team.DEAC is one of the largest independent data center operators in Northern Europe, owned by a Swiss investment infrastructure fund managed by Quaero Capital. DEAC has points of presence in the major cities of Central and Eastern Europe.  www.deac.eu",,Full-time,,
International Sales Manager,Macroscop Professional IP Camera Software,"Perm, Russia",1 week ago,Be among the first 25 applicants,"Команда Macroscop ищет опытного менеджера по продажам для работы с нашими партнерами из Бельгии, Люксембурга, Голландии, Дании, Тайваня, Сингапура и Австралии.  Менеджер вольется в уже успешную команду международных продаж и будет активно развивать партнерские отношения с крупными зарубежными дистрибьюторами и интеграторами систем безопасности.  Что нужно будет делать: ежедневно общаться с нашими партнерами на английском языке и выстраивать с ними лояльные отношения; выходить на новые рынки и обеспечивать рост объемов продаж; выполнять планы по ключевым показателям эффективности; достигать финансовых и личных результатов на международном рынке; осуществлять аккаунтинг; консультировать партнеров по работе продукта; развивать и выявлять новые проекты; планирование дальнейшей работы с партнёром; проведение презентаций, видео-встреч, продвигающих мероприятий (совместно с маркетингом).  Чего мы ждем от Вас: владение английским языком уровень С1 (владение вторым языком будет большим плюсом испанский/итальянский/французский/голландский и тд); опыт ведения телефонных или личных деловых переговоров с иностранными бизнес-партнерами; желателен опыт работы в IT-компании; гибкость и ориентацию на результат, профессиональное новаторство и готовность много учиться.  Что предлагаем мы:  1. Возможность работы в крупной IT - компании, где выстроена культура высоких результатов. 2. У нас уже есть готовая база! Продажи - с первого дня работы! С тебя - только выполнение плана, и мы тебе в этом поможем;) 3. Классная команда, которая каждодневно прокачивает и помогает добиваться целей и задач. 3. Достойный уровень мотивации: полностью белая зарплата: фикс от 30 000 после вычета налогов + % от продаж ""без потолка""; все гарантии по ТК РФ, нормированная пятидневная рабочая неделя с 9.00 до 18.00; 4. Комфортный офис в digital-парке ""Морион"" (р-н Гознака), бесплатная парковка, релакс-комната с настольным теннисом, собственное кафе с кофе на свежеобжаренном зерне. Возможность удаленной работы. 4. Широкие возможности для обучения: сопровождение опытным наставником, возможность учиться у лучших сотрудников Компании; эффективная программа погружения в бизнес-процессы компании, обучение продукту с техническим тренером; общение с международными гостями Мacroscop (носители английского); возможность посещать международные мероприятия (командировки за границу); доступ к корпоративной электронной библиотеке. 4. Реальная возможность горизонтального и вертикального роста. 5. Насыщенная корпоративная жизнь: возможность участвовать в различных “движухах”, которые организует компания (необычные и драйвовые корпоративы, спортивные междусобойчики).",,Full-time,,
Sales development representative (b2b SaaS platform),,Russia,,Be among the first 25 applicants,"Agro.Club ( https://agro.club/ru/ ) is a uniting agro-industrial complex that helps to buy, sell and earn more and easier! Our platform allows agricultural producers, retailers and grain companies to manage their business, attract farmer customers and support partners through channels with maximum efficiency, useful information and simplicity.  Responsibilities: Explore and evaluate potential customers through web research; Develop sales using new digital business models; Qualify potential customers, present/demonstrate digital products and services; Create and manage a sales funnel from opening to signing (post-sales support managed by the customer service team); Support further development of digital solutions based on customer opinions and market feedback; Identify opportunities and assist the further development of existing SaaS solutions.  Requirements: You know the best and latest practices and tools in B2B SaaS sales (digital marketing, outbound campaigns, pipedrive, etc.); You are a successful SDR with 3-4 years of experience in fast-growing B2B SaaS companies (CRM, ERP, marketing and HR management platforms, etc.); You are an avid salesman who likes to make breakthroughs and stimulate sales; You know how to run a clean sales process and are well aware of pipelines and opportunities; You know how to make a deal and don't live in an endless cycle of ""follow-up""; Basic understanding of IT technologies; Understanding of the Sales funnel; Advanced English, knowledge of Spanish – as a plus; Strong analytical abilities; Experience working with B2B, SaaS.  Conditions: A cool team with a background of working in top international companies; The ability to independently decide what to do and how - without micromanagement; Lack of bureaucracy and stagnation; A distributed team with structured processes; Professional growth, we are not afraid of difficulties, we love them.",,Full-time,,
Sales Director,VLG Capital,"Moscow, Russia",1 day ago,Be among the first 25 applicants,"VLG Capital - инвестиционная компания, специализирующаяся на активном портфельном управлении для частных и институциональных клиентов. В основе нашего подхода к инвестициям лежит экспертиза в областях традиционного портфельного управления, количественных методов и автоматизации процессов торговли. База наших стратегий - систематизация, основанная на фундаментальных принципах экономики и строгих причинно следственных связях. Наша команда многообразна и состоит из профессионалов как инвестиционного рынка, так программистов и математиков.  Кандидат: Профессионал с опытом работы в банках или инвестиционных компаниях, который сформирует и возглавит направление дистрибуции инвестиционных продуктов нашей компании.  Основные задачи и цели: Выстроить бизнес процесс привлечения и сопровождения новых и действующих частных и институциональных клиентов компании Активная роль в доработке инвестиционных продуктов для сегментов UHNW, HNW и институциональных клиентов Привлечение новых клиентов и поддержание действующих клиентских отношений Выстроить эффективную сеть партнерств по дистрибуции инвестиционных продуктов компании   Базовые условия: Работа в московском офисе компании (ЦАО). Конкурентная з/п + bonus Небольшая команда и горизонтальная организационная структура Гибкий рабочий график Соцпакет (обучение, спорт и т.д.)",,Full-time,,
Key Account Sales Specialist,Long Sheng Pharma,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,"Обязанности: Работа с существующими клиентами компании: обработка запросов на поставку фармацевтических субстанций, проведение переговоров о цене и условиях, подготовка и заключение контрактов, организация поставок субстанций со склада компании или со склада производителя, контроль дебиторской задолженности; Сохранение клиентской базы и удержание клиентов, поддержание лояльности лиц, принимающих решения о закупке; Мотивация клиентов на закупку фармацевтических субстанций из портфеля компании, мониторинг пайплайна препаратов клиента и своевременное формирование предложения по включению субстанций в НД; Конкурентная разведка: активный мониторинг действий конкурентов, сбор информации о ценах, условиях работы. Коррекция тактики продаж в соответствии с действиями конкурентов; Привлечение новых клиентов из числа контрагентов конкурентов, а также поиск новых клиентов; Документирование своей работы в карточке клиента , мониторинг динамики его закупок.  Образование: Высшее (предпочтительно фармацевтическое, экономическое, химическое, техническое). Преимуществом является дополнительное образование в области техники продаж.  Требования: Опыт самостоятельных продаж фармацевтических субстанций более 2 лет, наличие наработанной клиентской базы. Коммуникабельность, ответственность, умение держать данные обещания, стрессоустойчивость, обучаемость, ориентированность на результат.",,Full-time,,
Sales Account Manager - Far East,Procter & Gamble,"Vladivostok, Primorye, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Vladivostok, Khabarovsk . This might require relocation.  Do you want to continue your learning in the Company that is known as the ""Sales school""? Then, our Sales Account Manager role is for you!  Sales department transforms yesterday’s narrow selling concept of buyer-seller relationships with our customers into a multifunctional, collaborative approach designed to achieve our mutual volume, profit, and market share objectives. You will work collaboratively with experts from P&G including Finance, Sales Category Managers and Marketers to develop the right business strategies and business plans to deliver sustainable competitive advantage for our brands in the marketplace. As an Account Manager you will be responsible for developing superior in-store presence of our brands in a defined geographic territory with a number of our customers. You will be leading a significant part of our business and be able to immediately see results of your work.  Your development is our priority. Early in your career, you will be offered rotational assignments changing every 2 to 3 years. As you progress, you may have the opportunity to work globally. At P&G, we are willing to help build the career path that is right for you.  Responsibilities Developing assortment, shelving, pricing, and merchandising strategies Marketing budget planning Negotiating launches of new P&G products with clients (retailers) Joint business planning with clients: advertising, promo plans, assortment, shelving, pricing, merchandising Results’ assessment Compensation & Benefits Monthly salary 80 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Qualifications Higher education (minimum bachelor’s degree) Good command of English (Upper-Intermediate or higher) You should be willing to travel and relocate throughout your career Relevant job experience is not mandatory but preferable Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Head of SDR,HypeAuditor,Russia,3 days ago,Be among the first 25 applicants,"Why Work Here?  HypeAuditor is a leading B2B influencer marketing platform with customers from all around the world. We provide tools and reports for influencer search on Instagram, Tiktok, Youtube, Twitch and Twitter. HypeAuditor is a data provider trusted by the biggest media outlets like Forbes, Social Media Today, The Washington Post, Business Insider, Entrepreneur, and PR Week.  Founded back in 2018, HypeAuditor acquired more than 750 000+ clients. Trusted by the world’s leading brands like Dior, Amazon, L'Oreal, H&M, Unilever, the company is helping to get more transparent influencer marketing analytics. We’re honored to be named one of America's Best Startup Employers 2021 by Forbes.   Job Overview:  The Head of SDR is responsible for setting up, managing and leading an inside sales/SDR team from scratch by overseeing its sales, operations, and strategies for new and existing customers of HypeAuditor.  Duties and Responsibilities:  Recruits and leads a team of 3-5 sales development representatives, driving overachievement of sales goals with coaching, performance management, engagement, and career development. Sets up a structure, processes, and motivation/reward system for the whole team  Nurtures a positive team environment, in alignment with HypeAuditor's Core Values. Manages team performance against quotas and sales forecasts, executes operating plans and ensures sales objectives are met. Drives revenue and contributes to the continued growth of HypeAuditor through consistently achieving individual and team quotas. Monitors daily activity of sales representatives; including sales activities and use of corporate CRM. Drives metrics to measure performance of the sales activities; corrects deficiencies where necessary. Collaborates with field sales employees on sales execution.  Qualifications Desired:   2+ years of SaaS SDR/inside sales management or supervisory experience preferred; telephone and internet based sales experience preferred Fluent English, other foreign languages are welcomed Demonstrated experience in building, training, managing, developing and getting results (setting personal and team goals depending on current priorities, defining KPIs) from an inside sales/SDR team Proven track record of driving high volume, transactional sales",,Full-time,,
Area Sales Manager,MOTIVE Srl,"Yaroslavl’, Russia",2 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
Area Sales Manager,MOTIVE Srl,"Samara, Russia",2 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
