jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Sales Director in Moscow, Russia",DEAC European Data Center Operator,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,"This position will be reporting to the VP of Sales & Marketing. Great opportunity for the experienced and enthusiastic salesperson that loves new business development if you have  two  years of experience with cloud solution sales and experience with new business development in Russia.   Responsibilities:  Creating personal Go-to-market plan; New business development; Promoting DEAC solutions directly and via partners; Responsibility for the complete sales cycle; Uncover opportunities to generate demand with customers to help drive additional revenue.  Requirements:  Track record of cloud / IT sales success; Ability to identify and develop new business; Experience with C-level customer engagement; 2+ years proven sales experience of cloud solution sales; Fluent English; The technological background would be an advantage; Outstanding written and verbal communication skills; Experience with digital (remote) business development.  We offer:  Unique opportunity to work in a data center industry; Interesting and responsible position in a rapidly growing IT company; Excellent growth opportunities and high-level training; Competitive salary and motivating bonus system;  Work in a friendly team.DEAC is one of the largest independent data center operators in Northern Europe, owned by a Swiss investment infrastructure fund managed by Quaero Capital. DEAC has points of presence in the major cities of Central and Eastern Europe.  www.deac.eu",,Full-time,,
Sales Account Manager - Far East,Procter & Gamble,"Vladivostok, Primorye, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Vladivostok, Khabarovsk . This might require relocation.  Do you want to continue your learning in the Company that is known as the ""Sales school""? Then, our Sales Account Manager role is for you!  Sales department transforms yesterday’s narrow selling concept of buyer-seller relationships with our customers into a multifunctional, collaborative approach designed to achieve our mutual volume, profit, and market share objectives. You will work collaboratively with experts from P&G including Finance, Sales Category Managers and Marketers to develop the right business strategies and business plans to deliver sustainable competitive advantage for our brands in the marketplace. As an Account Manager you will be responsible for developing superior in-store presence of our brands in a defined geographic territory with a number of our customers. You will be leading a significant part of our business and be able to immediately see results of your work.  Your development is our priority. Early in your career, you will be offered rotational assignments changing every 2 to 3 years. As you progress, you may have the opportunity to work globally. At P&G, we are willing to help build the career path that is right for you.  Responsibilities Developing assortment, shelving, pricing, and merchandising strategies Marketing budget planning Negotiating launches of new P&G products with clients (retailers) Joint business planning with clients: advertising, promo plans, assortment, shelving, pricing, merchandising Results’ assessment Compensation & Benefits Monthly salary 80 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Qualifications Higher education (minimum bachelor’s degree) Good command of English (Upper-Intermediate or higher) You should be willing to travel and relocate throughout your career Relevant job experience is not mandatory but preferable Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Head of SDR,HypeAuditor,Russia,3 days ago,Be among the first 25 applicants,"Why Work Here?  HypeAuditor is a leading B2B influencer marketing platform with customers from all around the world. We provide tools and reports for influencer search on Instagram, Tiktok, Youtube, Twitch and Twitter. HypeAuditor is a data provider trusted by the biggest media outlets like Forbes, Social Media Today, The Washington Post, Business Insider, Entrepreneur, and PR Week.  Founded back in 2018, HypeAuditor acquired more than 750 000+ clients. Trusted by the world’s leading brands like Dior, Amazon, L'Oreal, H&M, Unilever, the company is helping to get more transparent influencer marketing analytics. We’re honored to be named one of America's Best Startup Employers 2021 by Forbes.   Job Overview:  The Head of SDR is responsible for setting up, managing and leading an inside sales/SDR team from scratch by overseeing its sales, operations, and strategies for new and existing customers of HypeAuditor.  Duties and Responsibilities:  Recruits and leads a team of 3-5 sales development representatives, driving overachievement of sales goals with coaching, performance management, engagement, and career development. Sets up a structure, processes, and motivation/reward system for the whole team  Nurtures a positive team environment, in alignment with HypeAuditor's Core Values. Manages team performance against quotas and sales forecasts, executes operating plans and ensures sales objectives are met. Drives revenue and contributes to the continued growth of HypeAuditor through consistently achieving individual and team quotas. Monitors daily activity of sales representatives; including sales activities and use of corporate CRM. Drives metrics to measure performance of the sales activities; corrects deficiencies where necessary. Collaborates with field sales employees on sales execution.  Qualifications Desired:   2+ years of SaaS SDR/inside sales management or supervisory experience preferred; telephone and internet based sales experience preferred Fluent English, other foreign languages are welcomed Demonstrated experience in building, training, managing, developing and getting results (setting personal and team goals depending on current priorities, defining KPIs) from an inside sales/SDR team Proven track record of driving high volume, transactional sales",,Full-time,,
Business Develop Manager,COREX Logistics,"Moscow, Moscow City, Russia",1 day ago,Be among the first 25 applicants,"#TeamCOREX is Searching for the pro-active sales person having background in either pharma or logistics (or both). The goals are to communicate with top global pharma actors in order to provide COREX's services within CIS, Eastern Europe, Central Asia regions. Please, contact for details.",,Full-time,,
Sales Key Account Manager,Procter & Gamble,"Moscow, Moscow, Russia",2 weeks ago,Be among the first 25 applicants,"Procter & Gamble is one of the world’s largest consumer goods companies, making globally recognized brands Pampers®, Gillette®, Venus®, Head & Shoulders®, Oral-B®, Pantene®, Always®, Old Spice® and others. We are passionate about growing individuals to become our future leaders and committed to your personal development to enable this.  P&G is looking for a strong talent with Key Account Manager or Sales representative experience that will work with one of the top National Eastern Europe Retailers. Key to success on this role will be strong negotiation skills, collaboration with multi-functional team internally and externally, strong analytics and constant passion for winning!  Responsibilities  Develop P&G's business with one of the top national retailers through: Leading annual negotiations with the customer that includes contract and business plans, control of the agreements’ execution Delivering targets on sell-in/out and value shares, as well as supervising financial KPIs Developing customer-specific portfolio, promo and trade-marketing strategy Financial control of customers’ budgets Collaboration with internal P&G multi-functional teams, including finance, logistics and marketing departments Compensation & Benefits Competitive base salary and annual bonus Monthly flexibility allowance Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Flexible work hours and possibility to work from home Access to P&G’s global comprehensive training portfolio Qualifications  To be qualified for the role, you must have Any higher education degree Experience as a Key Account Manager (KAM) in Food/FMCG international companies or as a Sales representative with top national retailers Good command of English (Upper-Intermediate or higher level) Desired skills & experience Fund and promo management experience Advanced negotiation and analytical skills Strong skills in Math, Economics, Statistics Strong resilience and stress management skills Excellent organization and time management skills High level of emotional intelligence, effective communication and networking skills Just so you know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Representative,Şişecam,"Moscow, Moscow City, Russia",2 weeks ago,27 applicants,"One of the most established enterprises in Turkey, Şişecam is a global actor in business lines including flat glass, glassware, glass packaging and glass fiber as well as soda and chromium chemicals. Şişecam, which is globally one of the two largest producers in glassware and the five largest producers in glass packaging and flat glass today, is the world’s eighth largest soda producer as well as the world leader in chromium compounds.  Operating in Turkey, Germany, Italy, Bulgaria, Romania, Slovakia, Hungary, Bosnia-Herzegovina, the Russian Federation, Georgia, Ukraine, Egypt, India and the USA, Şişecam plays a leading role in flat glass, glassware, glass packaging, chemicals, automotive, glass fiber, mining, energy and recycling business lines.  As a company at international scale with its 85 years of experience, 22,000 employees, production activities spanning 14 countries on four continents, and sales in 150 countries, Şişecam continues on its journey to become one of top three global producers in its all-main business lines.  We are looking for Sales Representative to take part in Şişecam Moscow Sales Office located in Russia / Moscow. The ideal candidate would have the following qualifications:  Bachelor’s degree Minimum 1 year of experience as Customer Support Manager Fluency in Russian and English both written and spoken Good knowledge of MS Office applications (Excel, Word) and CRM Strong communication skills and a good team player Strong capability to handle multiple tasks and adapt to changing priorities Proactive, result oriented and self motivated   JOB DESCRIPTION  Working with distributors, large wholesale companies in Russia, the CIS and abroad Processing orders received from customers, supporting communication with them via phone and email Entering the customers` information into SAP (ERP system), managing the balance of customer orders, planning loading Planning weekly shipments Verification of shipping documents issued by the logistics department Introduction of special production orders and production planning according to demand Tracking customer accounts receivable Preparation of statistical reports on sales and their analysis Informing customers about the production program, new products, prices, stock availability",Associate,Full-time,Customer Service and Sales,"Glass, Ceramics & Concrete"
Sales Account Manager - Eastern Siberia,Procter & Gamble,"Ulan-Ude, Buryatia, Russia",6 days ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Krasnoyarsk, Irkutsk, Ulan-Ude, Tomsk. This might require relocation.  Do you want to continue your learning in the Company that is known as the ""Sales school""? Then, our Sales Account Manager role is for you!  Sales department transforms yesterday’s narrow selling concept of buyer-seller relationships with our customers into a multifunctional, collaborative approach designed to achieve our mutual volume, profit, and market share objectives. You will work collaboratively with experts from P&G including Finance, Sales Category Managers and Marketers to develop the right business strategies and business plans to deliver sustainable competitive advantage for our brands in the marketplace. As an Account Manager you will be responsible for developing superior in-store presence of our brands in a defined geographic territory with a number of our customers. You will be leading a significant part of our business and be able to immediately see results of your work.  Your development is our priority. Early in your career, you will be offered rotational assignments changing every 2 to 3 years. As you progress, you may have the opportunity to work globally. At P&G, we are willing to help build the career path that is right for you.  Responsibilities Developing assortment, shelving, pricing, and merchandising strategies Marketing budget planning Negotiating launches of new P&G products with clients (retailers) Joint business planning with clients: advertising, promo plans, assortment, shelving, pricing, merchandising Results’ assessment Compensation & Benefits Monthly salary 80 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Qualifications Higher education (minimum bachelor’s degree) Good command of English (Upper-Intermediate or higher) You should be willing to travel and relocate throughout your career Relevant job experience is not mandatory but preferable Candidates with valid driving license might be given priority  Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Account Manager - Western Siberia,Procter & Gamble,"Kurgan, Kurgan, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Novosibirsk, Kurgan, Barnaul, Omsk . This might require relocation.  Do you want to continue your learning in the Company that is known as the ""Sales school""? Then, our Sales Account Manager role is for you!  Sales department transforms yesterday’s narrow selling concept of buyer-seller relationships with our customers into a multifunctional, collaborative approach designed to achieve our mutual volume, profit, and market share objectives. You will work collaboratively with experts from P&G including Finance, Sales Category Managers and Marketers to develop the right business strategies and business plans to deliver sustainable competitive advantage for our brands in the marketplace. As an Account Manager you will be responsible for developing superior in-store presence of our brands in a defined geographic territory with a number of our customers. You will be leading a significant part of our business and be able to immediately see results of your work.  Your development is our priority. Early in your career, you will be offered rotational assignments changing every 2 to 3 years. As you progress, you may have the opportunity to work globally. At P&G, we are willing to help build the career path that is right for you.  Responsibilities Developing assortment, shelving, pricing, and merchandising strategies Marketing budget planning Negotiating launches of new P&G products with clients (retailers) Joint business planning with clients: advertising, promo plans, assortment, shelving, pricing, merchandising Results’ assessment Compensation & Benefits Monthly salary 80 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Qualifications Higher education (minimum bachelor’s degree) Good command of English (Upper-Intermediate or higher) You should be willing to travel and relocate throughout your career Relevant job experience is not mandatory but preferable Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Account Manager - Far East,Procter & Gamble,"Khabarovsk, Khabarovsk, Russia",6 days ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Vladivostok, Khabarovsk . This might require relocation.  Do you want to continue your learning in the Company that is known as the ""Sales school""? Then, our Sales Account Manager role is for you!  Sales department transforms yesterday’s narrow selling concept of buyer-seller relationships with our customers into a multifunctional, collaborative approach designed to achieve our mutual volume, profit, and market share objectives. You will work collaboratively with experts from P&G including Finance, Sales Category Managers and Marketers to develop the right business strategies and business plans to deliver sustainable competitive advantage for our brands in the marketplace. As an Account Manager you will be responsible for developing superior in-store presence of our brands in a defined geographic territory with a number of our customers. You will be leading a significant part of our business and be able to immediately see results of your work.  Your development is our priority. Early in your career, you will be offered rotational assignments changing every 2 to 3 years. As you progress, you may have the opportunity to work globally. At P&G, we are willing to help build the career path that is right for you.  Responsibilities Developing assortment, shelving, pricing, and merchandising strategies Marketing budget planning Negotiating launches of new P&G products with clients (retailers) Joint business planning with clients: advertising, promo plans, assortment, shelving, pricing, merchandising Results’ assessment Compensation & Benefits Monthly salary 80 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Qualifications Higher education (minimum bachelor’s degree) Good command of English (Upper-Intermediate or higher) You should be willing to travel and relocate throughout your career Relevant job experience is not mandatory but preferable Candidates with valid driving license might be given priority  Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Account Manager - Eastern Siberia,Procter & Gamble,"Irkutsk, Irkutsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Krasnoyarsk, Irkutsk, Ulan-Ude, Tomsk. This might require relocation.  Do you want to continue your learning in the Company that is known as the ""Sales school""? Then, our Sales Account Manager role is for you!  Sales department transforms yesterday’s narrow selling concept of buyer-seller relationships with our customers into a multifunctional, collaborative approach designed to achieve our mutual volume, profit, and market share objectives. You will work collaboratively with experts from P&G including Finance, Sales Category Managers and Marketers to develop the right business strategies and business plans to deliver sustainable competitive advantage for our brands in the marketplace. As an Account Manager you will be responsible for developing superior in-store presence of our brands in a defined geographic territory with a number of our customers. You will be leading a significant part of our business and be able to immediately see results of your work.  Your development is our priority. Early in your career, you will be offered rotational assignments changing every 2 to 3 years. As you progress, you may have the opportunity to work globally. At P&G, we are willing to help build the career path that is right for you.  Responsibilities Developing assortment, shelving, pricing, and merchandising strategies Marketing budget planning Negotiating launches of new P&G products with clients (retailers) Joint business planning with clients: advertising, promo plans, assortment, shelving, pricing, merchandising Results’ assessment Compensation & Benefits Monthly salary 80 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Medical, travel, and life insurance Possibility of enrollment in P&G International Stock Ownership Plan Qualifications Higher education (minimum bachelor’s degree) Good command of English (Upper-Intermediate or higher) You should be willing to travel and relocate throughout your career Relevant job experience is not mandatory but preferable Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Associate,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
