jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Head Of Business Development,Servier,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,"Main responsibilities:  Actively grow and develop own internal pipeline o Cooperate with global teams, providing them market analysis, revenue & profitability estimation, matrix fulfillment for product relevance for Russia and potential launch o Life cycle management of current portfolio with new formulations or new indications o Coordination of awareness and pre-launch activities preparation, cross-functional team creations and lead before product launch and transfer to Business Units Management of alliance activities o Coordination of internal team members and alliance counterparts to fulfill joint goals and deliverables of signed partnerships, oversee and support collaboration governance and operating norms, including forming, managing and supporting joint committees o Coordination with internal business partners to facilitate proactive partnership management and ensure strong alignment and coordination of key business activities o Lead alliance risk and issue management, including proactively identifying potential conflicts, managing issues to resolution, fostering and maintaining collaborative working relationships Explore new value creation opportunities through various products/services, which offer profitable opportunities o Identify and evaluate potential collaborations opportunities from scientific/medical, commercial, and strategic perspectives o Management of proposal development, validation, negotiation of agreements.  Requirements to a candidate: Experience in pharmaceutical industry 5+ years and 3+ years in a similar role, preferably with an international pharmaceutical company A University Degree, medical /pharmaceutical/economics education. English fluent  Desirable skills and knowledge: Management & coaching skills Experience working with and managing cross-functional teams Experience working on alliances A proactive and strategic thinker, with strong facilitation, problem-solving and issue resolution skills Creativity and drive to identify new areas to lever new/existing partnerships into additional product and/or service offerings that can generate incremental revenue and margin for the company Ability to successfully collaborate internally with professionals in the marketing, sales, regulatory, industry, finance, legal groups to lever the respective strengths and assets of the company to achieve business objectives Excellent interpersonal skills with ability to facilitate internal alignment, effectively and diplomatically negotiate and resolve conflict Strong communication skills (verbal and written)  Salary&Benefits: * Salary depends on experience and will be discussed individually. * Convenient office location (m. Belorusskaya). * Medical insurance after 3 months. * Life insurance. * Lunches. * Corporate car. * 35 calendar days of vacation.",Director,Full-time,Business Development and Sales,Pharmaceuticals
Sales Director (Russia),TH Group,"Moscow, Moscow City, Russia",2 weeks ago,56 applicants,"TH Russia (a member of TH Group) is seeking for Sales Director who is responsible for building, planning, and implementing the company strategy including manufacturing, sales and marketing to achieve business objectives and development goals of the Company.  Location: Moscow, Russia  Responsibilities Identify, develop and direct the implementation of business strategy including manufacturing, sales and marketing to achieve business objectives as set by the Board of Directors Develop detailed operational plans for manufacturing, sales, marketing, resources, and financials to realize the company's business strategy Coordinate activities, monitor and direct the effective operation of functional departments Manage the manufacturing activities to produce products with the best quality and cost effectiveness that satisfies and exceeds customers’ expectation. Develop and implement the sale & distribution strategy and build sale & distribution system in Russia Manage all marketing and branding activities including but not limited to positioning development, setting up marketing programs, formulating pricing strategies, establishing communication strategies, building promotional activities to connect TH products and brands with consumers. Develop and manage the budget effectively to ensure the achievement of business goals. Organization building: complete the organizational structure, establish regulations, work protocols and procedures, develop Key Performance Indicators, build value-based organizational culture that foster commitment and professionalism among the staff within the company.  Represent TH Russia in relationships with authorities, partners, communities and external organizations Other tasks as assigned by the immediate manager  Qualifications Bachelor's degree or equivalent experience 5+ years experiences of similar position in Multinational Companies Proven experience in business management Good network with distribution channels such as Modern Trade, KA, Convenience stores, etc. in Russia Wide and deep knowledge of sales in FMCG Experience/skill in key accounts and distributors management, negotiation and contracting Strong service mindset - Integrity - Commitment - Innovation - Effective Execution Strong leadership skills Ability to manage and drive changes",Director,Full-time,"Sales, Business Development, and Management","Consumer Goods, Food & Beverages, and Food Production"
Head of Sales CIS,Honeywell,"Moscow, Moscow City, Russia",2 days ago,29 applicants,"Join a team recognized for leadership, innovation and diversity  This position is in Honeywell Connected Enterprise (HCE) business.  At HCE, We are building a smarter, safer, and more sustainable world, helping our customers leverage the power of Connected. That’s the power of Honeywell. Our company invents, manufactures, and services technology solutions that address some of the most critical challenges around energy management, safety, security, industrial productivity, and global urbanization.  Within HCE, Honeywell Connected Industrial (HCI) line of business is the leading provider of advanced software offerings in the Process Industries including Energy, Oil and Gas, Chemicals/Petrochemicals, Paper, Metals, Mining, and other industries. Our offerings enable measurable O&M and business process improvement results for our customers. This business is focused on outcome-based software solutions, engineering, and life-cycle support services, converting our customers data into proactive, planned actions for our customers, thereby enabling greater reliability, improved safety, and operational uptime & business profitability.  We are looking in the Honeywell Connected Industrial business for a Head of Sales CIS, leader responsible for growing HCI business in CIS region (Commonwealth of Independent States). This exceptional leader will be responsible to drive incremental grow in CIS having full sales responsibility for half of entire HCI CIS sales (splitting responsibility with existing HCI Sr. sales manager of the region). This align with existing company strategy of double digit grow in CIS, considered part of Honeywell High Grow Region.  HCI CIS Head of Sales will be managing team of 3-4 Key Account and Territory managers being fully responsible for Orders growth, Customer engagement and keeping strategic relationship on C-level suites in assigned region. Position will be reporting to HCI Sales Director – EUROPE.  Key Responsibilities  Manage Honeywell Connected Industrials sales by selected region and customers in CIS  (Russia, Kazakhstan, Ukraine)  Ensure that business opportunities are converted into orders and revenue to meet and exceed the assigned orders quota  Lead organization of 3-4 direct sellers (Territory Managers or Key Account Managers) in the assigned region  Strategic/Key Account customer relationship on Director, VP and C-Suite level of customer organizations  The Ideal Candidate Will Have  Ability to establishing and building credibility for oneself and for HCI business/leadership.  Strong ability to develop and sustain long-term customer relationships, preferably with an extensive network of C-suite connections from previous roles in similar businesses.  Compelling written/verbal communications, and presentation skills, duly aligned to c-level audiences.  Hands-on experience in using sales methodologies like Challenger Sales, Strategic Selling, Key Account Management, LAMP, Value-based-selling, or similar.  Excellent win-win negotiator, preferably with formal negotiation training and experience of closing multi-year, multi-million-dollar deals with complex offering structures.  Ability to motivate and energize others; high-energy, go-getter, individual with exceptional (virtual) team management skills & experience.  YOU MUST HAVE  Master’s degree in Engineering or Business field from reputed, respectable institution  5 + years of experience in solution sales to B2B customers in industrial segment  3 + years in people management role managing small to medium Team  Native language – Russian and fluent in English (C1+)  Considerable experience working in selling complex, often-customized, Software, SaaS and Service delivering businesses, with on-prem and cloud-based deployment structures. Ability to influence at varying levels across the customers organization  WE VALUE  MBA education from reputed, respectable institution  Good knowledge of major industrials customer in Russia (oil & gas, chemical, power generation, ..)  3 + years of sales experience selling to industrial plant management, directors, VPs and to C-suite executive.  3+ years of experience in solution sales and/or B2B sales leadership in Industrial Products, Software Solutions in Process / Asset Management domains.  Experience in selling L3 (Process Optimization, Asset Monitoring, Simulation solutions) and/or L4 solutions such as MES, Supply Chain, IIOT Solutions, Industry 4.0, etc.  Experience in selling software solutions delivered through Cloud, SaaS, and traditional software commercial models.  Proficient usage experience of CRM (Sales Force) and sales metrics/KPIs to effectively collaborate with regional teams.  Cross-selling, strategic, solution-centric, value-based, consultative selling experience with exceptional collaboration and influencing skills across both, the clients and our own organization with intent to present a One-Honeywell approach to solutions and value-delivery.  Ability to handle multiple priorities and navigate in a highly matrixed environment  Understanding of Pricing Strategy and negotiating terms and conditions, price with customers.  Highly motivated leader with a mature, positive attitude and a passion for working with customers to drive outcomes.  Additional Information JOB ID: HRD138628 Category: Sales Location: Kievskaya Str., 7,Moscow,MOSCOW,121059,Russian Federation Exempt Sales (GLOBAL)",Director,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Head of sales,Airswift,"Moscow, Moscow, Russia",2 weeks ago,Be among the first 25 applicants,"International B2B company, a leading global manufacturer of industrial, project-oriented compressor and ventilation equipment.  Duties  Responsibility - Russia, CIS  Subordination - to the General Director  This specialist will develop the AFM & Service direction in Russia CIS, including sales of spare parts, service maintenance, commissioning, repair and modernization of equipment.  Management of the department, participation in the development of the strategy and its implementation, increasing the efficiency of the department, fulfilling the sales plan, in the future, possibly localizing the service.  Excellent knowledge of the markets - Oil and gas, chemical industry, metallurgy, energy.  Experience in developing and implementing a strategy, experience in successful sales of complex industrial equipment (design equipment), experience in successful management of people, knowledge of markets - oil and gas, chemical, metallurgy, energy, since. knowledge (preferably in compressors - centrifugal gas, piston, screw) with good communication and leadership qualities, with a good knowledge of English.  Conditions  Professional development opportunity  Attractive salary  Paid lunches  Voluntary health insurance and life insurance  mobile connection  Office - M. Prospect Mira",Director,Full-time,Sales and Business Development,"Civil Engineering, Staffing and Recruiting, and Oil & Energy"
Head of sales,Benchmark Executive,"Moscow, Moscow, Russia",1 month ago,Be among the first 25 applicants,EdTech company in looking for a Head of Sales for Asian market  Tasks Fully responsible for the B2C sales of the company in Asia Build a sales team from scratch Build a clear and transparent recruitment system Create a motivation system for Asian employees Build a quality control department Build an effective communication system with the marketing team Requirements Experience in selling products to the international market is required Experience in managing an English-speaking team of 10 people is required Mainly experience as a sales head in the tech business Mainly experience in sales at edtech Experience in managing remote teams Fluent English No relocation needed,Director,Full-time,Sales and Business Development,Primary/Secondary Education
Sales Director,Infobip,"Moscow, Moscow City, Russia",1 day ago,35 applicants,"Company Description  At Infobip we dream big. We value creativity, persistence and innovation, passionately believing that it is through teamwork that we can all reach greater heights. Since 2006, we have been innovating at the edge of technological possibilities and are now shaping global communications of the future. Through 60+ offices on six continents, Infobip's platform is used by almost 70% of the population, making it the largest network of its kind and the only full-stack cloud communication platform (cPaaS) globally. Join us on our mission to create life-changing interactions between humans and online services with new and unseen solutions.  As a Sales Director based in Moscow covering Eurasia Region (Russia and CIS) you will join Sales Department to continue our rapid growth. You will drive Enterprise teams in СIS countries and establishing efficient collaboration of your Sales teams with Customer Success, Presales, Marketing Clients technical support and other regional teams.  Job Description  Establishing and implementation strategy on Sales in Eurasia region developing new revenue streams targeting SaaS and ensuring stable growth of the Core business (CPaaS). Cascading the communication of the defined targets for the regions (Russia and CIS) defined by Company Board. Overseeing and managing sales activities in Eurasia region being responsible for achieving results in terms of margins, revenue, growth and acquisitions. Creating initiatives to take full advantage of market opportunities, reduce operational threats, forestall business risks and maximize core strengths. Organizing and leading sales processes and ensuring that KPIs are in line with company’s sales strategy. Managing Enterprise team leaders by setting up goals and monitoring performance as well as coach them to reach their full leadership potential. Cooperate with other departments in the region, when necessary.  Qualifications  You have at least 5 years of experience as a Sales/Business Director, you have experience working in international companies. You have 10+ experience in Enterprise Sales; experience in driving sales of Software as a Service (SaaS) is a must for this role. You have experience working with Russia and CIS market. You have business network with Senior executives across multiple industries. You are excellent negotiation, verbal, written communication and presentation skills. You great troubleshooting skills and a desire to constantly make improvements to our process. You have experience in managing and developing leaders, you have strong leadership skills and you are able implement sales transformation to achieve expected growth. You prefer a collaborative, fast-paced, entrepreneurial environment. Your English knowledge is advanced. You are ready for frequent business trips.  Additional Information  Why our employees choose us (and stay)?  Awesome clients – We serve and partner with the majority of the leading mobile operators, OTTs, brands, banks, social networks, aggregators and many more. You can look forward to working with the likes of Viber, Zendesk, O2 and… Seriously, our clients are really cool. Work with the world’s leading companies and impact how they communicate with their users! Opportunity knocks. Often. – Being a part of a growing company in a growing industry – we challenge you not to grow! Whether it’s horizontal, vertical, or angular, we want to support the path that you want to carve. Learn as you grow – Starting from the Academy as an onboarding program, to internal education, education resources, e-learning to external education, we invest heavily in employee learning and development. Connect globally – Work with people from different countries, participate in the biggest IT and Telecom events, join us in our Summer Connect conference in Croatia. We put the “global” in globalization. Dollars & Sense of Wellness – Competitive salary, health benefits, covered travel expenses, discounted corporate gym memberships, employer paid benefits, flexible work environment, kitchen stocked with the usual suspects plus special requests… Talk about a balanced lifestyle!",Director,Full-time,Sales and Business Development,Information Technology and Services and Computer Software
Head Of Sales Operations,ClickAdilla ad network,"Moscow, Moscow City, Russia",2 weeks ago,Be among the first 25 applicants,"Мы ищем амбициозного профессионала, любящего продажи, на проект - платформа по покупке и продаже рекламного трафика (ClickAdilla), которая предоставляет рекламные услуги по всему миру через ПК, мобильные телефоны, планшеты и Smart TV уже более 4х лет. Обязанности: Руководство отделом продаж (в отделе 10 менеджеров); Продвижение услуг компании, поиск и привлечение клиентов через холодные продажи и аккаунтинг; Анализ и мониторинг рынка, поиск новых каналов привлечения клиентов; Выстраивание отношений с потенциальными партнерами; Помощь клиентам в развитии их продукта и бизнеса; Выстраивание долгосрочных отношений с клиентами; Контроль выполнения плановых показателей отдела; Первичное сопровождение клиентов. Требования:Успешный опыт работы в сфере Digital (приветствуется работа в CPA - сети, рекламных сетях, рекламных агентствах) Знание таких понятий как арбитраж траффика, модели cpm/cpc/cpa/cps, форматы рекламы (попандеры, видео-реклама, тизерки), вертикали (беттинг, дейтинг, нутра и т.д.) Умение управлять командой; Любовь к продажам и к сфере интернет-рекламы; Нацеленность на результат и достижение целей; Способность к обучению сотрудников; Навыки ведения деловой переписки; Умение анализировать и структурировать информацию; Английский язык от Upper-Intermediate; Умение выходить на ЛПР. Условия:Современный офис на юге Москвы в шаговой доступности от метро «Севастопольская»; Конкурентоспособную заработную плату; Возможность расширения кругозора, профессионального и карьерного роста; Компенсацию питания; Всю необходимую современную технику; Корпоративные мероприятия.",,Full-time,,
Sales Director (Russia),Appear,"Moscow, Moscow, Russia",3 weeks ago,Be among the first 25 applicants,"Appear is a leading provider of media processing and delivery technology. Headquartered in Oslo, Norway and with customers in over 100 countries, Appear provides the backbone that production companies, telcos and broadcasters rely on to make immersive live experiences possible for their viewers. With world-class products and expertise, Appear’s focus on modularity, efficiency and high quality helps customers stay ahead of competition in a market where expectations and requirements are constantly changing and evolving.  As a part of our scale up process, we are is looking for an experienced professional to help secure new projects and grow our business in the Russian Media & Broadcast market. The ideal candidate is located in Russia, but location will not be a barrier for the right candidate.  Candidate profile  Candidates are expected to have an excellent understanding of the current market trends, demonstrating a strong history of senior level engagements in a lead sales role to Tier-1 Fiber Networks, Broadcast Operators and Content Owners.  You have 8+ years of experience and an established industry network, ideally gained within a vendor or operator environment with in-depth commercial understanding of the fixed and mobile video contribution, production, streaming and content distribution segments.  Responsibilities:    Develop strategy and outline roadmap for Sales and Marketing to support strong growth in the region  Deliver sales revenue targets, implementing and managing a robust sales forecasting process  Expand and nurture our regional reseller and partner relationships, driving business both directly to customers and via indirect channels    Review ways in which market opportunities and sales revenue can be maximized across the various countries and market segments  Identify hiring needs, hire and train new team members  Be a mentor and provide hands-on coaching and professional development for Account Executives and wider team  Serve as senior stakeholder and point of escalation internally and in customer engagements  Conduct weekly forecasts and oversee sales development goals, metrics, and quota achievement  Proactive cross-functionally collaboration with Marketing, Technical Sales, Talent Acquisition, Product Management and Support to align regional strategy  Participate in regional and global trade shows and exhibitions  You will have a positive attitude; want to work with an experienced team, developing tomorrow’s media and broadcast technology and products and our direct presence in Russia. Travel is a requirement within the region and occasionally Internationally.  Qualifications    8+ years of B2B sales leadership in one of the following areas:  Digital Video contribution and distribution network design  Video compression formats  TCP/IP technologies, networks and protocols  Cloud and cluster-based system architectures    An excellent track record in achieving quota attainment as first line sales leader  Territory knowledge / experience in leading teams covering the Eastern Europe and Russian markets  History of leading sales teams selling complex technical solutions  Excellent oral and written communication and presentation skills  Fluency in both English and Russian   Willingness to travel extensively  Strong operational and process orientation & bias towards execution  Working at Appear  We’re an informal organization with a lot of positive energy and an inclusive environment. Here at Appear you will benefit from the entrepreneurial vigor of a medium-sized organization while working closely with decision makers and customers, all while working with world class cutting-edge technology.  Compensation package:   An international work environment  5 weeks' of vacation   Competitive terms & benefits  Flexible office work/remote work policy  Stock-based bonus scheme",Director,Full-time,Sales and Business Development,Telecommunications
Head Of Commercial,Delivery Club,"Moscow, Moscow City, Russia",3 weeks ago,27 applicants,Head Of Commercial (in-store transactions business stream). Expectations: -Strong PL and finance knowledge -Heavy business acumen -Sales automation and massive clients acquisition -Proven track record in sales/negotiations,,Full-time,,
UK- Business Development Director,Crawford & Company,"Uk, Irkutsk, Russia",4 days ago,Be among the first 25 applicants,"Position Summary  Reporting to the CCC Head of Platforms and the UK sales team this is a business development role requiring the development and retention of strategic long term relationships with a focus on maximization of increasing revenue, creating new opportunities and cross selling for the Group. This role should also enhance the profile of Crawford in the market and creating /retaining reputation for delivery of the Group's services and products.  Functional Knowledge Knowledge and experience of operating within the insurance market Detailed understanding of the UK property sectors, including Insurance, social and private housing Good knowledge of client relationship management Good knowledge of sales and marketing processe Good understanding of FCA procedures and TCF initiative General Background, Experience & Professional Qualifications Technical background/understanding of the market Recognised profile within the market Professional sales experience or capability Sound knowledge of construction contracts Proven track record in securing revenue growth and new client opportunities Key Responsibilities Client facing role with the requirement to identify, develop and manage new and existing accounts including brokers, insurers, MGAs, public authorities, education authorities, housing associations, utilities and corporates Creating and working to a centralised plan, draw up a regional plan, identifying and locating new potential clients by pursuing leads to bring work to Crawford Keep prospective client database and materials up to date and monitored against budgeted revenue targets and activity targets Create Client/target business, strategy into a sales proposition and operational delivery Develop and create new business pipeline with a high conversion ratio Develop new business by cross selling to existing clients, building upon strong relationships with the Key Insurer and Housing clients and continuously identifying new opportunities Pro-actively develop the relationship with the client, particularly the communication strategy, through reports, management information, regular meetings, workshops, interaction by the wider Crawford business Establish close working relationships with Operational Business Heads and colleagues throughout the business Acting as the interface between the client and Crawford Liaise with the wider Sales and Marketing team in responding to new business opportunities and preparing tender documentation Create appropriate presentations and seminar material and deliver regularly to the market Forge a close relationship with appropriate professional bodies in order to facilitate growth Keeping up to date with industry knowledge and market developments Behaviours Self-motivated with ability to work with minimum supervision and ability to work as an individual and as part of a team A positive attitude and a proactive approach to solving problems Ability to handle multiple projects in a speedy/ responsive manner and drive to achieve targets Demonstrate a high level of attention to detail Behave in a strongly customer focused way at all times to ensure development and maintenance of contractor, customer and client relationships Encourage, initiate and/or conduct learning theory research to further knowledge Provide advice and guidance in the design of systems, concepts and solutions, including outcomes assessment Skills A high level of communication and presentation skills PowerPoint and other presentation software Substantial market contacts and product knowledge Ability to analyse financial data, imparting knowledge to staff Proven ability to meet deadlines and achieve specific project objectives Attention to detail, planning and organisational skills Strong operational & management experience Self-starter & high energy levels Strong people leadership experience / background ACII / CILA / MBA or progression toward",Director,Full-time,Business Development and Sales,"Construction, Insurance, and Financial Services"
