jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Key Account Sales Specialist,Long Sheng Pharma,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,"Обязанности: Работа с существующими клиентами компании: обработка запросов на поставку фармацевтических субстанций, проведение переговоров о цене и условиях, подготовка и заключение контрактов, организация поставок субстанций со склада компании или со склада производителя, контроль дебиторской задолженности; Сохранение клиентской базы и удержание клиентов, поддержание лояльности лиц, принимающих решения о закупке; Мотивация клиентов на закупку фармацевтических субстанций из портфеля компании, мониторинг пайплайна препаратов клиента и своевременное формирование предложения по включению субстанций в НД; Конкурентная разведка: активный мониторинг действий конкурентов, сбор информации о ценах, условиях работы. Коррекция тактики продаж в соответствии с действиями конкурентов; Привлечение новых клиентов из числа контрагентов конкурентов, а также поиск новых клиентов; Документирование своей работы в карточке клиента , мониторинг динамики его закупок.  Образование: Высшее (предпочтительно фармацевтическое, экономическое, химическое, техническое). Преимуществом является дополнительное образование в области техники продаж.  Требования: Опыт самостоятельных продаж фармацевтических субстанций более 2 лет, наличие наработанной клиентской базы. Коммуникабельность, ответственность, умение держать данные обещания, стрессоустойчивость, обучаемость, ориентированность на результат.",,Full-time,,
Sales Representative,LaBrilliante LLC,"Moscow, Moscow City, Russia",1 week ago,Be among the first 25 applicants,"LaBrilliante est une société internationale de production de diamants de laboratoire. Nous sommes de jeunes professionnels présents sur le marché depuis 2014 aux États-Unis et en Europe.  Nous souhaitons développer des relations avec des clients en France et pour cela nous recherchons un responsable commercial B2B très motivé.  Responsabilités:  Développer la clientèle en recherchant de nouveaux clients en ligne et sur la base existante  Développer et entretenir des relations avec des clients B2B de France et du Canada  Présentez l'entreprise par téléphone, e-mail et face à face (communiquer avec des bijoutiers du monde entier)  Compétences:  Expérience de vente minimum 1 anné  Français niveau B2-C1 (l'anglais est un atout)  Désir d'en savoir plus sur l'industrie du diamant  La communication et l'organisation à un niveau supérieur sont très importantes  Nos avantages:  Éducation sur les diamants cultivés en laboratoire  Opportunité de se développer dans un secteur potentiel  Participation au salon aux Etats-Unis, à Hong Kong et en Europe  Nos conditions de travail :  Premier jour d'emploi légal  Salaire : 40 000 RUB (Fixe) + 27 000 RUB (KPI) + 15 % de commission (en devise étrangère) + bonus supplémentaires  Horaires de travail : 5/2 à partir de 14h00 à 22h00 (Printemps-Été), à partir de 15h00 à 23h00 (Automne hiver)",,Full-time,,
Business Development Representative,Blue Prism,"Moscow, Moscow City, Russia",3 weeks ago,Be among the first 25 applicants,"OVERALL PURPOSE OF THE ROLE The SDR is responsible for identifying and developing new opportunities for the Sales Directors/field sales to pursue. SDRs generate demand primarily via outbound prospecting into assigned accounts, territories or buying centers. In addition to tele, SDRs use a spectrum of tactics including email, social media and chat. In organizations with limited scale, SDRs also may have limited responsibilities to further qualify demand generated by marketing and scored using a marketing automation platform (MAP)  DUTIES & RESPONSIBILITIES ▲ Generate new demand (e.g. individual leads and/or buying groups) for the sales organization to pursue ▲ Qualify demand (e.g. individual leads and/ or buying groups) against established criteria before passing a lead to account directors/field sales as Sales Accepted Leads (SALs) or qualified demand units ▲ Discover, validate and reach out to additional personas typically involved in a buying decision to determine possible buying groups for delivery to field sales ▲ Nurture predetermined groups of prospects back from field or channel sales by using multiple touch tactics (e.g. telephone, email, social) ▲ As a secondary responsibility – where specified by the organization – process inbound demand using a range of tactics (e.g. telephone, email, social) ▲ Comply with all demand management– related service-level agreements ▲ Provide accurate weekly forecasts to marketing and sales on the volume of qualified demand expected to reach the SAL stage or qualified demand stage ▲ Track and manage prospecting, qualification and nurture activities in the company’s sales force automation (SFA) system ▲ Reach and have meaningful, productive conversations with individuals representing the buyer personas targeted by the organization  DIMENSIONS OF THE ROLE ▲ Organisational interlocks: Field Sales, Channel Sales, Pre-Sales, Field Marketing, Marketing Operations, Sales Operations, Product Marketing, Product Marketing ▲ Technologies Supporting the role: SalesForce, SalesLoft, LeadIQ, Lusha, Linkedin Sales Navigator, full Microsoft Office suite ▲ Success Metrics: Accepted & Converted Sales Accepted Leads (SALs), new opportunities & influenced opportunities ▲ KPIs: Number of appointments set, percentage of set appointments accepted by sales, percentage converted to opportunities) Opportunity value generated from demand passed, Revenue value achieved from demand passed, Call quality with target buyer personas and buying groups & activity levels (e.g. talk time, dial and connect volumes, emails sent, social engagement)  COMPETENCIES ▲ Bachelor's degree desired ▲ Three to five years of prospecting experience, depending on the complexity of the product/ solution being sold, as well as the level of prospect being called (e.g. IT buyer vs. CXO) ▲ B2B experience ▲ Familiarity with MAPs and CRM systems ▲ Experience in an industry with a significant volume of customer/prospect interaction  ADDITIONAL SKILLS, EXPERIENCE, LANGUAGES ▲ Strong verbal & written communication skills ▲ Fluent English ▲ Active listening to asses prospect needs & opportunities ▲ Ability to articulate a high-quality value proposition on every call ▲ Ability to perform prospect & account research to prepare for calls ▲ Ability to use existing and emerging social media tools to monitor targeted accounts and buying groups, and identify trigger events for follow-up ▲ Discipline and energy to maintain high activity volumes (e.g. a minimum of 30 outbound calls and 25 additional outbound touches per day) ▲ A desire for a career in tech sales and ambition to progress ▲ Speaking another language other than English would be brilliant, but not essential",,Full-time,,
Sales Employee,,"Moscow, Moscow City, Russia",2 weeks ago,Be among the first 25 applicants,"Looking for 3 sales person . 1. Professional in sales targeting market 2. Eligible to work in moscow rinak 3. Products specialises in mobile phone accessories and electronic cigarettes. 4. Good language / vocabulary skills in Russian as well as english . 5. Working time 6 am to 6pm flexible timings . 6. Well know of goods despatch , documents , domestic logistics in moscow and whole russia . 7. Brand development skills. 8. Salary depend on experience  Interested person can contact . Mr. Alex Email: akashchawlaofficial@gmail.com Whatsapp : +8615521759190",,Full-time,,
Sales Manager,,"Moscow, Moscow City, Russia",3 weeks ago,Be among the first 25 applicants,"-Sell a variety of chemicals to be used in different industries. -Keep management informed by submitting activity and result reports. -Monitor competition by gathering current marketplace information on pricing, products, new products. -Service existing accounts, obtains orders, and establishes new accounts. -Develop and grow the commercial relationships of assigned leading industrial customers. - increase sales of current product portfolio. - 5 years experience in the chemical industry is mandatory.",,Full-time,,
Sales Manager,Honeywell,"Moscow, Moscow City, Russia",2 weeks ago,Be among the first 25 applicants,"Innovate to solve the world's most important challenges  The Senior Business Consultant proactively leads, manages and executes the disciplined sales process from start to finish pursuing $1-10M opportunities. They will establish strategic relationships and have a vision for developing a committed customer, anticipating customer needs and requirements ensuring that they are met every step of the way from sale to execution. The role will be expected to deliver profitable growth in the form of new customers and new opportunities; with results above the set quota in support of Annual Operating Plan  Key Responsibilities  We are looking for a passionate and driven Senior Business Consultant to be a key member of the sales team, using your sales experience and technical knowledge to provide customers with market leading smart building HVAC/ security solutions. The desire to achieve sales targets and ability to succeed in a fast-paced and highly matrixed environment is critical.  You will be able to demonstrate extensive knowledge of the customers’ business, strategic drivers, added value of Building Solutions solutions, financial requirements in order to discuss and leverage strategic business value in conversation at the highest levels of the organization. You will be able to identify key stakeholders and decision makers within the customer business. You have extensive knowledge on the way to the market by using installer, general contractor, advisors/planners etc. in the assigned region. You will also be able to collaborate internally with multiple functions across the organisation to ensure delivery of high quality customer propositions and have a structured approach, using a robust Management Operating System (MOS) to ensure all essential sales forecasting and reporting requirements are fulfilled on time.  The successful applicant will be an ambitious Sales Manager or Sales Account Manager looking to forge a career within an innovative global business. At Honeywell we want you to be courageous, think big and be the best you can.  YOU MUST HAVE  An experienced (5+ years) Senior Business Consultant with a track record of success in selling building solutions, preferably in the Electrical, Smart Building, Fire, Security or Heating sectors  Well-connected within the Construction and Supply sector with the ability to re-open doors immediately upon joining the business.  Extensive network at C-level with electrical and Mechanical installers or General contractors  Able to setup strategic partnership with parties that can act as sales multipliers  Validated experience prospecting for opportunities and proven previous customer acquisition experience  Intelligent and articulate with excellent presentation skills  Experience of using modern sales CRM systems  A confident communicator able to build mutually beneficial customer relationships  WE VALUE A proficient understanding of key sales principles and best practices Excellent team and communication skills An ability to take initiative and work with limited direction An ability to influence across a broader organization An ability to influence customers, while maintaining healthy relationships Significant experience in selling (industrial) products Deep technical expertise Understanding of the Honeywell value proposition as well as the competitive landscape Additional Information JOB ID: HRD139102 Category: Sales Location: Kievskaya Str., 7,Moscow,MOSCOW,121059,Russian Federation Exempt Business Services",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Sales Representative,Bausch Health Companies Inc.,"Yekaterinburg, Sverdlovsk, Russia",2 weeks ago,Be among the first 25 applicants,"(6286)  Career Opportunities: Sales Representative (6286)  Requisition ID 6286 - Posted - Russia - Pharma - RU - Ekaterinburg - City (1)  Bausch Health Companies Inc. (NYSE/TSX: BHC)-это международная фармацевтическая компания, которая занимается разработкой, производством и продажей широкого спектра рецептурных,безрецептурных медицинских препаратов и медицинских изделий, в первую очередь в таких терапевтических областях как офтальмология, гастроэнтерология и дерматология. Мы выполняем свои обязательства, создавая инновационную компанию, нацеленную на развитие глобального здравоохранения. Каждый день продуктами Bausch Health пользуются более 150 миллионов человек по всему миру.  Компания насчитывает около 21 000 сотрудников, которые объединены миссией по улучшению жизни людей с помощью наших продуктов, которые производятся и продаются напрямую или через дистрибьютеров почти в 100 странах.  Обязанности: Продвижение продукции компании, проведение акций лояльности; Ежедневное посещение аптек, проведение презентаций препаратов компании; Организация и проведение фарм. кружков; Поддержание и расширение ассортиментной матрицы; Осуществление выкладки продукции на полках аптек и размещение рекламных материалов в соответствии со стандартами компании; Регулярная подготовка отчетов о проделанной работе. Требования: Медицинское или фармацевтическое образование; Опыт работы не менее 1-го года: медицинским или фарм. представителем, торговым представителем в FMCG ( работа с аптеками); Навыки проведения презентаций‚ переговоров; Готовность к разъездному характеру работы. Эта позиция может быть доступна для следующих местоположений: Челябинск  Все квалифицированные кандидаты получат право на трудоустройство независимо от расы, цвета кожи, религии, пола, сексуальной ориентации, гендерной идентичности, национального происхождения, инвалидности или наличия статуса ветерана Вооруженных Сил, защищенного законодательством страны.  Соискатели должны быть осведомлены о мошенничестве в отношении предложений о работе, совершаемом через Интернет и платформы социальных сетей.  Чтобы узнать больше, пожалуйста, прочитайте Заявление компании Bausch Health о мошенничестве с Предложением работы.  Bausch Health is an EEO/AA employer M/F/D/V.",Entry level,Full-time,Sales and Business Development,Pharmaceuticals
Sales Team Support Coordinator,Procter & Gamble,"Moscow, Moscow, Russia",2 weeks ago,Be among the first 25 applicants,"Procter & Gamble has one of the largest and strongest portfolios of trusted, quality brands, including Gillette, Pantene, Fairy, Head & Shoulders, Oral-B, and many others. We are the largest FMCG company, selling our products in 180 countries and having more than 99 000 employees worldwide!  Sales Team Support Coordinator is one of the key persons who makes all promotions and marketing activations happen in stores. S/he collaborates with the entire team, different departments internally & externally and reports directly to Sales Director.  This position is part of a Sales team at Procter & Gamble. You will need to provide your coworkers with administrative support and stewardship expertise. The job is wide in scope and will involve close partnership with other functions (departments).  Responsibilities Coordinate team work on promotion activities: collect data, align with team leader, and communicate to the client (retailer) Upload promo activities in P&G internal business systems (discounts, goods booking, displays) Ensure correct promo prices P&G-Client. Check prices in SAP, work with price discrepancies: reasoning and communication to distributor and the team Work with payments: calculate compensation, reflect agreed amounts in P&G system, consolidate data for payment, prepare supporting documents to follow internal procedures Prepare reports for Sales team (price monitoring, sell-out, stocks) Communicate with the client regarding promotions, leaflets, and payments Archive documents for audit (internal and external alignments) Support document flow (sign documents via internal system and in paper, send to the client) Support team with ad hoc tasks Compensation & Benefits Monthly salary starting from 80 000 RUR gross Medical, travel, and life insurance Monthly lunch & flexibility allowance (5 000 RUR gross) Possibility of enrollment in P&G International Stock Ownership Plan Qualifications  To be qualified for the role, you must have Any higher education degree Good command of English (Intermediate or higher level) Advanced MS Office skills (especially Excel) Nice to have Strong analytical skills Excellent organization & time management skills Team assistance experience Just so you know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Entry level,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Junior key account manager,HONOR,"Moscow, Moscow City, Russia",2 weeks ago,Be among the first 25 applicants,"BACKGROUND Established in 2013, HONOR is a leading global provider of smart devices: smartphones, laptops, wearables, and audio devices, etc. We are committed to becoming a global iconic tech brand and enabling a smart life across all scenarios and all channels, for all people. With a strategic focus on innovation, quality and service, HONOR is dedicated to developing technology that empowers people around the globe to go beyond through its R&D capabilities and forward-looking technology, as well as creating a new intelligent world for everyone with its portfolio of innovative products.  HONOR pioneered many industry-first technologies and possesses excellent R&D capabilities to support the development of its full portfolio of smartphones and other smart devices. Created amid the rise of the digital age, HONOR develops an ecosystem of innovative products, including smart home and office appliances, healthy lifestyle and entertainment products. Every HONOR smartphone is subject to strict quality controls and must pass over 400 product tests and over 20 global certification standards before launching. HONOR owns 3,000+ service centers and 43 call centers, providing premium and efficient services to customers in over 82 markets.  KEY RESPONSIBILITIES As a Junior Key Account Manager, you will develop business plans and sales strategies and execution with our retail key accounts, which will ensure Honor to reach their targets. You will be responsible for selling Honor Smartphones, Tablets, Laptops and Wearable’s products to Russia retailers. Developing business with Russian’s retailers on Honor products; Participation in long & midterm Federal Key Account strategy creation; Annual Business planning; Sell-out & Sell-in management; Matrix management; Operational workflow support; Transactional control.  PROFESSIONAL ATTRIBUTE The successful candidate will have strong command of the English language (Upper-Intermediate or above); strong communication, negotiation, presentation and analytical skills. It will be ideal if the candidate has more than 1 year’s relevant work experience in consumer electronics or FMCG industries. Also, higher education - a bachelor’s degree or above.  WHAT WE OFFER Working time: 5/2 since 9.30 a.m. to 18.00 p.m.; Location: Business center Krylatskiy Hills; Opportunity for professional growth and career development; Competitive salary; Mobile phone allowance, medical insurance, discounts on the Gym and learning of English language. Free drinks, fruits on Friday; Office library.",Entry level,Full-time,Sales,Consumer Electronics and Consumer Goods
Sales Representative,Elanco,"Moscow, Moscow, Russia",1 week ago,Be among the first 25 applicants,"Interested in joining a cause-driven, customer focused company dedicated to positively impacting the health of animals, people and the planet? Search our job listings below. Прохождение тренингов и ознокомление с политиками компании и обучающими мероприятиями, необходимыми для выполнения непосредственных должностных обязанностей. 2. Изучение портфеля компании направления МДЖ. 3. Проработка и систематизация информации о клиентах на территории. 4. Освоение системы CRM. 5. Оценка территории и разработка плана работы с территорией.  Elanco is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status",Entry level,Full-time,Sales and Business Development,Pharmaceuticals
