jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Internship - Eastern Siberia,Procter & Gamble,"Tomsk, Tomsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Krasnoyarsk, Irkutsk, Ulan-Ude, Tomsk. This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As a Sales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Eastern Siberia,Procter & Gamble,"Irkutsk, Irkutsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Krasnoyarsk, Irkutsk, Ulan-Ude, Tomsk. This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As a Sales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Far East,Procter & Gamble,"Vladivostok, Primorye, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Vladivostok, Khabarovsk.This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As aSales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Eastern Siberia,Procter & Gamble,"Krasnoyarsk, Krasnoyarsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Krasnoyarsk, Irkutsk, Ulan-Ude, Tomsk. This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As a Sales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Force Effectiveness Trainee,Roche,"Vologda, Russia",3 days ago,Be among the first 25 applicants,"Verrai inserito nel team di Business Analytics & Customer Insight di Roche SpA, all’interno della direzione Integrated Customer Management, e sarai coinvolto, in affiancamento al tutor e ai colleghi del team, nelle varie attività del team. In particolare Supporto nella definizione delle logiche di profiling, segmentazione e targeting dei medici per la forza vendita e monitoraggio costante del loro andamento; Definizione e diffusione della Customer Experience in Roche, mediante l’identificazione di analisi, processi e strumenti; Sviluppo di analisi a livello territoriale per l’interpretazione dei dati di performance e per l’individuazione delle opportunità e delle criticità, al fine di supportare le aree di business; Supporto alla gestione e all’implementazione dei progetti relativi alla definizione di modelli operativi e strutture organizzative che riguardando le sales force; Supporto ai Marketing Manager nei Product Business Team attraverso l’elaborazione di analisi territoriali (dati di vendita e Sales Force Effectiveness KPIs) e analisi ad hoc su specifiche richieste; Possibilità di partecipare a progetti globali in ambito business Analytics Si offre uno stage di sei mesi retribuito.  Chi cerchiamo Se vuoi crescere professionalmente e stai cercando un'azienda che ti offra l'opportunità di realizzare i tuoi interessi in funzioni e Paesi diversi. Se sei in possesso dei seguenti requisiti sei il candidato che fa per noi! Percorso universitario in ambito economico (con indirizzo quantitativo), statistico, ingegneristico gestionale; Buona conoscenza della lingua inglese, scritta e orale; Conoscenza avanzata del pacchetto Office, in particolare Excel; buona conoscenza dei principali sistemi di analisi del dato; Propensione al lavoro in team e capacità di orientamento e coordinamento in team cross-funzionali; Spiccate capacità analitiche, di sintesi, lettura del dato e gestione di Data Base Complessi; Ottime capacità comunicative e di presentazione dei dati",Internship,Full-time,Sales and Business Development,"Pharmaceuticals, Biotechnology, and Medical Devices"
Sales Internship - Western Siberia,Procter & Gamble,"Omsk, Omsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations:Novosibirsk, Barnaul, Omsk, Kurgan .This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As aSales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Far East,Procter & Gamble,"Khabarovsk, Khabarovsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations: Vladivostok, Khabarovsk.This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As aSales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Western Siberia,Procter & Gamble,"Kurgan, Kurgan, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations:Novosibirsk, Barnaul, Omsk, Kurgan .This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As aSales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Western Siberia,Procter & Gamble,"Novosibirsk, Novosibirsk, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations:Novosibirsk, Barnaul, Omsk, Kurgan .This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As aSales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
Sales Internship - Western Siberia,Procter & Gamble,"Barnaul, Altai Krai, Russia",2 months ago,Be among the first 25 applicants,"Please note that by applying to this vacancy you agree to be considered for one of the following locations:Novosibirsk, Barnaul, Omsk, Kurgan .This might require relocation.  Do you want to be on the forefront of our business, selling our global leading brands? Are you intrigued by the idea of building long-term business relationships with our key national retailers? Would you like to develop and negotiate plans which provide mutual benefit for our shoppers, our clients, and our Company? We want people who can bring their best selves to work every single day as a part of our best-in-class Sales organization!  As aSales Intern, you will need to be highly motivated, results-oriented, and comfortable in drawing insights from data. For all the work we put into building the world’s leading consumer products, it means nothing if we can’t sell them to our customers. You can help us there!  What Internship Projects Can You Expect?  You will be externally focused, emphasizing efforts on national key retail chains, though you may also work with online retailers. You will get an understanding of the customers’ and shoppers’ needs. Your contributions to negotiations on prices, assortment, merchandising and promotions will be essential to our success. You will have to collaborate with the whole customer team to prepare business plans and external negotiations. You will make commercial recommendations for a category (e.g., Skin & Personal Care with Old Spice, Fabric Care with Ariel, Oral Care with Oral-B, Baby Care with Pampers, Hair Care with Head & Shoulders, etc). Your mission will be to improve turnover and Sales fundamentals by suggesting strategic choices in terms of budget, assortment, and promotion. You will work alongside the Brand leaders.  Internships at P&G usually last 6 months and imply responsibilities from Day 1 – you will own at least one or two big business projects. Your manager will coach you and ensure you get a dedicated training program and many learning opportunities.  Compensation & Benefits Monthly salary 65 000 RUR gross Flexible work hours and possibility to work from home Monthly lunch & flexibility allowance Relocation support (in case you offered a position outside your home location) Qualifications 3+ year students and recent graduates (up to 6 years since graduation) Good command of English (Upper-Intermediate or higher) Great leadership, ability to work independently and as a team worker Candidates with valid driving license might be given priority Just So You Know All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor. No immigration sponsorship is available for this position. P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values, and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&G starts with understanding – understanding our consumers and our employees as we innovate to improve lives now and for generations to come.",Internship,Full-time,"Sales, Business Development, and Distribution","Marketing and Advertising, Consumer Goods, and Financial Services"
