jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
International Sales Manager,Macroscop Professional IP Camera Software,"Perm, Russia",1 week ago,Be among the first 25 applicants,"Команда Macroscop ищет опытного менеджера по продажам для работы с нашими партнерами из Бельгии, Люксембурга, Голландии, Дании, Тайваня, Сингапура и Австралии.  Менеджер вольется в уже успешную команду международных продаж и будет активно развивать партнерские отношения с крупными зарубежными дистрибьюторами и интеграторами систем безопасности.  Что нужно будет делать: ежедневно общаться с нашими партнерами на английском языке и выстраивать с ними лояльные отношения; выходить на новые рынки и обеспечивать рост объемов продаж; выполнять планы по ключевым показателям эффективности; достигать финансовых и личных результатов на международном рынке; осуществлять аккаунтинг; консультировать партнеров по работе продукта; развивать и выявлять новые проекты; планирование дальнейшей работы с партнёром; проведение презентаций, видео-встреч, продвигающих мероприятий (совместно с маркетингом).  Чего мы ждем от Вас: владение английским языком уровень С1 (владение вторым языком будет большим плюсом испанский/итальянский/французский/голландский и тд); опыт ведения телефонных или личных деловых переговоров с иностранными бизнес-партнерами; желателен опыт работы в IT-компании; гибкость и ориентацию на результат, профессиональное новаторство и готовность много учиться.  Что предлагаем мы:  1. Возможность работы в крупной IT - компании, где выстроена культура высоких результатов. 2. У нас уже есть готовая база! Продажи - с первого дня работы! С тебя - только выполнение плана, и мы тебе в этом поможем;) 3. Классная команда, которая каждодневно прокачивает и помогает добиваться целей и задач. 3. Достойный уровень мотивации: полностью белая зарплата: фикс от 30 000 после вычета налогов + % от продаж ""без потолка""; все гарантии по ТК РФ, нормированная пятидневная рабочая неделя с 9.00 до 18.00; 4. Комфортный офис в digital-парке ""Морион"" (р-н Гознака), бесплатная парковка, релакс-комната с настольным теннисом, собственное кафе с кофе на свежеобжаренном зерне. Возможность удаленной работы. 4. Широкие возможности для обучения: сопровождение опытным наставником, возможность учиться у лучших сотрудников Компании; эффективная программа погружения в бизнес-процессы компании, обучение продукту с техническим тренером; общение с международными гостями Мacroscop (носители английского); возможность посещать международные мероприятия (командировки за границу); доступ к корпоративной электронной библиотеке. 4. Реальная возможность горизонтального и вертикального роста. 5. Насыщенная корпоративная жизнь: возможность участвовать в различных “движухах”, которые организует компания (необычные и драйвовые корпоративы, спортивные междусобойчики).",,Full-time,,
Area Sales Manager,MOTIVE Srl,"Yaroslavl’, Russia",2 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
Area Sales Manager,MOTIVE Srl,"Samara, Russia",2 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
Sales Manager - Russia,Charlton Morris,Russia,4 days ago,Be among the first 25 applicants,"There has never been a more pivotal time in the plastics and packaging industries when it comes to sustainability. The industry is under immense pressure from consumers and companies alike to innovate at an astonishing rate, providing a new, circular economy in packaging materials. A proven salesperson and relationship-builder within the Packaging, Consumer, Plastics or Chemicals segments looking to step into something new and exciting will excel in this position. You will be responsible for supporting the expansion of a ground-breaking polymer technology business through high-level networking and Brand Owner influence. The successful candidate will be tasked with delivering exponential growth on a global basis across multiple different consumer accounts in Food & Beverage and Consumer Goods packaging segments.  This London-based polymer technology business are changing the plastic pollution landscape through their proprietary biodegradation system. They are searching for an experienced Sales Manager to take ownership of growing sales in Russia with some of the most prominent international Brands. The position is a key hire in the company’s plan to accelerate growth towards £100m, and will require a hands-on, entrepreneurial individual who understands the complexity of the packaging and plastics value chain. You can be based remotely in Russia with regular travel (50-60%).  This role requires an individual that has a strong commercial confidence, and technical understanding, to be effective in front of high-level Brand Owner customers. You must have a complete understanding of the sales cycle from lead to cash, across the B2B value chain of Packaging, but with knowledge of raw materials/additives also being advantageous. The Sales Manager - Russia is a multi-faceted position where you will be tasked not only with nurturing and growing client relationships, but playing an active role in business development, generating leads and building a pipeline. In order to be truly successful in this position you must have a solid technical understanding of the plastic packaging market and experience selling to global Brand Owners. You must identify, prioritise and rigorously pursue business opportunities, managing the sales cycle and delivering multi-million GBP contracts.  If you are a capable and proven salesperson in the packaging or plastics sector, with a passion for sustainable solutions in a traditionally conservative industry, then this could be a great opportunity. The successful applicant will be compensated well for their performance and have the full support of the business.  For this position, it is essential you have: 7+ Years' commercial experience. Worked with large multinational Brand Owners in Russia. Experience in Packaging/ Plastics - this could be from general packaging, labels, films, polymers, resins/ raw materials. Entrepreneurial, proactive mindset, and the ability to remain resilient in a high-growth environment.   Please get in touch at Oliver.Davies@industrial-cm.com for a confidential discussion.",Mid-Senior level,Full-time,Sales and Business Development,"Chemicals, Plastics, and Packaging and Containers"
Area Sales Manager,MOTIVE Srl,"Voronezh, Voronezh, Russia",2 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
Specialist Field Sales RU,Henkel,"Moscow, Moscow City, Russia",,Be among the first 25 applicants,"HENKEL IS FOR THOSE WHO STEP UP. DO YOU?  At Henkel, you can make a difference and craft your career. That’s why you own your projects and take full responsibility from an early stage. Our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths. If you have an entrepreneurial mindset that allows you to always think out of the box - take the chance and shape the digital future together with us.  YOUR ROLE Sell industrial adhesive solutions for Furniture & Building Components (woodworking) market in Russia Identify and influence market opportunities via purposive activities Build and maintain relationships with relevant key accounts Be a key person/connection between the rest of the Russian team and Henkel factory in Tosno, Russia Lead and develop as a Key Account Manager for IKEA Industry factories in Russia Demonstrate world-leading and innovative technical solutions to ensure future sustainable growth Develop expert knowledge on target market activities and future trends Conduct technical checks, trials and adjustments of the running processes and equipment during daily customer visits Share (y)our expertise and consult our customers on-site in case of technical issues/challenges/problems Assume and control set targets Control profitability development and take corrective actions if needed Define pricing strategy and lead price negotiations in the region Observe competitive activities, analyze, and propose proactive counter measures Handle customer complaints Reporting (internal, external) Pursue active communication and exchange in the team Maintain high standards and professional image of Henkel at customer base Your Skills Higher education in technical or industrial field At least 5 years of relevant professional experience in sales (preferably in woodworking industry) Experienced to work in multinational company structures and culture Very strong technical background enriched by excellent commercial understanding Professional comprehension and use of digital tools and equipment as well as of MS Office Fluent language skills in Russian (native preferred) and English (both oral and written) Advanced account and relation management skills Leadership mentality with entrepreneurial spirit Sensitive to clients’ needs, ability to create customer relationships based on trust",Mid-Senior level,Full-time,Sales,Chemicals and Consumer Goods
Area Sales Manager,MOTIVE Srl,"Moscow, Moscow City, Russia",3 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
Sales Trainer,Bulgari,"Moscow, Russia",1 week ago,Be among the first 25 applicants,"MISSION: Ensure the definition and implementation of the sales training strategy and plans to maximize productivity. Area of responsibilities : Russia and EEC   MAIN RESPONSIBILITIES  •Corporate trainings design and deployment through the coordination of the central trainers team to the sales advisors and store managers of all directly operated and Business Partner operated stores ensuring to be a point of reference for all training activities and related materials for the own geographical area. •Define, revise and deploy the sales training strategy to store managers and sales team on selling skills, brand, story -telling and all products collections. •Manage the network of external suppliers for training content and platform development. •Supervise the retro-planning managed by sales trainers supporting the organization of the activities in order to meet the deadlines. •Deal with suppliers of training materials to check the final module to be delivered in the right platform. •Work with the manager in the training budget definition for the area of reference and ensure its control, manage the sales training budget. •Develop, coordinate and follow up on action plans related to Mystery Shopping initiatives in coordination with CMDs, Retail Managers, Wholesale and FR Managers, Store Managers, Business partner’s managers. •Work with store managers in stores and service KPIs / analysis and related action plans to increase sales results •Collect feedback from store managers/markets to identify the training needs and suggest improvements on trainings tools. •Defining and inviting the right audience (for all mono-brand stores and Business Partners), the calendar of activities, setting the venue and all the aspects related to the locally executed trainings of local and international training programs. •Accountable for the organization and coordination of the training events (‘train the trainer’ session and local trainings) to organize in class or in store and deployed by the trainer or the external consultants (i.e. selling skills training). •Define training architecture and create a training path for the sales team. •Supervise the whole training material development process. •Ensure availability and supervising proper deployment of the training related materials. •Responsible for the translation in local language and/or check of translation when appropriate.  KEY SKILLS:  •Knowledge of luxury business •Experience in Watches & Jewelry sales is a plus •Project management •Training Methodologies •Training processes, techniques and tools •Selling and Communication technique •Coaching technique •At least 3-5 years of similar experience  •Impactful, charismatic and inspiring •Business Awareness •Flexibility •Negotiation •Role Competencies •Roleplaying",Mid-Senior level,Full-time,"Sales, Business Development, and Training",Luxury Goods & Jewelry
Area Sales Manager,MOTIVE Srl,"Nizhniy Novgorod, Russia",2 weeks ago,Be among the first 25 applicants,"The area manager will be responsible for building out our sales. You will then monitor our sales performance with the goal of expanding our company's market share. Your collaborative nature and will help you succeed when coordinating with external distributors and oems.  Responsibilities Assist in developing the annual marketing and sales plans Build sales pipeline for new business opportunities  Qualifications Previous experience in technical sales Previous industry experience, particularly appreciated when in gearboxes, motors and Variable Speed drives",,Contract,,
Sales Manager (Russia),Glorious,"Moscow, Moscow, Russia",3 weeks ago,Be among the first 25 applicants,"Who is Glorious?  Glorious is a lifestyle gaming hardware company that was built by passionate enthusiasts on a mission. We develop pro-grade, high-quality gear that gives every gamer the chance to play at an ascended level.  Candidates from all over are welcome to apply and possibly become part of an amazing line-up of team members dedicated to pushing the boundaries of possibility and shifting the PC gaming industry's status quo! We offer attractive salary and benefits packages along with the chance to work within an environment where you will have the freedom and flexibility to take the reins on your career. So, if you're someone who wants to see real career growth while testing your skills in a fast-paced environment free of micromanagement, then this is the place for you!  The Role:  As a Sales Manager, you will be responsible for multiple countries within your territory and the key accounts which are within each country of your territory. You will lead, create and execute effective sales strategies toward the achievement of the sales targets while company-wide objectives and key responsibilities are taken care of. This position has a strong emphasis on ensuring products are made available in every country via key e-tailers, retailers, and depending on a country/territory size distributors.  You will be expected to perform sales forecasts, secure the right accounts and build a healthy supply chain with them and provide daily managerial support to the company’s sales leadership. You will be expected to form relationships with existing authorized distributors and retailers but also form new ones as your territory and countries require. Internally you have to be prepared to distribute sales reporting to the sales leaders on a weekly and monthly basis. The position requires strong mathematical skills as well as verbal and written communication competencies.  As you grow with our company, this position has the opportunity to grow the sales team further by onboarding specific country sales representatives into our sales team within your territory and thus managing a team. You will be part of expanding the sales network of potentially one of the fastest expanding pc gaming input and output device brands in the world. The number one priority for this role will be establishing outstanding relationships with e-tail, retail, and distribution partners in multiple countries within your territory. This position reports to the VP of Sales at Glorious and works collaboratively with members of our Sales, Logistics, and Operational teams.  Primary Responsibilities:  Some of the duties that will be expected of this position include, but are not limited to the following: Serve as the main point of contact and owner of all engagements with all accounts - responsible for driving revenue, share, and customer satisfaction within your territory and the countries within. Managing all sales development aspects with a primary focus on product availability, sales revenue growth, ideal brand, and product positioning, and a healthy sellout pipeline. Providing exceptional customer relationships by educating customers on products, monitoring and reviewing customer performance for sales optimization, ensuring smooth communication, and managing operational excellence. Representation of the brand, building on our brand reputation to deepen existing relationships while building new ones Understanding competitors including marketing activities, pricing strategies, promotions, market share of key accounts, channel, inventory/supply details Working with the Marketing team to drive programs/events to increase brand exposure, and to improve digital displays in retail stores and displays in retail stores. Managing channel margin structure and pricing. Product planning and Inventory control: managing distributor and key accounts' inventory, in-store SKU selection, order planning of fast-moving products, new SKU availability, and development of a reasonable stock-reach within the supply chain. Providing weekly and monthly reporting of sales forecasts and sellout and taking proactive action to ensure channel inventory is maintained healthy.  Requirements  Requirements/Skills:  These must be met to be considered for this role: 5+ years in sales management or business development in either of the three following categories is required: Consumer Electronics - gaming related is a plus. PC Components - gaming-related is a plus. Gaming peripheral categories mainly gaming mice and mechanical keyboards headsets/headphones. Ability to work cross-functionally, influencing others to achieve results. Proven success prospecting, building a pipeline, moving opportunities through the sales cycle; proposing, presenting, and discussing solutions. Proficiency in working with CRMs, ERPs, ASANA, CONFLUENCE, or similar. Proven track record in customer relationship building in serving targeted distribution and channel customers. Experience working with NetSuite, Asana, Slack, Confluence, or alike is a big plus. Capability to prioritize and organize effectively with moderate supervision. High proficiency in Microsoft Excel, Microsoft PowerPoint, Word, and or Google equivalents.",Mid-Senior level,Full-time,Sales,Consumer Electronics
