jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Operations Associate,LinkedIn,"Singapore, Singapore",3 days ago,45 applicants,"Company Description  LinkedIn is the world’s largest professional network, built to help members of all backgrounds and experiences achieve more in their careers. Our vision is to create economic opportunity for every member of the global workforce. Every day our members use our products to make connections, discover opportunities, build skills and gain insights. We believe amazing things happen when we work together in an environment where everyone feels a true sense of belonging, and that what matters most in a candidate is having the skills needed to succeed. It inspires us to invest in our talent and support career growth. Join us to challenge yourself with work that matters.  Job Description  LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.  Searching for your dream job? At LinkedIn, we strive to help our employees find passion and purpose. Join us in changing the way the world works.  As a Sales Operations Associate, you will act as an adviser to executives in the global sales and operations team. You will be responsible for cracking the most important strategic issues facing our talent solutions business and running normal operational reporting for the region.  Responsibilities  Lead projects with key stakeholders and cross-functional partners to make data-driven decisions on topics including: sales incentive design, forecast modeling, territory optimization, product mix analysis and process improvement Gather requirements and project manage changes to our processes and sales technology that result in improvements in sales rep productivity Gain management confidence in work so that the insights you produce are utilized in executive and board-level presentations Establish strong working relationships with business operations, sales management and systems teams to achieve objectives without management involvement Partner with sales executives on all operational and strategic requests Play a vital role in driving our annual strategic planning process through data-driven recommendations Travel required (approximately 4-5 trips a year)  Qualifications  Basic Qualifications: BA/BS degree in business or related field 2+ years of experience in management consulting, sales operations or investment banking 1+ years of experience working in the media industry or in sales organizations  Preferred Qualifications  MA/MS/MBA degree in business or related field Experience with financial modeling and data analysis Experience with Salesforce.com, SQL/relational databases, Hadoop and reporting tools like Tableau Expert knowledge of MS Office (Outlook, Word, PowerPoint and Excel) Excellent communication, project and time management, writing and presentation skills with the ability to confidently interact with senior management Ability to see beyond the numbers to drive sound decision making Ability to effectively manage time, prioritize tasks and work within deadlines with little supervision Ability to work in a fast-paced, startup environment  Additional Information  Global Data Privacy Notice for Job Candidates  Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal. Global Data Privacy Notice for Job Candidates  This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",Not Applicable,Full-time,Sales,Internet
Relationship Manager - Sales Solutions,LinkedIn,"Singapore, Singapore",3 days ago,39 applicants,"Company Description  LinkedIn is the world’s largest professional network, built to help members of all backgrounds and experiences achieve more in their careers. Our vision is to create economic opportunity for every member of the global workforce. Every day our members use our products to make connections, discover opportunities, build skills and gain insights. We believe amazing things happen when we work together in an environment where everyone feels a true sense of belonging, and that what matters most in a candidate is having the skills needed to succeed. It inspires us to invest in our talent and support career growth. Join us to challenge yourself with work that matters.  Job Description  As a Relationship Manager working in a pod structure in our customer expansion business, you will partner closely with the LinkedIn Sales Solutions Enterprise Relationship Manager to partner with existing customers and expand our footprint through repeatable commercial plays and by aligning LinkedIn’s portfolio of professional solutions with the complex requirements of our largest regional and multinational customers (MNC).  The Enterprise customer business in LinkedIn Sales Solutions focuses on green space accounts (existing customers/logos) and accelerates our penetration in the Enterprise segment in Asia through deep client understanding, strategic relationship network and strong value creation. Ready to join this exciting group?  Responsibilities  You will partner with the Enterprise Relationship Manager (RM) to jointly develop account and territory plans, using external and internal data/insights to prioritise accounts, formulate sales strategies and execution tactics to grow existing customers. There will be direct customer expansion accountability and ownership within a subset of the Enterprise RM territory.  This role will also lead the development of quarterly plans to engage and nurture key customer communities as part of a larger pod community of Relationship Managers and Relationship Managers (RM).  This is a highly collaborative role requiring a passion for building strong and lasting relationships which allow our largest customers to be, and feel, successful with LinkedIn products and solutions. Aligned to a pod structure, collaborate and partner with the Enterprise RM’s to agree upon account goals, strategies and tactics for customer growth and then contribute on territory and account plans Proactively identify opportunities in buying centers, subsidiaries and divisions where pilot play(s) can be positioned. As required, conduct detailed discovery and needs analysis with both decision makers and end users to recommend the right LinkedIn Solution. Establish a trusted and multi-threaded relationship with your allocated accounts by providing high-quality customer engagement activities, leveraging x-functional partners and regional/global executives. Be open, collaborative and customer-focused in all communications and transactions with colleagues and clients. Use our CRM every day for tracking activities and, most importantly, forecasting. Speak at client & industry events across APAC in partnership with the Enterprise AE to generate demand and ensure attendance at various LinkedIn marketing & thought leadership events Thought leadership initiatives. As part of the AE/RM pod community, impact strategic and multi-threaded engagement within your territory through a planned and deliberate approach to engaging and nurturing targeted client communities (CXO, Sales/BU Leaders, CMO, Sales Operations, Program Leads/Managers, etc.)  Qualifications  Basic Qualifications: 3+ years of sales and business development experience selling to Enterprise accounts.  Preferred Qualifications: Excellent communications, team collaboration and analytical skills. Experience in multi-threaded engagement, selling to EVPs, CXOs and end-users (in the same sales cycle) in both individual and team sales environments Experience in solution selling to large regional/global customers, with complex organization structure Experience in managing multiple pilot projects. Demonstrated success in driving new business sales, and ability to develop and manage a sales execution plan at an account and/or territory level. Proven success in selling SaaS or disruptive technology in an Enterprise environment.  Additional Information  Global Data Privacy Notice for Job Candidates  Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.   Global Data Privacy Notice for Job Candidates  This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",Not Applicable,Full-time,Sales,Internet
International Sales Executive,Pacific Prime,"Downtown Core, Singapore",1 day ago,32 applicants,"Roles & Responsibilities  Marketing/Sales of General Insurance Products Manage and develop client base with Sales Manager Communicate and coordinate with Customers (on Individual and Family policies), partners from Insurance companies, Sales/Renewals Team Provide excellent customer service to clients and support to our Sales/Renewals team particularly through very fast response time  Requirements  Proactive and service-oriented with a can-do attitude Sales driven, positive and results-oriented Excellent English Second languages (Mandarin, Bahasa, Arabic, Dutch, Portuguese, Vietnamese, Japanese, Korean etc.) are a plus as most clients are foreigners Excellent interpersonal and communication skills Able to work with foreigners (most clients are from overseas) BCP, PGI, ComGI and HI certifications are required for licensing",,Full-time,,
Sales & Marketing Executive,MSD,"Singapore, Singapore",6 days ago,Be among the first 25 applicants,"THE OPPORTUNITY  Exciting opportunity to join the sales division of a global biopharmaceutical company that has been in the business for more than 25 years and in the Asia Pacific for over 60 years. Be part of a high-performing Sales team to drive strong results for the business and significant impact on customers Based in Singapore, the regional hub for the Asia Pacific (AP) and named one of the Best Companies to Work for in 2020 by Straits Times Best Employers 2021  Our Sales team support our customers by providing clinical information about products, educational information, clinical training programs and resources. We support healthcare providers and healthcare systems meet the goals of the patients in their communities.  What you will do Your responsibilities will include but are not limited to  Strategic Sales Objectives & Sales Expertise (50%) To achieve strategic objectives as required by the franchise (eg market growth, sales growth, number of new accounts, formulary listings, new product market priming) Demonstrate a high level of sales expertise and relationship management (through product & TA knowledge, selling skills, product presentation skills & managing customers) Be accountable for sales, activities, and compliance within the assigned territory  Territory Management Proactively plan and optimize overall sales results performance through effective territory management Seek Contract opportunities, suggest and negotiate optimum pricing Demonstrate ability to resolve problems in a timely manner, escalate issues early  Marketing Planning, Operations & Key Program Implementation (25%) Active involvement in the annual brand planning process Effective planning & execution of marketing/promotional activities according to plan (eg FGM, L&L, SL engagement program, patient programs, public forums) Ensure timely submission and approval of documentation for planned activities In compliant with internal medical, legal & compliance processes  Account Management (25%) Build and execute account plans for key accounts, through an in-depth understanding of customers (profile/behavior/relationship network/needs, etc)  What you must have To be successful in this role you must have:  A good Degree in Pharmacy/ Biomedical Science/ Arts/ Busines. 3+ years pharmaceutical sales experience in the Pharmaceutical industry Experience in Oncology is an added advantage Strong presentation skills, positive attitude, and strong sales achievement Strong customer focus and proven relationship building skills Good track record in sales, with a history of achieving results Experience in handling projects from end to end  WHAT YOU CAN EXPECT  Competitive remuneration Innovative and flexible working environment Opportunity to learn and enjoy a rewarding career that technology companies don’t bring; the satisfaction of saving lives and making an impact!  Who we are…  We are known as Merck & Co., Inc., Kenilworth, New Jersey, USA in the United States and Canada and MSD everywhere else. For more than a century, we have been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Today, our company continues to be at the forefront of research to deliver innovative health solutions and advance the prevention and treatment of diseases that threaten people and animals around the world.  What we look for…  In a world of rapid innovation, we seek brave Inventors who want to make an Impact in all aspects of our business, enabling breakthroughs that will affect generations to come. We encourage you to bring your disruptive thinking, collaborative spirit and diverse perspective to our organization. Together we will continue Inventing For Life, Impacting Lives while Inspiring Your Career Growth.  We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.  Search Firm Representatives Please Read Carefully   Merck & Co., Inc., Kenilworth, NJ, USA, also known as Merck Sharp & Dohme Corp., Kenilworth, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.",Associate,Full-time,Sales and Marketing,Pharmaceuticals and Biotechnology
Regional Account Manager - Sales Solutions,LinkedIn,"Singapore, Singapore",1 month ago,Be among the first 25 applicants,"Company Description  LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.  Job Description  LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.  Searching for your dream job? At LinkedIn, we strive to help our employees find passion and purpose. Join us in changing the way the world works.  We are looking for a Regional Account Manager to join our Sales Solutions team in growing and maintaining relationships with our most valuable strategic accounts. You will be responsible for learning philosophy of virtual selling, Sales Navigator product and deciphering how it is used by our customers and making compelling recommendations for additional investments and renewals in LinkedIn. You will be the customer-facing sales representative and play a key role in the global account strategy of your region.  Responsibilities  Meet with the Global Account Manager (GAM) of your named accounts to agree upon account goals, strategies and tactics for growth and then build territory and account plans On a weekly basis, plan out your activities and meetings to ensure you are focused on your largest opportunities Develop & execute a tailored value-based strategy for building strong partnerships with the most strategic group of customers for our business line Exhibit business acumen and strategic thinking on a high level, ability to go deep into an account in alignment with their global strategy Provide high-quality customer engagement activities with the solutions they invested in, eg quarterly business reviews, ROI conversations etc Build account plans for your named accounts that align with globally set strategy and identify key decision makers, regional approach, buying processes, current investment, product utilization and new revenue opportunities Proactively grow the account off-cycle by selling new solutions, add-ons and renewals Conduct detailed discovery and needs analysis with both decision makers and end users to recommend the right solution Establish a trusted relationship with your accounts by providing high-quality customer engagement activities (training, quarterly business reviews) with the solutions they invested in Build custom presentations and demonstrations based on unique customer needs Be open, collaborative and customer-focused in all communications and transactions with colleagues and clients Negotiate and close all orders with the larger LinkedIn investment in mind and provide post-contract support to ensure product delivery and satisfaction Use Salesforce.com every day for tracking activities and, most importantly, forecasting Coordinate and delegate a cross-functional team of subject matter experts (trainers, consultants, analysts) to support your accounts Maintain ongoing communication with the GAM to keep him/her updated on new opportunities Share your successful selling strategies and lessons learned with your team  Qualifications  Basic Qualifications: 6+ years of experience in a quota carrying sales role  Preferred Qualifications  Experience selling to EVPs, CXOs and end-users (in the same sales cycle) in both individual and team sales environments Experience closing new business accounts and managing existing accounts Proven success in selling a brand new, disruptive technology Excellent communication and teamwork skills Demonstrated ability to generate a plan to ensure deep penetration into global accounts  Additional Information  Global Data Privacy Notice for Job Candidates  Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.  All Dublin, Ireland jobs at LinkedIn are available under our ReturnIn Scheme, for people returning to work from family or care responsibilities. This will include extra support through interview stage, and if successful, an extended induction according to your needs. To access the scheme just let your recruiter know that you're a returner when you apply. Global Data Privacy Notice for Job Candidates  This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",Not Applicable,Full-time,Science,Internet
Regional Account Manager - Sales Solutions,LinkedIn,"Singapore, Singapore",1 month ago,Be among the first 25 applicants,"Company Description  LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.  Job Description  LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.  Searching for your dream job? At LinkedIn, we strive to help our employees find passion and purpose. Join us in changing the way the world works.  We are looking for a Regional Account Manager to join our Sales Solutions team in growing and maintaining relationships with our most valuable strategic accounts. You will be responsible for learning philosophy of virtual selling, Sales Navigator product and deciphering how it is used by our customers and making compelling recommendations for additional investments and renewals in LinkedIn. You will be the customer-facing sales representative and play a key role in the global account strategy of your region.  Responsibilities  Meet with the Global Account Manager (GAM) of your named accounts to agree upon account goals, strategies and tactics for growth and then build territory and account plans On a weekly basis, plan out your activities and meetings to ensure you are focused on your largest opportunities Develop & execute a tailored value-based strategy for building strong partnerships with the most strategic group of customers for our business line Exhibit business acumen and strategic thinking on a high level, ability to go deep into an account in alignment with their global strategy Provide high-quality customer engagement activities with the solutions they invested in, eg quarterly business reviews, ROI conversations etc Build account plans for your named accounts that align with globally set strategy and identify key decision makers, regional approach, buying processes, current investment, product utilization and new revenue opportunities Proactively grow the account off-cycle by selling new solutions, add-ons and renewals Conduct detailed discovery and needs analysis with both decision makers and end users to recommend the right solution Establish a trusted relationship with your accounts by providing high-quality customer engagement activities (training, quarterly business reviews) with the solutions they invested in Build custom presentations and demonstrations based on unique customer needs Be open, collaborative and customer-focused in all communications and transactions with colleagues and clients Negotiate and close all orders with the larger LinkedIn investment in mind and provide post-contract support to ensure product delivery and satisfaction Use Salesforce.com every day for tracking activities and, most importantly, forecasting Coordinate and delegate a cross-functional team of subject matter experts (trainers, consultants, analysts) to support your accounts Maintain ongoing communication with the GAM to keep him/her updated on new opportunities Share your successful selling strategies and lessons learned with your team  Qualifications  Basic Qualifications: 6+ years of experience in a quota carrying sales role  Preferred Qualifications  Experience selling to EVPs, CXOs and end-users (in the same sales cycle) in both individual and team sales environments Experience closing new business accounts and managing existing accounts Proven success in selling a brand new, disruptive technology Excellent communication and teamwork skills Demonstrated ability to generate a plan to ensure deep penetration into global accounts  Additional Information  Global Data Privacy Notice for Job Candidates  Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.  All Dublin, Ireland jobs at LinkedIn are available under our ReturnIn Scheme, for people returning to work from family or care responsibilities. This will include extra support through interview stage, and if successful, an extended induction according to your needs. To access the scheme just let your recruiter know that you're a returner when you apply. Global Data Privacy Notice for Job Candidates  This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",Not Applicable,Full-time,Science,Internet
Corporate Sales Account Executive,Cedele,"Singapore, Singapore",,Be among the first 25 applicants,We are looking for an experienced Corporate Sales Account Executive to join our Business Development Department. You will act as a liaison between our clients and the Business Development to address clients' needs and facilitate the sale process from beginning to end.  Job descriptions Service current customers and develop strong business relationships with them. Hunt and identify new potential customers. Achieve monthly set sales targets. Ensure timely responses to customers' queries for proposals with good follow-up. Liaise with the Business Development team to fulfill customers' needs. Ensure delivery is completed timely as according to customers' schedule. Ensure customer's payments are made timely.  Requirement Diploma or Degree At least 2 years experience in Food Industry or Catering Sales. Knowledge and passion for food Resourceful and able to work in a fast pace environment. Good interpersonal and excellent communication skills.,,Full-time,,
Business Development Representative,Oddle,"Singapore, Singapore",1 day ago,Be among the first 25 applicants,"About Oddle  Oddle is the leading cloud-based Software-as-a-Service platform that facilitates e-commerce and order management solutions for the F&B industry.  Our journey started in Singapore in 2014 and over the past 7 years, we are proud of what we can offer to help restaurants to manage and grow their sales – not only with technology but also with our data-guided marketing solutions. We connect to food lovers with Oddle Eats, a discovery platform with favourites curated by us because at Oddle, every meal matters. There is more to what we want to achieve.  About The Role  We are looking for a Business Development Representative (BDR) to join our Singapore team as we're bringing Oddle's position in Singapore to the next level. Join us in this high-growth journey and make a meaningful impact in the F&B scene.  As a BDR, you will be collaborating with our Sales Development Representative (SDR) team to bring potential F&B merchants onboard as Oddle's partners. You will adopt the local sales strategies and manage the sales cycle from pitching to closing the deals, to grow and expand our restaurant's clientele in Singapore.  Who might you be? You are a business-minded individual and will go out of your way to make things happen. You believe in our mission and the excitement that it brings. You thrive in a fast-paced, high-growth and ever-changing environment, you can easily adapt to any situation and are up to any challenge that arises.  You are authentic and genuine and have a knack of building great and meaningful business relationships. You want to learn the in & out of the F&B tech industry in Singapore, to leverage on or build your network with the humans of F&B. You care about the impact that you and the company can influence on restaurant partners that entrust their business to us.  What You Will Do Collaborate with the SDR team to generate new business opportunities to fuel your pipeline Discover F&B merchants' potential, identify their challenges and consult them on how Oddle can add value to their business Work closely with the Onboarding team in coordinating with merchants to get the merchants to go live within the expected timeline Meet and exceed given weekly and monthly KPIs and targets Establish and maintain strong relationships with clientele in the F&B industry Develop in-depth knowledge and gain updates of key trends of the local F&B e-commerce industry Gather merchant feedback, monitor competitor activities and provide recommendations for improvements to product development team  Who We're Looking For 3-4 years of field sales experience with a proven track record of consistent target achievement. Experience in F&B / F&B eCommerce industry will be advantageous. Excellent interpersonal and communication skills, both written and verbally, with the ability to negotiate and convince. Bilingual with proficiency in Mandarin to engage with Mandarin-speaking clients is an advantage. Solid persuasion and negotiation kill, with a sound business acumen Strongly disciplined and sound time management skill A self-driven individual who thrives in a fast-paced and highly agile environment An entrepreneurial spirit who is self-started, resourceful, able to drive actions and inspire people around you Possess a great sense of ownership and take pride in your work Good team player and willingness to share knowledge and experiences with team members Only Singaporean/SPR applicants should apply  If you are driven and looking for tremendous growth opportunities and want to grow with us, we would love to speak with you soon!  Powered by JazzHR  yNN5ODKyOL",Mid-Senior level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Internet"
Enterprise Account Executive - Sales Solutions,LinkedIn,"Singapore, Singapore",3 days ago,Be among the first 25 applicants,"Company Description  LinkedIn is the world’s largest professional network, built to help members of all backgrounds and experiences achieve more in their careers. Our vision is to create economic opportunity for every member of the global workforce. Every day our members use our products to make connections, discover opportunities, build skills and gain insights. We believe amazing things happen when we work together in an environment where everyone feels a true sense of belonging, and that what matters most in a candidate is having the skills needed to succeed. It inspires us to invest in our talent and support career growth. Join us to challenge yourself with work that matters.  Job Description  LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.  Searching for your dream job? At LinkedIn, we strive to help our employees find passion and purpose. Join us in changing the way the world works.  LinkedIn’s Sales Solutions team is dedicated to changing the world of sales through the use of Sales Navigator, our flagship product that connects and builds mutually beneficial relationships between buyers and sellers. As an Enterprise Account Executive, you will grow our footprint in APAC, by strategically targeting existing US/EMEA enterprise customers who also have a presence in APAC. You will be responsible for full sales cycle and revenue, serve as a trusted adviser, share insights and continually seek opportunities for growth to make your customers as strong and successful as possible.  Responsibilities  Inspire yourself, our company and your customers to embrace a new method of connecting value to customers Leverage your skills and your customers’ experience to continually evolve our product and the sales process Develop and execute strategic plans for your territory and create reliable forecasts Consistently overachieve the business and revenue objectives set forth in your plan Drive revenue by connecting with customers and building opportunities that will make all parties more successful Work to develop and circulate a set of best practices that will be the foundation of this growing team Listen to the needs of the market and share them with the Product and Marketing team  Qualifications  Basic Qualifications: 8+ years of experience in a quota-carrying sales role Experience selling SaaS solutions, CRM platforms or software platform solutions  Preferred Qualifications  Experience in a SaaS-based environment Experience using LinkedIn as a sales professional Proven history of overachieving quota and results in a large, high-growth company Demonstrated ability to find, manage and close high-level business sales Demonstrated ability to write and converse in Mandarin Chinese to liaise with Mandarin-speaking customers Ability to assess business opportunities and read prospective buyers Ability to predictably forecast and execute on business goals Ability to use insights and data-driven decisions in the sales process Ability to effectively build trust-based relationships with senior-level sales professionals Ability to bring together multiple buyers in the same company to build groundswell while leveraging partners within LinkedIn to effectively evangelize the solution  Additional Information  Global Data Privacy Notice for Job Candidates  Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.   Global Data Privacy Notice for Job Candidates  This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",Not Applicable,Full-time,Sales,Internet
"Associate, Sales Operations - ShopeePay",Shopee,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,"After acquiring our digital banking licence, ShopeePay is now expanding its presence in the Singapore market aggressively.  We are not only looking at providing another popular payment solution for the merchants and customers, but also striving to build an ecosystem via ShopeePay.  Within this ecosystem, merchants can market their products & services more cost-effectively, hence better attract customers to their offline outlets. At the same time, customers are able to enjoy a variety of good-valued deals too.  We are looking for someone to Amplify and Supercharge our sales teams by: Collaborating with Sales Leaders on driving key business objectives Being responsible for incentives and KPI setting, HC planning and Development of future strategies Evaluating business performance Producing weekly/monthly operational reports for Sales Team and Sales Management Producing ad hoc reports/analysis for Sales Leadership team Initiating BD Projects that help our sales teams perform better Uncovering and implementing policies and processes to increase productivity, efficiency, and accuracy within our sales teams Generating leads  In short, we are looking for an experienced analyst in sales strategy and operations, who can play as a trusted advisor to the sales leadership team.  Requirements: University degree 1-3 years of experience in a Sales Operations / Sales Analyst / Business Analyst / Consulting role Experience assessing Sales Capacity and developing Sales KPI as well as corresponding Incentive Plans",Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Internet"
