jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Business Development Manager, Thailand",Dyson,"Singapore, Singapore",,Be among the first 25 applicants,"About Us  Dyson is a technology and engineering pioneer and currently operates in the categories of Floorcare, Environmental Control (“Air Multiplier” bladeless fans/heaters/humidifiers/purifiers), Lighting, and Professional (“Airblade” hand dryers). Dyson began 27 years ago with James Dyson and a handful of engineers questioning everyday products, thinking differently and making them better.  Dyson invented the world’s first bagless vacuum with Root Cyclone™ technology, and also the bladeless fans with Air Amplifier™ technology. Currently, Dyson holds 4,550 patents and patents holding, and has a team of over 2,000 engineers and scientists. Dyson also holds a Queen’s Award for Innovation.  Dyson vacuum cleaners are now available in 70 countries worldwide, and on average one machine is sold every 5 seconds. 90% of our machines are sold overseas, this was 30% just 10 years ago. Dyson was recently awarded the Queen’s Award for International Trade, which reflects the company’s growth over the last few years. We are now the world's number one vacuum cleaner manufacturer by value in the UK, US, Western Europe, Japan, Hong Kong, Taiwan, Singapore, and Australia.  “That’s really what Dyson is all about – new thinking to solve everyday problems.” - James Dyson Overview – Dyson Asia  Dyson has set a regional office for Southeast Asia in Singapore. The Singapore office will provide the vision and strategy to Dyson’s business in Southeast Asia, covering key markets such as Singapore, Malaysia, and growth/new markets such as Thailand, Indonesia, Philippines and Vietnam.  Working as part of a dedicated team on the ground in Singapore, this role reports to the Sales Director, SEA.  About The Role  Main Responsibilities – including but not limited to:  Working closely with the Sales Director to develop and implement tailored plans to drive volume and profit growth of our consumer products across our Developing SEA markets; currently Indonesia, Thailand, Vietnam, Malaysia, and the Philippines. Work collaboratively with distributor partners to create and implement successful sales and marketing plans.  Communicate product specifications, build demonstration excellence, manage value proposition, sales process, and marketing strategy to Dyson team in distributor businesses and work closely with SEA sales leadership on overall strategy to support the growth and success of this growing region.  Develop and deliver clear execution plans by markets Translate Dyson’s commercial goals into a detailed set of execution plans with distributors which focus on ‘controllable inputs’, getting specific about what both the distributor and Dyson will do. Ensure inputs are consistent with Dyson’s SEA strategy and goals, and check the inputs deliver the commercial plan Deliver and monitor progress vs. plans Manage brand investment budgets, calculating ROIs to reinforce effectiveness of future activities Collaborate with Dyson Marketing and PR teams to ensure delivery of brand building activities on time and in a manner consistent with Dyson standards Share global best practice across SEA markets Build capability of Dyson teams within distributor organisations Drive and monitor distributor's hiring of dedicated Dyson resource within their organisations, based on plans agreed with Dyson Coach and train local Dyson team on Dyson DNA, brand guidelines, our technologies and the ‘Dyson basics’ across retail and demonstration. Prepare, coordinate and deliver a training programme across the region, including train the trainer and Dyson ‘Academies’ Design and drive Dyson Expert monitoring and assessment methodologies to improve conversion Review and react to market share data where available. Maintain knowledge of industry trends, competing or complementary technologies and competitive threats Ongoing sales & forecast management of distributor partners Report sales versus budget and explain performance on a monthly basis Track Distributor performance and measure through sales KPIs (Retail Sales, Sell in, Store expansion) Collaborate with the IBD Supply Chain team and DMSB to ensure effective build plans are in place Ensure accurate rolling forecasts and timely orders are placed by each Distributor About You BA in Business or related discipline or equivalent work experience and a minimum of 7-10 years of related experience. Experience in Thailand and the ability to converse in Thai and fluency in English strongly preferred. Previous sales experience with disruptive technology and vision selling strongly preferred, including proven ability to achieve sales goals Hands-on experience of (trade) customer engagement preferred Strong analytical skills – must be numerate Able to manage complex projects Successful track record of launching new and disruptive technologies Excellent written and verbal communication and interpersonal skills Ability to adapt to changing work priorities; and ability to maintain good working relationships while dealing appropriately with sensitive and confidential matters and with a wide variety of personal contacts Proficiency with Microsoft Office software including familiarity with Microsoft Word, Excel, PowerPoint, and Outlook required Ability to work independently and travel 30% of the time including occasional weekends for conferences and events Benefits  Dyson Singapore monitors the market to ensure competitive salaries and bonuses. Beyond that, you’ll enjoy a transport allowance and comprehensive medical care and insurance. But financial benefits are just the start of a Dyson career. Professional growth, leadership development and new opportunities abound, driven by regular reviews and dynamic workshops. And with a vibrant culture, the latest devices, and a relaxed dress code reflecting our engineering spirit, it’s an exciting team environment geared to fuelling and realising ambition.  At Dyson, it's about more than our machines. We recognise that our success comes from our inventive people. We believe in including everybody and supporting you on your journey with us.  At Dyson, it's about more than our machines. We recognise that our success comes from our inventive people. We believe in including everybody and supporting you on your journey with us",Associate,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Retail"
Sales Development Representative,Oddle,"Singapore, Singapore",1 day ago,Be among the first 25 applicants,"About Oddle  Oddle is the leading cloud-based Software-as-a-Service platform that facilitates e-commerce and order management solutions for the F&B industry.  Our journey started in Singapore in 2014 and over the past 7 years, we are proud of what we can offer to help restaurants to manage and grow their sales – not only with technology but also with our data-guided marketing solutions. We connect to food lovers with Oddle Eats, a discovery platform with favourites curated by us because at Oddle, every meal matters. There is more to what we want to achieve.  About the role We are looking for a Sales Development Representative (SDR) to join our Singapore team as we're bringing Oddle's position in Singapore to the next level. Join us in this high-growth journey and make a meaningful impact in the F&B scene.  As an SDR, you will constantly be collaborating with our Sales team to develop a sales methodology that allows you to create awareness with your prospects, and demonstrate that you are a thought leader in the restaurant territory space, so you can help restaurateurs grow their business by partnering with Oddle.  Who might you be? You are a business-minded individual and will go out of your way to make things happen. You believe in our mission and the excitement that it brings. You thrive in a fast-paced, high-growth and ever-changing environment, you can easily adapt to any situation and are up to any challenge that arises.  You are authentic and genuine, and have a knack of building great and meaningful business relationships. You want to learn the in & out of the F&B tech industry in Singapore, to leverage on or build your network with the humans of F&B. You care about the impact that you and the company can influence on restaurant partners that entrust their business to us.  What you will do: Research, qualify and build relationships with prospects. Create sales-ready opportunities from inbound and outbound leads targeting F&B businesses Engage with prospects using emailing and cold calling methodologies and/or other creative approaches to uncover their pain points or understand their business needs. Explain Oddle’s value proposition, identify potential opportunities and generate interest Coordinate sales efforts with the local field sales team Gain in-depth knowledge of Oddle products & services, knowledge and technologies in the F&B industry to be the subject matter expert in the restaurant technology space  Who we're looking for: 3-4 years of experience in telesales/prospecting for new leads with a proven track record of success. Experience in F&B / F&B eCommerce industry will be advantageous Excellent interpersonal and communication skills, both written and verbally, with the ability to negotiate and convince. Bilingual with proficiency in Mandarin to engage with Mandarin speaking clients Strongly disciplined and sound time management skill A self-driven individual who thrives in a fast-paced and highly agile environment An entrepreneurial spirit who is self-started, resourceful, able to drive actions and inspire people around you Possess a great sense of ownership and take pride in your work Good team player and willingness to share knowledge and experiences with team members  If you are driven and looking for tremendous growth opportunities and want to grow with us, we would love to speak with you soon!",Associate,Full-time,Sales and Business Development,Internet and Information Technology and Services
Business Development Executive,FatHopes Energy,"Singapore, Singapore",,Be among the first 25 applicants,"We are hiring! FatHopes Energy is a multi-faceted business that was established in 2010 with the primary focus of developing sustainable fats, oils and grease solutions for the primary purpose of advanced biofuel production. Over the years we have managed to cement our position as a robust and reliable supplier of ready to use biofuels as well as biofuels feedstock to the global markets.   We are embarking on an exciting expansion plan that will see us transforming into a regional force in Asia. In line with this we are on a rapid talent pool growth plan. We seek candidates who are driven, eager to learn and are team players. ***************************************************************************************************** The ideal candidate will have experience in all stages of the sales cycle. They should be confident with building new client relationship and maintaining existing ones. They should have evidence of strong skills and possess good negotiation skills.   Job Description: Manage sales pipeline Analyze market and establish competitive advantages Track metrics to ensure targets are hit Working closely with Head of Business Planning and Commercial team to increase acquisitions of F&B outlets for direct collection by FatHopes Energy. Sourcing of new circle of outlets / new accounts for acquisition of used cooking oil. Propose and execute marketing strategies to increase number of outlets for UCO disposal to FatHopes Energy. Expanding database, clientele and key accounts of the company. Strengthen and maintain relationship with Vendors to improve our service based on feedback and long-term account retention. Assist Head of Business Planning and Commercial team to plan and execute all marketing strategies to enhance our social media presence and conversion to outlet acquisition. Crafting Business Proposals and liaising with other departments to align strategies to clients’ requests to execute acquisition process. Any other projects or tasks assigned by Management and Head of Business Planning, as and when required.  Ideal Candidate Minimum Diploma holder and minimum 3 years' experience in sales and marketing. Experience in full sales cycle including deal closing Demonstrated sales success Strong negotiation skills Strong communication and presentation skills",,Full-time,,
Sales & Marketing Executive,MSD,"Singapore, Singapore",5 days ago,Be among the first 25 applicants,"THE OPPORTUNITY  Exciting opportunity to join the sales division of a global biopharmaceutical company that has been in the business for more than 25 years and in the Asia Pacific for over 60 years. Be part of a high-performing Sales team to drive strong results for the business and significant impact on customers Based in Singapore, the regional hub for the Asia Pacific (AP) and named one of the Best Companies to Work for in 2020 by Straits Times Best Employers 2021  Our Sales team support our customers by providing clinical information about products, educational information, clinical training programs and resources. We support healthcare providers and healthcare systems meet the goals of the patients in their communities.  What you will do Your responsibilities will include but are not limited to  Strategic Sales Objectives & Sales Expertise (50%) To achieve strategic objectives as required by the franchise (eg market growth, sales growth, number of new accounts, formulary listings, new product market priming) Demonstrate a high level of sales expertise and relationship management (through product & TA knowledge, selling skills, product presentation skills & managing customers) Be accountable for sales, activities, and compliance within the assigned territory  Territory Management Proactively plan and optimize overall sales results performance through effective territory management Seek Contract opportunities, suggest and negotiate optimum pricing Demonstrate ability to resolve problems in a timely manner, escalate issues early  Marketing Planning, Operations & Key Program Implementation (25%) Active involvement in the annual brand planning process Effective planning & execution of marketing/promotional activities according to plan (eg FGM, L&L, SL engagement program, patient programs, public forums) Ensure timely submission and approval of documentation for planned activities In compliant with internal medical, legal & compliance processes  Account Management (25%) Build and execute account plans for key accounts, through an in-depth understanding of customers (profile/behavior/relationship network/needs, etc)  What you must have To be successful in this role you must have:  A good Degree in Pharmacy/ Biomedical Science/ Arts/ Busines. 3+ years pharmaceutical sales experience in the Pharmaceutical industry Experience in Oncology is an added advantage Strong presentation skills, positive attitude, and strong sales achievement Strong customer focus and proven relationship building skills Good track record in sales, with a history of achieving results Experience in handling projects from end to end  WHAT YOU CAN EXPECT  Competitive remuneration Innovative and flexible working environment Opportunity to learn and enjoy a rewarding career that technology companies don’t bring; the satisfaction of saving lives and making an impact!  Who we are…  We are known as Merck & Co., Inc., Kenilworth, New Jersey, USA in the United States and Canada and MSD everywhere else. For more than a century, we have been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Today, our company continues to be at the forefront of research to deliver innovative health solutions and advance the prevention and treatment of diseases that threaten people and animals around the world.  What we look for…  In a world of rapid innovation, we seek brave Inventors who want to make an Impact in all aspects of our business, enabling breakthroughs that will affect generations to come. We encourage you to bring your disruptive thinking, collaborative spirit and diverse perspective to our organization. Together we will continue Inventing For Life, Impacting Lives while Inspiring Your Career Growth.  We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.  Search Firm Representatives Please Read Carefully   Merck & Co., Inc., Kenilworth, NJ, USA, also known as Merck Sharp & Dohme Corp., Kenilworth, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.",Associate,Full-time,Sales and Marketing,Pharmaceuticals and Biotechnology
"Executive, Sales & Marketing",Yamaha Music (Asia) Private Limited,"Singapore, Singapore",,Be among the first 25 applicants,"Key Areas of Responsibilities:- Assist in product management for Pro Music (Guitar / Drum / Synthesizer ) section; Develop, implement and execute strategic marketing plans to achieve sales budget; Support sales channels in achieving sales budget; Data collection and analysis on market and competitor trends; Work with artistes/influencers/external partners Requirements:- Minimum Bachelor Degree in Business Administration, Marketing or relevant fields of study; Minimum 1 – 2 years of relevant working experience in sales & marketing; Comfortable with basic numerical analysis; Knowledge in musical product (guitar / drum) will be an added advantage; Team player and good interpersonal skills",Associate,Full-time,Sales and Business Development,"Education Management, Consumer Goods, and Retail"
Business Development (B2B),inHeyStack,"Singapore, Singapore",2 days ago,Be among the first 25 applicants,"The ideal candidate is a motivated, organized, and creative individual who welcomes the challenges of acquiring and developing new business through sales efforts. You will build key customer relationships, identify business opportunities, and close business deals while maintaining an extensive knowledge of current market conditions.   Responsibilities Develop, identify and qualify prospective accounts. Understand prospective accounts and communicate effectively the best ways to utilise our platform based on their marketing needs. Assist in the onboarding of prospective accounts. Continually engage with existing accounts to gain feedback and suggest improvements  Be the advocate of your accounts, ensuring customer success.  Qualifications Bachelor’s Degree with at least 5 years of progressive Business Development experience in a fast-paced environment, essentially in Startup, Technology or similar industries Experience in B2B sales and love the sales process, every bit of it Able to drive changes and with continuous improvement mentality A start-up attitude – highly collaborative with an entrepreneurial, roll-up-your sleeves attitude, pragmatic, and able to work independently when required Comfortable with ambiguity - we're a fast-growing business and there's always unchartered territories, which is part of the fun. You should be comfortable with it and understand that not everything is 100% defined all the time. Excellent written and verbal communication skills",,Full-time,,
Key Account Manager (Corporate Sales),Singapore Airlines,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,"Job Description  The successful candidate will be part of SIA's Sales & Marketing Division.  Key Responsibilities Responsible for the revenue performance of corporate accounts assigned Understand corporate accounts’ travel policies and needs (key routes, travel class, price sensitivity) Prepare account plans and conduct regular reviews with corporate accounts and ensuring their commitment to the agreed targets Propose and execute interventions as needed to drive performance via sales levers (e.g. discount levels, overall net pricing, soft benefits, etc.) File sales reports and sales action plans in Sales Management Tool (SMT) Develop and maintain good relationship with corporate travel managers, procurement personnel and all key influencers within the corporate accounts including regular travelers and their travel arrangers Embark on initiatives to create brand affinity with corporate travelers and their travel arrangers Coordinate performance review, engagement and interventions with Global Account Managers for global corporate accounts Maintain good working relationships with travel management companies (TMCs) Organize corporate engagement events Participate in corporate RFPs and negotiate corporate agreements of existing and/or new corporate accounts Represent SIA in industry events, trade shows, fairs, etc. Meet, present and sign up new accounts based on leads and referrals from TMCs, Corporate Sales Support Desk, etc. Gather market intelligence on competitors' activities in the corporate segment Any other duties as assigned. Requirements A degree in any discipline Prior experience in aviation industry will be an advantage Customer-focused and results-focused Good communication and interpersonal skills",Associate,Full-time,Sales and Business Development,Airlines/Aviation
Shopee Express - Business Development,Shopee,"Singapore, Singapore",2 weeks ago,28 applicants,"Job Description Identify opportunities and collaborate with internal and external teams to ensure overall business objectives and growth attainment Lead new business initiatives and improve existing business operations and processes Provide consultation to merchants and partners in operating with Shopee Xpress Maintain good relationship with key accounts and merchants to understand product and process improvement needs Provide timely feedback to operations and product team to come up with solutions Maintain and update education and training materials to ensure that sellers comply to operating standards  Requirements A recognized degree and strong academic record Astute communication and stakeholder management skills 1 – 3 years in business development, account management, sales or related field within the e-commerce or logistics industry is preferred Excellent business acumen and analytical skills, with the ability to drive and manage end-to-end business and sales process Ability to build and maintain rapport with key accounts",Associate,Full-time,Business Development and Sales,Internet
"Business Development - Singapore, Account Management (Food & Beverage)",Shopee,"Singapore, Singapore",2 months ago,Be among the first 25 applicants,"Job Description: Sub-Category Management Work with category manager to define, implement and execute the growth strategy for a sub-category Carry out analysis & survey to better understand brands and/or sellers requirements and behaviour Develop online merchandising and promotion proposals to achieve sales targets Work closely with internal teams (e.g. marketing, sales etc.) to secure and optimise the sub-category visibility and performance Relationship management Analyse brands and sellers' progress, activities, sales performance and category initiatives to drive transaction numbers and revenue Manage each account relationship by setting targets via joint-business planning Execute sales and marketing strategies to achieve category, brands and sellers ambitions Work closely with 3rd party partners to ensure all execution are completed successfully Partnerships Secure exclusive partner partnerships for key campaigns such as 9.9 and11.11 Secure new exclusive product launches, sponsorship and exciting mechanics each month/quarter for PR pushes Reporting Plan the B2C landscape for the assigned sub-category by analysing sales performance Work closely with the respective categories' RM and BI to achieve overall Food & Beverage category's mall target  Requirements: Bachelor's degree in any field, coupled with at least 2 to 5 years of working experience Experience in Food & Beverage industry, e-commerce industry, business development, sales or account management is a plus Excellent communication capability Strong analytical skills (proficiency in Microsoft Excel is required) Team player with an aptitude for work and the drive to constantly outperform your KPIs",Associate,Full-time,Business Development and Sales,"Marketing and Advertising, Information Technology and Services, and Internet"
"Sales Associate, GrabRewards",Grab,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"Job Description:  Get to know the team  You will be part of an exciting sales team that is responsible for acquiring, growing and managing the accounts of key merchants and partners for GrabRewards in Singapore.  Day to day activities Develop a sales pipeline of partners for GrabRewards Pitch and sign partners for the sales of GrabRewards Points Acquire and manage a portfolio of rewards partners, responsible for driving redemption Manage rewards inventory, replenishment and breakage. Cross sell Grab’s services to merchants / partners Collaborate and work across functions to deliver on partnership plans The must haves Experienced in sales and/or account management in financial services, technology or FMCG Self-motivated, results oriented, problem solver Confident, able to engage with senior executives Numerate and analytical, able to develop cogent business plans Excellent communication and interpersonal skills, with the ability to establish rapport with clients across all levels High energy, organized, and independent Bachelor degree, min. 5 years of work experience (min. 3 years of relevant sales / AM experience)",Associate,Full-time,"Finance, Information Technology, and Engineering","Information Technology and Services, Computer Software, and Financial Services"
