jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Major Account Sales,Cobo,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"job description: 1. Familiar with the business of B-end institutions, discover financial regulatory policies and industry changes and developments at any time, combine the characteristics of digital currencies, and cooperate with new models promoted by traditional financial institutions; 2. Competitive analysis of financial products, and evaluate corresponding competitive strategies, execute them according to the strategies and track the results; 3. Have a deep understanding of digital currency assets, and based on the operating experience of traditional financial products, and the financial products corresponding to the result indicators, propose improvements to financial products, and pay attention to the improved ones; 4. For traditional financial users, plan the marketing and operation plan of digital currency financial products, and participate in offline activities, and cooperate with the marketing department to do a good job of brand output; 5. Restrict the bottom line of compliance and risk control.   Requirements: 1. At least 2 years of experience in traditional financial product operation, familiar with financial product business, including not just knowledge, commercial bank wealth management, insurance certificates, trust and other products; 2. Those with resources in the traditional financial industry are preferred; 3. Online financial management and financing management services, such as self-service, bank wealth management, insurance, etc. are preferred; 4. Familiar with office software such as Excel and PPT, office ability with data visualization is preferred.",Director,Full-time,Sales and Business Development,Internet
Account Sales Director,,"Singapore, Singapore",,Be among the first 25 applicants,"Reporting To The Chief Business Officer APAC, You Will Therefore  As the Account Manager APAC, you will be responsible for fostering, managing, and harvesting strong relationships with our clients. define and execute the account management strategy for the region organize and execute regular account meetings between client and Syncordis stakeholders identify and harvest up and cross selling opportunities be the single point of contacts to client supplier management teams lead proposals and RFP response processes set up agreements and contracts align with product and services partners and other collaborators to service client needs be the loudest voice for client satisfaction within the Syncordis organization! We are looking for At least 12 years of proven experience in a similar capacity in IT Services Prior experience in Temenos sales and account management is a very strong plus Fearless personality who is able to lead complex negotiations confidently Independent thinker who can also seamlessly fit into large bid teams Meticulous and numbers-oriented",Director,Full-time,Sales and Business Development,"Computer Software, Management Consulting, and Financial Services"
Head Of Sales,,"Singapore, Singapore",3 days ago,Be among the first 25 applicants,"Our client is a fast-growing, licensed Digital Wealth Management fintech platform based in Singapore.  Working closely with key partners, they have established a product pipeline of highly desired, alpha-generating investment opportunities across various asset classes, including private equity, bonds, ESG and crypto. They then leverage technology to significantly lower the minimum investment size, as well as provide an end-to-end, customer-centric digital solution, to distribute the product to a wider investor base in Singapore and around the region. They are backed by both leading financial institutions as well as prominent VCs.  This will be an exciting role for an inspiring and results-orientated Head of Sales & Distribution to grow the Sales & Distribution team, as well as ensure high level of client service. He/ She will work very closely with the CEO to ensure that entire onboarding, KYC, due diligence, book-building and post-investment experience for investors is as optimizes as possible, while ensuring that the company achieves its target revenue The client is willing to offer an excellent compensation package with attract share options for the right candidate  Roles & Responsibilities Lead and formulate company’s execution on distribution of private market products to the mass affluent investors and EAMs (External Asset Managers), reporting to the CEO Oversee and coordinate sales functions working alongside marketing, and product development teams, and in ensuring good user journey and smooth process flows. To ensure delivery on revenue targets by working with internal teams and external partnerships Attract and develop sales talent while promoting company’s core value and culture  Requirements At least >7 years of experience within the financial services industry in a sales, relationship manager, investment advisor, or similar role At least 3 years of experience in fintech platforms, trading platforms, capital markets, or similar industry Entrepreneurial with track record in problem solving and decision-making within highly ambiguous and fast-changing environment Strong communicator, excellent interpersonal and leadership skills Prior working experience in as a licensed representative in a MAS-regulated financial institution is a must  Interested candidates, please send your updated CV to Leonnard Lee (R1106231) at leonnard.lee@hrnetone.com / HRnet One Pte Ltd (EA Licence: 16S8408)",,Full-time,,
Sales Director,Mandiant,"Singapore, Singapore",,Be among the first 25 applicants,"Company Description  Since 2004, Mandiant has been a trusted partner to security-conscious organizations. Effective security is based on the right combination of expertise, intelligence, and adaptive technology, and the Mandiant Advantage SaaS platform scales decades of frontline experience and industry-leading threat intelligence to deliver a range of dynamic cyber defense solutions. Mandiant’s approach helps organizations develop more effective and efficient cyber security programs and instills confidence in their readiness to defend against and respond to cyber threats.  Job Description  We are seeking a proven, tactical and strategic Director, Regional Sales to drive growth across the Region. You will lead, develop and grow an experienced team of Enterprise sales professionals.  Responsibilities: Supporting direct reports by participating and leading in client and prospect meetings within assigned regions. Ongoing mentoring and development of the Region Enterprise sales team which includes recruiting, hiring and training Conducting weekly forecast meetings. Coach direct reports regarding strategies to drive closure Reporting on sales activity and forecast to senior sales management Consistently monitoring the sales activity of the team, and tracking the results  Qualifications  Requirements: Must have 10+ years of enterprise software sales experience and a minimum of 5+ years of experience leading an enterprise software sales team. Ideally within the Computer Networking and Security industry.  Additional Qualifications: Proven record of sales success in a similar enterprise technology sales role Excellent presentation and listening skills Must be able to thrive in a very fast paced environment Ability to hire and train new enterprise sales representatives",Director,Full-time,Information Technology,"Computer Networking, Computer & Network Security, and Computer Software"
Head Of Sales,FastJobs,"Singapore, Singapore",5 days ago,Be among the first 25 applicants,"About this opportunity FastJobs has consistently ranked among the top recruitment apps in Singapore since our launch in April 2015. Our team is committed to making job opportunities accessible to everyone, and we're continuing to develop new solutions to help that happen. We have a great product, fantastic feedback from the market, and are embarking on our next ambitious goal for the Singapore market- to be the top of mind for all employers looking to hire. To join us in that journey, we're looking for a driven and inspirational Head of Sales to grow and lead the sales team.  Job Description Reporting to the General Manager for Singapore, this role will be responsible for leading a team of account managers to hit aggressive growth targets. You will craft sales strategy together with the GM and lead your team to execute those strategies. As a sales leader, you enable, guide and grow your team members, and in building a strong team servicing our employers, establish FastJobs as a leading solution for employers.   The success of this role will be measured on the following criteria:  Team management and creating a robust culture Driving and optimising sales strategies based on data & feedback Sales target achievement & P&L management Engaging the key clients and providing the best solutions to address their business needs Client satisfaction, experience and retention Constructive collaboration with the rest of the FastJobs team  The Successful Applicant As a successful applicant, you will have:  8 years or more experience in B2B sales with at least 5 years in Singapore Minimum 2 years in a leadership role Expertise in crafting sales strategies to maximise limited resources Expertise in identifying, qualifying and closing business Strong collaborative player that believes in developing the strengths of the team Excellent attitude and strong communication skills An affinity to working in a build-test-learn environment  What's on Offer This is a challenging role aimed at individuals who are looking for a growth environment that rewards based on team success.",,Full-time,,
Regional Sales Director,Televisory,Singapore,2 days ago,25 applicants,"‘Looking for a hard core senior sales professional who can work tirelessly to join the mission to create a global company. The person will be responsible for generating sales leads and converting them into sales in South East Asia. Prior experience of selling financial market data platforms in Indonesia, Philippines, Malaysia, Singapore and Thailand is a must.",,Full-time,,
Head of Business Development,Bottomline Technologies,"Singapore, Singapore",3 days ago,34 applicants,"Bottomline is at the forefront of digital transformation. We are a growing global market leader uniquely equipped to address the changing needs of how businesses pay and get paid. Our culture of Working with and for each other enables us to delight our customers. We empower our teams to think like owners driving customer satisfaction, helping them grow their business and win in their markets.  We are looking for a Head of Business Development to innovate, win, and grow with us.  This role demands a qualification, or significant experience in the Financial Messaging and Payment solutions in a hosted environment. The candidate is expected to have qualification in Business Development, Economics, Finance or Marketing.  As Head of Business Development, the candidate should also possess the below soft skills: High-level communication skills Stakeholder management skills Proven ability to negotiate Experience with design and implementation of business development strategy Conflict resolution The ability to self-motivate and motivate a team Experience working to and exceeding target. Business Development Role Develop effective Sales strategy to acquire new customer for the Finance Messaging market in Singapore, Australia and South Pacific Region Build Strong Pipeline for the company hosted solution in Financial Messaging Account for at least SGD 500K in new business in each financial year Lead and managed large RFP responses to ensure corporate objectives for profitability, sustainability and operational delivery. Partner Channel Role Manage existing Partner/Distributor in setting sales quota and target. Supporting and assisting the Partners to achieve their sales target Cultivate new business partnerships and deepen existing relationships to drive business particularly in Australia, Malaysia and Thailand. Transform poor performing distributors into successful growing partners, through developing individual growth plans and participating in their execution. Bottomline is a participating employer in the Employment Verification (E-Verify) program EOE/AA/M/F/V/D/E-Verify Employer.  Bottomline Technologies is an Equal Employment Opportunity and Affirmative Action Employer.  You’ll love Bottomline because in everything we do we seek to delight our customers and we are passionate about building a company of which we can all be proud, and this starts with building amazing teams filled with team members that challenge you every day.",Director,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Financial Services"
APAC Sales Director,CBRE Asia Pacific,"Singapore, Singapore",5 days ago,29 applicants,"Job Title:             APAC Sales Director, DCS Location:             Singapore Division:              Data Centre Solutions Reports to:         Senior Managing Director, Asia Pacific  CBRE Data Centre Solutions (DCS) is the world's leading full-service data centre services partner. We deliver superior uptime, innovation and intelligence for leading organizations worldwide. Our offering encompasses global strategy consulting, acquisition and disposal, project management and facilities management services. As an employer of choice, we invest heavily in our people offering industry-leading training and a dynamic working environment.  The APAC Head of Sales is responsible for the implementation of strategic direction and leadership of the DCS business development team in region. He/she is responsible for overseeing the team that will drive the sales process associated with new clients as well as the expansion and renewal of contracts associated with existing clients.  Emphasis is on growing market share across a diverse APAC market. Guides both direct and indirect reports in client service orientation and consultative sales as well as the effective, efficient and ethical operation of their respective teams or accounts. Builds a cohesive, diverse team dedicated to ongoing improvement of service delivery platform and client relationship.  Key Responsibilities:  Business Development: Analyzes financial performance indicators and related industry activity. Responsible for expanding client relationships/key markets to target as business growth opportunities. Collaborates with Senior Managing Director of the APAC DCS business and his leadership team to develop a concise plan to accomplish the retention and acquisition of clients, focusing on our value-add as “expert advisors” rather than “tactical or transaction specialists”. Meets business growth objectives consistently. Leads horizontal banding and integration strategy within the line of business and between all lines of business to maximize performance of the company’s platform.  Business Operations:  Builds strong business operations and sets specific, measurable, challenging yet achievable goals and objectives. Evaluates industry and business trends in market areas for potential impact on operations. Formulates, negotiates and executes contracts with the clients. Ensures consistency of service delivery that meets CBRE service delivery guidelines.  Financial Performance: Assists the leadership team in preparing short- and long-range plans, priorities, objectives and the annual budget. Responsible for meeting the sales targets of the DCS APAC business.  Leadership: Creates, communicates and monitors the vision, mission, strategy, objectives, business plan, budget, policies and operating plans. Serves as a change agent for business improvements. Develops buy-in and support for new initiatives and processes. Provides effective presentations to senior management, employees and prospects/clients. Serves as a key industry and division/line of business/company spokesperson to community.  Team Management: Provides for the recruitment, selection, performance management, development and retention of high caliber team to carry out the organization’s mission. Guides team in strengthening their competencies. Implements a career development and succession plan, along with an effective retention program for key personnel, while creating a more diverse organization. Recognizes expertise and empowers peers and employees to build a dynamic team that is viewed by others as highly productive, capable and the best in the industry.   Job Requirements: Education & Experience: Bachelor’s Degree (BA or BS) from four-year college or university required.  Approximately seven (7) or more years progressively responsible sales experience, or an equivalent combination of education and experience, sufficient to perform the essential functions of the job. Possesses strong experience in managing a regional & diverse team. Has strong understanding of industry and facilities management. Fosters a strong service-orientation and an “advisory role” in client relationships. Uses ability to think strategically and to synthesize the most complex business and financial data. Utilizes an entrepreneurial approach and develops innovative solutions.  Financial Knowledge: Possess advanced financial skills and knowledge to review the complex financial reports prepared by others and to make recommendations to executives that impact division/line of business/company  Other Skills: A strong entrepreneurial and creative spirit. Some knowledge and understanding of all facets of facilities management, critical facilities / Data Centre industry knowledge and/or experience will be beneficial. High level of integrity and ethics is critical.",Director,Full-time,"Sales, Business Development, and Strategy/Planning","Commercial Real Estate, Facilities Services, and Real Estate"
Regional Sales Director - Southeast Asia,Workiva,"Singapore, Singapore",,Be among the first 25 applicants,"The Regional Sales Director role is an individual-contributor role as an enterprise software seller, heavily focused on new business selling. Ideal candidates will be well-versed in communicating complex value propositions to large customer accounts in Southeast Asia. Preferably, candidates will have sold SaaS solutions to Accounting and Finance buyer groups.  The Regional Sales Director is responsible for obtaining new business from Executive level buyers and influencers in either private or publicly traded companies. Successful candidates will build relationships and identify Workiva products and services that meet customer needs to drive customer acquisition within a specific geography or industry. Sales growth is attained through new customer subscriptions, professional services, and set up and training.  What You’ll Do Prospects new business by conducting research to identify key decision makers and influencers within target accounts Works with Sales Development Representatives to generate initial customer interest to secure an introductory meeting Presents to Customers: Uses the facts found in the needs analysis phase to present a compelling demonstration of the Workiva suite of products and create a customer belief that they must have Workiva products Handles Objections: Skillfully probes for objections and removes obstacles or eliminates barriers to gain commitment; understands the difference between a stall and an objection Closes Sales: Naturally leads the sales process to a close by demonstrating Workiva superior value proposition Negotiates the Sale: Facilitates successful outcomes to optimize profits Reports Customer Contacts: Updates customer relationship management tools regularly and timely Forecasts Sales: Provides consistent and accurate forward-looking information though pipeline analysis Plans Sales Strategy: Plans and executes sales strategy with purposeful action to complete the sale Optimizes Internal Resources: Gathers internal support to pursue an account Prioritizes selling activities and follows through in a timely fashion Maintains a strong knowledge of Workiva products through a commitment to ongoing training  What You'll Need Understanding of the Software as a Service business model Ability to demonstrate various software applications Executive presence; ability to communicate at the most senior level Ability to identify and understand the power of influencers versus buyers and how to navigate the nuances of each during sales cycle. Ability to manage multiple transactions at one time Ability to manage multiple complex sales cycles simultaneously Ability to negotiate pricing with a focus on retaining value 8+ years of solution selling to Executives - Software as a Service model preferred B.A./B.S. degree preferred Depending on assigned work location, walking outdoors between company campus facilities in a variety of weather conditions may be necessary to perform responsibilities of this position Works virtually, residing in the territory 30% travel for regular customer meetings and sales calls Fluency in English is required. Additional fluency in Mandarin, Cantonese, Thai, Malay and/or Bahasa Indonesia a plus.  Where You’ll Work  Our values drive how we work and who we hire. You will see these values ingrained in how we support our customers, work with team members, build our products and in the work environment we’ve created. Customer Success: Always delight our customers. Trust: Rely on each other. Integrity: Do the right thing, every time. Collaboration: Share resources and work together. Innovation: Keep creating solutions and finding better ways. Inclusion: Support a diverse community where we all belong. Accountability: Be responsible for your success and failure.  We believe our people are our greatest asset, and our unique culture gives employees the opportunity to make an impact everyday. We give our employees the freedom and resources they need—backed by our culture of collaboration and diverse thought—to continue innovating and breaking new ground. We hire talented people with a wide range of skills and experiences who are eager to tackle some of today’s most challenging problems.  At Workiva, you’ll enjoy: Casual Dress: Workiva has a casual work environment, most people wear jeans to the office. Involvement: Ability to participate in Employee Resource Groups, (Women in Tech, Women in Sales, Ethnic Diversity, Veterans, Rainbow (LGBTQ), Remote Employees, Caregiving) Volunteering, Company wide celebrations, and more Work-life Balance: We have competitive PTO, VTO and Parental Leave. We encourage employees to spend time enjoying life outside of work.  Learn more: http://https://www.linkedin.com/showcase/workiva-life-and-careers/  Workiva is an Equal Employment Opportunity Employer. We believe that great minds think differently. We value diversity of backgrounds, beliefs, and interests, and we recognize diversity as an important source of intellectual thought, varied perspective, and innovation. Employment decisions are made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression genetic information, marital status, citizenship status or any other protected characteristic.  Workiva is committed to working with and providing reasonable accommodations to applicants with disabilities. To request assistance with the application process, please email talentacquisition@workiva.com.",Director,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Regional Key Account Manager,CEVA Logistics,"Singapore, Singapore",3 weeks ago,35 applicants,"Coverage: South East Asia & Pacific (SEAPAC) regions covering 12 countries. Identify business opportunities and generate profitable sales in both new and existing accounts that meet and exceed new business revenue goals relating to the portfolio of customers assigned and payable in SEAPAC region. Ability to understand unique customer supply chain requirements in High Tech, and/or Automotive and/or Consumer Retail sector and drive particular customer solutions. Retention is mission critical to the role. Senior relationship management and service execution are two key components to insure account retention is achieved. Retain, grow portfolio of accounts across all product/service types within CEVA. Drive collaborative efforts between country and product leaders within CEVA to meet the needs of customers in region. Prospecting for all potential opportunities and delivering compelling solutions, value and pricing Develop and execute an Account Plan for the customer that will encompass a strategic roadmap defining multi-year growth, targets by key supply chain (forecasts, budgets and operating plans). Ability to work in a matrix organization along with virtual teams & build strong internal relationships with Sponsor/Global/Regional/Sector team leaders as required for the account. Build strategic relationships with key contacts within customer organizations to understand opportunities for creating value. Conduct regular business review meetings for all customers and drive meeting content to ensure operations, support and execution teams are present to support these reviews. Conduct quarterly business review (QBR) meetings including executive sessions for strategic alignment between CEVA and the customer. Responsible to communicate all expectations on these review meetings to the operations and support teams for implementation or improvements. Develop a deep understanding of business streams of each customer and a detailed Relationship Map for each Account designated using CEVA’s CRM system. Leverage on Sectors Focused Solutions to penetrate account growth and development (example: Use of case studies and key solutions within CEVA) Work with implementation teams on new projects to ensure customer expectations are communicated. Work to define all customer reporting requirements with customer (Country/Regional/Global Levels and all KPI (Service Metrics) with customers to be reviewed in business meetings conducted.  Education & Qualifications A good degree majoring in supply chain/logistics/transportation management/sales and marketing/international business  Experience In-depth knowledge of all air, sea, ground and contract logistics products and services. Excellent planning, time management, collaboration, decision making, organization, presentation and negotiating skills. Experienced in financial management (P&L's, Balance Sheets, forecasting and budgets) to effectuate return on investment. Manages complex or emotional customer situations promptly and professionally meeting commitments for service and assistance. Maintains stable performance under pressure or opposition; handling stress in a manner that is acceptable to others and the organization. Uses appropriate methods and a flexible interpersonal style to help build a cohesive team and facilitates the completion of team goals. Good presentation skills.",Director,Full-time,Business Development and Sales,Logistics and Supply Chain
