jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Business Development,Hex Trust,"Singapore, Singapore",1 day ago,Be among the first 25 applicants,"Open to local candidates in Singapore and Hong Kong  At Hex Trust, we’re building trust In the digital ecosystem and we’d like you to help us deliver that message to our prospects. Providing institutional custody services like ours takes in-depth industry knowledge, confidence, and persistence. We’re seeing tremendous demand and growth in the space and we’ve created this role to partner with our Head of Sales. We’re a small, but rapidly growing FinTech company looking for an energetic individual to work independently, build relationships, and help broaden our client base and take our business to the next level!  RESPONSIBILITIES  - Partnering with our Head of Sales and Business Development on client acquisition and retention efforts to achieve growth targets - Own all elements of the business development, sales and partnership life cycles: initial scoping, framing of value, negotiation of term sheets and contracts, implementation and post sales - Strategize on plans for market engagement, client management, and be seen as a thought leader, across the digital asset ecosystem - Lead sales pitches, contact prospects and clients, and handle enquiries, feedback and requests - Ad hoc projects as needed  REQUIREMENTS  - Ability to operate and excel in a fast-paced, entrepreneurial environment with minimal supervision - Ability to create relationships with both FinTech companies and traditional financial institutions - Be an effective communicator and ability to collaborate across teams - Demonstrate a curiosity for and knowledge of the digital asset ecosystem - Attention to detail - Positive attitude  WHY HEX TRUST?  Make a difference and get yourself noticed in a rapidly growing company, providing multiple opportunities for career and personal development. We are a dynamic, multi-cultural team of smart, motivated people across Asia. We’ll give you tough challenges, while offering rewarding results to match, as well as regular team and social events and flexible working arrangements when needed.  Diverse and inclusive team: A diverse and international team across Asia, who come from over 15 countries with diversity of both thought and background on a mission to disrupt the digital asset industry. We support each other and take pride in our achievements. We attract talent from well known global multinational companies and institutions.  Ownership & learning-curve: Opportunity to make an active contribution to the growth story of one of the leading disruptors in the FinTech industry.  Communication: We treat our staff like owners by being open, transparent, and providing regular communication about our direction and progress. We provide regular insight into decision making, strategy, and corporate-wide objectives and key results progress so that each of our employees is aligned and empowered. And we constantly strive to improve how we can communicate more effectively.  Office: We offer both the flexibility to work remotely or to work in style and comfort from our modern office.",,Full-time,,
Sales Development Representative APAC,Elliptic,"Singapore, Singapore",2 days ago,Be among the first 25 applicants,"As digital assets and cryptocurrency become more widely adopted every day,, our products are essential to ensure cryptocurrency is safe and accessible to all. Our solutions help to prevent financial crime and allow cryptocurrencies to be used for good. Our products are used by some of the world’s leading cryptocurrency exchanges, financial institutions and government agencies to screen over $1 billion of transactions every single week.  Elliptic is backed by some of the top VCs: SBI Group, Albion VC, Octopus Ventures, SignalFire, Paladin Capital, Santander InnoVentures, and Digital Currency Group, and we have grown globally with teams in the UK, USA, Singapore and Tokyo.  To achieve our mission, we depend on our incredible team of Elliptites. Our values are reflected in everything we do and every decision we make, both internally and outwardly to our customers. We actively encourage Elliptities to challenge the status quo and allow the freedom to innovate and learn every day. We encourage new ideas and learning, whether that’s through collaboration, our curiosity sessions, or utilising your professional development budget - personal growth is important to us all.  Requirements  Are you a passionate and enthusiastic Enterprise Sales Executive with a wealth of experience selling SaaS solutions to enterprise companies? Are you looking for your next challenge in an emerging and exciting market? If yes then we want to hear from you!  The impact you will have:  You will join our global Commercial team, and champion uncovering and developing new customer relationships across the Americas region. As an Enterprise Sales Executive you will become an expert in Elliptic’s value proposition, helping our prospective customers navigate and enter the cryptocurrency market with your knowledge and understanding of our product and compliance and regulatory environments.  You will manage the full sales cycle including prospecting, qualifying leads, negotiating terms, developing custom proposals and closing business to ultimately deliver profitable revenue growth and exceed your targets.  This is an exciting opportunity for an experienced individual looking for a role where you can make an impact not just on the company you work for but also on the market you work in. Fascinating and challenging work is the norm - working at Elliptic is never boring!  What you’ll do: Develop net new business and cross sell opportunities Build out strategic market penetration plan, prospect, and manage full sales cycle Prospect and generate high quality leads Develop custom proposals based on customer requirements Conduct presentations and product demos Negotiate terms and close the business As applicable, work alongside our Customer Engagement team to develop deeper relationships and upsell to set and hit aggressive revenue goals Meet and exceed quarterly and annual quota  You will be a great fit here if you: Can understand the customer’s business model, and how digital assets fit into their strategy Have the ability to analyse data to identify market trends and opportunities for cryptocurrency and compliance Can evaluate customer needs and preferences in relation to pricing, product terms and conditions to ensure that client requirements are addressed in commercial proposals Have a collaborative mindset Address problems immediately and can work across functions to solve problems Enjoy working with pace and energy, building team spirit and cultivating unity and commitment among the team Have an understanding of complex B2B sales methodologies Are flexible, adaptable and comfortable with changing priorities  Our ideal candidate has: Significant demonstrable full sales cycle experience selling Enterprise SaaS solutions Strong outbound prospecting skills, with track record of generating net new business Demonstrated track record of success and quota over achievement - top 10% performer at your last company A strong work ethic and an entrepreneur’s mindset. You’re comfortable creating value in a low structure environment while being agile and resilient Interest and curiosity about digital assets and the crypto economy  Bonus Points for: Intimate understanding of AML/KYC and Forensics space, either in cryptocurrency or traditional financial environments Experience selling SaaS solutions to Financial Services Borderline obsession with emerging technology  Benefits Share Options Holiday - 24 days of annual leave in addition to Singapore gazetted holidays + additional day for your birthday Health insurance Quarterly full-day off-sites & annual company 3-day offsite Personal training budget & LinkedIn Learning subscription Laptop + equipment you need Home office allowance Full access to Spill Mental Health Support  We know Diversity and Inclusion is much deeper than just hiring, but it’s important for us to mention it here. We welcome and embrace individuals of all backgrounds and identities at Elliptic, and this is an ongoing priority for us. We know incredible people don’t all think in the same way. We want to be challenged every day. We believe our diverse team of individuals underpins this by bringing creative thinking and innovation to Elliptic every day. We are committed to creating a diverse, inclusive and equitable workplace, so we welcome applications from everyone, even if you may not think you fit all of the requirements of our roles. We foster an environment of psychological safety, where everyone feels comfortable to bring their whole self to work.",Entry level,Full-time,Sales,"Computer Software, Internet, and Financial Services"
Sales Development Representative,Peakflo,"Singapore, Singapore",2 days ago,Be among the first 25 applicants,"Singapore based B2B Fintech start-up  Position: SDR  Experience: 0-3 years of technology sales experience in South East Asia  Location: Singapore (Open to remote applicants)  Salary Range: S$3,000 - S$3200 + Commission  Submit your CV + cover letter: work@peakflo.co  ### 🚀 What we’re building  - Unhealthy cash flow is amongst the top 3 reasons why businesses struggle to scale! So we started Peakflo with one goal in mind - to democratize access to key financial tools that improve B2B SME cash flows and increase net margins by up to 2%! - In just the past few months, we launched Peakflo, booked over US$100k in ARR from our early customers and raised pre-seed funding led by a billion-dollar global VC fund with participation from prominent angels and Entrepreneur First - Most importantly, we have begun building an environment that encourages intellectual curiosity, problem solving, and ownership. An environment that provides the support and mentorship needed to succeed, learn, and grow ❤️  **💪 What you’ll do**  - Work with the Regional BD lead to close 18 mid-market customers by end Q4 2021 in a fast-paced and high-intensity environment - Generate qualified leads and build relationships by nurturing prospects - Educate cold leads on value of our products and qualify them - Represent our company’s products and services, starting with a comprehensive understanding and leading to consumer research to identify how our solutions meet customer need - Manage and maintain a pipeline of interested prospects and engage account executives for next steps - Identify best practices to refine the company’s lead generation playbook - Utilize CRM for executing and recording cold outreach via calls and emails to generate new sales opportunities - Identify prospect's needs and suggest appropriate products/services - Build long-term trusting relationships with prospects to qualify leads as sales opportunities - Proactively seek new business opportunities in the market - Set up meetings or calls between (prospective) customers and sales executives - Report to regional BD lead with weekly, monthly, and quarterly results - Be result-oriented, have a mindset of doing what it takes to grow fast  ### 🤝🏼 Who you are  - You are customer-driven: Understand deeply what our customer needs. - You make it happen: You learn fast. Execute with speed and embody a relentless work ethic. - You collaborate: You embrace diverse perspectives with curiosity and respect. - You foster meritocracy: You nurture a nonhierarchical and caring meritocracy.  ### 🤩 Bonus Points  - Experience in vertical industries (B2B marketplaces, reservations marketplaces, manufacturing, logistics, trading, distribution/wholesale) - Formal SaaS sales training in an extremely competitive sales environment - Experience selling cloud-based solutions to mid-market or enterprise-level finance and executive teams  ### Benefits  📈 Stock options - As repeat founders, we truly believe in building something valuable as a team with a strong sense of shared ownership  🏥 Medical insurance - We provide comprehensive group medical insurance so that you're always covered  🏡 Flexibility - We support a remote friendly culture centered around trust and meritocracy",,Full-time,,
Sales Development Representative,Deskimo (YC S21),"Singapore, Singapore",3 days ago,Be among the first 25 applicants,"The ideal candidate is an energetic self-starter with the ability to identify influencers and key decision-makers within accounts. You will discover qualified opportunities by responding to inbound interests and targeted outbound prospects to build rapport and establish long-term relationships.   Responsibilities Drive top-of-the-funnel lead generation for account executives and sales managers Update and manage all sales activities, opportunities, and account information in CRM Consistently achieve monthly quota of qualified opportunities  Qualifications Bachelor's degree in Business or a related field At least 1 - 2 years' of relevant work experience Excellent written and verbal communication skills Ability to multi-task, organize, and prioritize work  This job suits someone who has the grit, resilience and energy to meet and exceed our growth KPIs. You'll get to learn how a startup scales from 0-1000, and be a part of the #hybridwork revolution as we forge the path towards the future of flexible work.",,Full-time,,
Sales Development Representative,Glue Up,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"We are looking for a Software (SaaS) Sales Development Representative to develop new business opportunities by contacting and developing relationships with potential customers. To be successful in this junior role, you should have previous experience developing leads from scratch and meeting sales quotas in the software (SaaS) or technology industry. You will use your communication skills to cultivate strong relationships with customers, from first contact until you closed or passed on a deal. If you are motivated and results-driven, if you enjoy working in a team environment, we’d like to meet you! Ultimately, you will boost sales and contribute to our long-term business growth.  The ideal candidate will have excellent communication skills, time management skills, a startup mindset, the ability to function successfully both as an individual and on a team, and should be a globally-minded individual valuing diversity.  Responsibilities Qualify leads from marketing campaigns, events and self search as sales opportunities. Contact potential clients through cold calls and emails. Present our company to potential clients. Build long-term trusting relationships with clients. Proactively seek new business opportunities in the market. Set up meetings or calls between (prospective) clients and Account Executives. Report to the Sales Manager on weekly sales results. Stay up-to-date with new products/services and new pricing/payment plans.  Requirements 1-2 years of work experience in sales development. Hands-on experience with multiple sales techniques (including cold calls). Track record of achieving sales quotas. Experience with CRM software (e.g. Salesforce, hubspot, etc.). Familiarity with MS Excel (analyzing spreadsheets and charts). Understanding of sales performance metrics. Excellent communication skills. Associates Degree (BS in Marketing, Business Administration or relevant field is preferred but not required).  About Glue Up Founded in 2013, Glue up, formerly EventBank provides all-in-one engagement management cloud solutions that give professional communities the power to streamline operations, enrich audience engagement, and maximize value underpinning expansive networks. Our cutting-edge platform has helped hundreds of organizations in more than 60+ countries modernize processes and eliminate engagement challenges. Glue Up has offices in Hong Kong, Singapore, Philippines, China, Malaysia, India, Indonesia, USA, LATAM, EMEA and Russia.  Our core products are Event Management Software and Chamber of Commerce & Association Management Software.",,Full-time,,
"Sales Development Representative, Enterprise",Coursera,"Singapore, Singapore",1 month ago,Be among the first 25 applicants,"Coursera was launched in 2012 by two Stanford Computer Science professors, Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning. It is now one of the largest online learning platforms in the world, with 87 million registered learners as of June 30, 2021. Coursera partners with over 200 leading university and industry partners to offer a broad catalog of content and credentials, including Guided Projects, courses, Specializations, certificates, and bachelor’s and master’s degrees. Institutions around the world use Coursera to upskill and reskill their employees, citizens, and students in many high-demand fields, including data science, technology, and business. Coursera became a B Corp in February 2021.  Job Overview  The Sales Development Team is a critical component of our growth plan. All inbound and outbound engagement with prospective customers starts with the SDR team. As a Outbound Sales Development Representative (SDR), you will be responsible for generating interest in Coursera by contacting prospects, presenting our solutions, and qualifying leads for our sales team. You will work closely with sales and marketing teams to ensure we operate as a seamless organization to build our pipeline of business.  The ideal individual will have experience with enterprise sales/partnerships and be interested in working for a social enterprise. Your knowledge of Edtech, and enterprise learning combined with superior communication skills and analytical abilities, will shape Coursera’s B2B business to help us provide more access to education globally.  Responsibilities Build a pipeline of leads for the sales team by qualifying inbound inquiries and reaching out to high-potential prospects Conduct effective discovery and qualification conversations with prospects through your deep understanding of our product value proposition and use cases Develop creative strategies for engaging and nurturing prospects using content, email, phone, social media and any other strategies that work Partner closely with members of the sales and marketing teams to coordinate engagement strategies and improving processes Use your frontline knowledge of customer needs to educate the broader team on learnings and opportunities Basic Qualifications A graduate degree or professional experience of 2+ years Preferred Qualifications Excellent written and verbal communications and listening skills Experience selling or marketing software or services and meeting a quota Entrepreneurial drive and comfort working in ambiguous, quickly-changing environments Experience with sales and or marketing tools such as Salesforce, Outreach, DiscoverOrg, Lusha Post-Graduate degree, preferred If this opportunity interests you, you might like these courses on Coursera:  Successful Negotiation: Essential Strategies and Skills  Connecting with Sales Prospects  Work Smarter, Not Harder: Time Management for Personal & Professional  Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.  If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.  Please review our CCPA Applicant Notice here.",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Sales Development Representative, APAC",TechnologyAdvice,"Singapore, Singapore",2 days ago,Be among the first 25 applicants,"Available for the following locations: Sydney, Australia | Singapore, Singapore  Hello, We're TechnologyAdvice.  At TechnologyAdvice, we are dedicated to educating, advising, and connecting buyers and sellers of business technology. As a trusted resource across hundreds of technology verticals, our unbiased research and crowd-sourced product reviews help buyers find the right software to grow their business.  TechnologyAdvice has been named as one of the Inc. 5000 list of America’s Fastest-Growing Private Companies four times, as well as inclusion in the Inc Best Workplaces list for 2021. In 2019, TechnologyAdvice received a Nashville Business Journal Small Business Award and was named the Market Mover in the Nashville Chamber’s NEXT Awards. We are also a five-time recipient of the annual Tennessee Top Workplaces awards.  TechnologyAdvice is based in Nashville, Tenn, with a diverse workforce and client base located across the globe. We’re growing and always interested in expanding our team with top talent...make sure to check out our perks and benefits listed below!  The Opportunity…  We are seeking a highly motivated individual, with a passion for sales and marketing! If you have previous experience in customer service, enjoy networking, and have a high competitive drive, we would love for you to apply! The Sales Development Rep’s main objectives are to identify new prospects and help the sales team exceed revenue targets by creating sales meetings and opportunities. The SDR is often the first point of contact our clients have and will be the first experience the customer has with TA. Using a consultative approach, the Sales Development Rep is to uncover customer needs, introduce TA’s solutions and connect prospective customers with the appropriate Sales Lead.  How You'll Contribute… Create engaging videos, emails and LinkedIn messages to help break through the noise Respond, engage, and qualify leads and inquiries from technologyadvice.com/partners Exceed daily client engagement goals through phone, email, and social media touches Cold prospect and find new contacts and accounts Create and articulate compelling value propositions around TA offerings Establish effective outreach cadences and cold calling tactics/strategies Communicate with prospects and coordinate their calendars with the AE who will be taking the call Work with the Sales leaders to pass off opportunities  What You Bring…  We're looking for someone who's hungry to learn and can do so quickly, while also bringing new ideas and creativity to the team. Bonus points if you're technical enough to already know your way around Salesforce, Salesloft, or another CRM platform! Some other things about you include: Excellent communication and presentation skills Fast learner and passion for sales Self-motivated with a results-driven approach Enthusiastic and outgoing conversation skills A confident and determined outlook Resilience - the ability to cope with rejection Competitive mentality Being coachable is a must  Why You Want Us... MacBook Pro or PC laptop, your choice Ongoing Career Development Meetings Subscription to the Headspace App Monthly Team Outings and Quarterly Volunteer Opportunities Professional development opportunities and incentives Milestone celebrations for birthdays, weddings, work achievements, and more Employer sponsored medical and dental options Comprehensive life insurance and disability programs Long Service Award, a thank you to our employees for their service  To see all job openings and learn more, visit our.  Interviews will take place after resumes have been screened for minimum requirements. Please note that this position is not restricted solely to the responsibilities listed above and that the job scope and responsibilities are subject to change.  We believe that our differences make us stronger and foster a diverse and inclusive culture where people feel safe being themselves. TechnologyAdvice is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law.  Pre-employment screening required.  COVID-19 RESPONSE:  TechnologyAdvice is committed to the safety and wellness of each of our employees. In response to the COVID-19 Pandemic, we follow all CDC and local protocol.  Powered by JazzHR  Vai23t3CQ8",Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Internet"
Channel Sales Rep II,Honeywell,"Singapore, Singapore",1 month ago,Be among the first 25 applicants,"Implement and coordinate the operational aspects of ongoing Channel Sales projects and activities. You will serve as liaison between Channel Sales Leadership, Marketing and Distributors. You will review status of projects and budgets. You will coordinate schedules and deliver status reports. You will assess project issues and develop resolutions to meet productivity, quality, and customers satisfaction goals and objectives. You will develop mechanisms for monitoring Channel Sales progress and for problem solving with project managers and customers  Key Responsibilities Channel Sales Activities Manage Projects Provide Customer Support Facilitate Team Alignment Deliver Status Reports Manage Teams YOU MUST HAVE Bachelor's degree, or equivalent. Some experience in the field. Valid Drivers' License WE VALUE A proficient understanding of the principles and best practices in Channel Sales Excellent team and communication skills An ability to take initiative and work with limited direction An ability to influence across a broader organization Masters Degree Additional Information JOB ID: HRD127583 Category: Sales Location: 17 Changi Business Park Central 1,U01-01/09, #02-01/09, #03-01/09, #04-01/09 & #05-01/05,Singapore,SINGAPORE,486073,Singapore Exempt",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Sales Development Representative,ethiXbase,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"Sales Development Representative  Description  ethiXbase is currently seeking a high achieving Sales Development Representative to join our Go To Market function as part of the Marketing team. You will play a critical role in qualifying leads, profiling prospects and customers and providing input on which campaigns generate the best leads. Working in collaboration with our Global Sales Development and Field Sales professionals, your primary goal is to identify and qualify opportunities across all ethiXbase business units across our primary target markets in APAC. You will own the inbound lead qualification process and will look to move leads into and through the sales funnel - from an unaware contact through to sales qualified opportunity for the Sales team to convert. This full time role is both home/remote working with some time in the office with the APAC team, which is located in Singapore.  Background on ethiXbase   About us  ethiXbase is a RegTech business that delivers robust technology and data analytics to assist corporates and third parties, create and maintain sustainable business practices. We play a strategic role in helping businesses globally, elevate their third-party supply chain by understanding and applying the standards and principles set out by the United Nations Global Compact (UNGC), including: Human Rights, Labour, Environment and Anti-Corruption.   How we do it?   We create the most intuitive, robust, and entirely configurable platform, which helps elevate sustainability throughout the global business network. We make the process of accessing and understanding millions of records and complex data sets simple. Facilitating a transparent information exchange between corporates and third parties.   Our Mission  To accelerate the worlds progress towards sustainability, by crafting the most compelling solutions, that help our clients build and maintain sustainable supply chains that benefit the world.   Job Spec   Reporting line and structure  This role reports into the Global Head of Growth Marketing and sits within the Marketing department, though it will work very closely with the Head of Sales for APAC and Chief Revenue Officer (CRO) in the UK.  Payment Structure Pay is dependent on experience, however you will earn a generous wage, as well as a monthly commission for every sales qualified meeting that meet a prescribed criteria.  What you get to do in this role:   The Sales Development Representative builds sales pipeline while achieving monthly, quarterly, and annual objectives.   Follow up on Marketing-generated leads to qualify them for potential Sales opportunities  Create, manage, and drive all inbound leads to Sales acceptance  Provide account team with detailed call notes in the CRM to ensure opportunities are understood and next steps are clearly identified  Collaborate with Marketing in executing various demand generation campaigns  Drive attendance to all company events and regional trade shows  Understand how ServiceNow solutions address various customer pain points and  Research, identify, and prioritise target accounts for prospecting activities  Build prospecting contact lists  Create org/account mappings of prospective clients  Acquire, update, and maintain contact information within Salesforce  Build and manage reporting Salesforce dashboards along with technical team to showcase ROI based on activity  Utilise and leverage internal and external technology to identify, develop and manage marketing leads effectively  Knowledge of Marketing Automation Platforms (Desirable)  To be successful in this role you should have:  An ambitious, creative, goal-oriented, and customer-focused mindset  A basic understanding of Cloud computing and SaaS offerings  Excellent listening, verbal, and written skills  Ability to build meaningful business relationships with ethiXbase customers, prospects, and internal colleagues  A growth mindset, consistently working to improve your skills and adapt in a constantly changing environment  Humble confidence and the ability to articulate the value of ethiXbase to customers  Ability to work flexibly and pivot focus based on company needs or industry changes  A digitally focused mindset   Other   Based in the Singapore, Philippines or Malaysia, remote working but with time in the office with the APAC team Start date in October  We provide competitive compensation and a professional atmosphere. This is a collaborative and inclusive work environment where individuals strong on aptitude and positive attitude will have opportunities to grow their professional careers through working with some of the most advanced technology and talented developers in the business.     ethiXbase is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, gender identity, or veteran status. If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at hr@ethixbase.com for assistance.",,Full-time,,
Sales Operations Coordinator,"Kendo Brands, Inc.","Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,The Sales Operations Coordinator provides logistical and liaising assistance to support the commercial needs of Kendo business in Southeast Asia. This position will work very closely with the Brand Planning and Inventory Manager to ensure timely processing and accurate delivery of customer purchase orders and returns. S/he is also tasked to generate sales and performance reports and analyses needed by all Kendo brands in the region.  This role is an entry-level role ideal for new graduates or those with limited experience who would like to grow a career in beauty retail.,,Full-time,,
