jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Sales Management Trainee,,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"Our company is expanding, and we are looking for driven individuals who are not afraid to step up to new challenges. As a team player, you will gain valuable experience in the industry while learning indispensable skills.  Responsibilities - Increase Brand Awareness for our Clients - To acquire new and retain existing customers  Requirement - Singaporean/PR - Strong Interpersonal & Communication Skills - Immediate Starters Preferred  You should be - Solution Driven - Be committed to improvement & growth - Be committed and responsible  We are excited and looking forward to working with you if you possess the qualities above. No experience is required. One-to-one coaching will be provided!  We regret that only shortlisted candidates will be contacted.",,Full-time,,
International Account Lead,LEGO Education,"Singapore, Singapore",3 weeks ago,25 applicants,"Possess strategic acuity, passion for and excellence in sales, and a desire to make real impact in classrooms all over the world?  Come join us as an APAC Account Lead International and help grow the LEGO Education business in future growth markets!   Core Responsibilities  Understand and map out the total potential for LEGO Education (LE) the APAC region, and track insights to identify target addressable market. Work with key colleagues from marketing and adoption to ensure we have end to end mapping of the channel and customer value propositions. Partners are effectively managed to deliver maximum impact in that region – challenge partner deliverables at any point, and objectively identify the partners of the future who should also be in our stable. Bring a growth and challenger attitude to the business, committed to delivering commercial and learning impact.   Relationship management - Responsibility for high-potential group of ~4-8 partners who can offer the greatest growth potential to LEGO Education. Lead the relationship and are responsible for driving as well as challenging the LE business performance. Provide added value to partner operations to enhance mutual business, using the LEGO system approach and through active shadow management, to generate long term, sustainable value. Ability and presence to represent LE partnership at the highest levels, supporting strategic relationships with key customers, including national/regional MOEs. Revenue growth management – Proven track record in identifying growth opportunities, and making value chains deliver the best bottom line. You challenge the norm, and look for upsides. Take a meticulous approach to data to identify trends and themes that inform plans and commitments. Provide insights that allow to inspire and lead our partners to new business generation and growth. Responsible for forecasting and execution of account plans; in partnership with marketing colleagues, support partners with the design and activation of campaigns and account-based marketing to maximise growth potential. Able to challenge and reinvent partner plans via connecting the right dots and data points and insights to map out future growth opportunities. Annual and longer-term business planning – Bring ability and experience to craft and hone the Big Idea with our partners, and then bring that down into a highly structured plan that holds teams focused and accountable. The plan blends partner and LE objectives and strategy, utilizing market, sector and customer insights to uncover opportunities and unlock potential. Driving and improving capabilities across the team to think more strategically about business planning, able to synthesis channel insights to inform 3-year roadmaps. Performance excellence – Succeed in a performance driven culture; performance tracking is a routine and habit, and challenges are pursued thoughtfully and directly. Expect a lot from self; from those around in enabling roles, and drive a one-team mentality, regardless of reporting lines. Commit to continuously monitoring results, quantitive and qualitative, to ensure that targets remain both realistic and stretching. Conduct return on investment evaluation of activities, and proactively course correct when plans are not delivering. Focus on outcomes, and apply learning and experience from previous initiatives to improve future plans – proactive when a landmark is missed, and capture success that can be further demonstrated. Bring a strong legal and framework attitude to performance execution – follow process and protocol to conduct business with standards and quality. Cross-functional execution and indirect people leadership Thrive in a collaborative, matrixed organization, bring functional expertise to the table with colleagues from other functions, and deliver great results together. Working with a Marketing Manager and Adoption Lead, model great competencies whilst displaying a commitment to improvement, and help to shape the next level of talent in the business through skills development, coaching, and active shadow collaboration.   Play your part in our team succeeding  This is a key position and leadership opportunity to drive the exciting business growth of LE in Asia Pacific. The Account Lead will manage a handful of business plans with key partners who can achieve our sales ambitions for LE in specific markets. This role demands strong strategic acumen and channel expertise, and passion for targeted sales.  Do you have what it takes?   Bachelor’s degree in business related field Experience/qualifications in Business Administration a plus Experience of working in the education industry, most preferred 7-10 years account/market leadership experience in FMCG / Mobile Technology industry with top-class brands Passion for channel management and business execution Demonstrate and model critical thinking; be choiceful in growing our business with the partners. Strong and proven strategic and result oriented in approach Curiosity and humility – a passion for learning, improving, and building stronger capabilities in oneself and those around Strong digital skills and fluency with data and CRM, and the confidence to act on the data. Strong attention to detail with excellent and professional verbal communication and writing skills Team orientated and can work with teams globally, with ability to show indirect management and development with team members Ability to travel (1-2 weeks in 4) Knowledge Languages like Korean or Japanese would be a plus to support APAC market Must be confident working in a matrix and multi-cultural environment   Join the global LEGO® family  Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued, and they belong.  The LEGO Group is proud to be an equal opportunity and an affirmative action employer. We are committed to equal employment opportunity and equal pay regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.  We support our employees in being there for the moments that matter in life and celebrate families of all kinds, the loved ones that make us who we are. Being part of the LEGO Group also means taking part in our annual Play Day, playing a part in building a sustainable future and continuing our mission to “inspire and develop the builders of tomorrow.”  The LEGO Group is fully committed to Children’s Rights and Child Wellbeing across the globe. Candidates offered positions with high engagement with children are required to take part in Child Safeguarding Background Screening, as a condition of the offer.  Thank you for sharing our global commitment to Children’s Rights.  Build your career brick by brick at the LEGO Group.  #LEGOEDU",Internship,Full-time,Sales,Consumer Goods
Sales & Business Development Intern,FlySpaces,"Downtown Core, Singapore",2 weeks ago,Be among the first 25 applicants,"Sales & Business Development Intern [Full-Time/Part-Time]  This is an exciting opportunity to be part of a fast-growing PropTech start-up. You will gain insight and great experience into an internet start-up, experience life as an entrepreneur, and get involved in all aspects of the company’s development.   The position covers mainly the Singapore market and will primarily consist of handling sales inquiries, managing and developing our space partners inventory in Singapore as well as provide occasional support to partnership teams across the region.  Responsibilities:  Account Management: Being the first point of contact for sales and operational queries from our merchants/ partners.  Sales: Making sure that business leads are properly taken care of.   Business Development: Be actively involved in finding new business.   Merchant Acquisition: Be actively involved in finding and acquiring new space partners which include event venues, coworking spaces, serviced offices, and other landlords.   Merchant Relationship: Develop and maintain merchant relationships, monitoring initiatives to improve merchant engagement, applying problem-solving skills to effectuate solutions. Be the first point of contact for all matters relating to space partners.   Market research: Monitoring up-to-date information, research on traditional real estate, and flexible office market.   Support the marketing team with partner-related content. - Minimum Education: Diploma (Bachelors and Masters Graduates are encouraged to apply as well).  - Availability from October 2021 for min. 6 months  - Males must have completed NS (unless exempt).  - All applicants must have their own visa or sponsorship with eligibility to work in Singapore for the entire duration of the internship.  - Previous experience in a start-up and/or corporate environment is ideal.   - Experience in real estate would be an added advantage.  - Outstanding communication skills and fluency in English.  - Natural sales instincts, driven attitude, and “rainmaking” mentality best describe the ideal candidate for the role.  - Hands-on mentality, excellent analytical skills, proactiveness is a must.  - The remuneration includes a salary of $800 - $1000/month (Full-time), commission, and CPF for eligible applicants.  You may also apply for this position by sending your CV to partnerships.sg@flyspaces.com and cc singapore@flyspaces.com",,Internship,,
Retail Sales Analyst Intern,Coty,"Singapore, Singapore",3 weeks ago,Be among the first 25 applicants,"Coty is a world leader in beauty and home to an illustrious roster of cosmetic, skincare and fragrance brands. And our company has a mission: to challenge the definition of beauty, to encourage authenticity and celebrate diversity. Because to us at Coty, beauty isn’t about conforming to somebody else’s ideal. It’s about inclusion and liberating everyone to shine in their unique way.  Coty helps millions of people around the world express your beauty, your way through our rich portfolio covering fragrance, skin care, colour cosmetics, and body care. Our brands include global icons like Gucci, Burberry, Hugo Boss, Calvin Klein, Philosophy, Max Factor, Rimmel, Bourjois, Sally Hansen, Adidas, David Beckham, etc. With more than one billion products shipped each year, the possibilities for self-expression are endless.  THE ROLE  About the Role… Through this role, you’ll be able to gain an understanding of: Luxury Beauty from the ground up – the best marketing campaign can only come to life if the team’s operations are robust enough to support the campaign. How to assess retail productivity, and the tools to drive retail excellence Project Management, Process Improvement skills and mindset How to sharpen commercial acumen – understand how different stakeholders view the business, see a direct correlation between sales, marketing plans and sales delivery  KEY RESPONSIBILITIES   BA App stabilisation BA App (Primary Use: sales tracking app intended for timely sales reporting by brand by counter, by BA. Basis for BA commissions. Secondary Use: counter SOH management) Ensure ongoing data accuracy and data integrity. Support RO and TM on missing item upload, master data maintenance, special buy creation. Understand scenarios and limitations not captured in app but needed on ground. Devise workarounds, improvements with IT and RO (within cost and app limitations). Document FAQs in User handbook Key User for backend report generation. Work with IT and RO to develop auto reports, understanding analytics required by TM (frag vs MU).  Retail Analytics & Reporting Harmonise various data sources: BA App, Scorecards, Adecco Sales Data and Daily Sales Trackers. Ensure each are updated on time and accurately, discrepancies at month end resolved Extract data across various sources to facilitate monthly cycle meeting and APAC MBU Brick & Click Sales performance : active tracking of transaction metrices, what works, what doesn’t, to enable RO to be able to work with KAs and Marketing to strengthen B&C Devise trackers on best-sellers and OOS status for RO and BAs to trigger replenishment as this is currently performed by TM on an ongoing basis. Understand market trends, consumer demographic, store traffic flow Consolidate feedback from BAs/KAs on promotions, mechanics, store/competitor performance to objectively analyse drivers of performance.  BA Productivity Monthly compilation of BA scorecard (BA IPT and AUS, average unit sale, BA ranking), identify productivity improvement to improve upselling and cross-selling Understand BA performance, as a collective and individually: between OTC and Animation, and overall. Attend Trainings scheduled by Trainer, acquire feedback from TM and KA. Sales $ brought in vs Cost $ per BA. Understand drivers (store location, brand allocation, shift changes, Quarter/Period). Work with RO, TRG to get BAs to deliver more.  Competitor Analysis Monthly consolidation of competitive action (Trade, PR) at DS and Sephora and island-wide: Chanel, Dior, YSL, Tom Ford, GA, Hermes, Bvlgari, D&G, Jo Malone, Diptyque, Versace, Montblanc, Coach Online and B&C  WHAT YOU’LL BRING ESSENTIAL: Able to commit for at least 6 months (Jan to Jun 2022) of full-time internship. Strong computer knowledge skills (Microsoft Excel, PowerPoint, Words, Outlook and Power BI) Ability to synthesize and interpret technical data Enjoy doing research and analysed data for consumer goods, makeup and beauty products. Strong oral and written communication skills People and task oriented Salesforce knowledge/experience a plus Self-Motivated, with a strong work ethic and a sense of confidentiality. Possesses cross-cultural awareness and high emotional intelligence. Able to work independently, demonstrate initiative and the ability to work in a fast-paced environment. Persuasive, resilient and flexible, able to easily adapt to new challenges. Passionate, enthusiastic and driven to regularly follow-up with loose ends. Able to thrive despite challenges while adopting a positive attitude under pressure.  Our people make us who we are. They are the brightest minds bringing the boldest ideas to life every day. If you’re the kind of person who refuses to settle, if you want to think bigger, learn faster and go further than you ever thought possible – we’d love to hear from you.  Interested applicants may also send an email directly to LiFang_Tng@cotyinc.com.",Internship,Internship,Other and Marketing,Cosmetics
Business Development Intern,Urban Company,"Singapore, Singapore",3 days ago,40 applicants,"The BD Intern role will be a key in achieving this goal, since the person would be assisting in managing an important pillar of the business, our cleaner partners. The individual should have both the ability to think sharply and execute at a fast pace. You will be reporting to the Business Development Manager of the home cleaning business unit, and the BD intern would be expected to:  · Connect with our cleaner partners to understand areas of improvement, and scale high quality service  · Assist in the process of onboarding cleaner partners, maintaining quality of partners  · Manage inventory purchasing, and weekly/monthly financial reporting to our partner companies  · Assist in business planning and implementing needle moving initiatives for the category  · Create service delivery norms and processes for the category, and help implement them  · Work cross functionally with product, marketing, and finance to drive business needs  · Able to commit for a min. of 4 months    A bit of you:  · You are an undergraduate  · You’re a self-starter who is comfortable working autonomously  · You're relentless and will not easily give up after a few setbacks  · You have a growth mindset  · You have past B2C/B2C sales experience (preferred)  · You are not looking for a 9-6 job    What you will learn from this job:  · Communication with different stakeholders and external partners  · Building up a strong sales funnel to achieve monthly targets  · Fast execution on different projects and tasks  · Strategic thinking to optimise processes and create new business plans  · Trying fast and failing fast, taking key learnings from each iteration",,Internship,,
Business Development Intern,iTask,"Singapore, Singapore",,Be among the first 25 applicants,"The ideal candidate will have experience in all stages of the sales cycle. They should be confident with building new client relationships and maintaining existing ones. They should have evidence of strong skills and possess good negotiation skills.   Responsibilities Build relationships with prospective partners Design and execute account plans to build deeper relationships and grow sales for each key customer. Generate new business leads to establish high acquisition numbers on a monthly basis. You will be expected to develop service, retain our existing partners as well as acquire new business opportunities via phone call. Manage the portfolio of existing partners and potential partners via phone call. Liaising closely with relevant departments to ensure that their queries, problems or issues are dealt with appropriately. Analyze the market and establish competitive advantages Track metrics to ensure targets are hit Identifying and evaluating partnership opportunities",,Internship,,
Fonterra Singapore Internship Program,Fonterra,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"Fonterra Singapore is hiring interns. Apply today!  We are recruiting the next batch of interns to start from mid- December. There are more than 10 vacancies to be filled across different business units – marketing, sales, foodservice etc.  Our internship program is designed to give you a hands-on experience in the corporate world which will give you the extra edge in your future job application.  What we are looking for  Candidates must be undergraduates in their final year of study at a local University in Singapore. Graduates will not be considered for this program. Self-starters with the ability to work independently with minimum supervision. Proactive, passionate, innovative, possess a ""can do"" attitude and have critical analytical thinking skills. Team players with excellent communication, presentation and project management skills. Able to commit to a 6-month internship from 15 December 2021 to 30 June 2022. Advanced Excel and Powerpoint skills All applicants must have eligibility to work in Singapore without sponsorship of a work visa.  Vacancies available   Active Living Marketing Intern -https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6296&company=C0001206658P  AFP Developing Markets Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6268&company=C0001206658P  Chef Trainee  Chilled DF Marketing Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6327&company=C0001206658P  Foodservice Development Market Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6328&company=C0001206658P  Global Channel - Marketing Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6361&company=C0001206658P  Data & Analytics Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6269&company=C0001206658P  Global Marketing Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6325&company=C0001206658P  Global Sales Strategy Intern - DCM  Global Sales Strategy Intern - RTM - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6418&company=C0001206658P  Regional Marketing Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6326&company=C0001206658P  RGM & MT Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6318&company=C0001206658P  Sales Capability Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6319&company=C0001206658P  Strategic Business Development - Data Analytics Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6269&company=C0001206658P  Trade Marketing & Ecommerce Intern - https://career10.successfactors.com/sfcareer/jobreqcareer?jobId=6267&company=C0001206658P  Our Story Fonterra Cooperative Group is a farmer owned co-operative dairy company and the world’s largest dairy exporter. Our New Zealand-made dairy products are enjoyed in 140 markets across the globe. Our products are loved by people for their balanced nutrition, quality craftsmanship and sheer indulgence. Anlene™, Anchor™, Anmum™, are among the best known dairy brands in Asia and the rest of the world. With more than 150 offices and sites around the world, Fonterra can offer a great range of career pathways across our business.  Let your internship journey start here!  Please submit a copy of your CV and a cover letter specifying the position you are applying for, thank you.  Note:  1)  Only students who are able to commit for the entire period of internship from 15 December 2021 to 30 June 2022 will be considered. 2)   Selected student will be required to apply for a “Leave of Absence” to complete this internship if you are applying for a non credit-bearing internship.  3) Position will be closed as soon as a suitable candidate is identified.",Internship,Internship,"Marketing, Sales, and Analyst",Dairy and Food & Beverages
Corporate Sales Intern,PRISM+,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"Our collaborative approach would also ensure that the interns will always have experienced staff available to guide them throughout their daily tasks. Each department's manager and staff will be working closely with the interns to achieve relevant KPIs, providing close supervision and guidance for the interns. As such, rest assured that interns will be spending their time meaningfully and will not be left unsupervised at any point in time.  For the role as a Corporate Sales Intern, the job scope will be as below: Handling of corporate customer inquiries, purchases, and fulfillment. Attain new corporate customers Build and maintain good relationships with existing and/or new corporate customers and vendors. Prepare reports for payment history and tracking, sales, and sales summary.  We are confident that students who intern with our company will benefit in these ways: Opportunity to apply acquired knowledge and skills to real work experiences. Relevant work experiences in their desired field to gain confidence and interests for their future career path. Develop their strength and weaknesses through regular feedback from supervisors while embracing their mistakes and offer guidance. Network with professionals in the industry.",Internship,Full-time,"Sales, Business Development, and Customer Service",Consumer Electronics
Business Development Intern,One Good Card,"Singapore, Singapore",5 days ago,Be among the first 25 applicants,"Who we are:  At One Good Team, we believe in making technology simple and accessible for everyone. Our pilot product to the market, One Good Card, Singapore's first and only Smart Name Card, born to eradicate the wastage of paper name cards.   We deeply believe that the world needs smarter, safer and more sustainable means of digital connectivity, especially in the pandemic.  Our team is young, dynamic, and bold. As our company name suggests, there is nothing we embody more than team excellence. We believe in team collaboration and value every input, no hierarchies. If this is what you are looking for, read on!   What you can look forward to:  Liaising, building rapport and managing clients and relationships Identifying new clients and potential business growth opportunities Maintaining and achieving customer satisfaction in pursuit of business targets Building key sales funnels for effective inbound and outbound lead generation Gaining new experiences in crafting cross-functional campaigns  Opportunities to pitch ideas and solutions to prospective clients   What you’ll need:  Good written and verbal communication skills Strong customer-centric and success driven mentality A creative eye with strong attention to details Ability to understand and cater to clients’ needs Highly adaptable with good critical thinking Knowledge of image manipulation tools and software (e.g Canva, Adobe Photoshop etc) Ability to work efficiently in a hybrid/remote environment Preferably possesses a background in business-related courses    You will be an awesome fit here if:  You are passionate about personal growth and career development You are a self-motivated individual and takes initiative to solve business problems You want to expand your knowledge on real and applicable cross-functional skillsets used in the workforce You believe in making the best out of any opportunities that comes your way You are a good communicator and genuinely enjoy interacting with people You are keen in experiencing work in a fast paced and dynamic start-up environment Believe in accelerating the future of Digital Transformation with us!  We welcome you even if you have no prior experience in Business Development or sales, as long as you are hungry for growth and keen to learn the ropes.  If this describes you, a One Good Hello because we want you!",,Internship,,
FPSG - Sales Intern,foodpanda,"Singapore, Singapore",4 days ago,Be among the first 25 applicants,"Do you love food and convenience put together? Then you just might love foodpanda!  foodpanda is the leading, on-demand food delivery company in Singapore, bringing thousands of your best loved restaurants online into your home or office - fast! We’re all about bringing on the smartest folks as we continue to grow with an “all hands on deck” environment and hire those who can thrive in a startup culture.  About The Job  Roles and Responsibilities: Acting as the administrative point of contact between the sales representatives and clients Address customers’ questions and concerns accurately Handling sales representatives’ requests promptly Maintain consistency in quality of calls and service standards Develop prompt and accurate data entry Work closely with the sales team to ensure smooth submission of paperwork for the signed accounts Any other ad-hoc duties assigned by Sales Team Requirements Proficiency in English High level verbal and written communications skills Excellent knowledge of MS Excel and VLOOKUP Ability to multitask and prioritize daily workload What We Offer Challenging and fulfilling steep learning curve Vibrant, dynamic & international workplace Periodic fun & engaging company events & team activities Tasty Thursdays Birthday Leave Work Anniversar(ies) Leave Opportunity to be a value-adding contributor to this fast-growing global company",Internship,Internship,Sales and Business Development,"Marketing and Advertising, Internet, and Financial Services"
