jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Alliances Manager,Fujitsu Asia,"Singapore, Singapore",2 weeks ago,35 applicants,"This role is expected to work closely with the sales and delivery colleagues in the Asia region to increase awareness of alliance related opportunities, and engage with the appropriate company executives to build targeted strategic relationships to build long term business opportunities for the company.  Key Responsibilities: - Manage the alliances proactively and map out the alliances capabilities and understanding for our market in Asia region. Develop and nurture strategic and mutually beneficial relationship with vendors to drive revenue with joint sales efforts.  Create go to market opportunities with the alliances to drive sales Generate sales opportunities to achieve short and long term revenue and profit growth Educate the alliances on our value propositions and help them to drive joint engagement with customers while working closely with our sales and delivery teams. Support the execution of mutual business plans that define target partnership outcomes and key metrics, including sales, training & skills development, implementation projects and customer success stories. Create, and manage company’s pipeline for deals with partners and transform potential leads into joint sales activities. Conduct regular business reviews of alliances assessing performance and providing insights on the business. Job Requirements: - Thorough understanding of each of the regional partners. This includes the organization, relative business priorities, communication styles & preferences and key risks that need to be mitigated for successful long-term partnership success. Good understanding of Software Applications, ERP, RPA, BI and Data Analytics. Excellent communication skills, and a proven ability to communicate effectively in a multi-cultural matrix environment and at all levels from technical team to country sales managers At least 5 years’ experience with demonstrated success in one or more related areas such as professional services, alliances and software sales Ability to effectively communicate and influence solution direction to both technical and non-technical audiences alike across all organizational levels Bachelor’s Degree in business, technology or related discipline.",Mid-Senior level,Full-time,Business Development and Sales,Information Technology and Services
Channel Sales Manager,BitTitan,"Singapore, Singapore",1 day ago,Be among the first 25 applicants,"BitTitan® empowers IT service professionals to successfully deploy and manage cloud technologies through automation. BitTitan is the developer of MigrationWiz®, the industry-leading SaaS solution for mailbox, document, public-folder and Microsoft Teams migrations between a wide range of Sources and Destinations. Additionally, Voleer is BitTitan’s solution that centralizes and automates IT tasks, helping empower IT service professionals to streamline daily operations and eliminate redundancies. Since 2009, BitTitan has moved over 19 million users to the cloud for 43,000 customers in 187 countries and supports leading cloud ecosystems including Microsoft, Amazon, Google and Dropbox. BitTitan is a global company with offices in Seattle and Singapore.  Quick Overview  The following infromation details the primary duties and responsibilities for BitTitan's Channel Sales Manager. There may be additional aspects to the job which management can provide. The company reserves the right to modify and revise job descriptions as business needs dictate.  In This Job, You Will Drive Achievement of Channel Sales Quota Create and execute a channel sales strategy for each channel partner assigned with primary focus on key distributors Achieve 100% of quarterly and full year channel sales quotas assigned Enable and manage long-term relationships with assigned channel partners to support business goals and to execute channel strategies Drive consistent and predictable channel bookings through joint business planning and ongoing channel enablement Grow and maintain effective internal BitTitan relationships to maximize speed-to-market and opportunity closings Prepare compelling visual presentations to communicate BitTitan’s value proposition Drive strategic/large deals to exceed revenue targets Working with marketing, identify and develop new contacts, leads, and opportunities resulting in net new customer growth through your channel partners Ensure effective training and use of SFDC for distributor planning, contact information, opportunity management, forecasting, and win/loss analysis Travel as appropriate to work with partners and customers to grow your business and provide product requirements back to BitTitan Demonstrate cultural awareness for local customs and business processes fortifying the company’s value proposition as a global supplier of cloud based, SaaS solutions QBR Execution Execute effective QBRs with key distributors involving account managers, marketing, product management, and sales management as appropriate to achieve assigned channel quotas Team Management Able to to lead and manage team members to drive the channels strategy for that particular region We would love to speak with you if you have: Sales experience requirements: 3-4 years of sales, quota-carrying experience 2-3 years in channel sales Demonstrated history developing partner relationships and successful global outcomes Demonstrated personal leadership in driving new sales and meeting/exceeding sales targets Excellent written and verbal communications skills including formal and informal presentations Experience in technology industry specifically in cloud-based SaaS environments Works effectively with internal teams, i.e. account managers, marketing, product, finance, customer support, and sales management. Adept at handling ambiguous issues/assignments Comfortable delivering client-facing presentations Desire to work in a mid-sized, entrepreneurial company with a can‐do attitude Extras That Will Give You An Edge Education A business or technical Bachelor's degree applicable to the technology industry. Language Skills Read and communicate fluently in the English , Mandarin Language Bring your experience, your talent, your creative energy, and meet a diverse group of people who work together and build software that aims for the cloud. We have a unique culture that is collaborative, customer centric, professional, and encourages hard work with a layer of fun that keeps us in balance. Join the team that makes a positive impact on the future of IT services automation… you’re going to love it!  At BitTitan, Inc. we don’t just accept difference—we celebrate it, we support it, and we embrace it for the benefit of our employees, our partners, and our community. We are committed to equal employment opportunity and diversity.",Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Enterprise Account Executive, Slack",Slack,"Singapore, Singapore",2 days ago,Be among the first 25 applicants,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.  Job Category Sales Job Details  About Slack, a Salesforce Company  Slack has transformed business communication. It’s the leading channel-based messaging platform, used by millions to align their teams, unify their systems, and drive their businesses forward. Only Slack offers a secure, enterprise-grade environment that can scale with the largest companies in the world. It is a new layer of the business technology stack where people can work together more effectively, connect all their other software tools and services, and find the information they need to do their best work. Slack is where work happens.  What we're looking for:  We are very excited to welcome Slack to our ever growing Ohana at Salesforce. With the recent announcement of the Slack acquisition, we have brand new opportunities to grow our Singapore team.  We are looking for Enterprise Account Executives to join our sales team and focus on enterprise customers in Singapore. We seek exceptional talent that is eager to do the best work of their life while supporting others in doing the same. You will be responsible for driving sales opportunities with prospective customers as well as expanding business within existing accounts. You will work closely with our customers to understand their business objectives and act as their trusted guide for using Slack most effectively. You'll also work with cross-functional teams to help align our product roadmap and marketing materials with customer feedback.  If you're an established sales professional with a proven track record in helping customers achieve lofty goals, we should talk!  Some of the things you’ll be doing include …  Own the full sales cycle from lead to close Establish lasting relationships with senior executives and decision-makers Help educate customers on the value of Slack throughout their adoption cycle Build Slack awareness at all levels of an organization Identify customer needs to ensure customer success with special emphasis on signup, upgrade, and renewal Collaborate with other members of the sales team (solutions engineers, customer success managers, leadership, etc.) to build strategic adoption plans for customers Prepare and educate customers on new features and releases Monitor and identify adoption and utilization trends Serve as the voice of the customer and collect feedback to drive continuous improvement across all areas including product Handle all customer communication and organize/escalate issues appropriately including: billing, legal, security, and technical inquiries Drive revenue through proactive outreach to key accounts  Who You Are...  You have 5+ years of software sales experience, preferably in SaaS You are a self-motivated teammate that can act independently Experience presenting to senior managers and the C-Suite You take an active interest in opportunities to increase customer satisfaction and deepen customer relationships You have a consistent track record of identifying customer needs and successfully implementing solutions Ability to orchestrate and collaborate with cross-functional teams You are flexible, adaptive, and resilient You have a post-secondary degree, or equivalent experience Some travel required  About Us  Salesforce, the Customer Success Platform and world's #1 CRM, empowers companies to connect with their customers in a whole new way. We are the fastest growing of the top 10 enterprise software companies, the World's Most Innovative Company according to Forbes, and one of Fortune's 100 Best Companies to Work For six years running. The growth, innovation, and Aloha spirit of Salesforce are driven by our incredible employees who thrive on delivering success for our customers while also finding time to give back through our 1/1/1 model, which leverages 1% of our time, equity, and product to improve communities around the world. Salesforce is a team sport, and we play to win. Join us!  Accommodations  If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .  Posting Statement  At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.  Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .  Salesforce welcomes all.",Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
"Area Vice President, Sales - Slack",Slack,"Singapore, Singapore",2 days ago,Be among the first 25 applicants,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.  Job Category Sales Job Details  Area Vice President, Sales - Slack  Slack is on a mission to make your working life simpler, more pleasant and more productive. We are looking for an Area Vice President of Large Enterprise Sales to join our fast growing Sales organization.  You are driven, curious, intelligent and deeply passionate about your craft. You will build and run a diverse team of talented individuals looking for mentorship and help growing their careers. In addition, you will remove barriers to Customer adoption of Slack and collaborate with the broader Leadership Team. This is a demanding role that requires strong leadership, priority management and interpersonal skills.  Responsibilities:  Participate in customer and prospect meetings and help define a strong business case Partner with Solution Engineering, Customer Success and other cross-functional teams to drive success and prioritize where Slack invests its resources Identify product and technology gaps with Customers and present a point of view to Slack’s Product and Leadership Teams Support ongoing growth and development including recruiting, hiring, training and mentoring reps Conduct weekly forecast meetings and coach Account Executives on strategies to reach their goals Report on sales activity and manage a regular revenue forecast Achieve key performance metrics and goals Work with your team to discuss, plan and implement process improvements Requirements:  12+ years of Sales experience preferably within an Enterprise SaaS organization 8+ years of Sales Management experience preferably within an Enterprise SaaS organization Solid understanding of Enterprise SaaS applications and collaboration technology Consistent track record of selling software into large Enterprise accounts and achieving personal and team goals Ability to grow business in a strategic manner including demand generation Excellent coaching, writing, discovery and presentation skills History of thriving in a rapidly-changing environment Enthusiasm for increasing customer happiness and deepening customer relationships Comfortable and willing to be a hands-on contributor Bachelor's degree required  About Slack  Slack is a layer of the business technology stack that brings together people, data, and applications – a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has ten offices around the world. For more information on how Slack makes teams better connected, visit slack.com .  Ensuring a diverse and inclusive workplace where we learn from each other is core to Slack’s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.  Come do the best work of your life here at Slack.  Accommodations  If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .  Posting Statement  At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.  Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .  Salesforce welcomes all.",Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
Regional Business Development Manager,,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"Our Client is a European MNC that specializes in manufacturing thermal packaging solutions.  Due to continued growth in globally they are looking for a high caliber Regional Sales Manager to join the organisation in Singapore.  Position Requirements:  * University Degree Holder. * Minimum of 5 years sales / business development experience in Cold Chain Logistics, Pharmaceutical or Speciality Chemical Industries. * Proven track record of sales success. * A self starter, highly motivated to develop new ideas, strategy and markets. * Ability to cope with high pressure and strict deadlines. * Sound willingness and skills to solve problems. * Strong English communication skills (additional language is an added advantage). * Highly effective presentation skills. * Willingness to travel regionally (once Covid-19 pandemic and restrictions ease).",,Full-time,,
Partner Sales Manager APAC,Mixpanel,"Singapore, Singapore",3 weeks ago,Be among the first 25 applicants,"About The Role: Mixpanel is in a stage of high-growth and partnerships is a key piece of the puzzle to our growth across the Asia-Pacific (‘APAC’) region. We are looking for a highly motivated leader and team player to join our Partnerships team to support the growth of Reseller partnerships in APAC. In this role, you’ll identify, recruit and operationalize new reseller partnerships to help expand Mixpanel’s indirect sales reach across Asia-Pacific. You will build a regional partner business plan with quantified goals and milestones to achieve partner sourced revenue metrics to meet all quarterly sales requirements. This role manages existing reseller partners in Asia, as well as being responsible for acquiring and nurturing new reseller relationships across all of APAC. You will drive the strategy for your partners, be responsible for managing your partner relationships, executing GTM activities with your partners, accountable for exceeding quarterly quota, generating pipeline and forecasting revenue, and helping your partner reps resell Mixpanel to generate revenue. You have experience working with Channel Resellers, Distributors, System Integrators (SIs), and Digital Agencies to understand channel dynamics, and will leverage previous experiences to accelerate your partnerships and grow the region.  Responsibilities: Own and drive relationships with Solution Provider Reseller partners in Asia to generate significant resell revenue in region through new customer acquisition and existing customers upsell. Identify, recruit, enable and manage long-term relationships with new reseller partners (Regional Service Integrators (SIs), Digital agencies, Product Development agencies, etc.) to support business goals and to execute channel strategies Develop a deep understanding of partner business models, needs, and challenges including an understanding of our mutual customers’ needs. Develop GTM plans with partners to achieve and exceed revenue targets. Execute GTM activities and lead cross functional teams on activities such as onsite trainings, email campaigns, remote training sessions, webinars, and events. Generate resold revenue and assist partner sales teams to close deals. Manage pipeline generation and revenue forecast reporting. Leverage existing relationships at partners to influence decision makers, increase mindshare, and accelerate engagement from partners. Assist partners with product positioning, configuration, demonstrations, sales strategy, and closing deals. Forge strong Mixpanel-internal relationships with key managers and support organizations in a dynamic and growing environment to ensure the right people and connected at the right time. We're looking for someone who has: Aside from having channel / indirect sales experience, you exhibit the two core characteristics of the Mixpanel Partnerships Team: low-ego and self-motivation. This is a great opportunity for an experienced Business Development professional to join a growing channel program or an Account Executive looking to shift to a channel sales role and make a significant impact in the region. Preferred Qualifications: 5+ years of channel or direct sales experience in a Channel Sales role or equivalent quota-carrying role Execution focused but able to see larger picture Self-starter with great time management skills Excellent written and verbal communication skills Hard working and willing to put in the extra effort to get it done Ability to work in a fast-paced changing environment Team player who can collaborate across the org with various departments Travel as necessary (and when possible), typically 25% or more depending on territory/region coverage Multi-lingual preferred.",Mid-Senior level,Full-time,Information Technology,Computer Software
Regional Sales & Marketing Manager,Dornier MedTech,"Singapore, Singapore",1 day ago,53 applicants,"At Dornier MedTech, we believe in fostering a culture of science, innovation and reliability in our people, products, and services. These values serve as a compass that guides us towards meeting our everyday commitment to leading technology and improving life. We’re passionate about our products and our work and are looking to add you to our team.  You will play a key role in managing and expanding the distribution channels in assigned countries to drive business growth and to develop business relationships with end customers directly.  To be successful in this role, you should be independent and highly driven, demonstrate extensive experience in business development strategies, and the ability to adapt quickly in a dynamic environment. It is also important to take on a hands-on approach when required and willing to travel extensively.  Primary Responsibilities  Take ownership for assigned markets in the following areas : Achieve individual performance targets and meet specific goals and strategies Manage channel partners and develop distribution network   Negotiate and close business deals with channel partners Perform market analysis and develop suitable pricing strategies Develop and implement plans to be the brand champion for Dornier MedTech Understand market drivers & dynamics to craft relevant strategies to drive business  Secondary Responsibilities  Work with service team to meet service targets Develop client relationships and strengthen industry partnerships  Education/Qualifications  Bachelor’s degree or equivalent  Experience  Minimum 2-3 years of relevant regional work in sales and channel management Possess 3-4 years of medical device sales experience is a plus  Aptitude  Keen to take on interesting challenges with limited resources Resourceful in utilizing existing structure & set up Able to adapt to diverse work environment Independent and takes ownership Strong collaborative mindset  Operational Skills  Able to view isolated & separate processes from a strategic viewpoint Must be able to do case support in the operating theatre  We regret that only shortlisted applicants will be notified.",Mid-Senior level,Full-time,Sales,Medical Devices
Business Development Representative,,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"To perform well in this role, we are looking for an individual with a proven track record in identifying and generating new business leads through various social platforms. You must also be confident in articulating technical concepts and solutions to various leads, in particular, executive level decision makers.  This role covers both outbound and inbound responsibilities, with a larger emphasis on generating outbound leads.  Roles & Responsibilities: Outbound Creating highly qualified opportunities for Account Executives within their Targeted accounts Outbound calling to prospective customers Analysing customer needs in terms of current business obstacles, identifying projects and scoping potential TIBCO solutions. Effectively communicating TIBCO’s solutions Overcoming objections and scheduling meetings with field sales and prospects Responsible to achieve a high level of collaboration with Marketing and Sales teams by developing and delivering against the strategy agreed with the field representatives and regional VP. Actively problem solving during the duration of the campaign to ensure results are met by the end of the campaign Inbound Creating highly qualified opportunities for Account Executives within their Targeted accounts Outbound calling to prospective customers Analysing customer needs in terms of current business obstacles, identifying projects and scoping potential TIBCO solutions. Effectively communicating TIBCO’s solutions Overcoming objections and scheduling meetings with field sales and prospects Responsible to achieve a high level of collaboration with Marketing and Sales teams by developing and delivering against the strategy agreed with the field representatives and regional VP. Actively problem solving during the duration of the campaign to ensure results are met by the end of the campaign  Skills & Qualifications: Fluency in written and verbal English is prerequisite for you to perform well in this role. Any additional proficiency in SEA languages (Thai / Vietnamese / Bahasa / Korean) will give you an edge in your application. Proven track record in identifying business and generating new business leads via the Internet, Telephone or Social media (LinkedIn and other platforms) Strong business development experience, with the ability to present technical concepts and business solutions clearly through conversations and written communications Experience in calling into C-level Executives at Enterprise size organizations along with the ability to work to and overachieve on targets. A strong interest in technology, passion for sales and strong communication skills. Understanding of the use and application of IT systems in a Business environment Objection handling expertise Knowledge of TIBCO’s products or previous experience in the IT industry is a bonus  How you’ll be rewarded: Focus on YOU - Health and Wellbeing : Employee Assistance Programme and an employer-funded Private Medical Insurance plan. You can also benefit from dental insurance, health assessments, and a truly holistic approach to flexible working options. Focus on FINANCES - Financial Future : We understand your financial future is key. That’s why you’ll have access to an exceptionally competitive pension scheme, a bonus incentive plan, automatic enrolment in an income protection plan, as well as a death and disability insurances to provide you with that financial peace-of-mind. Focus on PROGRESSION – Learn and Advance : Develop your skills with best-in-class on-line and in-person learning and development tools. Take advantage of TIBCO’s Career Mapping to enhance and develop your skills to take your career in the direction you choose. Participate in our ‘Elevate Live’ weekly enablement sessions, and for our Sales professionals - attend our Elevate Academy. Focus on COMMUNITY – Collaboration and Inclusion : Team up with our Culture Captains and help us continue to build #TIBCOSpirit. Daily we all strive to create a truly diverse, inclusive and collaborative community where we seek out inspiration, innovation and genuine WOW moments. From inspiring key-note speakers, to mental health awareness, to culture recognition days, we offer you a truly diverse environment where your voice matters. Focus on CUSTOMERS - Make a difference : Take a look at our many customer success stories: https://www.tibco.com/customers  The Fine Print: Please note you must have full working rights for the country you are applying for. If on a work permit or visa please make sure the details along with expiry date are included on your application. Applications and CVs must be in English. TIBCO is an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation or age. Important: Please note that we have updated our Candidate Data Privacy policy and can be found here: https://www.tibco.com/careers/candidate-privacy",Mid-Senior level,Full-time,Sales and Business Development,"Computer Software, Information Services, and Information Technology and Services"
Corporate Sales Executive (Junior),Cartrack,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"Do you take ownership, embrace challenges and love problem-solving? Are you results driven, observant and innovative?  We’re a world-leading smart mobility SaaS tech company with over 1,200,000 subscribers across 23 countries and we’re looking for a Relationship Manager to join our team. Our teams are collaborative, vibrant and fast-growing, and all team members are empowered with the freedom to influence our business with ideas that drive innovation and efficiency.  Responsibility Proactively identify and pursue sales opportunities, and deliver presentations demonstrating Cartrack’s products and solutions Achieve and exceed sales targets with a focus on generating new business and developing existing customers Conduct thorough needs analysis on client requirements with tailor-made pricing structure/deals Acquire new customers by cold calling, networking, and using various Social Media platforms Monthly sales forecast preparation and submission Use CRM to full potential to report, measure and control sales inputs and outcomes  Requirements Target driven personality and eager to explore new business opportunity Good listening skills to understand a customer’s needs and tailor a relevant pitch Possess good communication skills and are not afraid to go an extra mile to close the deal Entry level applicants who possess the desired attributes (customer centric & target driven) are encouraged to apply as training is provided",Mid-Senior level,Full-time,Marketing and Business Development,Automotive
Senior Key Account Manager,,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"About Cashapon Aims to be Southeast Asia's premier ecommerce enabler, providing innovative solutions that boost productivity and maximise sales opportunities for top brands through online channels. Cashapon Team is made up of highly ambitious individuals driven to innovate, build and succeed and is always looking for like-minded self-starters to join. Key Responsibilities: The Key Account Manager will be a key contact point for End to End process and services including, internal & external function. Internal function includes e-commerce Marketing, day to day operation, Customer service, and technology functions to manage Cashapon service to brand and improve the customer experience. Developing relationship with marketplace and new channel is also key part to drive client’s sales coverage and growth. Managing brand and channel portfolio to deliver growth to clients. The ideal candidate would have key skills as fast learner, high interpersonal skill, logical thinking, problem solving, high responsibility, prioritizing and initiative thinking. The role will require a combination of financial, business development and account management skills. Job description: Performance Management • Manage overall account profitability via P&L management • Ensure all clients and channels are successfully on-boarded on time and deliver KPI on track • Manage to maximize GMV with day-to-day collaboration with client and channels • Customer budget management and P&L execution including reimbursement to deliver agreed GMV, Take Rate, and Profit • Ensuring optimal product presentation and visibility on online channels • Leading all initiatives Across different services • Coordinating with internal cross function and external parties • Establish and monitor progress against key performance indicators. Partner Service • Responsible for client relationship and retain client satisfaction • Serve as the “face of aCommerce” and primary point of contact for client executives and key stakeholders at each assigned account • Advising clients on how to increase online sales through merchandising, promotion planning and onsite marketing activities • Managing fast-growing e-commerce sales of large brand owners through their own webstore or other online channels and initiative channel • Ensuring that regular reviews are carried out with customers, to ensure that their needs are being met and that excellent customer service is achieved and, developing future improvements/services for the customers. • Ensure operational performance on all areas • Identifies and anticipates additional opportunities for enhancements, improvements or new services with existing clients • Inventory management including forecast, ordering and DOH controlling • Works with other departments to ensure that everything is ready for go-live; Ensures that no processes or set up have been overlooked • Present analysis and recommendations to key stakeholders both client-side and internally Leadership and team work • Individual contributor in key account • Able to lead project relating with responsible account and category • Able to be mentor for key specialist that leads from account activities • Able share knowledge and team player Business Development • Contract Management by helping translate the outlined solution into a high level initial statement of work (SOW) and helps secure the client's agreement in sales meetings with the prospect or client (system & integration options, cost model, forecast value, activity planning, requirements definition, etc.) • Working closely with Solution design and business development to manage key customers (existing and new), thereby improving turnover and profitability • SOW & Trade Agreement management for existing account and input industry insight to SD for new customer. Key Qualifications • 2 year++ working experience in an Ecommerce company, Internet start-up, International Brand, FMCG, retailer or consulting • Previous experience in trade marketing, brand management, merchandising would be a plus. • Able to develop account plan • Good knowledge of Excel, Powerpoint and ability to quickly adapt to new software and tools • Proactive and problem-solving attitude • Very strong commercial English as well as client-facing abilities • Analytical, data driven mindset • High interpersonal skill with problem solving",,Full-time,,
