jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Sales Representative I, Spine- Charlotte, NC",Medtronic,"Charlotte, NC",,Be among the first 25 applicants,"Careers that Change Lives  Bring your talents to an industry leader in medical technology and healthcare solutions – we’re a market leader and growing every day. You can be proud to sell medical technologies that are rooted in our long history of mission-driven innovation. Our expanding portfolio delivers measurable clinical and economic value – and opens doors. You will be empowered to shape your own career. We support your growth with the training, mentorship, and guidance you need to own your future success. Together, we can transform healthcare.  Join us for a career in sales that changes lives.  Business Description:  Cranial and Spinal Technologies (CST) is redefining cranial and spinal procedures to reduce variability and improve outcomes with the goal of restoring long-term quality of life for more patients. We are the first company to offer an integrated solution that includes artificial intelligence-driven surgical planning, personalized spinal implants, and robotic-assisted surgical delivery to make patient care more customized.  CST is the market leader in spinal implants, robotics, and navigation. Our integrated operating unit is comprised 3 global businesses, Spine and Biologics, Enabling Technologies and China Cranial, Spinal Orthopedic Technologies.  This role will support our Spine and Biologics business.  Click here to learn more about our full procedural solutions for spine surgery and  Click here to learn more about our bone grafting solutions for spinal fusion.  A Day in the Life:  At Medtronic, the Sales Representative I, Spine is responsible for soliciting orders, selling Medtronic Spinal products assigned and representing the company in accordance with its policies and in the area assigned; for maintaining an awareness of local competitive conditions. This position will work in tandem with Spine Sales Representatives II and will have territory coverage responsibility and limited sales responsibility. Allocation guideline for core responsibilities include: Inventory Management, Case Coverage, and Selling (outside the operating room).  This is a field based role.  Responsibilities may include the following and other duties may be assigned: Maintain, manage and track Consignments and Loaner inventory. Keep non usage and flight usage to a minimum level. Territory case coverage. Manage accounts in assigned territory. Prepare and submit call reports as required by the District Sales Manager. Maintain up-to-date customer record books and other records in accordance with District Sales Manager’s instructions. Aggressively solicit orders from present and prospective customers for the products assigned. Aggressively seek new customers and formulate and follow plans for such action as directed by the District Sales Manager. Resolve customer complaints in accordance with Medtronic Spinal policies and advise District Sales Manager and Medtronic Spinal promptly of any situation beyond scope of authority. Recommend the additions of new products and the modification or deletion of present products to the line as appropriate. Successful completion of all required product and sales related training curriculum. Meet or exceed sales quota and total company market share in assigned territory. Attend and participate in sales meetings, training programs and conventions as directed. Identify selling opportunities and work closely with the sales representative to increase sales in their respective accounts. Comply with all Medtronic Spinal policies. Work weekends, evenings, and Holidays as required on an emergency basis. We seek out and hire a diverse workforce at every level: We need fresh ideas and inclusive insights to continue to be an innovative industry leader —that’s why we make it a point to seek out, attract and develop employees who are patient-centric, passionate, and who represent the same wide variety of life experiences as our patients.  To learn more about Inclusion & Diversity at Medtronic Click Here  Must Have: Minimum Requirements  To be considered for this role, please ensure the minimum requirements are evident on your resume . High School Diploma or GED AND a minimum of 4 years of sales experience including 2 years of medical sales; or High School Diploma or GED AND 2 years of Medtronic RTG Clinical Specialist experience plus 2 years of prior clinical/ medical sales experience; or Associate’s Degree AND a minimum of 2 years of sales experience; or Associate’s Degree AND 1 year of Medtronic RTG Clinical Specialist experience; or Bachelor’s degree Nice to Have Ability to interact effectively with a wide range of people and personalities Excellent written and verbal communication skills Ability to work in an operating room setting Ability to accommodate a flexible work schedule Ortho, Spine or O.R. experience strongly preferred About Medtronic  Together, we can change healthcare worldwide. At Medtronic, we push the limits of what technology, therapies and services can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be.  We want to accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Let’s work together to address universal healthcare needs and improve patients’ lives. Help us shape the future.  Physical Job Requirements While performing the duties of this job, the employee is regularly required to be independently mobile Required to interact with a computer for extended periods of time, and communicate with peers and co-workers Regularly required to talk or hear Occasionally required to sit and reach with hands and arms Regularly required to stand; walk and use hands to finger, handle, or feel objects, tools , or controls Must frequently lift and/or move up to 50 pounds Specific vision abilities required by this job involve normal vision Ability to travel Must have a valid driver's license and active vehicle insurance policy. In addition, your driving record will be reviewed and will be considered as part of your application. The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.  The physical demands described within the Day in the Life section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  Additional Information Posting Date: Oct 7, 2021 Travel: No",Associate,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Surgical Sales Rep- GYN (Atlanta South),Medtronic,"Atlanta, GA",2 weeks ago,Be among the first 25 applicants,"Careers that Change Lives  Bring your sales talents to a leader in medical technology and healthcare solutions. Rooted in our long history of mission-driven innovation, our medical technologies open doors. We support your growth with the training, mentorship, and guidance you need to own your future success. Join us for a career in sales that changes lives.  A Day in the Life  The Surgical Sales Representative, GYN is responsible for exceeding sales quota and managing the assigned territory within budget guidelines.  Position Responsibilities: Manages assigned territory to exceed quota by: Making sales calls to target accounts Selling and servicing the target accounts, preplanning and adapting the sales presentation to the individuals involved Exceeding the standard level of performance in market segment call activity, target account penetration, evaluations started and evaluations concluded Demonstrating effective full line selling Support the execution of all marketing launch plans and new product sales objectives. Coordinate and allocate corporate resources within the scope and scale of the sales account plans. Participate in training plans and programs. Manage the training for accounts within area of responsibility. Facilitate education on product advantages. Facilitate sales process through involvement of other organizational resources Maintain a continuing program to improve and upgrade skills to include, but not limited to: Product knowledge Competitive knowledge Selling skills PC Skills Promotes and sells Medtronic's Medical/Scientific Equipment products and services including non-implantable medical or scientific equipment products and/or services (e.g., diagnostic medical equipment, medical imaging machines, medical laboratory equipment, and non-implantable medical devices) within an assigned geographic area and /or specific customer accounts to meet or exceed sales targets. Responsible for developing, building, and strengthening long-term relationships with stakeholders including hospitals, physicians, and Radiology and Surgical personnel. Responsible for pursuing leads, assessing needs and providing product services to maximize the benefits derived from Medtronic's Medical/Scientific Equipment products and/or services. Conducts and/or evaluates market research including customers and competitors activities. Develops and/or implements market development plans/strategies and changes as needed. Assesses customer needs and feedback regarding new products and/or modifications to existing products and communicates to internal stakeholders including R&D, Operations and Marketing. Must Have: Minimum Requirements Bachelors degree required Minimum of 3 years of sales experience and working knowledge of company products and services Nice to Have 3+ years of medical sales and/or capital equipment sales experience preferred with focus on surgeon relationships. Women’s Healthcare sales experience a plus About Medtronic  Together, we can change healthcare worldwide. At Medtronic, we push the limits of what technology, therapies and services can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be.  We want to accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Let’s work together to address universal healthcare needs and improve patients’ lives. Help us shape the future.  Physical Job Requirements  The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role. (ADA-United States of America)  Additional Information Posting Date: Sep 24, 2021 Travel: Yes, < 25 % of the Time",Associate,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Inside Sales Rep- Medical,LG Electronics North America,Los Angeles Metropolitan Area,2 days ago,Be among the first 25 applicants,"LG Electronics has an opening for an experienced Inside Sales Rep ( ISR) in the medical products team. We’re building our sales force and are looking for an individual to support our consultative style selling. You will assist in developing business value propositions around LG Electronics Medical display products and solutions. You will help the Team drive sales with your technical knowledge, technical account management skills, sales ability, and a strong customer-first focus.  This role can be a remote home office based position with occasional on site work in our Los Angeles Office Position Description The ISR - will work collaborate with the North American Products Medical Channel organization in helping to achieve revenue goals. The ISR will work as the liaison between Sales and external Business Partner that support Sales staff in daily activities and provide insight into sales activities. This position will report to the Sr. Director of Medical Channel  Key Responsibilities; Works collaboratively with sales organization to prospect new customers in regional territories; cold call potential customers to generate demand for LG products and solutions Maintain an awareness of all product knowledge information, promotions, and Partner training. Generate new and repeat sales providing product and technical information in a timely manner; determine customer requirements and expectations in order to recommend specific products and solutions, accurately process requests for special pricing quotes for accounts in the assigned region Demonstrate use and operation of the product and recommend products to customers and answer questions. Ability to work in a Team environment with different areas of the business including Marketing, Operations, Logistic, Product Management and Planning Experience in event planning, set up and execution a plus Act as the Super user and capture relevant data in Salesforce Manage and Coordinate all demo equipment Manage RMA Conduct Client walkthroughs in our LA Innovation Center   Job Qualifications Bachelors degree or equivalent experience A minimum of 3-years’ hands-on experience within the Salesforce Platform Experience with Microsoft Tools Demonstrated ability to drive results at all levels, regardless of reporting structures. Excellent verbal and written communication skills Excellent presentation skills, including the ability to engage with leadership at all levels of an organization. Experienced with change management and problem-solving experience. Comfort in working up and across the organization – working with front-line Sales employees. Demonstrated competency in strategic thinking that results in new ideas that drive the business forward. Travel 10-20%  LG Electronics, USA Inc.; LG Mobilecomm USA, Inc., LG Mobile Research USA LLC, and Zenith Electronics LLC provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Further, the Company takes affirmative action to ensure that applicants are employed and employees are treated during employment without regard to any of these characteristics.",Associate,Full-time,Sales,Medical Devices
"Customer Sales Executive, Food Southeast",The Hershey Company,"Charlotte, NC",2 weeks ago,Be among the first 25 applicants,"Job Location: Charlotte, NC  This position can also be based in Asheville, NC; Abingdon, VA; Tri-Cities, TN  Summary  The Customer Sales Executive (CSE) is responsible for profitably growing Hershey’s Food City and Ingles Markets business to achieve objectives and plans, including net sales, market share, trade spend, and sales activity margin. Responsibilities include business planning & analysis, creating valued business partnerships with customers by becoming a business advisor, and achieving mutually beneficial agreements through skilled negotiation and understanding of the customers business. The CSE will also leverage insights to build a 1-to-3-year business plan and deploy supporting tactics to achieve financial objectives.  Responsibilities Achieve net sales, market share, trade spend, and sales activity margin targets for assigned customer(s) by simulating and planning incremental volume and pre and post analysis as well as displaying core competencies and behaviors. This includes judiciously managing and allocating trade funds (maintaining compliance with all Sarbanes Oxley policies) to achieve profitable sales growth. Effectively utilize Hershey’s analytical tools (e.g. PlanEx, Unify, Trade Point, etc.) and processes to drive profitable and predictable sales results. Build and maintain appropriate sales plans in PlanEx. Manage trade fund budget to include clearing deductions. Monitor and control customer expenses to include WASTE and supply chain costs. Provide category analysis and consumer insights to customers as well as other category tools/consultation with Category Management partnership. Develop and provide resources and tools to the retail team. Achieve appropriate levels of account penetration. Alignment with retail team through participation in retail meetings as well as field visits with appropriate Retail management. Qualifications Education: Bachelor's degree strongly preferred. Experience: At least 3-5 years relevant sales experience. The Hershey Company is an Equal Opportunity Employer. The policy of The Hershey Company is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's race, color, gender, age, national origin, religion, citizenship status, marital status, sexual orientation, gender identity, transgender status, physical or mental disability, protected veteran status, genetic information, pregnancy, or any other categories protected by applicable federal, state or local laws.  The Hershey Company is an Equal Opportunity Employer - Minority/Female/Disabled/Protected Veterans  If you require a reasonable accommodation as part of the application process, please contact the HR Service Center (askhr@hersheys.com).",Associate,Full-time,Sales and Business Development,"Food & Beverages, Consumer Goods, and Retail"
"Sales Representative I, Interventional Therapies - Tampa, FL",Medtronic,"Tampa, FL",2 weeks ago,Be among the first 25 applicants,"Thanks for your interest in the Sales Representative I, Interventional Therapies - Tampa, FL position. Unfortunately this position has been closed but you can search our 3,234 open jobs by  clicking here  Must Have: Minimum Requirements  To be considered for this role, please ensure the minimum requirements are evident on your resume. Bachelor's Degree plus 3 years of sales experience with 1 of those 3 years in medical sales; or Bachelor's Degree plus 1 year of Medtronic Neuroscience (Pain, Brain or Spine) Clinical Specialist experience Nice to Have Ortho, spine or O.R. experience Ability to sell in an environment where partnering with a surgeon is critical and ability to sell a new device or procedure Proven leadership abilities and experience in selling value-added programs Fully knowledgeable about the anatomy and capable of effectively explaining after the completion of sales training. After two weeks in the territory, should be able to describe the anatomy of the spine and anatomical landmarks necessary to instruct a surgeon on the use  of Kyphon’s products. Thrives in an environment of variety and rapid growth & change Excellent communication and presentation skills Accustomed to working independently with a high degree of accountability About Medtronic  Together, we can change healthcare worldwide. At Medtronic, we push the limits of what technology, therapies and services can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be.  We want to accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Let’s work together to address universal healthcare needs and improve patients’ lives. Help us shape the future.  Physical Job Requirements While performing the duties of this job, the employee is regularly required to sit and talk or hear. The employee frequently is required to stand; walk; and use hands to finger, handle, or feel objects, tools, or controls. The employee is occasionally required to reach with hands and arms. The employee must occasionally lift and/or move up to 30 pounds. Specific vision abilities required by this job include close vision and distance vision Must be able to travel Must have a valid driver's license and active vehicle insurance policy. In addition, your driving record will be reviewed and will be considered as part of your application. The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role. (ADA-United States of America)  Additional Information Posting Date: Sep 22, 2021 Travel: No",Associate,Full-time,Sales and Business Development,"Medical Devices, Hospital & Health Care, and Pharmaceuticals"
Clinical Sales Specialist - TN/AL/GA,"HemoSonics, LLC",United States,,Be among the first 25 applicants,"HemoSonics, LLC is seeking a Clinical Sales Specialist based in the TN/AL/GA territory who will be responsible for implementing the Quantra in clinical areas of new accounts and departments, and expanding the utilization of the Quantra in existing accounts and departments.  Key Attributes of the Successful Candidate: Knowledge of perioperative bleeding management. Excellent communication, effective time-management and relationship-building skills. Strong technical/clinical aptitude to understand and train customers and users on products (including running the Quantra solution and understanding application of results). Team player with strong desire to see the group succeed.  Key Responsibilities: In collaboration with other HemoSonics personnel, ensure the successful implementation of Quantra into initial and expanded clinical settings. Identify expansion opportunities and increase product usage within new and existing accounts to enable HemoSonics to become the standard of care for bleeding management. Ensure customers can independently, safely and efficiently operate HemoSonics equipment and related disposables through clinical education and training. Identify and develop key accounts/key opinion leaders/product champions to serve as “reference sites” for potential new customers and/or conferences. Collaborate with Sales and Clinical Affairs for development activities. Provide customer feedback to Sales and Marketing regarding product enhancements, service and policies. Increase professional and clinical knowledge/competency by attending educational workshops, reviewing professional publications, establishing personal networks & participating in professional societies. Support clinical demonstrations/evaluations and tradeshows/conferences as needed. Perform all assigned administrative responsibilities (monthly reports, conference summaries, expense reports, etc.). Achieve revenue and expense goals. Work collaboratively with HemoSonics personnel as requested on special projects.  Education and Experience Required: Bachelor’s Degree in related discipline (Life Sciences, Nursing, Perfusion) 2 - 5 years of industry experience, preferably in critical care, diagnostics or surgery Experience in execution of clinical education and training programs Clinical experience in critical care areas of the hospital/OR, with emphasis on coagulation and hemostasis preferred Professional credentialing (RN, CCP, PA, etc.) preferred  This position will be home-based in TN/AL/GA and will require 60-75% domestic travel. HemoSonics requires employees to be fully vaccinated against COVID-19 or meet the requirements for a medical or religious exemption.  HemoSonics, LLC is an equal opportunity employer. All applicants will be considered for employment regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Associate,Full-time,"Sales, Business Development, and Science",Medical Devices
Key Account Manager,Honeywell,"Baltimore, MD",2 weeks ago,Be among the first 25 applicants,"Join a team recognized for leadership, innovation and diversity  We don’t just sell things. We offer solutions to tomorrow’s challenges.  Our sales approach begins by identifying customer demands before they become challenges. We’re committed to delivering customer success through our comprehensive expertise in software and technology.  Be the front line seller who drives sales, identifying and generating opportunities for different kinds of customers. You will foster client satisfaction by maintaining regular customer contact and managing customer expectations. You will develop customer relationships through coordinating and/or attending trade shows, seminar, and similar events. You will provide education of Honeywell product through technical presentations. You will maintain and provide reports and opportunity status using our customer relationship management system. You will provide competitive intelligence and market trends. You will provide forecast/demand input to Sales Inventory Operations Planning (SIOP).  Key Responsibilities Attend (trade shows, seminars, events) Visit Customers Search for New Customers Campaign Management Customer Reporting Learn the Products Customer Account Management YOU MUST HAVE A High School Diploma / GED A minimum of 3 years of experience working in a selling role. A minimum of 1 year experience working with Salesforce.com WE VALUE A proficient understanding of key sales principles and best practices Excellent team and communication skills An ability to take initiative and work with limited direction An ability to influence across a broader organization An ability to influence customers, while maintaining healthy relationships Significant experience in selling (industrial) products Deep technical expertise Understanding of the Honeywell value proposition as well as the competitive landscape Compensation & Benefits  Incentive Eligible  Salary Range: $92,900 - $139,200  For benefits information please visit https://careers.honeywell.com/us/en/honeywell-benefits. Current employees may visit HR Direct.  Additional Information JOB ID: HRD139024 Category: Sales Location: 534 Fellowship Road,Mount Laurel,New Jersey,08054,United States Exempt Sales (GLOBAL)  Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.",Associate,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
"National Account Manager, Retail Sales (Remote Role)",Olaplex Inc.,"Los Angeles, CA",4 weeks ago,Be among the first 25 applicants,"Olaplex is revolutionizing the haircare industry through a patented, proprietary technology that protects and repairs hair from damage. We've paved the way for a completely new category of hair care and, due to an overwhelming support from the brand's loyal stylist and advocate base, the company has emerged as one of the largest independent hair care brands in the world.  Olaplex has been able to achieve phenomenal growth and we continuously seek exceptionally talented individuals who can support our innovation and creativity. We currently operate in a fully remote environment; because of this, collaboration and flexibility are at the core of our commitment to each other and to the success of Olaplex.  The Account Manager, Retail is responsible for leading day-to-day execution of key Retailers business needs while driving brand awareness and growth. Reporting into the Director of Sales, this role will involve strategic planning of new launches, partnering on marketing initiatives and education levers with cross-functional teams and closely collaborating with internal and external stakeholders to optimize results. The ideal candidate will be up-to-date on latest market trends in Beauty with extensive experience analyzing data and using it to make key business decisions.  Responsibilities: Independently manage high-volume Retailers and lead Account Management while being the direct brand contact for day-to-day business needs. Oversee all aspects of the business, including managing Retail calendars, assisting with new product launches, managing forecast planning and deadlines. Maintain strong relationships and work closely with Merchants/Category Managers to drive growth while supporting new initiatives and oversee business deliverables. Partner with Marketing and Education teams to develop/implement sampling plans, training levers and Retailer targeted needs to grow business. Develop strategies to drive sales while achieving company goals with continuous negotiation of digital, marketing initiatives and in store exposures. Update weekly, monthly and quarterly Reports by pulling data from various sources and managing Retail Sales Templates. Track and manage Budget, Sell thru and Sell in Reports received from Retailers on a weekly and monthly basis. Manage execution of Retail Sales projects, Market Decks, 360 strategies and go to market plans.  Qualifications: 5+ years of relevant Account Management experience in Beauty Retail industry. Numbers driven with high comfort level in Excel. Excellent presentation, written and verbal communication skills. Proven track record of meeting deadlines while managing multiple projects. Strong problem-solving and organizational skills. BA/BS Degree preferred.  Benefits: Work/Life Balance: Remote work environment, unlimited time off, 11 paid holidays, and flexible work schedules. Wellness: Medical, dental, and vision insurance for employees in addition to short- and long-term disability coverage and life insurance. Financial Well-being: Roth and 401k plans; Bonus eligibility for all Full-Time employees. Products: Fourteen (14) free products per year, plus a friends and family discount. Culture: Our team has an ""attitude of gratitude"" and a shared passion for our brand. We are a fast-paced, high-growth company where career opportunities can be endless.  Our Commitment to Diversity, Equity, and Inclusion:  At Olaplex, we support and stand up for our community with our talent, content, messages, and product offering. We strive to build and nurture a culture where a focus on diversity, equity, and inclusion is instinctive. Our deep sense of passion and pride in what we do, both as individuals and as a company, unifies our shared commitment to 'do well and do good'. We recognize and celebrate different ideas, perspectives, and backgrounds and know they create a stronger and more creative work environment.",Associate,Full-time,Sales and Business Development,"Marketing and Advertising, Consumer Goods, and Retail"
Territory Sales Manager,"Celsius Holdings, Inc.",Atlanta Metropolitan Area,,Be among the first 25 applicants,"If you are looking for an opportunity that provides satisfaction and personal growth, we encourage you to apply for our Territory Sales Manager opening.   We promptly review all applications. Highly qualified candidates will be contacted for interviews.    About the job  This is your opportunity to join the expanding CELSIUS Field Sales Team! CELSIUS is one of the fastest growing Energy Drink Brands nationally! At CELSIUS we pride ourselves in providing our employees a culture and atmosphere of inclusiveness that challenges individuals to be thought leaders, innovators and game changers as every employee is an owner of the CELSIUS Brand upon joining the Organization.   Who are we looking for specifically? Someone to seek out, sell and cultivate new business in all retail Channels to include Grocery, Mass, Convenience and Specialty for CELSIUS while amplifying existing businesses and Partnerships. Effectively and efficiently expand assigned business in coordination with CELSIUS Distributor and Retailer Partners. The position will be expected to participate in local level field sales strategy development, planning and execution of key initiatives at 10 – 15 stores per day while providing real time feedback, opportunities, results and direction utilizing CELSUIS’ Field Sales selling platform. The candidate must show an ability to be a self-starter, competitive by nature and have a drive to succeed individually and WIN BIG as a member of a Team.  Essential Functions and Responsibilities Within assigned market, execute the Celsius Inc. sales plan through the attainment of shelf distribution, cold box placement, promotional execution, displays and the placement of brand collateral at retail. Secure new outlet availability by influencing distributors through route rides, crew drives and local key account calls as required. Provide ongoing communication on sales, marketing and executional opportunities with assigned Distributor Partners. Assist District and/or Regional Sales Manager with bill backs and other duties as assigned. Participate in weekly recap and planning calls outlining objectives, results, barriers and opportunities.  Special Requirements Ability to travel within the assigned territory including potential overnight travel. Must be able (with or without accommodation) of bending and lifting to set up displays, adjust shelves during resets, move product, etc.  Knowledge and Skills Required Strong business acumen with an entrepreneurial spirit. Exceptional interpersonal and communications skills (verbal/written) with the ability to interact effectively internally as well as with external contacts. Deep rooted understanding of the assigned territory and the surrounding area. Creative and strategic thinker. Experience negotiating. Strong team player. Problem solver. PowerPoint, Excel and Word proficient.  The above information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job.   Celsius Holdings, Inc. celebrates diversity and is committed to creating an inclusive environment for all employees. We are proud to provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression. We believe strongly in fostering a safe, fair and respectful work environment.",,Full-time,,
Key Account Manager (Healthcare),Elvie,"New York, NY",2 weeks ago,Be among the first 25 applicants,"Description  Life at Elvie - Meaningful work. Exceptional people  At Elvie, we don’t believe women's bodies are the problem. Instead, we believe the problem is that the needs of women’s bodies – and therefore, lives – have been ignored, misunderstood, and underestimated.  Founded by Tania Bolder in 2013, Elvie has been improving women's lives through better – and smarter – technology ever since. We develop innovations that meet the unique needs and complexities of the female body so that women can take charge of their health across every life stage.  Our first product, Elvie Trainer, is a multi-award-winning device bringing hospital-grade pelvic floor care to the hands of women everywhere— it was even a gift in the Oscar Nominee Goody Bags! And now, we're proud to say that we're part of the NHS Supply Chain in the UK.  Our second innovation was Elvie Pump. Launched in 2019, it's the world's first silent, wearable breast pump, enabling women to pump wherever they please— even the catwalk at London Fashion Week. It’s since won numerous awards, including the Times 100 Best Inventions of 2019 and ‘Wearable Design of the Year’ at the Dezeen Awards. The initial success of our wellness tools gave us the means to expand our breastfeeding range to include Elvie Curve and Elvie Catch, both designed to give mothers total comfort and confidence.  As a business, Elvie has received more than 30 awards (including the prestigious Red Dot Design award). We’re ranked as one of the 15 startups ‘To Watch’ by The Sunday Times and Business Insider and ranked as the 13th fastest growing business in the UK by Syndicate Room. Our founder and CEO, Tania Boler, is regularly profiled in top-tier media titles, and, in 2021, Tania was named GLAMOUR’s Women of the Year: Technology Gamechanger.  In July 2021, Elvie announced an $80 million Series C funding, the number one position and biggest raise in an initial fundraising round in the femtech category.  What does it mean to work at Elvie?  You will be surrounded by people who want to improve everything and everyone around them. People who are passionate about our mission. People who are driven to solve tough problems and constantly consider the best ways to improve the health and wellbeing of women.  We Take Them Seriously Because We Want Our Culture To Thrive  We're deeply proud of our values, which are intrinsic to the way we behave every day. We make an impact - we are mission driven and not afraid to break boundaries. We relentlessly focus on going the extra mile to solve problems We are fearless innovators - we are passionate, curious and data-driven. We continuously embrace change and innovation We are in it together - we fail and learn fast, always as one team, and have fun along the way. We stay authentic and embrace our differences What you’ll be doing in this role  In the U.S., we have been successfully selling Elvie products omni-channel, via elvie.com, retail and e-commerce partners, as well as insurance / DME channel. We are looking for an experienced Key Account Manager who can help us build strong relationships with our both existing and new customers.  Responsibilities Account management of an existing group of Durable Medical Equipment and Specialty Women's Health providers. Prospecting new accounts as directed by management Establish and maintain strong relationships with assigned accounts Manage purchase orders through the system and ensure issues are resolved Routinely update demand forecasts and develop account growth plans Work closely with Marketing to identify promotional opportunities with key customers Product training for customer CSR teams and trade show attendance Tracking, analyzing, and reporting on performance while identifying risk mitigating actions in case of performance challenges. Requirements Must be a curious learner! 3+ years of B2B sales experience, preferably in the healthcare market Experience working in the Breastpump category is a plus Excellent written and verbal communication skills required Strong computer skills and ability work in both Microsoft and Google suites Experience navigating complex sales process and multi-stakeholder product launches High degree of commercial and business acumen, strong selling skills Strong influencing skills to effectively manage interdependencies and projects with other teams Outstanding critical thinking and problem-solving skills Ability to travel up to 25% of the time University degree or equivalent Location: US - Preferably the East Coast  Benefits  We're on an exceptional journey, and can offer you a truly purpose led career, with a culture built on trust, autonomy and flexibility. In addition, we'll give you: The chance to make a real impact in improving women's health and lives Working with an experienced, dedicated and passionate team that share the same values and love what they do Career progression and regular performance reviews Competitive base salary, bonus linked with performance and share options in a rapidly growing business Flexible working environment - our culture is built on trust and autonomy 20 days vacation + 5 days sick leave (front loaded from start date) + bank holidays Medical, dental and vision plan Life Insurance / EAP / Travel Assistance Short & Long term disability insurance Commuter programs Travel assistance with Guardian Globe LiveHealth online & One Medical Gym membership reimbursement (subject to eligibility) Perks and various discounts Belonging at Elvie  At Elvie, we believe having diverse teams in which everyone can be their authentic self is key to our success. We encourage people from all backgrounds to apply and we don't discriminate based on race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, marital status, disability or age. If you need any support with your application, please get in contact with us: elvie@jobs.workablemail.com or +44 (0)203 884 7223.",Associate,Full-time,Sales and Business Development,"Marketing and Advertising, Internet, and Consumer Goods"
