jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Head of Regional Sales West,Unilever,"Los Angeles, CA",1 month ago,Be among the first 25 applicants,"Title: Head of Regional Sales West  Location: Los Angeles or Greater San Francisco Area  Background & Purpose of the Job  The Head of Regional Sales West will work to execute Unilever Food Solutions strategies and lead a team to grow market share by enhancing business with existing customers and acquiring new ones. This person will work in concert with Marketing, CD Ops, Finance and Supply Chain to coordinate efforts and resources on behalf of their Zone. This role will be Remote based in either the Phoenix, Los Angeles, or San Francisco Area.  Who You Are & What You’ll Do  Is the business execution lead for all customer development within the West geographical region of the Foodservice channel for Unilever Foods Solutions. They will create a high-performance team of direct selling account managers to deploy best practices that will result in new customer acquisition, sustained business relationships, and profitable sales growth. They will understand KPI management as a means to coach their team to hit high-performance targets. They will understand how to implement strategy into execution within each foodservice channel. They will have experience partnering with broadline distributors and aligning their sales resources with internal ones. They will rely upon past P&L ownership so that they achieve profitable growth from the UFS business plans. They understand how to leverage premium brand value propositions to win market share at both operators and distributors in their geography and continue to solidify the value of the Unilever brands and the solutions they offer above the competition. The West leader will lead teams in Seattle, San Francisco, Los Angeles, Denver, and Phoenix and will bring formidable understanding of the foodservice channels in these markets.  You’re a born leader: You maximize effectiveness of assigned market objectives for your team to make sure they meet internal commitments but deliver success with customers in the market. You jump into the details with your team. You constructively challenge them in their existing ways of working and inspire them to discover elevated ways to succeed.  You’re a dot connector: You coordinate Unilever resources to ensure alignment to the key priorities. You rely upon collaboration as a core principle of success. You network with business leaders across all sectors of the industry to expedite business acquisition.  You’re a coach: You get the best out of your team by knowing them individually and calling upon their desire to achieve. You achieve a strong understanding of our story, mission, products, and our point of difference so that YOU can lead others to that same journey. You build from each experience – success or failure – so your team gets incrementally better each day.  You’re a paradox navigator: Routinely interface and work effectively with multiple internal departments/personnel, plus senior level and customer personnel, which may create complexity and time management challenges. You embrace the complexity and can distill it down to action for your team.  What You’ll Need To Succeed Bachelor's degree is required. 5-10 years experience in the Foodservice Industry 3-5 years managing a sales team. S&OP forecasting experience across multiple categories and customer groups P&L Ownership experience from CPG company Broad understanding of CRM (Salesforce) and how to leverage it as a business driver. Ability to mobilize a team to both hunt and farm for business in the market. Understanding of the Broadline Distribution Network (Sysco, US Foods etc) Experience selling branded food categories. Excellent communication and follow up skills throughout the layers of Unilever organization. Must be able to delegate responsibly and instill accountability to deliver KPIs, and Goals as a team Business Planning and Implementation Consumer/Operator Understanding & Passion Unilever is an organization committed to diversity and inclusion to drive our business results and create a better future every day for our diverse employees, global consumers, partners, and communities. We believe a diverse workforce allows us to match our growth ambitions and drive inclusion across the business. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, or other applicable legally protected characteristics by federal, state, or local law. For more information, please see Equal Employment Opportunity Posters  Equal Opportunity/Affirmative Action Employer Minorities/Females/Protected Veterans/Persons with Disabilities  Employment is subject to verification of pre-screening tests, which may include drug screening, background check, credit check and DMV check.  If you are an individual with a disability in need of assistance at any time during our recruitment process, please contact us at NA.Accommodations@unilever.com. Please note: This email is reserved for individuals with disabilities in need of assistance and is not a means of inquiry about positions or application statuses.",Director,Full-time,Sales and Business Development,"Consumer Goods, Food Production, and Food & Beverages"
"Director of Sales, Club & Mass",Banza,"New York, NY",4 days ago,44 applicants,"Location: Remote  Who We Are: Banza reimagines your favorite comfort foods, like pasta, pizza, mac & cheese and rice, using chickpeas. Why? Because we know chickpeas aren't just delicious, they're also one of the most nutritious and sustainable foods. Yet 80% of the country isn't eating enough of them. Our mission is to inspire people to eat more chickpeas and other beans, making a positive impact on human health and the environment. Banza is the fastest-growing pasta brand in the country, and our products are available in over 17,000 stores nationwide. We've been named TIME Magazine's Best Invention of the Year, Adweek's Best Food Brand, and are proud to have fans at Good Morning America, The New York Times, Food & Wine, Bon Appetit and more.  Your Mission: Banza has grown to date with an analytical mindset, a scrappy sales approach, and a passionate team. We want to accelerate our growth while staying analytical, scrappy, and passionate, and are looking for a sales leader to take up that mantle. We've grown 50-100% YoY for the last several years, and plan to continue that growth. You will lead our efforts to expand Club and Mass accounts, design and implement sales strategies across retailers including Costco, and execute those plans through meetings, broker management, and consistent communication. You'll have a direct impact on how we advance our mission and build our business across pasta, pizza, mac & cheese, rice, and new category launches.  What You'll Do: Strategic Account Management: own sales targets across Banza's key Club and Mass accounts, including selling new products to customers, account business planning support, build long term strategic plans, and execution of business portfolio strategies Use your analytical skills to identify opportunities and share impactful sales stories with our customers Build winning relationships with the retailers, broker, distributor team and category managers to ensure top notch execution and continued growth Proactively identify areas for improvement or new opportunities among your assigned customers, and take action across distribution, price optimization, product placement, and promotional effectiveness Execute promotional plans that drive positive gains and ROI Work alongside Category Management and Growth teams to support planning/analytical inputs, while delivering strategic insights and decision making Lead a regular strategic assessment of existing and potential accounts across existing and new product lines Develop strategic annual business plans and track to achieve or exceed net sales targets Represent Banza at retail meetings, trade events, broker meetings, and industry conferences  Who You Are: BA/BS with progressive experience (7-10+ years) working in sales/account management within the conventional grocery and club channels Experience from big CPG, high-growth startup, or ideally both Data analysis or Category management experience preferred Costco, Walmart and/or Target experience is highly preferred Strong Planning and Customer Management Skills of multiple customers at once, with excellent analytical skills and attention to detail Substantial experience with syndicated data (Nielsen, IRI, SPINS, etc.) Excellent verbal and written presentation and communication skills Proven ability to produce visually compelling presentations Strong knowledge of food retail environment/practices Willingness to be flexible, adaptable, and proactive in a constantly changing industry and company Self-starter that thrives in fast paced environment Ability to travel up to 25% of the time if needed (post-COVID) Must love Banza!  We're very aware of the research showing that historically underrepresented groups are less likely to apply to a job if they don't believe that they meet all of the criteria. Are you hesitant to submit an application because you're not sure if you check every box? Please apply anyway with a thoughtful cover letter! We would love to hear from you to discuss how you can help us build a great team at Banza.  Our Commitment: Banza is committed to a diverse and inclusive workforce. To achieve our mission of making nutritious food more accessible we greatly benefit from a range of perspectives, which comes from diversity of all types, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do and the smart thing for our business. So we strongly encourage women, veterans, people with all abilities, people of color and gender nonconforming candidates to apply.  Banza is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics. Banza will consider qualified applicants including those with criminal histories consistent with legal requirements.  To Apply: Write a cover letter describing why you want to join Banza and would be a great fit in this role and apply directly to this posting. If you have any questions, please email jobs@eatbanza.com.",Director,Full-time,Sales and Business Development,"Food & Beverages, Food Production, and Consumer Goods"
Director of Sales West ONE Brands,The Hershey Company,"Boulder, CO",3 weeks ago,32 applicants,"Job Title: Director of Sales-ONE Brands  Job Location: Boulder, Colorado This position can be located in California, Colorado or Arizona Job Responsibilities Lead development and execution of annual Business Plans for assigned conventional grocery customers in the West Region. Direct the development of annual account business plans; strategy, tactics (new products, distribution, shelving and merchandising). Establish trade promotion plans and generate the annual customer promo calendar while staying within approved trade budget. Conduct quarterly business reviews with customers, identify opportunities to fulfill customer objectives, and recommend changes to the promotional planner that will achieve targets at the assigned trade budget. Collaborate with Marketing on developing solutions and products that appeal to the conventional grocery channel. Provide regular, formal updates to the Senior Leadership Team on key retailers. Own the key distributor relationships on behalf of ONE Brands. Work closely with Sales Strategy to review and interpret IRI data. Establish specific sales and merchandising objectives and achieve those sales targets with end-to-end visibility from supply to fulfillment. Develop ongoing tracking and assessment of all activities, setting objectives at all levels. Provide timely and accurate forecasts of volume and trade spend; develop promotional plans for a set of customers and create corresponding forecast. Champion of Broker/Partner Team Development (training, orientation, coaching, motivation); manage performance and monitor progress vs. plan with regards to volumes, budgets, spending, MBO’s, etc. Direct and participate in the Quarterly Broker Review Meetings and provide input into preparation of Broker selling tools. Conduct periodic business updates with brokers to educate on new initiatives or products, provides selling tools and targeted accounts. Schedule, conduct and participate in national account customer meetings to educate, inform, and build capabilities on selling the brand. Responsible for directing all programs driven through distributor management and relationships with guidance from Vice President of Sales. Support the execution and management of national account budgets, sales expenses, T&E, and reporting. Penetrate customer’s key decision makers, understand their business model and key initiatives to meet customer needs and business objectives. As appropriate, bring in Senior leadership to align with customer strategically. Work closely with cross-functional team to establish and implement successful customer programs to profitably increase product availability and points of distribution. Job Requirements Bachelor’s degree (BA/BS) or equivalent. Candidates must have demonstrated experience managing top tier conventional grocery customers throughout the West Region including Albertsons/Safeway, WinCo, Sprouts, & HEB. Must have demonstrated experience managing brokers & distributors to include UNFI, KeHE, etc. and have experience with key Regional DSD distributors throughout the region. Must have a foundation in fact-based sales, be financially astute, & have strong analytical capabilities. Location-wise, candidates can be based anywhere in the West Region and must be willing to travel whenever necessary. Cultural fit is an absolute must – the right candidate will be willing to “roll up their sleeves” and get the job done. At least seven years sales experience in the food and beverage industry. Minimum 3-5 years conventional grocery channel account management experience. Capable in both the strategic aspects and the hands-on execution of the day-to-day elements of building a brand. Excellent team player. Excellent skills in presentation, negotiation, analysis, customer service, selling, communication, organization. Proficient computer skills, specifically in MS Office applications. ONE Brands, a division of The Hershey Company is an Equal Opportunity Employer. The policy of ONE Brands is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's race, color, gender, age, national origin, religion, citizenship status, marital status, sexual orientation, gender identity, transgender status, physical or mental disability, protected veteran status, genetic information, pregnancy, or any other categories protected by applicable federal, state or local laws.  ONE Brands is an Equal Opportunity Employer - Minority/Female/Disabled/Protected Veterans",Director,Full-time,Sales and Business Development,"Food & Beverages, Consumer Goods, and Retail"
Head of Global Sales Strategy,Confluent,United States,3 days ago,Be among the first 25 applicants,,Director,Other,Business Development and Sales,Computer Software
Vice President of Sales,Greven Executive Search,Greater Chicago Area,2 weeks ago,42 applicants,"Vice President of Sales and Customer Service - Food Ingredients  We are searching for a VP of Sales for a growing Food Ingredients company. This role has responsibility for overall leadership and development of the Sales and Customer Service groups.    This role will have 6-8 Sales Reps and the Customer Service Manager reporting directly with 6-8 customer service reps reporting indirectly. Works as a part of the senior leadership team to develop sales plans and goals for the team. Develops and implements incentive plans, sales goals, metrics and accountability for the sales team.  This is an on-site role in an office setting, role will be out of the Chicago area.  The ideal person will have the following:  Leadership of the sales team with a company doing B2B sales of ingredients or finished products in the food or beverage industry. Will not be considered without. Experience developing sales people, incentive plans, setting goals and holding people accountable Understanding of Cost and Pricing Strong problems solving skills with a can do attitude to solve customer problems Selling in a transactional environment Entrepreneurial spirit to build and develop new customers   Leadership of Customer Service Customer relationship management",Director,Full-time,Sales and Business Development,Food & Beverages and Food Production
Director Of Sales And Business Development,X-Golf America Inc.,United States,2 days ago,67 applicants,"X-Golf America, an entertainment golf simulator facility franchise business, is seeking a proven sales leader for our marketing & sales team. The Director of Franchise Sales & Partnerships will play a critical role in supporting our sales team as they grow our marketing partner/sponsorship revenue and expand our franchisee base. This role will report to and partner closely with our VP of Marketing to streamline processes and systems, to identify new prospective sponsorship partners as well as handle inbound leads & inquiries from prospects interested in joining our franchise network. Ideal candidates will have a passion for sales, be highly collaborative and have a growth mindset.  RESPONSIBILITIES • Participate in marketing & sales meetings and proposal development to drive revenue performance across the team • Communicate via email and phone with prospects interested in joining X-Golf’s growing franchisee network. • Pursue sponsorship opportunities to support national tournaments, leagues and evolving brand initiatives • Set goals, track key performance data and identify trends to keep team on track toward revenue pacing goals REQUIREMENTS • At least two years of management experience in sales or business development • Comfort with joining sales meetings/calls and being client-facing in a leadership capacity • Forecasting and budgeting experience • Account management or client service experience • Ability to work well under pressure and solve problems • Excellent communication, time management and organizational skills • Previous experience in digital advertising or media sales is strongly preferred",,Full-time,,
Key Account Executive,GE Healthcare,"Georgia, United States",3 weeks ago,Be among the first 25 applicants,"Job Description Summary  The GE Healthcare Key Account Organization helps our most strategic customers transform their organizations and ready their businesses for future challenges in healthcare. Our solutions are engineered for the future of healthcare, and span intelligent medical devices, pharmaceuticals, services, data analytics, and digital solutions that are in the cloud. Our team is mission focused and dedicated to helping our customers to create a healthier world with more precise and efficient care.GE Healthcare is seeking a Key Account Executive for two of our most important customers – Trinity Health and Community Health Systems (CHS). If you are the type of person who wakes up and thinks “how can I help my customer achieve their outcomes through a healthcare portfolio approach?” and are not afraid to be bold with a customer, then this role is for you. This role is focused for the Trinity Health and CHS enterprises, and you will represent GE Healthcare's full portfolio of products, solutions, and services to help these key accounts deliver the best patient care possible.In this role, you will have aligned territory Key Account Executives that work on your team to deliver a collaborative strategic vision and plan across all Trinity Health and CHS regions. You will be a strategic leader in GE Healthcare and will report into the VP & GM of National Accounts & GPOs.The Key Account Executive role will require leadership that spans go-to-market strategy development, key account planning and development, executive relationship mapping and alignment, cultivating deep levels of trust, balancing short term and long term sales cycles, and collaborating cross-functionally within GE Healthcare to bring unique solutions tailored Trinity Health and CHS’ outcomes and goals.*This is a remote opportunity available across the continental US GE Healthcare is a place with big impact. We unlock opportunities for our people, our customers, and their patients, turning big ideas into realities that advance global healthcare.  Job DescriptionJob DescriptionResponsibilities   Drive sales and revenue growth through successful leadership, key account planning, customer experience, and outstanding execution of regional go-to-market programs (sales, service, digital, marketing, product management engagement). Influence an experienced team of Key Account Executives and lead the supporting field roles and resources aligned to Trinity and CHS within their respective markets. Serve as the senior leader presenting to enterprise strategic decision-making bodies to leverage existing cross-modality GE Healthcare relationships to develop and expand touchpoints within the Trinity Health and CHS systems. Build and deepen executive relationships with Trinity Health and CHS regional and corporate decision-making bodies to help influence their long-term technology and business decisions. Add value and be viewed as a trusted advisor by bringing compelling insights and ideas with follow through execution. Lead and manage entire business-cycles, and discuss contracts, terms and understand associated legal and business risks. Influence the GE Healthcare sales methodology/process, drive best practices on selling, forecasting and account management. Coach your team to drive detailed regional focused account strategies to generate and develop business growth opportunities, working cross-functionally with multiple lines of business, maximizing business impact and opening up opportunities that could scale or act as a pilot for corporate pursuits. Outstanding leadership - inspiring interpersonal effectiveness to lead teams, develop talent and effect change. Willing and able to be a “doer” and “influencer”. Foster a GEHC community across the entire account teams aligned to Trinity and CHS, from sales, service, and digital to provide the necessary technical, clinical, and business support needed.  Required Qualifications   Bachelor’s Degree 8 years of consultative sales experience in a quota-carrying environment focused on customer outcomes and including strategic selling and negotiation Experience engaging with accounts and promoting a broad portfolio of products at the C-level Previous experience in the Healthcare and Lifesciences industry Willingness and ability to live and travel within your specified geographic territory, + 50% travel   Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.      Additional Information  GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an  Equal Opportunity Employer . Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.  GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable).  Relocation Assistance Provided: No",Director,Full-time,Sales,"Hospital & Health Care, Medical Devices, and Pharmaceuticals"
Regional Sales Director | Southeast,"Roland Foods, LLC","Atlanta, GA",1 week ago,Be among the first 25 applicants,"About Roland Foods  Roland Foods, LLC, based in New York City, is an importer and distributor of high-quality specialty food products from more than 60 countries. Founded in Paris in 1934 and established in the U.S. in 1939, the Company provides customers with exceptional specialty foods, primarily offered under the Roland brand. The company has a national presence in the foodservice, retail, and industrial channels as well as international sales in the Caribbean, Central and South America, Asia, Africa, and the Middle East. Roland Foods’ dedication to providing quality and consistency has made it a leader among food importers and suppliers. The Roland brand is synonymous with quality and authenticity for the consumer and chef alike.  Role Description  Roland Foods is excited and committed to growing our Foodservice sales team, and we are seeking an experienced and motived sales professional to lead our Southeast region. The Regional Sales Director (RSD) is a quota carrying sales and leadership position. This is an individual quota-carrying revenue accountability role with mentorship responsibilities for the Southeast team. The ideal candidate demonstrates significant foodservice sales experience, a results-driven mindset, and a desire to win. Expectations include leveraging the right talent, driving accountability, and maximizing regional growth while executing corporate sales strategies and initiatives.  The Roland Foods sales team is dedicated to working across multiple business segments; distributors, local, regional and nationally positioned end users, and industrial customers to maintain current business while driving growth through collaboration focused on solutions, ideas and products. You will work with a dynamic team dedicated to providing the highest quality of products while developing meaningful and strategic partnerships with our valued customers.  Primary Responsibilities  Lead the Roland Foods Southeast Region (sales team/customers/revenue) by overseeing the creation and execution of customer plans with high integrity Oversee the selling process and sales team to deliver net sales expectations Focus on Tier 1 customer accounts through interactions with customer leadership teams, buyers, category managers, and other decision makers to drive growth Assist the regional team in developing individual sales plans to achieve overall regional growth targets Coordinate with local and regional distributors to effectively service operators while maintaining exceptional service levels Management of existing and new programs for customers (e.g. pricing, rebates, and sampling) Collaborate and partner with internal teams to help develop sales strategies and solutions (e.g. Strategy, Revenue Management, Strategic Sourcing, and Supply Chain) Participate in demand planning to monitor forecast versus plans Identify when plan adjustments are needed based on monthly and quarterly sales volumes Provide ad-hoc reports and presentations for sales leadership Review monthly and quarterly sales volumes versus plan for each market Build deep and strategic relationships with customers Cultivate and manage profitable relationships with customers Engage sales leadership as necessary (i.e., bring in VP Sales, VP Strategy, CEO, Marketing, Culinary Teams, etc) Develop a clear understanding of the customer’s organizational/ decision-making structure to maneuver effectively within organization Deliver customer business reviews and category performance presentations Participate in long-term planning and execution with customer leadership Build cross functional support by collaborating with front-line and senior levels in the organization Communicate with Executive Leadership, Strategy, Revenue Management, Strategic Sourcing, Supply Chain, and People and Culture to lead aligned execution of how Roland Foods goes to market Represent the Southeast regional sales team by truly understanding the day-to-day details and customer interactions to help develop and influence strategic decisions that affect the company Strategically manage the sales team to maximize results Leverage team resources/talent to maximize effective business plan delivery across National Accounts, National/Regional distributors, and street business customers Actively look for business development opportunities and coordinate approach accordingly (e.g., private label, cross-business/channel) – should have a hunting mindset Provide insights from the sales field back to the Strategy and Supply Chain teams Build and maintain strong culture within the team to boost morale across the organization Set and communicate clear objectives for the team and individual team members Manage team budgets for salaries, travel, and entertainment Team development and leadership Identify, recruit, and retain a balanced and diverse team based on member/candidate strengths and role fit supported by relevant knowledge, skills, and experience Provide the foundation for team effectiveness by creating and maintaining team processes Apply training and coaching effectively for individual and team development Complete performance evaluations for direct reports Key performance metrics Delivery of the business plans across customers to meet or exceed regional net sales targets Individual quota attainment for new opportunity wins Management capability (organizational health, attrition %) – people development Quantifiable achievement of personal and team goals Minimum Requirements Bachelor’s Degree and/or Culinary Arts Degree required. Proven leadership capabilities required. 10+ years of sales experience required. 5+ years of experience in the food industry; particularly selling into foodservice Strong administrative and organizational skills with experience using a CRM program preferably Salesforce required. General understanding of a P&L and forecasting abilities required. Strong communication and presentation skills in front of groups of all sizes required. Organized, detail-oriented with strong technical writing skills required. Ability to create executive level presentations required. Ability to travel up to 60% required. Previous exposure/integration in the Industrial/Manufacturing segment a bonus. Founded by immigrants, Roland Foods knows that diversity is the spice of life. We believe in the power of food to open minds, spark adventure, and bring diverse people together. All are welcome at our table! We know the transformative value of food in individual lives and communities. Because of this, we insist on obtaining the highest-quality ingredients and talent!  Roland Foods is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Roland Foods considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Roland Foods is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at peopleandculture@rolandfoods.com.",Director,Full-time,Sales and Business Development,"Food & Beverages, Food Production, and Consumer Goods"
Director of Sales,Best Brands Inc.,"Nashville, TN",2 weeks ago,Be among the first 25 applicants,"Title: Director of Sales - Beer Division  Reports to: CEO/Owner  Location: Nashville, Knoxville, Chattanooga, Memphis  About The Role Grow the profit, volume, and share of the beer portfolio within Best Brands Inc. Manage and increase the share of mind of our beer division within Best Brands Inc. as an entity by recruiting, developing and coaching the right people, and top-down consistent communication. Be the “go to person” for anything beer within the internal sales organization and the Liaison between our Craft Supplier partners and our beer overlay team/general sales team. Identify new supplier/brand opportunities and court brands that are a potential good fit for Best Brands Inc. accordingly. Continually work with Craft Suppliers to manage marketing programs, order-planning/warehouse inventories, pricing, and strategic planning. Implement new sales systems and processes, along with training and team building essentials, to build and develop an effective beer overlay and general sales team. Work with various suppliers in yearly and monthly planning for effective brand building and sales execution. Plan & Prepare  Key Responsibilities Research potential new breweries/beer suppliers and identify ones that will be a fit to fill gaps in our current portfolio, and expand on niche/local brands. Manage the process of bringing on new breweries/beer suppliers from contracts, to launch plans, to receiving beer, to managing market plans and execution. Plan and prepare successful launches of new suppliers with beer overlay and general sales teams. Work with current and new/potential suppliers on business plans that drive brand awareness and pull in the market. Prepare and deliver monthly business objectives for beer team, and incentives for general sales teams and division managers. Schedule, coordinate and manage sales rep work-withs with Craft suppliers, and attend the work-withs whenever possible. Assist and educate the sales organization and beer team in selling beer to their retail outlets - “right brand, right place.” Continually identify and recruit new talent for beer overlay and general sales team. Evaluate Rate of Sale (ROS) and Days of Supply (DOS) on current inventory on a weekly basis, and order accordingly. Continually communicate craft inventories sales teams to ensure market execution, while managing supplier quality standards in the warehouse and at retail. Based on monthly ROS and current DOS, work with suppliers to forecast product 30-60-90 days out as needed, requested. Continually evaluate market competitive pricing to ensure our brands are priced correctly. Manage yearly General Price Increases to increase profits and margins wherever possible. Execute Manage current and potential Craft Supplier relationships and brand execution to the fullest, to ensure supplier satisfaction. Be the liaison between Craft Brand Suppliers and our sales teams. Clearly communicate and manage supplier new brand launches across sales divisions and operations. Set, plan, and execute assigned monthly supplier and company goals. Meet or exceed number of promotions, placements or features within the market. Maintain designated percentage of draft handles and new package/brand/product placements in the market(s). Continually reference, monitor, and execute annual business plans between all suppliers to be sure all initiatives, sales objectives/goals, and budgets are managed accordingly. Lead weekly/bi-weekly meetings with beer overlay team to communicate goals, plans, current trends, and monthly goal gap—closing. Manage beer overlay team to ensure we are adding value and our goals/visions are continually communicated to each of the other divisions. Provide sales tools (sell sheets, samples, programs, incentives, etc) for the beer overlay team and sales organization, while keeping everyone up to date/educated on new items. Ensure G-drive is up-to-date with current and new sales materials. Order product weekly based on DOS and ROS and work with logistics and our suppliers to get it when needed to avoid any out of stocks as best as possible. Work with and communicate to both beer overlay and general sales teams to move current inventory, avoiding any overstocks/date-issues in the warehouse and/or at retail. Point of Sale ordering - Work with beer overlay team and Beer Div Merchandiser to identify POS needs and order thru our suppliers. Communicate POS needs to Exec. Vice Pres. - Beer Div. for ordering. Work with On Premise Craft Specialist/Manager and BBI event coordinator to ensure events are organized, well executed, and our suppliers are well represented. As time allows, assist sales team members as needed/requested to help sell new distribution and more volume of beer in accounts outside of assigned accounts. Manage new items, damaged keg, pick-up/replacement, and sample requests for beer division. Manage beer allocations and secondary inventory for beer division. Manage expenses and company spends affectively. Submit accurate expense reports on a monthly basis in accordance with company guidelines. Perform all other duties and tasks as assigned/requested by the Sr. Management team. Measure & Improve Create and monitor draft surveys for both beer overlay teams and general sales team to ensure we are “gain-taining” tap handles at retail. Collect and review beer overlay team preplans and recaps weekly and identify areas of success and need for improvement. Monitor dollar and volume sales on a continual basis and manage trend swings with the sales organization. Continually evaluate brand performance and work with suppliers and sales organization to address brand/package performance issues. Assess retail performance on a weekly basis with beer overlay team and division managers; provide input to team; summarize findings and submit feedback/issues/needs to Exec. Vice Pres. - Beer Division. Continually monitor and adjust beer overlay team account base and call frequencies. Have current industry knowledge and understanding of current market trends in order to better present opportunities to current and new/potential suppliers. People Management Train, develop, and work with beer overlay team=on a continual basis to ensure our portfolio is being executed to the fullest at retail, and our goals and objectives for brand/package sales and distribution are being managed/met. Monitor direct reports’ weekly performance to determine successes and opportunities of monthly volume/distribution/profit goals and objectives. Continually monitor sales representatives’ time-management. Know, understand and enforce all company policies and procedures. Document any and all employee violations of policies and procedures through the disciplinary process. Managers are expected to enforce and follow the disciplinary/counseling report procedure for any and all employee violations. Manage assigned sales representatives’ monthly expenses and timely/accurate expense report submissions. Basic Qualifications/Requirements Minimum 5 years of relevant sales and/or relevant field experience Knowledge of Beer Industry Bachelor’s Degree Proficient in word, excel, PowerPoint, PDF. Budget management. High knowledge and experience in planning and forecasting. Ability to work Monday thru Friday business hours, and flexibility to work nights and weekends Maintain appropriate dress and personal appearance standards. Preferred Qualifications Passion for Beer Time Management Self-motivated and managed Customer service oriented Act as an Entrepreneur Comfortable and confident when speaking to others Our history began when Manuel Eskind started Capital Distributing, a wholesale wine and spirits distribution company, in 1939 when Prohibition was repealed in the State of Tennessee. Manuel was granted License #3 for the state. In 1983, an opportunity arose for the grandchildren of Manuel to start their own distribution company, and Best Brands Inc. was born. Since then, Best Brands has established itself as a dominant player in the Tennessee market with three climate controlled warehouse spaces totaling over 200,000 SqFt.  Best Brands is still a family-owned and operated business with the fourth generation of the family actively involved in its success. Best Brands is a major force in the Tennessee market with an experienced management team and sales staff, second to none. Our people’s devotion to promoting and growing our brands, both on-premise and off-premise, separates this company from our competition.",Director,Full-time,Sales and Business Development,Wine and Spirits
Southeast Regional Sales Director,Spiritless,"Florida, United States",5 days ago,Be among the first 25 applicants,"About Us: Spiritless is an innovative non-alcoholic spirits company. Simply put, we make craft spirits without alcohol. Spiritless is a high-growth startup — we are a small, mighty, and growing team.  Description: As our Southeast Regional Sales Director you will be responsible for leading Market Managers for the southeast region. You will be responsible for efforts to grow sales, increase our brands’ presence, and strengthen relationships with our distributor partners in the defined market area. Your duties as our Southeast Regional Director include distributor management, maintaining key account relationships, ensuring product distribution, brand visibility, training, education, and tracking sales goals to measure growth. In this role you will potentially manage a team of 3 Field Sales Managers and a team of Brand Ambassadors.  Essential Duties:  Cultivate and strengthen the critical relationship between our company and our distributor partners. Lead and inspire Market Managers with a focus on future growth opportunities. Build, communicate, execute, and review sales and marketing initiatives with the sales team and distributor partners. Complete sales calls and business reviews with key regional retailers. Develop and conduct on-going training programs with the sales team and distributor sales teams. Manage regional budgets including volume, sales and marketing, and distributor. Achieve target distribution and volume goals. Utilize sales tools to analyze, develop and implement strategic sales plans. Ensure alignment of pricing strategy throughout the region. Monitor shipments and inventory while adhering to the company’s strict quality standards. Maintain an excellent working relationship with the Director of Sales and fellow members of the sales team. Perform administrative duties in a timely manner (expense & mileage reports, work calendar, price surveys, etc.). Assist VP of Sales with presentations, customer visits and special projects. Attend special events, festivals, dinners & tastings as needed. Maintain a professional image and demeanor at all times. Perform other business related duties as assigned.   Market & Brand Development:  Oversees the growth and development of the Spiritless brand, ensuring brand integrity  Identifies brand-building opportunities  Creates annual programming calendar  Responsible for achieving Spiritless financial targets and maintaining or improving territory profitability Oversees pricing strategy; regulate margins, price increases and local marketing spends Collaborate to identify and execute local sponsorship, events and donation opportunities   Education/ Experience/Skills: Bachelor’s Degree, Business or Marketing concentration is preferred or EQUITABLE WORK EXPERIENCE 7+ years’ experience in sales is desirable; preference will be given to those with beverage sales or consumer product goods experience. Candidates must have proven computer skills and be proficient in Excel, Word and Microsoft outlook, and have reliable internet access from home. Team Management experience, with the ability to coach and mentor direct reports. Industry passion and the appreciation of the culture that goes with it. A results driven, energetic, confident personality. Excellent communication skills, including public speaking and presentation skills. Exemplary interpersonal, organizational and project management skills. Must live in the market where the position is located. Intensive travel schedule and flexible work schedule will be required, with regular visits to bars, restaurants, other retailers and warehouses, along with attendance at special events, festivals, tastings and dinners. A valid state driver’s license is required and must be maintained throughout the employment period.  JOB DETAILS: Location: Remote work with travel required: 25-50% Benefits: health, vision, dental, PTO",,Full-time,,
