jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Specialist, Agency Sales Development",Delta Air Lines,"Atlanta, GA",,Be among the first 25 applicants,"Responsible for supporting agency globalization strategy to meet commercial objectives with key agency and airline partners. Role has sales development responsibilities for American Express TLS contracting and performance, worth nearly $1B in revenue annually.  Summary Of Responsibilities (not Comprehensive Of All Tasks) Analyzes and summarizes global market and account performance using a variety of data sources including MIDT, ARC, DDS, and RPAD Works closely with Agency / Corporate Sales Development, Revenue Management, Sales Performance, Field Sales, and agency accounts to understand competitive environment / performance drivers Supports efforts with future partners to implement new strategies toward joint program implementation Oversees projects to integrate alliance partners into contracting tools / technology and agency incentive agreements Supports several Globalization efforts with cross commercial teams to improve worldwide contracting, technology, coordination and partner relationships Prepares internal communications including ad hoc reports, executive summaries, and formal presentations Embraces diverse people, thinking and styles Consistently makes safety and security, of self and others, the priority 3 years equivalent work experience is required Solution-oriented, multi-task capable and have demonstrated the ability to work well with others in a fast-paced time-sensitive environment Demonstrates initiative and self-directs work Possess strong analytical, sound organizational and planning skills, excellent verbal and written communication skills, strong interpersonal skills and a proven ability to make sound business decisions Highly proficient PC skills including advanced level knowledge of Microsoft Excel, Word and PowerPoint Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc. Graduate degree in a business discipline and 5 years equivalent work experience Experience working with Delta and partner colleagues located in INTL regions General knowledge of Delta's markets and competitive market position, sales strategies, programs, processes, tools and infrastructure is highly desirable Travel industry sales experience, agency or corporate contracting, building incentive programs, working with field sellers, and executing cross commercial projects are a plus SAS, Tableau, Hyperion, and GSIS skills, along with working knowledge of RPAD and MIDT tables Experience with independently preparing analytical PowerPoint presentations",Entry level,Contract,Sales and Business Development,Airlines/Aviation and Consumer Services
Sales Development Representative,TIDAL,"Arizona, United States",,28 applicants,"Creating Opportunities!! Being an SDR is one of THE most life changing jobs you will have. It will build you, break you, and mold you into a very important asset to ANY space in the Tech Sales World. There's a lot of money to be made as an SDR my friends.. Come join me at TIDAL!!",,Full-time,,
Vertical Sales Representative,YETI,"Austin, TX",2 weeks ago,36 applicants,"At YETI, we believe that time spent outdoors matters more than ever and our gear can make that time extraordinary. When you work here, you’ll have the opportunity to create exceptional, meaningful work and problem solve with innovative team members by your side. Together, you’ll help our customers get the high-quality gear they need to make the most of their adventures. We are BUILT FOR THE WILD™.  As the Vertical Sales Representative, you will be the face of our Corporate Sales team in relation to your assigned vertical account industry. You will be contributing to YETI’s success by proactively achieving sales objectives for new and existing vertical customers while at the same time helping to build out a key strategic area of growth for YETI.  You are a highly motivated & self-driven sales professional with excellent communication skills, ability to engage and build rapport with customers while not being afraid to match recommendations to the need identified. Winning is the nature of what you love to do – for yourself and for the customer. You understand the need to invest time and effort each day into building and maintaining a strong pipeline within your customer base and follow through on commitments. You are passionate about doing the right thing – the right way… and thrive in an environment where you can see the sales process from start to finish.  Responsibilities Represent the YETI brand by managing and growing accounts within your specified vertical industry Increase sales in respective accounts Proactively engage your assigned customer base – meet and exceed designated number of Outbound Quality calls Manage, track and report sales activities and results utilizing Salesforce account management tools Understand and evaluate customer objectives, and provide solutions to generate add-on sales opportunities Help close the sales cycle and ensure prompt order creation for business developed by the Corporate Sales Outbound Account Executives Manage all orders for your accounts from start to finish and serve as the dedicated resource for the partnership Understanding to use strategic thinking and problem-solving skills to navigate complex customer situations Provide timely and accurate responses via email and work assigned leads Collaborate with teammates and maintain a positive and professional attitude fostering teamwork Qualifications And Attributes Bachelor’s degree required At least 2 years of experience in sales, business development, or customer service Exceptional communication skills and strong desire to deliver Best in Class service Highly motivated and results driven Possess high attention to detail, prioritization, time management and organizational skills with a positive, goal-oriented attitude Problem solver that thrives under pressure in a fast-paced environment Comfortable living in the “grey” and understand the need to approach each situation individually Ability to learn and navigate multiple systems at once Experience with collaborating with cross-functional teams at all levels Ability to work in startup - like environment and within a large matrixed organization This role is based onsite at our HQ in Austin, TX YETI is proud to be an Equal Opportunity Employer.  YETI's Privacy Policy",Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Consumer Goods, and Retail"
Territory Sales Associate - Medical Devices,Rep-Lite®,"Denver, CO",,Be among the first 25 applicants,"FULL-TIME W-2 POSITION  Who We Want  Hard-working winners. Confident, competitive, and results-oriented salespeople who create a track record of success.  Persuasive influencers. People who understand market positioning and can use their relationship skills and depth of knowledge to secure buy-in, cooperation, and loyalty.  Teammates. Partners who listen to ideas, share thoughts, and work together to move the business forward.  Mission-driven salespeople. Fiercely intense representatives who work whatever hours necessary to live out their purpose of changing people’s lives and making healthcare better.  What You Will Do  As the Territory Sales Associate, you will be dedicated to the product platform and procedure. Primary responsibilities will be to drive qualified incremental new technology users and procedure volume in hospital outpatient, ASC and office settings. Critical area of this position requires clinical selling, presence, ability to communicate effectively with HCPs (Health Care Providers) and Staff, train virtually and in person, learn the basics of reimbursement and communicate a clear path forward through resource, work closely with the Field Application Specialists (FAS), work closely with the Sales team and Marketing team, strategic account management and be the champion of the new technology in your geography.  Communication with internal Marketing and Sales Management will be critical. The Territory Sales Associate will help support strategic HCP training and adoption of the device to gain market feedback, support, and drive adoption. He / she will combine multiple functional attributes such as Sales, Marketing, clinical knowledge and support, product and procedural knowledge, communication of field feedback and needs, and leadership capabilities.  The Territory Sales Associate will perform all duties listed below in addition to the above mentioned:  What You Need Drive adoption of the New technology, meet or exceed quota targets, including # of HCPs trained, # of users, # of active sites. Partner closely with FAS team, Marketing and Sales to drive market development of the New technology in outpatient and office settings. Support HCP/Staff training both on-line as well as in person. Serve as product expert to drive adoption of new device, reinforce safe and effective use of product as dictated by product labeling. Be confident in the procedure room, with procedural knowledge, training in accordance with the IFU and approved materials and tools. The ability to educated live time in procedures with presence and a voice. Know competitive devices, clinical data and positioning. Maintain awareness of market trends, threats and opportunities. Participate in and coordinate conference calls to provide feedback and support to Marketing and Sales on relevant topics, concerns, insights, business intelligence, etc. Possess the right attitude, building up the sales territory and being a self-reliant self-starter.  Qualifications A Bachelor's Degree is required; an advanced business degree or equivalent clinical/business experience is preferred. A minimum of 2-3 years of medical Sales experience or similar Sales, Marketing and/or clinical experience. Ideal to have medical device experience within a hospital operating room or office. Experience in developing and managing HCP relationships is essential. Urology clinical experience a plus. The proven ability to develop and grow business based on ‘procedure-focused sales’ is necessary. Must have demonstrated success in developing accounts and training physicians and staff. The ability to execute strategic plans and lead change is essential. Must have strong prospecting skills, and be a self starter. Must be capable of independent action and detail oriented. Must have excellent written and verbal communication skills, as well as interpersonal skills at all levels. Willingness to travel for procedures, customer meetings, internal meetings, and tradeshows as required. 80% travel is required in territory  The following physical demands are required: Frequently Lift/Carry 25 pounds Vision requirements correctable to 20/20 vision Stand/Sit/Walk 8 hours a day Operate moving vehicles  The following work environment conditions exist: Infectious Disease exposure Laser Eye Protection  What We Offer A winning team driven to achieve our mission and deliver remarkable results. Quality products that improve the lives of customers and patients. Ability to discover your strengths, follow your passion and own your own career.  Powered by JazzHR  Pc2QfyYaDv",Entry level,Full-time,Sales and Business Development,"Medical Devices, Insurance, and Hospital & Health Care"
Independent Sales Representative,MAVRANS,United States,,Be among the first 25 applicants,"MAVRANS is a sustainable clothing brand that focuses on creating collections made for good times. The concept started in 2018 with the idea to redefine leisurewear for the modern lifestyle. With the aim to make the next best outfit, we are continuously redefining our core garment collection intended for being the limelight at the party. MAVRANS now distributes their products globally with our home base in Miami FL.  We’re looking for somebody who can hit the ground running, somebody who brings first-hand experience and knowledge to the brand. Although we would prefer the successful candidate to have worked within fashion, it would not be a deciding factor, as we understand that if the candidate is skilled and experienced enough they will be able to adapt their expertise to fit the role.   Essential Responsibilities  -Your primary objective will be to grow retail and wholesale revenue for the company. -Create long lasting account relationships -Efficiently and effectively manage the set territory -Hold product training sessions for account associates -Effectively communicate with team members -Maintain and service territory account base  Qualities we are looking for:  -roster of clients we can work with -experience with demo or fitting -2+ years of sales experience, preferably in mens/resort -great for an experienced reps with existing mens or swim lines",,Full-time,,
Regional Sales Representative,Direct Wine Imports,"Las Vegas, NV",2 weeks ago,Be among the first 25 applicants,"Wine Wine Situation is one of the most renowned fine wine importer and wholesaler. It is categorized by most of the wine buyers as a “Specialty” wine company.  We bring the top and sometimes hidden treasure wines from Europe, including France, Italy, Spain, and Germany. Currently National Importer and California Wholesaler, we are now expanding our distribution to Nevada.  The ideal candidate will be based in Las Vegas to prospect and close sales lead to help generate revenue for the company. They will also be responsible for developing, implementing, and evaluating the sales strategy.  The company will take care of the import, the logistics, and the portfolio. The regional sales representative will build a list of clients in the Las Vegas market and keep pushing to build new partnerships. We are newly starting in Nevada and we want to find the right person to fit the challenge!  Responsibilities Responsible for establishing and developing account growth in the Las Vegas area, Develop, manage and oversee opportunities, Manage the connection between the company and the top restaurants and retailers' accounts in Las Vegas, Being accountable for reaching sales goals and developing strategic growth plans. Maximize revenues, Coordinate with sales representatives to generate and meet with prospective leads, Track and report all sales activities, Develop and execute sales strategy through market analysis, Be the market expert for all sales-related activity accounted for in the Las Vegas region.  Qualifications Experience as a sales representative, Experience generating and maintaining relationships with sales leads, Excellent written and verbal communication skills.  Employment Type Full-time",,Full-time,,
Sales Development Representative,Placer.ai,United States,,Be among the first 25 applicants,"Who are we? Placer.ai is a rapidly growing startup in location analytics, building the industry’s most advanced, self-service data platform. We are already working with some of the biggest brands and industry leaders in Commercial Real Estate, Retail, Hospitality and beyond, and are looking for strong and independent professionals to join and help us drive the next wave of growth. Read more on our website: Placer.ai (We recommend that all serious candidates sign up for the platform's free version to research what the Placer platform is and what makes us so special).  Responsibilities Prospect, educate, qualify, and develop target accounts from lead-generation activities, such as outbound cold-calling, and emailing. Engage with prospects via phone by making a minimum of 60 cold calls per day. Generate qualified meetings both before and after events. Distribute new opportunities to appropriate sales executives, collaborate with the executives about the opportunity, and determine appropriate action items. Maintain diligent organization with prospect follow-up and internal communications. Be able to remain focused and detail-oriented, even in a fast-paced environment. Learn and maintain in-depth knowledge of Placer’s platform, industry trends, and data. Some travel for events may be required. Minimum Requirements The ideal candidate will have a high desire to build a career in Sales. At least 1 year of an outbound sales development function Ability to work in a fast-paced, constantly evolving environment. Excellent verbal and written communication skills including high-level interactions with internal and external contacts. Exceptional ability to organize work and tasks; attention to detail and excellent follow-through. Knowledge of the SaaS industry and sales process. Knowledge of the Retail, Real-Estate, or Marketing Analytics market is desirable.  The ideal candidate will have previous experience in Salesforce and Salesloft (or a Salesloft competitor of some sort).",,Full-time,,
Sales Development Representative,Snowflake,"San Mateo, CA",,Be among the first 25 applicants,"There is only one Data Cloud. Snowflake’s founders started from scratch and designed a data platform built for the cloud that is effective, affordable, and accessible to all data users. But it didn’t stop there. They engineered Snowflake to power the Data Cloud, where thousands of organizations unlock the value of their data with near-unlimited scale, concurrency, and performance. This is our vision: a world with endless insights to tackle the challenges and opportunities of today and reveal the possibilities of tomorrow.  Snowflake is looking for talented and energetic individuals who are motivated and driven. We are a fast-paced, rapid-growth late stage start-up disrupting the data platform industry. Success on our sales development team hinges on a propensity for action and productive collaboration with the sales and marketing teams. It is a strong building block for a long-term career in technology sales. We guarantee that this relationship will be a two way street where we will invest the time and resources into your success which will enable the sales development organization to accomplish its mission: Take Snowflake to $1B and beyond by building, driving, and accelerating quality pipeline and talent. Our goal is to empower you to be a master of your craft and enable you to pursue future opportunities within Snowflake or elsewhere.  At Snowflake, Embracing Each Others’ Differences is a core value of our organization. We recognize and appreciate the importance of creating an environment in which all employees feel valued, included, and empowered to do their best work and bring great ideas to the table.  THE RIGHT CANDIDATE WILL: Demonstrate passion about being part of a team focused on igniting the engines of innovation, sparking new ideas and fostering new ways for people to work together. Absorb the sales development playbook and be ready to start contacting new prospects 10 days from start date. Commit to understanding/owning their territory and becoming a trusted member of the SDR Org while collaborating with their Account Executives and District Managers Become an expert at using lead generation tools and LinkedIn Sales Navigator to routinely extract contacts and create accurate and targeted lists of prospects. Conduct account development best practices with email, phone, and social touches using Outreach, Marketo, LinkedIn Sales Navigator, Salesforce CRM, and Engagio. Utilize smart, targeted questions to speak knowledgeably with decisions makers such as VP of Engineering, Director of Analytics, and Data Architects. Work closely with the sales team in the ongoing optimization of strategic sales approaches. Provide insights to, and collaborate with, marketing to ensure conversion rates are world-class across the funnel. Extensive use of Salesforce CRM and other tools to build and maintain accurate activity, contact, and account information of all customers and prospects. Be eager to learn, committed to getting 1% better everyday and be open to feedback  TOP CHARACTERISTICS AND TRAITS CONSISTENT WITH SUCCESS IN THIS POSITION: Learn and articulate complex subject matter Great listener Adept at investigation and research Natural storyteller Curious and not afraid to challenge the status quo Strong written communication, phone, presentation, and interpersonal skills Experience selling technology and/or software Highly organized and strong time management skills Ability to work in fast-paced, changing environment with minimal direction Hustle and Persistence  POSITION PERKS: Unlimited PTO Rewarding commission structure Clearly laid out and communicated progression and promotion plan  EDUCATION AND EXPERIENCE: Bachelor's degree in Business or related area. 1-2 years in outbound-focused sales or other customer-oriented background (support, customer service)  NICE TO HAVES: Prior SDR/BDR experience is a plus but not required. Prior experience at high-growth, SaaS company. Salesforce experience is a plus but not required.  Snowflake is growing fast, and we’re scaling our team to help enable and accelerate our growth. We are looking for people who share our values, challenge ordinary thinking, and push the pace of innovation while building a future for themselves and Snowflake.  How do you want to make your impact?",Entry level,Full-time,Sales and Business Development,Computer Software and Marketing and Advertising
Independent Sales Representative,"Proforma Angelini, Martin and Associates",United States,,Be among the first 25 applicants,,,Full-time,,
Medical Sales Dental,Anutra Medical,"Texas, United States",2 weeks ago,Be among the first 25 applicants,"Anutra Medical is a rapidly growing start-up dental business based in Research Triangle Park, NC that has invented a local anesthetic delivery system that will reduce pain for patients and help dentists be more efficient. Our team is made up of self-motivated and highly driven individuals..  We are seeking to fill multiple  Territory Sales Representative Positions.  Florida  Position:  Territory Sales Representative  Summary:  The role of the Territory Sales Representative is essential in the success of establishing this innovative product in the dental marketplace.  This position requires a seasoned professional familiar with both sales and education in the dental industry that has an excitement and desire to be in a start-up environment and launch new products.   Must be willing to cold call.  Responsibilities: ·     Responsible for new sales to customers and conversion to reoccurring orders of existing customers.  ·     Travel and present at key industry conferences, trade shows, regional/state/local dental associations and study clubs engaging with practices to present the product and close initial orders.  ·     Follow-up with current customers in established territory to develop solid relationships  with these dentists/ practices ultimately converting them to raving fans of Infusion Medical products.  ·     Follow-up with customers to gain referral base for new customer sales. ·     Exceed short and long-term sales targets. ·     Work with our Implementation Specialist who will handle the training of new customer acquisition",,Full-time,,
Medical Sales,"OrthoTek, Inc.",Omaha Metropolitan Area,2 weeks ago,Be among the first 25 applicants,We are looking for a sales rep that has the ambition and drive to help our patients obtain the best results as possible after surgery and or injuries. The candidate should be able to soak up information as a sponge and be able to communicate with our referral sources and patients. This person should be able to travel throughout the territory and able to balance their schedule.,,Full-time,,
