jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
Marketing Intern,Wondery,Los Angeles Metropolitan Area,,Be among the first 25 applicants,"The Wondery mission is to be a sustainable outdoor lifestyle brand dedicated to liberating women in the outdoors through awareness, resources, and the creation of a women’s outdoor community. Wondery harmonizes fashion with utility to create practical apparel for women.  Wondery is seeking a marketing intern to begin ASAP for the Fall semester.  Responsibilities include (but are not limited to): Assist with all social media marketing (Facebook, Instagram, Tik Tok, LinkedIn and more) Assist with the physical and digital marketing of our subscription box, Wonder Goods Assisting in the marketing tactics and sales for B2B Creating and managing partnerships with influencers and other complementary brands Analyzing data from marketing campaigns Directing and communicating inquiries between influencers and the Wondery team Scheduling and creating marketing content when necessary Engaging with the marketing and PR team on a regular basis to brainstorm ideas for new and innovative marketing and social media campaigns Assisting with gathering data for marketing reports and supporting a variety of marketing and advertising programs Creating campaigns to support the efforts of Wondery Researching industry specific sites (blogs, forums, etc.) for product reviews, customer comments, and other relevant marketing information  Qualifications: - Working towards a BA in marketing, public relations, or equivalent - Detail oriented - Must be a people-person - Must have excellent written and verbal communication skills - Proficiency in Microsoft Office (Word, PowerPoint, Excel), Google Docs - Proficiency in Photoshop and/or Illustrator - Undergraduate GPA of 3.0 and above - Self-starter with good time management skills - Ability to work independently and with others - Ability to maintain strong and consistent communication through email and phone  Must be able to travel and work at our office location in Chatsworth, CA once COVID restrictions have ceased. We unfortunately will not be making any exceptions.",,Internship,,
"Disney Gift Card Services, Program Development Intern - Spring 2022",The Walt Disney Company,"Lake Buena Vista, FL",6 days ago,Be among the first 25 applicants,"Job Summary:  Be a part of an innovative team and culture…  Disney Gift Card Services, Inc. is an enterprise entity responsible for creating, launching and maintaining Gift Card and Stored Value Products sold and distributed globally through a variety of channels, including online, corporate sales, retail stores and other partnerships. The team consists of Program Development, Business Development, Brand Management/Marketing, Operations, Finance and Guest Service groups dedicated to enhancing the Guest experience, reducing payment friction and supporting Walt Disney Company business initiatives.  Responsibilities:  A Day in the Life…  This role will play an integral part in various project activities assisting and supporting the Disney Gift Card Services Program Development team. This individual will be responsible for, but not limited to, communicating project deliverables to stakeholders, business acceptance testing, documentation and training efforts, managing system access and other sustainment activities. In this role, the individual will develop project management skills by partnering with technical, financial, creative and operational teams at various levels to gather and provide requirements for projects and process improvements. This position may require flexible hours to support weekend & after-hours initiatives.  Basic Qualifications:  What we are looking for…  Demonstrated strong organizational and time management skills to prioritize multiple competing priorities with attention to detail Quickly adapt to evolving and growing business needs Proven critical thinking, creative solutioning and decision-making skills Demonstrated ability to influence and build relationships with internal and external partners at various levels Ability to work both independently and within a collaborative team environment Ability to adapt communication styles for technical and non-technical partners Demonstrated ability to handle confidential information Desire to take creative, thoughtful risks in line with business needs Familiar and engaged with emerging technologies Proficiency in Microsoft Office Suite (Word, PowerPoint, Excel) and presentation software Ability to analyze metrics to create stories depicting product performances and user experiences to assist in making strategic decisions  Preferred Qualifications:  Experience with project management processes and software, agile methodologies and working with external vendors/partners Basic understanding of technical topics (e.g. database, API, JSON messaging) Awareness of user interface/experience design trends and strategies Engagement and familiarity with payment and digital consumer experiences Knowledge of creating process flows and diagrams  Required Education  Currently enrolled in an accredited college or university and taking at least one class, or be a recent graduate of an accredited college or university within the last six (6) months at time of application, or be currently participating in the Disney College Program, Disney Culinary Program or Disney Professional Internship Program Pursuing a Bachelor’s degree or Post Graduate degree in Business, Project Management or Information Technology  Additional Information:  The approximate dates of this internship are January 2022 through June 2022. Candidate must be available to work full time hours (approximately 40 hours per week) for the duration of the internship. You will work remotely until in-person work resumes. The location for this work will be Orlando, Florida. Please note, candidates must be receptive to working Eastern Standard Time for the duration of the program (approximately 8:30am-5:30pm ET).  865279BR",Internship,Internship,Education and Training,"Marketing and Advertising, Information Technology and Services, and Financial Services"
Business Development Manager,Ritchie Bros.,Dallas-Fort Worth Metroplex,2 weeks ago,Be among the first 25 applicants,"A growing global company. Endless career and development opportunities.  When you join Ritchie Bros., you’ll be part of a diverse, global team that’s focused on delivering great customer experiences. Our culture is centered around people and guided by our core values of Integrity, Unity and Vision. Learn more about our culture and commitment to diversity and inclusion at Candidate Portal.  If you have an entrepreneurial spirit and are passionate about making a difference, we invite you to join our growing team. Whether you’re out in the field or back at your office, you’ll be helping us achieve our vision of becoming the trusted global marketplace for insights, services and transaction solutions for commercial assets.  We’re looking for a Business Development Manager who will be covering the Dallas Fort Worth metroplex.   The Opportunity:  The Business Development Manager (BDM) is an outside sales role specifically focused on developing new business within assigned geography. The BDM is primarily responsible for identifying new prospects, soliciting and selling the full RBA solution offering; matching prospect needs to solutions, and transitioning signed business over to Account Managers. The ideal candidate is extremely goal-oriented and adept at identifying and generating a comprehensive and fluid sales pipeline, developing new opportunities across all channels and platforms and adding new customers to the portfolio. BDM’s engage in sales activities primarily outside the office via face to face meetings focused on engendering trust and establishing relationships with key decision-makers and influencers. They ensure adequate time is spent on prospecting outreach through phone, email and cold calling to create the necessary opportunities resulting in sales.  In this role you’ll:  Target net NEW business that would be transitioned over to Account Manager, prioritized by opportunity size Ability to identify and research target companies, customers, or clients to investigate the potential of a partnership with RBA.   Able to quickly and efficiently qualify potential opportunities with a prospect. Develop customer relationships regardless of the prospect’s contractual status with competitors and proactively create awareness of RBA’s solutions offering. Skilled in cold calling, setting up in-person or video meetings to understand the prospects' needs and motivations to enable a partnership with Ritchie Bros Work with internal departments such as the Marketing team to be aligned on growth initiatives, finding ways to promote the brand and generate awareness and leverage Business Intelligence-gaining insights and deep understanding of the market and competition. Effectively engage and utilize internal support functions for the contracting process and problem resolution. Enter and maintain customer information, notes, and activities in the CRM tool throughout the sales cycle.   Identifies, leverages, and engages regularly with industry associations and their members to identify potential prospects while establishing themselves among the industry’s community and customers. Qualify and secure contracts; ensure successful interactions and results Actively support the RB Unreserved Commitment to Safety: to send everyone home, every day, the way they came to work, by taking personal responsibility for your safety and the safety of your team, co-workers and customers.  Here’s what you bring:  Bachelor’s Degree Innovative and creative Enjoys selling and is opportunistic Excellent communication and presentation skills Highly goal and results-oriented Operates with a “sense of urgency” Self-Motivated and resilient Decisive Excellent time management 5+ years’ experience and demonstrated success in quota-driven sales (Industry experience/knowledge preferred) Knowledge and experience with CRM utilization (preferably Salesforce) Excellent communication and presentation skills Highly Self-Motivated & Action-oriented Experience in prospecting for new business Desire to win, bring a sense of urgency for generating favorable results, and resilience to bounce back from setbacks or rejection  What We Offer:  Our success is built on the drive and dedication of our people. As we grow around the globe, there will be many opportunities to advance your career – we’ve proven this throughout our 60+ years in business. And, we'll take care of you along the way. Here’s how:  Base salary + commission Comprehensive medical and dental benefits. 401(K) and an Employee Share Plan, both with company match. Ongoing training, professional development and tuition reimbursement.   Ritchie Bros. has grown from a small-town auctioneer to a global asset management and disposition company. Through our family of companies, we help our customers buy and sell a wide range of used and unused equipment for construction, mining, transportation, agriculture, oil & gas, lifting & material handling, forestry & other industries.  Ritchie Bros. is an equal opportunity employer and ensures nondiscrimination in all activities in accordance with all applicable laws. This position is open to all qualified applicants who are legally entitled to work in the country in which this job is located. Candidate selection is made by Talent Acquisition. Only electronic applications can be accepted. No agency calls, please.  If you required any accommodations, please send an email to: careers@rbauction.com.",Internship,Full-time,Business Development and Sales,Machinery
Student Brand Manager,Red Bull,"Raleigh, NC",3 days ago,Be among the first 25 applicants,"Positions only open at the following schools: North Carolina State University North Carolina Central University Duke University Wake Tech Community College **All applicants MUST apply directly through our website** NC State - https://jobs.redbull.com/us-en/raleigh-student-marketeer-north-carolina-state-university-138345-055771 NCCU - https://jobs.redbull.com/us-en/durham-student-marketeer-north-carolina-central-university-135987-053798 Duke - https://jobs.redbull.com/us-en/raleigh-student-marketeer-duke-university-138616-055968 Wake Tech - https://jobs.redbull.com/us-en/raleigh-student-marketeer-wake-tech-community-college-135994-053801  Red Bull Student Marketeers are part of the most dynamic and empowered brand ambassador program in the world. They understand Red Bull's target group and will promote the brand image and product understanding on their campus and in their region. The goal of the Student Marketeer program is to reach new consumers, excite university students, increase sales, and manage the Red Bull brand on a student level. This includes direct contact with consumers on campus, inviting product trial, in addition to working at Red Bull events to provide an unforgettable brand experience for consumers.",,Part-time,,
Entry-Level Sales Development Trainee {$65K - $80K} (NYC),LaunchSource,"New York, NY",1 month ago,Be among the first 25 applicants,"Did you know 40% of Fortune 100 CEO's started in sales career?  Did you know that due to the rapid adoption of technology, a new modern sales professional called the Sales Development Trainee (or Representative) (SDR) has been one of the fastest-growing jobs in the last 5 years in a row?  Are you ready to be surrounded by incredibly smart and driven people that push you to be better?  If the answer to these questions is yes, then we need to talk.  LaunchSource is changing the way a new generation of talent break into some of the fastest-growing tech companies across the United States. Sales Development Representatives (SDRs) and Business Development Representatives (BDRs) are the first point of contact for a new customer of a customer and the engine of growth not only for sales but serve as the bench for an entire organization. Our partners are vetted and provide rapid room for career advancement (average promotion is 14 - 18 months) and are critical to a company's new business. If you're looking to learn more about LaunchSource check us out on Glassdoor.com or visit our website at launchsource.com (oh yeah and there's no cost to you ever).  In this role, you will Create new revenue opportunities by educating customers Conduct strategic calling and emailing to identify new business opportunities Will work closely with account executives (your sales colleagues) and marketing to implement strategy and process Become an industry specialist and develop product mastery Consistently achieve (and exceed!) monthly quotas and goals Receive continuous weekly training to further develop sales skillset You are A self-starter Entrepreneurial Intellectually curious Passionate about learning Adaptable Salary: Base Salary + On-Target Earnings (OTE): $50,000-$80,000  Here at LaunchSource, we don't just accept our differences — we celebrate them, we support them and we thrive on them for the benefit of our candidates, clients, and our community. LaunchSource and its clients are proud equal opportunity employers.  LaunchSource provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.  By applying to this job, contingent on my acceptance to the LaunchSource process and platform, I consent to have my personal information, including my resume and other materials that I provide to LaunchSource or grant permission for LaunchSource to use, displayed to and accessed by LaunchSource's clients via the LaunchSource platform or other means of communication.",Internship,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Staffing and Recruiting"
Rookie 2022 Summer League Internship - Sales & Operations,Under Armour,"Baltimore, MD",3 weeks ago,Be among the first 25 applicants,"Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.  Position Summary  As an Under Armour Rookie you’ll be given a hands-on, self-driven project that makes a real business impact. Throughout the 12 weeks you’ll work one-on-one with a mentor and have access to learning experiences, such as interactive Q&A sessions with our executives and professional development opportunities with our talent advisors. With our focus on cross-functional collaboration and global mindset, as a Rookie, you get to see how your work goes way beyond yourself.  Potential Placement Areas  Sales  Sales Rookies support our teams in driving our business and the UA brand within our strategic accounts (retail partners). They may assist with selling strategies working with internal cross-functional partners from Product, Merchandising, Marketing, Finance and Planning – to help ensure products are powerfully positioned to drive revenue within these wholesale channels. This opportunity might appeal to students with majors such as: Business Operations, Business Administration/Management, Retail Studies, Communications, or Psychology  Store Operations  Store Operations Rookies support our teams with the creation and implementation of store operations standards across the globe. This opportunity might appeal to students with majors such as: Logistics, Industrial Engineering, Business Operations, Business Administration/Management, Supply Chain, Information Systems, Economics, or Retail Studies.  Eligibility  To be eligible for our Rookie program, you must be expecting to graduate between December of 2022 and June 2023.  Hiring Process  Our resume review process will start immediately upon applying for this role. If our teams are interested in your experience, you will be invited to interview virtually with members of your potential team. You may have the ability to interview for multiple roles if the opportunity arises. Once virtual interviews are completed our recruiting team will extend offers or follow up with you directly on your status.  APPLICATION DEADLINE: SUNDAY, DECEMBER 12, 2021 at 11:59 PM EASTERN TIME  At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.",Internship,Internship,Sales and Business Development,"Marketing and Advertising, Consumer Goods, and Retail"
Business Development Intern (US Market),Kellify,New York City Metropolitan Area,4 days ago,Be among the first 25 applicants,"Our company Kellify is the science-centric scale-up that comprehends the world through images. We globally scale high potential businesses crafted with AI, Computer Vision and Neuroscience. The boundaries of our science stretch from singling out catchy images at the right time and place in the martech industry, to predicting property and fine art prices. Some of our fast-growing apps have become stand-alone brands: Gradient unveils visual D&I and tells brands how to make it inclusive. Naiada is the first AI uncovering charming masterpieces that will make your wallet smile.  Founded in 2018 by a team of scientists and entrepreneurs from Columbia, Sophia Antipolis, and NASA, Kellify raised $9.0m+ in funding. True to our need for scaling, we blossomed into a team of 45+ people from more than 10 countries, and we are currently live globally with offices in Genoa, Madrid, New York and Seoul.  That’s why we look for smart, dynamic and proactive individuals to join our international-at-heart team of software developers and data scientists, marketing, finance, and product architects: digital enablers that light up instant-workflow realities, either from a scientific or business perspective.   Who you are The ideal candidate has a deep understanding of the US market and will turn insight into action across our globally distributed environment. We expect you to be an intuitive and fast learner, leveraging complex skills rooted in analytics, user feedback, and business goals to support setting clear goals, priorities, and managing stakeholder expectations.  As part of the Growth Team in New York City - which plays a fundamental role in both the day-to-day operations of our development, and business teams, but also influences the future of our growth in the United States - you will support driving awareness and adoption of our products portfolio and the features within it in the US business landscape.  What you will be doing You will work on fueling the business development strategy across the core industries, leveraging key stakeholders in New York City. The role will report to the United States Regional Leader, although you’ll find yourself embedded within the Growth team day-to-day.  In this role you will: Proactively scout and onboard new clients or partners, ensuring long-term success in the US ecosystem Get in the game to influence and manage the key moments of the sales cycle, always focusing on Kellify’s priorities Build brand alliances with a great network effect, with local and global resonance  Conduct research and analyses to support ongoing projects  Help the team identify new potential partners and areas for research  Execute time-sensitive projects in a fast-paced environment   You Should Apply If  You have a genuine interest in business development and sales You are extremely customer-centric  You have great communication skills You are comfortable with metrics and holding backup data to it You enjoy working within a fast-paced environment   Benefits You will get to work in one of the hottest and fastest-growing digital startups right now Competitive salary Professional development Reward Gateway",Internship,Full-time,Business Development and Sales,Internet
WholeSale Intern- Spring 2022,LoveShackFancy,"New York, NY",2 days ago,25 applicants,"About Loveshackfancy  LoveShackFancy is a New York City-based lifestyle brand founded in 2013 by stylist, designer and creative director Rebecca Hessel Cohen. The brand originated from Rebecca’s desire to design the perfect bridesmaid dress for her own ethereal summer wedding at her family home in Bridgehampton, surrounded by swaying apple trees. From an initial collection of hand-dyed silk dresses, LoveShackFancy quickly gained a dedicated following for its charming pieces that whisper  Role Overview  Description: LoveShackFancy is looking for students pursuing a sales internship with a hands-on business training experience for the Spring 2022 Semester. The student will learn the company’s objectives, environment, techniques, and strategies that the sales team uses on a daily basis.  Must be NYC based. Understanding of and interest in the ready-to-wear market! Organization and accuracy are essential to the overall success and understanding of the sales department. We encourage a very positive attitude, and we strive to create a welcoming environment to learn these skills. This is a great opportunity for students in college to gain both school credit and a deeper knowledge of the inner workings of a sales team in fashion.  This internship is an unpaid role and the candidate MUST receive academic college credit as a requirement.  KEY RESPONSIBILITIES:  Responsibilities: He/she will be responsible to observe sales executives in each of their respective roles. Sales interns will often shadow the team during their day-to-day routine as well as a busy market schedule. Observing how the team preps the collection for showroom and trade show market Merchandising and maintaining the showroom during market Shadow sales executives during market appointments Dressing and styling models for market appointments Attend LoveShackFancy trade shows Entering and checking orders and return authorizations Learn about inventory management using Excel Coordinate department store photo shoots Sending and tracking samples Merchandising department stores around the city Tracking sales Market research for potential new accounts Building relationships with customers  This job description may not be inclusive of all assigned duties, responsibilities, or aspects of the job described, and may be amended at any time at the sole discretion of the Employer.  Skills, Qualities & Behaviours Currently enrolled in college or university Ability to multi-task in a fast-paced environment Strong computer skills – Word, Excel, PowerPoint Strong communication skills  Powered by JazzHR  JDL9lf6sOI",Internship,Internship,Education and Training,"Apparel & Fashion, Retail, and Luxury Goods & Jewelry"
Sales Associate Internship (Remote),Olive,"Columbus, OH",1 week ago,Be among the first 25 applicants,"Description  Olive’s AI workforce is built to fix our broken healthcare system by addressing healthcare’s most burdensome issues -- delivering hospitals and health systems increased revenue, reduced costs, and increased capacity. People feel lost in the system today and healthcare employees are essentially working in the dark due to outdated technology that creates a lack of shared knowledge and siloed data. Olive is designed to drive connections, shining a new light on the broken healthcare processes that stand between providers and patient care. She uses AI to reveal life-changing insights that make healthcare more efficient, affordable, and effective. Olive’s vision is to unleash a trillion dollars of hidden potential within healthcare by connecting its disconnected systems. Olive is improving healthcare operations today, so everyone can benefit from a healthier industry tomorrow.  Job Overview  The Sales Associate Internship will focus on fundamental operations of the growing Revenue Organization. The Associate will work closely with both in-field Sales leaders and the executive team to create scalability and consistency in deliverables. This role is key in Olive’s high growth environment, as the Associate works as a coordinator between in-field sales, demand generation, leaders, and other functions to communicate key account learnings & industry analysis, ultimately developing materials to assist the revenue organization’s high growth.  Internship Dates: May 23, 2022 - July 29, 2022  Essential Duties And Responsibilities Prepare decks & in-field sales presentations alongside the SAL & ED, providing scalability in preparation for Solution Overviews & Presentation of Findings Conduct constant market research on specific groupings of accounts, executing a plan built by the Executive Directors Assist the Market President & VPs in data preparation for internal events Live within Salesforce.com for record accuracy and quick resource to any core questions Be able to develop basic level Salesforce reporting & analysis on an ad hoc basis Act as a record keeper in external & internal meetings, to highlight owners & actions of key topics Supplement the larger Sales Enablement effort, which is a coordination of Marketing Documents being operationalized into Sales. This includes pdf preparation, meeting scheduling, & Close Plan aggregation Shadow various areas of the Customer Lifecycle, for professional development & operational learnings. This includes Market Development, Customer facing sales meetings, post-signature Implementations, Assessments, internal Operational Support, and Customer Success The Associate should be capable to assist the Performance Improvement team in running numbers & comparisons of customer ROI in a given assessment Expected to add scalability to the Assessment Solution Architects by helping record workflows, notes, and processes, which is the core stage in the middle of the sales cycle In the case of a special ED or SAL that is traveling to a customer, or on PTO, the Associate will act as a stop-gap coordinator of important information, so customers will not experience any gap Requirements Entry-level experience, 0-2 years expected Background in Healthcare Technologies is preferred Pursuing degree or certification in Business Management, or related field Experience in sales or customer service Ideally combined background of revenue generation, product implementation, and design leadership Awareness of basic Healthcare industry terms Demonstrates desire for continuous learning and improvement Enthusiastic and creative leader with the ability to inspire others Excellent communication and presentation skills At Olive, we're committed to growing and empowering an inclusive community within our company and industry. This is why we hire and cultivate diverse teams of the best and brightest from all backgrounds, experiences, and perspectives across our organization. Research shows that oftentimes women and other minority groups only apply to open roles if they meet 100% of the listed criteria. Olive encourages everyone — including women, people of color, individuals with disabilities and those in the LGBTQIA+ community — to apply for our available positions, even if they don't necessarily check every box on the job description.  Disclaimer  This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. Duties, responsibilities and activities may change or new ones may be assigned.  This job description does not constitute a contract of employment and Olive AI, Inc. may exercise its employment-at-will rights at any time.",Internship,Internship,Sales and Business Development,"Information Technology and Services, Computer Software, and Hospital & Health Care"
Business Development Rep,CareBand,"Chicago, IL",3 weeks ago,Be among the first 25 applicants,"Company Description  Who We Are:  CareBand is an award-winning company that empowers people living with dementia to stay safe and healthy while providing peace of mind to caregivers. The solution includes a wearable device that monitors activity, behavior and location. With the integration of machine learning technology, caregivers can proactively manage common behaviors such as wandering and agitation through non-pharmacological interventions. With CareBand, people living with dementia can stay safe, function at their highest level of independence, and avoid unnecessary hospitalizations while caregivers have peace of mind.  Join the CareBand Team  We are a multi-disciplinary team of experts in hardware engineering, software development, machine learning, design and senior care. We always strive to learn more and dig deeper into our research and analytics, to stay engaged and creative in everything we do. Are you one of us?  Recent News  CareBand has customers in the US, Canada, Slovokia, and the UK. In the past few months, CareBand has: CareBand was award $440k NIH R21 with University of Minnesota: https://med.umn.edu/news-events/memory-keepers-receive-grant-optimize-early-detection-alzheimer%E2%80%99s-disease-and-related-dementias CareBand starts a pilot with Amazon: https://www.aboutamazon.com/news/devices/echo-tile-and-level-devices-join-amazon-sidewalk Our founder's TEDx on Technology and Dementia: How Innovation is Empowering Beyond Diagnosis: https://www.youtube.com/watch?v=Jkvp3FcxzGE Job Description  The Role  With CareBand’s recent momentum comes both opportunity and responsibility. Working closely with the CEO, we are seeking a Business Development Rep who will help guide the company’s development and growth. This role will work with system integrators, value-added resellers, partners, and end customers.  This position requires an ability to succeed in a fast-paced, ever-changing environment. We have high standards and are seeking an experienced and dynamic team member who shares our passion and who will roll up their sleeves and get the job done. If you are excited about revolutionizing an industry, have uncompromising integrity, and would like to work for a company that is positioned for success, we’d love to speak with you.  Commitment: Part-Time (~10-15 hours a week)/ Opportunity to go Full-Time  Start Date: ASAP  Responsibilities Be the first person of contact for inbound leads Managing business development activities to evaluate, and develop prospects for business opportunities Synthesize conversations and communicate to Business Development Team Increasing the value of current customers while attracting new ones Finding and developing new markets and improving sales Attending conferences, meetings and industry events Developing quotes and proposals for clients Developing goals for the development team and business growth and ensuring they are met Build and maintain long term relationships with customers and partners Know, understand, and clearly articulate the company’s story, mission, and benefit in a persuasive and informative way Assist in negotiating aspects of the customer and partner relationship (i.e. pricing, payment, contract terms and resources, etc.) Qualifications Strong academic achievement, BS in Business. MBA preferred Entrepreneurial mindset: no task is too large or too small Effective at managing multiple tasks simultaneously and comfortable taking on responsibility High level of attention to detail Problem solver; you don't accept the status quo and are always looking for creative solutions Excellent communicator with clarity of thought to quickly identify what's most important A very good sense of humor and personal balance Demonstrated record of entrepreneurial achievement and/or leadership Additional Information  All your information will be kept confidential according to EEO guidelines.  PLEASE UPLOAD A COVER LETTER ON THE NEXT PAGE TO BE CONSIDERED",Internship,Part-time,Sales and Business Development,Hospital & Health Care
