jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
International Sales Manager,iPNOTE Inc.,United States,2 days ago,41 applicants,"iPNOTE is a streamlined platform for managing and securing intellectual property. It allows customers to engage with vetted legal vendors, oversee the entire collaboration process and manage their IP portfolio in a single place.   iPNOTE strives to enable companies to take control of their IP and leverage it to expand their business. With this platform, businesses handle administrative and financial processes on their own, without completely relying on third-party lawyers.    Requirements English level C1–C2. Do you agree that it is easier to communicate with foreign clients and partners in excellent English? Experience of active sales. You should not have a wild fear of calls or meetings. Excitement-yes, it's even good. Experience working with CRM.  Experience in b2b sales. It would be great if you sold an IT product, but if not, it is important that you learn quickly. Possession and understanding of marketing tools is an advantage.  Tasks Brief the client, make a commercial offer and enter the transaction. Track the performance of business indicators. Meet with clients, negotiate-turn the lead into a client. Maintain reports in CRM.  Conditions Annual base pay is 33 600 $ + we pay monthly sales-based commissions. As a Sales Manager, you will play a critical and active role in the day-to-day operations. This is an excellent opportunity to be one of the key members of our Sales team and position yourself for unique career growth opportunities. If you’re killing it, you’ll be our Head of Sales to lead our Sales Team and help spearhead our growth. TFor remote users: the ability to work from anywhere in the world, a schedule for your biorhythm, but not in relation to agreed meetings. Direct interaction with the product owner, who is also the CEO, so that you are always in the context of events and involved in the final result. The opportunity to attend and participate in major innovation events, including international ones.",,Full-time,,
Regional Sales Manager,Cyolo,"Myrtle Point, OR",,Be among the first 25 applicants,"Join us as our Regional Sales Manager in the Eastern US!  Powered by the most adaptive, simple, and secure zero trust solution on the market, we are on a mission to connect every entity in cyberspace.  In addition to our strong belief in the zero-trust architectural principles for Enterprise IT (never trust, always verify), we also believe that there’s nothing more important than building and maintaining trusted relationships with our current and prospective customers.  What’s in it for you? A fresh, dynamic startup environment The opportunity to join an early stage, make a difference, and grow your career alongside the company Early-stage stock options Ownership and independence of the entire go-to-market process for the Eastern US Your Objectives In The Role Build and execute the US Go-To-Market strategy for the Eastern region Lead from the front as a player coach while we establish the region Recruit and develop Account Executives and Channel Partners The Ideal Candidate Will Bring 5+ years of proven success in outcome-based enterprise sales Ability to learn new technologies quickly Experience selling via the channel and MSSPs Experience presenting to C-Level executives and an IT security audience Excellent work ethic and hunter mentality Excellent written and verbal communication skills Beneficial Experience Experience selling enterprise security solutions IDP, SSO, PAM, VPN, or remote connectivity experience None",Mid-Senior level,Full-time,Sales and Business Development,Computer & Network Security
National Sales Manager,Blue Square Manufacturing,"Chandler, AZ",,Be among the first 25 applicants,"Mission: The mission of Blue Square is simple: to manufacture and supply the most innovative and high-quality products possible to the pool industry.  Vision:    To become a global leader in pool equipment manufacturing.  Values:    Integrity: Do what we say we will. Quality: Provide outstanding products and unsurpassed service that, together, deliver premium value to our customers.   Continuous Improvement: Display a constant desire for progress.  Honest Communication: Communicate fearlessly to build trust.  Initiative: Exhibit a strong will to win by leaning forward and displaying urgency. Have Fun: Smile and enjoy the ride.    As a swimming pool equipment manufacturer, we are looking for a National Sales Manager candidate. We prefer candidates with combined selling experience and a technical product or engineering background. The successful candidate will be naturally driven and have strong relationship building and presentation skills. Candidate will have a strong track record in a sales and business development position with experience in the pool industry.   Role and Responsibilities: Develop and implement sales strategies to grow and scale the business Lead the nationwide sales team by setting and achieving sales targets Travel throughout the United States to train and guide company representative firms, call on distributors, dealers, builders, OEM’s, and prospective customers to obtain new business and expand existing business Advise dealers and distributors concerning sales and advertising techniques Analyze market trends and sales data to assist in sales promotions for present and future business Display or demonstrate products, using samples to explain features, attributes, and advantages over competition Review market analyses to determine customer requirements, volume potential and competitive pricing Coordinate between customer service, technical service, engineering, and other departments as appropriate to improve products and customer experience Manage expenditures of the sales team to conform to budgetary requirements Develop and maintain a comprehensive list and profile of key accounts and contacts (direct and non-direct) in a computerized database program such as Salesforce Prepare monthly progress reports, monthly itinerary, weekly call reports and weekly expense reports in a timely manner and submit to Chief Operating Officer May be responsible for the training and management of sales representatives and regional sales managers Develop a national strategy for attending trade shows and/or association meetings to promote company products  EDUCATION REQUIREMENTS: BSc degree in Sales, Business Administration, or relevant field PREFERRED SKILLS: 5+ years managing a high-performance sales team in the pool industry Exposure to and connections within pool equipment distribution channels nationwide Technical certifications related to the pool industry a plus Ability to understand and analyze sales performance metrics Sound negotiation and consultative sales skills Effective communication skills Exceptional customer service skills Travel up to 75%, including day trips and overnight trips (must reside within 1 hour of a major international airport if not in AZ)  As an Equal Opportunity Employer, Blue Square Manufacturing is committed to a diverse workforce.",,Full-time,,
"Supervisor, Inside Sales",Tesla,"Las Vegas, NV",3 weeks ago,25 applicants,"The Role  The role of the Inside Advisor team is to educate, inspire and skillfully guide Tesla’s potential customers through the vehicle and energy configuration and sales process. The Inside team focuses on financing options, trade-ins, DMV requirements, unique state requirements, delivery scheduling and providing a world class experience. The Inside Advisor Supervisor is responsible for their team executing these activities at the highest possible level, while innovating and improving processes to make them more efficient and streamlined for both our advisors and customers. It is our mission to accelerate the world’s transition to sustainable transportation.  Responsibilities Build, develop and grow a team of Inside Advisors for Tesla North America Monitor employee productivity which consist of but not limited to: Direct Sales, Online Chat, Delivery Functions, Inbound & Outbound queues and Ownership Outreach Communicate and implement all relevant changes that impact the team regarding policy and procedure Collaborate with other departments in efforts to clear roadblocks and build stronger relationship Set goals to meet minimum expectations and manage on-going performance Train and mentor new team members as well as identify and mentor future team leaders Work on the continuous improvement of processes and procedures related with the purchase of Tesla products Actively coaching team members on sales conversations while providing real time feedback Create a fun, inclusive culture that rewards hard work, production and innovation Qualifications 1-3+ years of phone sales or customer service or experience in managing an inbound/outbound contact center environment Excellent communication and relationship management skills, both oral and written Experience in managing in a contact center environment Great organizational skills with an eye for detail and the ability to make decisions that are in line with Tesla standards Strong relationship management skills and the capability to explain complex technical concepts Proficient with standard corporate productivity tools (email, voicemail, MS Office, SharePoint, internet navigation, CRM applications) Legal right to work in the United States Ability to obtain DMV Salesperson’s License. Tesla will provide guidance and monetary assistance in obtaining licenses. Licensing process must be initiated by the third week of employment. Failure to obtain a license by the second month of employment will result in termination Requirement to follow Tesla Motor’s information security policy",Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Team Lead - Sales,TikTok,"Austin, Texas Metropolitan Area",,Be among the first 25 applicants,"Growth Sales Team Lead - Brand, Agency, and Direct Response  Company Overview: TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. We have global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo.  About the Team and Job: The Growth Business team is a scaled midmarket sales team that is part of TikTok's Global Business Solutions Division. The focus of this team is to connect TikTok's vibrant and growing creators and users with the brands and businesses they know and love. The Team Lead role is directly responsible for building relationships and helping clients drive business results on TikTok through consultation, education, and support. Ideal candidates will combine an exceptional ability to lead and grow a team of sales professionals, acts as a consultative sales player/coach, and deliver against sales quota. This person should have a passion for growing our business exponentially, an outstanding ability to set the strategic vision, and a willingness to develop and execute scaled processes. Success in this position requires strong sales and problem-solving skills, attention to detail, and the ability to thrive in a dynamic environment. We are looking to hire Team Leads within our direct sales team which separates focus on Brand, Direct Response, and Agency on our Growth sales teams. The position is full-time and located in our Austin, TX office.  Responsibilities: - Collaborate with our Growth leadership to establish a sales strategy and execution plan to achieve team goals. - Partner with cross-functional subject matter experts to develop, identify, and implement effective client advertising strategies. - Leverage data to identify consumer trends - spot wins, opportunities, and optimizations. - Become an expert in the assigned segments – collect and analyze competitive intelligence and market factors to anticipate client opportunities. - Consult clients on TikTok product offerings and demonstrate a deep understanding of product capabilities, measurement, attribution, and KPIs. - Coach Brand Partnership Managers in setting long and short-term goals, milestones, and tracking performance towards revenue objectives. - Guide Brand Partnership Managers on consultative, client-centric selling and best-in-class presentations, coach and develop for career growth. - Act as player-coach and support team to develop client leads, onboard, and cultivate long-term brand partner relationships.  Qualifications - 7-10 years of marketing, brand advertising, agency, sales, and/or e-commerce experience. - Direct people management experience.  Preferred Requirements - Expert knowledge of social media, mobile apps, digital/e-commerce, and performance marketing. - Knowledge of the self-serve ads platforms and biddable forms of digital ads buying. - Experience in Media/Publishing, Healthcare, CPG, Finserv, Entertainment/Hospitality, EDU. - Excellent verbal, written, and presentation skills. - Proven track record of reaching and exceeding sales goals. - Creative, outside-the-box thinker, and strategist. - A team player and collaborator, strong relationship-building, and leadership skills. - Passion for leading teams and career coaching. - Strong analytical and consultative selling skills to help identify and measure customer objectives. - Ability to thrive in a rapid, agile, and often ambiguous growth environment.  TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience.  TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at accommodations@tiktok.com.",Mid-Senior level,Full-time,Sales,Internet and Marketing and Advertising
Senior Sales Representative,Honeywell,United States,3 weeks ago,37 applicants,"Be the front-line seller who drives sales, identifying and generating opportunities for Grocery Retailers and Refrigeration OEMs. You will foster client satisfaction by maintaining regular customer contact and managing customer expectations. You will develop customer relationships through direct sales calls and by coordinating and/or attending trade shows, seminars, and similar events. You will provide education of Honeywell offerings through technical presentations to drive specifications of our products. You will maintain and provide reports and opportunity status using our customer relationship management system. You will provide competitive intelligence and market trends for use by Offering Management and New Product development. You will provide forecast/demand input to Sales Inventory Operations Planning (SIOP). This role will work remote and can sit anywhere in the United States near a major airport. Drive business growth of Honeywell Multisite control offerings by calling directly on new grocer end users and by fostering channel sales through existing refrigeration OEM partners  Deliver value by forging new strategic relationships Grow your knowledge of Honeywell products in a team-based culture focused on innovation and customer satisfaction  YOU MUST HAVE Minimum of 5 years of experience in the Grocery/Refrigeration industry  WE VALUE Bachelor’s degree A proficient understanding of key sales principles and best practices Excellent team and communication skills An ability to take initiative and work with limited direction An ability to influence across a broader organization An ability to influence customers, while maintaining healthy relationships Significant experience in selling (industrial) products Deep technical expertise Understanding of the Honeywell value proposition as well as the competitive landscape  Additional Information JOB ID: HRD136299 Category: Sales Location: 715 Peachtree Street, N.E.,Atlanta,Georgia,30308,United States Exempt",Mid-Senior level,Full-time,Sales and Business Development,Industrial Automation and Mechanical or Industrial Engineering
Supervisor Inside Sales,Tesla,"Fremont, CA",2 weeks ago,33 applicants,"Supervisor, Inside Sales  The Role  The role of the Inside Advisor team is to educate, inspire and skillfully guide Tesla’s potential customers through the vehicle and energy configuration and sales process. The Inside team focuses on financing options, trade-ins, DMV requirements, unique state requirements, delivery scheduling and providing a world class experience. The Inside Advisor Supervisor is responsible for their team executing these activities at the highest possible level, while innovating and improving processes to make them more efficient and streamlined for both our advisors and customers. It is our mission to accelerate the world’s transition to sustainable transportation.  Responsibilities Build, develop and grow a team of Inside Advisors for Tesla North America Monitor employee productivity which consist of but not limited to: Direct Sales, Online Chat, Delivery Functions, Inbound & Outbound queues and Ownership Outreach Communicate and implement all relevant changes that impact the team regarding policy and procedure Collaborate with other departments in efforts to clear roadblocks and build stronger relationship Set goals to meet minimum expectations and manage on-going performance Train and mentor new team members as well as identify and mentor future team leaders Work on the continuous improvement of processes and procedures related with the purchase of Tesla products Actively coaching team members on sales conversations while providing real time feedback Create a fun, inclusive culture that rewards hard work, production and innovation Qualifications 1-3+ years of phone sales or customer service or experience in managing an inbound/outbound contact center environment Excellent communication and relationship management skills, both oral and written Experience in managing in a contact center environment Great organizational skills with an eye for detail and the ability to make decisions that are in line with Tesla standards Strong relationship management skills and the capability to explain complex technical concepts Proficient with standard corporate productivity tools (email, voicemail, MS Office, SharePoint, internet navigation, CRM applications) Legal right to work in the United States Ability to obtain DMV Salesperson’s License. Tesla will provide guidance and monetary assistance in obtaining licenses. Licensing process must be initiated by the third week of employment. Failure to obtain a license by the second month of employment will result in termination Requirement to follow Tesla Motor’s information security policy",Mid-Senior level,Full-time,Sales and Business Development,"Automotive, Renewables & Environment, and Utilities"
Western Regional Sales Manager,KCO Resource Management,"Denver, CO",,Be among the first 25 applicants,"Western Sales Manager We are working with a Keto friendly snack & cereal company that is looking to fill a newly created Western Regional sales position! This is an opportunity to be apart of a fast growing team in the natural food space! Must have previous sales experience in natural/organic CPG industry and be west of Chicago. Job Responsibilities: · Coordinate with brokers and distributor partners to secure and expand placement · Manage select retail, wholesale and distributor accounts located throughout the west, both in the natural and conventional channels · Travel to buyer meetings to represent the brand and product portfolio in person (when travel begins again) · Manage trade spend and negotiate promo deals with buyers and distributors · Build sales presentations and other sales materials in collaboration with Marketing team · Report monthly sales performances · Represent the company at trade shows · Consistently looks for new ways to achieve cost awareness · Makes recommendations for new product introductions or product improvements based on feedback from customers  Required Skills/Qualifications: · Bachelor’s Degree in Marketing or business-related field is preferred · 3-5 years’ experience in the food CPG industry · Past experience selling natural/organic CPG with an emerging brand is highly preferred · Experience managing, optimizing and reporting against an annual trade-spend budget · Proven history managing food broker teams on a regional and national basis · Comfortable analyzing, understanding and presenting syndicated data · Knows how to prioritize accounts efficiently · Consistently displays a positive attitude with strong business acumen · Understand the importance of building relationships internally and with stakeholder groups · Frequent travel required (when travel opens up) · Understanding of key retailer category management principles · Proven history of delivering presentations in front of external and internal audiences",Mid-Senior level,Full-time,"Business Development, Sales, and Product Management","Food Production, Food & Beverages, and Health, Wellness and Fitness"
Eastern Wisconsin Regional Sales Manager,Driftless Glen Distillery,Greater Milwaukee,2 days ago,Be among the first 25 applicants,"The Eastern Wisconsin Regional Sales Manager position is responsible for executing sales and distribution initiatives. Focusing on the development of relationships and management of spirits wholesalers in the designated regions and overlapping markets. The Sales Manager will ensure that distributors are adhering to brand policies and company goals are being met. Furthering the brand reach and awareness through engaging in special promotions, marketing initiatives, tastings, trade shows, and special events. The Sales Manager is responsible for market depletions, pricing, and programming the brands within the distributor networks of the designated region. This will include both on-premise and off-premise work, focused on the Eastern side of Wisconsin, specifically in the Milwaukee and Fox Valley regions. The Sales Manager will be responsible for representing Driftless Glen out in the market in a positive way.   Key Skills and Competencies: Strong communication skills – written, verbal, persuasion, motivation Relationship building Time management. Manage deadlines and reach goals Responsible for educating distributor, sales team, and retail trade Observe competitive market activity and evaluate distributor execution against initiatives Provide weekly recaps for accounts sold, visited, and follow up directives Manage all T&E expenses and local budgets for the region Successfully work toward exceeding volume goals in specific territories. Remain knowledgeable of all laws, regulations, and policies that govern the market and keep management informed of all information pertaining to changes  Minimum Qualifications 5+ years experience in sales, bonus if it’s in the alcoholic beverage industry  Valid state motor vehicle operator’s license Must have reliable transportation Ability to secure and maintain auto-liability insurance in accordance with state laws. Ability to secure and maintain a State Sales Permit in accordance with state laws Must be 21 years of age or older. Must pass a drug test. Must be able to travel and proactively plan out your sales routes, arrangements, scheduling. Must be available to work evening and weekend events as they come up. Travel: Significant travel within the assigned regions. Extensive knowledge of the whiskey/craft spirits industry specifically is a plus!  About Driftless Glen Distillery Driftless Glen Distillery is an award-winning craft distillery located at the edge of the Driftless Area in Baraboo, WI. In addition to bourbon and rye whiskey, they have a full range of products that include brandy, vodka, and gin. Most recently rated by Whisky Advocate with a “90” for their Bourbon Whiskey, the company has been named “Wisconsin Distillery of the Year” by New York International Spirits Competition and shared as a “Top Ten US Spirits Brand You Must Try” by London Spirits Competition. They distribute their spirits in 20+ states and continue to grow. As they expand, they are looking for the right people to join their team!",,Full-time,,
National Sales Manager,Melinda's Foods LLC,"Irving, TX",2 weeks ago,90 applicants,"National Account Manager – Melinda’s Foods, LLC CPG Experience Required  Melinda’s is the original Habanero pepper sauce company in the US! Established in 1989, Melinda’s set the culinary world on fire and was the first brand to achieve a fine balance of heat and flavor. Almost 30 years later, the award-winning brand continues to delight fiery food enthusiasts with an array of artfully crafted pepper sauces and ketchups, spanning multiple heat levels – Melinda’s has flavors everyone can enjoy! Geographically, the ideal candidate would be based in the Dallas/Ft. Worth area, but consideration will be given to candidates that live near a major US airport. This position requires extensive knowledge of the US food retailer market and the ability to sell to major, national/strategic food accounts. There will be a focus on maximizing sales to top tier accounts through advanced business planning, forecasting, analytical and category management expertise. The ability to form strong relationships with buyers, category managers and c-suite executives as well as effectively managing a network of brokers, will be integral to success in this position. Customer scope will vary from Food, Mass, Club, and Foodservice, so candidates with CPG sales experience in multiple channels will be thoughtfully considered. There is potential for international travel to develop business with Melinda’s, so candidates with an international sales background will be thoughtfully considered.  Core Position Responsibilities: •    Demonstrate ability to drive sales results while providing best in class customer service. •    Negotiate slotting and terms of trade activity with customers. •    Create & present business reviews – Excel, Word and PowerPoint proficient. •    Gain customer approval for in-store activation (IRC, Tear Pads, Signs, etc.) •    Address retail pricing issues with customers. •    Manage routine cuts/supply issues with customers. •    Manage new product launches. •    Expand distribution of full Melinda’s portfolio to include pepper sauces, condiments, banana chips, cookies, dried fruits, and ketchups. •    Conduct sales analytics using available insights to provide solutions to customer needs. •    Align customer strategies with Melinda’s strategic plan to build a collaborative business plan •    Monitor trade activity execution. •    Closely manage and work with broker networks to maximize retail effectiveness and gauge strategy success. •    Proactively develop new customers across multiple channels to expand the Melinda’s brand presence.   Qualifications/Education/Experience/Skills: •    Bachelor’s Degree in business, finance, marketing (or related field or equivalent work experience) •    Minimum four years industry related experience with at least three years direct CPG sales experience. •    Proven sales ability with strong negotiation skills. •    Experience in sales planning & forecasting. •    Must show proven ability to build and maintain strong, effective relationships with •    customers and functional groups. Must show aptitude to effectively interpret and use •    multiple information sources to develop customer specific tactical plans and options. •    Strong business and financial acumen: advanced business analytics skills, customer P & L agility, ability to plan, track and evaluate trade management. •    Strong attention to detail •    Understanding of the total business process and procedures. •    Ability to manage trade spending. •    Strong technical, report running and analytical abilities. •    Advanced knowledge of Microsoft Office Suite. •    Strong verbal and written communication skills. •    Ability to work within a matrix organization. Work with multiple Account Managers/Sales Directors to discuss and prioritize work initiatives  Melinda’s, LLC., is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, creed, religion, national origin, sex, sexual orientation, gender identity and expression, age, disability, veteran status or any other protected factor under federal, state or local law.  Visit us at melindas.com and send a resume and cover letter to greg@melindas.com",,Full-time,,
