jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
"Associate, Sales Operations - ShopeePay",Shopee,"Singapore, Singapore",3 weeks ago,Be among the first 25 applicants,acquiring digital banking licence shopeepay expanding presence singapore market aggressively looking providing another popular payment solution merchants customers also striving build ecosystem via shopeepay within ecosystem merchants market products services hence better attract customers offline outlets time customers able enjoy variety deals looking someone amplify supercharge sales teams collaborating sales leaders driving key business objectives responsible incentives kpi setting hc planning development future strategies evaluating business performance producing operational reports sales team sales management producing ad hoc sales leadership team initiating bd projects help sales teams perform better uncovering implementing policies processes increase productivity efficiency accuracy within sales teams generating leads short looking experienced analyst sales strategy operations play trusted advisor sales leadership team requirements university degree years experience sales operations sales analyst business analyst consulting role experience assessing sales capacity developing sales kpi well corresponding incentive plan,Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Information Technology and Services, and Internet"
Sales Development Representative,ethiXbase,"Singapore, Singapore",2 days ago,30 applicants,sales development representative description ethixbase currently seeking high achieving sales development representative join go market function part marketing team play critical role qualifying leads profiling prospects customers providing input campaigns generate best leads working collaboration global sales development field sales professionals primary goal identify qualify opportunities across ethixbase business units across primary target markets apac inbound lead qualification process look move leads sales funnel unaware contact sales qualified opportunity sales team convert full time role working time office apac team located singapore background ethixbase us ethixbase regtech business delivers robust technology data analytics assist corporates third parties create maintain sustainable business practices play strategic role helping businesses globally elevate supply chain understanding applying standards principles set united nations global compact ungc including human rights labour environment create intuitive robust entirely configurable platform helps elevate sustainability throughout global business network make process accessing understanding millions records complex data sets simple facilitating transparent information exchange corporates third parties mission accelerate worlds progress towards sustainability crafting compelling solutions help clients build maintain sustainable supply chains benefit world job spec reporting line structure role reports global head growth marketing sits within marketing department though work closely head sales apac chief revenue officer cro uk payment structure pay dependent experience however earn generous wage well monthly commission every sales qualified meeting meet prescribed criteria get role sales development representative builds sales pipeline achieving monthly quarterly annual objectives follow leads qualify potential sales opportunities create manage drive inbound leads sales acceptance provide account team detailed call notes crm ensure opportunities understood next steps clearly identified collaborate marketing executing various demand generation campaigns drive attendance company events regional trade shows understand servicenow solutions address various customer pain points research identify prioritise target accounts prospecting activities build prospecting contact lists create mappings prospective clients acquire update maintain contact information within salesforce build manage reporting salesforce dashboards along technical team showcase roi based activity utilise leverage internal external technology identify develop manage marketing leads effectively knowledge marketing automation platforms desirable successful role ambitious creative mindset basic understanding cloud computing saas offerings excellent listening verbal written skills ability build meaningful business relationships ethixbase customers prospects internal colleagues growth mindset consistently working improve skills adapt constantly changing environment humble confidence ability articulate value ethixbase customers ability work flexibly pivot focus based company needs industry changes digitally focused mindset based singapore philippines malaysia remote working time office apac team start date october provide competitive compensation professional atmosphere collaborative inclusive work environment individuals strong aptitude positive attitude opportunities grow professional careers working advanced technology talented developers business ethixbase equal employment opportunity employer qualified applicants receive consideration employment without regard race colour religion sex sexual orientation national origin age disability gender identity veteran status individual disability require reasonable accommodation complete part application process limited ability unable access use online application process need alternative method applying may contact us hr assistance,,Full-time,,
Account Manager,Hitachi Sunway Information Systems,"Singapore, Singapore",,Be among the first 25 applicants,responsibilities develop new accounts services existing customers expand product range usage assigned territory proactive mindset focuses exceeding sales growth cultivate strong relationship customer able organize plan proper scheduling sales activities looking aggressive individual good track record selling especially engineering manufacturing market portfolios customers multinational corporations smes research organizations required manage existing customers prospect new customers potentially running business unit along team technical personnel support sales efforts meet sales target according commission plan provide monthly mo monthly objective forecast pipeline rolling 3 months mo reporting beginning month ensure timely accurate forecast monthly quarterly maintain healthy pipeline sales funnel size 3x target timely accurate submission report eg sales activity report etc execute objectives bft sales activities ensure good sales management assist task assigned superior management requirements candidate must possess least diploma diploma bachelor degree post graduate diploma professional degree field minimum 2 years sales preferably selling manufacturing engineering automotive aviation aerospace tool die tooling etc industries experience selling engineering software services eg catia ug nx cae solidworks autodesk cad etc added bonus solid understanding complete sales cycles prospecting closing demonstrated success managing sales pipeline forecast experience managing leading team added advantage excellent communication interpersonal skills highly motivated good pressure eagerness learn crucial salary 3000 4000 commiss,,Full-time,,
Sales Operations Coordinator,"Kendo Brands, Inc.","Singapore, Singapore",1 week ago,Be among the first 25 applicants,sales operations coordinator provides logistical liaising assistance support commercial needs kendo business southeast asia position work closely brand planning inventory manager ensure timely processing accurate delivery customer purchase orders returns also tasked generate sales performance reports analyses needed kendo brands region role role ideal new graduates limited experience would like grow career beauty retail,,Full-time,,
Channel Sales Rep II,Honeywell,"Singapore, Singapore",1 month ago,Be among the first 25 applicants,implement coordinate operational aspects ongoing channel sales projects activities serve liaison channel sales leadership marketing distributors review status projects budgets coordinate schedules deliver status reports assess project issues develop resolutions meet productivity quality customers satisfaction goals objectives develop mechanisms monitoring channel sales progress problem solving project managers customers key responsibilities channel sales activities manage projects provide customer support facilitate team alignment deliver status reports manage teams must bachelor degree equivalent experience field valid drivers license value proficient understanding principles best practices channel sales excellent team communication skills ability take initiative work limited direction ability influence across broader organization masters degree additional information job id hrd127583 category sales location 17 changi business park central 1 singapore singapore exempt,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
"Sales Development Representative, Enterprise",Coursera,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,coursera launched 2012 two stanford computer science professors andrew ng daphne koller mission provide universal access learning one largest online learning platforms world 87 million registered learners june 30 coursera partners 200 leading university industry partners offer broad catalog content credentials including guided projects courses specializations certificates bachelor master degrees institutions around world use coursera upskill reskill employees citizens students many fields including data science technology business coursera became b corp february job overview sales development team critical component growth plan inbound outbound engagement prospective customers starts sdr team outbound sales development representative sdr responsible generating interest coursera contacting prospects presenting solutions qualifying leads sales team work closely sales marketing teams ensure operate seamless organization build pipeline business ideal individual experience enterprise interested working social enterprise knowledge edtech enterprise learning combined superior communication skills analytical abilities shape coursera b2b business help us provide access education globally responsibilities build pipeline leads sales team qualifying inbound inquiries reaching prospects conduct effective discovery qualification conversations prospects deep understanding product value proposition use cases develop creative strategies engaging nurturing prospects using content email phone social media strategies work partner closely members sales marketing teams coordinate engagement strategies improving processes use frontline knowledge customer needs educate broader team learnings opportunities basic qualifications graduate degree professional experience years preferred qualifications excellent written verbal communications listening skills experience selling marketing software services meeting quota entrepreneurial drive comfort working ambiguous environments experience sales marketing tools salesforce outreach discoverorg lusha degree preferred opportunity interests might like courses coursera successful negotiation essential strategies skills connecting sales prospects work smarter harder time management personal professional coursera equal employment opportunity employer considers qualified applicants without regard race color religion sex sexual orientation gender identity age marital status national origin protected veteran status disability legally protected class individual disability require reasonable accommodation complete part application process please contact us accommodations please review ccpa applicant notice,Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
Account Manager APAC,Elliptic,"Singapore, Singapore",,Be among the first 25 applicants,digital assets cryptocurrency become widely adopted every day products essential ensure cryptocurrency safe accessible solutions help prevent financial crime allow cryptocurrencies used good products used world leading cryptocurrency exchanges financial institutions government agencies screen 1 billion transactions every single week elliptic backed top vcs sbi group albion vc octopus ventures signalfire paladin capital santander innoventures digital currency group grown globally teams uk usa singapore tokyo achieve mission depend incredible team elliptites values reflected everything every decision make internally outwardly customers actively encourage elliptities challenge status quo allow freedom innovate learn every day encourage new ideas learning whether collaboration curiosity sessions utilising professional development budget personal growth important us passionate enthusiastic account manager wealth experience managing customers saas industry looking next challenge emerging exciting market experience working customers across asia yes want hear impact join global commercial team champion uncovering developing new commercial opportunities within base existing customers account manager responsible managing nominated list customers based asia pacific region specifically japan singapore hong kong philippines etc focus drive profitable annual contract revenue contribution increased market share elliptic solution service portfolio working partnership customer success team manage upsell sales cycle including identifying opportunities qualifying negotiating terms developing custom proposals closing upsells renewals ultimately deliver profitable revenue growth 100 net account retention named accounts exciting opportunity experienced individual looking role make impact company work also market work fascinating challenging work norm working elliptic never boring develop net new business upsell cross sell opportunities within existing accounts asia pacific contribute build strategic customer account plans manage commercial cycle partnership customer success team prospect generate high quality leads existing accounts convert customer needs challenges qualified opportunities leading upsells account growth develop custom proposals based customer requirements conduct presentations product demos negotiate terms close business meet exceed quarterly annual quotas region target customers great fit experience account management successfully deliver upsell target across target accounts experience working broad set customers across asia pacific region easily adapt cultural differences understand customer business model digital assets fit strategy ability analyse customer usage engagement data identify trends opportunities additional services manage difficult client relationships churn downesell conversation obtain best outcome company customers evaluate customer needs preferences relation pricing product terms conditions ensure client requirements addressed commercial proposals collaborative mindset experience working larger account team including customer success address problems immediately work across functions solve problems enjoy working pace energy building team spirit cultivating unity commitment among team understanding complex b2b sales methodologies flexible adaptable comfortable changing priorities requirements ideal candidate extensive experience customer facing roles account management experience selling saas solutions experience working customers distributed across multiple countries strong relationship building skills track record retention generating net new business demonstrated track record success quota achievement top 10 performer last company collaborative mindset ability share spotlight strong work ethic entrepreneur mindset comfortable creating value low structure environment agile resilient interest curiosity digital assets crypto economy bonus points intimate understanding forensics space either cryptocurrency traditional financial environments experience selling saas solutions financial services borderline obsession emerging technology additional language mandarin japanese benefits competitive salary share options holiday 24 days annual leave addition singapore gazetted holidays health insurance quarterly annual company offsite personal training budget linkedin learning subscription laptop equipment need home office allowance full access spill mental health support know diversity inclusion much deeper hiring important us mention welcome embrace individuals backgrounds identities elliptic ongoing priority us know incredible people think way want challenged every day believe diverse team individuals underpins bringing creative thinking innovation elliptic every day committed creating diverse inclusive equitable workplace welcome applications everyone even may think fit requirements roles foster environment psychological safety everyone feels comfortable bring whole self work,Entry level,Full-time,Sales,"Computer Software, Internet, and Financial Services"
Sales Representative,Grain,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,believe delighting customers high standards resourceful want hear support develop growth strategy team manage sales operations accountable increasing revenue new client acquisition existing account growth assist developing effective sales training program effectively work shape product roadmap based insights assist refining company sales strategy processes assist sales operational teams implement best industry practices knowledge provide client support major looking someone experience outbound sales 1 year experience catering hospitality sales preferred best class customer service strong management communication skills intellectual curiosity ability start get things done ability handle ambiguity work fast growing time lean mean team make real world impact lot ownership drive results progression smart people sweat details push highest standards training mentorship buddies university program help grow benefits include competitive compensation package health care clubs birthday leave lot fun events include application resume linkedin profile tell us time work task seemed extremely challenging overcame favourite projects motivates something believe nearly one agrees,Entry level,Full-time,Sales,"Restaurants, Food & Beverages, and Hospitality"
Sales Development Representative,Talkwalker,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,talkwalker sales team responsible attract nurture close business opportunities generated inbound outbound partner activities responsible connect prospective clients introduce talkwalker demonstrate value analytics platform throughout marketing communications insights departments talkwalker leading social listening analytics company clients globally analytics platform gather data conversations happen around brands online media within companies uncover understand action consumer insights extremely international headquarters luxembourg offices new york city san francisco frankfurt paris singapore tokyo key responsibilities effectively communicate talkwalker vision potential prospects well organized thoughtful approach generate new business opportunities outbound prospecting via phone calls emails linkedin support marketing team work tandem account executives help identify develop opportunities within defined territories manage pipeline outreach via crm sales automation tools bring positive attitude team daily basis qualifications year sales sdr experience saas experience preferred verifiable history exceeding personal targets excellent verbal written communication skills sense accountability commitment attain goals ability perform day day tasks minimal supervision strong work ethic offer 20 days vacation international health insurance competitive base salary opportunity bonus internal growth development programs company events social activities 1 volunteering day per year,Entry level,Full-time,Sales,Computer Software
Sales Development Representative,Tetrate,Singapore,2 weeks ago,Be among the first 25 applicants,tetrate tetrate leading enterprise service mesh company enables customers safe fast application modernization journey founding team represents creators key maintainers envoy istio projects startup serving fortune 500 companies defining next generation network authorization security collaborate sales marketing partner team develop new strategies build sales pipeline grow business balance reactive work responding interested users creative proactive approach identify new business opportunities use hubspot linkedin zoominfo prospecting tools research accounts identify key contacts craft targeted messaging increase customer interest excitement around tetrate products learn technology effectively communicate tetrate value proposition technical audience work understand goals challenges better understand help engage team development mentoring consistently meet exceed clearly defined monthly targets bring along years sales related experience high integrity mentality strong ability work autonomously open feedback genuinely curious constantly looking ways learn improve genuine interest excitement tetrate technology experience working technical product aptitude quickly learn complex technical concepts fearless approach prospecting phone skills excellent listening skills strong writing skills important willing help others hubspot sales tools experience plus whether looking launch new career grow existing one welcome wide range backgrounds levels experience interested love hear location worldwide remote able work apac time zon,,Full-time,,
