jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries
ShopeePay - Sales Operations Associate,Shopee,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"About The Team  After acquiring our digital banking licence, ShopeePay is now expanding its presence in the Singapore market aggressively.  We are not only looking at providing another popular payment solution for the merchants and customers, but also striving to build an ecosystem via ShopeePay.  Within this ecosystem, merchants can market their products & services more cost-effectively, hence better attract customers to their offline outlets. At the same time, customers are able to enjoy a variety of good-valued deals too.  Job Description Collaborate with Sales Leaders on driving key business objectives Responsible for incentives and KPI setting, headcount planning and development of future strategies Business performance evaluation Produce weekly/monthly operational reports for Sales Team and Sales Management Produce ad hoc reports/analysis for Sales Leadership team Initiate BD Projects that help our sales teams perform better Uncover and implement policies and processes to increase productivity, efficiency, and accuracy within our sales teams Lead Generation  Requirements Good university degree 1-3 years of experience in a Sales Operations / Sales Analyst / Business Analyst / Consulting role Experience assessing Sales Capacity and developing Sales KPI as well as corresponding Incentive Plans",Entry level,Full-time,Sales and Business Development,Internet
Sales Operations Coordinator,"Kendo Brands, Inc.","Singapore, Singapore",3 days ago,34 applicants,The Sales Operations Coordinator provides logistical and liaising assistance to support the commercial needs of Kendo business in Southeast Asia. This position will work very closely with the Brand Planning and Inventory Manager to ensure timely processing and accurate delivery of customer purchase orders and returns. S/he is also tasked to generate sales and performance reports and analyses needed by all Kendo brands in the region.  This role is an entry-level role ideal for new graduates or those with limited experience who would like to grow a career in beauty retail.,,Full-time,,
Sales Development Representative,Talkwalker,"Singapore, Singapore",3 days ago,36 applicants,"At Talkwalker, our Sales team is responsible to attract, nurture and close business opportunities generated from both inbound, outbound and partner activities. They are responsible to connect with prospective clients to introduce them to Talkwalker and demonstrate the value of our analytics platform throughout the Marketing, Communications and Insights departments.  Talkwalker is a leading social listening & analytics company with over 2,000 clients globally. Through our AI-powered analytics platform, we gather data from the conversations that happen around brands - online, in the media, and within companies themselves - to uncover, understand, and action consumer insights. We are extremely international, with headquarters in Luxembourg and offices in New York City, San Francisco, Frankfurt, Paris, Singapore, and Tokyo.  Key Responsibilities:  Effectively communicate Talkwalker’s vision to potential prospects in a well organized, thoughtful approach Generate new business opportunities through outbound prospecting via phone calls, emails, and LinkedIn with support from our world-class marketing team Work in tandem with Account Executives to help them identify and develop opportunities within their defined territories Manage pipeline and outreach via CRM and Sales Automation tools Bring a positive attitude to our team on a daily basis   Qualifications:  1+ year of sales or SDR experience, SaaS experience preferred A verifiable history of exceeding personal targets Excellent verbal and written communication skills A sense of accountability and commitment to attain goals The ability to perform day to day tasks with minimal supervision  Strong work ethic  What we offer:  20 days of vacation International health insurance Competitive base salary and opportunity for bonus Internal growth and development programs Company events such as social activities 1 volunteering day per year",Entry level,Full-time,Sales,Computer Software
Sales Representative,Grain,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,"If you believe in delighting customers, have high standards and are resourceful, we want to hear from you.  You will Support and develop the growth strategy for the team and manage day-to-day sales operations. Be accountable for increasing revenue, new client acquisition and/or existing account growth. Assist in developing an effective sales training program. Effectively work cross-functionally to shape the product roadmap based on data-driven insights. Assist in refining the company’s sales strategy and processes. Assist the sales and operational teams to implement best industry practices and knowledge. Provide on-site client support for major accounts/events. We’re looking for someone with Experience in outbound sales - more than 1 year’s experience in catering or hospitality sales preferred. Best in class customer service. Strong management and communication skills. Intellectual curiosity. Ability to start and get things done. Ability to handle ambiguity. What’s In It For You Work with a fast growing, at the same time, lean and mean team, to make real world impact. Have a lot of ownership and drive your own results and progression. Smart people who sweat the details and push for the highest standards. Training, mentorship, buddies, in-house university program to help you grow. Other benefits include competitive compensation package, health care, clubs, birthday leave and a lot of fun events. You should include these in your application Resume or LinkedIn profile Tell us about a time where you had to work on a task that seemed to be extremely challenging, and how you overcame it? What are your favourite projects? What motivates you? What is something you believe that nearly no one agrees with you on?",Entry level,Full-time,Sales,"Restaurants, Food & Beverages, and Hospitality"
Channel Sales Rep II,Honeywell,"Singapore, Singapore",1 month ago,Be among the first 25 applicants,"Implement and coordinate the operational aspects of ongoing Channel Sales projects and activities. You will serve as liaison between Channel Sales Leadership, Marketing and Distributors. You will review status of projects and budgets. You will coordinate schedules and deliver status reports. You will assess project issues and develop resolutions to meet productivity, quality, and customers satisfaction goals and objectives. You will develop mechanisms for monitoring Channel Sales progress and for problem solving with project managers and customers  Key Responsibilities Channel Sales Activities Manage Projects Provide Customer Support Facilitate Team Alignment Deliver Status Reports Manage Teams YOU MUST HAVE Bachelor's degree, or equivalent. Some experience in the field. Valid Drivers' License WE VALUE A proficient understanding of the principles and best practices in Channel Sales Excellent team and communication skills An ability to take initiative and work with limited direction An ability to influence across a broader organization Masters Degree Additional Information JOB ID: HRD127583 Category: Sales Location: 17 Changi Business Park Central 1,U01-01/09, #02-01/09, #03-01/09, #04-01/09 & #05-01/05,Singapore,SINGAPORE,486073,Singapore Exempt",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
Sales Development Representative,Tetrate,Singapore,1 week ago,28 applicants,"About Tetrate  Tetrate is a leading enterprise service mesh company that enables customers to have a safe and fast application modernization journey. Its founding team represents creators and key maintainers of Envoy and Istio open-source projects. As a fast-growing startup serving Fortune 500 Companies, we are defining the next generation of network, authorization, and security.  What You’ll Do Collaborate with sales, marketing, and partner team to develop new strategies to build our sales pipeline and grow our business Balance the reactive work of responding to interested users with a creative and proactive approach to identify new business opportunities Use Hubspot, Linkedin, ZoomInfo, and other prospecting tools to research accounts, identify key contacts and craft targeted messaging to increase customer interest and excitement around Tetrate products Learn our technology and effectively communicate Tetrate’s value proposition with a technical audience. Work to understand their goals and challenges to better understand how we can help Engage in team development and mentoring Consistently meet (and exceed!) clearly defined monthly targets  What You Bring Along 0-2 years of sales or related experience High integrity and a team-first mentality Strong ability to work autonomously Open to feedback, genuinely curious and constantly looking for ways to learn & improve Genuine interest and excitement for Tetrate’s technology  Experience working with a technical product or the aptitude to quickly learn complex technical concepts Fearless approach to prospecting -- phone skills, excellent listening skills, and strong writing skills are all important Team-oriented and willing to help others Hubspot and other sales tools experience is a plus  Whether you’re looking to launch a new career or grow an existing one, we welcome a wide range of backgrounds and levels of experience. If you’re interested, we’d love to hear from you!   Location: Worldwide - Remote, to be able to work in APAC time zone",,Full-time,,
"Prime Account Manager, APAC",Coinbase,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,"Coinbase has built the world's leading compliant cryptocurrency platform serving over 30 million accounts in more than 100 countries. With multiple successful products, and our vocal advocacy for blockchain technology, we have played a major part in mainstream awareness and adoption of cryptocurrency. We are proud to offer an entire suite of products that are helping build the cryptoeconomy and increase economic freedom around the world.  There are a few things we look for across all hires we make at Coinbase, regardless of role or team. First, we look for signals that a candidate will thrive in a culture like ours, where we default to trust, embrace feedback, disrupt ourselves, and expect sustained high performance because we play as a championship team. Second, we expect all employees to commit to our mission-focused approach to our work. Finally, we seek people with the desire and capacity to build and share expertise in the frontier technologies of crypto and blockchain, in whatever way is most relevant to their role.  As an Account Manager, Client Services, you’ll join a high functioning team of passionate support professionals whose performance is critical to Coinbase achieving its mission. You will serve as a primary subject matter expert for Coinbase’s institutional suite of products (Prime Broker and Custody), providing world-class service and support to our most valued institutional clients such as hedge funds, investment managers, market makers, and private wealth managers. Diligent, empathetic, and have a bias towards action, you will play a crucial role in the success of the Client Services organization as we help build the cryptoeconomy.  What You'll Be Doing (i.e., Job Duties) Serve as the primary account manager for a group of Coinbase’s highest value institutional clients, co-owning the relationship with our Institutional Coverage sales teams from top of funnel through on platform support Build and maintain strong relationships with new and existing Coinbase institutional clients, driving successful integrations with the institutional product suite and impact to the overall business Provide a best in class experience for our clients through effective stakeholder management, decisive prioritization, and efficient execution across institutional teams Understand complex, multi-product client workflows and strategies to ensure that our institutional clients are integrated appropriately and using our product suite optimally Effectively triage, manage and prioritize incoming client requests. Manage requests through to resolution, including delegating across teams of subject matter experts Facilitate prospect and client demo calls, serving as subject matter expert on product features, answering technical cryptocurrency related questions, and demonstrating how Coinbase can fit into their overall strategy Distill client feedback to internal teams including Advocacy, Engineering and Product when surfacing bugs, incidents, and product feedback What We Look For In You (ie. Job Requirements) Motivated by Coinbase’s mission and creating a seamless, white-glove support experience for our highest value individual and institutional clients Experience managing relationships with Market Makers and Introducing Brokers and working with Engineering and Product teams. Minimum of 6 years of relevant experience in an institutional client partner / services / advisory role in financial services or technology industry Experience with relationship or account management for institutional clients, liaising with executive leadership, management, and/or senior operations contacts In depth knowledge of global financial markets, prime brokerage, margin, lending, derivatives, trading platforms, custody, and/or crypto Experience with different channels of support, including voice, e-mail and/or chat Fantastic communication skills in order to operate across multiple departments, stakeholders, and clients Flexible and adaptable to meet the evolving needs of a high-growth and fast paced organization Travel requirements up to 20% to Coinbase offices and client locations (depending on business need) Nice To Haves High level of proficiency in cryptocurrency and Coinbase products Advanced degree in business, finance, project management or client experience ID: G1774  Commitment to Equal Opportunity  Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. For US applicants, you may view Pay Transparency, Employee Rights and Equal Employment Opportunity is the Law notices by clicking on their corresponding links. Additionally, Coinbase participates in the E-Verify program in certain locations, as required by law.  Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an e-mail to accommodations@ coinbase.com and let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here). Please contact accommodations@ coinbase.com for additional information or to request accommodations.  Global Data Privacy Notice for Job Candidates and Applicants  Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here: Ireland/EU, United Kingdom, and California. By submitting your application, you are agreeing to our use and processing of your data as required.",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
"Sales Development Representative, Enterprise",Coursera,"Singapore, Singapore",2 months ago,Be among the first 25 applicants,"Coursera was launched in 2012 by two Stanford Computer Science professors, Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning. It is now one of the largest online learning platforms in the world, with 87 million registered learners as of June 30, 2021. Coursera partners with over 200 leading university and industry partners to offer a broad catalog of content and credentials, including Guided Projects, courses, Specializations, certificates, and bachelor’s and master’s degrees. Institutions around the world use Coursera to upskill and reskill their employees, citizens, and students in many high-demand fields, including data science, technology, and business. Coursera became a B Corp in February 2021.  Job Overview  The Sales Development Team is a critical component of our growth plan. All inbound and outbound engagement with prospective customers starts with the SDR team. As a Outbound Sales Development Representative (SDR), you will be responsible for generating interest in Coursera by contacting prospects, presenting our solutions, and qualifying leads for our sales team. You will work closely with sales and marketing teams to ensure we operate as a seamless organization to build our pipeline of business.  The ideal individual will have experience with enterprise sales/partnerships and be interested in working for a social enterprise. Your knowledge of Edtech, and enterprise learning combined with superior communication skills and analytical abilities, will shape Coursera’s B2B business to help us provide more access to education globally.  Responsibilities Build a pipeline of leads for the sales team by qualifying inbound inquiries and reaching out to high-potential prospects Conduct effective discovery and qualification conversations with prospects through your deep understanding of our product value proposition and use cases Develop creative strategies for engaging and nurturing prospects using content, email, phone, social media and any other strategies that work Partner closely with members of the sales and marketing teams to coordinate engagement strategies and improving processes Use your frontline knowledge of customer needs to educate the broader team on learnings and opportunities Basic Qualifications A graduate degree or professional experience of 2+ years Preferred Qualifications Excellent written and verbal communications and listening skills Experience selling or marketing software or services and meeting a quota Entrepreneurial drive and comfort working in ambiguous, quickly-changing environments Experience with sales and or marketing tools such as Salesforce, Outreach, DiscoverOrg, Lusha Post-Graduate degree, preferred If this opportunity interests you, you might like these courses on Coursera:  Successful Negotiation: Essential Strategies and Skills  Connecting with Sales Prospects  Work Smarter, Not Harder: Time Management for Personal & Professional  Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.  If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.  Please review our CCPA Applicant Notice here.",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
Sales Development Representative,Anchanto,"Singapore, Singapore",5 days ago,Be among the first 25 applicants,"Experience: 3+ years  Job Purpose  This role exists to manage the Sales Development/Lead Generation operations in Singapore. The role has ownership of generating and converting pipeline of customer for Anchanto's products.  Description  Sales Development Representative, Singapore  As a Sales Development Representative for Anchanto's products (OMS and WMS) focused on Enterprise segment, you will have the exciting opportunity to help promote the growth and shape the future of SaaS products for eCommerce players in the Retail and Logistics sector.  The ideal candidate will possess both business development and technical background that enables them to engage at with C-level executives as well as with software developers and IT architects. They should also be a self-starter, prepared to develop and execute to increase market penetration across Singapore.  Roles & Responsibilities Impact market share in the Singapore territory or industry vertical. Direct sales Development for software sales to enterprises (Brand Principals, Distributors, 3PLs, Warehousing Companies, E-distributors, Retailers) to build strong B2B SaaS business in Singapore Lead generation for a funnel pipeline: Manage entire sales cycle (as individual contributor) steps such as cold call, LinkedIn emails, personal networking etc Understand Customers' current Business and Operational processes to propose the right fit of SaaS products, Understanding the customer pain points, Map to Solutioning Demoing the Product/Solution : Product introduction SaaS platform demonstration, explanation of technical and functional capabilities, Understand and consult on a strategic and business level, available integrations and flows Assist with Contract Closure: follow-up call, sharing updates and assisting with proposal, pricing negotiation, contract signing, on-boarding and account handover to global account management teams Structured and organised to manage and update the CRM tool for effective Sales Pipeline management Business and Commercial Skills: Possess the technical ability to explain (not implement) Cloud/SaaS Solutions, Integrations, Retail, Omni-channel and eCommerce Fulfilment flows. Create & articulate compelling value propositions around Retail Solutions. Understanding of Value Based Selling and translate it into Commercial Agreements Work closely with the internal marketing team, PR team and top management to swiftly pickup lead/enquires / suspects to be put in sales processes. Other Skills: Proactive to source leads from partners, own research and other channels. Demonstrable research skills along with excellent Listening skills Self-starter and should be able to proceed with minimal supervision Excellent Verbal and written communication skills in English. Understanding and respect multi-cultural work environment Constantly give feedback to marketing on lead and funnel quality and re-align to target relevant segment Compile reports for management showing results (ROI) reports on customer needs, problems, interests, competitive activities, and potential for new products and services. Keep abreast of best practices and promotional trends for our products target segments Keep track of competition, pricing and promotions being offered by the competition in the market Exceed set business objectives. Work with partners (referrers, Sis, consultants, government agencies etc) to extend reach & drive adoption. Basic Qualifications: Ability to generate qualified leads and excellent cold calling skills to engage accounts The right person will possess 1-2 years of experience in B2B lead generation (IT and SaaS preferable) Prior experience in a revenue target holding role is absolutely necessity Direct field & management experience in working with corporate accounts. Would have consistently exceeded key performance metrics. Demonstrated ability to engage and influence C-level executives. Strong presentation skills and the ability to articulate complex concepts to cross-functional audiences. Excellent written, and verbal communication skills, data analysis and presentation skills in English. Experience with E-commerce Sellers, Brands and Retailer in Singapore is an added advantage Ability to work with the global team in different geographies, cultures and time zones to solve customer problems and escalate as necessary  Scope of the Role The role will have geographical coverage of Singapore",Entry level,Contract,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet"
Channel Sales Rep II,Honeywell,"Singapore, Singapore",2 months ago,Be among the first 25 applicants,"The Future Is What We Make It  Senior Sales Manager  Singapore  Honeywell offers employees the opportunity to work on the world’s most exciting projects, redefining the cities we live in, the buildings where we work, and the vehicles that move us.  We are currently seeking a Senior Sales Manager to join our Building Technologies (HBT) team in our Singapore office. Reporting to a Product Sales Leader, your focus will be oversight of new prospects and maintain existing customers to drive sales; Facilitating connection between channel partners, M&E Contractors, M&E consultants, architects, developers and users for specifications; assessing market intelligence support and covering the developments going into the market place by competitors and their pricing.  Responsibilities  Drive product sales that bring together both hardware and software products add value to the team with your expertise by driving ideas for new products, principles, theories and concepts. Help Honeywell be the customer's top choice by improving upon Product Sales solutions. Responsible for the market development and growth of HBT business in Singapore. This includes identifying & appointing key customers (Developers / Architects / Interior Designers / M&E Contractors) to increase pipeline. Manage the business and the existing customers to grow the HBT business. Understand the local markets and identify opportunities where our businesses can succeed with current offerings in all relevant market verticals especially Residential, Commercial, Leisure & Entertainment Hospitality, and Healthcare. Develop and execute an overall business plan to achieve the growth targets set for the business in terms of Revenue and margin expansion. Coordinate sales opportunities with the correct engineering and product deliverable. Undertake regular consultant/customer visits for ongoing product and sales training, joint sales calls, and open project reviews Manage any channel/M&E contractors conflict that may arise Evaluating competitors in the local market Establishing and owning the plans and strategies aimed at serving and expanding the customer base Responsible for the strategy and execution of the sales plan for a specific system and vertical market. Accurate forecast of revenue and growth opportunities You Must Have 3 to 5 years’ experience in Project related sales background (Electrical and building management systems knowledge) Bachelor's degree, or equivalent Project / Product Sales Experience Proven track record preferably within the building solutions industry preferred. Excellent written and oral presentation skills. Ability to present and communicate complex technical solutions clearly at all business levels. Ability to work in diverse cultural and multi lingual environments. Proactive mindset and able to work efficiently within virtual and distributed teams We Value A proficient understanding of the principles and best practices in Product / Project Sales Excellent team and communication skills An ability to take initiative and work with limited direction An ability to influence across a broader organization About Us  The world is changing. And it’s a familiar story at Honeywell. Our $36 billion business was founded on a legacy of firsts spanning 130 years. We’re building a safer, smarter, and more sustainable world through our technology and software across each of our 930 sites globally. Our impact is seen in every shape and size around the world. Our solutions are felt daily in aerospace, buildings and cities, retail, chemicals and materials, safety, industrial and manufacturing, safety, and supply chains.  Discover More  We’ve been innovating for more than 100 years and now we’re creating what’s next. There’s a lot more available for you to discover. Our solutions, our case studies, our #futureshapers, and so much more. Learn more at careers.honeywell.com/us/en/  If you believe what happens tomorrow is determined by what we do today, you’ll love working at Honeywell.  The future is what we make it. So join us and let’s do this together.  Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.  For more information on applicable equal employment regulations, refer to the EEO is the Law poster.  Please refer to the EEO is the Law Supplement Poster & the Pay Transparency Policy .  For more information on how we process your information in the job application process, please refer to Recruitment Privacy Notice.  If a disability prevents you from applying for a job through our website, request assistance here. No other requests will be acknowledged.  Copyright © 2020 Honeywell International Inc  Additional Information JOB ID: HRD123493 Category: Sales Location: 17 Changi Business Park Central 1,U01-01/09, #02-01/09, #03-01/09, #04-01/09 & #05-01/05,Singapore,SINGAPORE,486073,Singapore Exempt",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Financial Services"
